<title>冬夜吟</title>,<text>月釣前溪夜。風鍾古木冬。</text>
<title>病中贈金聖尋 樂顔</title>,<text>家務癡還客。頭容禿似僧。癢膚偏畏虱。病目苦侵蠅。只自吾身憊。仍招外物凌。㗳然忘我久。何愛又何憎。</text>
<title>竊以白骨徵布。是民瘼最也。賤臣春秋兩䟽。猥以是陳。近伏聞關飭。有白骨蠲减事。實聖朝大惠霈也。病伏中。私不勝欣忭。有吟。</title>,<text>城邑歸人夜叩柴。傳言洪澤及枯骸。山東聽詔扶而往。岐下施仁四者懷。螢爝何能裨萬一。大陽元是燭陰崖。聖朝祈永於斯在。匝域神人皷舞皆。</text>
<title>多朴谷 蟠谷前坪。舊稱楮田谷。取音同。改稱多朴谷。</title>,<text>朴老村前有一坪。取音多朴以爲名。坪名正爲吾家設。卜得振振世世榮。</text>
<title>謹閱政院日記。感而有吟。</title>,<text>戊午三月二十二日。謝恩入侍時。上曰。朴時源則能製能講。今番生劃策問亦佳作矣。右政院日記竊伏念。臣以遐遠賤品。雕篆末技。遭値聖明。叨竊科第。臚唱前席。恩襃曠絶。每時追惟。玉音在耳。區區葵藿之忱。只不勝弓劒之痛。丙子春。適待罪吏部直廬。友人權注書。錄示政院日記中此一條。雙擎奉玩。有淚沾襟。因感而有吟。洪匀大化及蝡蟲。前席華褒聖渥隆。未有涓埃酬萬一。梧雲瞻望淚無窮。當年書劒眇雕蟲。草野歌謠喜泰隆。追昔報今微悃在。只聞忠孝用無窮。</text>
<title>輓金叔明 煕洛</title>,<text>嶠南淑氣萃高閭。聖世彙征夬得輿。盛會拚登陶老院。宸襃酬酢晦翁書。龍圖閣上詞臣筆。馬繫碑前太守車。也是華城雲捧處。天香依舊濕朝裾。何年毛檄舞萊衣。忠孝居然素計違。忍見靑衫新進士。強爲歡笑慰高闈。</text>
<title>趙承旨 錫晦 輓</title>,<text>漢陽家世嶺南村。如玉仙官毳似璊。襟佩芬芳聯叔姪。菑畬排布課兒孫。口碑湖邑知循吏。齒德淸朝許達尊。萬事先朝弓劒月。白雲歸拜報君恩。</text>
<title>輓權注書 得中</title>,<text>桃源深處鎖茅廬。黃卷生涯五紀餘。花陌乍鞭東野馬。桂香纔繡老萊裾。明時薄宦縻司果。洞府仙班紀注書。輸與兒孫詩禮業。莫言忠孝到今虛。</text>
<title>斗庵金令公 若鍊 輓</title>,<text>龜亭喬木振餘聲。間世風儀鶴立淸。材大杞楠難盡用。輝交蓮桂匪爲榮。溪東斗小承宣宅。嶠左山高大老名。歸拜健陵雲捧處。也知忠孝質神明。吾南多士有依歸。公在鄒鄕魯殿巍。王謝風流兼律尺。曾蘇筆力更精微。黌齋課學朝開牖。巖社看書晝掩扉。虎逝龍亡無限慟。徘徊墒埴淚沾衣。大雅云亡元氣萎。吾猶及見老成儀。曲加眷愛由先誼。忝竊科名許後隨。每到意寬汪丈健。那知痛哭子瞻私。盲聾失路今安倣。惟有文章德業垂。</text>
<title>李同知 世翊 輓</title>,<text>人瑞編成壽域天。分明先數令公賢。海東闕里笙簧古。山裏汾陽福履圓。白首中庭趨內史。丹砂南壁見眞仙。嶠鄕大老晨星盡。怊悵冥途涕泗漣。</text>
<title>輓柳士能 奭祚</title>,<text>玉壺風露不勝凉。君貌如心婉且揚。詩禮模楷喬木里。文章光價棣花床。山南雅望推鄕善。漢北英聲占國庠。彩舞翩𦒘賢伯季。那堪抆淚慰高堂。妙齡書劒倚靑冥。曾許峨洋寶匣聽。渭岸提携龜換市。頖橋遊戲鹿鳴庭。聯名甲乙何年菊。團會東西某處萍。白馬遠慚緜酒客。長吁况也涕雙零。</text>
<title>南臯金公 象鍊 輓</title>,<text>鶴駕山北鄕。斗庵先生歿。先生吾郡人。郡人相謂曰。吾郡無先生。後生今何述。所慰先生家。有公躋大耋。昔我渴睡翁。睡渴文不渴。文章以家傳。蘭玉藹彬蔚。公爲白眉良。雅儀又令質。玉樹臨淸風。冰壺耀秋月。百行得其源。婉容常愛日。愛日日長春。日供甘旨潔。篤孝天佑之。視履其旋吉。伯仲遊璧宮。蓮花薄言掇。朝舞老萊斑。舞斑和氣溢。夜讀邵南書。讀書精華發。旣安原憲貧。又喜濂翁拙。於古亦寡儔。在今固無匹。棐几凈無塵。珍彩蘊圭蓽。巋爲魯靈光。鄕里視彀率。待問如鍾撞。考疑如卜决。公健我意寬。每晉床下謁。曰壽又曰康。道氣濃黃髮。新元添介眉。子孫羣戲膝。瘦梅意方新。幽蘭香遽歇。萬事忽滄桑。飄然向仙窟。斗庵迫援琴。士友齊執紼。吾儕迷倀倀。墒埴前路失。老成邈典型。想像何髣髴。有鶴在九臯。白羽如白雪。不爲翡翠紋。不爲鸚鵡舌。有時下人間。獨立霜毛拂。一夜華表亭。倏來去又倏。御風不可留。鶴駕山獨崒。哀辭貴寫眞。是爲鶴之說。</text>
<title>趙同知 相抃 輓</title>,<text>古來松鶴盖仙鄕。山水中開二可堂。邵以太平生且老。箕因攸好壽而康。蓮華帖面新嘉義。人瑞編頭舊上庠。多感三朝恩霈厚。爲傳忠孝慶流長。</text>
<title>立齋鄭公 宗魯 輓</title>,<text>先朝彙選紫陽書。酌海徽篇曠感餘。禮侑文莊祠下日。肖孫愚伏洞中廬。自來皋鶴鳴能遠。又是蒐麟網不踈。臺地簡掄戔束帛。聖心虛佇孑干旟。大山衣鉢承宗緖。全嶠冠裳被廣譽。老透精微猶眼炯。閒搜經傳更頭梳。禮爲安地牢跟着。道在遺編信口咀。經濟幾畦排杞菊。文章當世重璠璵。緱氏六月常危膝。顔樂千年闢古墟。恭儉池頭閒水石。對山樓下自鳶魚。春秋易範兒三授。齒爵鄕邦德一居。每謂斯文神所護。那知函丈倏焉虗。湖翁升貤重多感。龜老同歸一倍歔。正路有誰剗棘草。前山無語削芙蕖。鯫生自顧迷豊蔀。鴻匠猶無棄散樗。兩世隧銘拱璧是。重登師席飮醇如。何年手澤書留篋。今日頹山涕滿裾。薄宦縻身歸未得。傷心無路送靈車。</text>
<title>挽成丈大範 彦集</title>,<text>芙蓉堂古玉亭亭。淸水栽培有剩馨。搖落文殊山下月。枯梅瘦影想儀形。杜陵行具小於輪。貧不憂貧也不貧。誰敎蔡邕文藻宅。百年書籍與無人。伯道家中有姪賢。靈輀攀哭夕陽阡。可憐隔水平津宅。纔哭阿同又惠連。</text>
<title>挽李進士士漸 汝鴻</title>,<text>風山之象漸逵云。士漸如何不漸雲。只有瓜痕泥雪在。故家文藻尙遺芬。新陽之里似高陽。遲日庭蘭次第芳。中有芙蓉先發朶。春輝方永倏滄桑。豊西之塹劒通靈。忠孝其鐔禮義硎。從古無端慳至寶。只敎光射斗牛星。同心之臭藹如蘭。十載長安把酒看。我到君廬黃菊月。崇蘭委質菊盃酸。</text>
<title>輓金中心 永忠</title>,<text>闊步騷壇早蜚英。少年風度冠吾榮。栢爺家裏箕裘業。庵老堂前舞綵誠。劒吐晴虹無處試。調高白雪有誰賡。可憐丹旐辭庭日。孝思徘徊不忍行。友琴山水里。十載聽峨洋。玉樹憐詩瘦。金蘭托契芳。風遲鵬路窄。雲去鶴驂忙。同賞伊齋月。傷心滿屋樑。</text>
<title>輓兪寧海 漢人</title>,<text>湖翁門下斐然章。早歲南遊得眼藏。仕以學優披素蘊。官如僧舍掃黃堂。成都一鶴今時在。葉縣雙鳧忽地忙。只有豊碑銘萬口。扶桑東畔是桐鄕。滄海舟人頌德聲。蓬萊仙子慣知名。也應香案求循吏。遂趣雲驂上玉京。洛邸何年拜德儀。又從賢季許深知。傷心不忍聞孤鴈。遙望丹山涕淚垂。</text>
<title>朴參奉 漢東 挽</title>,<text>龐公棲隱古襄陽。琴谷瑤徽寶韻洋。南野先生賢伯胤。聖朝遺逸孝齋郞。林園淸福貧猶樂。書史眞工老且彊。從此鄕隣無耉德。冥衢抆淚獨彷徨。</text>
<title>李丈 重祖 挽</title>,<text>顧翁亭子百年墟。其下蕭然碩老廬。世事不平堪隱麴。家傳有寶是觀書。雅儀想見丹山鶴。淸福閒看墨浦魚。忠孝根基留謝樹。地雷何日報春噓。先朝淸蹕駐園春。歲歲鳴冤草野臣。其奈皓蒼猶未定。也應歸拜健陵晨。</text>
<title>龜窩金公 㙆 輓</title>,<text>詩禮家傳又里仁。魯多君子展如人。先朝則哲紆心簡。後學攸依襲座春。不問知爲湖學士。有能典禮舜庭臣。賓筵近日公言重。三古休治謂可新。夫子名猶先後揚。吾師篤學告明王。斯文益重陶山院。大老同歸愚伏堂。今日升平思獻可。爲天下慟哭歐陽。遙瞻南嶠晨星盡。冥道徘徊我涕滂。</text>
<title>挽權濯之 進漢</title>,<text>竹老琅玕彩鳳停。明時何事隱其靈。英豪自古襄陽里。樑柱如今草澗亭。孝友根基栽寶樹。文章光價蘊靑萍。無論左海賢愚士。咸惜君歸涕泗零。峴山山北主人誰。入洞常先問濯之。浮世功名蕡郃異。百年心事管鮑知。弊窓盥露頻開牘。高榻裁燈幾話詩。白馬晩來黃菊後。枯梅瘦影見君疑。</text>
<title>輓全進士 球</title>,<text>玉削儀容錦吐腸。奎垣闊步冠膠庠。海東騷客播瓊藻。江左歸人覓梓桑。燕趙歌樽惟氣槩。島郊寒瘦自文章。蕭蕭破屋愚川里。慰有賢郞守寶箱。</text>
<title>族丈金山公輓</title>,<text>柳閣蕭蕭落木霜。梅琴一鶴去何忙。西溪父子先生宅。南郡絃歌太守堂。爲政書云周孝友。口碑銘是漢循良。秋風棧路靈車雨。聞說鄰氓涕淚滂。金陵兒女學棠歌。手植靑松寓日哦。忠孝家聲喬木里。芳陰留作萬千柯。無論高下與賢愚。有曰宗人必賜憐。倘使得官如范老。義庄應大郭南田。山南破屋不勝秋。捐俸睢陽慰索遊。泮邸一書珍重意。忍看華篆弊箱留。</text>
<title>輓鄭季文 必儉</title>,<text>鄭家從古小同賢。海臬冰淸獨有氈。五十餘年蹈實地。世間無物攪吾天。鳴泉無路假虞韶。晩卜愚溪築小寮。郡牒虛堆遺逸薦。祇敎人恨聖明朝。吾南丈席漸凋零。尙喜如公有典刑。歲暮徘徊迷墒埴。寶琴遺韻向誰聆。</text>
<title>鶴林權公 訪 挽</title>,<text>驪路騫騰話此心。大夫歸卧閉門深。棲遲宦跡同操瑟。鏗戛希音獨抱琴。仙府也應無枘鑿。至人元是藐軒簪。試看朝野賢愚士。掩淚皆傳易簀吟。</text>
<title>趙同知 宜陽 挽</title>,<text>化籟鏗然不自撞。假鳴梧竹筆如杠。一門上舍渾無數。兩世中樞罕有雙。淡泊郊寒兼島瘦。汪洋陸海又潘江。九旬晩赴瓊樓會。多少詩仙竪幟降。芙蓉峯下葉爲船。浮世吾猶見地仙。山谷婦兄坡老健。太中庚友潞公賢。竹驂迎拜知何日。芹泮陪遊記昔年。倀立冥途怊悵淚。靈光無處仰巋然。</text>
<title>輓李善始</title>,<text>文祖支孫毓慶來。明時忠孝榜中魁。休休西漢遺風度。浩浩先秦舊軆裁。窮鬼奈隨韓博士。史編惟倣呂東萊。遙憐寂寞桐湖畔。鷗鷺無情亦解哀。</text>
<title>李判書 益運 輓</title>,<text>早得依歸遂發硎。泰茅彙拔夬揚庭。明宮薦寶瑚聯璧。耆社登筵履聽星。闢廓詖邪揮禹斧。明張義理袖麟經。遐隅擧切公私慟。遙望箕躔涕泗零。</text>
<title>輓大溪李公 周楨</title>,<text>鐵城家世玉壺傳。山澤珍輝耀斗躔。潔己縣中非俗吏。臨淸閣畔有癯仙。明時宦業操齊瑟。當世詩盟主晉鞭。官舍如僧鳧舃去。獨留氷櫱壽豐鐫。十載陪遊若飮醇。詩樽談笑洛陽春。謂逢知己渾忘齒。記夢維庚共護鱗。篋裏靑綾齎厚眷。案頭華篆宿芳塵。蔡家三子傳書易。忠孝貽謨勖後人。公嘗許余少友。有忘年之敎。余嘗夢與公爲龍池遊。公有象維庚之句故云。</text>
<title>挽權幼極 襘</title>,<text>第一芙蓉妙歲春。許君林下富經綸。經綸試展羅倫紙。纔罷明廷賀得人。華而不實豈其天。驚定還疑或謾傳。厚夜遲遲長枕睡。可憐尤是季方賢。獐山經雨草萋萋。黃鳥何心啼復啼。強寫悲詞渾是淚。峨洋絃絶不堪携。</text>
<title>輓金佐郞 龍範</title>,<text>晩翠軒松百尺長。滿庭喬蔭藹仙香。騫騰若未天翁老。棲屑猶無世態忙。展也淳眞嶠下士。居然蕭散禁中郞。不堪提道公家事。稍慰羣蘭次第芳。花柳長安盛歲遊。曾隨驥尾上龍頭。何年索米俱爲客。每夜聯衾却慰愁。別後音書憐白髮。病時顔面隔靑眸。依依泮水橋西宅。倍憶前塵涕泗流。</text>
<title>悼宗姪繼成 宗纘</title>,<text>嗚呼吾繼成。欲誄淚先橫。書劒崢嶸氣。箕裘孝友誠。門親方倚仗。州里又聲名。忍說殷山寺。經燈半夜明。嗚呼吾繼成。欲語又呑聲。汝去脩樑折。終看大廈傾。何忙兒喚父。誰遣弟隨兄。行路猶云惻。同堂况至情。嗚呼吾繼成。天意固難評。先廟誰看護。貧閨奈孑惸。芳蘭交藹藹。碩果有生生。存者悠悠責。何辭慰汝行。</text>
<title>鄭春秋丈 易簡 挽</title>,<text>蕭然褐布晦而光。一部春秋肚裏藏。左海烟霞皆杖屨。白山花鳥自文章。酒酣以往多燕感。風詠而歸信魯狂。寸管何容摸寫得。只將先輓淚塵箱。</text>
<title>淵谷金丈 龜鍊 輓</title>,<text>睡老家庭有斐賢。芙蓉簪佩耀當年。梅心桂性淸而辢。玉彩金精粹以堅。憂患理排難處地。靜虛閒養自來天。如今耆德凋零盡。鄕里鯫生涕泗漣。</text>
<title>輓權丈 若采</title>,<text>鷗亭遺馥藹龜東。古老於今見此翁。游刃恢恢康濟業。醇醪淡淡太和風。方欣篤學佳孫在。那意乘雲孝子同。共惜鄕隣無耉德。無從我涕自無窮。</text>
<title>壺谷柳公 範休 挽</title>,<text>湖門先覺魯靈餘。枕澗亭深牖廣居。三世簪纓林下望。一生操履案頭書。是非波蕩超然靜。左右源逢澹若虗。後學今無依仰地。冥途倀立涕盈裾。</text>
<title>成進士 彦根 輓</title>,<text>氷櫱傳家襲剩芳。梅癯桂辢秀而剛。優遊講業紹修院。藹蔚蜚英太學堂。大老壽康由好德。至人耕稼自文章。芹歌後進今華鬢。回首陪遊涕滿眶。</text>
<title>貞窩黃公 龍漢 挽</title>,<text>小白雲霞任卷舒。靜非枯淡寂非虗。喫來閑漢山中味。吐出先秦以上書。待問如鍾隨手叩。啓蒙抽鍵洗頭梳。天高獨未臯音徹。胡乃悠悠駕翅車。先人輓軸賁幽扃。孤露餘生仰魯靈。從此嶠鄕尤寂寞。瑤琴寶韻向誰聆。</text>
<title>金都事 直 輓</title>,<text>先公廬墓以傳家。鄕里皆稱行誼嘉。素履幽貞甘咬菜。綵衣愉惋舞簪花。芝園經濟春長在。棠幕棲遲日已斜。遙想仙班無世態。也應虛左迓雲車。先人杖屨日相隨。小子猶曾及見之。魯殿巋存寥落後。龐床時問起居儀。方嗟季世無公議。那意皇天不憗遺。歲暮蒼松山下宅。白頭來哭故人兒。</text>
<title>輓槐潭裴處士 相說○緬禮時</title>,<text>近閱槐潭遺稿文。同時恨未一知君。忽聞丹旐人間出。忠烈碑前處士墳。</text>
<title>挽金判書 相休</title>,<text>文章經學故家傳。冠佩淸朝第一賢。鍾鼎不曾渝素履。笙鏞方且賁朱絃。嶠南化洽東溟雨。宇內名高北斗躔。棠下陪遊心尙醉。自憐無路薦雞綿。</text>
<title>李丈 宜謙 輓</title>,<text>魯殿巋然喜獨存。金城山下丈人村。蟬聯世業簪纓赫。鶴立風儀齒德尊。老去琴書消歲月。種來蘭玉課兒孫。先人庚誼通家子。遙望南雲哭廟門。</text>
<title>輓金仁必 樂壽</title>,<text>藹蔚東洲草樹馨。風流文雅稱名亭。華猶懋實無邊餙。荒且賙飢有客銘。藥裹經年憐瘦鶴。遺書滿架付賢螟。鄕鄰搖落佳朋逝。倀立斜陽涕泗零。</text>
<title>挽金參判公穆 煕周</title>,<text>淑氣嶠南鍾偉人。藹然風度秀而眞。師門炙德承洪簴。王國觀光薦席珍。峻選奎華鳴玉珮。儼登台座嚲金紳。司每被重宸眷。衆口皆銘四府春。衛道重新夫子像。占閒常謂葛天民。江湖退亦葵誠切。几案衰猶竹簡親。病裏矜莊猶氣力。閑來著述自精神。文詞汪淡平如水。論議從容飮若醇。每仰德星輝大嶺。那知卿月晦蒼旻。渭陽厚誼偏推眷。泮下羈蹤愧躡塵。蓮帖少時拚末契。鳳樓斜日接芳隣。峨洋敢擬牙琴和。潦倒常憐杜屋貧。數載漳濱違相紼。強題哀幅淚盈巾。</text>
<title>輓柳子儀 韶休</title>,<text>岐南喬木里。詩禮襲遺馨。劬學登司馬。傳家課秀螟。水雲閑世界。冰玉靜儀形。遙慰塤床老。塊然獨抱絰。桂林吾姊宅。君又渭陽賓。兩地俱寥落。前遊宛劫塵。</text>
<title>輓黃子儀 喆漢</title>,<text>儀度頎然接藹然。嗟哉惟孝友于賢。息翁家裏詩書禮。小白山中草樹烟。論議激昂三代上。生涯康濟百花前。藥爐無力風燈迫。弟孑孫孤又可憐。</text>
<title>輓李而拱 奎鎭</title>,<text>先朝於樂辟廱宮。遐邇于于鼓舞中。忠孝壯元由是擢。文章淪落古來同。家居父子前臺侍。老去湖山好主翁。簪笏箕裘能事了。爲君瓌器涕無窮。君卧林泉我洛覊。每逢賢胤話前時。共憐斜日黃昏近。遙憶晴虹半夜奇。海棘非鸞棲久地。江湖無鴈寄來詩。泮遊落落晨星盡。回首西風不勝悲。</text>
<title>李參判 龜雲 輓</title>,<text>丹砂靑壁洞天如。中有蕭然宰相廬。海左笙簧夫子里。山南琴鶴使君車。門庭克熾謙猶下。爵齒俱尊澹若虗。鄰境少年今短髮。夕陽來拜涕盈裾。</text>
<title>輓內兄權衡之 度中</title>,<text>藐余五歲哭天只。幼少來往渭陽里。猗外王母綏介祉。一家瀜洽和氣裏。謂我髫齡汝何恃。眷撫冞篤偕我姊。亦我溫溫內舅氏。色養愉惋供滫瀡。舅氏悅親以爲喜。每於小子視猶子。舅氏有子公實是。長我一年甲之癸。自夫騎篠摘梨李。以至綴文課書史。謂磨長劒剸犀兕。游刃恢恢是長技。見公才調旣如此。胡乃坎坷隱不市。見公牢確又如彼。胡乃剝落漂轉徙。公處屯邅獨賁趾。酒後時吐晴虹紫。携竿斗峽溪有鯉。扶杖太白山有杞。縱敎苦海浮一蟻。猶是虛舟盡日艤。不才猶竊紅白紙。長風𥳽揚愧前粃。見我才拙爲貧仕。每言有道貧賤恥。歲暮金風蕭颯起。白首靑眸澹相視。有時出山不我鄙。從容笑語移長晷。那意一朝蘭質委。浮世泡花未六紀。嗟哉季君孑無比。有髮頭陀老更跛。嗟哉小郞異凡髓。丱兮胡不見突爾。若川之游茫無涘。如棟之摧屋隨圮。惟是種善多積累。皓蒼有復終則始。報應惟響坐可俟。是於公家竊有企。公歸丹旐影旖旎。何處靑山一坏峙。嗚呼惜哉又慟矣。慟惜之辭是爲誄。</text>
<title>輓柳判書 相祚</title>,<text>河嶽儲精淑氣全。山南喬木菀芳年。瓊林瑞霱乘嘉會。勳府台星占上筵。三達尊榮攸好地。四朝元老太和天。鶴齋寥落隨箕御。悵憶前遊涕泗漣。</text>
<title>輓族兄 時漢</title>,<text>蕭灑癯梅又辢薑。魯靈巋立水雲庄。詩書剩馥依楸蔭。孝友元符襲棣芳。兩世抱螟氈有托。八旬騎鶴羽如霜。天何不憗吾門老。孤露餘生泣涕滂。</text>
<title>輓權公弼 象度</title>,<text>喬木巖亭畔。踈茅處士廬。芝眉太白老。藜火草玄書。細字看爲祟。羸躬樂自舒。貞痾知篤孝。天奈促雲車。近聯瓜葛若親査。平素心交到老加。縱敎扶衰仁里到。那堪悄對故人家。</text>
<title>輓鄭明應 必奎</title>,<text>憶昔同搴泮沼蓮。臨風玉樹藹芳年。聖朝遺逸縻淸罽。故宅醇儒襲寶氊。斂約工夫惟實地。淳眞氣味自全天。遙憐洛水東西岸。多士彷徨涕泗漣。</text>
<title>輓權進士 思浹</title>,<text>早登芹沼騁杠毫。文彩風流一世豪。周喜拙猶綜理密。魯稱狂且脚跟牢。靑巖故宅靈光屹。太白深山酒隱高。閱盡仙家多少劫。也應丹穴有奇毛。中原鞭弭躡芳塵。鳳旅多年又接鄰。石寮松亭文酒會。舊遊回首却沾巾。</text>
<title>輓金叔經 煕昇</title>,<text>高門簪組燦然多。頖水靑衫鬂獨皤。滄海遺珠從古歎。只敎詩詠碩人薖。幾度追隨會以文。峨洋深契老逾勤。遺芳剩在龜山社。能使踈慵尾附云。</text>
<title>輓琴 養純</title>,<text>蒼蘿明月一家春。林下吾曾見偉人。老去軒昂猶氣槩。閒居收斂自精神。忘年猥被牙琴和。超世惟慳偃室臻。鳳誌如修高士傳。同堂聯璧㹅希珍。</text>
<title>輓族老誠汝 明中</title>,<text>東園花樹白茅堂。嘯祖楸陰厚澤長。緖業傳承肥孝友。襟懷夷曠蘊柔剛。垂髫翰墨魚同隊。皤髮棋樽鷺作行。長我一年差健我。居然先逝我心傷。</text>
<title>輓李廣瀨 野淳</title>,<text>復得賢孫夫子廬。師門遺澤至今餘。莊修白石橋邊渡。咀嚼光明室裏書。臯鶴聞天縻爾爵。沙鷗留約遂吾初。芝窩葛館凋零淚。又送公歸濕滿裾。</text>
<title>輓金聖玉 斗煥</title>,<text>杜稜深夜讀書燈。磨玉爲壺炯似氷。抱璞三朝君莫恨。藍田日暖寶輝升。年少臺端舞綵衣。謂君淸福世間稀。如何馹騎臨門日。遽爾高堂鶴馭歸。</text>
<title>悼柳甥孟賢 升文</title>,<text>慟哭吾甥柳孟賢。人言君逝豈其然。其然果是天難定。胡賦之豊嗇爾年。爾年雖少老成儀。詩禮承家篤孝慈。孝慈俱未如心盡。上有重堂下有兒。有兒蘭蕙已成童。家務棼棼付乃翁。乃翁衰矣那堪做。鱞且纍然見昨冬。昨冬陽月爲誰回。鴨樹山前適我來。我來增惹君懷惡。送至溪陽餞一盃。一盃相別遽茫然。浮世滄桑酷是年。是年我亦喪威汩。白首今來哭孟賢。</text>
<title>輓李衢隱學先</title>,<text>海東夫子裔。又是鄭家同。淬礪陶齋士。棲遲約墅翁。氣鍾淸洛秀。詩對白山雄。從古騷人恨。昌黎困五窮。一甲猶先進。追隨少壯同。走僵三退舍。搖落兩成翁。廟罽頻還滯。山情老益雄。聞孫驥路闊。餘慶也無窮。</text>
<title>輓黃度叔 志憲</title>,<text>幽人貞吉履其旋。我識丹丘隱士賢。斂約居鄕眞處子。優游無事小神仙。四昇平自康寧好。三達尊惟齒德全。坐頷諸孫淸福老。忽聞鸞馭去飄然。</text>
<title>輓朴毅如 弘仁</title>,<text>孤松遺蔭欝然蒼。文藻江山大振芳。律己謙和仍種德。肥家孝友遂多祥。兒登司馬愉華甲。軒出飛翬喜肯堂。穩享人間淸福去。風流從此寂吾鄕。</text>
<title>輓宋季綏 錫祜</title>,<text>劫界風燈四紀周。古亭榛樹不勝秋。肥家孝友鄕隣艶。遯世生涯水竹優。冥府騎雲兄弟去。高門種玉子孫留。斑衣舞罷歸丹旐。叵慰春堂日暮愁。</text>
<title>輓趙進士汝涵 顯佐</title>,<text>八友軒庭一甲年。小同尤是稱家賢。周旋旗皷詩聲播。齊整衣冠雅執堅。老去功名登璧沼。閒居氣味飮甘泉。苦多未了高門事。搖落山齋鎖暮烟。</text>
<title>輓吳丈 司重</title>,<text>巋然獨立竹翁門。闡發先休是孝孫。世務雖繁書對案。客來常喜酒盈樽。無中措置絰綸富。急處從容氣味溫。斜日泉齋虗席右。風流寥落隔溪村。</text>
<title>挽族丈 道中</title>,<text>庭畔槐陰向晩移。山南茅屋雪多時。風儀一點塵埃凈。地望三尊齒德推。滫瀡不貧嗟子孝。源流無盡奈孫遲。騎雲會是潛雷夜。碩果回春定有期。</text>
<title>輓金英仲 永眞</title>,<text>喬木扶踈郡堞東。主人常在敬樓中。彬彬世篤詩書業。秩秩鄕居謹厚風。追遠丕新修廟宇。敦宗尤急濟貧窮。那堪哭送同庚友。蘭社如今一半空。</text>
<title>輓宋養中 弘德</title>,<text>襄陽孝子哭欒欒。病裏拚號不少寬。仙府也應歸侍綵。小郞其奈未勝冠。冶罏劒氣干星逗。梅老遺芬耐雪寒。極浦霜淸孤鴈叫。故人西望涕汍瀾。</text>
<title>輓金丈 龜煥</title>,<text>勿老遺芬行誼敦。杜稜西畔丈人村。林園措置經綸富。鄕社優游地望尊。荒歲麥舟勤種德。妙齡蓮籍遂貽孫。人間五福公何憾。只有鯫生哭廟門。</text>
<title>挽李後溪 頤淳</title>,<text>良玉溫如又栗如。是爲琬琰與瓊琚。明時薦寶猶遺璧。閑界硏精獨抱書。展也海東夫子裔。蕭然湖上使君車。嶠鄕耉德晨星盡。講塾淸凉上座虛。</text>
<title>挽金逸少 永羲</title>,<text>龜鶴名亭嶺下高。主人淸福卜林臯。詞章着手仍鋪錦。文義尋頭細入毫。三道衣裳䟽首圈。一生操履竪跟牢。誰敎十度歸西灞。有五男兒揔勝陶。先契金蘭剩襲馨。白頭相對澹忘形。鄕風老入耆英社。佳會時登霽月亭。龜鋟重新工未了。鷗遊纔罷酒初醒。忽聞鸞馭悠然逝。况也長吁涕泗零。</text>
<title>挽徐幼祥 榦發</title>,<text>鶴下于皋物外翔。登西樓畔月如霜。梧翁詩禮承衣鉢。楓嶽烟霞裹笈箱。天不假年充素學。世多懷寶秘幽光。蔡邕書籍何人守。輸與賢咸洊國庠。</text>
<title>輓三從弟穉春 時寅</title>,<text>欲輓吾何忍。嗚呼穉春賢。穉春賢上舍。吾家有惠連。君才敏而贍。君操確而堅。厚積發英華。一擧早搴蓮。芙蓉臺勝會。提携共聯翩。洞黌課士節。吾老未能專。推君主一席。文酒共周旋。喜君篤惟斅。佳胤襲家傳。培根未食實。那意海桑田。向時鄕黨語。稱君福履圓。喪威近何疊。荒愁又苦纏。愛君能理排。隨分以節宣。優遊惟實地。眞率自全天。謂君餘日富。康濟好林泉。纔踰不夭歲。胡作未老仙。搖落先亭里。踽立涕泗漣。我𥌒誰可相。我跛誰扶顚。鸛浦迷斜日。泉黌杳夕烟。不悲無幾矣。未泯姑衋焉。不忍吾無輓。和淚寄殘篇。</text>
<title>挽李新野公宅 仁行</title>,<text>先朝作育振思皇。魯泮遊人閟寢郞。人爵元從天爵至。胄僚殊眷荷龍光。北關風雪杳何年。迅掃輕陰大化天。憂患玉成皆聖賜。遂令操履老逾堅。大耋看書眼益明。鏗然擲地自金聲。積來贍富抽爲約。海內能言獨擅衡。先師遺敎舊伊齋。公爲吾人着力排。待問洪鍾聲忽秘。自今無處見模楷。少同蓮稧老同痾。蘭臭同人又是多。衰朽居然先送別。不悲無幾奈悲何。</text>
<title>挽姜擎廈</title>,<text>太白山中侍御家。經床來撲萬松花。詞章燦爛鋪瓊藻。氣味淸高倚玉葭。峻選胄筵方擬罽。先休節惠未宣麻。螟庭種得皆稀寶。不必遺珠爲世嗟。文章光焰倏成陳。造物無端却戲人。惟有世間三不朽。肯敎消爛劫灰塵。濂亭霽月鳳樓樽。芳躅依依一夢痕。歲暮晨星無限慟。病眸垂淚獨銷魂。</text>
<title>挽李進士 祥發</title>,<text>碩老頎然坐小庵。金城屹立柱東南。中原執弭英聲播。滄海遺珠寶氣涵。星斗光芒留藻篋。氷霜剩馥護梅龕。九旬去赴瓊樓會。輸與人間不朽三。</text>
