<title>謁箕聖墓。續守護所板上韻。</title>,<text>北兎山城外。一抔土幾春。焚香因四拜。我本化中人。</text>
<title>贈李秉實</title>,<text>余自弱年。素聞沙村之李。爲關西望族。慕仰之深。而未及相訪矣。忽有二靑年連袂過我。竊看其風儀堂堂。已覺其令人起敬。而况其文學夙成。一能賦一能詩。語其契則從昆弟也。又以詩相見。謹步其韻。畧敍其相訪之勤。兼道其奉勉之意云爾。朝陽客帶夕陽來。一揖相逢眼已開。天下未嘗無傑士。世間何限棄英才。細看萬理皆如燭。力進前程忽有臺。眞樂堪從賢者語。尋常榮辱摠塵埃。</text>
<title>謝洪彥明委訪</title>,<text>信息今朝怪甚眞。果然客到塌生春。纔從階下請爲席。已覺胷中减却塵。善若不䂓非益友。道能相合是佳賓。白駒不偶山門下。願得餘論自潔新。</text>
<title>送李泗川用煕歸江州</title>,<text>名聲膾炙已多時。何幸時逢肯別離。非獨神方能卓越。第觀儀表最舒遲。鄕懷欲忘聞蟬急。峽路多難信馬知。不日江州山水屋。將看稚子侯門期。</text>
<title>同諸儒登玉洞齋後峰</title>,<text>蓬門遙隔世炎蒸。獨愛泉林奇一層。風驅流川同遠走。雲攀泰岳始飛騰。無詩不敢東臺去。東臺素稱名勝。有約未遂故云。 有酒何妨小峀登。聞道斯文東渡海。眞儒千載幾人興。</text>
<title>登吐螺山</title>,<text>吐螺山色翠雲邊。今日登臨眼豁然。指點千峰皆小垤。摩挲一片是靑天。瀉情不可無詩軸。謀醉况能有酒錢。歸路斜陽誰最健。兩三白髮數靑年。</text>
<title>登香積寺</title>,<text>梵宮櫛比啓朱扉。中有禪翁坐翠微。上天與我本無間。平地有仙何必飛。如使心中長念呪。自然眉上放光輝。灑落鍾聲昏夢裏。何山杜宇亂啼歸。</text>
<title>陽和寺。同曺倅寅承吟。</title>,<text>坐來樓若半天依。萬像不勞寓眼知。報國昇平烽落處。念山昏黑鳥棲時。明月圓開太守面。晩鍾打起騷人思。凭欄欲做眞仙夢。隔樹閬風撼古枝。</text>
<title>香山路。滯雨天陽。</title>,<text>花柳春光處處明。一時行樂亦昇平。酒呼羹定巡無數。雨打風鳴亂有聲。溪或奔騰舟可渡。山因奇絶路多傾。三霄會宿天陽社。且喜朋情面面成。</text>
<title>遊龜井崖</title>,<text>暇日淸遊龜井下。嵯峨石氣夏猶寒。古澤水深魚可釣。幽林日出露方乾。酒能喚客三盃足。磐可坐人數步寬。歌聲欲歇詩盟起。始識羣賢興未闌。</text>
<title>乘舟過合水臺</title>,<text>我友來時天氣淸。路多奇絶不嫌傾。扁舟勢短風生力。急水灘鳴洞有聲。依岸長松均借蔭。隔江啼鳥自言名。斜陽來泊德山下。數曲漁歌畫太平。</text>
<title>過安州</title>,<text>當寒跋涉亦淸遊。一路長長又水流。眼界初寬星里外。烟光最好滻江頭。人何多事來還𨓏。雲或無心翠且浮。暮向安州城下宿。三聲畫角夢中收。</text>
<title>日南樓張樂</title>,<text>融融仙樂動高樓。太守登臨客又稠。十里雲收寬野色。南風麥熟解人憂。官民同好傾樽蟻。父老爭觀引杖鳩。今日淸遊誰主張。此身如在半天留。</text>
<title>箕林與友人閒敍</title>,<text>錦繡江山物色明。風烟完似洛陽城。客歸水北如千里。酒到亭中始太平。萬事差遲終蠧食。一年倏忽又蟬鳴。携朋與語箕林下。往往蒼陰盡日傾。</text>
<title>戊辰立春</title>,<text>扁楣大字寫王春。天地一番又換新。愛日將長全孝子。東風初起撼幽人。窮陰夜逐玄冥去。百物朝從木帝親。誰在其間能轉斡。方知造化豁無津。</text>
<title>丙子因旱大饑。翌春時雨屢降。</title>,<text>每恨桔槹未暫閒。忽然雲化雨千山。打來柳岸垂垂綠。灑去花城點點斑。最喜西疇甘霈足。更蘇四海大飢顔。看看禾麥靑如織。饒得昇平氣象還。</text>
<title>壬午立春。在前年臘月望後。</title>,<text>天時忽忽欲相催。輕暖惹人晩上臺。月向三冬窮處滿。春從百蟄啓時回。松驚舊㥘迎風咽。梅喜前衝戰雪開。不遠山窓元日會。將看椒栢滿香盃。</text>
<title>小隱齋雅會</title>,<text>牧丹峰秀浿江淸。從古賢流出此城。藥圃花明春有跡。講林月白夜多情。人皆仰敎知多術。客亦趍風已感誠。蒙士亦能鄒魯說。英才不必患無成。</text>
<title>賞雪</title>,<text>早發三陽到藥城。滿程瓊屑動精神。雲天月白因無夜。凍藪花明却有春。山洗塵顔渾削玉。水如鏡面摠翻銀。誰人先賞龍門勝。千古一遊再問津。</text>
<title>治圃</title>,<text>世外炎凉於我何。生來滋味此中多。和烟種菜如封垤。帶雨入渠若决河。努力栽培宜碩果。留心除去奈荒蘿。滿筐秋色靑黃雜。一飽飢腸喜欲歌。</text>
<title>鄕射禮韻</title>,<text>江壇挾樹盡淸陰。高會賓朋樂意深。旨酒嘉肴要盡醉。長歌短瑟秩成音。挾弓皆有英雄態。反己始知君子心。矍相遺儀今復見。一詩爲向故人吟。</text>
<title>庭松</title>,<text>一樹庭前歲色遲。垂垂子葉又孫枝。尋常傲雪何能爾。早晩參天自有期。淸響可聽風去處。綠陰最好暑來時。摩挲不覺令人愛。獨秀千霜豈我思。</text>
<title>燈</title>,<text>靑燈啓我昏衢眼。却恨當年埴過。近照昭昭如白日。高懸淡淡似明河。士因繼晷工程倍。女得末光夜績多。列在五行功最大。誰人能作短檠歌。</text>
<title>挽鮮于同知</title>,<text>滄浪亭水發源深。遙入層溟萬里潯。三世追榮看鬂玉。一家餘慶雜纓簪。人間八耋仙緣足。殷後千年古譜尋。無計能令公復起。誰人到此不沾襟。</text>
<title>弱隱亭詞</title>,<text>六極之中。弱居其一。人實厭之。卬不敢辭。自顧作爲。表裏俱弱。執心未堅。是爲內弱。制行未高。是爲外弱。出言未果。是爲膽弱。臨事無斷。是爲計弱。仁不覆物。是爲柔弱。智不燭理。是爲昏弱。勇不兼人。是爲懦弱。與世相違。是爲愚弱。弱而或强。不必爲弱。百事俱弱。方是眞弱。實有是弱。弱何可辭。維此弱之相隨兮。誓與我而終始。彼世事之强擔兮。任夫也之經理。退深林而屈首兮。但終日而塑跪。寂無事於閒中兮。左有經而右史。日不足而夜繼兮。庶乎樂而忘禩。維洛閩之垂訓兮。炳百秋之南指。恐自反而不縮兮。對上帝於尺咫。析微言於毫縷兮。恐亂朱而惡紫。人鬼分於一念兮。要復禮而克己。溯千載而默念兮。道在斯而何俟。顧任重而道遠兮。奈弱漢之難恃。溪山僻而深秀兮。考我槃而永矢。隔世外之炎凉兮。坦吾生之素履。起一亭於中林兮。與主人而相倚。採其實而命名兮。曰弱隱而莫美。</text>
<title>玉洞見月</title>,<text>徘徊出海東。明散九州同。爲爾無私照。能成代日功。</text>
<title>壬辰春。擧一男孫。又鑿得石間小泉。姸姸兒涓涓泉。俱係可愛。每淸晨。抱兒觀泉。想世間滋味無可以加於此。故戲題小詩一絶。</title>,<text>村卷閒無事。市朝閙有言。世間何許樂。能似抱兒孫。</text>
<title>乘夜迎醫</title>,<text>半生無所得。只顧鬢雙銀。妻有難治疾。家傳難救貧。迎醫不憚夜。逢稔每如春。細念年來事。天何困此人。</text>
<title>李老人回甲</title>,<text>山翁不出山。老去益淸閒。人多無此宴。天豈有私顔。十襲靑氈舊。三趨彩袖斑。翹首遙相祝。一心徒往還。</text>
<title>訪屛泉主人</title>,<text>屛泉有高士。新開讀書堂。方塘專一面。靑山阻三傍。詠詩花鳥愁。奏琴山水蒼。我欲觀其人。携筇步斜陽。</text>
<title>和鄭就奎</title>,<text>道統垂今日。有書又有詩。爲賢無不可。爲聖亦云宜。可惜諸君子。猖狂失性資。詞章姑舍是。記誦奈如玆。雖有聰明者。奈知德業基。閉門忘世事。遷善喜人䂓。數日從遊地。羡君自得師。眞情已見了。來事可知之。進進竿頭步。不須更費詞。天陽此去近。早晩馳瞻思。</text>
<title>偶吟</title>,<text>深深小屋傍山開。雲近書窓月近杯。若把遺經眞積力。無窮好事箇中來。</text>
<title>續諸儒力役之作</title>,<text>築室便如九仞山。年年力役未曾閒。傍多惡石無眞土。弱脊擔來况夜間。</text>
<title>贈思聰齋主人</title>,<text>爲學工夫貴及時。有心何患不能知。試將敬字孜孜進。未必前程見效遲。</text>
<title>月夜乘舟</title>,<text>月滿仙舟水似秋。主人勸我一番遊。山翁不識淸江興。起向芳洲問白鷗。</text>
<title>暮春。新掃江壇。</title>,<text>春晩洞天物色新。禮壇汛掃綠江邊。舞雩千載風猶在。曰我東南濟濟人。</text>
<title>濯川</title>,<text>炎風驅我片時行。來坐靑山綠水聲。餘熱猶存歸意㥘。更遲一路敍幽情。</text>
<title>江壇新晴</title>,<text>風高雲散月方來。自是遊人大眼開。復得江聲能悅耳。不妨今夜盡春杯。</text>
<title>江壇晩興</title>,<text>三伏淸凉恠不時。挾江水月夜相期。塵衿爲向蒼波洗。滿目風烟合有詩。</text>
<title>月林歸路</title>,<text>道傍花柳半靑樓。一任東南客去留。幸有餘錢囊底在。呼兒覔酒盡風流。</text>
<title>崔洛九見訪</title>,<text>寂寞山庵喜客尋。一杯笑答十年心。欣然顧我逍遙處。巖似靈龜老至今。</text>
<title>屛泉閒敍</title>,<text>九曲屛泉萬樹林。主人意思兩相深。亂酌不辭今日醉。爲君欲學少年心。</text>
<title>聞本倅治蹟甚佳</title>,<text>埋跡溪岑隔世音。朱門咫尺杳難尋。一山梅竹書生計。百里林葱太守任。蔀屋春廻民事熱。琴堂晝永聖恩深。吾人瞻仰今相切。安得仁風慰此心。</text>
<title>春雨</title>,<text>流雲一點過山陽。滴滴鈴音徹夜長。風驅江天振鷺白。雷穿海窟叫龍蒼。川呑衆水方成勢。山洗積塵忽有光。然後神公行造化。千紅百綠入觀望。</text>
<title>新夏卽事</title>,<text>天時人事迭相成。騷客登欄雨適晴。萬樹紅殘新謝蝶。千山綠入已啼鶯。閒閒十畝蚕功始。陣陣南風麥浪平。援筆欲題窓外景。烟雲多處大江橫。</text>
<title>續諸儒藥山韻</title>,<text>已識東臺素有名。聞君說話更分明。山從平地千尋起。江抱長城四面鳴。天下方知眞界在。雲間暫伴老仙行。勝區又得春光好。誰把新詩描畫成。</text>
<title>村居</title>,<text>紛紜世事不須論。短髮鬆鬆老一村。露處山深形似隱。頻傾酒薄醉無痕。賢何可用愚猶足。貴亦難堪賤與婚。惟向西疇窮歲月。父承祖訓又傳孫。</text>
<title>除草</title>,<text>一片荒田隔洞門。驕蓈豐草共相呑。土乾時雨方輕浥。麥秀南風又欲溫。急電生鋤翻覆手。露珠轉葉始歸村。三杯濁酒秋成後。欲慰前冬凍死魂。</text>
<title>柳</title>,<text>一生知己屬淵明。故傍先生宅下生。千萬不當羗笛㤪。十分可笑春梅爭。片時輕薄休來蝶。三月繁華始有鶯。第待靑門烟雨歇。風頭枝葉盡春聲。</text>
<title>飯牛</title>,<text>一隻駑牛重十龜。家家飯養欲何爲。已堪致力搬柴日。又不辭勞服耟時。休道輕蹄難似馬。第看厚德便如麒。最憐飢骨恒多役。絜入蒼林一飽宜。</text>
<title>讀三國誌</title>,<text>紛紛風雨幾時淸。天下三分敵手生。萬甲曹携中土勢。千艘吳挾大江行。可憐劉氏將衰運。賴得孔明少有聲。掩卷重歎司馬事。豈知帝業欺人成。</text>
<title>講會</title>,<text>道無形象聖垂言。千古相傳一理存。翼對百家儒者案。肯謀十載少年樽。欲向斯文尋路脉。須將敬字定神魂。回看宇宙茫茫裏。幾箇男兒報佛恩。</text>
<title>江亭新晴</title>,<text>新閣飄然又別區。親朋謀我一番遊。西風掠地雲收壑。白日橫天水送舟。林郭無心歸石鷰。烟村何處喚江鷗。三杯醉臥明沙岸。蒻笠簑衣不復求。</text>
<title>次齋儒香山韻</title>,<text>洞府深深水石舂。鎭西一嶽簇千峰。荇人往事悲狐兎。釋氏新宮盤虎龍。竹杖來來誰俗客。天梯嶫嶫是仙蹤。尋眞舊約嗟成晩。笑向藍輿問佛鍾。</text>
<title>齋居有懷</title>,<text>萬事是非交錯處。誰能明視似秋鷹。春城莫近花如妓。笁國多欺佛誤僧。庭植梧桐招瑞鳳。飯疎烹宰惡蒼蠅。題詩叫破諸君夢。世路難於百級磴。</text>
<title>戊戌暮春。登香積山。</title>,<text>仙岑知在白雲深。扶病隨僧强一尋。尙有餘春花在峽。頓無塵事鳥啼林。到處相逢前日面。片時如得少年心。名區不可居然過。畧拾風光付一吟。</text>
<title>旬休日消遣</title>,<text>松壇壓在水之涯。無限風光面面佳。四座初圓爭送酒。三春欲暮又開花。浮生素愛靑山約。童子休言白日斜。一斗且從多士醉。任他景物眼前遮。</text>
<title>次映碧軒板上韻</title>,<text>滿地烟霞晻映中。主人心事淡然空。近樓水碧貪看月。繞屋松長愛聽風。有命且休談富貴。讀書第可作英雄。英雄愼勿尋常見。屈指千秋孰與同。</text>
<title>示同講諸儒</title>,<text>晨窓坐聽讀書聲。聖聖言言句句明。從古令名誰最大。根天本性我猶淸。事無不自心中出。道豈能從禮外行。若到斯間眞有得。尋常榮辱果然輕。</text>
<title>和洪倅 承五</title>,<text>前夜福星照滿庭。西來五馬仗王靈。梅穿閣雪輕浮白。蓂帶階春暗拕靑。百里治聲留後史。半生居業愧前經。郢音欲和陽春闋。其奈浮沉已判形。</text>
<title>贈塢川諸儒</title>,<text>白駒嘶人暮春風。滿路花明客袖紅。邂逅眼靑三揖後。慇懃情在不言中。讀書林下雖多士。得道人間幾箇雄。事業無窮年矢走。勉君夙夜永譽終。</text>
<title>贈金朋植</title>,<text>何幸此時作逸民。芸牕日月况靑春。性皆本善非徒聖。道不難行只在人。我欲求仁觀若火。誰能修祐積如薪。假令進進竿頭步。何患工程未逼眞。</text>
<title>贈金淵兢</title>,<text>林菴事罕閉蓬扉。客自何來訪式微。舊誼將論因促席。餘懷未了更攀衣。異言當路人誰闢。大道如天識者稀。一脉斯文扶植意。惟君心事不相違。</text>
<title>贈鮮于</title>,<text>巖穴深深可卜居。囂塵不染隱人裾。山間事業田中粟。天下經綸案上書。大抵工夫須用敬。果然心體本來虛。若能循序孜孜進。畢竟受應綽有餘。</text>
<title>經義齋歸路有感</title>,<text>大抵吾生不偶生。生無所益便無生。古人事業具黃卷。此日工夫在血誠。只可據今謀有得。何庸到老嘆無成。斂衿默坐明牕下。松樹欲靑月未盈。</text>
<title>同全倅遊龜井崖</title>,<text>靑衿朱紱雜相遊。一嘯層巖最上頭。移步看山皆別界。任情隨澗盡淸流。探香花國憎來蝶。取適漁村懶送鷗。追憶家兄無恙日。同攀此石坐新秋。</text>
<title>續湖南學者詩</title>,<text>茫茫至理極玄玄。齒角元來兩未全。不許文章兼富貴。難携妻子作神仙。死生通計元多夭。善惡推論每少賢。莫把窮通容知力。人間萬事摠由天。原韻假使達觀觀理玄。世間何事不雙全。滿胷經籍貧猶富。寓眼風流困亦仙。正命受來俱曰壽。眞情守去摠爲賢。况夫造化人能奪。恠彼山翁只㤪天。</text>
<title>贈盧德濟</title>,<text>天降高士定非輕。燭到昏衢並賴明。豹變自當披霧出。鳥飢不欲向人鳴。窮山得雪方生色。老樹迎風亦有聲。說與文房多少益。安心講道是昇平。</text>
<title>暇日登山堡</title>,<text>積日彷徨試一尋。依山小堡眼中森。鼠走巖端眞箇畫。鳥啼林末彼何音。新詩太拙難收景。舊友相尋貴識心。斜陽醉過柴門外。無恠仙尨吠俗衿。</text>
<title>雲齋雅會</title>,<text>侵晨催發首重回。依舊三川滚滚來。寒色休言三夜雪。陽春尙在一枝梅。吟奇絶唱招詩伯。醉愛眞情近酒杯。最喜經霜壇上樹。明年花葉一般開。</text>
<title>題講堂</title>,<text>書菴寄在小山東。往往羣賢來會同。滿地蒼江舂白石。彌天宿霧過高松。先人事古千年後。遊子歌淸四座中。醉漢不知歸步晩。冥程孤燭大爲功。</text>
<title>宗儒永泰之歸。同志者各賜以詩。奉勸爲學之方。其意誠可尙。一言相告。助其進取。</title>,<text>學貴新新戒十寒。况君來日百年寬。一生道在從容得。萬卷書宜仔細看。沒世無名眞箇恥。實心爲善果然難。歸家若問留齋㨾。但道吾人得所安。</text>
<title>箕陵丁字閣柱聯</title>,<text>演範授聖。啓蒼姬八百年文明。設條敎民。肇東土三千里風化。傷禾黍之油油。已矣往事忍說。煥寢廟之奕奕。於乎盛德不忘。</text>
<title>箕陵且齋柱聯</title>,<text>密邇弓劒。陟降有聞。夙夜羹墻。肹蠁如在。官閒簡秩。有時捲舒。市遠軒窓。無限灑落。淸明在躬。志氣如神。廓然大公。物來順應。</text>
