<title>送人作南郡。用李季眞 稹 韻。</title>,<text>小吏發長安。風光行正好。寒梅開未落。春早江南道。</text>
<title>端午日。書懷。</title>,<text>節届天中客未歸。驛亭微雨晝關扉。愁來誰共嘗蒲酒。病起猶妨試葛衣。習俗鞦韆隨處是。佳辰香火故山違。仍思此日亡琴痛。悽斷孤懷對夕暉。是日。卽仲氏忌辰。</text>
<title>驛亭漫賦</title>,<text>高亭岸幘獨徘徊。睥睨中原晩望開。忽有雲陰生劒嶽。何來雨色滿琴臺。登樓王粲頻題賦。去國虞翻尙擧杯。作此寂寥堪一笑。壯心空惜二毛催。</text>
<title>雨夜書懷</title>,<text>雨暗燈前夜榻虛。蕭然官况一僧如。乾愁禁得杯中物。殘睡勾回枕上書。鄕信少逢衡岳鴈。客餐剛厭武昌魚。秪今素計成牢落。深負興公賦遂初。</text>
<title>閱晉史</title>,<text>靑編偶閱晉西東。名下都無實用功。蠅拂本來王謝物。竹林爭尙阮嵇風。籧篨禮法淸譚裏。蠻觸山河醉眼中。誰倚平乘樓上望。百年華夏盡爲戍。</text>
<title>西原道中遇雨</title>,<text>久客中原節序遷。藍橋征邁又炎天。差差乳燕𠷢泥滓。閤閤鳴蛙閙水田。一點漏雲山日睨。半邊驅雨野風顚。披蓑厭就前途遠。忙裏羇愁集短篇。</text>
<title>次寄鼎卿堂兄</title>,<text>羇愁無賴聽吳歌。秦地歸心獨夜多。秋入旅亭蛩語咽。夢回孤枕鴈聲過。殘荷露浥團團盖。高柳凉生颯颯柯。却喜使君灘墅近。郵筒時遞短長哦。</text>
<title>疊前韻。奉鼎兄。</title>,<text>明時敢效楚狂歌。一卧江干歲月多。衰似安仁驚鬢髮。懶同中散廢經過。攻文薄技慚窺管。聞道初心昧執柯。堪恨邇來良晤阻。夜窓詩句爲誰哦。</text>
<title>鼎兄遭喪慘。余亦抱病。島潭之行。劒巖之遊。初度之會。旣望之約。皆未免差池。客懷殊覺無聊。錄呈一律。</title>,<text>三島風烟阻共遊。閉門孤舘長離憂。纔經屈子庚寅日。又負蘇仙壬戌秋。楓落劒巖空理屐。月明灘渚久拋舟。杯樽寂寞身淹病。庭畔寒花揔是愁。</text>
<title>次奉鼎卿兄</title>,<text>扁舟無恙繫淸灣。莫恠三旬斷往還。江客尙淹前月病。天公應妬向時閑。飛霜淅瀝寒侵壁。落木蕭森響滿山。强把一杯仍獨詠。近人黃菊照衰顔。</text>
<title>病餘。約會琴亭。關雨未諧。聊寓悵然之懷。錄寄鼎兄。</title>,<text>涔涔伏枕浹三旬。病起寒天覺損神。旅况已經秋作客。好期還被雨關人。杯樽久隔過從地。書卷惟親見在身。萬事本來難入意。向時何幸盍簪頻。</text>
<title>雨中。錄寄鼎卿兄。</title>,<text>寒雨冥冥入檻多。灘居淸景問如何。幾羣正濕依蘆鴈。數尺新添羃岸波。風急渡頭停賈舶。烟微沙步辨漁蓑。知君此夕登樓意。應待山陰一棹過。</text>
<title>奉鼎兄</title>,<text>歲晏中原鬢欲明。舊遊迢遞隔秦城。官同逆旅都無况。詩得江山倍有聲。雪後寒威催小至。燈前歸思坐深更。知君定就閑居賦。擬赴灘亭共細評。</text>
<title>李持平 光稷 挽</title>,<text>風裁精華藹自持。妙年身到鳳凰池。才優良史波濤筆。望蔚淸朝諫諍姿。泉壤忽埋名下士。典刑唯待腹中兒。飛騰不盡雲霄翰。可惜韶光爛熳時。</text>
<title>安承旨 後說 挽</title>,<text>自是明光起草姿。瓊琚玉佩騁文辭。論思經幄趨三晝。儲養詞垣簡一時。北斗司喉年尙妙。西州投紱病仍隨。韶華爛熳浮生促。臨絶遺篇字字悲。</text>
<title>扈駕溫泉。次靑湖志喜韻。</title>,<text>一脉眞源沸作泉。聖朝臨幸聿追先。銘盤德並殷湯浴。扶杖歡均漢詔宣。祥効百靈爭護蹕。禮羅羣彦迭開筵。神方絶勝金篦力。更祝康寧億萬年。時上以眼患。浴溫得効。</text>
<title>贈別金丈子固 紐 之任麟蹄</title>,<text>看君襟韻自恢踈。年事俱忘托契初。却喜雙鳧飛葉縣。每憐三策滯公車。稚川仙想營砂後。彭澤閑情釀秫餘。秪是新秋饒別恨。閉門凉雨病相如。</text>
<title>贈別北評事呂希天 聖齊</title>,<text>書記今從選部除。明時政注果何如。應敎幕府因人重。不是朝廷待子踈。千里白雲瞻嶺郡。五更淸漏夢宸居。懸知尺一催恩召。鳳閣鑾坡席並虛。十月黃楡落塞垣。獨携孤劒向轅門。雲天絶棧凌重嶺。靺鞨遺墟按六蕃。健騎雪山朝獵罷。元戎玉帳夜營翻。書生膽氣還堪詑。痛飮蒲萄酒滿樽。</text>
<title>贈別濟州牧李野叟 𡐔</title>,<text>飛廉護鷁駕滄溟。蜃市鯨濤破杳冥。地用素稱良馬窟。天文偏照老人星。神山一點浮瀛島。香橘千林割洞庭。自是壯觀酬宿債。休將遠役歎衰齡。</text>
<title>百祥樓。次李東岳韻。</title>,<text>忙裏偸閑乍倚樓。爲因王事辦玆遊。天邊靑染香山色。樹外澄廻薩水流。萬里關河何處盡。百年人世此生浮。乙支戰伐垂名大。看取鴻沙往跡留。</text>
<title>松都懷古。次權石洲韻。</title>,<text>極目蒹葭漾遠河。古都興廢恨如何。神嵩覇氣秋空淡。滿月荒墟夕照多。灰冷胡僧前劫話。花殘商女後庭歌。繁華往跡尋無所。謾有橋名記槖駞。</text>
<title>高山舘。次板上韻。</title>,<text>長途百慮集征鞍。世味甞來齒已酸。危棧接天關嶺險。小蹊埋雪驛亭寒。丘園素履違初志。幕府靑衫任苦顔。明日鶴城催傳去。敢將王事暫求安。</text>
<title>端川舘。次東岳韻。</title>,<text>曾聞岳老領玆州。陳跡于今歲幾周。永叔一麾滁作守。宗元千里柳爲侯。詩傳爽韻山留雪。文湧洪流海捲秋。嶺外燕公悽惋語。只堪吟誦未堪酬。</text>
<title>磨天嶺</title>,<text>地盡南關又北陲。塞門行役太支離。陰山一望渾愁色。磨嶺重踰已鬢絲。書寄鴈邊回幾日。詩從馬上覓多時。自憐千里看雲恨。孤夢前宵到謝池。</text>
<title>城津。次鄭東溟題屛韻。</title>,<text>特地城津保障哉。危譙斗入大溟開。鵶輪浴出三竿日。鯨浪奔成萬里雷。宗愨乘風追壯志。燕然勒石愧雄才。微茫蓬島知何處。騁望琅瑘卽此臺。巨浸漫空一望平。興來轟飮似長鯨。佳人玉珮燈前響。壯士金杯馬上傾。雪意政催胡地獵。月華偏照漢家營。書生未解籌邊策。但學窮途醉步兵。磨天嶺入暮雲端。悵望長吟蜀道難。北塞山川何處盡。東溟風浪幾時安。凍䨪古戍烽烟淡。水拍孤城候角寒。仍憶德陽詩記夢。楚臣當日詠湘蘭。諸公詩律敵長城。模寫風烟句裏淸。板上紗籠李東岳。屛間琬琰鄭君平。文瀾倒捲扶桑海。筆陣森開細柳營。自笑關山老書記。攻愁唯賴酒爲兵。關月蒼茫轉九霄。羇愁政似去來潮。天連漢將屯兵塞。海接秦皇駕石橋。白首晩從班定遠。紅顔虛對董嬌嬈。濤聲曉撼還家夢。覺後長安一倍遙。斬鯨臺下海漫漫。蜃氣噓成貝闕寒。欲覓長生三島藥。嗟無大釣六鰲竿。悲笳自語當宵逈。孤燭多情抵曉殘。却望秦京如隔世。遠書何日報平安。天塹周遭粉堞齊。海雲無際鳥飛低。書生學術踈軍旅。戍客歸心厭皷鼙。身度塞門衣盡弊。夢尋京國路猶迷。玆行擬伴靑春返。馬首花香政滿泥。崔嵬亭障玉門開。嗚咽寒笳日暮哀。目極魯連東蹈海。心馳漢武比登臺。龍鳴雙劒思傳檄。鰲戴三山欲渡杯。歸夢不知身作客。夜尋淸禁繞蓬萊。</text>
<title>吉城舘</title>,<text>吉城孤舘酒微酣。地主相迎半日談。此府始居關鎭九。舊疆曾割海洋三。陰山帶雪無冬夏。大嶺磨天限北南。尹瓘武功林彦記。我東千載是奇男。</text>
<title>鬼門關</title>,<text>隴阪迢迢接塞垣。中開大壑晝常昏。人情已厭趨戎幕。地號誰敎喚鬼門。陰谷深沉䨪雪色。冰湍幽咽激河源。行行世界還昭朗。蕭瑟炊烟起驛村。</text>
<title>鏡城途中</title>,<text>倚劒長吟出塞歌。北臨幽朔意如何。黃沙盡日恒迷磧。靑海無風亦起波。宇宙百年豪傑少。穹廬萬里祲氛多。開邊壯烈思文肅。寂寞荒祠信馬過。府有麗朝尹文肅瓘廟宇。</text>
<title>鏡城府</title>,<text>孤城突兀玉門關。畫角寒聲落海灣。沙漠胡氛憑劒外。塞天兵氣把杯間。侍中武烈先春嶺。岳老詩名長白山。勳業文章俱未就。自憐戎幕鬢催斑。尹文肅開拓北邊。深入胡地五百里。勒石先春嶺而還。李東岳爲評事時。有長白山前九關路。大明天下一書生之句。至今膾炙人口。頸聯及之。</text>
<title>鏡城東軒。次韓柳川韻。</title>,<text>龍庭愁望莽蒼蒼。山作尖鋩巧割膓。萬里波濤東海壯。一邦風氣北方强。人間窮處唯荒服。客裏歡悰是醉鄕。爲和新詩題幕府。隴頭明月入傾觴。</text>
<title>行營書懷</title>,<text>關月蒼茫隴水哀。故鄕迢遞客心催。陰山萬古長留雪。羗笛三更盡落梅。孤劒吼龍何處試。遠書無鴈幾時回。邊城薄酒猶堪飮。入幕羇愁賴爾開。</text>
<title>行營錄。奉李節度。</title>,<text>營開細柳戟門高。元帥臨邊此擁旄。粉黛三行環玉帳。貔貅千隊舞霜刀。嘶風駿馬靑絲絡。整翮胡鷹白錦毛。堪笑腐儒何事業。百篇詩律入揮毫。</text>
<title>行營有感</title>,<text>黃雲漠漠戍樓高。渤海無風靜怒濤。宛馬任敎肥苜蓿。漢宮誰遣出蒲萄。空存一帶長江限。虛老三邊六郡豪。未斬月支年晼晩。壯心時撫匣中刀。</text>
<title>次李節度見寄韻</title>,<text>幕府含杯散客愁。揔戎多暇引參謀。翻營古塞霜侵戟。校獵平原雪滿裘。冦準威名開北鎭。元䂓豪興在南樓。迂儒謬被軍書辟。千里羇遊鬢已秋。</text>
<title>次奉李節度</title>,<text>北斗司喉荷寵榮。簡膺專閫作長城。三邊豪傑皆增氣。九姓羗渾已識名。兵甲希文胷自運。春秋元凱癖還成。輕裘緩帶臨戎地。佇樹奇勳報聖明。誰敎戎幕廁儒冠。羇宦天涯鬢欲斑。馳檄自慚才倚馬。題詩堪笑語成蠻。囊書未贊韜猷秘。樽酒叨陪簿領閑。擬待嫖姚旋凱日。尙將班筆勒燕山。</text>
<title>宿西水羅堡 堡是六鎭地盡頭。三面濱海。</title>,<text>征鞍遵彼豆江濆。靺鞨人烟隔岸屯。地盡六蕃三面海。城圍孤堡數家村。憑軒晩眺魚龍戱。近郭宵聞虎兕喧。窮處世間寧有此。曉窓奇賞浴桑暾。</text>
<title>慶興府。次東岳韻。</title>,<text>暮角嗚嗚隱堞吹。驚沙漠漠隔江飛。桔槹峰上狼烟沒。苜蓿郊頭獵騎肥。邊候入春䨪積雪。鄕愁向夕掛斜暉。秦城花事行應近。司馬從軍幾日歸。</text>
<title>訓戎鎭。次東岳韻。</title>,<text>地交夷夏枕城隍。隴上新春白草荒。夕日照連沙漠濶。陰風吹度玉關長。樓頭作賦同王粲。幕裏含杯是葛强。自笑廵邊何事業。詩篇贏得滿奚囊。</text>
<title>三月初吉。在穩城府。次東岳韻。</title>,<text>一面城池黑水涯。封疆最近女眞夷。風沙捲磧春來暗。鐃皷臨關日暮悲。久客貯多京裏札。邊州和遍壁間詩。仍思紫禁烟花繞。冠冕千官拜玉墀。</text>
<title>鍾城受降樓。次板上韻。</title>,<text>黑水逶迤走渤溟。華夷地錯犬牙形。㫌旗晩色飜風絢。烽燧寒烟帶雪靑。故國一春書鴈斷。愁州三日客驂停。簫笳薄暮吹何急。知是城門報夜扃。直北山來自白頭。封疆天限豆江流。樹浮關隴春猶凍。雲羃沙塲晩不收。故國歸心愁對月。邊城羇緖類防秋。沉吟强覔詩排悶。誰遣悲笳咽暮樓。</text>
<title>觀大操。錄呈節度。</title>,<text>邊籌安亦不忘危。校戰當如對壘時。十里郊坰開組練。六州兵甲列熊羆。春凝霜雪森彫戟。日耀龍蛇颺彩旗。士氣從今增百倍。先聲已懾北蕃夷。</text>
<title>踏靑日書懷</title>,<text>佳辰爲客滯邊陲。寒勒春光太較遲。笛裏小梅虛落蘂。營頭細柳未舒絲。永和盛事蘭亭飮。溱洧遺風芍藥詩。着處繁華矜是日。遠懷京國獨凄其。</text>
<title>次東岳春日書感韻</title>,<text>彎彎邊月掛如弓。傍海孤城望不窮。春鴈影連楡塞雪。暮笳聲斷柳營風。羇愁强撥含杯裏。壯志頻驚攬鏡中。何日休官謝簪紱。却爲江漢釣魚翁。</text>
<title>次東岳幕府書懷韻</title>,<text>公舘寥寥散古書。自憐消渴病相如。半年戎幕成何事。平日儒冠誤了余。京國音塵梅信少。塞城春色柳條踈。流光荏苒身將老。痛飮黃龍計墮虛。</text>
<title>元帥臺</title>,<text>長白山前渤海隈。何年元帥此爲臺。鯨濤吹沫沾衣袖。蜃氣成霏落酒杯。地勢曠然連靺鞨。帆風直可到蓬萊。玄珠罔象微茫外。摹寫詩篇媿不才。</text>
<title>次李錫余 三錫 韻</title>,<text>踈散襟懷酒獨知。病拋書卷網蟲絲。蓬蒿仲蔚容高卧。風雨蘇端憶好期。花已殿春無女艶。日初行夏似年遲。尋君自覺回驂懶。笑殺山翁醉後騎。</text>
<title>贈南雲卿 龍翼 赴燕</title>,<text>扶桑碣石馬牛風。歷覽人稀海以 一作如君罕海。 東。雲夢胸襟從此大。江河文字較來雄。方知再作星槎役。端爲全輸翰墨功。堪恨賞音今寂寞。濟南回首雪樓空。</text>
<title>次李彜仲 敏叙 南漢志感之作</title>,<text>千雉雄城繚作屛。危譙直欲跨穹靑。朝廷但恃金湯固。天運其如禍亂丁。萬折水憐淸漢勢。餘羞山似會稽形。知君感慨題詩處。手撫龍泉望北庭。</text>
<title>贈趙薇垣 嘉錫 赴扶餘</title>,<text>纔承馹召拜丹墀。喜色俄看捧檄時。百里地連春府近。一麾天借諫臣私。登盤魚蠏秋來足。拄笏江山畫裏疑。只恐揶揄應我笑。祖筵空賦送人詩。西風倚棹濟王墟。花落龍亡恨有餘。蠻觸閱來名境在。劫灰飛盡覇圖虛。高蘭寺逈晨鐘轉。白馬江寒古木踈。好向此間爲吏隱。全勝東洛曳塵裾。</text>
<title>次金姪盛後四友堂韻 琴，棋，詩，酒</title>,<text>紛紛友道鮮能全。一室相從有四焉。萬事輸贏觀理局。百年山水賞音絃。胸澆磊磈閑愁了。吟費推敲雅性然。欲識扁堂餘外趣。枕書高卧北窓眠。</text>
<title>送金晦之 炫文 赴寧越</title>,<text>頭白潛郞宦意踈。一麾東郡興何如。山多藥草堪醫病。境僻松林可讀書。貊國雪埋關嶺路。魯陵寒映峽人居。春來客恨難聊處。蜀魄聲中淚滿裾。</text>
<title>李進士 萬慶 內挽</title>,<text>尙記承宣把酒時。常誇徽範在門楣。貧居契濶炊扅苦。美對才華擢桂遲。未遂少君偕老約。先題潘岳悼亡詩。他年餘慶猶堪慰。掌上雙珠捴好兒。</text>
<title>召對罷後。賦示館僚金斯百 錫胄。</title>,<text>珊珊晝漏緩銅壺。日侍經帷每到晡。功在緝煕勤聖學。運當亨泰集鴻儒。千秋信史關時政。一部心經味道腴。自愧面墻叨顧問。擬將何術贊工夫。時儒賢造朝。進講綱目心經。故篇內及之。</text>
<title>李節度寄示一律。詩中有覽物懷人之感。次韻以謝。</title>,<text>冰盤朱李間靑瓜。把酒懷人鬢欲華。塞外元戎猶滯節。幕中書記舊栽花。一年春到南枝晩。千里詩從北海賖。內弟纔還空舘寂。滿庭濃綠想交加。</text>
<title>贈萊伯鄭白也 白也。曾以接慰官赴萊。</title>,<text>星臨朱鳥界靑羗。地盡東南天一方。鯨海火輪桑吐旭。馬州風舶橘聞香。賓筵卉服非新面。官壁紗籠續舊章。只是寸心懸北極。夢登前席近淸光。</text>
<title>挽李判書 慶徽</title>,<text>名父之兒難弟兄。淸朝接武秉銓衡。門方熱處猶寒素。位未高時已老成。鑒別精明山吏部。風流篤厚漢西京。台垣咫尺文昌晦。秋日 一作直裏 緘詞獨愴情。</text>
<title>贈扶安康使君 邃學</title>,<text>玄晏沉痾尙在床。忽驚鳧舃告行忙。經秋我對無錢菊。作吏君占 一作歸 有蠏鄕。傍海一麾穿橘柚。臨江三逕歷柴桑。深知再枉推先分。强綴孤吟替遠將。使君將由上游舊業。轉赴任所。故第六及之。</text>
<title>挽李濟州 𡐔</title>,<text>迢迢旅櫬漢挐陲。萬里風濤片舸危。兒訃忍傳垂死日。主恩深軫返骸時。需才幾處身先瘁。好直平生謗輒隨。別語贈行渾似昨。楚招誰料續哀詞。</text>
<title>贈申學士寅伯接慰之行</title>,<text>天地東南海渺茫。萊山獨峙於其傍。樓臺蜃氣卷舒倐。𦪑舶馬夷來往常。朱雀星臨鎭炎徼。金烏日浴昇扶桑。銜綸學士大觀了。然後見爾爲文章。</text>
<title>挽權掌令 斗樞</title>,<text>日聽諸孤哭且號。居常惻愴我懷勞。虛開園裏曾尋逕。忍憶墻頭每過醪。榮宦夢還何草草。短期川逝劇滔滔。憑君淚爲亡咸逬。寄灑隣墳四尺高。權之葬地。與仲姪新塋相近。故落句及之。</text>
<title>贈張晦而 世明 之任南平</title>,<text>童丱從遊到老偕。一麾南去杳天涯。休文少日輕分手。安石中年易感懷。人與鶴琴行李共。地宜梅竹夾村皆。憐吾久厭承明直。倘借隣符訪縣齋。</text>
<title>病滯松楸。寄別李樂甫 藼 還朝。</title>,<text>松楸小築瀼西頭。陳跡依然某水丘。霜早野秔仍儉歲。雨催籬菊已深秋。同承恩暇君先返。久抱沉痾我獨留。蕭寺與誰重賞月。別懷孤寂不禁愁。</text>
<title>見申寅伯，鄭白也詩札。錄寄簡尾。</title>,<text>詞臣初夏別金鑾。刺史前秋赴海關。詩帶素書隨驛使。夢回靑瑣點朝班。逢迎客舘新醪熟。節序蠻城細菊斑。揔是玉皇香案吏。分憂銜命亦蓬山。</text>
<title>贈江都留後金起之 壽興</title>,<text>追思世變閱滄桑。相國名爭日月光。東閤衣冠何處閟。南樓灰燼秪今傷。民彝不墜風聲遠。天塹無憑感慨長。一瓣香燒忠烈廟。從孫危涕剩沾裳。</text>
<title>曺參判 漢英 挽</title>,<text>顯仕淸朝三十年。家居寒儉轉蕭然。志同患難陰翁許。文有淵源澤老傳。骯髒豈曾隨世態。孤畸猶不受人憐。絲綸侑語纔承命。才蔑鋪張愧九泉。</text>
<title>吳判書 挺一 挽</title>,<text>文雅風流藹似春。大家餘韻自超倫。坐來荀令香留席。行處裴君玉照人。再第飛騰華顯遍。列卿遷擢渥恩新。福門厚報天難恃。忍說慈闈夜哭頻。</text>
<title>趙判書 復陽 挽</title>,<text>得御龍門今幾年。間從杯酒亦周旋。風流自是西京篤。人物居然慶曆賢。泉壤忽埋公輔器。淸忠漫入史臣編。春深僑舍輪蹄斷。獨對諸孤灑涕偏。</text>
<title>趙鎭川 相抃 挽</title>,<text>記得向時君哭兒。所鍾情處已先知。那將昔斷猿腸痛。可 一作更 忍今貽鶴髮悲。墨綬暫留南邑惠。斑衣永失北堂期。前秋告別元春訊。撫跡何堪寫此詞。</text>
<title>洪相國 重普 挽</title>,<text>八葉科名古有無。益城冠冕接亨衢。家庭節義劉資政。叔姪經綸呂坦夫。容衆厚風專覆盖。當朝大事不糊塗。民虞溢目台躔晦。弘濟時艱望轉孤。</text>
<title>權判書 大運 大夫人挽</title>,<text>曾因赴幕歷咸營。聽說慈闈八袠寧。養以北門觀察使。祥徵南極老人星。官厨甘旨三牲鼎。壽席笙歌七寶亭。盛事忍言今日變。尙書血泣又衰齡。</text>
<title>李參判 廷夔 挽</title>,<text>巍科發軔早揚名。歷踐天曹到亞卿。氣度紆餘推國器。門闌淸素繼家聲。當朝望蔚猶謙退。憶昨官卑已老成。寂寞廣陵空舊宅。忍看飛旐過江城。</text>
<title>哭再從弟李天安 緻</title>,<text>平居行誼古文辭。郞署分符遽止斯。可惜一名終未第。最憐三娶亦無兒。獨留鳧舃歸何處。相對鴒原說此悲。呼我爲兄先我逝。情深中表忍題詞。</text>
<title>白軒李相國 景奭 挽</title>,<text>三朝名德是元臣。輿誦兒童走卒均。盛典但聞頒几杖。閑居誰使屈經綸。誠忠每著尋常地。志節曾看患難辰。臨絶諄諄如夢語。寸心終始在君民。</text>
<title>朴判書 長遠 挽</title>,<text>素翣丹㫌引柳車。緘辭遙哭朴尙書。空留血䟽傳楓陛。誰奉慈顔御板輿。人鑑遽亡嗟已矣。士林相吊慟何如。關山別語今猶在。點檢詩牋淚滿裾。</text>
<title>鄭書狀 樍 挽 還到遼東。遇病不起。</title>,<text>假令君在京師病。不汗經時亦莫醫。等是天年那地免。爲因王事擧朝悲。槎回博望淹中道。鶴化遼陽杳後期。想得歸魂長拱北。哀綸恩贈揔殊私。</text>
<title>奉送李參判 晩榮 令丈出按關西</title>,<text>遼燕孔道走平安。使价相望物力殫。藩服視他稱最重。按臣從古選尤難。淸名久已標冰蘗。利器還須試錯盤。故遣老成膺簡寄。佇看西顧主憂寬。箕封形勝甲吾東。亭觀繁華市肆雄。官酒江添鴨頭綠。妓裙花染石榴紅。胡床興引高樓月。燕寢香傳小閣風。只是邇來凋弊甚。一方宣化屬明公。幕府趨陪記昔年。客中多荷主人賢。深源興致元䂓識。工部踈狂僕射憐。醉後談諧寬禮數。吟餘評品忝周旋。重逢京洛渾如夢。更耐陽關唱別筵。</text>
<title>江界鄭使君子文。固要贈言。率賦以勉之。</title>,<text>都護關防黑水濆。受降城壓大荒雲。貂蔘利窟行商輳。夷夏封疆限界分。廉操酌泉吳太守。威名射石李將軍。千秋兩美知誰繼。今日朝廷也得君。</text>
<title>贈淮陽尹使君 飛卿</title>,<text>北幕從戎記昔年。淮陽府裏駐征鞭。山多桂樹堪招隱。地近蓬萊可問仙。眞訣定敎丹滿竈。殘齡休歎雪盈顚。煩君官壁籠紗護。王父遺篇萬古傳。</text>
<title>贈淸風李使君 東老</title>,<text>七月長安大火流。街塵撲帽正堪愁。知君自有神仙骨。作吏猶居寒碧樓。勾漏金丹尋秘訣。樂天琴鶴載扁舟。憐吾漫結名區想。禁直經年計謬悠。</text>
<title>贈申學士 厚載 接慰萊府</title>,<text>相門酷似何無忌。文雅盛之白玉堂。廷議事關蠻市重。使才班輟鳳池忙。靑看鰲背山浮海。紅指鵶輪日湧桑。應和宗人詩滿壁。銜綸學士又東陽。申寅。伯纔經接慰。</text>
<title>金都事 秋萬 挽</title>,<text>西河老叟雪盈顚。話及存亡已泫然。冥漠君應未瞑目。嗚呼人不可無年。官纔一命施何嗇。兒是雙珠慶必綿。夙昔姻親情自篤。春風哭望上江船。</text>
<title>李都憲惠仲 敏迪 挽</title>,<text>相國家庭好弟兄。淸朝標望冠羣英。奇珍儒席光先照。美玉豐年價孰爭。顯秩倘來都御史。素心終是一書生。金華疇昔同陪講。文學方知實副名。每憶南州受玦忙。直廬相送阻河梁。歸來京洛投閑地。棲息郊坰倚季方。言出愛君胡大罪。飮因無事不瑕傷。原城一別成千古。痛哭公私淚滿裳。</text>
<title>關東鄭按使 錀 臨行見訪。仍言五世連按東節。曾祖八溪君。退居原州。尙有舊宅。累代先塋。亦在境內。願以此爲別語。走賦以贐。</title>,<text>卿班按節自尋常。此去東藩最寵光。五世相承無往牒。八溪恬退卜玆鄕。先藏更近甘棠舍。舊業重新晝錦堂。管領蓬山渾漫興。名家盛事合鋪張。</text>
<title>仁宣大妃挽詞</title>,<text>宗藩震極贊亨屯。坤德慈儀協聖神。化洽二南周太姒。功光元祐宋宣仁。兆移灤水纔前歲。精返軒星奄此辰。天上眞遊如有待。賞花催趁玉欄春。羽衛遵江引寢園。波恬鷁路百靈奔。當時鳳輦祗陪駕。今日龍輴哭挽轅。行殿記霑分膳渥。賀班叨拜賜囊恩。追惟往事渾如昨。欲獻哀詞淚已翻。</text>
<title>柳掌令延叔 㝚 挽</title>,<text>屈指交驩三十春。巷連南北盍簪頻。浮名通籍靑雲晩。舊意開樽白髮新。玉樹森羅四男子。綵衣輝映八旬親。如何謝此人間樂。不待銀緋進秩辰。柳以都監勞。將陞通政階。未行賞而先奄忽。</text>
<title>權執義正叔 格 挽</title>,<text>識面芹宮記戊寅。君先釋褐我沉淪。少陵衰晩纔通籍。長孺風稜尙積薪。戇樸何曾隨俗態。恢踈直是任天眞。蕭條浮世良朋逝。唱斷哀歌白髮新。</text>
<title>杏洲歸來亭。次主人金尙書題板韻。</title>,<text>壽貴先朝少似公。暮途閑趣托漁翁。洛中社會耆英是。潯曲莊名處士同。不改淸陰篁滿地。要看晩節菊成叢。江山依舊風流盡。欲和陽春愧未工。村名栗里。故第四云。</text>
<title>余與趙尙書 珩，金侍郞 益炅 坐議禮獲譴。同時赴配。別來歲已暮矣。殊不任悵戀。錄寄趙台。兼示金令。趙台時住雙樹驛村。</title>,<text>郵村何似水村寒。各賦離騷歲已闌。禮訟豈因吾輩設。罪名猶荷聖朝寬。夢懸淸禁心常拱。哭望喬陵淚不乾。記得分歧三處別。散爲秋葉幾時團。</text>
<title>次寄雞林尹權至叔</title>,<text>仙方未學紫河車。病眼春來亦廢書。暮境自憐遷客冷。窮途敢恨故人踈。滄波鷺渚身無絆。黃葉雞林政有譽。醉態秪今依舊否。二年離別十年如。</text>
<title>江樓漫詠</title>,<text>徙倚高樓晩眺新。縠紋波暖一江春。圍村遠樹依依岸。點水輕鷗淺淺濱。風忽送帆如好客。月仍窺戶覓幽人。鉤簾夜久猶憑檻。却訝吾爲畫裏身。</text>
<title>栗里主人金台老。解尙州紱。將欲挈家歸農。俾余移棲近村。率錄簡尾。要以限暮春姑留。</title>,<text>栗里莊園借一丘。主人彭澤紱還投。移家却羡安巢鳥。去國眞如不繫舟。春渚可能容我釣。夏疇猶及理君耰。村閻僦屋非無意。奈失元龍百尺樓。</text>
<title>簡沈仲美。要借龍山隣舍。</title>,<text>一帶龍江接杏洲。明時同抱楚臣愁。主人賦就陶彭澤。僑舍隣宜沈隱侯。湖海優游隨我分。鷦鷯棲息待君謀。衰年杖屨相從樂。絶勝山陰掉小舟。</text>
<title>再疊酬仲美</title>,<text>八詠樓臨二水洲。主人高枕散千愁。江山不換三公貴。詩什能輕萬戶侯。勝地芳隣吾且卜。貧家新釀婦還謀。朋簪尙恨前期遠。莫惜先催下瀨舟。</text>
<title>三疊</title>,<text>石尤風色滿長洲。佳約差池別有愁。天地尙能容我輩。江湖何幸得君侯。一枝未保安棲計。萬事無如熟醉謀。穀雨漲時行且溯。預須料理釣魚舟。</text>
<title>雨霽江樓。悄然孤坐。一甥二姪。少年從孫。武科族姪揔五人。携酒而至。喜甚賦贈。</title>,<text>雨歇春江花意濃。諸君乘興問衰慵。一杯先屬何無忌。二姪誰爲阮仲容。童子浴沂多爾趣。書生投筆亦吾宗。居然湖海成門會。此事人間未易逢。一杯先屬記實。</text>
<title>西湖漁塲。杏洲爲最。三江漁子。亦皆爭隈。於此時或買喫。且可供眺。稍慰臨淵之羡。戱賦。</title>,<text>鱍鱍春鱗暖躍波。西湖網集此偏多。病夫漫有臨淵羡。僑舍頻成彈鋏歌。換以濁醪時得雋。切爲銀膾興如何。漁回落照還堪畫。曲渚斜風滿綠蓑。</text>
<title>首夏之望。往訪灘樓。翌日仲美寄一律。走次酬之。</title>,<text>我往尋君花已闌。不妨三五月同看。仍回小艇猶餘興。却望高樓豈盡驩。夾島晴沙供眺遠。滿江烟浪入懷寬。秪今萬事灰心久。詩酒相忘到底 一作覺最 難。</text>
