<title>與二三鄕人。訪甘露寺。</title>,<text>菊花臨水亞。楓葉滿山堆。甘露題名後。煙波短棹廻。</text>
<title>舟中。次丹城宰。</title>,<text>隨波載妓興偏多。切切絃聲細和歌。千尺危樓雲外影。兩行紅粉月中娥。它鄕忽得佳辰會。勝景其如此夜何。萬點明燈城上近。義巖遺跡更峩嵯。</text>
<title>七月十一日。余投晉陽綬發行。丹城宰崔擎天來送。使李生 世璡 呼韻。賦詩以贐。臨發走次留別。</title>,<text>談鋒亹亹麈頻揮。投紱何須問是非。皁盖怳如飄羽盖。朱衣喜得換荷衣。菟裘物色吟邊近。方丈霞光望裏依。多謝使君婣睦誼。謾勞車馬送將歸。</text>
<title>星山牧伯吳貫之。設餞席上。用崔擎天韻。留別。</title>,<text>一曲驪駒動客愁。正當彭澤賦歸秋。天涯莫恨明朝別。月下宜窮此夜遊。切切絃聲彈更怨。滔滔行意挽難留。方壺舊約將虗負。幸寄新詩共唱酬。</text>
<title>次最良</title>,<text>好向西湖鎭日遊。畵欄珠箔壓江流。彈琴半世能馴鶴。游刃當年幾試牛。最喜雄詞如倒峽。自憐衰鬢又驚秋。已成三疊陽春曲。下里繁音不必求。</text>
<title>再疊</title>,<text>多病年來厭宦遊。虗舟泛泛繫安流。君同櫪上長鳴驥。我似田間倦卧牛。瀟洒江湖經日月。優游桑梓幾春秋。香閨况復開新釀。取醉何煩酒肆求。</text>
<title>又次最良</title>,<text>秋日觀魚坐北津。園翁溪友捴相親。百川赴海知盈坎。大野連天合騁神。投紱便成長往計。望鄕今作未歸人。行吟澤畔形容槁。咫尺危亭擧目頻。</text>
<title>次李平康 喜朝 同甫</title>,<text>爲人性僻耻營營。靜裏陳編日有程。讀易宜從床上玩。吟詩何用澤邊行。疎籬遍揷居仍廣。舊井重修水更淸。子病妻憂歸未得。章山秋夜夢難成。</text>
<title>次李生 瑞英○四首</title>,<text>遲暮形容楚澤枯。茫茫宇宙此身孤。風波忽自褊裨起。罪戾還從嶺邑趨。世事不堪長太息。人生偏覺一嗚呼。比隣幸得能詩客。爲問前村有酒無。浮生晩計在田園。早向西湖起小軒。華岳三峰朝遠檻。淸江一曲抱前村。雲棲谷口耕無迹。月印波心釣有痕。何事明時今放逐。荒郊秋日杜荊門。中天積翠桂陽城。宿雨新晴暮藹生。遠浦歸帆隨返照。空山落木送寒聲。閒來引興輸詩筭。醉裏銷愁進酒觥。逆旅逢君眞一幸。每吟佳句使人驚。永夜寒齋萬籟停。夢魂時到泛虗亭。絃歌樽酒三人醉。伯仲塤箎兩鬢星。山市落霞迷遠逕。水門凉月滿中庭。一聲何處叫羣鴈。依舊湘江我獨醒。</text>
<title>次李生 三首</title>,<text>久爲野客滯孤村。今日觀魚始出門。暮境相知新樂極。故鄕親愛舊情存。幽人獨柱靑藜杖。隣老爭携白酒樽。怊悵勝筵君不在。强吟終夕惱詩魂。楚客行吟到野村。泛虗亭子閉重門。樓臺寥落湖邊在。松菊依然檻外存。今日望鄕詩滿軸。何時携幼酒盈樽。滔滔江漢迷歸路。獨立斜陽暗斷魂。異地何須惜去留。文人自古在黔州。徐公節義悲三統。完相經綸絶四愁。喬木門前風更遠。楊花洞裏意還悠。隣翁若問吾消息。澤畔孤臣雪滿頭。</text>
<title>次李生 佑天</title>,<text>生涯澹泊老僧如。窮巷無人問索居。壁上長鳴三尺劒。燈前獨對五車書。蓬飄遠野知風急。木落空山聽雨疎。一曲陽春何處至。忽看詩客在比閭。</text>
<title>次最良</title>,<text>五夜鄕情自不禁。開牕偏覺月華侵。天涯已切懷君恨。澤畔其如去國心。過隙光陰方冉冉。逼人寒氣太駸駸。何時更唱陽春曲。把酒高樓弄玉琴。</text>
<title>次李 奎報 桂陽山詩 七首</title>,<text>桂陽山上佛燈明。十里江湖一望平。詞客愛吟帆去㨾。居僧恨隔棹歌聲。當時風景今猶在。後代文章更孰鳴。怊悵上人難再得。海門煙樹遠含情。學士當年久掌綸。桂陽官閣忽經春。鑾坡舊直天邊隔。玉署前緣夢裏新。痛哭沉淪年已老。傷心趨走跡還陳。可憐多少詩中語。捴是要求乞火人。憶曾西掖草絲綸。滿路靑雲禁苑春。擢自南州榮已極。超司北斗寵維新。垂衣至治雖難見。補衮初心可自陳。萬事如今成一夢。楚江還作獨醒人。西湖一曲早垂綸。田里優游度幾春。岸柳墻梅臺上近。霜鬚雪鬢鏡中新。工夫未就終由魯。契闊難成久在陳。造化元來多戱劇。隔江今作望鄕人。梳罷淸晨白數莖。開簾遠望桂陽城。空餘古木中藏籟。唯有寒梅早向榮。獨把新詩裁客恨。誰將美酒慰羇情。一聲鳴鴈牕前過。何日西湖與爾行。老夫非是愛吟詩。永夜寒齋有所思。早失美人中道約。虗拋志士壯年時。江山冷落眠難着。風雨蕭疎意易悲。齒髮摧頹筋力退。可憐蒲柳已先衰。憔悴休言鬢已霜。平生點檢自無長。文章甚拙非時望。面目多憎異世粧。早向江郊甘晦迹。晩登雲路喜韜光。立朝五歲成何事。伴食騎曹右侍郞。</text>
<title>季氏和示綸字。更次以呈。</title>,<text>晩築西湖把釣綸。興來時復唱陽春。山回雪逕槐陰轉。月照氷潭桂影新。筆下詞章同屈賈。里中交契似雷陳。對床風雨知非遠。豈是湘江未返人。</text>
<title>敬次季氏韻</title>,<text>五更殘夢枕邊凉。回首西湖暗斷腸。風樹餘哀逢此日。塤箎一樂隔他鄕。靈均七澤猶懷楚。太傅長沙本自梁。歲暮江潭氷塞路。忍將孤露獨含觴。</text>
<title>又呈別韻。兼寄質夫兄弟。</title>,<text>居然百感集中心。點罷殘燈夜向深。日返庚寅悲客玦。星回甲子痛人琴。餘生猶有姜衾樂。暮境其如楚澤吟。孤露那堪供酒食。欲題詩句淚沾襟。</text>
<title>用最良韻。奉謝季氏及良友。</title>,<text>臨歧分手不須悲。自古浮生足別離。暮境元非爲客日。寒天豈是送行時。燈花錯落頻傾酒。雲樹蒼茫獨詠詩。聚散無端成一夢。萍逢何處指前期。</text>
<title>奉次赤谷詞丈金遠明令公韻</title>,<text>謫中身世付無何。駐蹕山前已僦窩。日暮傷心趨走地。天寒注目往來波。江連漢水疑荊楚。地接巴陵是汨羅。自古死人由嶺外。三居偏覺主恩多。</text>
<title>次道實</title>,<text>同雲遠壓桂陽城。積雪翻着一尺盈。怳若鴻濛開四象。依然羽化過三淸。光爭星月中天影。望極山河大地平。江左戴逵偏有興。何人喚起子猷情。</text>
<title>次質夫至日韻</title>,<text>桂陽歸路似潮陽。猶恨藍關未見湘。雪擁巴山風景異。天連漢水道途長。經冬弱柳將紓眼。帶臘寒梅暗送香。靜裏忽看雷在地。終知解澤遍多方。</text>
<title>再疊春字。次李生 瑞英。</title>,<text>暮年猶作未歸人。澤畔行吟又一春。厭聽長風蜚大屋。閒看細雨浥輕塵。天時最近重三節。客恨偏深百五辰。終日閉關誰與語。滿籤黃卷靜中親。</text>
<title>詠史有感。用李生韻。二首</title>,<text>居敬工夫自二程。能涵動靜貫知行。濂翁邃學傳中正。晦老微言統性情。已喜斯文兼費隱。何憂異敎更縱橫。重逢諸夏無君日。回首中原萬事驚。莊周强說物論齊。異敎紛然起竺西。面壁終携雙履逝。傳燈先止少兒啼。生涯到處隨缾鉢。死後何人困蒺藜。閒閱圖書多感慨。謾拈詩筆卷中題。</text>
<title>再疊程齋二韻。和李生。瑞英○二首</title>,<text>謾向衿陽問去程。謫居那得啓閒行。煙霞紫洞迷遐想。雨露蘭山愴遠情。百世眞儒黃卷對。千年古調素琴橫。柴門寂寞春光晩。誰送新詩句句驚。雨過前山草色齊。春光無限夕陽西。節回上巳誰蘭袚。門掩佳辰但鳥啼。屈子湘潭悲攬苣。管生遼海愛穿藜。朝來痛飮淸明酒。欲和新詩醉懶題。</text>
<title>和趙子直</title>,<text>雨露神功妙發施。穠花嫰葉遍枯枝。行吟獨自從漁父。坐謫方知任化兒。秦嶺橫雲空散聚。楚天明月幾盈虧。人間榮悴須臾事。澤畔孤蘭不必悲。</text>
<title>奉次赤谷韻 二首</title>,<text>丫溪水石雨中奇。臺沼園林捴是詩。絶壑危峰雲尙濕。穠葩嫰蕊露新滋。誰分物色還相與。傳語風光會有期。早晩乘春隨杖屨。賡酬玉韻對瓊枝。一年春色滿江村。白首囚山獨掩門。楡火改來偏感物。荊花開處謾銷魂。明時放逐知臣罪。近地優游亦聖恩。暮境惟思同衆醉。隣翁爭進濁醪樽。</text>
<title>走次鄭南原 悏 所示韻</title>,<text>東君按節布深仁。岸芷汀蘭雨露均。戀闕長瞻淸渭水。思家遙望故園春。親知盡作山中客。詞翰誰傳澤畔人。經歲未逢車轍迹。門前細路已荊榛。</text>
<title>次李生 瑞英</title>,<text>廉纖細雨入簾櫳。霽後韶光滿眼濃。放逐幾逢漁父枻。登臨賴有國師峰。煩君毋失濠邊約。擧世誰憐澤畔容。丙穴遊魚相與樂。儂知魚樂子知儂。</text>
<title>次宋生 國經</title>,<text>觀燈佳節客中廻。正憶香棚亘九街。隣老携壺浮蟻動。家人捲箔火蛾開。廣陵僊賞憑詩見。楚澤窮愁得酒排。獨恨吾君期不至。良宵孤負共含杯。</text>
<title>奉次赤谷</title>,<text>補衮初心鬱未舒。暮年悲歎在田廬。閒情日日收瓊韻。淸夢時時近玉除。彈罷匣中三疊譜。携來架上五車書。須看澤畔行吟處。梓里優游樂有餘。多少篇章句句新。建安才子是前身。空將五采山龍手。謾賦雙溪花鳥春。寫出繡腸詩似畫。題回繭紙草還眞。何時一决西江水。遍及人間涸轍鱗。</text>
<title>望嶽亭題詠 並序</title>,<text>余謫富平之明年夏。淫霖跨月。溽暑流金。斗屋無容膝之處。林樾乏蔭暍之所。卧病擁塞。生意蕭然。金陵權使君送白苫。同里柳上舍舜輔，李秀才時萬。曁蔡，金張諸人。或借古材。或出新板。爲設一間茅亭于後麓。平臨廣野。四面引風。庶有一分生意。登玆四望。近巴江而遠金陵。髣髴三湘之形勢。左桂陽而右天嶺。依俙五嶺之炎蒸。眞可爲五流之宅者也。所賴三角晴峰。屹立東方。而羣山萬壑。後擁前遮。有衆星拱辰之象焉。大江小瀆。繞山歸海。有江漢朝宗之義焉。日夕吟望。庶慰去國之懷。因以望嶽名亭。若夫江山之美。眺望之樂。非繫縲人所可自占者。姑闕之。數椽茅屋蔭莎庭。突兀東岡第一層。雲近蓬萊瞻華岳。天連漢水隔巴陵。淸風遠挹三山灝。暑氣長驅五嶺蒸。不作凉臺知有以。黃門小閣可無懲。望嶽亭成俯遠郊。泛虗翁得定新巢。經營實藉諸公賜。偃仰都無俗士交。正似相如空四壁。還同杜子捲重茅。旁風上雨終難禦。挂得漁簑也自嘲。</text>
<title>奉次赤谷</title>,<text>暮年羇思易生悲。感慨偏深五月時。漢俗豈知投飯意。楚歌空唱競舟詞。池邊告別星重換。澤畔行吟歲已期。最是鴒原無限恨。依俙一夢賦春詩。</text>
<title>慰徐令魯望 宗泰 晉陽之除</title>,<text>百里炎邦作穽坑。今君又得晉陽城。世間苦海爲玆邑。吾輩何人免此行。奉檄殊非榮養地。離庭其奈色憂嬰。聖朝孝理方敦化。忍奪詞臣母子情。</text>
<title>奉次赤谷</title>,<text>白帝金精按節初。赫雲烘瘴一時除。風塵世界炎凉際。草澤光陰代謝餘。淅瀝秋聲調碧樹。蕭疎夜雨浥紅蕖。篋中團扇還無賴。日暮昭陽恨婕妤。</text>
<title>次李進士 德英。卽 瑞英 之弟。三父子登司馬。其大人亦於數日前來見。</title>,<text>托契元方自去冬。吟鞭幾訪澤邊翁。歲寒交誼留松韻。霜後精神對石峰。最愛超宗同謝鳳。忽逢阿爽識荀龍。看君詩格難爲弟。不覺騷壇已改容。</text>
<title>再疊示李進士太素。卽 德英 大人。有園栗之餽。</title>,<text>孤齋閒住泛虗翁。秋盡江南又近冬。野色遙連三島水。天光長接五雲峰。壺中日月籠翔鳥。檻外山川枕駐龍。病脚賴君園有栗。晩朝三咽起衰容。</text>
<title>三疊冬字。和李太素。</title>,<text>它鄕邂逅見詩翁。四韻催成一日冬。戶外淸光楊浦月。簷前秀色桂陽峰。風霜半夜驚歸鴈。雷雨何時起卧龍。被髮獨醒吟澤畔。黃花爭笑逐臣容。</text>
<title>四疊</title>,<text>自古靈丹起病翁。坡僊亦得醉門冬。燒鉛幾夢三神島。採藥空思九華峰。只怕人間馳隙駟。敢望天外駕茅龍。瓮頭別有陰陽煉。從此餘生可住容。</text>
<title>五疊</title>,<text>動靜惟聽造化翁。綈裘短褐夏兼冬。奇遊瀛海三千界。僊賞蓬山萬二峰。中歲濫騎沙苑馬。幾年閒卧洛波龍。如何暮境違初服。憔悴行吟澤畔容。</text>
<title>重陽日。用樊川韻。示同席。</title>,<text>十里長郊暮靄飛。桂陽山色望中微。江湖水暖魚爭躍。天地秋高鴈已歸。催上亭園酬令節。却移賓榻避斜暉。黃花未發樽無酒。怊悵何人送白衣。</text>
<title>次太素問月亭韻</title>,<text>團團素月上危亭。欲問盈虗倚曲欞。始到天中明萬國。却從雲際下重溟。如何弦朔多虧缺。至使乾坤入晦冥。此理茫茫難更討。淺斟深酌不須停。</text>
<title>次宋生 國經 韻</title>,<text>澤畔秋聲鴈送來。逝川流影日相催。凝塵滿席從吾好。散秩盈籤爲子開。雨過東籬香破嫰。風廻北陸葉成堆。柴門寂寞無車馬。誰折黃花勸酒杯。</text>
<title>林掌令 渙 挽</title>,<text>嗟我論交自泮宮。中間離合係窮通。風塵京洛開襟穩。湖海參商屛迹同。無復家庭重對鯉。空餘臺省舊乘𩣭。鴒原別有人琴痛。一曲哀歌恨未終。</text>
<title>贈別洪陽牧伯申公獻</title>,<text>聞君今又赴洪陽。欲作離歌意正長。多病不宜芻牧責。早衰寧合瘴雲鄕。朋知落落晨星散。客恨悠悠歲月忙。基郡使君如有問。爲言憔悴在三湘。</text>
<title>簡寄瑞寧使君趙子直</title>,<text>聖主深惟共理良。分憂必自侍臣行。終知海上成儒化。却望湖中是故鄕。絶景宜登看月島。淸遊幾訪白沙塲。洪州手札同時至。秉燭雙題惜別章。</text>
<title>奉次赤谷</title>,<text>漠漠陰雲萬里連。盈盈素月失淸圓。居然勝賞違終夕。從此佳期又隔年。安得蜚廉驅屛翳。卽看蟾影滿中天。芳遊欲待秋晴後。却恐晶光已下弦。</text>
<title>國詞峰。示同席。</title>,<text>宿雨新晴玉洞寒。藍輿催上國詞壇。蓬壺入海迷三島。漢水連天作九盤。始覺東山宜小魯。方知南嶽亦開韓。淸遊况又携雙笛。待月何妨到夜闌。</text>
<title>瑞寧趙使君子直。與李海州得甫。同出泛虗亭。仍渡前湖來訪。家兒亦在側秉燭行酒。用桂陽山韻聯句。</title>,<text>秋雨蕭蕭釀夕寒。得。 主人迎客掃雲壇。直。 東籬晩菊風前亞。深。 北嶺孤松霧裏盤。五。 橫笛一聲君是趙。得。 回瀾八代我非韓。直。 江村寂寞黃壚遠。深。 誰遣芳醪醉夜闌。五。</text>
<title>趙李兩君到泛虗亭。用壁上韻聯句故走次。</title>,<text>冠盖聯翩訪小亭。層軒無主點燈明。疎籬燦燦寒花色。廢戺蕭蕭落木聲。別恨紛繽詩未就。羇愁錯莫酒難平。所懷宛在江南曲。催棹煙波片舸輕。</text>
<title>再疊送趙子直</title>,<text>臨歧分手上危亭。宿雨新收霽景明。雲外僊鳧迷遠影。澤中霜鴈送寒聲。老來詩思還無賴。別後羇愁更不平。緬憶雙旌南返處。秋風官路馬蹄輕。</text>
<title>詠四季花。寄洪生錫汝 得圭。</title>,<text>洪君錫汝愍余澤畔無伴。手種四季花一朶於小盆見寄。于時菊已老而梅未綻。風霜空谷。紅錦纈眼。其喜可知。詩以謝之。誰將紅錦巧新裁。遠寄楓林楚水隈。艶態能傾霜後菊。嬌姿不待雪中梅。靈芝歲暮纔三秀。僊桂秋深始一開。最愛名花如有信。香魂淡蕩四時回。</text>
<title>再疊</title>,<text>天葩纈眼錦紋裁。好事移來桂嶺隈。葉遇冬靑宜伴竹。香因雪淡爲兄梅。百花捴待春風發。四序何從季月開。榮悴無心還似信。相隨土德一時回。</text>
<title>初度日。次正明韻。</title>,<text>百年初度屬中冬。啣索餘哀意萬重。負米徒增仲由恨。斑衣無復老萊容。偏憐楚澤風霜苦。忽報秦天雨露濃。最是此心開慰處。西湖明日弟兄逢。</text>
<title>仁敬王后挽</title>,<text>正始關雎化。咸亨地勢坤。徽音符摯仲。懿行媲姜嫄。儉德昭覃葛。誠心著采蘩。無違中壼法。不借外家恩。少海期重潤。轅星告已昏。那知分御仗。竟至送靈軒。痛切陰儀缺。悲纏女則存。方酣玉欄賞。誰返綘紗魂。霧暗鸞車遠。風愁鳳旐翻。長秋宮裏月。虗照濯龍門。</text>
<title>莊烈王后挽</title>,<text>五紀居坤極。三朝仰母儀。尊名同聖烈。遐福繼貞熹。幾受揚徽冊。頻行獻壽巵。陰功看鍊石。至樂在含飴。王母蟠桃祝。天孫素柰悲。秉珪壇墠再。嘗藥夏秋彌。黼扆攀號處。金宮永閴時。僊遊知不返。祖載更弛期。長樂晨鍾遠。喬山吉仗移。羣臣紛雨泣。寒月助凄其。</text>
<title>奉贐聘君按察關西之行 甲辰</title>,<text>憶昨嘉州貶。翻成澤畔行。十年今按節。千里舊遊程。騎竹兒童集。提壺父老迎。江山如有待。草木亦知名。可紓宵衣念。殆同晝錦榮。褰帷開視聽。攬轡任澄淸。形勝綾羅島。關防節度營。隨風征旆遠。落日畵笳鳴。貳舘偏承誨。離亭倍愴情。秋來江上鯉。頻寄洛陽城。</text>
<title>呂領相 聖齊 挽</title>,<text>耆舊驚淪沒。明公又返眞。去歲辭上相。今日失宗臣。一節忠勤着。三朝際遇新。垂紳依日月。聽履上星辰。歷職兼文武。逢時有屈伸。奮庸虞殿上。宣召楚江濱。密邇楸山路。優游梓里春。庶期加宋額。那意涕秦民。遠業終三事。遐齡近七旬。庭蘭芽已茁。可念稱家人。</text>
<title>李判書 翊相 挽 二首</title>,<text>世閥同王謝。衣冠似杜韋。家聲傳雪曲。花萼映春輝。獻納登臺省。論思侍講幃。文星聯萟苑。卿月近黃扉。暮境憂時切。中年與世違。聖朝恩未報。長夜露先晞。地下修文會。人間脫屣歸。庭留雙寶樹。猶可繼前徽。拾遺留錦里。嚴武赴綿州。湖海論交地。絃歌問俗秋。幾登徐孺榻。頻御李膺舟。夜雨寒山寺。春風駕海樓。酒杯花下醉。詩韻雪中酬。嶺外三年會。人間一夢休。屋樑殘月恨。蒿里曉雲愁。病卧違攀紼。蕭晨涕自流。</text>
<title>兪參判 瑒 夫人挽</title>,<text>梓里芳隣接。深知梱內儀。當筵聞截髮。擧案見齊眉。君子鮐文背。兒郞玉樹姿。恩榮同受誥。歡笑在含飴。德合膺多福。天宜降介禧。居然嬰二竪。政爾謁三醫。良藥終無賴。僊輧去莫追。板輿曾幾日。靈櫬忽荒陂。故宅蘿陰合。空閨月影悲。張林今不在。誰復作陳碑。</text>
<title>趙副學光甫挽</title>,<text>憶昨分符日。逢君夜雪中。從容論去就。談笑任窮通。晩計迷源築。前期慶嶽楓。書從東野至。絃斷子期終。丞相家聲遠。尙書舊業空。靑氊無所托。玄理竟難窮。妙歲凌雲氣。平生貫日忠。危言時否泰。正色道汚隆。琴瑟更張際。風雲感會同。筆簪周柱史。鑑別晉山公。久處深嚴地。獨持諫諍風。頌聲留葉縣。文敎著芹宮。淚爲憂時下。論因嫉惡崇。聖君非棄賈。時議不容融。榮辱同泡幻。存亡問化工。素帷區浦上。丹旌廣陵東。惻愴山陽笛。凄凉白傅筒。公私俱有慟。憂思正冲冲。</text>
<title>趙生 謙行 挽</title>,<text>早結連姻誼。知公內德全。家庭嚴有法。鄕黨禮無愆。令子曾攀桂。賢孫更折蓮。惟其躬勉勉。所以慶綿綿。志養專城日。眉齊大耋年。忽聞捐舘舍。揮淚寫哀篇。</text>
<title>次白軒相公李公 景奭 几杖識感之韻</title>,<text>吾王寵錫老成臣。時屬昇平歲戊申。曾有幾人膺是禮。始知殊禮待其人。旣頒烏几兼鳩杖。更見龍亭載鳳綸。法譜鏗鏘喧綺席。香醪㶑灧下楓宸。鮐文鶴髮三朝老。卿月台星四座春。洛社衣冠堪後素。御厨肴錯總時珍。當年上相尊榮久。暮歲中樞眷遇新。扶國志存行拄處。感君誠切倦憑辰。臨筵卒酌歡無極。下筆裁詩語有神。小子敬承宣敎命。盛儀何幸見吾身。</text>
<title>送東萊府伯鄭白也 晳 令公</title>,<text>憶曾湯殿扈鑾輿。公任論思我起居。何幸龍門頻奉袂。幾多螭陛共聯裾。南陲最軫懷柔念。西掖親掄將相儲。雨露楓宸辭玉座。煙霞蓬島佩銅魚。文傳炎海遷潮鰐。威振高唐絶趙漁。秋後離情應轉苦。暮天休上沒雲墟。</text>
<title>蘭亭修稧會十韻 蘭亭客四十二人</title>,<text>茫茫宇宙一流星。擾擾人生水上萍。自外形骸稱曠達。爭逃名敎卽沉冥。重三令節芳蘭握。六七佳賓寶樹馨。座上風流推逸少。箇中形勝最蘭亭。茂林脩竹開瑤席。曲水淸流遶玉甁。談麈揮時思亹亹。羽觴行處水泠泠。山河擧目殊欣感。景物娛心極視聽。不必管絃催晩興。且將觴詠送餘齡。漆園何事同生死。金谷當年罰醉醒。千載欲尋修稧會。遠天斜日暮山靑。</text>
<title>次李 奎報 桂陽山詩</title>,<text>明時得罪放愚池。草屋蕭條古澗陲。日上前村門尙閉。煙橫遠野路難知。虗牕莫禦寒風入。毁壁無禁冷月窺。消長敢望君子道。逢迎多是野人姿。光陰荏苒身全老。星斗闌干歲又移。半世揄揚同弊屣。浮生飄蕩似遊絲。分憂嶺嶠終無賴。斂跡桑楡庶可追。約有對床嗟我季。夢回孤榻歎吾衰。客中度日如三月。湖上歸時有二朞。雲鵲若從天上至。虗舟重泛共相期。</text>
<title>次赤谷詠雪 赤丈與趙子直，徐魯望，李同甫諸人。賞雪芙蓉榭。唱和云。</title>,<text>無端飛雪下山河。半夜浮浮一尺多。始覺簾帷新擣練。忽看庭院已堆鹺。輕隨柳絮飄瓊樹。艶逐梅上翠蛾。曹士比成三疊詠。楚臣收入九章歌。乾坤浩浩皆粧玉。松栢靑靑不改柯。霽後爭窺披鶴氅。晩來堪畵着漁簑。飄颻遠野先居後。歷亂回飈止又過。大道通衢爭奕奕。移山塡海更峩峩。楊朱處士迷南北。鬼谷先生失揣摩。豈但高卑同覆盖。故敎委瑣盡包羅。穿簾透戶誇淸冷。圓璧方珪巧琢磨。飛鳥千山號古木。斷猿三峽泣輕蘿。整斜疎密終誰使。興滅盈虗一任它。喜見門人陪杖屨。愛聽詞客費吟哦。臘前三得同雲合。春後頻應大雨沱。上瑞方知驗豐熟。玄陰終見布陽和。玉琴鳴處晴開榭。氷筯看時盼轉波。枚叟騁詞輕羽白。鄒生揚曲喜顔酡。詩窮變態昌黎愈。物禁姸華學士坡。東郭舊遊誰復繼。西園佳句定非訛。柳州漫詠人蹤滅。潘岳偏憐客髩皤。欲和瓊琚傳勝事。巴人其奈郢聲何。</text>
<title>元月上旬大雪。更用排律韻。奉赤谷丈。兼示趙子直，徐魯望，李同甫昆季。求和。</title>,<text>東風淡蕩濺銀河。春雪還從臘雪多。飄盡瓊林枝上蕊。驅來玉女井中鹺。時經人日寒侵勝。節近元宵艶閙蛾。郢曲變爲流徵響。旄丘重有式微歌。玲瓏曙色簷鳴滴。漏洩春光柳拂柯。狡兎無蹤回獵騎。寒魚上釣理煙蓑。忽思授簡梁園會。正似乘舟剡曲過。玉韻鏗鏘同夏濩。素琴寮亮動洋峩。中書筆翰常揚逼。學士詞鋒屈賈摩。二陸聲名推伯仲。三韓家世擅麗羅。論詩豈但文章著。講學爭看道義磨。千載勝遊南岳月。百年幽築北山蘿。閒情到此眞成適。世事如今不願它。執友偏多泉下恨。親知半是澤邊哦。窮途踽踽知音少。往迹悠悠出涕沱。不必暮年重惻愴。况今春日政姸和。風回遠岫開晴靄。氷泮前溪漲綠波。捲箔高吟詩思聳。擧杯相屬酒顔酡。呼鷹正合臨平野。煮艾頻應上幔坡。惠好惟期窮趺宕。逸休還喜遠囂訛。拘幽不翅匏瓜繫。憔悴誰憐鬢髮皤。無路從容陪語笑。越瞻僊榭奈如何。</text>
<title>尹副學 敬敎 挽</title>,<text>憶曾供奉起居年。僚寀情深一席聯。朝罷開襟高閣漏。携來滿袖御爐煙。終天痛極吾東往。瀝血辭危子北遷。雉岳雨中悲遠別。鶴潭臺上笑相延。看花忽入鑾坡直。視草重逢鳳閣僊。湖海名藩分節鉞。東西選部貳衡銓。明庭簪笏非初願。幽處田園有宿緣。㝡喜餘生敦素履。那知此別間黃泉。光陰荏苒年垂十。世故紛紜事變千。屣脫塵寰違白眼。庭留寶樹寄靑氊。邇來薤露哀歌作。捴是邊雲旅櫬旋。能得考終先壠下。位非其德不須憐。</text>
<title>次左太冲招隱詩。示質夫。</title>,<text>大隱隱朝市。卽事亦匪今。朝市盛繁華。日夜鳴瑤琴。南山有小徑。叢桂自成林。至道在推移。明哲多陸沉。擧世賞繁絃。何人解大音。休上北闕書。放歌梁甫吟。是非毁譽間。恢廓爾胸襟。江湖路且脩。難望一盍簪。</text>
<title>再疊</title>,<text>小山招隱士。有騷傳至今。中間好事者。往往被素琴。憭慄虎豹穴。磈硊叢薄林。極道山中苦。以傷江上沉。左思太多事。變作淸麗音。自爲隱遁辭。慷慨多悲吟。雖云背古意。亦足開塵襟。能令懶夫立。望風爭投簪。</text>
<title>紫霞洞。贈主人李都事季瑞 徵龜。</title>,<text>聞道紫霞洞。隱者所盤旋。平生夢想地。遣君先着鞭。今來叩荊扉。主人開小齋。挑燈道情素。促令行酒杯。溪山本無主。肯許一半分。卜築遷居日。此樂窮朝曛。</text>
<title>李都事 徵龜 挽</title>,<text>去歲南陽路。訪君紫霞洞。前山雪正深。後溪氷初凍。提携坐新軒。翼然立小棟。簷前對水石。幽鳥林間哢。披襟道情素。却喜開昏瞢。憐君病膏肓。不翅在己痛。歸來耿未已。至今仍猶夢。那知一年間。遽有寢門慟。蓮榜早題名。天衢擬飛鞚。謾抱穿楊才。屢擧竟不中。素性本愷悌。聲譽等伯仲。宜家鼓瑟琴。至樂在璋弄。平生孝友志。忽藏丹霄鳳。不但連姻懿。悼念從公衆。病卧江湖上。靈車恨未送。</text>
<title>入山</title>,<text>奇哉造化翁。與我何厚餉。旣削白玉峰。又開錦繡帳。白若孔夫子。皜皜不可尙。紅如句漏令。鍊砂丹穴上。擧目絢光彩。欲往迷所向。何者爲毗盧。何者爲穴望。應須到上頭。拄得九節杖。平生壯遊志。此日聊可償。升高必自卑。浩氣宜善養。坐待扶桑日。惠好窮趺宕。</text>
<title>叢石</title>,<text>玉樓何年火。唯餘四柱石。望之還一叢。面面皆六削。特立禹貢外。非經夏斧鑿。驅石止滄津。又非秦鞭着。依然華表柱。復歸遼東鶴。或成卧波橋。參差見烏鵲。南窟稱金幱。北島又名國。燦燦瓊瑤色。輸班巧雕琢。何如四箇石。獨任回瀾力。中流作砥柱。能令萬波息。天下豈有僊。不必求神迹。若作廊廟柱。國勢重山岳。何居東海上。但悅遊人目。題詩三歎息。聊以鐫石角。</text>
