<title>對庭梅 五言絶句</title>,<text>畵梅雖盡妙。不似活梅眞。一點生生意。猶含陋巷春。</text>
<title>贈權世欽讀心經</title>,<text>警發人心盡格言。開蒙牖惑皦如暾。惺惺欲使郛神守。眷眷要令屋主存。勉己服膺追聖域。怕他蹉步入禽門。願君這裡須深省。志氣昏時義理昏。</text>
<title>朱戚兄雲長以聾訥名齋。陋室亦以靜默爲號。意思略同。偶吟以贈。</title>,<text>吾耽靜默君聾訥。兩箇枯枝一㨾灰。掛樹猶煩瓢亦棄。遮門可樂柳還栽。扶持病脚筇三尺。澆洗磊胷酒數杯。握手無言相視笑。百年懷抱儘悠哉。</text>
<title>與隣人欲卜居於義洞。夏初一往見之。秋後再往見之。則所見異於前日。戱吟一首。</title>,<text>吾輩還同擇木禽。翺翔何處可棲林。桃源一見仙居好。漁子重來洞壑深。自是山靈藏舊面。元非人意改前心。乃知造物多情在。不許英豪老碧岑。</text>
<title>送銘巖崔公南圖赴公車</title>,<text>詞鋒硎發耀秋霜。此去鵬程萬里長。露滴槐壇衣袂濕。風生桂殿筆華香。男兒得第爲常事。君子行身是義方。擧世紛紛多曲學。願公惟勿負贒良。</text>
<title>暮秋遊鰲山。戚兄賓于有宿約。病不果。以詩見投。次呈。</title>,<text>秋晩鰲山好景開。偶然乘興踏雲回。藜筇少一歡情索。蠟屐穿雙俗慮灰。隨月飮時多灝氣。御風遊處絶浮埃。名區勝賞誰先獲。指點遺庄學士崔。</text>
<title>花溪書堂刱建時。戱呈崔戚吉甫。庚戌三月。時崔爲監役。</title>,<text>興廢由來自有秋。荒墟留待此時修。諸君董役良勤苦。獨我逢魔抱病憂。力瑣工繁遲賀燕。山盤水屈氣騰虬。莫言春雨偏多戱。預兆他年慶澤流。</text>
<title>又次吉甫韻</title>,<text>鋤斲層巖剪棘荊。勞心費力幾經營。溪山自此應生色。草木如今若有情。寒士庇時君不拙。英才敎處我還盲。從知後學聞風起。文會菴垂百世名。</text>
<title>自佛池至大芚口號</title>,<text>誰將巨斧斲層巒。洞壑玲瓏面面環。危磴踏時雙脚戰。巉巖登處兩眸寬。雲扃縹緲通天界。石間縈廻隔世寰。三日山中塵想絶。逢僧打話不知還。</text>
<title>東國地圖</title>,<text>海外封疆一幅懸。披來壁上揔依然。星羅碁布州三百。水合山分路數千。營鎭外環藩蔽固。國都中處地形便。衣冠文物中華是。保得金甌萬世傳。</text>
<title>夜坐偶吟</title>,<text>燃松夜夜坐寒氊。對火看書面帶烟。小女績麻常久坐。稚兒懶讀每先眠。隨風何處流螢度。擣月隣家急杵懸。旹有老妻斟白酒。慰余衰病苦窮硏。</text>
<title>眼昬</title>,<text>病後精神日益衰。玄花着眼隔纖褵。麾毫却訝昏鴉亂。視物還疑曉霧垂。衣上蝨敎童子獵。燈前字借少年知。此身始覺眞無用。廢棄山林固亦宜。</text>
<title>次李上舍德祿韻 時遊東海。至利見臺。</title>,<text>康樂遊山我亦能。偶乘秋興一筇憑。風驅海上蒼波濶。日落天涯黑霧騰。利見臺荒村店在。大王巖古水烏登。東來更向寒軒宿。要看扶桑瑞旭昇。</text>
<title>與諸友同商山河扶餘 入淵 黌堂。夜話呼韻。</title>,<text>邂逅相酬白雪吟。論文一席更論心。黌堂對酒燈前話。廢堞扶筇月下尋。舊識新知情共密。長篇短律意還深。他時倘作重遊計。記得鰲山第一岑。</text>
<title>哭孫叔卿</title>,<text>㢢廬來訪一旬餘。誰道莊園蝶夢蘧。耿介高標吾所愛。殷勤厚誼世無如。鴈羣南浦啼晨月。鶴髮高堂倚暮閭。更有蘭芽茁未長。何人聞此不沾裾。</text>
<title>李長卿 頎 到儉巖。除夕見寄詩。意多䂓諷。</title>,<text>叢竹荒凉擁舊居。此翁無事不生踈。靑銅影裡饒霜雪。古紙堆中老蠧魚。沒世難逢知己契。閉門時廣絶交書。感君厚意勤相勉。癡皷何曾逐歲除。</text>
<title>踏春日遊鰲山。次孫明甫韻。</title>,<text>尋春共策碧藜筇。野色山光一望中。媚日花容醒俗眼。隔林禽語洗塵聦。欲追曾氏沂邊浴。何羡王喬鶴背風。絶磴懸崖行踏遍。梅堂知在幾層峰。</text>
<title>次韓思彦八景緫吟韻</title>,<text>金剛雪壓萬年松。鰲峀烟藏一抹容。半月城春生綠草。鳳凰臺暮送淸鍾。蕭蕭黃葉鳴寒樹。灧灧紅輪掛遠峰。汶水晴川五陵雨。四時佳興隨處濃。</text>
<title>立春</title>,<text>一機來復幾潛滋。天地交通始此時。造化分明由積累。陰陽沕穆自推移。葉花開處流天理。氷雪消時克己私。此意如今知者少。端居默誦邵翁詩。</text>
<title>哭子 二首</title>,<text>數月離家猶眷戀。奈何今日便長捐。死生於汝雖云命。殃咎由吾詎諉天。三十五年爲父子。幾千百劫結因緣。只應宿債相酬報。未敢區區㤪恨纏。儒言澌盡死無知。釋道輪回生有期。澌盡吾當隨盡處。輪回汝亦有回時。回時可續今生樂。盡處都忘此日悲。盡也尋常回也幸。彭殤皆死歎何爲。</text>
<title>省乂谷先山有感</title>,<text>零落孱孫各散居。任他丘壠八荒墟。一番香火三年後。重薦蘋蘩十月初。追慕深情無遠近。同宗厚意孰親疎。堪嗟門戶衰微甚。欠却延陵數字書。</text>
<title>書堂有感</title>,<text>卜築書堂已十年。此來回首獨凄然。春生古樹啼幽鳥。日暮長郊羃翠烟。只愛風光猶似舊。可憐人事不如前。當時少長遊嬉處。躅目那堪涕淚漣。</text>
<title>次權蔚山 相一 題崇禎曆韻</title>,<text>一葉堯蓂篋裏傳。空敎志士涕漣漣。朔仍舊正非秦閏。臘不新更是漢年。海內難逢太平日。此中如覩大明天。也知十襲珍藏處。感慨偏深麥秀篇。</text>
<title>次表忠祠韻二首 祠卽松雲大師惟正影堂也。師之法孫鵬師。謁縉紳先生。請歌詠其事。凡所得詩。殆近百篇。</title>,<text>憶曾妖祲塞東溟。豪俊爭先搏怒鯨。草野幾多揚義烈。山林亦有仗威靈。國無君子斯焉取。世奬忠魂此可幷。薦苾莫嫌非血食。吾師元是掃羶腥。龍象三乘儘渺茫。戒壇空自說慈航。惟師獨得天資美。討賊非因佛力長。事業不慙畵麟閣。身心謾托雨花堂。墨名儒行人誰識。感歎聊題數句章。</text>
<title>宿盤龜溪亭。次板上韻。二首。</title>,<text>山何秀麗石何奇。凈似蓮花伏似龜。圃老昔年曾倚杖。仙翁當日不收棊。屛粧錦繡花開後。壑列瓊瑤月出時。更有淸溪鳴戛玉。夕陽傾聽下來遲。蓬島何年落此間。也知仙侶舊遊山。峰巒刻出層層石。洞壑縈回曲曲灣。月下應看靑鶴舞。臺前長對白鷗閒。登臨此日休云晩。昔名區夢裡攀。</text>
<title>送府尹崔公 宗周</title>,<text>鄧公不受送迎錢。唱罷吳歌當別筵。草木知名應百世。蒲盧敏化但朞年。征車欲挽山猶擁。惠澤長流水更鮮。渺渺余懷何處是。暮雲歸鳥洛城邊。</text>
<title>正月初五日立春。在花溪。</title>,<text>綵燕翩翩歲又初。循環二氣互乘除。前宵送舊燒庭竹。此日迎新進野蔬。客榻携朋幽興足。衰顔得酒暫時舒。聯襟促席消塵慮。短唱長吟浩浩如。</text>
<title>河上舍聖則瑞龍。示余以所作詩律。有目凈正因看月後。心淸自爲聽溪餘之句。余戲之曰必看月而後凈。必聽溪而後淸。則子之心與目。本不淸凈矣。因反其意而戲成一詩。河上舍尙州人</title>,<text>却悔當年浪讀書。邇來漸覺白生虗。着工惟貴探眞實。觀物何須便慘舒。目凈非因看月後。心淸不爲聽溪餘。吾家自有無邊趣。水澈方塘霽夜初。</text>
<title>丹丘里社。次金天用 海龍 韻。</title>,<text>擧國紛紛竄命時。能全忠孝植民彝。死而得所應無憾。生不見知正可悲。揭號門閭存節義。虔誠殂豆想風儀。爲臣爲子當如此。愧殺人間販賣兒。</text>
<title>秋日暮歸。賦所見。</title>,<text>黃花吐馥擁山楸。滿目風光興味饒。香稼似雲鋪地面。翠烟如帶拖巖腰。鳥飛投樹催歸客。蟲語穿林和暮樵。行近村庄聞犬吠。促鞭羸馬渡前橋。</text>
<title>寄坦師 二首</title>,<text>悠悠苦海獨徘徊。剩被三生宿債催。韓鬼窮時雙鬢雪。商明喪後九腸灰。世間無友欲誰語。方外有人猶不來。聞道遠公能穩在。臨風悵望雨花臺。五葉烏孫一部鞋。伴書來自白雲梯。緘中物豈無心送。牋上書應有意題。須把眞詮隨處驗。莫將疑事債人稽。死生憂病皆天命。順受方能極樂躋。</text>
<title>次朴參奉敏孝冬至韻二首</title>,<text>閉關當日絶行人。地下陽生報小春。曾說寒威方觱發。卽看天氣生縕絪。無氷魯史灾仍驗。恒燠箕疇咎是因。莫恠賈生長太息。憂時憂國更憂民。羅時舊物屬吾人。閱盡滄桑今幾春。聲感鬼神同熻焃。氣通天地共縕絪。自鳴知是山傾應。流汗寧非事變因。我願君王修聖德。轉灾爲福保吾民。時奉德鍾流汗。來詩及之故云。</text>
<title>與黃進士斛同到龍寺。至巓戱贈一首。</title>,<text>峻嶺巉巖路僅通。天低海濶眼如空。負隅老石雲藏虎。倒澗懸松雨濕龍。吾已半途難止進。君今初步勉趍工。正知廣漢應無遠。安得驂鸞朝帝宮。</text>
<title>次枝字韻</title>,<text>故人何處寄新詩。花發寒梅窓外枝。頑石却慚攻玉事。淸風仍想出塵姿。春生郢雪論心細。日暮江雲會面遲。樽酒相逢須盡醉。獨醒南國是爲誰。</text>
<title>次春字韻</title>,<text>自從良月至迎春。風氣溫溫浹九旬。何事玄冥終廢職。居然靑帝已司辰。陰陽失序時還舛。綱紀無倫俗不醇。此意如今知者少。感君詩語更申申。</text>
<title>在汶舍。與孫上舍大之拈得陵字。</title>,<text>羅代千年變谷陵。當時野乘渺無憑。橋山底處風烟鎖。蚊水荒原草樹凝。懷古幾多題院客。夕陽時見度橋僧。分明辯說開愚俗。却喜東南也得朋。</text>
<title>司馬所新搆已成。與孫上舍偶得亭字。各成一首。以爲後來張本。</title>,<text>幾年經始此溪亭。措大風流屬暮齡。數仞墻高夫子室。三春興在鷺兒汀。江天雨後雲收黑。野火燒餘草徧靑。觀物自然多感慨。莫辭携酒醉還醒。</text>
<title>復吟一首</title>,<text>經紀謾勞此一亭。君顔已皺我衰齡。名區物色江留石。故國繁華雨過汀。千古王孫悲草綠。一時師友較藍靑。元來興廢無窮已。且對新楹任醉醒。</text>
<title>次朴參奉正朝韻</title>,<text>良辰樂事在三朝。爭把屠蘇送一宵。老去偏驚頭皓皓。病來還覺耳聊聊。彈琴時和隣家碓。擊壤長聞聖世謠。竆巷獨居無與晤。親朋何處共相邀。</text>
<title>次孫器仲是梡遊鰲山韻</title>,<text>虎踞龍盤地勢䧺。金鰲形勝冠吾東。一千年國山河在。八萬菴墟塔廟空。梅月堂懸靑壁上。琴松亭鎖白雲中。諸君此日遊觀興。何似冷冷禦冦風。</text>
<title>苦雨</title>,<text>造物何爲極備陰。黃梅時節苦淫霖。淋淋不絶天應漏。處處無乾地欲沉。擡首難看庸蜀日。傷心空對子桑琴。跳梁惟有羣蛙在。得意揚揚戱小涔。</text>
<title>硯滴</title>,<text>團圓塊質白而堅。呑吐淸波兩竅穿。用舍一時皆有數。追隨四友共推賢。平生托跡文房裡。到處傾心學士前。涸轍不忘濡沫義。幾番同草子雲玄。</text>
<title>石氷庫役所。偶吟贈都監。時黃君季直爲都監。</title>,<text>石築凌陰盖爲民。䂓模制度一番新。往年頹毁知關數。今日重營若有神。基址便宜逢此地。指揮勤幹得其人。千秋萬歲無窮在。永世爭稱太守仁。</text>
<title>偶吟</title>,<text>經訓菑畬是我欺。文章憎達乃今知。收探萬軸難酬債。咀嚼千篇莫療飢。寒月踈簷淸自適。老梅頹塢病相宜。堪咍貧鬼揶揄處。猶對書牎更賦詩。</text>
<title>贈南先達汝兼濟萬 幷序</title>,<text>科擧是士君子求見於君之羔雉。能餙羔雉。以見於君。斯亦幸矣。然其所以求見之意。則不在是。汝兼知之乎。孟子曰幼而學之。壯而欲行之。其學與行。非謂干求利祿之事也。將以行古聖贒事君澤民之道也。今汝兼能孝於親友於兄弟信於朋友。則幼而所學可知已。必將進以禮退以義。上而事君。下而澤民。以行其所學。而不負其求見於君之意矣。豈但以科擧榮一身而已哉。汝兼在具慶之下。擢此高第。誠不易得之事。况兄弟五人。俱有文學。雖早晩有時。皆非老於蓬蓽者。科擧自是伊家分內事。不必賀也。區區所祝。只在科擧後第一着。汝兼勉之哉。聊以拙句。道惓惓之意。影湖冬月獨春風。桂萼班衣相暎紅。今日榮華堪可喜。他時事業儘無竆。魚游海浪千層濶。鴻漸雲逵萬里通。此是出門第一步。立跟須向坦途中。</text>
<title>立春前夜</title>,<text>辛酉之冬此夜除。明年壬戌事何如。幽泉解凍流將遍。病樹逢春葉欲舒。澤國行看龍起蟄。牧人應夢衆維魚。老夫喜遇昇平樂。催進朝飯五種蔬。</text>
<title>書所懷</title>,<text>貧窮自是士之常。何事今年苦太忙。非爲營生多委曲。只緣救死少刓方。藏來寸鐵猶無恙。泛去虛舟亦不妨。回看老松叢薄裡。任他凡卉共蒼蒼。</text>
<title>登盤龜新菴</title>,<text>新菴突兀架崖稜。聲價名區一倍增。檻外嵐光心眼豁。枕邊溪響夢魂澂。題詩筆惹香雲濕。把酒盃呑灝氣凝。誰識醉翁眞樂在。却將幽趣付山僧。</text>
<title>壬戌七月二十四日雨水</title>,<text>雷車隱隱雨傾盆。怒水掀天海似翻。溪齧村家漂已沒。谷噴巖石激爭奔。中原盡入魚龍窟。上界應沉日月門。禾糓根苗何處覔。地皮山骨亦無存。</text>
<title>汶川邊古塔。爲水渰毁。塔曾爲霹靂所擊。故要聯云云。</title>,<text>汶溪南岸塔高高。曾費諸天佛力勞。地閱興亡時幾變。物關成毁數何逃。雷轟甎面神難護。水齧基心石不牢。有意天公相戲劇。千年古跡付洪濤。</text>
<title>汶川氷灘盡解。春水流澌。</title>,<text>萬事人間覆又翻。盈虗天道浩無垠。卽看春水生新浪。無復氷灘有舊痕。取次東風噓百物。從知綠草遍中原。書生讀易偏多感。筭了機關嘿不言。</text>
<title>贈朴正字子昂斗相 二首</title>,<text>物色依然仲夏時。今來叵耐惱相思。淸風明月懷玄度。流水高山子期。寂寂虗堂無與晤。悠悠此意有誰知。磻溪咫尺金蘭阻。悵望空吟伐木詩。離合人間有數存。然雲樹易銷魂。東南歸路分雙袂。上下淸流阻一樽。騄駬長途應不顧。桑楡暮境定難諼。投瓜未得瓊琚報。旅榻無緣滌惱煩。</text>
<title>贈李子春萬啓 二首</title>,<text>君齒豁如我髮華。世間滋味薄於紗。光陰倐忽同流水。事業空虗等幻花。朋友逢塲爲樂國。妻兒憂處是寃家。一罇相對須酣暢。擡首西山日欲斜。枯木形骸不復華。兩眸昏翳隔重紗。鬢凋江上早楓葉。心保籬間晩菊花。每遇良朋聊吐臆。幾臨佳境便忘家。袖中猶有龍光在。時向牛墟紫氣斜。</text>
<title>夜坐有感</title>,<text>學子皆歸久寂寥。老夫無事坐長宵。花枝影動風翻葉。竹樹寒生露滴條。牕外候蟲鳴茂草。雲間皓月輾層霄。靜思身世多傷感。百歲光陰等一朝。</text>
<title>溪齋長夜無寐。偶吟所懷。</title>,<text>迂拙平生只敱癡。世間營畫揔無知。閒中日月是吾友。卷裡聖贒眞我師。偶作蓮亭司馬客。暫隨蘆岸白鷗兒。冷冷溪響終宵聽。獨坐空齋不寐時。</text>
<title>醉村酒</title>,<text>濁酒三杯意浩然。麯生風味儘堪憐。紅潮潑處藏衰態。豪興來旹敵少年。櫪上驥心千里去。松間鶴夢九霄懸。一聲啼鳥驚催起。依舊秋霜滿鬂邊。</text>
<title>題汶亭唱酬軸後 幷序</title>,<text>往在乙卯冬。以蓮桂堂營搆事會黌堂。時商山河淵淵， 名大淵。經扶餘縣監。 趙斗春 名寅經 適來。遂成一塲勝會。相與達夜唱酬。其後蓮桂堂已成。而世故纏繞。不能團聚相樂如往日。今年夏。偶閱箱篋。得當時唱酬藳一軸。盖題名其中者八人。而四人已仙去矣。噫死者不可復見。而在世者如河趙兩人。又在數百里外。其在同鄕者。獨孫賚予與予二人。然各汩世故。不得種種會晤。而年又衰老。幾何其不隨四人而去也。他日見此藁者。毋論詩之工拙。卽撫覽陳跡。當作何如懷也。因錄其詩而次其韻。以寓感慨之懷。舊遊塵藁八愁吟。半是牙絃已絶音。鴻跡雪中宛猶在。海泡波上杳難尋。百年忽忽雲來往。萬事悠悠水淺深。在世四人還落落。近兄江阻遠商岑。</text>
<title>偶感</title>,<text>太公八十奮鷹揚。吾比太公猶壯強。目奈昏昏筋奈倦。髮何種種病何長。平生好讀已全廢。半世耽遊空悵望。宿願未酬何以死。聊將基業付兒郞。</text>
<title>次南正字韻 時南有洛中之行</title>,<text>我赴酒筵君在亭。我醉歸來君獨醒。愧我髮毛千丈白。喜君詩韻十分淸。春風擬向通津路。暮境空懷惜別情。他日倘思今夜否。滿天星月照心明。䆠海風波審所思。前程夷險出門知。一樽芳草春歸處。千里長安客去時。投脚路衢中可立。盡心家國孝宜移。送君此日深情在。臨別慇懃贈以詩。</text>
<title>偶吟</title>,<text>老來欲學少年遊。筋倦精衰不自由。郊外踏春筇是脚。牎前對卷鏡爲眸。酒餘暫得紅生面。梳罷還驚白滿頭。強作大談愁更攪。終然頹向枕邊休。</text>
<title>夢羲堂追感舊遊。次權蔚山韻。留贈主人。</title>,<text>幾度龎牀獨拜廻。每登江榭眼偏開。至今雲繞靑山在。依舊波迎白鳥來。一夢已空元亮枕。百篇誰勸謫仙杯。悄然默坐沉吟久。夜靜無人月上㙜。</text>
<title>病中雜詠 三首</title>,<text>伏枕經旬病轉深。眼前何事可寬心。升閒朝夕憂愆乏。券負公私怕督侵。屋漏空思千廈庇。甁傾難博一杯斟。幾年辛苦螢牎業。贏得頭邊雪滿簪。蹙蹙窮途卧病身。前程都付少年人。新篁有葉能迎雨。老樹無花不識春。過去事緣皆是業。向來詩句揔爲塵。兒郞倘做如吾做。但恐兒郞做未臻。草屋床床屋漏懸。終宵聽雨未能眠。愁沾卷席還多坐。避濕携衾定幾遷。但慮蠧編滲盡腐。不妨鶉褐黦成穿。老妻笑我謀生拙。庇雨曾無一傘傳。</text>
<title>鵬路携酒來訪。復疊前韻。</title>,<text>剝啄柴門眼忽開。玉郞袖裡有情杯。夢迴昨夜池生草。興入南郊雨送梅。白雪滿襟寒共語。紅潮潑面皺堪咍。與君但願長相見。握手同傾月下罍。</text>
<title>孫明甫述懷</title>,<text>才命俱通自古難。吾君可是老儒冠。乾坤日暮靑雲遠。江海風高白雪寒。糊口不如猿食貯。托身何似鳥棲安。悲歌河上憐同病。空使雙龍匣裏蟠。</text>
<title>贈鵬路 二首</title>,<text>老去襟期托後生。况君坦腹倍鍾情。相逢每喜淸談劇。久別常存鄙吝萌。交誼厚時思益厚。工夫精處願加精。莫言昏耗無堪取。善惡皆師聖訓明。來何遲也去何遄。日夜悠悠我思川。誼豈他人翁壻比。情堪知己管牙肩。居才隔舍如千里。別已經旬似一年。有馬有僮無礙阻。賁然胡不慰懸懸。</text>
<title>戱崔君鍊伯 時崔▦校長留校中</title>,<text>黌舍溪亭咫尺間。病軀難得共追攀。沉吟夜榻看明月。默坐朝牕對碧山。不耐風光增嫪戀。却思文酒做淸閒。伯牙縱有峩洋曲。鍾子無心聽一彈。</text>
<title>贈朴參奉善伯 思謙</title>,<text>汶陽亭上雨初收。忽聽峩洋病欲瘳。卄載容顔新白髮。一塲談笑舊靑眸。人生會合應關數。世事推遷只轉頭。今日相逢天借便。五陵芳草共追遊。</text>
<title>汶亭刱建。李德祿，孫景杰兩上舍終始經紀。工訖才數年。相繼淪逝。溪澗近又變改。不勝滄桑之感。復次亭字韻以志感。</title>,<text>獨來無語坐新亭。屈指完工僅五齡。殘月忽驚前夜夢。逝波亦改舊時汀。經營棟宇人何去。寂歷郊原草自靑。醉激悲懷醒難耐。此間難醉又難醒。</text>
<title>再步瘳字韻贈朴善伯</title>,<text>三伏熇威戰蓐收。炎天舊病未全瘳。此旹竆巷添愁緖。何處高軒騁遠眸。朝晩嶺雲生蟹目。夜深山月滿鰲頭。五陵烟樹多秋興。好是騷翁作客遊。</text>
<title>雨霽後日氣烘熱如前</title>,<text>雲捲霧收火景飛。祝融炎御有餘威。斃蛇掉尾靈還在。困獸磨牙闘未歸。丁女不廉侵白露。庚神猶伏畏朱暉。雖然大火西流急。九月凉風已授衣。</text>
<title>上府尹宋公 徵啓</title>,<text>鄕校東軒。乃故提督廳。而我城主名曰育英齋。以爲課士之所。而優惠糓物。以給饋糧。使一邑子弟。會同做工。永爲恒式。甚盛意也。不勝感歎。謹呈拙句。提督故軒久寂寥。育英新額始今朝。蜀州儒化千年事。鹿洞贒䂓百世標。培植盛心無棄物。蕩平公道揭明條。寄言縫掖諸君子。毋負仁侯德意超。</text>
<title>寄南正字汝兼一首</title>,<text>秋風江上鴈初飛。千里京華客未歸。雲繞太行鄕思切。霜侵騎省䆠情微。上林高樹棲誰在。玄觀仙花種已稀。藏器知君終有待。賈生不必歎時違。</text>
<title>送鵬路赴會試</title>,<text>玉佩瓊琚賦遠遊。翩翩雙袂洛陽秋。嶺關雲盡通危棧。漢水風輕穩去舟。珍重身心宜自愛。幺麽名譽豈難求。若逢唐擧前程問。莫問春花問海籌。</text>
<title>七月二十八日大風雨一首</title>,<text>黑蜧狂奔颶母獰。掀天動地鬼神驚。驅霆駕雨翻千海。折木摧山走萬兵。平地礫沙丸矢亂。滿疇禾稼粉薤幷。轟聲暫息出門看。極目蕭條別界成。</text>
<title>前郊古木。爲風雨所拔偃仆。翼朝還自起立。</title>,<text>童童靑盖擁前途。剛被箕靈盡力驅。百歲榦摧神鬼護。九泉根倒蟄龍扶。老柟能保堂顔色。僵柳還呈國瑞符。不見聖人來習禮。空敎蒼欝庇田夫。</text>
<title>八月十二日夜淸明。星月皎然。</title>,<text>乾坤闔闢一陽陰。變化機權漭未尋。風雨亂侵前日象。月星高掛此宵心。干戈廣武愁何在。環珮南宮樂自深。休咎不關騷客事。只憐淸影獨閒吟。</text>
<title>鵬路以詩贈新恩李景淳。用其韻贈鵬路。</title>,<text>螢牕喫苦志精專。舊業箕裘世世傳。喬木鸎遷知有日。北溟鯤化詎無年。成針只在磨神杵。得寶何須入險淵。莫歎蓮花開太晩。瓊林勝賞爾應先。</text>
<title>晦齋先生文集重刊時韻</title>,<text>石泐金銷道不刓。先生文集得重刊。難傳旨訣同輪斲。已就剞工似璧完。設敎堪爲夫子鐸。等閒寧作越人冠。寒泉舊藁隨登梓。多賀諸賢用意寬。</text>
<title>戱次專字贈鵬路</title>,<text>一曲花溪獨擅專。這間滋味少人傳。胷藏禮樂三千字。手閱陰符五十年。貧好讀書陳孺子。老當益壯馬文淵。忽驚昨夜潛雷動。牎外寒梅淑氣先。</text>
<title>次鵬路至日苦寒韻</title>,<text>白屋生涯事事違。竹牕難禁雪花飛。頭邊霜髮千莖亂。地下春心一線微。空惱子桑彈綠綺。誰憐范雎贈綈衣。東風不久吹枯木。解得嚴凝十匝圍。元韻墐塞新秋計已違。疾風穿屋蟢絲飛。山頭雪積寒猶緊。坤腹雷鳴陽最微。凍壁尙凝前夜雨。瘦身仍着去年衣。邇來奴病薪如桂。冷透衾裯襲襲圍。</text>
<title>朱君粲然就穸日。風氣獰惡。旹余在龍寺。阻風不得相紼。感題四韻二首。</title>,<text>一夜嚴風撼九垓。靈車何處去徘徊。沉沉寒日淡無色。曖曖凍雲凝不開。紼路穿氷氷沒脚。淚痕成雪雪盈腮。過門喪柩不相送。悄倚禪窓腸九迴。白髮老兄送弟喪。仲冬物色最堪傷。雪風如箭穿衰骨。悲緖爲刀割病腸。執紼行行呼且哭。衝氷步步起還僵。不遑哀死哀生者。題罷新詩感嘆長。</text>
<title>寄孫君維則</title>,<text>汶陽三歲往來頻。却喜隣居有故人。少日顔容同濩落。暮年懷抱共開陳。琴聲哀處君逾老。詩意窮時我益貧。流水高山情未極。夢中猶躡芳塵。孫君時服闋未久。故腰聯及之。</text>
<title>次金進士還家嘆韻二首</title>,<text>窮儒活計未曾優。強欲忘愁已自愁。親舊人情終莫副。公私物債奈難酬。頻逢水旱知天數。不免飢寒是我由。休說還家憂始有。此身生世卽生憂。工夫未到學而優。蓬蓽生涯事事愁。竆巷酒朋那易得。暮年詩債亦難酬。吾心悔吝將誰㤪。世故纏嬰不自由。元是此生如此耳。此生過了更何憂。</text>
<title>次陳德一 烏川人 韻</title>,<text>相逢意氣海天高。一曲峩洋絃上調。劒拂樽前心共照。霜堆鏡裡鬢雙凋。山禽欵欵離情吐。江水悠悠去路遙。暮境盍簪知不易。他時應亦憶今朝。</text>
<title>宿寒房。思南甥衣字韻疊步。</title>,<text>寒窩兀坐負暄違。四壁風來紙帳飛。朝井汲泉氷已合。夜爐種火氣猶微。平生不羡粧文繡。今日還愁擁褐衣。賴有玉郞知此意。煖然佳什欲成圍。</text>
<title>贈別權上舍沃卿 名濂。靑松人。</title>,<text>人生一世貴知心。莫把交情較淺深。已識子呑韓愈篆。不妨吾奏伯牙琴。誰憐袖裏靑萍老。自歎頭邊白雪侵。却喜數宵聯枕宿。何時何處更相尋。</text>
<title>苦寒</title>,<text>敗殼受風縮老蝸。凍梨生皺苦波波。雙龍匣久聲猶在。五鳳樓高手屢呵。墻角小梅含雪萼。塢邊孤竹動氷柯。冬寒也是尋常事。春若來時氣自和。桑楡日月苦相侵。獨坐寒齋白雪吟。庭畔臘梅遲吐馥。林間暮藹易成陰。虗傳經訓菑畬說。冷落簞瓢陋巷心。欲作杵聲慰枵腹。蕭然四壁亦無琴。</text>
<title>寄朴善伯 二首</title>,<text>汶上留連七日過。相思不見意如何。東山月出添新色。南浦氷生噤舊波。一炷燈心孤客細。三杯酒興故人多。忽驚原鶺飛鳴急。虗負陽春白雪歌。昨來經過五陵村。已覺前程暮靄翻。倦客催歸風引袂。故人虗待酒盈樽。朝吟白雪思難抑。夜對靑燈夢幾番。祗恨病違薰沐地。却將饞口負齋膰。</text>
<title>疊步前韻贈善伯</title>,<text>頭邊歲月刹那過。送舊迎新更若何。耐凍雪梅將吐萼。近春氷澤欲生波。抱痾窮巷歡情少。對酒何人興味多。除夕盍簪前約在。與君携手放高歌。君悵望瀼西村。雲雨何曾覆又翻。托契已爲膠上㓒。論心不待月中罇。孤吟寡和愁千緖。美謔相酬笑一番。當日汶陽病奄卧。至今猶恨失齎膰。</text>
<title>壽李僉知命益</title>,<text>壽是箕疇五福元。縱無官爵亦云尊。已將仙筭同龜鶴。况荷君恩比鷺鵷。方朔三千應自許。太公八十不須論。願言早種蟠桃子。春色何年滿後園。此老無子不爲立嗣。故尾聯及之。以諷之也。</text>
<title>次金進士敬天韻</title>,<text>吾生事事不如人。謾泊虛舟學海濱。到處每嫌新面目。老來無復舊精神。逢春自歎頻呼癸。看曆還愁晩得辛。誰是世間知己者。索居窮巷斷蹄輪。</text>
<title>次陳德一高字韻再步</title>,<text>海畔層雲入夢高。灰飛陽琯律初調。梅花向暖香先動。松葉經寒翠未凋。白雪歌聲詩上在。烏川物色望中遙。栽書欲寄東歸鴈。挑盡殘燈坐待朝。</text>
<title>野火</title>,<text>無端春火入平郊。燒了荒田數畒茅。莖葉隨烟雖已盡。根核着土未應銷。不妨雨洗靑芽茁。佇見風吹翠影交。但恨蘭蒿無辨別。夕陽怊悵度前橋。</text>
<title>次權上舍沃卿</title>,<text>汶上孤亭雪月時。會成眞率亦云奇。春風和氣罇中酒。流水寒聲筆下詩。談笑一塲能共做。逢迎何處更相期。別來瓊玉盈塵篋。可是祥光涅不緇。</text>
