<title>謾成一絶</title>,<text>淡靄入眼明。晴嵐覺心洗。終年不厭對。蒼山是舊契。</text>
<title>山水軒外梅花盛開。拈一絶呈石坡宗兄。癸巳</title>,<text>二月溪山物色寒。新梅先作小堂顔。主翁偏愛瓊葩好。不欲隨兒寓第還。</text>
<title>步出前軒。見梅花已落。悵吟一絶。</title>,<text>梅花落盡主人歸。惆悵山軒獨上時。春光也好年年到。竹杖巡檐願共隨。</text>
<title>春日懷遠臺四言 二首</title>,<text>蒼松落落。淸川滾滾。俯臨幽壑。境落蕭散。下有愚巖。儼臨堅貞。來者有訪。如拜先生。</text>
<title>悼金戚從季璜 磻洙</title>,<text>爾目應難瞑。吾詩豈盡悲。人間終負孝。泉下忍忘慈。雨泣他山暮。風歸故國遲。文房連世業。埋沒舊芳菲。</text>
<title>和呈李季陽 七首</title>,<text>有斐西京雋。詩名動南陬。盛壯擬天衢。晩道林壑幽。隨緣嚶鳥樹。尋勝狎鷺洲。超身闤闠閙。俯視烟花稠。生事一任了。不被俗下憂。少遊長者門。喜讀古人書。子諒一片腔。潑潑春沼魚。閒宵卧竹床。凉月墮階除。名理秘玉鑰。不在竆石渠。燀赫長安道。車馬日相馳。肯將五寸綏。漫向侯門垂。飄飄四三載。木葉如辭枝。因依幸有所。情話亦足怡。頹風漲西塵。晦月莫能照。獨採薇蕨餐。康濟吾身妙。今人誰飮瓢。樂貧傳古調。吾聞河汾子。經濟付琴嘯。但堅山澤志。敢道抱廊廟。我本寡諧者。匏繫此山中。泉石痼一性。烟雲滿兩瞳。遣閒苦無術。簡編寄素衷。晩契有之子。靡日不嚮風。譬彼他山石。攻成玉溫栗。子微戒坐忘。思叔忍詬叱。世間榮辱字。金石破鳴蟋。但無瞑眩藥。何以去斯疾。努力願相將。桑楡免顚跌。悠悠聽蟬罷。秋水正拍岸。角里在底處。云是午臺畔。新詩忽入眼。空山如遇伴。雖有木瓜酬。本非下里讚。何當命羸驂。同榻叙阻歎。</text>
<title>送孫女悵然有作</title>,<text>每謂鞶絲穉。今成禮嫁娘。酉陽好門第。江左舊軒裳。駁馬凌晨動。歸鴻遠道翔。丁寧孝順戒。治室尙無忘。</text>
<title>北邨卽事</title>,<text>淸風鞍馬潁溪濱。爲訪殘年故舊人。浮世難逢開口笑。竆居多値攢眉顰。風催四野黃雲色。天豁羣山白露辰。到處高軒靑眼對。朋情愈覺老來眞。</text>
<title>簡寄黃公弼晬筵</title>,<text>獻壽峯前壽席高。風流淡蕩老巾袍。弧辰斗酒斟黃菊。卦數浮生喜白毛。和翕床琴謠極宿。聯翩彩袖舞蟠桃。堪憐縮地今無術。未共楡陰永夕遨。</text>
<title>謾賦溪邊桐木</title>,<text>萋萋梧桐樹。生長愚溪傍。溪水日夜駛。吼石自宮商。美邨占地好。淸韻勝高岡。哿矣伐琴瑟。薦之淸廟堂。餙以崑圃玉。絃以萊篚桑。一唱神明通。爲用詎不臧。靑黃已見灾。何如不見戕。願得貴塲師。不恨乖中郞。柯葉遂峻茂。雛鳳養珍章。且當秋夜霽。灑落有幽光。從知命物意。寧此不彼强。</text>
<title>簡寄蔡顯如 光禹，宗文 周郁。</title>,<text>古人不可見。惟讀古人書。書中何所言。人道是權輿。內自心術微。外至動容餘。狀得天理眞。萬善指掌如。言之固精密。讀者乃粗疎。菁華但採剝。文句則獵漁。泠泠潁水北。德人不孤居。倦遊芹沼返。名韁付雲虛。守分養恬泊。所樂親蠧魚。潛心對聖贒。端坐整文裾。箇中微奧旨。想應切磨胥。得處在何妙。條理貫終初。自古成德士。皆從經訓畬。雋味如豢悅。契悟如癢梳。愧我口吻騰。不能肚裏儲。友道今淪沒。相與只虛譽。請君勿隨俗。闕失勤攻余。雖余耄荒甚。未死猶勉諸。</text>
<title>雲水樂二章</title>,<text>白雲在巚。淸水流壑。壺中千疊。物外九曲。人無爭競。我自娛樂。雲宜施澤。不自爲時。水固利物。不自爲辭。中有閒者。欣然詠而。</text>
<title>磨鏡</title>,<text>古鏡新磨別有方。旋旋下藥始回光。倘敎積藥空虛面。傍證還添暗暈强。</text>
<title>謾題 三首</title>,<text>澤宮試士遠。歷代重貢擧。棘圍杜囑嚴。封彌秘號拒。國朝用此制。主司謹取與。良材售嵌巖。名珠自海渚。云何中葉來。私逕紛無據。關節與賄賂。揚揚得意去。餘者在山外。何由拔才諝。蓽門槧鉛士。歲晏可哀汝。諫官國之紀。臺閣凜風采。格非補絺繡。糾謬匡鼎鼐。殿虎與骨鯁。不使庶績壞。近來城門開。言者逡巡畏。堂堂白簡職。卑卑冗銜寀。擧爲飢烏噤。還怕仗馬退。庸夫揔發跡。安知引君話。名器倘見重。庶無從政殆。王制重易名。一字表善美。貞惠固其蹟。夷齊卽何義。古人心不苟。慈孫無敢侈。漂淪百代下。粉餙希濫諡。如何節惠典。反作循私議。匪文乃曰文。精靈得無媿。世習日趨卑。末流終至此。縱有兩文宣。萬古惟夫子。</text>
<title>人道詞</title>,<text>日用事物當行理。是謂古今人者道。此道坦坦甚平直。常患蚩蚩不肯蹈。只爲主宰形氣役。望燕歸越靡不到。厚味姸姿始潛涓。盜嫂受金終喧譟。厥初常性本無惡。柰何爾負降衷昊。大抵行身著腳無餘地。全靠禮維義櫓相扶導。譬如一條來往路。臨在千仞坑塹隩。斯須跬步或不謹。殆哉全身直墮倒。無倫惡名瞥然加。馬裾牛襟臭穢冒。有財千鐶何能贖。有水萬斛誰可澡。雖云蠢動且飮食。不如遄死九原早。所以羣哲自修要。一生戰兢至于老。爲報世間懲轍覆前輩。必先審幾毋枉討。</text>
<title>踐形詞</title>,<text>我讀孟氏踐形訓。不踐其形一裸蠢。旣昧人獸所以分。况論平居天則紊。靜循此身洪匀賦。中有方寸至理具。耳目聰明交盡職。手足恭重馴入德。飮食男女大慾存。惟當畏敬淸心源。心源瑩然復其淸。頭圓趾方眞成形。任他情竇恣肆者。最靈之名徒虛假。盍從大軆先恪愼。踐得衆形人道準。</text>
<title>道院卽事</title>,<text>平朝徙倚靜虛樓。江淨沙明八月秋。默契濂翁千古旨。澹然無物到心頭。</text>
<title>平昌倅柳君載可 後官至左議政號洛坡。 以其先集請余一閱。柳穉獻 抃春，趙穉夢 述周 又書要卒事。拈韻賦示同座。八首</title>,<text>江翁棲隱宅。十日對遺書。如復覩威鳳。纔能辨魯魚。寒花秋序晩。短髮老懷餘。幸與同心子。整束瀅冲裾。嘉君鳧舃住。邀我整先書。譜古治馴雉。官貧食繼魚。方謀傳世久。誰了掃塵餘。珍重公私事。丁寧更執裾。公門期會在。朱墨惱人書。東峽催征馬。南雲拂佩魚。法言當有據。世道柰無餘。分手前期杳。情衰淚濕裾。右贈載可靑眼相逢處。徵君滿篋書。幾年叫侶鴈。今日勝餐魚。覈字編摩始。傷時笑語餘。先知嘉惠賴。隆耋得聯裾。右贈穉夢塵世君虛老。徒儲腹裏書。違時常伏驥。當夜不眠魚。江舍開蒙際。湖塋憶遠餘。生涯惟澹拙。終歲兩垂裾。右贈英叔握手叙悲古。從春不盡書。羸形哀晝燭。縗服若臯魚。福履當頭在。神天悔禍餘。悽然望荒隴。沾灑老荷裾。右贈希萬圜圚江津上。爐薰讀古書。思兄時羨鴈。行樂自知魚。鉛槧塲屋倦。瓊佩月花餘。侯門休道熱。羞向曳長裾。右贈明叔後進翹材最。先謨抱聖書。珍章南穴鳳。變化北溟魚。祛習淵冰在。持身律度餘。待他經術富。玉佩響衣裾。右贈叔斌</text>
<title>送吳子厚 重鎭 還寓庄</title>,<text>殘年此別意如何。竹樹依依嶺路賖。鬢髮垂銀君亦老。泥沙沉玉世堪嗟。天寒西塞孤鴻羽。酒盡東籬晩菊花。聞說丹丘仙藥鍊。可令瘦骨服靈砂。</text>
<title>至誠吟</title>,<text>至誠天道浩無涯。化物流行妙若何。樂意相關禽對語。生香不斷樹交花。深淵戰戰身遑怠。終日乾乾志毋邪。示我丁寧思聖訓。先從明善戒毫差。</text>
<title>水回洞遊賞 並序</title>,<text>水回洞爲九曲之最勝處。是年三月。愚院洞主蔡上舍宗文，齋員趙友德一，三從述之。旣釋菜。遊興齊發。石坡兄肩輿。諸老及而鷹叩角。羣少步屣。沿溪指點。領略諸勝。行至拱仙峯下。命野人布茵席列坐焉。時風日淸美。活水流轉。草莖木芽軟軟點綴於左右蒼壁間。水渚巖罅躑躅爛開。朵朵垂紫。儘奇景也。已而午雞啁哳。院人烹狗炊黍而供之。噫晦翁以春三秋九。遊陟武夷。暢其靈襟。余之遊玆。每在楓菊錦繡之節。今見野芳幽香。生意藹然。不啻較勝。則雖無二樂之趣。略知造化流行之妙。專在於品彙發榮之中。故程伯子萬物靜觀皆自得。四時佳興與人同之句。遂諷詠之不已。更和近軆。聊呈座上。同人選勝足風流。春服聯翩水西洲。削壁丹靑濃老眼。曲灘琴筑滌幽愁。眠分細草留黃犢。坐占晴沙狎白鷗。惆悵仙區要後約。好乘春色幾回遊。</text>
<title>溪邊花石</title>,<text>照水丹霞特地驚。諦看花發石頭明。剛憐物性堪辛苦。盤礴成根瀾漫榮。</text>
<title>季夏夜坐。聞蟲鳴感賦。三首</title>,<text>困暑耽玄景。披衣夜坐幽。喞喞動蟲語。氣序已占秋。微物雖知時。天機不自由。殷殷銅環轉。戛戛繅車周。籬根與階側。唱和如相酬。夜深不暫止。問爾孰使不。信矣商律鳴。可以人不侔。我本昏怠士。不及嬾婦愁。沉吟因口占。心事更悠悠。我跡混漁樵。守分谿谷幽。短髮將禿盡。蕭然一世秋。枉過少壯歲。浮泛不知由。及此楡景殘。願言慕孔周。拳拳嘉惠訓。草草視閒酬。所以日究下。焉得上達不。反鑑索照似。作飯炊沙侔。關鎖千里邃。日暮道遠愁。宮墻空入望。於乎自古悠。天道在人軆。流行無顯幽。存仁靄生春。制義凜殺秋。何必求諸遠。均吾一性由。始知動靜常。通貫事物周。處世別無法。隨分各有酬。憐爾童觀人。未見天人不。寶玉不自貴。甘與麤石侔。門外險瞿塘。風波使人愁。不如守吾玄。採薇寄興悠。</text>
<title>翫易有感</title>,<text>中虛中實坎离形。心畫包含敬與誠。喫緊功程惟在此。鬼神傍質上天明。己私難克道離躳。實學綜要翫易中。山澤風䨓明著象。逐旋受用始收功。</text>
<title>觀物吟</title>,<text>品物流形滿兩間。大原分合衆論紛。朝來忽見庭前樹。萬葉千枝本一根。</text>
<title>趙君猷卿 佐榮 滯雨院中。未得與晤。悵成一絶。</title>,<text>關人山雨太無端。悵望聲光咫尺間。白露蒼葭終日詠。溯洄秋水幾番還。</text>
<title>角里翁晩而流落鄕曲。以詩自况。示余要評。遂步讀易韻三絶。</title>,<text>畫前元有易。盈虛翫至理。本義緣文覓。安得問朱氏。中男自解耕。小女方臨織。天授不大聲。妙處無從識。連山際治水。歸藏在殷湯。扶陽爲君子。偕之周道蕩。</text>
<title>聞雞</title>,<text>老人無眠冬夜永。牕近雞塒待雞鳴。俄然搏翼聲喔喔。爽如紅日東方明。天君孶孶何所向。是處分却善利程。舜蹠一判天淵隔。謹獨須審其幾萌。偉哉聖哲知幾早。遂至意誠齊治平。嗟余亦受皇降衷。晩始有爲晨雞聽。聽來雞號且未了。默念平生度顚冥。及此桑楡頹景沉。矢詩尙冀補劓黥。</text>
<title>而鷹從 象璜 贈烏竹杖。拈筆謝之。</title>,<text>何處淇園千畞林。揀出玄圃一枚玉。內堅風霜不改節。外凝絅錦闇然色。全軆貞剛保厥美。不待刻銘比贒德。吾弟慇懃俾余杖。視履安地審傾仄。紫藤丹藜那足貴。取義莫如此烏竹。臨水看雲無限處。動靜隨時一柯則。扶策微軀傴僂乃餘事。感君嘉惠多於百朋錫。</text>
<title>大行王因山識哀 乙未</title>,<text>北望交州路半千。寢園哀淚徹竆泉。渚虹固應河淸運。喬舃飜遺地坼年。誰負冲王肆覲岳。我思宗社若臨淵。古來祈永諴民在。仰恃慈宮邁宋宣。</text>
<title>白菊</title>,<text>風霜時節吐芳華。但欠黃中正色嘉。主翁淡素君知否。庭實還宜皎皎花。</text>
<title>酬姜君芸甫 稷</title>,<text>有本南川水。無心甲嶂雲。端居何所養。君子貴多文。</text>
<title>自况</title>,<text>衡門寥落任棲遲。羞向竆廬歎數奇。調度飯蔬兼水飮。興居鹿走與猿飛。一身閒界康無太。萬事塵寰貴不歸。澹泊居然僧有髮。娛心何物入於思。</text>
<title>宗父立齋先生文集刊役日。拈賦集中韻。</title>,<text>當年箱帙貯巖關。夫子修辭自少閒。萬理礱磨留妙契。一番梳洗露眞顔。自憐桑海心衡乏。多賴華山眼月還。繡棗擬同天壤弊。何時文運賁人寰。勘定惟存大軆關。詞瀾浩汗亦歸閒。毫末四七嚴朱陸。炙嗜三千樂孔顔。聊寓西林摧木感。可徵南士飮河還。斯文日漸荊榛委。遺鐸誰將警宇寰。</text>
<title>題耕釣軒帖 並小序</title>,<text>昔我宣廟書扇詩。有秋水和烟釣。春田帶雨耕之句。李公景巖以其自合於田野之居。畫爲一帖。求詩於諸名勝。鋪張其事。噫今余貧士也。况其所居。臨溪而俯野。烟釣雨耕。實獲乎御扇詩中之景致。遂以耕釣名其軒。自題蕪詞。以寓其趣云。溪庄烟雨裏。庤鎛更緡絲。澤澤緣桑畔。垂垂倚荻磯。隨風濃一抹。終日細潛滋。倦罷仍簑笠。鄰狵怪吠疑。</text>
<title>二月初十日。夢得數句。翼朝足成以自遣。</title>,<text>高枕楡陰午夢凉。興來時搏讀書床。不知山外風塵滿。只覺壺中日月長。四句夢作 葉落花開俱造化。鷺眠魚戲各潛翔。區區莫恨吾生晩。自有閒居立命方。</text>
<title>感旱二首</title>,<text>仲夏年年每旱暘。天心於此豈尋常。歲月居然緱嶺遠。健陵松柏已蒼蒼。隆園諱日是明朝。宗祝惟依式禮昭。七日居齋當日慕。史臣誰得木天描。</text>
<title>金谷識感 以下東遊紀行</title>,<text>南野先生宅。荒凉只舊閭。三龕輪報祀。六尺抱遺書。桑海無從淚。松川暫下驢。親朋僑寓近。投宿老懷攄。</text>
<title>靑巖亭 用退陶韻</title>,<text>移屧虹橋已震衷。纔登畫閣怳憑空。有名薖軸靖陵際。無右樓臺大嶺中。環壁林塘涵道氣。籠紗雲漢樹儒風。平生此日眺吟處。奇景渾忘夕照竆。</text>
<title>三溪書院</title>,<text>天祝龍蛇守死贒。遺風畏壘憶當年。放海三溪流日夜。眞工遠遡近思篇。</text>
<title>石泉亭</title>,<text>步步靑霞小洞幽。秋風客上水明樓。松杉漏日丹靑活。泉石鳴璆徵羽稠。千古羲文閒讀罷。百年筇屨剩芬收。主人欵曲遂同宿。淸夢猶從勝處搜。</text>
<title>溪上故宅</title>,<text>宣城山水淸且秀。海東夫子此鍾毓。夫子去後三百年。禮樂文物傳遺宅。問誰扁榜六字大。要使周行過者式。白首殘生抱宿願。駐馬遲回不能適。闕里考亭今始睹。想象衡斗與泰嶽。路傍巨廈豈惟此。只爲吾師播芬馥。墻廡枵然寂無人。主人時繫密城祿。爲謝主人不如歸。淸晝棐几遺書讀。</text>
<title>陶山書院</title>,<text>陶山高仰抱遺篇。尙德祠前始拜虔。皜皜秋陽江漢像。猗猗蘭操杏壇絃。潭臺雲物淸芬剩。齋閣圖書妙契傳。却歎聲流蠻海至。雕題尊道尙能天。</text>
<title>馬上望仙夢臺</title>,<text>寒樓一枕夢遊仙。縹緲高臺俯巨川。惆悵征鞭遙指點。古人秋水隔娟娟。</text>
<title>有懷靑巖亭。重步退陶韻。</title>,<text>冲翁大節激人衷。遺閣穹然迥出空。正氣不磨霆震後。精靈應在畫圖中。荷生碧沼傳馨聞。松老奇巖送晩風。最是兩間同弊物。退詩眉筆耀無竆。</text>
<title>山居五章 戊戌</title>,<text>適來人寰。送老山樊。境似太古。跡涉逸民。粥飯朝暮。衣褐寒暑。非尙儉德。但愜拙計。案有圖書。園有花藥。起居無時。適情寓目。萬壑雲嵐。一溪鷗鷺。優哉悠哉。聊以朝暮。誰毁誰譽。何是何非。象在无咎。吉人與歸。</text>
<title>賀芝園宅重牢宴</title>,<text>𤅀洲大嶽兩鍾靈。星戶相逢六十齡。花燭一依當日禮。鳳儀猶帶少時形。盈庭蘭玉津津慶。奠幣玄黃拍拍馨。瑞旭方暄紅巹席。也應炙背獻天扃。</text>
<title>敬次老先生四時吟</title>,<text>睡起東牕瑞旭明。天機庭樹聽禽鳴。前宵好雨知時下。芳綠郊原次第生。春○朝午天雲淡日華遲。水㬉前溪始振衣。花柳紛披行樂處。會心千古詠而歸。晝活計山居獨採薇。一瓢猶幸免恒飢。畦丁趁夕驅牛至。農務方春節莫違。暮隨時宴息首宜東。檐月庭花興不竆。只怕惱人春睡夢。無端淪海復升空。夜夜氣猶存暑氣淸。前山雨過更新靑。莫道醍醐能爽口。洗心何似誦箴銘。夏○朝中天如沸火輪明。企渴淸飈爽泛楹。最憐睡意矇矓際。忽得黃鸝砭耳聲。晝支離敲赩在西山。鳥帶斜陽呿口還。一任披衣頹卧地。泉聲入暮斗潺潺。暮池臺暑退月華明。竹露松颸夜轉淸。竟日惱炎羣動息。依林宿鳥亦無聲。夜曉牕虛納肅凉風。醫得心煩太爽胷。何人但恨形骸悴。義氣崢嶸感此翁。秋○朝氛埃淨盡隼鷹豪。名節相傳落帽高。東籬黃菊無今古。晉代淸風獨慕陶。晝夕陽紅葉媚人娛。錦繡千林入畫圖。天意飜慳文著甚。故敎暝色忽成無。暮哀鴈叫霜一氣淸。漢津如練五更明。四壁寒蛩添喞喞。能令志士警沉冥。夜侵曉六花飛滿空。瓊林琪樹影叢叢。不掃終朝仍卧榻。袁生流涕感吾衷。冬○朝畏寒潛伏斷新營。爐几燒香鍊魄形。始檢胷中萌底念。明朝云是一陽迎。晝急景飛湍忽落西。依人禽鳥亦歸棲。如何歧路棲遑客。不辨陂平到老迷。暮洗濯塵襟雪月光。壁燈添繼度宵長。堪嗟蔑裂三餘業。虛嚲竆廬兩鬢霜。夜</text>
<title>宗姪億一 民秀 筮仕。喜拈一絶。</title>,<text>高卧蒼山百匝中。薦書緣底此時公。從來草逕要津遠。賴得前人啓佑功。</text>
<title>衰病吟</title>,<text>雪釣雲耕六十年。儒門常業抱陳編。千重關鎖終難覷。衰病精神漭墮烟。</text>
<title>寓懷八詠 並小序</title>,<text>蕭然庭戺之間。無有一卉。而乃以蓮蘭梧柳梅竹松菊等八物。發諸吟詠。以寓閒中之趣。得無近於道家所謂想無成有之病歟。夫物之待境而樂者。非樂之至者也。世之與余而同此樂者。當知之矣。亭亭淤泥中。鮮鮮菡萏色。所以比君子。濂翁愛其德。蓮。 猗猗在空谷。終年抱幽馥。一違玉佩餙。沉歎困荊棘。蘭。 萋萋削玉葉。挺挺斲琴材。幸爾天植全。淸夜得月來。梧。 濯濯春先得。絲絲風自颺。始知殷師種。亶合邵院爽。柳。 皎皎發孤楂。淸豔月中鞱。千載遭李杜。何須怨離騷。梅。 靑靑不改葉。玉影蘸淸淇。似贒非偶題。追學美在詩。竹。 鬱鬱冬嶺色。歲寒含晩翠。一見夫子賞。嬴封不能累。松。 燦燦黃金蘂。中含傲霜姿。淵明世已遠。寒香愛者誰。菊。</text>
<title>績燈</title>,<text>隔林隱隱數燈明。恰到山牕夜五更。一月能添三五日。早眠還媿老書生。</text>
<title>酬黃進懋 源善</title>,<text>別來時序歲將寒。靑眼瓊琚一幅看。共賞差池寒水月。同心契北山蘭。淵冰懔惕丹書在。木澗生涯素履安。莫把浮名謾說我。此身甘卧水雲寬。</text>
<title>悔吟</title>,<text>功夫易間斷。義理難推尋。晦翁尙憂此。况余駑下襟。少小浪失學。晩暮抱悔心。古人有衛武。九十猶箴儆。矢以盖棺已。殘燭中夜炳。道岸雖云峻。階級非限聖。指南在遺書。一敬表裏正。至哉操則存。箇裏收效永。嗚呼隨處畏。赫然帝明命。</text>
<title>春警</title>,<text>聞說靑皇大德臨。煦噓萬品發榮心。朝來點檢胷中事。萌蘖仁端夜氣深。</text>
<title>道院講會。次洞主韻。</title>,<text>吾邦敎學在權輿。一貫堂中答問徐。世道憂深洪水患。聖言明倂日星書。雩壇木晦霜淸後。江岸船浮水到初。兩膝虛堂羣彥拜。此心難紓不寧餘。</text>
<title>次金友 載恒 輿字韻</title>,<text>儒人求食異輪輿。隨分生涯採藿徐。怪鳥頻來山下屋。澹雲常近案頭書。淸寒緣業還無慾。整飭威儀本有初。何日摻裾輸肺腑。丁丁吟罷悵有餘。</text>
<title>山水軒設酌。謹次丁卯壽席韻。呈石坡宗兄。</title>,<text>偕老康寧七十年。兒孫齊祝海籌延。先生夙許形神旺。此世爭稱福履全。萬斛川流隨氣至。一輪恒月照家偏。試看天道栽培處。俾戩吾兄豈偶然。</text>
<title>堤上李友伯永以七十翁。爲見石坡宗兄。踰嶺惠然。誠奇矣。鼎坐打話。吟呈一律。</title>,<text>湖雲嶺樹路茫茫。卬友重來二十霜。顔髮全衰俱耋老。生涯各保舊邨庄。書籤嬾遣光陰迅。藥窠閒謀視聽康。浮世桑瀾經幾劫。一樽相對感存亡。</text>
<title>外先集活字印出後。感賦一律。呈姜錫汝 胤永 座下。並小序</title>,<text>粤我舅氏。營印兩集。齎恨而歸。錫汝以門老。命幹其事。積十年始克擧之。余以忌梗。纔得監印數張。錫汝賢勞四朔。卒以告功。忠信之力也。斯世可易得哉。巾箱虹氣上摩霄。印頒行當歷世遙。字字精神棊布局。翩翩墨漬像傳綃。竆繙疊楮靑燈耿。細數貫珠白日消。爲報泉途終始管。若人誠力等倫超。</text>
<title>賞春二絶</title>,<text>暇日登高發興新。天機物物靜觀眞。老去東風容與意。偸閒還似少年人。自喜春來景物新。林居風致小玄眞。收拾芳菲輸肺腑。一山佳處屬幽人。</text>
<title>山樓賞桃</title>,<text>一蔕糚千葉。纖穠壓萬花。也羞荒辟戲。澹寂立山家。</text>
<title>偶吟</title>,<text>流年已到古來稀。澹坐空齋白日移。野粟紛飛黃雀飽。溪潭深卧老龍飢。輕雲在峀機還靜。瘦竹臨風節更奇。莫道塵寰前聖遠。循循箴訓卷中垂。</text>
<title>河回紀賞 九首</title>,<text>萬劫衝波力障牢。天然砥柱聳河高。先公氣象今如見。寓號當年警俗滔。立巖門欄宏闊大江湄。十六風光管一楣。養得眞心由寡慾。扁題留作後人䂓。養眞堂先生故宅肯堂新。鳳穴常看羽彩珍。事業寧論彜訓外。踐行今日小心寅。忠孝堂松墩沙堰輔成基。蒼壁澄潭又獻奇。當日塤篪無限樂。淵冰旨訣定論微。賓淵精舍考槃眞趣卷懷時。遠志山光近入楣。依舊繭袍高卧處。蒼波白鳥是心期。遠志精舍邨庄烟火等城闉。高閣芳菲萬樹春。爲是同居元有本。揭虔追報協周親。花樹堂背負崇岡面巨川。明宮於侐鎖雲烟。百世遺風尊尙地。心香一炷拜三贒。花川書院徙倚名亭景物奇。危欄平入畫圖圍。江波渺渺玻瓈瀅。巖壁層層錦障垂。芬躅百年公去後。澹雲初月客來時。湖門大筆幽光闡。三復高山仰止詩。謙庵亭臨江小築賸遺芬。棲息當年道所存。斷壁雲晴魚鳥契。寒潭月照洛河源。靈襟想象凌波石。寶畫摩挲看竹門。曠世幽齋偏有感。幾番吾祖坐春溫。玉淵亭</text>
<title>吳友 重鎭 贈余一律。遂和呈。</title>,<text>肯將布博羨珩琚。時勢潛虬勿用攎。白髮風埃緣底事。丹陽山水屬幽居。吟成嶺月盈新軸。咬罷園蔬味古書。寥落滄洲相遇晩。百年吾道付欷歔。</text>
<title>存愛院饋魚。感題一絶。癸卯</title>,<text>年光迭送到稀齡。藥院餘䂓致海腥。數世吾身今始見。不禁風樹早孤情。</text>
<title>和李友允實 秉樺</title>,<text>茅廬江曲下帷深。尙友前經寓素心。水竹淸緣天實假。芝蘭幽馥世誰尋。殘瓢不改玄中趣。寶鑑要虛物外襟。遙想閒居明月夜。悄然獨抱玉溪琴。</text>
<title>至日吟</title>,<text>地底潛䨓動一陽。妙含羣品育洋洋。關門淨掃胷中滓。從此仁端護得強。</text>
<title>金君世輔以所居題詠示余。次韻却寄。</title>,<text>尼山一壑好藏修。蕭灑茅齋勝畫舟。朗月淸宵迎戶外。白雲終日在檐頭。鷦巢自足烟嵐景。鷗夢惟閒蘆荻洲。偃仰平生陶令愛。也應塵念此中休。</text>
<title>讀黃州兩程祠記。感而有作。</title>,<text>昔在大猷世。道學爲元氣。嘉言不野伏。朝廷相讓位。降及世衰微。宵王以邪指。叔子遭編管。晦翁滯禁僞。幸惟此理強。白日終不昧。卓卓鸞鳳羣。泯泯孤鼠輩。整襟誦遺烈。千載發一慨。</text>
<title>簡寄申中立 允模</title>,<text>殘年嬾廢一書床。散步時時水石庄。詩話無誰孤月白。朋情耐久萬山蒼。古人何樂忘飢飽。老我於心檢在亡。最憐湖峽同聲處。雲樹重遮歲色長。</text>
<title>黃山丞穉拱 象樞 造送筆筒。別無所儲。戲賦古軆却寄。</title>,<text>洛陽才子侈文房。玄圭瑞繭端溪石。座右靑紅錭鏤筒。亂揷免鼠健如槊。文思瀵涌得意處。四美畢具玲瓏色。自笑巖居老學究。惡楮澹掃雞毛禿。空聞玄晏金銀管。况謀拔尤中山族。晩不中書仍投地。好事誰人塚一掬。丞弟不諒文竆甚。筆筒造寄黃岡竹。天然本質任淳素。長短錯出如筍束。武夫之勇士鞘。良弓寶釰宜其匣。我無弗聿今安用。塵垢几案惟相得。物理三隅還有感。可笑空空是全朴。爲報慇懃持贈意。駉野無邪在爾愨。虛中故無邪。</text>
<title>生朝識感 二首</title>,<text>父母晩生我。頂毛覆載仁。琉璃常畏物。樗櫟不期身。每値寢床日。空爲泣蓼人。何由圖報得。頹景自紛繽。虛廓人間世。劬勞墮地辰。身餘襁褓喜。年往昊天顰。髧角飜成禿。慈縫杳付塵。立揚乖自棄。終與不才倫。</text>
<title>先集重刊日。拈集中韻以賦其事。</title>,<text>退集厓書刻已重。斯文大器一新中。淵源正脈惟吾祖。啓佑羣蒙是孰功。心法宏䂓治法在。文章瑞錦漢章通。臨篇復起高山仰。千古相傳箭中紅。</text>
<title>次而鷹從韻</title>,<text>先書曾荷袞褒光。曠世淸飈穆如長。心學再傳陶老訣。法門優入晦翁墻。只緣版久刓無數。逐致丌尊讀莫詳。幾載經營新印得。壽傳纔可牖竆鄕。</text>
<title>申戚姪龍求來示其大人甲日所作要和。遂步呈。</title>,<text>眼看蓂春宇內回。晬盤在甲辰三月。故用唐堯事。 平生一任化翁裁。吟鞭只拾奚囊物。指寓著詩料嘯傲送舊而言。 理鍤非緣阮道哀。指隨分課農。未賞曠達而言。 蒼柏枝樛巢病鶴。良材堪用。而虛老空谷故云。 墨泉流咽瀉荒臺。亡琴叩盆。閱盡悲凉故云。 衰齡矍鑠知攸好。晩來尋健。以恬養而然。故攸好云。 壽酒閒傾兩兩盃。四子無恙。享其洗淟。寧非福耶。</text>
<title>謹次外先祖笑庵公遊賞福泉寺韻 並序</title>,<text>寺在湖嶺之交俗離之山。嘉靖丙寅間。外先祖笑庵公按湖節。伯氏貞靖公按嶺節。因秋廵宣。相會于此。而有旂帶誤換之謔。篪唱塤和。詩篇尙傳。甚盛事也。後三百餘年甲辰。聞孫時永以湖西伯。書速嶺外族親。共尋先躅。因爲花樹會於福泉寺。亦盛事也。戚孫姜稷示先韻要次。余以笑庵外裔。不能無感慨之懷。忘陋步成。怡怡兩路伯。同賞俗離秋。無數尋眞屐。誰聯玉節遊。</text>
<title>洗心臺偶吟</title>,<text>小臺超忽直臨溪。花木芬芳繞兩隄。潑潑天機同物我。夕陽魚躍試高低。</text>
