<title>爲屋</title>,<text>爲屋不加茅。雨暘俱可畏。今朝覆其半。天日有顯晦。</text>
<title>挽李顧齋君直 ○四首</title>,<text>袞袞徵賢禮。囂囂樂道心。吟時多皓月。卧處足幽岑。事業詩書裏。生涯水石潯。翩翩何使節。勤苦爲相尋。厚德光輝發。衣冠儼若思。後生師表列。前席講官姿。政著爲家日。神安反席時。傷心季處士。從此輟塤篪。充養求眞地。偸閒實遠圖。恒云好消息。多在靜工夫。得味功宜大。資鄰德不孤。山花莫更發。巖逕日榛蕪。南谷源流遠。西山道氣濃。今時無此對。往日數相從。久喜蓬麻益。頻叨禮樂攻。武陵春水在。何處更扶筇。</text>
<title>挽李士直 栐○三首</title>,<text>硯北工夫大。巖根占地偏。居閒多好味。處困得眞詮。木榻穿雙膝。茅窻據萬編。州家方急士。師席屬誰邊。蔚蔚高陽里。風流有遠期。家傳詩禮學。人誦聖賢辭。喪亂驚前日。淪亡又此時。尙看諸子秀。鼎飯累成糜。邈若山河隔。悲如骨肉情。園林依宿昔。談論異平生。獨鴈聲何苦。孤琴調不成。西門歸去路。秋日雨中明。</text>
<title>挽李鞱中 寅煥○三首</title>,<text>嶺海堂堂友。平生袞袞心。一身當職務。萬事任浮沉。舊計書牀冷。遺墟草木深。相隨有令女。寶樹不成陰。一病緣何劇。高門棟礎傾。嬉言纔五日。凶問忽三更。遠憶先人契。偏傷後輩情。浮生如夢裏。牢落舊家聲。交親自宿昔。盛際及君知。氣象煕臺上。風流洛社時。那堪三世哭。又作一封詩。緣業如無盡。來生是後期。</text>
<title>挽李大遊 景翼○二首</title>,<text>乃今剛者見。特立耿無鄰。臨事惟求可。爲難不讓人。屢空堅素履。當困守吾身。誰作張琳誄。分明告後辰。文彩渾餘事。精英實寡倫。往時惟爾仗。今後更誰親。舟楫空須友。風波不見津。城中一夜話。追憶暗傷神。</text>
<title>挽安國華</title>,<text>錦水緇帷闢。良朋自遠尋。論交新若舊。稱德貌如心。謹拙言辭靜。溫和氣味深。伊今難再得。誰與理遺音。</text>
<title>挽李粹彦 琓</title>,<text>猗歟龜厓老。休休有古風。斯文大宗匠。今世一仙翁。國手高難著。公車選未充。居然乘化去。從此嶺南空。</text>
<title>挽李汝彬 彦煥</title>,<text>世德源流遠。家聲樹立宏。沉潛求實德。隱約恥浮名。托契知新味。論親續舊情。居然藏器逝。萬事獨沾纓。</text>
<title>挽鄭梅山道翁 重器</title>,<text>康成錫爾姓。宣父假其年。科第近思錄。名聲太極篇。沉淪庸玉汝。進退實關天。艾耋秋曹職。猶勝終棄捐。</text>
<title>挽再從弟振宇 命鐸○二首</title>,<text>門戶自淪喪。嗟君何遽亡。文詞今俊乂。人物古賢良。道遠行應到。樓成去忽忙。春萱看已老。寶樹幾時長。靈車發不發。離恨正依依。父母猶疑夢。妻兒尙待歸。制申哀未卒。天奪計終違。慈氏治絲線。爲君縫柩衣。</text>
<title>挽權荷塘 斗寅○二首</title>,<text>正脈從來錦水源。平時重望繫林樊。從容禮法衣冠整。探討文章事業尊。北壁風煙初返服。西園水石好開樽。梅窻昨夜香魂動。如對先生氣味溫。尙及斯文運未衰。此生堪幸亦堪悲。多承款語先人故。數拜音書小子私。阿妹欲忘冤苦意。諸郞猶待長成期。于今萬事俱無賴。只恨蒼天不我遺。</text>
<title>挽權蒼雪 斗經○三首</title>,<text>玉海根源瑞世英。一身公器更誰京。人間險路無竆盡。天下賢才不復生。當日武城終見黜。暮年文館亦虛名。囊中書疏留遺草。省識先生捧日誠。征南冠盖又咸州。天遣賢豪一宦浮。胷海賸占山水樂。詞源解助汗漫遊。星文夜動蟾湖月。紫氣晴蟠鐵嶺秋。回首靑雲諸學士。等閒談笑坐瀛洲。憶曾先子從遊日。俱是河南立雪時。哀死至今多厚眷。闡幽當日荷深知。溪齋款晤終天別。先藁遺題絶筆辭。消息九原無路得。纍然相對兩家兒。</text>
<title>挽權晴沙 斗紀</title>,<text>目擊時虞已可傷。哲人何事遽云亡。擎天白簡爭秋色。暎世淸規作夜光。東海漸看收正氣。西風又欲破殘陽。暮道悽愴公私淚。憑寄哀章灑若堂。</text>
<title>挽李松月齋 時善</title>,<text>先人之故及吾身。奉袂龍門亦已頻。聖世百年林下士。煕臺千古卷中人。居常迪道竆無怨。因不違親德有鄰。門外靑松霜雪立。孤寒留帶舊精神。</text>
<title>挽權護軍 尙精</title>,<text>朝廷優老不優賢。三品虛銜屬暮年。䨓澤無人悲至死。仁山有屋慕終天。儀文疑解編修在。靑史興亡載紀傳。隱德幽光誰撰實。謾將哀淚灑重泉。</text>
<title>挽七灘兄 世欽○三首</title>,<text>玉質金章望若仙。平時佩服具韋弦。賈生治世猶橫涕。韓子竆途獨伴禪。淨几明窻閒事業。靑山白水好因緣。應知不盡思君意。攀得龍髥直上天。曾是瀛洲第一賢。十年隨意卧林泉。一區風月閒吟裏。千古襟期靜坐邊。得失無心宜任分。竆通有數不尤天。于今末路人多瞽。誰識高風絶灑然。牢落前行日看稀。我公何事又長歸。桼園秋蚤惟殘月。沙谷亭空但夕暉。先契昔年曾莫逆。餘生今日更誰依。九原若問人間事。門戶如今太半非。</text>
<title>挽成同知 世珽</title>,<text>厚祿淸門福履成。承承偉烈莫誰京。身躋上壽膺餘慶。職拜中樞列亞卿。養德一生持雅望。推恩三世取尊榮。飄然乘化君何憾。落落晨星獨愴情。</text>
<title>挽金護軍 龍達</title>,<text>山齋昔日往參尋。省識伊翁炳燭心。滿壁圖書皆雋味。盈箱句語摠悲吟。淸遊共踐金華約。衍福爭看玉樹陰。大耋虛銜司馬榜。可能垂後闡幽潛。</text>
<title>挽權方叔 榘○二首</title>,<text>花山世德久逾淸。不出家庭敎已成。路不他歧宜到遠。功因百倍自生明。由來直道靑天在。何害妖魔白地生。聖敎丁寧恩到骨。州人相告淚縱橫。鱣堂宿昔共追陪。玉樹蒹葭兩不猜。蒼老折行推逸步。嚴師樂育許英材。古人與稽襟靈遠。今世無庸器諝恢。憶得去年分手地。暮衰離別足嗟欸。</text>
<title>挽權淸臺台仲 相一</title>,<text>目擊時憂已可噫。如何今又哭公私。徒聞洛水龍閒卧。不見虞庭鳳再儀。粹德沖襟身作度。淸冰白玉口爲碑。于今蕫筆誰能繼。會待張琳撰實辭。</text>
<title>挽全陽君 李益馝</title>,<text>謗毁無傷馬伏波。歸來不負舊山河。西湖煙月蹇驢穩。北海杯樽好客多。勳府藏名官不滿。干城棄世國將何。精英不與身俱盡。化作風䨓吼夜過。</text>
<title>挽柳允卿</title>,<text>右侍郞爲郡宰還。功名付與醉醒間。何妨宦味淸如水。卻喜官居近在山。父老爭迎方待哺。親朋相企欲開顔。嗟吾不及玉棺擧。悵望雲天涕淚潸。</text>
<title>挽伊湖兄 世鏞</title>,<text>親踰袒免亦天倫。憂樂相須七十春。師道交傳三世學。朋情共許一心人。閑邪正論扶倫紀。追本誠心質鬼神。倘使九原如宿昔。羡君先去拜吾親。</text>
<title>挽李邦瑞 秀墀○幷序</title>,<text>今年春。妹壻權孝祥。客死于慶山之試所。命錫以喪北歸。君出迎于野次。哭之甚痛曰。天旣賦之以奇才美器而卒早歿。何也。嗚呼。孰謂君擧進士未幾。凶聞遽至。乃使吾哭君。復如君之哀孝祥哉。古所謂哀情吉語。惝怳難狀者。眞切至語也。念昔君與我幷立雪于錦水之陽。君每以古人自期。大爲先生之所稱許。余退以語君曰。古之人如曾點漆雕開見許聖門。而程夫子譏其行不掩其言。夫聖門言顧行行顧言之訓。吾與邦瑞盍相與勉之哉。於乎。山樑一頹。治任各歸。吾乃知前言之不自量。而竊觀吾邦瑞容貌辭氣。令人不問知爲先生弟子。孝祥亦同門之翹楚。天之何故不出一年。而遽奪吾二益耶。悲夫悲夫。始君委禽于永嘉權上舍之門。及上舍公歿而無後。則君力求本宗之當爲後者。立而爲嗣。又捐財以業之。吾聞爲善者必有報。今君亦無子而死。而只有一女。異日如得賢壻之如君者。君之後事。必不至落莫。而其報施之效。可持契以竢。乃以近體一首。略敍顚末如此。郊頭春日共君傷。不謂浮生若此忙。別後音容魂杳杳。人間哀樂理茫茫。同門久服心期遠。對座偏憐氣味狂。當日繼存高世義。可憐今復待賢郞。</text>
<title>挽權一甫 三首</title>,<text>奇才曠度冠儕夷。氣象元非賤俗姿。尙友喜看高士傳。端居虛負聖人時。重登桂籍名爲赭。暫試牛刀口作碑。莫謂瀛洲身未到。文章已被四聰知。山水亭中老此翁。材能何富命何竆。德無演福心無貳。仁不遐年壽不中。江實見嘗還棄擲。野航橫渡任虛空。卻令傲骨埋塵土。遺恨人間業未終。館名䕺桂槐堂似。三桂䕺中又見君。自古善人多食報。秖今諸子各能文。那堪鴈序驚秋斷。無復牙絃對月聞。依舊碧溪山下宅。小庭書帶自紛紛。</text>
<title>挽李汝剛 復煥</title>,<text>幾度傷心錦水湄。憶曾函丈共相隨。過庭詩禮無私敎。盈戶蓀蘭許晩知。萬事已成炊黍夢。孤根非復倚麻時。江山不改靈光在。應有歸魂泣路歧。</text>
<title>挽河處士 德望○二首</title>,<text>晉陽固是生賢地。多在山林少在朝。至行謂當移袞職。高蹤胡不入旌招。三間屋裏琴書靜。半畝塘邊竹樹饒。自此寒山無片石。南雲回首意遙遙。相逢宿昔便相輸。辭氣之間見所趨。派接宗川元世德。居鄰方丈卽仙區。園中不養鳴皋鶴。門上常棲反哺烏。後嗣足徵天解事。諸郞箇箇是明珠。</text>
<title>挽玉舜伯 振韶</title>,<text>囂囂堂裏囂囂子。恁地囂囂樂且醇。人謂多聞好上舍。自稱無事一閒民。沙潭網集堪供味。農圃功成不怕貧。何獨行年五十四。死喪憂慽苦相因。</text>
<title>挽申士範 重謨</title>,<text>文彩彬然玉雪姿。逢塲意氣爲能詩。由來鬼物猜才藝。豈是壺觴損玉芝。世味漸看遲暮後。人情空憶少年時。萱闈歲晏麟兒弱。不忍分明唱楚辭。</text>
<title>挽再從弟敬吾 堯欽○二首</title>,<text>生同華甲志同倫。竹馬交懽如昨晨。對座不談寒計活。恒言相許直心親。論文幾賞樓頭月。把酒同吟野外春。忍說陶淵修稧事。今廵已少去廵人。䪥歌凄斷不成辭。日落山高野色迷。琴瑟聲殘春寂寂。池塘夢罷草萋萋。豐城怨氣猶橫斗。蘭谷餘香尙在畦。厚夜冥冥歸不得。寃魂應伴子規啼。</text>
<title>挽權昌言</title>,<text>沖襟雅韻暎詞林。世德相承濟物心。慶福鼎來天可必。哀榮遞急命難諶。朋儕各說親交重。鄕黨同悲運厄深。若使九原如宿昔。更從先契數相尋。前書一約願無違。徠及先亭鶴未歸。鶴正歸時君亦逝。不知何處與同悲。</text>
<title>挽李龍浦 濰</title>,<text>陽月蒼茫天欲雪。善人何事又長萎。沖襟雅度傾朝望。玉貌瓊章暎世姿。野渡春湖猶帶雨。江梅遠味謾傷時。閉門終日無竆痛。半是公心半是私。</text>
<title>挽李國卿 廷藎</title>,<text>太學儒生遊太學。歸來抱疾白紛如。一生忠悃宜徵行。到死誠心只在書。經術已成身困厄。技能雖富室空虛。卽知爲善終多福。留待諸郞食有餘。</text>
<title>挽柳晦而</title>,<text>䪥露悽悽素紼驅。故人云向九泉途。溫醇性質眞良士。磊落風儀古丈夫。世路功名成濩落。江湖契活任疎迂。盧仝屋破心猶泰。顔巷瓢空樂不渝。幾處逢場開笑晤。嚮時岐寺做歡娛。迎春句裏揩靑眼。慶老筵中對白鬚。別袂纔經三數日。交期那意死生殊。追思矍鑠詩翁語。已兆飛昇上帝都。款款情親誰似爾。涼涼蹤迹最悲吾。依然荷杖臨門外。宛似騎牛過壟隅。膠桼盟寒空永歎。峩洋曲變但長吁。川林古渡波幽咽。雲谷遺墟草欲蕪。蒿里且休靈馭促。雨溪其奈隻鴒呼。今歸倘見阿咸否。新淚仍添舊涕濡。</text>
<title>挽李爾章 之𤌍</title>,<text>安陵柯葉最蕃昌。袞袞家學源流長。染身蒸性自成香。毓慶趾美垂無疆。二老迭興益恢張。禮義文物斐然章。庭前寶樹蔚成行。就中白眉稱最良。天姿旣秀又聯芳。玉昆金季偕蹌蹌。聞詩學禮誦虞唐。孔家之孫荀家郞。儒風傳襲已知方。長途附驥宜高驤。人間一夢變桑滄。汝家阸運非私殃。雲深閶闔日無光。欲往訴之川無梁。由來茶飯自有常。乃祖家計合商量。魔兒作祟久卧漳。百念回薄勞中腸。終天孝思死不忘。薄葬遺命令人傷。賢子擧緬兩得當。百年雙釰同一岡。觀居此世痛云亡。七十年間長倀倀。仁山摧折錦里荒。何處重尋蘭蕙場。芳塵徽躅日微茫。楮谷溪山空鬱蒼。迢迢塵跡隔仙鄕。望之不見我涕滂。爲君三歎起彷徨。海天寥廓月蒼涼。</text>
<title>挽詞[柳觀鉉]</title>,<text>內外名門節士家。淸高一脈孕精多。曹牆眇睨千羣埽。韓鬼捓揄萬事蹉。四壁生涯惟靜几。九旬天爵亦恩波。忽驚南極弧光閟。耆德云亡慟柰何。</text>
<title>挽詞[權緻]</title>,<text>七十翁悲九十翁。百年回首淚雙瞳。生涯白水靑山裏。心事長吟短嘯中。錦里淒涼雲谷暗。伊湖寂寞霽山空。新悲舊恨辭難盡。滾滾江流日夜東。</text>
<title>挽詞[李後靖]</title>,<text>前輩風流篤。吾猶及後塵。典刑名父子。氣度法門人。經訓貧堪樂。詩篇老更新。凋零先執盡。雙涕解沾巾。</text>
<title>挽詞[李象靖]</title>,<text>潭月淸光去不還。靑山雲雨幸躋攀。少時腳力遊南嶽。晩歲襟期共霽山。眼閱滄桑年老大。身經寒苦氣淸閒。先人故友今誰在。獨立西風涕自潸。先適庵公有從此白雲潭上月。淸光全屬釣漁家之句。一時傳誦。公嘗過龜潭。有靑山雲雨之句。</text>
<title>挽詞[南相天]</title>,<text>玉立亭亭處士孫。長年跌宕卧田園。文章劒古曾磨刃。道學淵深幾泝源。浮世險巇愁蜀道。一丘蕭索任原貧。南州先輩皆零落。仙馭翩然叩帝閽。</text>
