<title>敬次愚山丈席韻 戊申</title>,<text>自憐就道晩。始覺讀書閒。眞工何處見。前面最高山。</text>
<title>敬次蒼石先生韻</title>,<text>矗矗舍人臺。西迤勢稍嶮。斗起爲淵嶽。光恠發靑琰。驪龍虹霓氣。白日生華簟。宣仁晠出治。巨川羣檝剡。先生掌演綸。華翰鳳毛染。文繡火龍黻。筆抽紫角芡。同時鮮能先。詞掖幟屢颭。伯氏同征邁。講劘義無嫌。亦有荷渠翁。道義交相撿。鼎鼎靈芝老。楡景逝冄冄。爰有林泉會。仁智樂不厭。地主傾冠盖。謙光過自貶。德星聚百里。霛犀炯一點。咳唾發天眞。珠璣散不斂。顧余實冥行。前徽常愳忝。勖爾玄珠索。誦我白圭玷。道非一蹴至。其進必有漸。專心指曠原。餘日卜山广。灑落貴明誠。誠則不可掩。君看舍人臺。玄訣有玳檢。</text>
<title>敬次鄭愚伏先生韻</title>,<text>仁祖龍飛初。陰沴悉屛匿。大化䨓雨盈。含生各職職。先生起南服。範世持繩墨。文衡掌誥命。藜火通仙屐。宿望彝敦重。正論金矢直。滄洲歲已晏。杖屨時遊陟。吾祖道義交。相隨便在卽。窈窕淵嶽洞。紅綠溢春色。廵節曾經過。地主殫悃愊。九老添會一。分韻樂無極。江湖廊廟憂。君子盡家食。勖哉三省晉。猗歟十朋益。句句天葩活。深意言外得。嗟余生苦晩。緬仰重惻惻。好仁吾未見。曷有用其力。進進宜無畫。慥慥戒不息。先師儼在座。曰汝崇明德。</text>
<title>淵院會。有諸公聯句。余後至不參。追步全韻。</title>,<text>維仲呂初吉。騑驂出遠坰。葳蕤樹翳眺。聱軋禽喧聽。熿朗瞻淵閣。參差坐月櫺。石灘磨出白。山靄掃生靑。的的抽仙掌。濺濺瀉玉甁。笙簧動古壁。咳唾發前馨。兩祖明誠學。十朋灑落形。哢吟瑤瑟緩。談讌玉霏零。混灝張匀樂。躡探駕迅霆。三春今洛社。九曲古雲屛。小會仍眞率。前遊想典型。印沙筇幻篆。茵草弁疑星。盥手閱編帙。磬躳禮蕪庭。觴芬消鄙吝。頂砭祛葷腥。淹速爭銅鉢。博該辨斗萍。文章非已分。謨訓有丁寧。覺得應知放。虛中又至靈。源源由勺水。浩浩薄滄溟。羹慕拊前躅。髩華惜暮齡。願言諸老德。日鑑盤盂銘。</text>
<title>道南院講會。和崔士逵 昇羽 韻。</title>,<text>江閣晴陰碧映隈。東南冠佩逐船來。花迎杖屨淸香襲。月滿琴書灝氣開。數郡風聲勤遠涉。八賢芬馥好加培。年年此會同諸老。文運吾商喜再恢。</text>
<title>與江皋柳象遠 尋春 及芝園令會穉仁家。拈蔡希庵韻。</title>,<text>泛泛桃花水。盈盈桑落盃。客驢㘅草喚。林鷰蹴花來。行樂隨時在。幽情着處開。莫愁西日暮。新月又看回。</text>
<title>又拈五古</title>,<text>有松高百尺。有竹長十尋。松貞竹亦固。托地孤根深。君子崇明德。獨保歲寒心。出門無所適。歸歟有山林。澗水鳴噌吰。谷鳥載好音。眷言此婆娑。聊以滌塵襟。耆碩日共車。天趣發弄吟。信宿却忘歸。松竹有淸陰。</text>
<title>淵院。次金慕齋韻。</title>,<text>英簜何年到嶽頭。慕翁凮度仰休休。孝里至今遺墨宛。高名天壤也同留。行盡溪東水益淸。暖風晴日袷衣輕。百年道義瓊篇煥。四座文章玉屑明。隔岸村燈花外影。半山菴磬雨中聲。芝歌一曲歸思晩。却喜姸岑馬首生。</text>
<title>北長菴。會校立齋先生集。拈集中韻。</title>,<text>矗立雙峯對起門。東南耆德玉如溫。月中龍象開禪閣。雲裏雞聲認峽村。四座風流今洛社。一川光景小桃源。相看髩髮離懷重。留與巖阿故事存。溟涵地負强窺門。瑞日光風宛接溫。世有子雲方會意。誰敎濂老宛聽論。千條綠柳元同蔕。百道淸泉本一源。高濶不離毫縷裏。許君親見卷中存。</text>
<title>玉洞院講罷後。因留琢章齋。共賦聯句。庚寅</title>,<text>吾遊不負艶陽時。江外輕車又惠綏。芝園。 强策蹇驢尋遠壑。願隨諸友奉良規。兢庵。 百年故事今能續。千聖微言誰更窺。江皋。 躋陟似山宜分寸。合離如月易盈虧。白下。 浸薰德義同三達。曠朗襟懷豁四逵。修溪。 槐杏遺風摛鳳藻。兔匏餘意供鳧葵。徵可。 殷周膠序東南盡。鄒魯歌絃長少隨。履鉉。 天地三光笙什奏。江山九曲蕙纕垂。文吉。 庭花媚客熏爲酒。峯黛迎人晩捲帷。芝。 三丈周旋多士會。一邱薖軸碩人遺。兢。 苾芬盛禮欽無盡。筇屨當時恨莫追。江。 紅蓼寒盟鷗夢渚。碧梧春色鳳鳴岐。白下。 詩書講說湖州制。圖畫風流洛社耆。修。 玉燭乾坤瞻北極。春臺日月頌南离。徵。 高筵嶽峙霞盈袂。一枕泉通雨洽犂。履。 上洛文明儀紫鳳。前林物色韻黃鸝。文。日曛止此。○調元陪叔父。故署名。</text>
<title>酉齋千歲錄韻</title>,<text>春日騑驂峽路連。吾鄕君子盡耆年。白雲華貫隨淸德。丹桂新香護宿賢。華嶽烟霞來二老。薇垣風味伴羣仙。自慚樗散齒居一。强把花籌數叶千。</text>
<title>題盧氏花樹堂</title>,<text>三峯山下大江前。花樹樓臺翼瓦連。天坼東南生遠黛。氣通滄海簇羣船。雲深古壑菟裘在。月會遺風燕翼傳。怊悵舊遊空寂寞。喜從賢少共周旋。</text>
<title>寓書舍數月。凉生而歸。留與㙽，兩兒。</title>,<text>偶從兒少滯山廬。閱盡蒸炎納爽噓。入夜蠅蚊稍斂翼。遠天牛女正中虛。一區松竹環成蔭。三世箕裘共業書。籬落秋生氛祲凈。遅遅筇屐返初居。</text>
<title>秋雨擬古。寄伯兒 二首。</title>,<text>漠漠秋雨裏。書齋寄翠微。白雲宿暮簷。晴瀑掛柴扉。玆區亦淸絶。何用山菴巍。採採璞裏玉。𤨿然發新輝。顧爾勤所業。永使一家肥。秋雨注無端。終朝復及昏。若在農時節。一勺價當璠。其雨曾出杲。求晴却噴繁。盈盈萬斛川。走海空瀾翻。人事或有愆。玄天默無言。</text>
<title>和呈洪丈 羲復 就養藍衙 二首</title>,<text>紅騶喝道管絃嘈。平地神屳鶴上豪。角帶烏紗賢太守。淸晨問寢進溫醪。連天海氣凈無涯。南極祥輝一度移。腰紫頂金歌皷返。明春花爛故山眉。</text>
<title>霜葉</title>,<text>高秋八月下微霜。萬木凋傷太半黃。雲錦剪裁天巧奪。丹靑點綴日華煌。紅顔好把題佳句。白髮偏搔嘆逝光。別有征鴻嘹唳過。江山聲色極凄凉。</text>
<title>江院。會校立齋，損齋遺集。拈立齋韻共賦。</title>,<text>樓下春江碧似空。和風是月氣先東。八賢徽躅重楹裏。二老遺書一貫中。蠡腹愧無虛室白。蠅頭詎敢點鉛紅。珍重寄書諸學子。容易流光老作翁。洋洋道理薄蒼空。平說常行若水東。安得子雲當世後。好看正叔幾篇中。心懸寒月千秋白。眼着孤燈一點紅。爲勉舊時同燕侍。崇明端不負斯翁。</text>
<title>賀洪丈壽筵</title>,<text>南極老人應大年。西河吏隱是童仙。藍田日暖禎祥動。絳縣天來福祿全。龍虎丹爐延吉氣。麒麟錦帶壓華筵。稱觴又在懸弧夕。忠孝雲孫世世傳。</text>
<title>和姜穉仁金剛山歇惺樓韻</title>,<text>一樓都管萬千峯。未到亭前却盪胷。擺列奔巒嚴羽衛。會同羣瀑壯舂容。千層圭璧渾如削。幾朶芙蓉淡又濃。之子能觀天下勝。玆遊百尺仰元龍。</text>
<title>謹次野老堂韻 盧潤叔先堂</title>,<text>落落華山北。迢迢野老堂。塤篪文簡宅。桑榟中樞鄕。有美賢孫繼。爰居舊址傍。玆焉更肎搆。勖爾賁前光。</text>
<title>野老堂十景</title>,<text>泓然一缶地。知是舊池塘。疏瀹眞源活。周圍亂流防。添欄供魚釣。移柳可鵶藏。却顧明明鑑。重磨詎敢忘。右檻下方塘伊昔權將軍。力能安此石。盤陀容衆賓。磅礴鎭遺宅。射虎苔無痕。鞭羊鬼沒跡。隱然當捍流。於人獨不亦。右池邊盤石舊聞寇公柏。今見石泉槐。劫火空心久。孫枝抱孕開。稚陽兆碩果。翠焰出寒灰。生意誰能遏。孤根且厚培。右古根稚槐伯仲松杉間。淸標獨也檜。胡然入島中。偶爾出山外。榦直應排雲。蔭凉好偃盖。終看凌雪霜。須汝永播馤。右小島植檜只信堅爲節。那期翠作屛。虬鱗看屈鐵。瓊液伏深馨。抱直寧違素。經寒不改靑。二儀純正氣。於物亦播形。右遮窓翠屛藥曾知材。芝鄕罕有榧。吟詩想遺芬。搜譜邁凡卉。可愛凌霜孤。遙憐結子幾。靑靑指歲寒。吾黨共成斐。右映潭碧榧谷狠山如狂。驚瀾觸大石。禹門撐柱砥。蛟尾榜湫宅。蹲虎如藏威。曳牛豈動迹。吾觀不變焉。天地汝應亦。右溪心蹲石鳳山多好石。佳號獨斯巖。縹氣含姸黛。苔顔漾小潭。摩挲疑蘊璞。考擊若張咸。最愛淸秋月。天雲影共涵。右水口道巖丹霞擁朝暾。璀璨列羣玉。彩畫排全綃。仙碁擺半局。河臺存舊名。鳳塾想前躅。莫謂向陽遲。春花易受旭。右玉臺朝旭向晩旋垂暉。天公運化妙。尋幽林更明。搜暗鳥還叫。溪女嫌先炊。漁翁倦罷釣。古稱無限光。君看廣巖照。右廣巖返照</text>
<title>鄭仲素來訪竹麓書舍。滯雨共賦。四首○壬辰</title>,<text>翩翩霄鶴下秋田。松桂山深日似年。千聖眼藏金篦刮。兩家情話玉霏連。壯心鄷劒全消氣。餘景藍珠晩起烟。爲記賢朋來信宿。林廬荻筆强如椽。峽流號怒泛禾田。捿畞餘秋倘有年。賢友適來塵慮散。淸談樂與雨聲連。解經最喜如醒寐。論事還羞若墮烟。春及分耕山一半。願追先意接茅椽。中歲無端浪費營。暮年休歇覺心明。却嫌遊騎常過境。兼怕孤軍未拔城。登頂更看天在上。溯源因悟水方生。無竆義理都如許。不有同人詎助成。潦暑沉沉擁小廬。淸風知自故人噓。川聲帶雨空中瀉。山勢連雲太半虛。止宿不勞投井轄。晤言深喜共觀書。却恐西飈吹斷靄。還敎北客返幽居。</text>
<title>雨水中。伯兒以屛山院請額疏儒發西行。爲詩戒之。</title>,<text>此行非觀國。吾黨爲褒師。江漢常多雨。川梁未着騎。瞿濤方渡意。闉豔絶浮思。隨處存誠敬。毋忘老父期。</text>
<title>赴近嵒院。迤訪金魯瞻 顯奎。</title>,<text>天畔孤亭石作扉。山腰斜逕細如絲。林泉晩興餘秋色。京國前遊在盛時。列郡靑眉都入眼。小塘淸面已占詩。回看翔鳳垂垂下。不覺羸驂故故遅。時主人在鳳棲。</text>
<title>和贈權惠吉</title>,<text>九月天氣晶。輕雲蔽秋陽。我來潁水上。柏廟金冠裳。七賢儼遺躅。巖臺尙留香。懷哉仙庵老。素履極端方。爲我躡崎嶇。觀禮共駿蹌。講討閱羣書。布帛玩數箱。活齋淸㙜兩集。 灝氣涵溟海。直論凌雪霜。蹮蹮媚學子。相期斐成章。謏見愧無實。孤軍未遽張。願隨林居人。婆娑咏羲黃。贈別隱侯詩。回首北山蒼。</text>
<title>和贈族君聖應 𡋺○二首○癸巳</title>,<text>靑驍村在紫芝鄕。白石淸川十里長。奎壁曾瞻松鶴洞。金絲尙聽棘荊場。前遊誰記追元白。餘景君應伴綺黃。鷹馬風謠留舊戒。隔林歸鳥喚西岡。吾宗自古重商鄕。名德英聲七葉長。連柳風傳冠盖里。雙梧月滿誦絃場。猶賢曲藝能堅白。那得阿膠遽止黃。磅礴西山含厚氣。行看泰運眹高岡。</text>
<title>修善書堂</title>,<text>路轉峯回水益淸。萬川精舍枕山城。龍門舊韻追先訣。鹿洞遺規付後生。絃誦擧歎風肆好。烟霞最媚雨新晴。狂飈虐雪居然過。竆濫投機自累名。</text>
<title>酉川</title>,<text>州南勝地號西頭。水面淸漪黛色幽。龍峀雨過呈百媚。甲長霧罷掃千愁。鎭山旗石尖如植。案界文星穩若浮。豈料百年鞏固地。眞成一朝不維舟。</text>
<title>遠浦</title>,<text>中歲搆成半畞堂。院濱淸瀨卽滄浪。只應力穡爲農社。那望蜚英近御香。地氣欲舒霛忽熄。人材暫出福還凉。永蛇壕狗村烟廓。衰暮搬移恐涉狂。</text>
<title>學室</title>,<text>携杖西南往復回。茅齋一面翼然開。經營棟宇頗殫慮。藏弆琴書以待來。芳草已陳埋縞屐。寶珠何遽繼泉㙜。老夫寄寓人間世。秋雨寒蛩不盡哀。</text>
<title>述懷 甲午</title>,<text>君子貴聞道。學則成眞儒。禔躳希孔顔。陶俗俔唐虞。粤余生苦晩。慨然有遠圖。兩祖勤造家。遺編載訓謨。屈首就程文。聲病徒皮稃。早歲失所恃。當暑身無襦。冬夏桑門飯。蔬糲不厭麁。讀史譬啜糟。攻經如含糊。乃從有道遊。始悟爲己腴。觀書䙡析理。聽言能反隅。似有心相契。苦被事牽拘。勉趣時王制。猶乏濟時需。往往藝苑會。得雋徒睢盱。蚤登二百列。得嘗虀塩俱。先后晠出治。作興菁莪徒。紫禁烟花菀。璿題五雲敷。坼號非夢卜。鳴國戾瑟竽。十九渡漢水。舟人謂余愚。劍花厭看牛。流光劇馳駒。弊貂歸山南。居然二毛踰。風木悲梁山。龍髥泣鼎湖。素心成濩落。萬事一嗚呼。歲運薄靑狗。河星落黃姑。四男次第弁。分飡却忘劬。叔兮耽文術。季也如冰壺。灃蘭薄嚴霜。騏蹄蹶長途。最是冤冤者。玉郞復何辜。尤人都沒緊。責己惟在吾。平生欲寡過。爲善務積𨈬。傷害不及物。罵詈靡加奴。力學紹月蒼。進道師程朱。如何無善狀。觸處罹崎嶇。逆理叵耐遭。橫厄屢見誣。動輒狼疐尾。幽憂兔守株。淸朝起整衣。正直神宜扶。戒懼履淵冰。服習竆盤盂。知行交致力。輪翼互相須。明誠心無累。敬義德不孤。主翁常惺惺。我病日益穌。曾思恒夢寐。關閩對朝晡。皇天玉汝成。造化如錘爐。天德與王道。愼獨爲元符。懷哉二三子。勿謂我言迂。讀書不竆理。譬之櫝還珠。操戈入堂室。容與濶步趨。天君日泰然。良貴世所無。俯仰諒無怍。盎然塞八區。書齋窈而靜。松竹小裘菟。園有蔣詡竹。庭植邵翁梧。遙山入眺望。小泉斟酌㪺。茅棟當翬閣。菜羹敵酡酥。連歲適大侵。生霛鵠面枯。弱冠逢屢乏。傳家沒規模。貧病集竆廬。付托殊扶婁。典土掃汙篝。滲屋敗欂櫨。晩暮如浮梗。憂戚動成痡。顴隆如瓜削。皮皺類雞癯。小孫來受學。喧聒亦足娛。課書若漑蘭。援筆等畫蘆。薄藝誤乃祖。半生枉操觚。學未竆天人。治失做兪都。每戒三緘金。虛殫十駕駑。衰境多風濤。中流失一壺。聖訓歸弁髦。程文已畫芻。原天有稟賦。本地奈荒蕪。言行羞梔蠟。文章厭雕圬。悄然發孤省。撫躳每一吁。孔聖恥互鄕。駕言欲乘桴。而我何所求。喟然遐思紆。將爲櫪上馬。寧作水中鳧。東魯稱禮義。聖化隨處濡。身困道愈亨。無入不自愉。文孫克岐嶷。泰運回康衢。淳治煥姚姒。聖學沛泗洙。士遭大有世。蓬蓽勝紅氍。永作箕𤃡老。太平寓歌歈。</text>
<title>幽居次杜韻</title>,<text>縹渺龍山上際天。思君不見日如年。鶯穿細雨應愁濕。鷺下平沙却穩眠。詩律風傳幽竹外。人家烟出白雲邊。林居近感明時棄。桐柏高人適趙燕。</text>
<title>論詩</title>,<text>謝眺驚人問幾句。文從辭達便應休。一天文軌非由力。四海風詩謾費愁。山确何須勞鑿斧。江河快覩縱輕舟。少陵近慕陶翁手。看取天然是壯遊。</text>
<title>愁</title>,<text>萋萋芳草伴愁生。惟喜東風不世情。宿霧留連山盡暗。晩霞歷落水含明。林多乳虎誰探穴。野有驕狐未灌城。安得龍泉如雪鍔。廓麾氣祲半天橫。</text>
<title>卽事</title>,<text>山角盤廻抱小亭。朝暉夕靄煥還冥。一川鷗鷺連沙白。數郡雲岑入箔靑。才乏阮郞寧道哭。賢非楚客愧孤醒。滔滔逝水同今古。眞贗誰能辨渭涇。</text>
<title>暮歸</title>,<text>茅齋浮寄小山棲。淸曉惟聞宿羽啼。細葛緣厓風嫋嫋。叢篁夾逕雨凄凄。百年活計嗤書劒。四海明時息皷鼙。從古罕逢如意事。蒼江日暮好扶藜。</text>
<title>懷古 七首</title>,<text>天地斯文曠世悲。西林高弟識尊師。春風座上單傳日。霽月門前獨侍時。從古山梁多抱慟。至今林浦永含思。餘生踽踽如冥擿。道義於何更質疑。先王聖孝貫穹宙。八達山前有寢宮。萬柳尙垂輦路夾。七旒如覩彩雲中。通神至德孚朝耉。沒世餘哀在野翁。聞道文孫能岐就。規模恢廓也應同。文忠古廟禮官尋。黃帕天香御氣森。宣祖元臣回泰運。陶翁嫡統繼希音。彌綸䨓水推經術。歌咏滄洲戀闕心。江院豆籩官又享。高山景仰肅余襟。時有西厓先生家廟致侑之命。忠武英名動海山。王家智將勝重關。鳥銜赤砲從天下。龜噴玄雲蹴浪間。南斗颭旗聲勢壯。中權制筭意思閒。專征未捷身先死。流汗㫌忠片石顔。林公亦是國干城。手仗紅羅一片㫌。只擁龍灣如虎士。那知鳳駕被鵶兵。江鳴折戟長留恨。門壓彈琴獨保淸。巨廈終非支一木。月灘頻過意難平。甘泉宮照海途烽。主屹門開天險重。土偶漂流迷水陣。雕題歌舞入圻封。都緣一策違中閫。遂致三南隔上供。萬曆皇恩同雨露。八年荊棘始耕農。憶昔芹橋望玉駕。千蹄羽騎簇旄旗。宮花萬朵紅蒸錦。御柳千條碧嚲絲。聖廟逗遛存敬地。寢園行幸展情時。至今沒世含私慟。不覺秋天向曙遅。</text>
<title>隱逸</title>,<text>天書遠降動微星。宣父家規鼎有銘。素性難馴麋鹿野。淸賢應滿夔龍庭。靑雲北闕風期晩。白石南山歲月經。𤱶畝涓埃安得報。英材子弟講門屛。</text>
<title>南隣</title>,<text>今人五十着淵巾。不喜居貧喜道貧。未信籠鸚能語巧。從敎江鳥近人馴。力田未必歸凡品。舍學無由做好人。獨立林端憂世敎。好看山月入簾新。</text>
<title>曲江</title>,<text>慕華館西繚粉墻。紅輪翠盖逐年芳。連雲鳥途騎蹄窄。夾岸虬巖箭路長。星使畏攀三峽險。祠官敬奉兩陵香。自慚短髮簪難勝。淸夢長懸玉墀傍。</text>
<title>秋興 八首</title>,<text>玉宇微凉暗動林。金天肅氣向蕭森。朝昏斗尾初流火。西北羣龍始戰陰。陽鳥尙知隨暖候。祥烏每有借枝心。衰年却恐寒衣晩。落木秋窓聽暮砧。靑歲經綸逝景斜。蟬簪叵耐髩生華。泉林謾道珠藏璞。河漢無由月泛槎。丁閣仙香違病枕。午天雲鵠戛淸笳。觚稜北望歌華祝。楓菊應成紫禁花。遙林薄暑曖西暉。小閣東頭一徑微。飮井明虹垂轉影。含山過雨落餘飛。少年賈傅昌時晼。八耋申公素志違。堪羞杜老嗟庳意。男兒不是願輕肥。山河表裏若排碁。風氣升沉遞喜悲。地軸竟廻西狩日。天河難洗下城時。檀箕禮俗中華小。申呂英才嶽降遅。晩圃秋容殊淡泊。獨憐幽菊契吾思。滔滔江漢繞南山。天險王家設兩間。神祖鴻功壇四陛。壽亭雄魄劍重關。雲橫北嶽三軍氣。船泊西溟八路顔。老馬不堪輸皷駕。珮聲誰會鳳池班。隋城一路漢東頭。八達山光晃素秋。原廟衣冠瞻月出。行宮楊柳羃烟愁。連空萬堞雄排雉。隔水千檣狎睡鷗。回首神京龍虎菀。五雲多處是王州。春塘制置極天功。雲物三光焜燿中。墨海靑衿龍躍澨。箭星靺𩋾虎摶風。五營仙仗雲屯黑。千樹宮花錦漲紅。西望斗邊搔短髮。不妨麋鹿伴山翁。駱山蒼翠勢逶迤。文廟端嚴水半陂。紅杏壇秋生瑟韻。碧松亭古半疎枝。魯儒曳履才無當。漢道更絃俗可移。禮樂百年融聖化。雲星紫極佇垂垂。</text>
<title>簡寄芝園 拈杜韻</title>,<text>林端朝暮望龍山。屳鶴風標在此間。白鴈俄過傳素札。靑牛尋已返函關。陽和或散竆途恨。玉色常腴老德顔。球璧不應留草莽。詢黃會及舊簪班。時芝翁有大司諫除命。</text>
<title>和贈文泉翁金伯雍 二首</title>,<text>十五今秋夜。圓光恰滿輪。兩情殊脉脉。相思在無言。淺淺文泉瀨。深深斷車輪。三年一訪約。猶記巨卿言。</text>
<title>立齋先生輓 丙子</title>,<text>皇天開太極。賢聖應人靈。南國生陶老。東方有考亭。中黃顒衆嶺。太白排羣屛。八代人文晦。三才辨說冥。適翁維岳降。家學本天成。道義竆灝噩。禮樂溯英莖。霹靂羣疑劈。雲星粹氣明。縷毫分細妙。衡鑑極空平。理透貫微顯。物來無粗精。文章瑞錦𣌑。詞律石鐘鏗。道貴皇王正。儒羞管晏輕。淸晨謁柏廟。衰老慕萱庭。麈拂懸函席。衿紳菀滿黌。劇談皆道理。提牖發衷誠。金璧韞淵谷。精英薄日星。先王凝黈纊。乃祖秉銓衡。再世風雲感。嗣孫雨露幷。彤騶俄寵秩。墨綬仍專城。北極觚稜遠。南山素履貞。鼎茵誰爲孝。弓劍涕空零。歲暮篔簹鋪。春深松桂扃。朱程常夢寐。思孟若墻羹。矻矻竆年志。孶孶計日程。天融冰又釋。理順神還惺。所以儒宗大。難辭道統宏。念玆愚鹵質。深荷眷期情。雪月山樓靜。花風古寺晴。微言隨煎燭。妙理寓傾觥。辜負行冥擿。追思面發頳。瑤琴空絶響。淸洛遽收英。古澤神龍逝。來雲瑞鵠停。千秋黃嶺宅。松柏護風霆。</text>
<title>東隱鄭丈輓 乙卯</title>,<text>鄭公瑚璉器。愚山蜿蟺淸。嶷爾大賢後。巋然老成名。昔我文莊翁。際遇宣仁明。規矩鄕典型。星斗國重輕。吾祖與講道。同時更弟兄。栗里黃花早。酉陽白雪晴。孔李講世好。秦晉近請成。江山使者望。簡書緝琚瓊。巷春 再從 天不憗。陽夏 從嫂 世且更。古宅空文藻。虛館强逢迎。往在著雍春。山樓猥執經。雞黍促令辦。雪榻許暫傾。淸晨整冠櫛。北堂戒衿纓。兀然肩背直。藤床古經橫。夜字照爇薪。書幌墨迹縈。朗誦關閩語。餘事班揚聲。山溪映紅綠。詩思貴淡平。去爾天花飾。消君鄙吝萌。還笑蔡氏家。四壁書公卿。魯門鶢鶋至。鐘鼓謾鏘鏗。芻豢終未勝。塗抹竟何營。俯仰慙負負。涕淚忽縱橫。猶餘一片心。山鳥尙知盟。芳草春正暮。悵望君子塋。</text>
<title>樊巖蔡相公 濟恭 輓</title>,<text>大東元氣厚。河嶽脴人靈。五雲高太甲。三台護紫廷。相公生王國。明良應一淸。獨對金縢策。仍瞻玉几凭。先朝五十載。禮異見羣卿。聖孝式闡微。嘉乃一團誠。彝鼎尙不足。舁彀孰敢嬰。五登卿月署。三掌節度兵。宿珮都府符。兼帶文院名。宸衷屬傅塩。雲漢降商英。安危今晉國。威望古端明。山南義理士。百年猶呑聲。巍然喬木望。天綱懸日星。上闡重宸志。下答兆民情。文衡起凡例。干謁日門庭。光焰上靑霄。草木昭回榮。連茹登善良。夾袋費神精。野聞淸鶴唳。朝多瑞鳳鳴。契遇孔昭融。夷險志獨貞。中外仰達尊。朝廷倚老成。玄天遽不憗。九重爲震驚。畫師名猶欽。紅女涕自零。承家有茀祿。忠孝耀衿纓。鯫生屛嶺陬。宿仰星斗晶。千里悲山浦。一代空典刑。他日金梁路。慟哭雲章銘。</text>
<title>輓損齋南丈 漢朝</title>,<text>南斗司文獻。精華耀商洛。大老星相望。山林秉儒鐸。杜陵世衣冠。損齋於是作。嶷爾名公裔。粹然老成矱。拂衣公車役。掛牌松桂壑。偉哉古聖學。着眼更竪脚。義理如釘截。危微若縷析。曾思常夢寐。邵程親酬酢。江齋麗日長。巖花映樓閣。衿掖圜兩階。執經聽條約。綿蕝肄矩步。進止惟儼恪。臯比略降色。充腴似雪鶴。懇懇說經義。體驗在充拓。知行元相資。一敬爲關鑰。昔際彙征世。衆材當櫨欂。深深蘊眞璞。俯仰猶寬綽。令郞何不憗。賢孫更憐弱。氣數天亦老。仁壽理難度。鯫生謬被惓。欽仰德義博。常願一造門。從容受錘藥。此意更蕭條。餘事徒糟粕。有疾違相紼。東望涕沱若。他日山浦思。當崇士林酌。</text>
<title>輓龜窩金台丈 㙆○二首</title>,<text>湖上傳心後。龜翁獨典型。文章根講理。論說本硏經。江左崇儒拂。山南聚德星。衣冠黃嶺會。回首涕添零。竗歲金門牓。先朝玉署臣。靑宮祥鳳乍。花縣舃鳧頻。寵祖松杉渥。尊師雨露新。江湖戀闕志。零落舊簪紳。</text>
<title>輓默軒李丈 萬運○二首</title>,<text>憶昔愚山席。躳瞻丈德容。春和安植塑。淵默穩含鍾。偶發璿衡論。仍抽關鍵重。至今如昨夢。灑掃永無從。吾嶺明經重。先祖記憶神。乃家曾世祿。當代可儒臣。名邑元稱義。遐年果驗仁。山梁多士慟。時復說庚申。</text>
<title>輓林下李丈 敬儒</title>,<text>商洛英賢迭主盟。海東名閥數延城。文章世掌彤綸美。德義家傳素履貞。芹博聲光奎壁朗。息剛風操玉冰淸。軒天間氣無時歇。英廟中年此老生。卓卓儀觀盈戶牖。恢恢襟抱納泓崢。彌綸到手方高着。聲病隨時恥小成。抗義儒幡因被對。溫顔天語許延英。靑春鞴馬誰無戀。西日哺烏獨繫誠。决爾舍歸無悔閔。孝哉終養盡倫情。連甍郭北推宗子。半畞溪西樂我衡。飛鳳當檐看德氣。香杉閉戶媚神精。百家華實蒐盈架。千聖笙簧揷滿楹。先馥闡幽俱刻棗。故楸增色係羣牲。由來地望尊星斗。幾處瓊咳賁隧塋。冠盖過從常駐騎。士林來質輒傾黌。鯫生自幸同州壤。羶慕時隨衆弁纓。中被講廬頻奉敎。近緣詩社或蒙評。愚姿豈敢心違素。曠度終令面發赬。已矣吾商頹丈德。於何小子質高明。咸郞近日來商事。冠冕風儀繼舊聲。</text>
<title>輓皓隣姜丈</title>,<text>太嶽蟠穹昊。扶輿析木熒。晉姜爰發蔕。東魯菀蜚英。館閣蔭喬木。門閭赫寵㫌。芝鄕文獻號。菊老古家名。丹鳳當炎運。黃龍應歲星。玉冰元泂澈。淵角極泓渟。遐思斡玄造。淸議軋霄崢。天香降白峀。魁象動玄亭。東壁挺奎彩。西淸想德精。琅函徹九陛。鼎路逢千淸。海石今詞伯。湖絃小武城。卷懷心不惘。恬淡計無營。令季方緋玉。賢郞又彯纓。祥鸞襍翠竹。璇鶴耀丹蓂。戶屨暄凉候。軒軺禮貌幷。陋姿苦離索。洪度費携擎。勖以淸宵價。申之歲晏情。川齋撰屨杖。溪閣奉琚瓊。德氣心常醉。文評鄙不萌。籃輿過弊衖。菊露垂金莖。再拜勞行李。百年祈耉觥。瀛驂履順化。河岳斂儲靈。歎息吾安仰。寒山涕淚傾。</text>
<title>輓鄭魯庵 必奎</title>,<text>西林名勝舊。北寺講論新。冠帶安如性。絲毫辨到眞。古家能濟美。吾道不憂貧。空將數絶律。繙篋淚沾巾。</text>
<title>輓柳近窩 栻</title>,<text>就道愚山早。賢朋子皜隣。時將問答意。退與講論親。義理漸冰釋。知行更日新。重泉如有識。師友拜應頻。</text>
<title>輓趙梅隱 承洙</title>,<text>淸絶梅同隱。聦明玉立人。律身輪翼倂。析理縷毫分。儒望方推席。天心盍憗仁。生芻違致墓。殘笛耐聽隣。</text>
