<title>次沈楚賢</title>,<text>養拙山深處。仍爲無事人。阿誰還錯認。謂我葆天眞。</text>
<title>次李直長龍溪寄贈</title>,<text>一秋多病廢幽尋。門掩荒村事苦吟。回首故人遊賞夕。碧溪靑嶂氣蕭森。又溪山佳處是雲東。詩老閒行恨未同。楓峽天燈秋色晩。夢魂飛入錦屛中。高山雲東面。有楓峽，天燈兩山。又故人乘興到龍溪。正是秋山晩色凄。靑鶴洞中仙已去。碧壇誰與聽禽啼。又斜日龍溪溪水涯。飽看霜葉錦成花。知君麗什傳心事。透得秋山萬疊遮。</text>
<title>盆梅早開</title>,<text>數尺瓊枝客土中。洞房深處貯春風。一陽未動孤芳發。先占乾坤造化功。又一夜寒雲冷萬家。朝來玉雪滿林阿。荒年莫道生涯薄。梅蘂香中度歲華。</text>
<title>說夢</title>,<text>夜來孤枕夢蘧蘧。五馬翺翔過里閭。覺罷悠然成一笑。此身依舊卧蓬廬。又揣分甘貧萬慮空。何曾一念到㫌弓。夜來自笑猶些滓。五馬雙㫌入夢中。又五十年來志氣闌。久知榮䆠似鮎竿。從他欲說南柯事。恐作飢人夢飽看。</text>
<title>簡洞友。請與看花。</title>,<text>聞道東溪花欲衰。佩壺遊賞豈容遲。煩君爲我回高躅。共上龍巖醉一巵。</text>
<title>龍巖醉中口號</title>,<text>一甁村酒賞殘紅。何處雲僧水上逢。溪流駃駃花如霰。醉卧春山山更空。</text>
<title>松亭覽物</title>,<text>十里芳郊欲暮煙。野梅官柳暎晴川。滿杯春酒無邊興。始信壺中別有天。</text>
<title>次金承旨 失名 遊山韻追寄</title>,<text>勝日相尋不待邀。看花穿柳渡溪橋。醉來還覺淸狂發。非是醒時也自驕。又杏花成雪雨連天。醒後相思倍黯然。松塢月溪煙景霽。幅巾藜杖更隨肩。</text>
<title>雲門洞</title>,<text>溪水淙淙峰影重。岸花山鳥引閒蹤。逢僧不覺淹留久。煙起長廊響暮鐘。又隨水尋山到梵宮。病僧幽卧小窓中。花樓晝寂春禽睡。獨自吟詩倚晩風。</text>
<title>贈金承旨鰒魚</title>,<text>形貌團團掌樣平。非金非石月精英。江瑤玉柱同風味。堪向罇前解宿酲。</text>
<title>澄禪惠寄禪味</title>,<text>搗合雲壇滿臼霜。桂椒辛烈助芬芳。阿誰寄與長齋客。洗却渾羶舊俗膓。</text>
<title>雨中偶吟。寄示鄰老。</title>,<text>歲暮窮陰散作霖。邇來無日不涔涔。醒餘憶着華筵醉。杯到何心厭滿斟。</text>
<title>次兒送凍白魚</title>,<text>誰送寒魚白玉姿。鮫人應出滿江澌。山盤斗覺晨羞潔。未必王祥勝我兒。又胎是蠙珠玉作肥。白魚風味少人知。開苞的歷寒光動。猶濕滄江雪下澌。</text>
<title>雲門洞尋花</title>,<text>芒屩遙穿洞府幽。春光爲我尙遲留。溪花夾岸紅霞煖。舞蝶喧蜂不解愁。又朝入雲門暮出山。風光贏得往來看。吟弄碧潭花影遍。不知西日下林端。</text>
<title>卧龍巖卽景</title>,<text>嫰葉初霽綠似煙。水光山色晩蒼然。紅霞夾岸花無數。應共桃源別一天。</text>
<title>諸少年續至。爭杯遊戱。更拈前韻。</title>,<text>兩岸紅葩映翠煙。石淙松韻共泠然。山甁倒盡遊人醉。亂舞狂歌物外天。</text>
<title>醉題</title>,<text>落紅如雪散餘春。鳥咽蜂喧恨轉新。家僮莫掃斑斑處。留作山翁醉卧茵。</text>
<title>送權姪德裕歸溫泉</title>,<text>江南花雪正飛飛。無酒無詩送爾歸。趍庭爲報吾消息。惜別傷春淚濕衣。</text>
<title>城峴。贈權郞好問。</title>,<text>梨雪飄飄落晩風。一春花事已成空。山翁醉後增惆悵。吟過長橋信馬僮。</text>
<title>次沈敎官元之</title>,<text>玉山屛擁瀉寒溪。處處雲林幽鳥啼。把酒看花忘歸去。暮煙低重小橋西。又溪水東西躑躅明。山光浪態愜幽情。停杯更有依依處。隔葉黃鸝喚友聲。</text>
<title>再次元之</title>,<text>山影沉沉水色明。煙霞魚鳥摠多情。何當挽得東陽老。好結茅茨送此生。又樹陰濃綠映蒼溪。黃鳥多情傍客啼。却憶春風微雨裏。醉携員外過橋西。</text>
<title>騎靑牛遊龍巖洞</title>,<text>無馬騎牛入峽中。行裝偶似度關翁。春日遲遲芳草路。去來幽興自冲融。</text>
<title>過禹公臺有感 臺在古里潭上</title>,<text>綠滿澄潭花滿隈。與君曾此共登臺。風光不異存亡隔。誰勸當時鸚鵡杯。</text>
<title>醉吟</title>,<text>梅花山杏復桃花。東里東風居士家。騷客酒人兼老釋。三花樹下對流霞。</text>
<title>步沈員外悼妓韻。以寄還覺可笑。</title>,<text>芳魂飄散逐雲飛。簾底臨鸞似夢非。何處春山埋玉骨。錦江回首更依依。</text>
<title>次金姪天鳳</title>,<text>煙郊晴煖草浮光。日午花軒睡味長。一鳥不鳴春更寂。夢隨蝴蝶自悠揚。</text>
<title>草堂偶吟</title>,<text>禽語幽幽睡裏聞。滿園花霧晝氛氳。柴門盡日無呼喚。覺後西窓半帶曛。</text>
<title>贈僧</title>,<text>僧自何峰訪我來。夕陽歸路雪千堆。他時儻有重尋約。月下柴門相待開。</text>
<title>林氏幽居</title>,<text>石逕縈回煙塢深。小溪淸淺竹蕭森。客來正値梅花發。吟弄幽香到夕陰。</text>
<title>用前韻。贈鄰友。</title>,<text>嵐靄和烟蒼翠深。山家門掩意森森。梅花滿院薰人醉。叵耐詩愁夜月陰。</text>
<title>示萬里</title>,<text>滿簪華髮雪飄蕭。早謝塵喧出廓寥。知我者誰東里客。少來風味自相調。</text>
<title>次南上舍叔贈庥兒韻</title>,<text>虎灘名勝夢中尋。覺後相思意轉深。安得羽翰生兩腋。降仙臺上碧霞斟。</text>
<title>古寺</title>,<text>古寺天寒煙雪陰。强扶羸病遠來尋。同人不到居僧換。誰會空樓倚柱吟。</text>
<title>次權郞</title>,<text>聞道西湖客欲歸。東床肯許着征衣。玉琴且奏將雛曲。莫羡遙林夕鳥飛。</text>
<title>大旺村。次老閔君韻。示諸舊遊。</title>,<text>一船相訪暫相留。夜宿寒齋月下秋。隨處江村惟聽哭。菊花時節更含悲。時。親友丁憂者三。家家有哭聲。</text>
<title>送從弟入京省覲</title>,<text>陰雲凍雪漢陽城。令弟趨庭有此行。承顔會待晨昏際。爲報相思千里情。</text>
<title>雲梯亭。憶沈友有感。</title>,<text>臺上重臨灑淚絲。坐間誰記舊題詩。溪山不改風流盡。惆悵朋遊異昔時。</text>
<title>寄李子西兼簡趙敎官君實 光亨</title>,<text>好在吟詩李子西。別來佳句幾多題。何時更醉湖亭月。共踏蓮橋芳草堤。又小塘晴浪漾寒蓴。手採銀絲寄遠人。季鷹風味君能識。莫笑山家活計貧。又西湖誰是出塵流。最憶詩人趙倚樓。蓮浦橋頭一樽酒。別來魂夢更悠悠。</text>
<title>入山有懷</title>,<text>半塗扶策歎衰慵。蒼壁無緣躡去蹤。一雙白鶴高飛處。雲外迢迢玉笥峰。</text>
<title>懷宋友 英耉 瓢翁</title>,<text>別來消息兩茫茫。幾度相思夢寐長。今日訪君知不遠。吾廬只隔鳳林陽。</text>
<title>雲梯亭。送沈敎官歸京。</title>,<text>一壺春酒送君歸。感舊傷離意未裁。征馬迢迢猶悵望。夕陽臺上鷰徘徊。</text>
<title>任松塢來訪。余先醉。松塢留詩而去。醒後次寄。</title>,<text>醒後看詩眼更驚。想君風韻似新晴。回頭却恨樽先倒。孤負山翁好事情。</text>
<title>卽事</title>,<text>當夏窮簷不自聊。碧梧蒼竹憶參寥。吟筇此日將詩到。忘却雲林十里遙。</text>
<title>漫興</title>,<text>林居深僻遠塵紛。醉睡昏昏度旭曛。無去無來成懶慢。一春孤負訪雲門。又一春多雨兼風多。多少溪花逐逝波。莫道尋芳今已暮。綠陰還有晩鶯歌。又自笑幽蹤老更遲。訪花尋寺負前期。山人莫問吾心事。春去春來兩鬢絲。又蘭逕縈紆連翠茵。桃溪逢着下山人。袖中剩有煙霞句。說盡雲門洞府春。又暫向禪窓罷誦經。雲蹤飄散下山庭。吟筇何處未歸寺。童子焚香鐘自鳴。</text>
<title>復拈前韻。酬松塢。</title>,<text>醒來愁緖正紛紛。獨坐山齋對夕曛。何處故人知我意。爲將佳句報荊門。又紅落千林翠影多。晩煙輕颺接春波。山鶯似識懷人意。故故頻傳喚友歌。又門掩春山白日遲。酒醒孤枕想風期。韶光流轉殘花謝。老不寬人鬢已絲。又遠烟芳草翠成茵。何處風流載酒人。醉傍龍巖共惆悵。澗紅零盡已殘春。又白首區區抱一經。任從春草遍荒庭。羡它松塢吟詩老。醉卧淸陰聽籟鳴。</text>
<title>山雨</title>,<text>山雨陰晴雲滿巓。遙知蘿逕濕霏烟。惜春更有相思恨。睡坐空齋日抵年。</text>
<title>贈沈休明 瑞章</title>,<text>數首新篇刮目看。別來風韻更珊珊。乃兄早作詩盟主。待子聯登騷客壇。乃兄。指拙齋。</text>
<title>送季父歸京</title>,<text>久別相逢還惜別。同衰非復別離時。長亭日晩驪歌促。更把行裾說後期。</text>
<title>醉歸卽事</title>,<text>溪上輕煙煙外山。山前村塢倚長灣。黃昏醉過石橋去。月滿松堂門不關。</text>
<title>奉次季父留別仁山士友韻</title>,<text>行李蕭然解紱歸。鳳山重訪舊烟霏。淸風滿袖無塵翳。笑入松門雪撲衣。</text>
<title>成尙圭 璘 來訪</title>,<text>疎星落落海天晨。風雨憂愁閱歷親。非君向我偏靑眼。誰憶窮山老倒人。又剪燭連床語及晨。淸詩助我叙心親。誰知十載相思客。便作樽前同醉人。又竹林寒月照霜晨。叵耐天涯送近親。嶺路千重如蜀棧。計程愁殺去留人。</text>
<title>製新衾</title>,<text>新着綿衾占煖多。隔窓風雪任吹柯。老身一夜安和甚。不覺人間有綺羅。又布衾寬厚儉非奢。新煖薰人睡味嘉。愧乏邊生九州幅。可憐寒士卧家家。</text>
<title>敬步晦菴夫子山寺逢僧談命韻。因以自述。</title>,<text>貴賤窮通各自然。休將身命問由緣。此生寒餓眞吾分。五十年來不㤪天。</text>
<title>任退之送雉酒</title>,<text>獨坐東籬喚落英。宿酲初解意凄淸。山梁忽帶香醪至。還勝江州刺使情。</text>
<title>夜入雲門。敬次季父。</title>,<text>斜陽聯騎興悠悠。夜入靈區萬象幽。月上始看山色露。白雲紅樹映殘秋。</text>
<title>次地主才子趙君 時一</title>,<text>才子吟詩曲水濱。雲門物色轉淸新。倚樓千載無人續。東閣如今有後身。</text>
<title>趙君實致書。邀赴宴席。以病未果往。</title>,<text>伏枕丹楓錦繡林。秋懷病思兩難任。江湖遠負相招意。回首西風更一吟。</text>
<title>十月十六夜。枕上作。</title>,<text>日日啣杯處處吟。半生詩酒度光陰。世間憂樂渾忘了。自笑癡頑老更深。</text>
<title>醉後</title>,<text>醉唱狂歌喜更悲。傍人爭笑此翁痴。百年世事兼身事。付與鸕鷀鸚鵡知。</text>
<title>西鄰曲會</title>,<text>淸罇旬日久延佇。溪膾朝來網得新。沉醉感君情味厚。任敎斜景轉叢筠。</text>
<title>訪半月諸友。舟到鹽倉城頭。阻風泊岸。從陸伻招。</title>,<text>浪惡風高江路脩。扶蘓城外艤輕舟。停杯且待良朋至。回櫂何須學子猷。</text>
<title>酬南君文仲</title>,<text>一編詩韻會千林。方識詞人費苦心。今日贈來應有意。水光山色共君吟。</text>
<title>蓴菜寄從舅趙參奉 邦亮</title>,<text>手採寒塘露下蓴。江湖寄與老閒人。世間多少醺醺客。詎識秋風此味新。</text>
<title>偶吟</title>,<text>餐蔬充腹寢單床。何肉周妻久已忘。除却淸風明月外。世間無物入郊堂。</text>
<title>見梅憶姜復泉</title>,<text>歲暮靑眸未有期。臘梅重發去年枝。玉人迢遞荊江曲。折得寒花鬢欲絲。</text>
<title>折梅寄復泉 丁亥臘月初</title>,<text>小梅春信到愁邊。索笑情懷更索然。故人定在千山外。恨滿南枝意不傳。故人情札自天邊。病裏愁懷轉豁然。更喜小梅春信好。暗香踈影雪中傳。次韻</text>
<title>敬次復泉琴詩韻</title>,<text>幾年樵斧落瓊柯。未朽蟠紋帶繡窠。紫雲堂上泠泠處。始信神人暗護多。有一士人。得古桐斧斤之餘。造琴寄贈復泉曰。夢神人護惜。令我製琴云云。恩津權郞傳言於余。故云。</text>
<title>往雲門。歷問兪萬里病。感懷。</title>,<text>故人多病卧經時。蕭寺閒遊更挽誰。回首桃谿饒悵戀。夕陽苔逕獨行遲。</text>
<title>天長老方住東菴。詩以問之。</title>,<text>贈君翬尾爲長箒。紫翠斑斑瑞錦紋。深藏待我荷衣去。共向仙壇掃白雲。</text>
<title>詩僧來訪。對梅設酌。</title>,<text>獨對窓梅意悄然。袈裟何幸到愁邊。一杯相屬幽香裏。絶勝南枝驛使傳。</text>
<title>醉呈南鄰詩翁</title>,<text>隨處看花隨處醉。醉眠醒詠占餘春。詩翁莫謂吾狂客。自是詩翁醉殺人。</text>
<title>暮春</title>,<text>叵耐光陰流水東。一春花事漸成空。園林寂寞樽無酒。細雨斜風送落紅。</text>
<title>送置盆梅于藍洞隱居</title>,<text>舁致梅盆寄草堂。纔經小雪意先香。一陽生後垂垂發。急釀羅浮擧玉觴。</text>
<title>追述塲巖醉遊。寄扶蘓諸友。</title>,<text>幾歲睽携鬢已絲。故人相見共悽悲。風情尙未消磨盡。遇酒狂吟似昔時。又倒盡松巖雙玉甁。醉來忘却客偏酲。解携一任歸舟遠。十里滄灘睡裏經。</text>
<title>江亭卽事</title>,<text>槐陰竹影映虛堂。風日淸和睡味長。何處嬌鶯啼近枕。不敎幽夢到羲皇。又湖海風流兩使君。畫船歌吹動江雲。誰知一榻淸陰底。終日綿蠻睡裏聞。龍安，礪山二倅。方載酒來遊云。又蘭舟何處使君遊。醉裡江山今古愁。落花巖畔如停棹。淸隱堂前更轉頭。</text>
<title>次南公允 重明</title>,<text>湖海迢迢碎錦波。一春相別恨如何。招提儻有尋眞興。莫道雲山道里多。又遠風西浦萬重波。深淺離情較幾何。積雪樓中聯袂日。華篇半是醉吟多。又小堂孤寂似伽藍。獨把山杯興不酣。回首江湖文翰侶。共將行樂過重三。又嫰葉初齊翠蔚藍。雪樓方好倚微酣。風光流轉行闌盡。謝屐尋山趁閏三。</text>
<title>湖亭次寄暉吉</title>,<text>梅花雪落滿庭香。微月黃昏坐竹堂。回首扶蘇蓀浦客。一宵離恨渡江長。處處梅花動玉香。香風吹入小郊堂。出山杖屨遊何處。竟夜沉吟客夢長。原韻</text>
<title>贈李都事子西</title>,<text>夜聞江路角聲遐。人道湖西亞使過。誰識竹堂微月下。獨將村酒醉梅花。</text>
<title>聖林寺卽事</title>,<text>洞府幽幽掩柳枝。寺樓春醉舞僛僛。就中從事催歸去。還愧山翁兩鬢絲。</text>
<title>次趙判官</title>,<text>玉人何處倚江樓。芳草湖南起遠愁。遙想醉餘孤詠罷。杏花零落酒村幽。</text>
<title>別懷</title>,<text>寺樓春酒綠生波。日暮花前奈別何。君歸剩有醒時恨。恨未當筵弓滿多。</text>
<title>鳳林溪上。奉次季父韻。</title>,<text>人道玆辰三月晦。韶光猶在醉遊中。綠楊枝上初飛絮。躑躅叢邊花信風。三月正當三十日。韶光別我苦吟中。惟有殘花向我笑。天開閏月又東風。原韻</text>
<title>寄南村老友</title>,<text>十里相思過一春。溪邊聯袂舊情新。紅謝千林休悵戀。綠陰芳草更宜人。又一塲詩酒稱靑春。文采風流老更新。誰知白髮高年叟。猶勝紅顔少壯人。</text>
<title>卜得新居呈季父</title>,<text>晩卜菟裘西嶺雲。欲陪杖屨度朝曛。亭前碧澗同垂釣。屋上靑山一半分。又卜居何待買山錢。已向陽崖寄數椽。竹林隨處便同樂。不必煙霞分兩邊。</text>
<title>靜安堂酒席</title>,<text>高年今古世無多。七老同堂喜若何。白髮蒼顔情衮衮。莫嫌巾帽醉欹斜。</text>
<title>自樗湖乘舟。訪半月諸友。</title>,<text>平波千頃碧琉璃。十里挐舟訪所思。一笑相逢無別語。夕陽西下水流遲。</text>
<title>寄呈眞珠沈使君。以替候書。</title>,<text>使君分袂幾經秋。海上仙區杳十洲。朗月淸風如我憶。會須回首竹西樓。</text>
<title>秋雨夜懷</title>,<text>秋雨蕭蕭蟲咽咽。四更更盡五更初。誰知此夜愁多少。雙鬢明朝雪滿梳。</text>
<title>陳敬元贈鵝</title>,<text>雪白鵝兒睡碧渠。喜君籠送野人居。風流絶勝山陰老。不待羲之道德書。</text>
<title>蓮塘</title>,<text>醉睡荷塘雲錦中。暗香浮水飄輕風。覺來失却吾衰白。酒暈花光着面紅。</text>
<title>扶蘓醉贈暉吉</title>,<text>立馬江頭將送人。去留俱是異鄕人。莫言此別堪惆悵。猶勝龍灣塞外人。又立馬江頭將送人。烟波愁殺去留人。莫辭別酒頻頻勸。明日江南江北人。</text>
<title>小孫初作詩句</title>,<text>殘齡底事最堪誇。初見兒孫句法嘉。屈指十年應進取。桂林留待一枝花。</text>
<title>暮春卧龍洞修稧會</title>,<text>花光柳色映春溪。溪北溪南望欲迷。挈榼袖牋來往路。白沙靑石洗無泥。</text>
<title>石龍灘</title>,<text>芳草凄凄溪柳靑。隔林啼鳥弄春聲。江山一抹煙霞外。村塢桃花更有情。</text>
<title>暮春閒行到桃溪。示諸少年。</title>,<text>勝日閒行携丱童。石潭臺上詠春風。舞雩眞趣誰能會。兩岸桃花無語紅。</text>
<title>隨行二童子。以柳皮爲笳吟弄。</title>,<text>何處吹笳雙玉童。釣臺斜日弄微風。低聲且莫穿花塢。恐落溪頭千片紅。</text>
<title>卽事</title>,<text>偶携筇杖訪禪扉。日午長廊僧語稀。滿榻淸風山影裏。蒲團促膝澹忘歸。</text>
<title>贈南公允</title>,<text>再到雙林叩竹扉。愛君淸韻世間稀。前宵縱失連床約。今夕還應宿不歸。</text>
<title>舟中</title>,<text>大王洲上雨盈衫。半月城頭艤翠巖。蕭寺故人蘿逕候。夜深猶未下歸帆。</text>
<title>解纜</title>,<text>晩凉高枕解輕衫。左右淸風來竹巖。絶勝前宵乘野艇。水煙沙雨滿蒲帆。</text>
<title>臨別</title>,<text>世故驅人奈別何。夕陽樓上客愁多。秋風此會君無負。臨發慇懃賦短歌。</text>
<title>述懷</title>,<text>淸淨生涯少所貪。老來貧賤不須慚。金盤綺食非吾分。蔬笋充饑味亦甘。</text>
<title>歸山。追憶湖上朋遊。仍次公允聖林韻。寄南友君實。</title>,<text>隔牕松韻響飄蕭。湖海淸遊夢寐饒。回首故人蓮浦外。月明應棹木蘭橈。又草堂岑寂興蕭蕭。雲外江湖別恨饒。爲報故人新釀熟。荻花秋浪漾輕橈。</text>
<title>趙參奉叔酒席。南君呼韻。沉醉不能賦。醒後湖亭。追作二首。一以贈南。一以自述。</title>,<text>公允胷中萬頃湖。少來文采信夫夫。白頭幸托忘年契。從此江山興不孤。又風帶脩篁亭壓湖。白頭醒醉是工夫。炎氛滿路無人到。睡對沙鷗也不孤。</text>
<title>江亭漫興</title>,<text>天遣樗湖屬散人。暮年詩酒養閒身。亭中莫道無還往。江月江風不厭貧。又可笑江湖漫浪人。白頭隨處卽通津。年來自覺無機久。翹鷺眠鷗漸却親。</text>
<title>與友人約遊蓬島亭</title>,<text>鏡中絲髮任蕭蕭。紫蟹香醪秋興饒。延佇故人蓬島約。月亭南畔且停橈。</text>
<title>公允寄茶</title>,<text>鷹觜從來顧渚春。喜君分贈宿酲人。一甌便解相如渴。酒味爭如茗味新。</text>
<title>聖林寺卽事</title>,<text>白髮紅顔聯袂來。共投花界笑談開。靑山向暮愁樽倒。還有村醪更滿杯。又倒載藍輿山頂來。半空燈火竹房開。老禪欲洗吾昏醉。爲酌松泉露一杯。</text>
<title>船遊後寄諸友</title>,<text>西風吹送木蘭舟。故遣詩人蓬島遊。却恨當時醉回棹。不知身已近仙洲。又蓬萊欲近却回舟。底事秋江只浪遊。僊賞心違餘恨在。夢隨風月到滄洲。</text>
<title>樗湖寄公允</title>,<text>我來君病共誰遊。水國初寒獨倚樓。蓬島仙亭明月夜。可堪迴首想風流。</text>
<title>楓林</title>,<text>楓晩千山秋色佳。倚藜吟弄小溪涯。耽看始信樊川句。霜葉紅於二月花。</text>
<title>寄崔秀才 繼雄</title>,<text>幾度聞聲廻白頭。卽看新什洗昏眸。山牕一夜神交夢。飛渡雙橋十里秋。</text>
<title>次季父送申姑後詩。亦以述懷。</title>,<text>積雪層氷千里道。情親無限送行愁。年襄後會元難定。况復風塵滿塞州。</text>
<title>次公允</title>,<text>槐陰何日不相思。天外淸標夢寐隨。鴻鴈背飛湖水濶。別來無處寄新詩。公允號槐陰。又索居何處慰相思。爲有文房二友隨。領得故人珍重意。老慵其奈廢吟詩。</text>
<title>過大王洲鄭北平故亭。聞菜歌。有感。</title>,<text>人去亭空江水涯。隔林春唱送餘悲。白頭舊客遲廻處。宛似山陽聽笛時。</text>
<title>懷公允</title>,<text>江樓客散酒樽空。雨後春寒盡日風。醒面如氷驚料峭。出門無計訪詩翁。</text>
<title>次公允</title>,<text>萍蹤誰識老漁郞。牢閉松門水北庄。珍重故人相訪意。頓敎寒谷發春陽。</text>
<title>夏初湖亭。示友人。</title>,<text>一春多病渡江遲。落盡巖花幾樹枝。歸來莫歎風光晩。猶及林亭嫰綠時。</text>
<title>四月八日夕。望見蓬島亭。張燈宴集。</title>,<text>縹緲蓬萊雲氣中。九華燈影夜浮空。僊標可望煙波濶。象外奇遊恨未同。</text>
<title>塲巖</title>,<text>亭畔登臨嫰綠時。水光山影映參差。隔林細雨絲絲濕。日暮歸來未有詩。又竹杖芒鞋隨所之。每逢佳處卽吟詩。塲巖底事奚囊澁。爲有江山分外奇。</text>
<title>寄南友</title>,<text>長夏山扉掩草萊。寂寥襟抱與誰開。水鄕詩酒淸遊地。苦憶宜春倜儻才。</text>
<title>送尹秀才 失名 赴試洛下</title>,<text>淸時多士會千羣。健筆雄詞誰似君。此去應逢楊得意。長卿豈合撫凌雲。又才踈甘與鹿麋羣。此日槐黃獨送君。洛下諸朋如共問。爲言頭白釣溪雲。</text>
<title>晴夜對月</title>,<text>一夕秋風生晩晴。月華凉冷透簾明。寒蛩似解吟詩意。相伴虛堂徹夜鳴。</text>
<title>敬次季父甲申初度韻</title>,<text>今歲何年是甲申。喜公環甲樂閒身。持杯更祝三朋壽。後甲猶爲未老人。自甲申逢又甲申。分明六十一年身。是非憂樂知多少。憶昨兒時萬曆人。原韻</text>
<title>大屯山遊覽。諸公先邁。余獨後。馬上戱作。</title>,<text>倦馬孱童隨意行。尋山風味在吾行。黃花赤葉緣溪景。笑殺遊人飛馬行。</text>
<title>溪橋看楓</title>,<text>山色斑斕映晩秋。獨鞭羸馬作閒遊。行到楓橋吟弄處。眼明紅影蘸溪流。</text>
<title>隨地主遊大屯後。獨行卧龍洞溪上。散步閒吟。頗自靜便。</title>,<text>昨日尋山惱殺人。使君行處有飛塵。爭如野服溪邊醉。養得衰慵自在身。又紅葉飜溪菊散芳。古松陰畔獨相徉。惆悵送秋無酒盞。一年今日最堪傷。時九月晦日</text>
<title>聖林寺。與趙亨伯，崔子有，南公允諸益夜會。</title>,<text>叢林霜晩翠全浮。九月山齋未覺秋。千里故人萍水會。坐看流月下西樓。</text>
<title>寄示公允</title>,<text>湖海殘秋惜別離。光陰已度立春時。遙知滿酌新篘酒。迎得東風賦幾詩。</text>
<title>人日訪萬里</title>,<text>人日閒行訪草堂。何如高適寄詩章。一溪梅柳相迎處。肯對春光枉斷膓。</text>
<title>紅桃種。贈覺玄禪。</title>,<text>仙桃投贈核中春。三載瑤壇錦繡新。想得維摩行道處。九天應下散花人。</text>
<title>又贈百日紅</title>,<text>劚出芳園一朶紅。春風和露寄琳宮。試將薝葍林邊種。應共天花落定中。</text>
<title>拜旅軒張先生 辛未冬</title>,<text>先生道義使人欽。千里摳衣到洛潯。座上春風門外雪。箇中方見古時心。</text>
<title>醉呈許觀雪</title>,<text>林下淸罇半日留。雪翁詩興似春濤。停杯落筆還惆悵。風雨西關尙未休。</text>
<title>奉寄趙承旨脩竹令公</title>,<text>山甁爲貯蓴絲滑。持寄江湖晝錦人。想得鱸魚斫膾處。開嘗應笑老淸貧。</text>
<title>寄贈姜復泉琴材</title>,<text>百尺孤桐老石岑。火焦雷霹半無心。天敎寄與春風手。彈出孫枝彩鳳音。枯桐來自嶧陽岑。要取中和入我心。天地江山都默默。泠然何處覔知音。老榦何年別翠岑。故人持贈豈無心。踵門他日須傾耳。風入松來是古音。次韻</text>
<title>別尹孤山 善道 歸海南</title>,<text>人間無事可開口。塵世百年俱是愁。落盡庭梅村杏發。風光肯爲別時留。</text>
<title>次贈洪師傅天光 宇定</title>,<text>掉頭軒冕自稱狂。避世無言言則當。平生夢想晩相見。笑對茅簷古意長。</text>
<title>感懷</title>,<text>松楸寒食無香火。花柳淸明薄酒巵。傷春感物兼多病。淚灑東風人不知。時。以病患。不得祭先墓。</text>
<title>梅禽</title>,<text>翠翼丹襟鳴更淸。初看疑自蘂珠城。那將好響兼奇色。啄盡庭梅滿樹英。又何事山禽啄野梅。落英飄灑滿庭苔。子成縱未調羹用。且着殘芳對酒開。又啄損芳英昧𥚁胎。傷弓觸石故頻來。飛鸇電掣方驚擧。已血紅襟淺碧苔。甲申冬。偶多梅鳥。色可玩。聲可聽。啄梅殆盡。使孫兒輩。投石抨弓。猶不知懼。去而復來。忽有飛鸇掣掠。鳥驚起之際。已臆碎翼分。落於地上。仍吟成三絶。擧似洪友天光。洪云。官梅亦有之。時時自彈射之云。詩人意思一般也。</text>
<title>江鄕歸路。東望家園。</title>,<text>澹煙斜日蒼茫外。東望望春春色稠。燭天紅錦緗桃塢。誰謂吾廬貧且幽。</text>
<title>聖林寺。次贈公允。</title>,<text>湖海相思獨有君。幾多魂夢渡江雲。逢迎更被離愁惱。斜日那堪下寺門。又禪樓風細鷰斜斜。窓北深紅躑躅花。酒椀茶甌何用設。笑開靑眼便忘家。</text>
<title>聞警急。寄沈拙齋休文。瑞奎。</title>,<text>年饑世亂此何時。天意蒼茫不可知。中夜謾憂嫠婦室。老身無以繫安危。</text>
<title>寄銅雀李逸士 碩寬</title>,<text>千里春陰斷復連。玉人消息更茫然。滿江風浪漁舟子。誰識沙鷗自在眠。</text>
<title>自述</title>,<text>六十年前何所爲。吟詩把酒是生涯。名登薦剡徒然已。如許頭顱我自知。</text>
<title>契活澹泊</title>,<text>收得黃粱雀啄殘。渾家能飽幾朝餐。邇來依舊厨煙晩。還向村鄰掩面干。</text>
<title>訪退之於樊谷不遇。還到其家。醉留一絶。</title>,<text>行盡幽蹊不見君。滿山嵐靄晝氛氳。空聞伐木丁丁響。獨醉殘罇到日曛。時。退之以伐木入山。</text>
<title>遊卧龍洞</title>,<text>優遊盡日獨停鞭。愛此楓溪水色娟。萬象都輸詩一案。夕陽村落已炊煙。</text>
<title>送市南兪校理武仲 棨 謫穩城</title>,<text>嗟君行李向何邊。豆滿江濱長白前。野人多愧平生舊。分袂津頭意惘然。</text>
<title>鍊村</title>,<text>何幸情朋伴我行。鍊村南畔詠新聲。樽前莫恨芳醪盡。更酌春溪無限淸。李基肅追到。</text>
<title>寄贈李大隱</title>,<text>考槃遙想倚山阿。靜裏工夫問若何。睡過三冬猶閉戶。不知江面已春波。又二月書來秋暮時。天涯音耗苦遲遲。祗是銅江曾識路。夢中還往豈參差。</text>
<title>上巳日雨中</title>,<text>細雨霏微浥軟塵。綠楊芳草望中春。踏靑今日樽無酒。門外桃花笑殺人。</text>
<title>聞沽美酒禽</title>,<text>踏靑佳節興蕭然。獨坐虛齋對雨眠。山禽且莫催沽酒。奈此空囊乏一錢。</text>
<title>移梅。次示孫兒。</title>,<text>小梅春信渡溪來。疑是仙雲墮砌臺。玉容微㤪黃昏立。百匝廵簷笑未開。</text>
