<title>日 乙酉</title>,<text>太陽全體明。蓋有君人象。品彙莫逃形。恠奇森萬狀。</text>
<title>駕次高陽郡。試儒武。郡有射亭。與隨駕文武近臣射鵠。此乃述先朝盛蹟之一端。不可無識。後唫此。是日。予射小鵠五中。本道觀察使徐有防四中。兵曹判書李𡊠一中。別雲劒徐有隣二中。李文源，朴祐源一中。訓鍊大將李敬懋揚。禁衛大將徐有大三中。直提學李秉模，檢校直閣徐鼎修揚。待敎尹行恁二中。都承旨沈豐之揚。左承旨李時秀一中。別軍職李得濟揚。李漢豐一中。李潤彬三中。李儒敬二中。柳孝源三中。韓光濟一中。朴基豐三中。李晳二中。吳毅常，金爔，徐英輔三中。鄭學畊。任聖說二中。承傳宣傳官金益彬二中。梁埉一中。李身敬，李光益二中。李馨秀一中。差使員廣州府尹李泰永四中。水原府使尹行元，楊州牧使洪義榮揚。坡州牧使洪仁默一中。長湍府使李觀賢，高陽郡守李素揚。諸臣射已。行完射禮。亦故事也。予又射五中。方伯三中。以鵠留藏郡舍。亦遵藏帿六一閣之聖意也。</title>,<text>穩旋郊駕路。臨蹕郡齋東。樽漾蟻浮綠。帿懸鵠中紅。千家烟火氣。列壘鼓笳風。一豫寧爲度。今年幸遇豐。</text>
<title>是日。卽明陵誕辰也。祇謁本陵。歷拜昭寧園。還駐高陽郡舍。唫示四韻。於大臣閣臣。文苑諸臣命和。</title>,<text>祇拜仙陵又拜園。淸秋佳節是中元。龍盤地護鶯峰大。象設天成古嶺尊。明月一年多此夜。黃雲四野已前村。行宮試士同文武。兩邑先推慰悅恩。</text>
<title>贐提學李性源出按關北</title>,<text>卿獨賢勞未敢言。關河千里送征轅。保釐任大纔西節。鎖鑰才難又北門。將去鳳毛知世美。行隨奎彩覺班尊。不須久作瓊樓夢。蹔借咸民爲布恩。</text>
<title>贐原任提學兪彥鎬赴燕</title>,<text>西節纔歸又北槎。再勞原隰意如何。宮筵慣識詩三百。此去殊庭用得多。</text>
<title>敬次酒泉縣樓所奉肅廟朝御製詩韻 幷小序○戊申</title>,<text>酒泉。古縣也。今屬原州。有淸虛，憑虛二樓之勝。在昔沈廷輔之牧是州也。肅廟寵之以詩。間經回祿之災。先朝戊寅。守臣重建之。上聞之。手書原篇。繼以小識。命近臣往揭之。夫一樓成毁。若無所輕重。而宸章寶墨。前後焜耀。不獨樓之賴以顯。凡州之山川。亦將由樓而增重。則樓之爲是州輕重何如也。繼此葺修之役。可以知所勉夫。敬次詩韻。略叙其槩。俾揭于傍云爾。尙說黃封降酒泉。淸虛從此勝名全。樓容重與雲章煥。地氣還應壁宿連。百里桑麻渾不改。一春花鳥摠依前。瞻言咫尺分憂在。太守休爲醉後眠。</text>
<title>太液池。看花垂釣。</title>,<text>液池西畔萬重花。釀得氤氳元氣多。直到月昇方捲釣。近臣隨意醉紅霞。</text>
<title>是日。召見戊申揚武功臣子孫。賜酒饌。又以詩寵之。以記値舊甲感舊事之意。</title>,<text>折衝樽俎豈無人。破竹王師遂不旬。氣作山河諸義士。盟垂帶礪幾勳臣。堪悲板蕩魂爲厲。幸共昇平閣起麟。寧考之思恩及裔。卿曹努力答君親。</text>
<title>寄示湖南伯原任直閣徐龍輔。侈其行。仍拈行字。</title>,<text>千里觀風學士行。西飛鳧舃又南程。知君不啻家人熟。縻爾豈徒刺史榮。沃轡明朝湖上路。淸蟬數日禁中聲。離懷較淺民憂重。留餞黃封且細傾。</text>
<title>題晩葆亭 幷小序○己酉</title>,<text>是日。歷入錦城主第。對主人穩討移晷而還。以晩葆扁其亭。又賦七言四韻一篇以歸之。沁園亭子數椽垂。扶醉兒孫晩境怡。霜退古松留翠榦。春生脩竹長斑枝。燕居澹泊渾無累。鶴髮奔趨不有私。今世幾人能享福。如公厚德也相宜。</text>
<title>寄臥遊亭主人 幷小序</title>,<text>近聞挈往江墅。靜中獨樂之趣想津津。唫送一律。以叙阻戀。幾處空亭抱水環。見君今作主人還。漁舟帶雨隨潮晩。棊局當簾盡日閒。宜把賀湖差待老。却嫌潘鬢未全斑。臥遊不妨輸眞境。莫惜幽居入畫間。</text>
<title>贈前參判金頤柱 庚戌</title>,<text>寧考外孫風骨富。春色不改沁園舊。兩世朱輪暎門楣。梧桐對老蘭芝秀。穩度昇平六旬一。滾滾人間衆福湊。日周懸弧樂如何。按舞調歌踐籩豆。除是汾陽老令公。此世誰似君家茂。近聞鏡裏還勝昔。韶容燁燁紅不皺。擬敎良工貌上綃。替却南極老人宿。</text>
<title>皇帝八旬聖節進賀之行。拜表日。示副价檢校直提學徐浩修。</title>,<text>此路重穿薊柳烟。歸期可趁鴈賓前。人間五福君先數。有意行參萬壽筵。</text>
<title>進賀使昌城尉黃仁點赴燕日有詩</title>,<text>千秋嘉會醉冠裳。休說薊山去路長。盛事要君輸畫裏。揭來宮帖替延祥。</text>
<title>洗劒亭。恭和先朝御製韻。</title>,<text>詰戎餘意此臨亭。漢北天高畫角淸。可愛源泉深有力。泠然一道萬山聲。</text>
<title>拜表日。席上口唫。示上价光恩副尉金箕性。以贐其行。</title>,<text>萬里從玆始。弘橋卽鴨津。北槎尊上价。東國重儀賓。去日遼河雪。歸時沁苑春。男兒弧矢志。何必惜征輪。</text>
<title>餞筵。又寄一詩。</title>,<text>十月征軺賦載馳。雪花如席路逶迤。妙年都尉風儀峻。可使燕人一見之。</text>
<title>贐提學鄭民始出按湖南</title>,<text>欵欵離懷酒屢巡。送君明日出銅津。卽今盤錯須民部。從古旬宣仗近臣。裘帶爭瞻新刺史。起居無恙大夫人。樓名拱北良非偶。幾夜登樓望北宸。</text>
<title>登洗心臺賞花。口占。示諸臣和之。以茗熟爲令。辛亥</title>,<text>暇日芳春節。心臺洗俗喧。兩山眞一戶。千樹亦同園。豓豓天光靚。登登地勢尊。坐間多皓髮。來歲又今樽。工判七十五歲一。提學判敦寧守禦使各六十五歲。下句及之。</text>
<title>題左議政蔡濟恭樊巖詩文稿</title>,<text>傑氣驅來筆力勍。七分如對畫中卿。奔騰處有浪濤勢。慷慨時多燕趙聲。北極風雲昭晩契。滄江鷗鷺屬前盟。湖洲以後模楷在。更喜東山詠洛生。</text>
<title>謁思陵志感</title>,<text>龍旂拂拂曙光寒。靈雨新添十里灘。小子敢言當日事。天心曾卜萬年安。東峰曉月瞻燕院。杜宇春風感越壇。兩地仙鄕知不隔。更看楓柏露漙漙。</text>
<title>便殿。召見泮製被抄諸生。賜賞物有差。饋之酒。時穀雨霏微。春意藹然。以春雨瓊林讌綠袍。爲題。仍拈春字。與諸生及在筵者聯韻。在筵諸臣。檢校直閣李晩秀，徐榮輔，待敎徐有榘，承旨趙尙鎭，閔台爀，趙衍德，申耆，李百亨，史官洪樂游，徐有聞，趙台榮，鄭尙愚，令申在維，郡守朴知源，前縣監兪漢純，前敎官李潤衡，生員韓啓重，黃基天，李箕采，徐有望，進士李羲翼，申頤朝，安光宇，任希復，趙道宇，李翼，柳遠鳴，崔光泰，吳泰曾，安錫良，幼學李愚在，洪樂浚，朴宗山，呂龜永，金思玄，許明，李觀九，洪俊榮，李是鉀，李德敏，李志淵，閔景涑，朴宗履，申夔朝，金思靑，權中倫，李基任。○壬子</title>,<text>養來元氣一家春。樽酒論文又見眞。御製。 周代菁莪霑化溥。宋時奎壁啓休新。臣愚在。 融融禮樂昭明會。物物芳華澹蕩辰。臣榮輔。 需國元資多吉士。右文爭喜見吾身。臣樂浚。 璇霄寶墨頻題卷。槐市薰風幾拂巾。臣晩秀。 雋選靑錢新製妙。親裁玉尺舊䂓因。臣羲翼。 大庭咸造優前列。內府匪頒囿至仁。臣有聞。 制異臨軒詢大策。試同升學秀凡民。臣頤朝。 一般春意回調燭。千種文心入化勻。臣啓重。 德普庭衢天所覆。恩涵涓勺海無濱。臣有榘。 九重瑞色時方午。千一昌期命用申。臣衍德。 盛會可無斟散爵。珍羞先已割肥犉。臣耆。 粉餈美饌擎黃帕。鹽豉淸香壓綠蓴。臣基天。 受賜孰非恩浹髓。同和最是酒沾脣。臣光宇。 公言錫爵酬佳節。利用觀光廁衆賓。臣宗山。 一席周旋同樂豈。尺天寬假尙恭寅。臣箕采。 陽和政屬三春晩。榮寵還同八簋陳。臣尙鎭。 欲象深仁猶海水。又看嘉澤遍坤垠。臣錫良。 銅壺報刻稀銀箭。太液生波泳錦鱗。臣百亨。 濃帶韶光濡萬品。澹拖祥靄繞重宸。臣台爀。 發生摠得方春樂。運用皆因一氣神。臣希復。 杏苑華筵霑雨露。柏梁詩令聳衿紳。臣龜永。 旅升竊感偏承渥。誤對多蒙曲貸臣。臣思玄。 小器慙遲金躍冶。大酺欣忝玉連茵。臣明。 楂梨自愧嘗因遠。椒桂爭誇擣有辛。臣觀九。 顚暈渾忘立監史。懽呼弗妨闊畦畛。臣道宇。 勝筵獲覩稀今古。殊寵知優侍夕晨。臣樂游。 再醉黃封登殿陛。共攀珍果詫鄕隣。臣俊榮。 烟霏瑤草靑承佩。山近蓬壺碧聳嶙。臣台榮。 是日歡情歌盛渥。知時好雨浥輕塵。臣是鉀。 花甎步接羣英列。草野名承尺地詢。臣德敏。 聖世恩沾欣鼓舞。淸朝化贊囿紘夤。臣志淵。 身霑聖澤游斯泳。袖惹天香近更親。臣景涑。 飽德還慚周士貴。顧名敢擬漢臣純。臣漢純。 洪私曲念寧多又。微悃叨陪得少伸。臣翼。 良日燕敖隆渥遍。明時陶鑄太和均。臣遠鳴。 千年景運歡同囿。一日恩言藹出綸。臣宗履。 浩蕩天恩沾似雨。煕雍風敎厚如醇。臣潤衡。 抽黃薄技慚隆奬。浮白令章勉恪遵。臣光泰。 德意涵融盈斝醁。藻情綜錯出機紃。臣在維。 龍光昵覲榮何極。鳳藻恭拚誦幾巡。臣夔朝。 上下同歡風皞皞。弟兄聯武禮循循。臣思靑。 內池水暖游鱗躍。禁苑春廻白鶴馴。臣中倫。 日永虞庭儀鳥獸。時淸夏化曁魚蠙。臣有望。 添杯優渥承先勖。授𥳑非才媿聖掄。臣泰曾。 醉且無歸恩胥浹。興斯有渰氣交氤。臣知源。 春深禁籞連芳草。風送仙溝動細粼。臣基任。 賜宴惟均諸路士。頒書留作幾家珍。臣尙愚。 讀書方可爲時用。宰相皆從此會人。御製。</text>
<title>復登洗心臺。用昨春詩令。聞摠管李敏輔道上先有所作。仍步其韻。</title>,<text>花木三春晩。笙歌九陌喧。逶迤廻玉輦。跌宕訪瓊園。禮數宜從𥳑。懽娛却忘尊。會心東洛老。無恙又詩樽。</text>
<title>又拈姸字</title>,<text>萬紅千紫競娟姸。分與春光遍八埏。特地杯盤眞率會。滿城絲管豓陽天。前遊易識丹崖刻。淸暇又占畫鵠懸。是日官家添喜事。簪花人上曲江筵。</text>
<title>上林賞花釣魚聯句 幷小序</title>,<text>三月庚寅。欲修宋天章閣賞花釣魚故事。迺召閣臣及其子若弟。提學吳載純，檢校直提學徐浩修，原任直提學李秉模，朴祐源，原任直閣徐龍輔，尹行恁，檢校直閣徐榮輔，待敎徐有榘，載純子淵常，浩修子有本有樂有棐，秉模子魯益，魯豐，魯任，祐源子宗瑜，龍輔弟應輔，鳳輔，榮輔弟畊輔，提學鄭民始姪尙愚，原任直提學徐有防子俊輔，任輔，故直提學鄭志儉子東晏，原任待敎沈象奎弟應奎，新恩南公轍凡二十有七人。唯公轍。以予師文淸之子與焉。遂賞花于籠山亭。釣魚于水澤齋。旣而御春塘臺射帿。宣以酒饌。分韻聯句。以識其樂。閣臣。予所優禮也。故推及其子弟。以家人視之。惟玆之會。匪直曰以永今日。凡登斯筵者。咸懋乃德。與國同休。偕我元子。於斯燕敖。萬子孫無斁。其將自今伊始。又書此以介之。內苑歌魚藻。前池有鳳毛。御製。 渥隆侔化育。材薄媿賢豪。臣載純。 密邇恩偏沐。空疎報蔑毫。臣浩修。 職親而地比。海闊與天高。臣秉模。 靈沼潛鱗泳。薰庭瑞鳳翿。臣祐源。 獸帿齊晩樹。飛閣俯晴濤。臣龍輔。 倚馬才慙漢。觀魚樂勝濠。臣榮輔。 三抽堦上莢。一結海中桃。臣行恁。 虞殿歌元首。周庭籲俊髦。臣公轍。 龍樓騰頌祝。鑾掖盛逢遭。臣有榘。 法醞斟鴻化。和賡與燕遨。臣淵常。 其爭觀正直。旣醉戒呶號。臣尙愚。 偶爾中紅的。樂哉醉碧萄。臣畊輔。 帆開橫水鷁。花擁戴山鼇。臣有本。 日表瞻衣尺。天章拜衮褒。臣有樂。 瑤徽流玳拍。繡勒出仙槽。臣有棐。 涵泳均魚鼈。光華動羽旄。臣東晏。 便衣承曠遇。勻樂政豪嘈。臣應奎。 酒氣瓊流液。春芳雪泛膏。臣俊輔。 獻歌禽在樹。呈舞鶴鳴臯。臣任輔。 雅奏分花嶼。靑衿遞畫舠。臣魯益。 詩書愧業拙。酒食飽恩叨。臣魯豐。 特許游觀遍。皆忘步屧勞。臣魯任。 聖慈偏覆燾。癡騃亦甄陶。臣宗瑜。 細草承天仗。飛英近御醪。臣應輔。 流鶯分樹囀。鳴鵠入雲翺。臣鳳輔。 一席渾和氣。家人視爾曹。御製。</text>
<title>野次題萬丈峯</title>,<text>大龍抽正榦。千里勢蜿蜒。劒佩趨環闕。珪璋儼拱天。基宏於萬世。功博屢豐年。過路聞絃誦。剩敎一壑專。</text>
<title>道峯路次贈長洲。</title>,<text>萬丈峯前駐馬時。也誰巾服入然疑。地雖咫尺猶千里。更卜春風野外期。</text>
<title>謁光陵途中拈韻。眎隨駕大臣閣臣卿宰承史諸臣聯句。在筵諸臣。左議政蔡濟恭，判府事朴宗岳，檢校提學吳載純，檢校直提學徐有防，原任直提學李秉模，原任直閣徐鼎修，檢校直閣徐龍輔，尹行恁，徐榮輔，南公轍，檢校待敎金祖淳，承旨洪明浩，李得濟，李祖承，洪義榮，李文會，史官李海淸，金履載，徐有聞，林景鎭，摠管閔鍾顯，曹允大，李東郁，昌城尉黃仁點，弘文提學徐有隣，行司直金履素，李敏輔，左參贊金華鎭，判敦寧李灃，工曹判書鄭昌順，禮曹判書鄭好仁，刑曹判書沈頤之，戶曹判書趙鼎鎭，漢城判尹金文淳，吏曹參判李秉鼎，刑曹參判李在學，大司憲李鼎揆，行副司直沈煥之，朴天衡，吏曹參議徐邁修，前承旨林濟遠，李家煥，金孝建，李冕膺，兵曹參知兪漢謨，大司諫柳焵，校理金煕朝，持平金羲淳，副司果金達淳，開城留守丁範祖，廣州府尹沈晉賢，楊州牧使李敏采。</title>,<text>地勢尊嚴天共大。御製。 飛騰雲岳接雲鄕。松杉儼若千官侍。臣濟恭。 羊馬長爲百代昂。聖德神功書不盡。臣宗岳。 高山流水澤同長。護陵雲木恒留翠。臣昌順。 滿瓚馨芬敬酌黃。射虎安巖昭聖武。臣秉模。 盤龍吉宅說崇岡。衣冠月出遊仙寢。臣好仁。 襟帶川淸暎晩梁。梧岫寒雲今古白。臣仁點。 漢陵佳氣暮朝蒼。翠崖日靜瞻旄處。臣煥之。 紅樹霜酣駐輦傍。水拖秋容菱鑑淨。臣秉鼎。 山因天設錦屛張。周家百世基緜遠。臣邁修。 堯燭三元道煒煌。禮樂洪䂓斟損益。臣範祖。 顯承宸孝藹烝嘗。仙林露重鑾旂戾。臣漢謨。 御路塵淸駟驖彭。千姓歡欣臨羽衛。臣天衡。 萬峯廻合拱飛翔。山靈永護佳城閟。臣有防。 聖澤尙流至治香。寶籙緜昌基積世。臣頤之。 洪功煕洽仰巡方。周原瓜瓞餘庥永。臣文淳。 夏業苞桑聖緖昌。匝野歡情瞻羽葆。臣灃。 夙齋宸慕薦圭璋。香烟靄靄方容與。臣龍輔。 朝旭曈曈且未央。石嶺紅雲浮彩仗。臣允大。 珠丘瑞靄擁玄堂。髫黃載頌知遺澤。臣敏輔。 楓菊交輝屬序芳。霜露年深愀漢寢。臣華鎭。 麒麟苔老感堯墻。衿韋幸値凝鑾屆。臣鼎鎭。 士女欣瞻大旆颺。從古葱蘢稱鄠杜。臣鍾顯。 至今盤踞壯關防。千年象設誠慳祕。臣東郁。 九月龍旂選吉良。恩浹黎元無遠邇。臣鼎揆。 政先蠲薄有裁量。秋登野戶皆含哺。臣焵。 地近京城不宿糧。一路民情欣管籥。臣在學。 四郊秋事慶倉箱。滌場時節重陽後。臣濟遠。 經蹕山川卅載強。盛烈高岡天作對。臣家煥。 厚仁公姓世繁行。禮成三宿回鑾蹕。臣文會。 秋淨千營煥鳥章。老柏連雲知閱世。臣義榮。 餘禾棲畝認經霜。地因佳兆留祥靄。臣冕膺。 天爲令辰住晩凉。駐蹕仍知民所幸。臣孝建。 頒題更見士思皇。天門金榜分龍虎。臣祖承。 樂府雲韶舞鳳凰。翠輦昵陪奎壁彥。臣明浩。 錦衣齊簇羽林郞。雲麾大纛停畿甸。臣得濟。 天策中權匝禁廂。蹕路蠲徭符昔漢。臣敏采。 華封祝聖喜今唐。格誠天已滋甘露。臣晉賢。 飫德人如醉蜜糖。擁路笙簫隨鳳輦。臣煕朝。 飜雲旌旆耀龍驤。虞廷賡和多髦駿。臣羲淳。 周雅歡娛有鰋鱨。恩綍從天方競喜。臣達淳。 雲臺卜日亦云臧。朱絃疏越伸堯慕。臣有聞。 蒼籙潛周詠洛泱。林靄繞旌排錦繡。臣景鎭。 松聲迎駕奏笙簧。勞民綸綍敷天澤。臣海淸。 滿壑楓杉暎日光。古寺猶傳宸翰閟。臣履素。 新篇昭揭聖謨彰。民田舊穀蠲常賦。臣履載。 輦路嘉禾記上祥。供頓申嚴巡左輔。臣有隣。 旌旗信宿次維楊。校亭樹帿明紅的。臣鼎修。 行殿臨軒儼黼裳。萬物光華欣得得。臣行恁。 百靈先後護洋洋。歌騰禹野民情悅。臣榮輔。 帝眷周山國祚康。攀和雲章慙倚馬。臣公轍。 欣隨日馭欲飛韁。豫遊必度瞻遵古。臣祖淳。 謨烈昭垂協秉陽。瞻仰靈園餘慶篤。臣載純。 萬年洪業啓无疆。御製。</text>
<title>貞明貴主宅。設靖惠公延諡。詩以寵之。命內閣臣。賷示主人領敦寧。二首</title>,<text>傾都珂馬暎朝霞。喬木千章大主家。賢尉典型如可見。中堂華髮對黃花。尙憶先卿致仕時。箕疇五福摠兼之。天官是日宣嘉諡。依舊門闌百祿宜。</text>
<title>御春塘臺。試抄啓文臣製射。自集春門。召泮儒。設朝食堂。命題試取。拈東字韻。使在筵諸臣。聯句。每拈一韻。應韻而對。隨賦隨書。軸旣滿。予遂占一句以完之。命閣臣揭板于摛文院。在筵諸臣。檢校直提學徐有防，原任直提學李秉模，檢校直提學朴祐源，原任直閣徐龍輔，尹行恁，檢校直閣徐榮輔，南公轍，檢校待敎金祖淳，承旨金翰東，史官李海淸，弘文提學徐有隣，新舊選抄啓文臣曹允大，李翼晉，李錫夏，金煕朝，宋祥濂，李相璜，申潊，沈奎魯，徐有聞，尹寅基，沈能迪，金羲淳，安廷善，申星模，宋知濂，李羲甲，鄭魯榮，韓用鐸，嚴耆，金達淳，洪秀晩，尹行直，金煕華，李弘達，權倚，沈鎜，閔致載，直講金禧燮。</title>,<text>紅日曈曈上苑東。蓬萊仙闕接芹宮。臣相璜。 朝盈簪笏仙班整。露拂旌旗瑞液瀜。臣錫夏。 翬桷參差縈曉靄。鸞笙宛轉度微風。臣羲淳。 衣香日接瑤墀下。花氣霜含錦帳中。臣公轍。 暇日宸遊千仗簇。如天寶座五雲崇。臣翼晉。 黃花冉冉天容靚。丹扆深深御氣通。臣行恁。 仙樂欲成香細細。法醪初酌露濛濛。臣龍輔。 山光倒瀉三池碧。林色全逾二月紅。臣祖淳。 珮響鏘鏘登殿陛。爐烟裊裊繞簾櫳。臣煕朝。 虬壺日永銅籤轉。雉扇雲開寶幄窿。臣奎魯。 醉德皆知深似海。頌恩還復競呼嵩。臣倚。 弛張大道亭名德。游豫宏謨閣有豐。臣翰東。 聖代拔茅皆造化。明廷入彀摠豪雄。臣有聞。 才高白戰開文壘。道貫紅心契極翁。臣用鐸。 物物均霑恩雨露。人人同在大帲幪。臣鎜。 呈祥昭代聞鳴鳥。展步長楸愧逸騣。臣星模。 化洽天鳶來庶士。詩登苹鹿有歌童。臣煕華。 唐宮賜醞佳辰屆。周簋宣餐異渥洪。臣行直。 滿椀雕胡兼籹餌。登盤腒鱐雜葑菘。臣耆。 樓臺迥接深嚴地。文武同歸樂育功。臣祥濂。 矍圃揚巵慚備耦。柏梁授𥳑愧求蒙。臣羲甲。 雕蟲詩豈成叉手。穿鵠才難驗反躬。臣知濂。 文豹便蕃紆寵錫。山龍肅穆仰淵衷。臣魯榮。 頌騰岡阜祈千籙。歌和雲星抃百工。臣寅基。 位倂君師恩蕩蕩。敎兼儒武樂渢渢。臣廷善。 抽黃競詫毫揮玉。浮白堪嘲酒似酮。臣致載。 周序敎多時鼓篋。虞賡榮溢可傳筒。臣能迪。 知時度曲三淸鶴。得意排風數陣鴻。臣有隣。 五畤休祥來漢馬。二南歌頌賦周螽。臣有防。 仙墀日耀龍旂轉。禁樹霜淸鼉鼓韸。臣達淳。 御路無塵淸蹕緩。天顔有喜近臣同。臣海淸。 金塘水暖魚於牣。玉殿風微鳥不𪀚。臣允大。 濟濟靑衿同遠邇。洋洋玄澤及昆蟲。臣禧燮。 臺臨魯泮聞絃誦。節屆邠郊稔黍穜。臣秀晩。 一代文治開紫洞。千年茀祿自蒼穹。臣弘達。 烟霞蓬島淸秋晩。詩酒筍班聖渥融。臣潊。 東壁瑞輝搖彩筆。上林秋色試雕弓。臣榮輔。 千秋獻鑑當斯節。萬壽稱觥躋彼公。臣祐源。 歌以魚麗筵已秩。觀於燕射禮逾隆。臣秉模。 爾曹共醉昇平象。坐領池頭萬樹楓。御製。</text>
<title>贈朴判樞宗岳聖節，冬至，正朝陳賀及欽賜百幅福字方牋謝恩上行人之行。二首</title>,<text>乃叔乘槎問幾巡。煩卿又作上行人。淸名慣入燕中話。賢尉之家有大臣。所貴卿敦厚。文章肯釣譽。來時須點檢。莫帶不經書。</text>
<title>送檢校直內閣冬至副使徐龍輔之燕</title>,<text>妙歲乘軒儼老成。觀津家裏養高名。東槎定使華人重。歸橐應如去日輕。八九胷呑遼薊闊。三千里視戶庭行。今遊可作平生快。不必臨歧動別情。</text>
<title>檢校內閣待敎兼司憲府掌令金祖淳出疆日。詩以贈之。</title>,<text>五世六專對。忠勤人莫京。後繩趾厥美。今歲膺玆行。雪積曾餐苦。冰餘舊飮淸。往哉能覘國。毋負使華名。</text>
<title>內苑聯句 幷小序</title>,<text>是日御春臺。試文製武陣攷課。畫定等次。時冬候栗烈。雪花微飄。命應試武臣。持槍燔雉於前。蓋自列朝。每歲臘。必一行之。至今以爲常。昔則有鷹師供雉也。親射小的。掌革使閣臣，承史文臣之善射者及將臣陪射。仍宣饌。與之聯韻。以識其事。在筵諸臣。檢校提學吳載純，檢校直提學李秉模，原任直提學朴祐源，原任直閣徐鼎修，尹行恁，檢校直閣徐榮輔，南公轍，承旨金孝建，尹理相，李書九，李益運，史官徐有聞，李海淸，訓鍊大將徐有大，禁衛大將李漢豐，抄啓文，臣金羲淳，安廷善，崔璧，申星模，宋知濂，李羲甲，鄭魯榮，韓用鐸，嚴耆，洪秀晩，朴宗京，李弘達，閔致載。文武皆吾彀。君臣共一巵。御製。 雪輝生苑樹。寒意散宮墀。臣孝建。 旭日鑾輿出。天門鳳蹕遲。臣益運。 昵陪參耦進。欣覩四正宜。臣祐源。 劒珮華筵敞。池臺綵仗移。臣理相。 靡爭觀以德。有發獲如期。臣行恁。 神武傳家法。多能仰聖姿。臣公轍。 全籌推大衍。小的入圓規。臣秉模。 鵠舞鑾旂並。弦鳴畫鼓隨。臣鼎修。 心工元自詣。神造孰能窺。臣書九。 留一符天用。登三頌聖治。臣載純。 需雲承法讌。昭漢捧宸詞。臣有聞。 兕中添多馬。騶虞拊一夔。臣榮輔。 一堂寬禮數。三爵戒威儀。臣宗京。 授𥳑慙譾劣。賡歌樂皞煕。臣海淸。 德音歌樂矣。恩露醉蕭斯。臣璧。 翠釜仙廚送。黃包海果知。臣知濂。 奎垣傳彩筆。周衛簇朱旗。臣用鐸。 香煖金樽釅。風輕繡幕榰。臣耆。 樂哉三晝接。猗我萬年基。臣羲淳。 密邇瞻龍衮。光榮到鳳池。臣秀晩。 宏規兼經緯。大道並君師。臣致載。 討論追姚姒。淵源溯洛伊。臣魯榮。 天時方轉律。陽晷近賓羲。臣羲甲。 雨露羣英育。岡陵百祿綏。臣弘達。 飽恩叨錫爵。留什邁銘彝。臣廷善。 佇看希音作。要回俗學卑。臣星模。 侯旃編射義。風雅綴工詩。臣有大。 幸際弛張化。微姿愧盛時。臣漢豐。</text>
<title>賜提學鄭民始 幷小序</title>,<text>是日何日。天地日月之之德之明。於戲不忘。所謂伊人。扶危持顚之之功之勞。俾也可諼。星霜多易。覩聞寖脩。嗟豕突之有漸。幸馬燧之獨存。詩以言志。遙寄周南太史。擎天危節憶琅函。此會年年臘月三。薄酹纔宣忠憲宅。喜君消息帶新柑。</text>
<title>賜原任提學金鍾秀 幷小序</title>,<text>忠憲宅宣酹。湖南伯寄詩。聊寓不忘此日之意也。卿亦阻筵。馳驛付七言一篇。許卿曾醉此筵杯。今月今辰每歲廻。可但湖南人少一。秖應東郭對寒梅。</text>
<title>癸丑三月癸丑。玉流川流觴。幷小序○癸丑</title>,<text>是歲春。將脩內閣賞釣之會。會于玉流川之曲水。識年若月若人之符蘭亭脩禊也。集禊詩六句。締成二篇。遂令會者。隨所長賦之。葩藻映林。王彬之。 和氣載柔。王羲之。 汎汎輕觴。華茂。 凝泉散流。謝安。 馥焉若蘭。袁嶠之。 今我斯遊。王肅之。三春陶和氣。魏傍。 萬殊莫不均。王羲之。 光風扇鮮榮。謝萬。 回波縈游鱗。謝繹。 眞契齊古今。王渙之。 宣尼遨沂津。桓偉。</text>
<title>李提督侑祭日。吟示在直閣臣承史。</title>,<text>玉輅東巡七月時。美人餘思隰苓詩。城南是日冠裳會。左海陽秋少保祠。</text>
