<title>畫</title>,<text>梅梢老鶴立。顧眄意何如。萬里秋空闊。飄然逸翮舒。</text>
<title>挽權來應 龜煥○二首</title>,<text>老松瘦竹魯溪濱。蕭灑茅堂有主人。人去堂空松竹在。暮天寒月見精神。如公竆獨不須悲。從古文人命道奇。百世能伸追遠慕。也應無憾九原歸。</text>
<title>曲江新榜進士李君孝相。卽吾同宗也。赴聞喜筵。鄭進士晦而吟近體一首以示。忘拙和呈。</title>,<text>紅蓮十丈見烏頭。老眼分明宿霧收。樽酒客霑明主渥。煙花僮奏太平謳。長郊草色聯衫翠。九曲江聲和篴流。兼得座中交誼好。暮年歡笑一場遊。</text>
<title>挽李公亮 鼎寅</title>,<text>蓬島變桑舊號留。地仙來自雪山秋。故家詩禮傳長物。浮世功名笑附疣。一樂曾非南面比。多孫又是子儀儔。韶顔不似塵寰老。雲轄還應閬苑遊。向日芳馨聯棣萼。幾年零落盡山丘。八旬華甲無疆福。九夜行裝不足愁。只有山陽歌一曲。更添䪥露淚雙垂。君居康社新移井。我宅臺庄近辨牛。老去身家偏臲卼。邇來情地倍綢繆。靑山不盡收知舊。白雪誰將更唱酬。龜社相邀成故事。虎溪佳約自今休。梅牕有信回春意。蓬巷無心出白頭。可喜藍田多寶樹。不關冀北老華騮。漳濱蒿里違相送。江樹應含別恨悠。</text>
<title>南進士子雲，崔進士景至 南復 來汶亭。子雲次板上韻要和。余與景至繼和。時則壬戌暮春旣望也。</title>,<text>暮春者汶上。靑眼爲君開。談席慇懃合。詩筒絡繹回。佳期難再得。歸意莫相催。明月今宵在。何愁白日頹。</text>
<title>乞得梅友來。植階上 二首。</title>,<text>倚杖柴扉靑眼揩。一株瓊樹伴童來。慇懃老子栽培意。要見寒葩雪裏開。從我新基更有誰。梅兄知己許相依。吾儂晩計於斯足。莫恨門前人跡稀。</text>
<title>挽李持國 鼎扶</title>,<text>蘧然中夜夢。分明故人儀。若非黌齋會。定是禪社期。團圝文酒席。歡如平生時。喔喔一聲裏。驚起涕沾髭。可憐吾持國。儕友雅望推。名贒故家裔。淳默好天姿。孝友源百行。詞翰又重之。其器非不利。荊圍柰數奇。元無必得心。何曾到老馳。到老猶不倦。案上書與詩。詩書爲長物。傳之有兩兒。鄕里罕見面。園圃足自怡。優游以卒歲。微斯吾與誰。託交三十載。襟期許相知。相逢討論處。不是拍肩嬉。及此同衰暮。非復曩時隨。十里雲樹隔。動輒時序移。那知人事變。奄忽至於斯。半百非仁壽。一疾竟難醫。同堂聞喜席。還聞屋呼悲。贒門稠疊痛。昨送承宣輀。慶弔相洄泬。遠近所同咨。此行將卽遠。便成千古離。白首人間友。悲不幾時遲。夢寐知不虛。應是發於思。屋梁落月吟。聊添䪥露辭。</text>
<title>挽崔孝如 璥</title>,<text>忠贒奕世好家聲。六十光陰老太平。竹塢課兒書滿架。棣床湛友酒盈觥。華梁賀燕三春晩。仙路歸驂白日驚。雲樹多年仍此別。上元明月若爲情。</text>
<title>謹次孫肅玉家傳雞川君御賜三寶韻</title>,<text>霄漢恩波滴水分。玉龍呑下雞川雲。墨池雨露流餘澤。故宅彬彬幾世文。右硯滴天上琪花瑩不斑。何年結子落人間。勳盟不重黃河帶。一串纓珠報寸丹。右珠纓弔詭神鋩或躍如。飛飛學得化龍魚。何如一片君家寶。十世恩光照有餘。右刀子</text>
<title>次鄭進士晦而韻</title>,<text>男兒同老太平辰。湖海逢場氣槩伸。半世襟期猶淡泊。三春物色更淸新。光陰惜我愁中遣。學業多君妙處臻。暮境偏深雲樹思。便風無惜寄音塵。</text>
<title>弄孫歌</title>,<text>笑矣乎六十五歲翁。如今始見兒孫生。翁抱兒孫坐夕陽。無限欣喜情。旣而長歎發一聲。待兒成長日久矣。翁已去佳城。去佳城亦何嗟。惟願兒孫無恙長。他日學業成。</text>
<title>忍窩族父得藤木杖一枝。頗有奇文甚愛之。詠一絶以示。忘拙和呈。</title>,<text>登軒驚卻蜿蜒蛇。熟視孤藤戶外斜。九節遠從仙鶴洞。輕身不待喫胡麻。</text>
<title>家有柏木杖。無文彩可觀。惟取質直。仍復吟呈忍窩族父。</title>,<text>文章未有近龍蛇。天質猶能不曲斜。好是夕陽村巷裏。相隨步步訪桑麻。</text>
<title>從弟嚮五回甲吟 四首</title>,<text>四老人間三百年。蒼顔皓髮一行連。仙風敢擬商山隱。自笑同堂四老圓。孤露餘生幷七旬。白頭相對血霑巾。至今風樹無竆慟。吾輩還爲久視人。大抵乘除分有常。莫將貧困怨蒼蒼。向令吾輩能安富。未必如今共此觴。閱盡風霜半百年。人間萬事已知天。從今活計應無幾。祇有殘書數十篇。</text>
<title>次曲江倅文會韻 幷序</title>,<text>曲江李倅得江設文會。相邀甚勤。余與南止淵仲殷往焉。觀其所居。軒外鑿池種蓮。其中作小亭以壓之。亭傍設假山像金剛山。又鑄銅成筒。懸流作瀑布聲。坐間取蓮葉酒一封以進。眞吏隱風味也。試士後再宿而歸。歸後李倅以四韻詩見贈。遂忘拙步謝二首。江城吏隱簿書稀。君子新亭耀彩輝。㶁㶁筒流檻掛瀑。薰薰葉酒酌含馡。千秋慶節仍開席。十載幽蹤暫出扉。秉燭連宵未盡興。夕陽驅馬遲遲歸。杜巷深深人跡稀。海天梅月送餘輝。金雞古樹欣傾蓋。玉井新華好襲馡。東閣日長開藝苑。西峯地縮對禪扉。至今夢寐煙霞趣。疑是身從別界歸。</text>
<title>詠懷示烏川童</title>,<text>此物元非道所存。求師何必我之門。向來魚魯粗分別。老去精神太半昏。脩束固辭還迫切。經帷強說柰支煩。人家好子能無誤。患在爲師古聖言。</text>
<title>挽權同知 昌祚○進退格</title>,<text>積善工夫巧鍊丹。君看八耋駐童顔。眉齊老婦重回禮。頭點兒孫每問安。詩酒風流非俗韻。紫緋華秩是仙班。人間三達將安倣。悵望雲車向汗漫。</text>
<title>挽蔡子文 奎</title>,<text>皚皚山色遠囂塵。處士幽庄竹樹鄰。長枕白頭同氣友。一床黃卷古人親。荊圍落拓關時命。農圃逍遙任素貧。從此海山遊賞路。樽前誰復倒迎賓。</text>
<title>次趙同知 相抃 回榜宴韻 二首</title>,<text>上甲蓮華籍。重逢上甲年。靑衫恩復帶。黃髮畫堪傳。再擧呂巖客。三尊洛社贒。仙風餘百世。松鶴覩爭先。靑年司馬客。白首更靑年。北闕重華照。南闈舊榜傳。已優天畀爵。何恨野遺贒。君子無疆壽。重重甲後先。</text>
<title>挽李潭陽 憲儒○二首</title>,<text>雞林仙鶴洛江臯。蘆荻蒼蒼歲月遙。胡不歸來歸碧落。夕陽華表謾招招。黃驪逸足擬靑冥。百里殊非遠到程。十載專城俱慶養。斑衣墨綬亦云榮。</text>
<title>挽李養重</title>,<text>世人榮君靑雲路。柏府淸華近蓬瀛。世人榮君五馬駕。松都名勝古王城。別有平生故人爲君榮。不在靑雲路五馬駕。只在塞北三千風雪程。人生顯達浮雲耳。誰知聖明恩譴庸玉成。嶺海自古多君子。七十生還亦云亨。逆旅可是無餘憾。送君何必涕霑纓。</text>
<title>挽鄭進士文希 夏濬</title>,<text>杜巷白頭西望哭故友。傍人還笑白頭癡。渠且同歸無朝暮。何暇更爲他人悲。此言大抵達於理。此老非不知。可柰一日未作同歸客。不爲斯人哭之慟慟爲誰。斯人卽我平生知己者。奕世贒門生此好箇姿。旣有好姿重以詞華美。雅望曾爲儕輩推。浮世功名元有數。小得奚論蓮一枝。好是菟裘傳守地。肯構精舍紫湖湄。暮境非關人世事。一壑煙霞聊自嬉。案上經訓竆究處。故家風韻餘塤篪。詩禮靑氈且分付。庭畔寶樹次第奇。吁嗟非龍非蛇今之歲。斯人之壽止於斯。卻憶靑春託契始。東廂委質近我一門楣。夤緣華旆源源到。握手逢場頻有時。娓娓論討輒忘倦。臭味不啻蘭與芝。年來衰病苦相阻。一嶺雲樹懸懸思。前秋一札寄竆巷。滿幅無非慇懃辭。苦待淸和好時節。扶杖盤旋是前期。卽今正是淸和節。好鳥嚶嚶芳草 缺。云胡人事忽已變。滿目風光增凄其。千金舊札尙在篋。一字一涕空垂垂。老無新知舊交凋已盡。踽踽人世將何爲。靑山底處埋玉樹。羸病無路送靈輀。長號一聲嗟已矣。他日相逢只在九夜逵。</text>
<title>挽李都事 憲愚</title>,<text>漢樹蒼蒼漢水連。招招䰟魄洛江邊。洛江亦是非吾土。䰟兮歸來歸雪川。一本兮作魄。來作歟。</text>
<title>次甲山孝婦閣重修韻 二首</title>,<text>誠孝須看倉卒時。頑童誰使惻然悲。曹閭不待黃絹解。絶好蠻書六字碑。欽慕芳聲自齔時。古閭風雨每過悲。玄孫肯構誠冞篤。從此生光數尺碑。</text>
<title>挽趙同知</title>,<text>童顔不學鍊丹仙。積善陰功紫籍編。松鶴風聲非俗韻。樵漁興味是家傳。陞資寵渥追先世。回榜榮名壓少年。昨夜忽驚南極晦。人間三達更誰全。</text>
<title>丁卯三月三十日。訪鄭南窩季常 東弼 於溪堂。一宿而歸。於其別也。留贈一絶。</title>,<text>忽聞此日春將去。急向山中訪故人。相見故人一笑語。不爲虛度今年春。</text>
<title>次孫肅玉追詠玉山會韻 幷小序</title>,<text>前歲臘月望。與江東西八九老。會話于玉院。而會中無金谷酒令。是蓋急於談討。不欲令人聳肩撚鬚作苦澀態。亦澹然眞率底意也。歸後竊欲以數句語傳筒。追補風流欠事。而緣頹惰未果。肅玉先獲焉。豈不欣倒歎賞。謹次瓊韻以呈。第驪龍鱗甲。非頷珠之敵。此則惟在君恕之也。長吟雲樹守空堂。歲暮佳期一會場。九老閒情明月夕。大贒遺躅紫溪陽。猶疑洛社風流席。不羨蘭亭水曲觴。卻笑向來年少事。漢城風雨共奔忙。</text>
<title>又以別後思想之懷。吟成一首添足。</title>,<text>悄然回首紫溪堂。三宿團圝一夢場。俄者林巒飄白雪。卽今時節轉靑陽。若爲知己重攜手。相與論文輒倒觴。賞及良辰須勿失。春光如客每怱忙。</text>
<title>謹次屛庵盧公 奉天 殉節時韻</title>,<text>忍說崇禎赤鼠牛。大明臣子一天羞。兵前獨有詬臊口。城下終無歃血喉。湖上月來東海影。竹橋風送睢陽秋。至今激烈山河句。長使人間志士愁。</text>
<title>訪止淵溪堂。留贈主人南仲殷 景羲。</title>,<text>造物於人獨靳閒。三公易得一區難。世間難得君能得。騎鶴何須得好官。</text>
<title>丁卯除夜。兒子病劇。數日得差。因吟一絶。</title>,<text>新歲吾年古所稀。人間萬事摠非希。惟希一子尙無恙。好向庭前舞彩衣。</text>
<title>戊辰六月晦。以文會考閱事。會于玉院。孫肅玉以忌疾未參。以詩寄悵惘之意。歸後和呈。</title>,<text>佳期每欠故人同。長爲西神怨不竆。浮世希音傳白雪。高樓興味助淸風。年來媿我冬烘狀。老去多君夜燭工。安得一樽談討樂。人間萬事擺怱怱。</text>
<title>挽崔漆原 心健</title>,<text>天意茫茫未可知。斯人胡遽至於斯。英華始驗栽培理。霜露旋驚短折期。三載微官猶自效。千秋傲吏彼何爲。相逢有淚東都士。不獨沙梁一門悲。</text>
<title>挽崔君常 宗燮</title>,<text>龍山好會謾經營。此日如何送子行。一代老成儒者味。百年淸白故家聲。芝蘭可驗無竆蔭。蓮桂須看未艾榮。遲暮親朋誰復是。邇來小阮亦佳城。</text>
<title>挽東山孫丈 五首○孫丈癖於詩。尋常說話。每及於詩。故挽語亦段段提綴。</title>,<text>人間齒與德兼尊。三達三分有二分。莫道一分人爵欠。浮榮元是等虛雲。滿腔都是惻然仁。今世誰知有古人。看取明時遺佚惠。猶施凍裸與竆鱗。古人情性古詩風。好處須看淡泊中。白雪未全無和者。靑雲知己有泥翁。洪判書良浩序公詩集。東山今古較風流。絲竹何如翰墨遊。留取篋中千首詠。一生功業勝封矦。詩債人間已盡酬。鸞驂何處采眞遊。碧桃千樹琪花雨。遙想山肩倚玉樓。</text>
<title>挽孫乃貞 容九</title>,<text>黃梅細雨山陽篴。疎雅風流憶故人。浮世奔忙非我事。一生閒放任天眞。雲間已了高亭興。海上應尋閬苑春。贒季贒咸餘白首。老懷將與說悲辛。</text>
<title>擬梅湖孫公贈南寓庵體。寄濟州通判孫山甫 應虎。</title>,<text>孫山甫吾嘗聞乃祖梅湖公。有詩贈別南寓翁。寓翁舊作耽羅吏。片帆將擧溟海風。公是寓翁平生知己契。一曲峩洋分手時。是詩首尾數百字。字字寫盡無限思。當世絶唱傳樂譜。至今膾炙騷人口。我送君欲贈言。虫吟敢擬洪鍾吼。三誦遺音三歎息。爲君擊節竊有一語賀。不賀君五斗祿。不賀君墨綬拕。最是漢拏神仙界。乃祖詩中拳拳處。人生壯觀亟有稱。夙債應在瀛洲嶼。知君此行亦不偶。爲吏明時乃於斯。分明造化翁尙記。百年故家奇絶詩。故令君越層溟三千里。辦得雲間汗漫遊。男兒投筆大事業。何羨班生萬里矦。孫山甫莫永懷。我道君行得意秋。爲君賀止於此。一語更有慇懃付。借問寓翁遺化地。古州風謠今存否。</text>
<title>謹次雪坡翁換杖吟。寄贈古風一篇。</title>,<text>東有雪坡老。西有杜巷老。兩老一生交契淡如水。人世元無長物好。及此同衰暮。手中各有一杖枝。雪坡杖聞說神仙洞裏得。有椒其馨胡考宜。頎然而長鏗然響。不事雕餙磈磊奇。杜巷杖敢誇道德山中採。吾栗須吾戰兢持。巖臺閱盡風霜苦。枯瘦其形猶不斜。杜巷杖如杜巷。雪坡杖如雪坡。物主相得似不偶。尋常不許他人拕。雪坡老來訪杜巷老。一場歡笑對黃花。兩老臨別默無語。只有彼此杖。瞠然相視手摩挲。杜巷杖雪坡付。雪坡杖杜巷捐。傍人莫笑且莫嗔。不是戲嬉好博學少年。我好君君好我。時月不見相思猶黯然。况此暮境分手後。雲樹離懷倍可憐。故將手裏物。要替意中人。不妨彼來此此去彼。彼此相隨兩老身。杜巷如見雪坡面。雪坡如見杜巷面。從此此兩老出入動靜。無處無時不相見。</text>
<title>意猶未盡又呈一首</title>,<text>雪坡杖一枝。杜巷杖一枝。兩老各一杖。尋常行處輒相隨。逢場一笑遂相換。分付別後故人思。佳山麗水逍遙約。美景良辰追逐期。此杖已證同心契。百年膠漆應不變。不學世人結交須黃金。黃金多少交深淺。而况朋友之責貴善導。不啻冥行瞽有杖。于今吾輩日暮道且遠。努力前程相倚仗。媿我懦弱無效益。須君信實勤輔導。世路多艱亦多歧。指揮燥濕無顚倒。此別有意相持贈。倚杖狂歌重一唱。莫效市上掛錢行。掛錢亦已放。莫效方外荷篠植。荷篠亦云固。葛坡化龍太白解虎何足羨。摠是荒誕非吾道。千載最仰夫子杖。叩脛有警原壤夷。用舍行藏隨所遇。可誦先輩銘杖辭。屈曲不失正直體。杖家杖鄕行止綽有餘。假號杜陵何敢擬古杖引。木瓜聊以報瓊琚。</text>
<title>族弟祥應 樹發 挽辭</title>,<text>吾其忍祥應挽乎。挽者悼死之詞。祥應其果死乎。七十之老我不死。少於我二十之祥應先死。死生之理反常甚矣。吾寧付之於曠達而不欲爲祥應挽也。雖然祥應之死。終有不曠然於懷者。夫以祥應豈弟之姿。文雅之美。門親之所期待何如。而畢竟一名未遂。百竆咸萃。屢空顔瓢。再叩莊盆。繼之以積年沉痼。奄忽不救。噫噫祥應之竆。一至此哉。若乃親老而養未終。兒長而娶未及。此尤幽明無竆之痛。而遠近親知之所共悲者也。矧余親爲族從而情若同堂。年間老少而契若朋友者。烏可無一言於千古訣別之際耶。此吾所以不忍爲祥應挽。而不得不爲祥應挽也。辭曰。噫吁戲慘乎痛哉。祥應胡遽至於斯。祥應得年今五十。五十不稱夭折爲。吾今哭之還同少年夭。祥應之死絶可悲。天賦祥應亦不貧。穎脫其才端好儀。夙承家庭勸勉意。弱冠之年能文詞。吾南鄒魯樂育地。一隊士流咸稱奇。父兄倚仗曾不少。光我門闌是所期。邇來廿載巨創後。胖合連慽身世崎。蕭然白屋貧非病。二豎如何相侵欺。沉綿牀席十寒暑。眞元漸鑠肌骨羸。知命今年長逝去。萬事人間棄如遺。最是幽明無限痛。我欲言之雙淚滋。有親有親年八耋。西日看看迫崦嵫。朝門暮閭望子情。彩衣返面何遲遲。有兒有兒年已長。旭日佳期尙差池。慘慘衰服未成人。行路見之猶齎咨。亦有庭傍二三弟。敎導迷蒙知有誰。此恨耿耿歸泉下。泉下應無合眼時。親朋到底輒相弔。矧此情地如何其。相愛不曰疎昆季。晩契還如友于嬉。以我蒙昧一日長。幾多文字與質疑。無論一堂同硏槧。長記詞場共逐馳。君居况復返故庄。卻喜餘年同鄰比。有時病席躳往訊。款款情話心曲披。豈料歸期元無定。少者君先去。老者吾猶支。如今往事成陳迹。何處更覩玉樹姿。踽踽白首俯仰間。長歎吾門文運衰。庚申奪我道叔去。曾未十年君又隨。虛堂斜日少與晤。獨對殘篇無限思。楓丹菊黃九秋節。此時那堪送征輀。征輀且莫催前導。䰟向庭闈不忍辭。此老人世亦已無朝暮。別不幾時復何噫吁戲。</text>
<title>戊辰除夜。次嚮五弟韻。</title>,<text>嚮五弟近寓大朴庄。每年除夜。必來同寢餞迓矣。是歲爲狂風所戲。未得越峴。有詩一絶以贈。故次其韻二首。年來割半痛難堪。中夜時時起撫衾。浮世餘存猶散落。白頭今夕若爲心。常時離索已難堪。况復今宵未共衾。獨對孤燈無限感。君詩畫出老兄心。</text>
<title>次雪坡見贈韻</title>,<text>長日空齋睡有餘。牀頭驚卻故人書。南茶不啻傳靈草。片脯能令卻野蔬。物態閒中觀變化。交情病後識親疎。年來頓覺人寰小。安得仙區與卜居。</text>
<title>伏聞元子誕降。不勝喜抃。詠一絶。</title>,<text>海東重現彩虹禎。天佑今周慶篤生。豈待大贒聞甚喜。蚩蚩蹈舞秉彝情。</text>
<title>次徐淸汝 活 溪亭韻</title>,<text>周王仙界近。徐孺隱居深。扁額皆前訓。工夫只此心。苟能尋絶響。何恨寡知音。野老偏多羨。臨風爲一吟。</text>
<title>挽金悅卿 輝祖</title>,<text>孰謂今世上。無復好人存。須看自好老。遐僻巘陽村。此老好箇姿。一生任眞淳。儕友皆稱好。豈獨自好云。好意隨處見。流出百行源。旣有好山水。亦有好田園。逍遙以沒世。好向扶老原。昔我相與好。惜未久討論。邇來各衰暮。幾年賦停雲。常恨好顔隔。那知惡音聞。年前哭夢八。如今又送君。好人去復去。何處更慇懃。</text>
<title>庚申四月望。止淵翁以玉院洞主。要余同宿院中。是時久旱之餘。適有甘霈。吟成一絶以贈。</title>,<text>暮境懸懸思故友。旱天望望待甘霖。甘霖故友同時至。終夜無眠此老心。</text>
<title>是歲六月日。同南仲殷曁諸友。往橫溪時。塤篪集方就刊。莊閱之餘。謹次集中韻。</title>,<text>桃花古洞挹淸塵。步步尋幽石逕因。浮世七旬無暇日。別區三宿有今辰。皋比已邈藏書地。迷路誰開埴人。不朽幸看遺集印。也知吾道壽千春。</text>
<title>次崔氏孝子公鍾洞壇祀韻</title>,<text>烏啼何意白楊寒。不見空山孝子冠。風聲足聳三綱重。天理俱全一死安。閭旌幸有遺墟在。墓表嗟無後日看。於彼此乎求陟降。孱孫誠敬乃爲壇。</text>
<title>病起</title>,<text>一疾幾乎與鬼鄰。七旬翁復起爲人。起來能復幾何久。且喜殘篇更埽塵。</text>
<title>鄕飮禮後。次鄭季常韻。呈府伯李公 采○二首。</title>,<text>禮編遺敎置郵傳。鄒魯吾南聖化先。百拜德將無醉酒。三歌聲好不繁絃。偸光客席人非稱。忘貴州家我識贒。辭讓此心皆可擴。善端看取本緜緜。禮飮須觀鄒魯鄕。東隅卿月倍生光。一樽太古醇風在。百拜昇平化日長。揖讓千年君子國。威儀三代聖王庠。分明立象皆天地。政敎行看有紀綱。</text>
<title>挽權都事 昌益</title>,<text>丹山謂有地行仙。仁壽如何未百年。自古榮名多重晩。况今優爵復光先。游魚觀盡磯邊雨。逸鶴迎歸海上天。好與臺翁行作伴。故庭詩禮喚兒傳。</text>
<title>次李 之翰 壽宴韻</title>,<text>杏亭回甲設芳筵。重午良辰上巳年。靑雲紫陌雖無分。碧水丹丘信有緣。多男是福何須富。千首能詩不必仙。高戶田文賓客散。莫如今夕醉樽前。</text>
<title>挽權退之 昌愈</title>,<text>吾嶺交遊屈指誰。許君才望少年時。紅蓮一萼名還薄。白雪千莖髩忽欺。萬事羊亡臧穀路。靜觀魚在濮濠湄。幽明此別應無幾。浮世殘齡我亦耆。</text>
<title>挽李大憲 鼎揆</title>,<text>雲路孤鶱海鶴姿。百年良佐舊家耆。龍樓淸讌賡歌日。翰閣風流草制時。天地至今弓劒痛。江山自古採漁宜。寢門白首潸然淚。非獨區區爲哭私。</text>
<title>挽金丈 邦潤</title>,<text>儒雅風流一隊推。靑氈十世未全隳。襟懷坦蕩貧非病。氣貌冲和老不衰。大耋寧非仁者壽。多男自是善家祺。欲知先誼何如好。訣語須聽奄奄時。</text>
<title>甲山會中。次孫進士國甫 鼎九 贈別韻。</title>,<text>會老多康健。前期易有時。停盃分手處。相對不須悲。</text>
<title>挽權友</title>,<text>月明滄海夜。誰識有遺珠。書籍竆千古。漁樵老一隅。舊遊疑夢境。此別柰冥途。攜友魚臺計。今焉已矣乎。</text>
<title>菊</title>,<text>可愛庭前菊。老夫手所栽。金莖承露重。瓊蘂冒霜開。酒味添香絶。詩情得韻回。餘年淸賞足。更有臘天梅。</text>
<title>紫菊</title>,<text>秋華正色外。奇絶化工栽。德號眞君降。神光老子來。醉分陶令面。糚謝越娥顋。燁燁庭前秀。分明霧眼開。</text>
<title>挽武陵族 益燁○二首</title>,<text>武陵山下老。人道地行仙。期以無疆壽。如何未百年。失意暮年業。傍通亦一家。君看季主說。能令賈生嗟。</text>
<title>次崔景至白蓮亭韻</title>,<text>霞帶金華紫氣回。玉亭光景便瓊臺。浣西水檻當魚俯。峴上山門爲鹿開。境接盤龜須曳尾。名留僧社亦澹懷。仙鄕只在琴書案。何必笙歌鶴背催。</text>
<title>壬申元朝有感</title>,<text>孤露人間一縷頑。忍看今歲復涒灘。卻思齠齔攀號痛。白首那堪血淚潸。</text>
<title>懷孫肅玉</title>,<text>十里江村近。離違歲有餘。長爲痘虎窘。還與友人疎。擺脫應無累。沉潛只有書。何當時氣凈。相訪水雲居。</text>
<title>懷鄭季常</title>,<text>人在煙霞谷。長年不出扉。可憐衰暮迫。偏忌痘炎圍。黃卷存探賾。囂塵隔是非。前秋重九節。一約恨睽違。</text>
<title>懷南仲殷</title>,<text>聯枕經三夜。分歧又一年。家傳螟子娶。恩荷柏臺遷。已了人間債。眞成物外仙。桃花紅雨裏。垂釣在溪邊。</text>
<title>宗人李華宅於其先祖所植三槐下。構精舍以寓追慕之懷。要余賦詩。爲亭中故事。吟近體一首以贈。</title>,<text>忠勳故宅有三槐。玉友金昆好手栽。德蔭已從同氣發。靈根留待後人培。風聲惜未登天陛。雨澤何由徹夜臺。誰識孝孫無限感。涒灘是歲肯堂開。</text>
<title>次雪坡翁寄贈韻 與雪坡屢有水雲亭相會之約。而連有魔戲未遂。</title>,<text>佳期每失水雲齋。有數仙區一笑諧。造物豈終乖好事。明秋竹杖水東涯。</text>
<title>挽權聖晦 煕</title>,<text>人與魚臺勝。天慳紫海東。眞淳儒者味。文獻故家風。川上詩情富。樽前世慮空。浮名曾不屑。一樂久彌融。纔闋三年制。仍踰七耋隆。靑氈須繼繼。寶樹摠芃芃。泉下應無憾。山陽獨有恫。鶴姿雖罕接。蘭臭已相同。雲水丹丘渺。桑楡白日怱。有懷難命駕。極目謾瞻鴻。虛負三春節。誰招九夜中。未須悲此別。儂亦禿頭翁。</text>
<title>挽鄭嘉山 蓍○三首</title>,<text>常山齰舌是前身。聖世嘉山斷臂臣。從弟眞卿曾並美。如今父子乃三人。鄒魯吾南節義饒。百年無事久寥寥。獨靑松柏寒然後。喬木風聲徹九霄。平生莫恨未承顔。不死公猶在世間。從此靑丘千里域。秋霜烈日摠嘉山。</text>
<title>缶溪洪友某歷路見訪。一宿而去。臨別見贈一絶。卽次。</title>,<text>好客來自好門楣。白首逢場聽好詩。可惜臨分無好意。殘年不復易前期。</text>
<title>次權明應 宗洛 韻</title>,<text>水東不是海難超。尺地如何百里遙。老境謾爲孫子伴。佳期每失故人招。六塵憐我生涯泊。八景多君興味調。雲樹離懷驚歲晩。秋聲昨夜葉搖搖。</text>
<title>挽南子雲 二首</title>,<text>南厓桐樹中於琴。質直而文有古音。一曲採蓮非得意。誰憐白雪響沉沉。白頭俱是故家兒。事契非徒我輩隨。俯仰滄桑無限感。相看止老夕陽時。</text>
<title>梅花牧丹吟</title>,<text>梅花樹畔牧丹開。人道牧丹絶勝梅。若使斯言題品可。許由爲下五矦魁。</text>
<title>同忍窩族父守歲</title>,<text>今夕又當除。頹齡復幾餘。衰容羞片鏡。方法謝千梳。胷次元淡了。視昏何病諸。我論公可聽。案有古人書。</text>
<title>挽李國叟 鼎嵒</title>,<text>白首吾同儕。存者亦無幾。同吾協洽降。君與聲應是。吾於此二老。非獨年紀比。雅趣非敢倫。拙性頗相似。蓋此三人者。浮世好交誼。同得六十九。七十隔一歲。嘗聞七十壽。自古稀於世。乃於今年春。君與聲應逝。人間一大夢。怳然今始悟。才華與聲譽。君已前塵付。得失何足論。竆通何足道。獨恨衰暮境。十里隔雲樹。一場文酒會。宿約竟虛負。恬靜豈弟儀。已矣今難覩。惟有九泉下。相逢知不久。君歸見聲應。此語傳之否。</text>
<title>挽鄭晦而 三首</title>,<text>北海遺風絳帳垂。一方魚隊有依歸。人嗟亦近龍蛇歲。愁寂江樓夜月輝。浮名何必較贏輸。南省東堂一夢虛。看取自家好事業。中庸一部有圖書。烏島非奇海鶴奇。幾多車馬曲江湄。從今海鶴乘雲去。便恐曲江車馬稀。</text>
<title>挽權彝叙 東範</title>,<text>默念平生友。歷歷皆可數。孰如吾彝叙。情契深且厚。憶昔吾叔祖。奬進後學幼。君年十二三。挾冊攀戶牖。頭角我稍似。魚隊共先後。小少仍追逐。無處不相偶。荊圍與黌舍。促膝更攜袖。冄冄桑楡迫。兩人俱白首。有時相逢處。喜色敷面皺。那知邂逅疾。遽促七旬壽。浮世餘老醜。誰復靑眼覯。如君眞實姿。叔世儘罕有。怡怡奉老慈。兄弟如足手。早謝奔競場。童蒙亦善誘。頭點滿眼孫。眉齊偕老婦。一堂三皓老。鳩杖列左右。優游以卒歲。此樂無與耦。悠然乘化去。逆旅復何疚。往在淸和節。令季初度晬。我與諸老友。聯翩扶杖就。君時在牀褥。強起同樽酒。臨別丁寧語。後會期以復。孰謂當日別。遽隔厚夜九。恨不更留連。襞積相與究。吾年亦已稀。同歸知不久。</text>
<title>止淵壽席 二首</title>,<text>千卷詩書萬斛霞。山家活計亦堪誇。從今有主靑氈寶。兩綬通矦不足華。生世我無兄弟懽。陋居無水亦無山。羨君白首弟兄在。塤唱篪酬山水間。止翁回甲日。率嗣胤於丹山。仍設宴稱慶。</text>
<title>戊辰重陽日。南仲殷與朴佐郞 鼎元，孫竹籬秉魯 會玉山。僕亦與焉。拈韻得陽字。</title>,<text>風流千古足誇張。好會人間此一觴。龍山未必衣冠勝。香社無傳日月良。丹楓晩菊含盃好。白石淸泉引興長。皓首臨歧無限意。眼前光景摠斜陽。</text>
