<title>石門歸路</title>,<text>繁陰生遠樹。芳草夕陽天。白鷺知閒趣。將詩落我邊。</text>
<title>感懷詩 並序</title>,<text>臣於孝宗大王三年壬辰登第。癸巳承乏堂后。冬以憂還鄕。丙申秋。又以前職承召入京。冬例遷典籍。前後實仕。凡六箇月。昵侍威顔者。不知其幾。雖得罪流配。遠落遐荒。而觚稜之戀。不敢食息弛解。天不吊我。宮車晏駕。草野散官韋布士子。亦皆赴臨。以洩天崩之痛。而臣以侍從之臣。罪名未除。徽纆在身。無由趍哭闕門之外。北望長慟。不覺涕淚沾襟。追念往事。心肝如擣。謹綴感懷詩十首。以寓微忱云爾。隱隱深宮響午鼓。衣冠總會閤門東。須臾司謁低聲報。翠輦初臨宣政中。經筵官以午初來會閤門之外。以次列坐。玉堂上番就知事前。高聲讀當日所講書。午中上以小輿出宣政殿。司謁來跪低聲報殿座。金樞聲動玉扉啓。環佩丁當次第趍。寶座高臨天北極。篆烟雙秣繞前爐。司鑰啓門。知事以下以次趍入。纔入殿戶。東面拜。仍就位。知事特進坐於殿西。東向伏。承旨伏於殿東。北向伏。玉堂上下番坐於殿中。北向伏。翰奏伏於玉堂之後。皆屛息俯首。殿上閴然無聲。寶座兩傍。揷大香各一枝。煙氣飄散襲于衣。榻下左右。中使俯伏。形如老狐。天音洪亮誦前授。二典三謨睿思通。最是呂刑尋奧義。庶將馨德洗腥風。良久上讀前授書一遍迄。玉堂上番進讀。丙申秋。上方讀書傳。一日至呂刑罔有馨香德。刑發聞唯腥之語。天音洪亮。抑揚頓挫。有一唱三嘆之意。臣敬伏床下。不勝感激于懷。于今思之。不敢忘也。玉堂諸彥總儒臣。進讀仍將句義陳。一席雍容吁又咈。天顔喜氣動津津。進講之後。仍陳句義文義。上亦讀音釋各一遍。時時拈出以問。未嘗不虛心以聽。聖經文思出千古。憂國憂民意懇深。榻下小臣長點筆。一篇注記盡堯心。講畢。上必伸眉和色。討論庶事。或憂歎國勢。或俯詢民瘼。至誠藹然。溢於言表。臣每聽之。不勝欽歎。謹已書之於策矣。兵謀師律入神筭。薪膽雄懷鬼莫窺。直到黃龍人痛飮。千秋大義世應知。國家丙丁之禍。乃臣子萬世不可忘者也。宜乎紆謀之臣。盡瘁於內。介冑之士。思死於敵。以雪宗社之深羞。而二十年來。人心謬安。屈膝讎庭。恬不知恥。語及修攘。瞠目先懼。節義二字。爲世所諱者久矣。幸我先王聖度天啓。神武不世。大義揭日。雄心遠馳。凡所以固國安民之道。靡所不講。而至於軍政。尤致意焉。兵謀則必思修練之方。師律則必思整齊之策。慥慥焉不容少懈。雖不言沼吳之事。而義氣所激。隱然有壓乎燕齊之間。臣日伏榻下。竊仰天威。難禁慕義愛君之誠。臣雖極不武。而勇氣自倍。思欲爲王前驅。塗肝腦於草野。垂義烈於千秋。此臣平生耿耿於中者也。天心不佑。生民無祿。大業未就。中道晏駕。不能使天下之人知東國之節義。嗚呼痛哉痛哉。午漏纔終未漏下。宮陰轉陛日西馳。侍臣講罷歸南省。滿袖天香小吏知。凡經筵午時入侍。未時罷出。早晩雖殊。大槩如是。接見臣隣。亦豈一二。而只以經筵爲言者。擧其常禮也。不料黃熊入晉寢。忽聞龍馭返雲衢。光宗裕後千年計。一孝何能盡聖謨。先王以己亥四月晦。得髮際腫。五月初四受針。其日未夕而遽棄臣民。葬于寧陵。廟號孝宗。嗚呼痛哉。臣竊伏惟聖德出天。度量雄豪。凡所施設。動合機宜。雖緣氣質故。不無小出入。盖亦不世之英主也。孝之一字。豈足以形容聖人耶。然孝者百行之原。而人君之大德也。羣下之以此上號者。豈就其大而言之者耶。嗚呼痛哉。萬姓悲號喪考妣。鼎湖弓劒已藏深。孤臣獨作房家鼠。遠羡桓山破巢禽。因山復土之日。臣又不得攀哭。至痛在心。尤不能以自抑也。佩蘭兼痛杞天仄。吟病仍傷謫日長。宋玉自來搖落甚。一生唯事楚襄王。臣上未及事仁祖大王。下及今朝。方此罪廢。况又疾病侵凌。軀殼枵然獨存。已作人間之棄物。縱使一縷之息。不能早絶。前頭得蒙滌瑕之典。自知神氣已脫。撫念世事。决難陳力就列。一邱一壑之外。更無着身處。回顧平生。何能無慨然於中者。唯事襄王之歎。比古人而爲多感。於篇末及之。</text>
<title>京中諸友有書相問。且送曆日。臨紙走書以謝。</title>,<text>新曆何時下北闕。故人珍重憶湘纍。三春定苦多愁恨。餘閏今添一朔悲。右謝惠曆</text>
<title>獨坐戲吟</title>,<text>天道人心喜變移。翟公多事謾嗟悲。世間惟信惟愁恨。日日相隨不暫離。</text>
<title>追次鄭混源留贈韻 四首</title>,<text>送君歸後掩柴門。惻惻羈懷不忍言。香醑一壺詩二首。白頭那得報深恩。君去誰能叩我門。世情人事不堪言。涸轍曾蒙移海約。竆途無處不爲恩。謾說男兒胷抱寬。豈知人世有酸寒。靈均獨醒今方覺。醉裡竆愁制益難。酒戶年來亦未寬。峽天風雪不堪寒。摧毛久作籠中鳥。故國回頭奮翮難。</text>
<title>元朝 盖嘗有意於吟哢。知其不可能而逐止矣。斯錄也其偶然而成者也。否則牽帥強步。出於不得已者。甚不足觀也。其錄者何也。惡其無所用心也。孔子曰。不有博奕者乎。猶賢乎已。此吾志也。</title>,<text>孤臣去國今三載。異地逢春又再悲。村老却修新歲事。蔬盤擎進卯時巵。此以下庚子錄</text>
<title>閱靑霞權克中詩有感。率爾和其韻。二首</title>,<text>靑蘿攀樹上層碧。輕絮因風颺太空。人世但知騰蹇樂。豈知羞辱在斯中。矮松帶雪節彌礪。苦竹生崖意不悲。人世但知艱楚恨。豈知眞樂在斯時。</text>
<title>賣炭得三斗租。戱題。二首</title>,<text>課隷三晨埋木炭。卅升荒稻亦堪誇。浮生到處生涯足。愚昧元來忘怨嗟。年來黎黑上顔頰。天意要成賣炭翁。却是霜毛終不變。更於何處作秋蓬。</text>
<title>歧峙巖下石佛</title>,<text>立腳巖阿問幾年。風塵不得到閒邊。羸驂久作奔忙客。每過山前爲靦然。</text>
<title>蘆嶺石彌勒</title>,<text>千秋特立聳長身。苦節高標孰比倫。何事不尋幽壑去。却來歧路傍風塵。</text>
<title>謾題</title>,<text>纖響遏雲鶯正滑。細腰呈態柳新均。東風不識山翁老。却把繁華送慰頻。</text>
<title>謝靈珠上人送椒</title>,<text>枑樹園深凈業成。曇花生鉢眼珠明。慈悲更及江潭客。珍重山椒寄遠情。</text>
<title>贈思敬上人</title>,<text>甁錫飄然去石門。如今結夏給孤園。高僧本與人間遠。堪笑人間自不諠。</text>
<title>示安孔明</title>,<text>獵獵靑蒲間綠蘋。白鷗波暖一江春。春愁欲說誰能會。回首西秦憶故人。</text>
<title>高敞舊倅李世卿瓜滿還京。歷路來見。醉中走筆以贈。</title>,<text>君向西秦使我悲。一杯官酒強題詩。終南山色應依舊。爲問人心似昔時。</text>
<title>柳晦叔有問書。喜題一絶。</title>,<text>一札分明是舊面。廣山從此不爲遙。是非得失何須說。雙鬂蕭蕭各已凋。</text>
<title>走次金賚叔韻</title>,<text>老不區區榮利間。褐寬蔬糲亦心安。朝來村酒盈沙鉢。醮甲閒吟勝得官。</text>
<title>林婦抱病還歸。情事慘然。</title>,<text>已忍 一作慣 重泉送永去。不應生別恨沾腮。汝身多病吾年老。此後相逢政幾回。</text>
<title>詠梅</title>,<text>風霜猶未勒貞魂。珠蔀盈盈滿樹繁。縱使不宜時俗㨾。何防寂寞守山門。先脫凌霜返玉魂。幽腸亦戀歲華繁。若非來作山翁伴。何異粧梳倚市門。</text>
<title>次賚叔諸韻 壬寅年記</title>,<text>陽關三疊亦閒聲。誰向樽前動別情。錦水湯湯車嶺遠。行人到此更沾纓。右題琴腹韻 琴乃趙春卿所眄春娘之物。春卿將返洛故云。金卿病思似玄晏。趙子詩情是倚樓。古寺春風相別去。老夫惟有涕雙垂。右次春卿憶我韻</text>
<title>戲題禪要面紙</title>,<text>勤將無字誨人世。畢竟那知落有邊。最是兩忘恩與怨。古今誰更易名言。</text>
<title>謾題</title>,<text>富貴尊嚴貧賤醜。蘇秦晩覺最堪咍。呼牛呼馬從人世。千古莊生亦自奇。</text>
<title>送林魯叟赴試之行。歸路有吟。</title>,<text>馬跌車摧竟自還。關河危險夢裡酸。看君得意揮鞭去。逸足從知路不艱。</text>
<title>與李建仲偕來錦里。中路日暮。恐不能得達。約以明日作行。遂分路寄宿。旣而兒輩曰。西日尙未盡下。諸駒亦已秣矣。及此發軔。可以得達。遂催裝而作。且使一僕行。招建仲於其舅裴上舍家。則尙無聲息。想建時在其內弟家而未及到也。旣而發軔。不能中止。與兒輩冐夜還歸。馬上口號以志恨。</title>,<text>醉翁還作少年事。雪路寒更策馬忙。明日故人如問我。應知拍手笑顚狂。</text>
<title>贈朴生斗楨 並序</title>,<text>嶧陽之桐生於石上。元氣以培之。雨露以潤之。淸風以拂之。明月以照之。擢擢其長。挺挺其直。拔千尋而干靑霄。信乎天下之奇材。然必須匠石氏抱繩墨而就之。審其面勢。量其曲直。截而裁之。斲而削之。然後琴師氏取之。靑玉以飾之。彩絲以絙之。列金鴈而具五絃。然後師曠氏持之。按爲五音六律。合陰陽之道而鼓之。然後爲天下之至寶也。夫人亦然。受天地之帥以爲性。稟天地之塞以爲體。仁義中正其有也。孝悌忠信其行也。氣質易偏而物欲難制。天賦之資。鮮不喪失。必須致知格物收心養性。若匠石氏之截而裁之。若琴師氏之粧而緪之。若師曠氏之合陰陽而皷之。然後乃能踐其形而爲君子焉。若曰吾之性異於萬物。吾之材出於衆人。可不賴敎養之力而爲一代之宗。則是何異卒然奮挺以擊嶧陽之桐。而求其五音六律哉也。是知致知格物。卽匠師氏之裁桐也。收心養性。卽琴師氏之粧桐也。其德成業廣而無所不備。卽師曠氏之所以按五音和六律。合陰陽之道而鼓之者也。人之能事。至此而畢矣。生之賦聰明俊秀。拔於凡流。且又生長世家。文獻有裕。其於行世。所謂順風之呼。不加聲而響大矣。然老夫之望。不在於此。敢以嶧陽之桐終始言之。唯吾子之留念焉則幸矣。耳目聰明天賦厚。爲周爲孔在吾身。毋將一代無雙質。只作他年富貴人。</text>
<title>自楚將歸。醉題中菴壁上。</title>,<text>風霜四載意彌貞。歸日荷荷欲絶纓。從此半登樵與牧。百年長誦殺人名。</text>
<title>又題僧壁 二首</title>,<text>柳州山水本淸絶。誤被遷人換作愚。楚峽四年無一語。山靈還復笑吾儒。地僻千年樹有癭。山深四月草無靑。時時驛子揮鎌至。怒叱山僧倚屋欞。</text>
<title>折取梅花。揷之水甁。置諸案上。</title>,<text>短短疎籬淡淡粧。不敎蝴蝶逐淸香。惟宜棐几晴牕下。伴却襄翁度夜長。含章簷底漫成粧。那有薰人陣陣香。偶把一杯花下醉。山翁淸思此時長。</text>
<title>李晦卿來留四日。共論姤復之理。告別而歸。悵然敍懷。</title>,<text>小眼何曾覷至理。對君空作夏虫驚。玄談未了飄然去。離別依依不任情。</text>
<title>次尹斯文韻。贈晦卿。</title>,<text>進德唯加夕惕功。修辭豈念燁然工。收心若繫逾閒馬。日日須存腔子中。</text>
<title>夜與庵僧携酒。出松亭巖臺。</title>,<text>呼僧出定向高臺。月色層層岳色堆。濁酒數盃淸興發。放歌巖逕夜深回。</text>
<title>還菴追次使相韻。以見情。</title>,<text>收却殘身入洞來。幅巾藜杖臥松臺。仙遊非夢還疑夢。何日愁眉得再開。</text>
<title>送兒尤庵丈席 公之長子朋錫號松洲</title>,<text>蜾螺祝我最堪笑。屬願從知至意存。好 一作領 得春風座上氣。歸來傳子又傳孫。</text>
<title>醉中吟得數句。倩善貽書之壁上。因題戲語。</title>,<text>斜陽在岫雪窺戶。老子詩成寂寞中。急倩阿咸題壁上。晩來功業得新工。</text>
<title>擬贈沈仲美 三首</title>,<text>罪大吾曾賦鵩鳥。才高君復佩幽蘭。呂梁鮓甕休論險。至險無如世路難。楚峽冷冷風雨呻。天留愁恨向遷臣。寬心只有山城酒。獨醒懷沙豈達人。世上功名君已識。謫中酸苦我先知。何時拍手相傾倒。萬事同酬酒一巵。</text>
<title>欲往吊李獻納于完山。姪女送酒以爲路費。㥘寒不果。遂飮其酒。醉中戱題。</title>,<text>人之有喪義匍匐。我自形殘遂閉藏。至恨還慙成好事。餞壺傾瀉綠盈觴。</text>
<title>贈雪淳上人</title>,<text>松廣秋風曾賦詩。白雲丹壑夢中思。僧來共說前遊跡。始覺前遊總是奇。印得瀛奎古選詩。粧䌙力尠費深思。慈悲幸賴能公念。此事人間最絶奇。</text>
<title>依上韻。寄初大師。</title>,<text>淸秋曾讀擲金詩。別後厖眉入遠思。每向人間勤說道。名山名釋兩奇奇。</text>
<title>鄭混源蓄一怪石。峯巒㵎壑。歷歷可指。占隙植楓若菊若蘭若。寘諸小盆。注水盆中。水從磵壑上潤。至于峯巒。楓若菊若蘭若。藹然有生氣。眞一小玉山也。請余賦詩。</title>,<text>精神宛爾對秋尖。楓桂粧新景更添。安得半分雲一壑。去藏身世學龍潛。</text>
<title>方伯趙禹瑞到畸翁先生舊宅有作。次其韻。</title>,<text>鳳去凡禽痛莫攀。龍亡鰌鱔舞淵乾。至今唯有精神在。無等山高霽色寒。</text>
<title>夜坐命僧酌酒。仍與相酬。醉後戲贈。</title>,<text>雪月馳輝照遠林。小窓燈火酒論襟。莫言有髮兼無髮。有髮心如無髮心。</text>
<title>聞柳磬甫寄寓聖代菴。戲寄。二首</title>,<text>藍輿伊軋度山麓。風景依然更入詩。菜把▣床隨意足。何如前日倦遊時。山靈喜見曾遊客。老宿詳陳曩日情。最是上方明月下。依然珠翠叩窓欞。</text>
<title>酬守初大師</title>,<text>麻衣草坐亦心安。夢絶金階鵷鷺班。安得鞭驢尋凈界。手携名釋對孱顔。</text>
<title>龜瑞來宿石門。爲誦從伯氏來到此地詠梅之作。醉中次韻。二首</title>,<text>二月今年已着花。山中剩得占年華。秦城客返公難作。九地秦城路孰賖。二月今年已着花。山中剩得占芳華。十年不見詩翁面。遺句吟來感恨賖。原韻二月今年未着花。客來無處賞年華。風流才子歸何晩。回首秦城路更賖。</text>
<title>偶題病語</title>,<text>漢之四皓孰能致。魯兩生儒不可招。醫學亦傳要訣在。大名元自大矜驕。</text>
<title>受針</title>,<text>大針揮處意先動。赤血流時氣已消。聞道傳杯閒刮骨。關王雄勇號鴟梟。</text>
<title>高吟</title>,<text>臥病年來道益寬。每逢逆處意先安。終朝閉戶閒依枕。一縷淸香几案間。</text>
<title>盆之破者。梅之折者。人之病者三物。極是的對。戲題一首。</title>,<text>破盆移得折殘䕺。對此稜稜半死翁。與對橫枝香動日。一盃能復答春風。</text>
<title>臘月十三四。始盡四合食。自春以來未之有也。私自慶幸。記之以爲後考之地。</title>,<text>翁病能呑半鉢食。傍人驚喜共稱奇。安得神丹只一匙。驅除二竪復神姿。</text>
<title>春祝</title>,<text>辛苦年來絶吟詠。忽聞春至強題詩。新年新祝終何事。蚤死都忘病裏悲。</text>
<title>偶吟</title>,<text>臘殘猶未賦梅詩。辜負東君用意奇。安得驅除二竪子。對花傾酒詠新詞。</text>
<title>環碧堂。次贈貞娘。</title>,<text>萬事人間不勝悲。杜娘無復舊容姿。相逢環碧春風夜。共說前遊涕自垂。</text>
<title>病臥。聞徐李兩公來飮舍兄宅。走書以送。三首</title>,<text>平生最愛杜康酒。幾處琴樽逸興催。今日獨吟玄晏疾。忍聞隣舍動春杯。造物元來多戱劇。百年貧病苦相催。誰憐舊日高陽侶。獨阻春風白玉杯。未到消憂神氣亂。纔欲遣興醉狂催。楊雄未必能爲聖。高處還應在斷盃。</text>
<title>酒席送舍兄嶺南之行</title>,<text>楊柳和風黃鳥飛。嶺南千里送將歸。離愁更與春愁劇。坐對前山落日暉。</text>
<title>志玄來訪。爲贊勇珍峯於余居最奇。書以贈之。</title>,<text>天外奇峯聳翠鬟。少年爲客臥雲關。塵途十載頭將白。羞對崔嵬舊日顔。</text>
<title>題太義勸善文</title>,<text>十年未作招堤客。嶽色泉聲入夢淸。聞道臨溪營丈室。靑藜吾欲叩雲扃。</text>
<title>遞訓長後寄交代</title>,<text>半載華銜已久假。今朝報罷却凄然。慇懃更向諸生賀。絳帳從玆得鄭玄。</text>
<title>玉山窟巖。逢印戒。一乃戒兄。余見時頭髮皤如。後數年歸俗。可見愼終之難。故及之如此耳。</title>,<text>山前逢着舊尨眉。目相看各自疑。聞說一師曾長髮。世間人事劇難知。</text>
<title>環碧堂。贈竹仙。</title>,<text>謫下人間今幾春。舊遊偏憶玉河濱。誰知琴酒春樓會。獨作三淸夢裏身。譏仙好睡。</text>
<title>自南郭歸。走筆巨山昆季。二首○瀟灑二小娘。年才八九歲者。逐節按舞。極盡其態。及煕卿叔侄能唱。</title>,<text>三日名園爛熳遊。百年淸興此時稠。歸來最是難忘處。雙玉纖腰二鄭謳。自瀟灑歷過叔晦。話久出來。望見諸客登息營古亭。而不能更從故及之。高臺百尺壓淸灣。琴酒雍容樹竹間。却恨塵蹤魔障劇。靑藜終未叩雲關。</text>
<title>次從氏 以久號道林 西湖韻 六首</title>,<text>鳴榔忽復過孤山。濯足滄浪意自閒。江北江南如畫裏。暮潮初上白鷗還。側帽知應爲看山。聳肩誰識覔詩閒。恨無顧凱丹靑手。未畫當時景像還。遠心空復愛湖山。疎懶難偸半日閒。聞道楊舲江海去。烟霞輸入錦囊還。短棹輕槳蕩小舠。長風吹送破洪濤。三山此去知無遠。天外蒼茫抃六鰲。落日蘋風輕送舠。白鷗隨我戲淸濤。翻思破浪宗生志。欲向南溟看鬬鰲。西湖佳勝是孤山。天遣幽人駐此間。落日捲簾潮響急。漁郞罷釣櫂歌還。</text>
<title>寄連源督陲</title>,<text>馹騎飄然去似飛。驛亭春草政芳菲。自憐久抱文園疾。未送玉郞嶺外歸。</text>
<title>送明仲。公之弟以井。號藏溪。 獨坐書懷。別後懷思索莫。仍念夏初與仲氏分散之懷。尤覺一倍愴恨。遂次其時送別韻。</title>,<text>嶺雲千里鴈孤飛。鳴玉寒齋人獨歸。最是江村吟病處。槿籬寥落帶斜暉。</text>
<title>夏日田居漫興。復疊前韻。三首</title>,<text>江村淸曉濕雲飛。砧聲家家笑語歸。南陌田翁扶杖話。農功須與趁朝暉。右朝桑柘陰濃乳燕飛。田家少婦饁夫歸。午雞鳴罷踈籬下。門巷寥寥帶晩暉。右午山下孤村暝鳥飛。牧童吹笛逐牛歸。柴門一路緣江細。新月明如白日暉。右暮</text>
<title>廣山江亭作 二首○君明次韻。有山客却嫌高閣爽。靑藜還欲下松根之句。故更賦以答矣。</title>,<text>綺霞千疊暎紅暾。十里明沙曲抱村。高閣捲簾人寂寂。一聲山鳥下墻根。獨來高閣看朝暾。落日携筇過別村。山客歸山淸興足。綠蘿烟月臥松根。</text>
<title>又還後寄諸友</title>,<text>茅簷揮汗對晴暾。一夢淸遊水北村。遙想高樓風透骨。樹陰如織覆槐根。</text>
<title>次從氏西湖韻 巖有承旨林公息營亭。而巖上刻李參判廷夔所書。以丹塡之云。</title>,<text>錦水西邊古寺前。釣臺長鎖舊風烟。丹書寂寂仙翁去。翠壁層層落日懸。右過窟巖韻池荷香晩草離離。庭院荒凉異昔時。無復藍輿江上去。秖今衰柳使人悲。右過息營韻篆結香盤月入欞。上方僧定白雲平。山禽却解催詩意。時向仙樓送一聲。右山寺聞鵑韻</text>
<title>寄黃台叔</title>,<text>孤棲寂寂歲將晩。江月凄凄白露多。與問平生黃叔度。秋來安否定如何。</text>
<title>贈周健夫</title>,<text>吾意還應同子意。子行那可異吾行。試看南國諸山水。何處山明水更淸。</text>
<title>夜入藏溪 七月十五夜坐。呼韻各賦。○五首。</title>,<text>素月層層白鷺秋。幾人今夜作淸遊。風流最是孤山客。藜杖綸巾古磵頭。坐中有今日佳節幾人遊樂之語。初句及之。十分明月小溪秋。萬事風塵此共遊。凉夜寂寥人語靜。杖藜徐步水西頭。白露靑楓冷欲秋。瑤壇寂寂客來遊。一天明月凉如水。獨植吟筇磵上頭。離愁悄悄屬新秋。遠客今宵何處遊。遙想驛樓明月下。嶺雲寒鴈獨搔頭。塵寰三十五春秋。幾度仙區夢獨遊。枕上可成南面樂。坐愁爭奈白渾頭。山外誰飛笛一聲。滿天明月振江城。渠心只作迎神曲。翻起幽人半夜情。右聞篴次唐詩韻山色蒼蒼風滿林。梧桐露滴小庭深。誰能剗却東山頂。獨立池臺無限心。右待月呼韻庭樹風生月照林。夜深秋思竹欄深。白雲滿地山河靜。淸景依然傷客心。右翫景水確舂雲秋振林。寒蛩叫月洞門深。俯看人世夢夢裏。誰會高臺獨立心。右夜前臺獨吟雲樹曾傷會合遅。秋風更作別離詩。菊花佳節淸溪月。蓮社重遊不負期。水聲鏖枕夢來遲。吟到深更恨入詩。明發西溪相送罷。九秋何日是佳期。右將罷呼韻敍別</text>
<title>醉草 二首</title>,<text>一笛聲高小壑秋。杜娘琴操使人愁。玄霜擣盡瑤壇月。雲外驂鸞過十洲。寶瑟冷冷錦水秋。芳樽今日好埋愁。風飄玉篴和相切。江月高懸十里洲。右藏溪</text>
<title>箕城蓮亭。次李叔弼。</title>,<text>爲携樽酒近荷池。興至寧論地勢卑。會待秋風山月白。共看紅蘂送香時。</text>
<title>海佛庵。贈上人。</title>,<text>寺在雲山縹緲中。俯臨滄海一杯通。上人莫說虛無理。儒釋從來道不同。</text>
<title>次李內翰士原</title>,<text>靑綾寥寂夜如年。獨有漏聲來枕邊。遙想故人舒膝臥。滿牕紅日穩朝眠。</text>
<title>次高斗綱天卿贈朴茂叔韻</title>,<text>山雨霏霏山郭暝。草堂團聚我三人。論心直到忘言地。如在河南座上春。</text>
<title>無題</title>,<text>天之賦與豈如是。我實倀倀自取僵。少日病根消不得。夢中行事太顚狂。</text>
<title>過七松亭有感 亭在伏龍山東麓黃龍江下流。乃從曾祖進士公嘯傲之處。手種七松。因命曰云。</title>,<text>細雨輕烟迷遠洲。靑山岑寂水東流。藍輿行樂空遺躅。往事偏添後裔愁。</text>
<title>楓湖次林叔 㙔持平 韻 二首</title>,<text>一曲楓湖那忍尋。憶曾先子幾來臨。如今獨有孤兒至。說到當時淚滿襟。短鞭羸馬遠相尋。小郭依山復水臨。共陪淸談消永夜。爽然方覺洗塵衿。</text>
<title>夜坐聯句 高天卿死後。始與鄭丈相見。故三四句及之。</title>,<text>逢君今日醉昏昏。徵甫。 半夜孤燈山下村。藏溪。 萬事人間俱夢幻。石門。 生離死別更何言。壽原。</text>
<title>贈別金子成之白 敎官。號澹虛齋。享蓼溪。</title>,<text>高談聽子快河傾。三日山中慰客情。更待春風花月夜。石樓同賞半江明。來春。約會盤龍寺故云云。</text>
<title>子成更留一日。臨分走次留別韻。</title>,<text>歸來山色晩凄凄。人倚南樓惜解携。多謝天公能會意。故敎風雨鎖前溪。</text>
<title>感舊遊。寄贈金子謙 之鳴進士，大而 之聲文科 兩兄。</title>,<text>記得江南靈鷲寺。白雲丹壁舊同遊。自從弧矢相分後。閒却淸溪月一秋。</text>
<title>無題</title>,<text>欲將身世臥雲山。其奈心歸草屋間。從古聖賢悲去故。幾人能得透斯關。守靜幽人辭洞壑。道林居士托山樓。筭來勞逸還堪愧。更奈仍兼別離愁。</text>
<title>次吳善徵。贈曺渾。</title>,<text>水村迷帶暮烟痕。㶁㶁溪流繞少門。最是平生難忘處。秋香滿階月黃昏。</text>
<title>感次野望柳兄舊韻</title>,<text>萬事誰能問彼蒼。靑山無語水流長。當年此地人閒臥。今日蛛絲掩舊堂。</text>
<title>無題</title>,<text>醒時自作戰兢意。遇酒還成顚忘人。只是工夫猶未熟。敢言天賦不吾均。</text>
<title>聞玉堂藝苑春坊相和韻。次寄士原諸友。六首</title>,<text>經義詞華兩有根。鳳毛宜被鳳池恩。詩傳正始驚神鬼。氣壓齊梁掃陋昏。太史文章曾共仰。少年風采更堪論。應知授簡馳雄賦。近臘竆陰羃禁園。玉沼芙蓉好托根。新含雨露媚洪恩。天駒本不終羈蟄。朗璞元非久翳昏。顔面七年欣更覩。悲歡萬事莫須論。因君忽憶湖中客。破榻塵編臥小園。右擬呈吳尙之。余與尙之相見時。俱在布衣。其後各得登第。而俱經慘禍故云云。湖中客。指崔文伯。與尙之初見於文伯旅舍故及之。妖蟆蝕月語無根。天道何曾致怨恩。却怪冰輪俄慘淡。還敎物像漸幽昏。交分相掩微難見。積戾成灾理可論。最是玉川揮涕泗。五更寒露立空園。凍天寒日下墻根。閉直南宮亦主恩。孤榻破窓寒凜凜。藥爐茶鼎坐昏昏。皇王德業誰能挽。湖海心期只自論。故國梅花春欲動。願隨歸鴈落荒園。拙語令人冷齒根。毁非羞辱譽非恩。久拋筆硯才因退。長爲憂愁志日昏。王述平生徒自許。杜陵籌畫世誰論。神交最在無情地。岳色朝朝闖▦園。北風號怒捲蓬根。凍日凄凄亦小恩。歲暮竆陰催白雪。天寒飢雀噪黃昏。人心如面誰能識。世事猶雲不可論。三十策中歸去好。夢魂前夜返鄕園。已上丙申冬銀臺時。</text>
<title>又呈正叔，士原。</title>,<text>一出金門歲已闌。故人消息杳雲端。黃琮布武訝春夢。玉盞傳心憶舊歡。鳷鵲宮延初日絢。銅龍樓接木天寒。神仙聞道多淸興。肯遞瓊篇落世間。原韻 李士原閒居漸覺世情闌。驅遣風光走筆端。忽報故人湖外至。却思前日禁中歡。睡醒微雨踈疎下。簾入輕聲陣陣寒。莫怪容華今頓减。壯心猶在酒盃間。</text>
<title>嘉樂堂柳 泰翊 丈聞吾輩前秋竆字韻。追次以寄。謹步以謝。此以下箕城錄。</title>,<text>人間苦樂固無竆。苦地誰如簿牒叢。廵使背關皆着緊。中軍手筆亦誇功。民情可見村橋下。風力全輸吏袖中。遙想高人閒置足。林泉淸趣恨難同。</text>
<title>走次墨豪卷中韻 余方請畫石門幽居。故落句及之。</title>,<text>寧食途中三斗埃。平生不喜俗人來。晴牕忽對仙翁面。末路仍看道子才。雲盡石門衫影合。風淸花渚縠文開。故園山水饒魂夢。物色煩君剪取回。</text>
<title>去年六月十六。松倅朴晦仲，綿倅李叔弼。自錦城試所來過石門。鼎坐敍懷。其樂無比。今年罷官歸臥于此。追念去歲之遊。怳一夢。遂題長律以見情。</title>,<text>去年今日此山中。雙盖聯翩耀梵宮。官燭繞紅雲滿席。小杯浮白月流空。長沙別夢驚秋鴈。晦仲去秋罷官歸嶺南故云。 綿縣離愁寄遠筒。叔弼近走寄問故云。 勝地風光徒惹恨。獨憑欄檻思忡忡。憶曾丁酉榴花月。二使君同自錦城。佳節流頭遲一夜。淸尊握手到三更。天時回薄風光是。人事差池別夢驚。從此石門山下路。年年今日獨含情。</text>
<title>李井邑 惟禎 輓</title>,<text>遠挹高名恨阻絶。宦遊南國幸隣仁。遞書喜得瓊琚報。噫櫪欣承警欬親。微疾忽驚洹水夢。惠聲空寄峴山珉。沉疴未遂三號痛。萬事悲酸涕滿巾。</text>
<title>沈城主內夫人挽</title>,<text>明府官聯二品重。中闈封典煥隆儀。魚軒爭覩光華盛。鸞鏡俄驚朗影虧。一境士民號送處。三千車乘遠歸時。北風寒鴈重關阻。來日輝榮去日悲。</text>
<title>詠懷一首。寄鄭丈 晟。</title>,<text>罷官歸臥小山裏。閒置都因造化翁。藜杖角巾三逕凈。藥鐺茶竈一床空。天機衮衮風霜際。世事悠悠毁譽中。谷口丈人違近拜。擧頭西望思冲冲。</text>
