<title>雨夕</title>,<text>舟輕楊柳風。鷺點澄江色。隱几晝焚香。前山帶雨黑。</text>
<title>滿月臺</title>,<text>滿月臺滿月臺。屹然何壯哉。松岳山光積翠來。萬家烟火參差開。霽月影壓扶桑雲。陰風夜送瑤臺雪。珠宮貝闕幾處頹。句陳太乙生荊棘。今古行人皆指點。烈祖當年勞統合。精兵百萬白銀鎧。孟將如雲騎汗血。西海龍宮獻異祥。鵠嶺山靈暗扶護。五百年間如反掌。主昏時危天亦怒。乾坤一朝旋太平。讖歸眞人龍鳳質。日光宗社千萬載。終南漢水方妥帖。滿月臺上生黃塵。臺下毬庭蔓草綠。昔我分司守此邦。政値踏靑淸明節。彩服翩躚百尺臺。南極星光映壽席。西山夕照疾如飛。風樹聲中幾隕絶。燕雲歸路出臺下。感古哀來月東出。城上慈烏伴客啼。潸然不覺征衫濕。</text>
<title>白頭吟</title>,<text>妾家住錦里。門前錦江水。錦水碧玉流。微波春不起。日日來浣紗。江花映粉脂。沙暖錦翼齊。云是雙䲶鴦。小小不解事。戱謂同隊娘。人生如此不羡仙。追隨百年無別離。楊柳綠陰下。有客來遅遅。丹山一曲鳳凰音。使我井臼無勞心。那知季子多黃金。夢入朝雲與暮雨。寸斷心膓未言苦。千行淚洒橫塘樹。憶昔與君言。生死同泥塗。君方困滌器。妾豈憚當爐。玉燕不揷髮。羅裙任酒汚。靑帘是生涯。琴臺是樂土。賣珠成一炊。弊席掩門戶。片片縫布裘。離離緝葛屨。歡愛甘契濶。湛樂忘辛苦。大漢天子迎赤車。誰知寒谷陽春噓。鳥道相呼萬里來。長安甲第何崔嵬。龍鬚席上琥珀枕。盤龍翠被欝金香。朝天數騎大宛馬。金鞍玉勒紫游韁。女蘿何知沾雨露。葑菲永願依淸光。誰家姝子顔桃花。一曲纖歌白雲遏。丈夫恩情似流水。東流西流不可得。念昔共貧賤。兩心如膠㓒。而今君富貴。棄我如秋葉。哀哀白頭吟。聲聲貫金石。嗚呼余曷歸。長安非我鄕。錦城雖我家。何顔見爺孃。不如先朝露。魂骨歸北邙。君心與妾旣不同。但願寄君長相思。長相思長相思。雨絶蒼天從此辭。妾魂願作子䂓鳥。啼斷茂陵烟樹中。又願隨明月。月光長照君窓櫳。長照君窓櫳。妾魂長相從。</text>
<title>蓬萊文章引。簡寄白江 李相敬輿 求和。</title>,<text>君不見上帝奎壁啚書。自先天已照朗。乾坤未劈先有象。神龍負圖出河中。列缺霹靂垂淸空。伏羲蛇身戴勝愸衣繡裳。再拜受之藏明堂。又不見蒼公四眼瞬䆕。造字臺前鬼神泣。紫皇大喜雨黃金。文人學士事佔畢。日月列星風雨水火。山河草木歌舞戰闘。天下事物可喜又可愕。一一籠羅輸翰墨。蘇李何爲者。五言繼風雅。七子建安秋。赤水得玄珠。蓬萊文章爭遠發。鳳凰羽毛猉獜角。四傑鳴唐文物盛。秋天海鶴霜毛整。白也可使南面爾。子美金聲更玉振。衡山一句雲霧開。黃鸝幽草蛟龍吝。或比歸鴈衡陽九秋雲。或比啼猿巫峽三更月。或如暮江漁翁泊舟歸。迢迢雪逕緣江曲。或如商山四皓晩圍碁。丁丁子聲穿靑竹。詩聲到宋傳者誰。眉山草木空蕭索。吾友隴西李相國。妙年歷落靑雲客。語不驚人誓不休。跌宕詞林且窮格。大者無外小無內。始見連城剖荊璞。昨者贈我四首詩。未讀仙香生口頰。蓬萊氣骨眞瑣瑣。依然闕里鏘金石。余亦少奉君子敎。平生好讀詩書易。昔遊方丈八萬峯。人謂吾詩太𡷾崒。後征燕雲萬里程。人謂吾文過寥廓。釰倚崆峒千尺峯。渴飮易水波蕩潏。子長行處今尙在。望海樓前看月出。太白攬涕臺如昨。蔓草猶橫駿馬骨。首陽山賦聲摩空。乃所自作者 賈生長卿倘動色。歸來江上掩荊茅。魚鳥生涯計已足。平生一曲梁甫吟。亦所自作者 碧天無言江月白。飮中八仙疊前二押</text>
<title>蓬萊吟。贈別竹翁高城之行。</title>,<text>東溟千古六鰲霜。六鰲霜骨層雲傍。帝遣九首之天吳。忽漫積骸爲陵岡。削出一萬二千峯。峯頭歷井捫參商。碧海初褰白鵬噣。玉井浮出金芙蓉。琪花瑤草春茫茫。銀臺貝闕開重重。淸曉鍾鳴正陽寺。明月鶴唳毗爐峯。萬瀑洞中盤白石。桂花松子仙棊落。九淵千尋九龍居。白日雷霆散飛雹。天上人間兩玉京。上帝雲輧弭絳節。王喬赤松抱扇立。子晉安期香案侍。霓裳羽衣動匀天。玉女彈瑟纖纖指。酒星雲罍千日春。王母碧桃春風閑。上帝還歸十二樓。海上空有蓬萊山。竹翁平生有仙骨。五馬紫綬蓬萊間。蓬萊山下三日浦。四僊遺跡君追攀。未曉波心見日車。半夜雲表聞天鷄。年年花月衆香城。群仙鳴玉下丹梯。皆吾紫府舊交歡。風塵白首相思苦。我亦前身玉皇吏。誤讀黃庭謫塵土。塵中處處眼難開。夢裡往往遊蓬萊。君遇仙翁爲我說。漂零長作滄浪客。</text>
<title>宿傳燈寺 幷序</title>,<text>昔退之，子瞻。皆有山寺詩。夫傳燈寺。亦不佞少日讀書處也。重遊有感。詩以記之。海上靑山山一髮。削出芙蓉雪中白。九曲周遭不夜城。伽藍亦在琉璃國。僧鳴欲曉未曉鍾。山隱窺雲出雲月。平明初日扶桑來。萬里銀濤天共碧。遠客悠悠倚寺樓。指點終南戀紫極。蓬萊宮闕對南山。誰傳美人春消息。忽憶三十年前事。雪榻螢窓書萬軸。復有疇人二三子。佩酒携琴竟月夕。存亡離合夢中夢。塵跡人間一風燭。西山風氣寒更多。老衲煙茶慰幽寂。塵寰榮辱揔堪憐。富貴於我如蟬翼。朅來逍遙靜散地。何處槐安惱蝴蝶。檀仙 指三郞也 秪在翠微間。我願從之鍊金液。</text>
<title>挽柳生 生名愼五。赴擧在洛逝。</title>,<text>江南才子逐秋風。家在錦水東復東。僮如飢鼠馬如狗。千里秦京在眼中。緣道歌吟白雪曲。秋蓮欲截藍田玉。客窓魂夢竟未回。萬事人間一風燭。長安百萬富貴家。家藏金穴夸豪奢。天生書客死貧賤。冥冥報施知如何。君不見上帝高居。閉九閽誰能飛上。天訪巫咸論含寃。</text>
<title>梁甫吟</title>,<text>長嘯梁甫吟。靑天霜月懸。君不見傅岩傭夫手足腁。素指撮天誰知年。百結單衣適至骭。終歲板築聲闐闐。天子宅憂之三載。夢中之人上帝賚。物色輝映寂寞濱。儀形宛轉丹靑裡。川而作舟旱作霖。莘野老叟能專美。又不見黃金臺高高揷天。臺下駿馬馳千里。亞卿偏蒙國士恩。誓心天地酬知己。金湯七十如席捲。汶上初移薊北植。男兒際會自有時。何用栖栖長戾契。昔者唐時李太白。文采風流謫仙子。正値糟糠養賢才。憔悴風塵不得意。古來英豪遇不遇。歷叙一篇悲吟裡。騎鯨上天何怳惚。釣鰲東海徒爲爾。余謂富貴與名利。安能局束天下士。古書千卷在虗榻。江城濁酒療飢渴。閉門終日詠詩史。蘆花水落聞漁笛。肥肉大酒列鼎食。何似月露風雲駈入筆。三行紅粉献歌笑。何似秋江天一色。紫燕騄駬坐生風。何似倒流瞿塘峽。繁華豪蕩一夢中。大冊高文傳不朽。是豪傑梁甫吟浩浩乎。更敎童子沽一壺。幽禽隔樹綿蠻呼。</text>
<title>猛虎行</title>,<text>朝作猛虎行。暮作猛虎吟。憂端豈翅齊終南。愁心請量東溟深。千年宗祀失太平。乾坤漠漠無光晶。靑山尙帶烟塵色。漢水西流嗚咽鳴。紫極有堯舜。黃閣無阿衡。我聞昭烈急賢良。三顧隆中得孔明。奸雄爇鬚赤壁風。雄圖鼎足開蚕叢。南征之役北伐勞。伯仲伊呂失蕭曹。又聞朝歌屠叟載後車。八十磻溪釣玉璜。平生志業在經綸。風雲忽遇周文王。昔日溪山麋鹿友。誰識牧野鷹揚父。上世黃帝征蚩尤。注意將相非常人。淸晨占夢大物色。得致力牧風后臣。旋乾轉坤勢莫當。白日雷霆開八垠。聖帝扶搖在羽翼。今時滄海遺明月。我欲攀龍上九天。靑雲無光閉閶闔。有時中天瑞日明。群仙正笏鳴寒玉。雷公張目震天皷。雨師屭贔天河折。不如歸耕浦淑田。沾酒時上漁舟眠。滿江漁子側耳聽。聽我長歌歌一曲。秋江千里兮天一色。兩岸蘆花兮飛白雪。虗舟獨泛兮望北辰。星斗闌干兮霜月白。天容月色兮本淸澄。莫遣微雲兮暗點綴。江村老夫兮錯料事。黎元幾時兮莫枕宿。醉後高歌兮聲激烈。五更江風兮更颯颯。</text>
<title>玉壺吟</title>,<text>玉壺酒百壺。風流公子開呼盧。吳姬三疊白苧詞。芙蓉楚舞香風吹。何人拔劒擊玉壺。一曲長歌千古心。昔登燕雲首陽山。俯視萬里滄溟深。澗谷猶存舊薇蕨。宇宙淸風飛綽綽。空山白骨收不收。靑史惟傳事高㓗。萬古綱常賴不墜。節義堂堂懸日月。更登百尺黃金臺。昭王一去餘城郭。當時忽得駿馬骨。義士繡衣霄漢立。太山琅瑘萬乘齊。千里霜風掃落葉。八百富強輸蓄積。五覇以來功未及。古者靑蓮李翰林。蹉跎老作漁陽客。攬涕金臺哭昭王。更向並州寄人食。自負四海凌雲才。白玉擊壺歌激烈。我甞好讀靑蓮詩。又笑靑蓮急聞達。人間自有天下士。天實爲之一飮啄。君不見董江都。白首下帷窮八索。君不見揚子雲。太玄經成牙齒缺。我亦心莊萬古書。吁咈都兪自磊落。簞瓠契濶任瀟洒。扁舟夜溯山陰月。但使文章照千卷。軒冕功名一蝴蝶。醉後長歌擊玉壺。碧落茫茫白日速。</text>
<title>胡琵琶</title>,<text>君不見胡琵琶高二尺。客夜聞之隔暗壁。挽衣推枕更燃燭。使抱琵琶來入室。辭云頭上髮不在。大官之前難唐突。余亦不再喚。一任喧呼恣挑撥。丁東丁東復丁東。直至中宵猶一曲。旣無宮商角徵羽。安有懽悰與感激。此夜方丈之山人。良久噓噫又怵惕。樂有君臣賓主位。入國聞樂知其德。古昔之樂猶今樂。奈何嘲啾未成闋。吾聞音樂與化移。聊倚琵琶卜淸濁。愀然心語涕泗下。莫比司馬靑衫濕。</text>
<title>悲歌行</title>,<text>悲來乎悲來乎。乾坤百代一逆旅。白壁黃金亦塵土。非癡非狂誰氏子。金穴銅陵專雨露。悲來乎悲來乎。西山紫薇歌一曲。孤竹淸風吹萬古。四蛇入穴龍返淵。綿山火起鬼無股。澤畔詞賦傷春心。懷沙影落淸江潯。楚氛壓城城欲摧。黃屋左纛活君父。悲來乎悲來乎。草廬感激三顧恩。五丈秋風燈一炷。睢陽城外陣如雲。所欲忠者國與主。靑城抱帝李侍郞。燕山全節文丞相。崖山一片宋宗社。八尺身沉滄海浪。悲來乎悲來乎。有人小少學書劒。一代屠龍不多讓。目如明星舌如電。吉甫何能獨文武。崑崙太山一蹴倒。欲令日月低秦樹。風塵荏苒歲律暮。壯志輪囷成白首。松窓竹榻萬卷書。風月江湖一樽酒。自憐葵藿傾太陽。獨上危樓望北斗。况今朝野久旰食。斯民幾時登春臺。他年若補帝舜裳。唐虞天地可挽回。悲來乎悲來乎。長歌一曲聲激烈。悲風颯颯從天來。</text>
<title>笑歌行</title>,<text>笑矣乎笑矣乎。古有箕山二老叟。或洗帝堯言。或牛飮上流。泥塗軒冕富貴雲。萬乘何如水上漚。世間何者躍馬疾驅。懷黃金印結紫綬腰。揖讓人主前。濶步兜率蒼蒼天。朱丹車轂族可赤。八珍誰知和耽毒。笑矣乎笑矣乎。都門法立三丈木。騈脅千乘森劒戟。商於十五南面孤。爲法自弊人誰惜。東周未有負郭田。六鷄連衡三寸舌。位高金多擬王者。靑虬紫燕已車裂。嬴家一子作質兒。奇貨可居邯鄲賈。千金一賭秦山河。蚕叢鳥道魂飛苦。天門一投逐客書。六王西馳祖龍帝。咸陽市上歎黃犬。上蔡門東寄一涕。二十封侯大司馬。朱甍甲第連雲起。宮中晝寢帝斬袂。妻子爺孃同日死。笑矣乎笑矣乎。能識奇字楊子雲。平生一部太玄經。天祿終爲投閣鬼。美新竹簡萬古靑。五祚宮中受遺詔。四海安危手一握。皇帝芒刺萌驂乘。富貴冬葉終無術。銅雀臺高漳水深。春風幾時鎖二喬。老賊終移漢宗社。西陵百塚草蕭蕭。笑矣乎笑矣乎。金谷三春歌舞地。鐵椎椎碎珊瑚樹。飛花一落千尺樓。黃金白璧隨塵土。功成旋賜屬鏤劒。鬼神亦瞰高明室。五湖烟浪渺接天。鴟夷散髮棹一葉。商顔紫芝可療飢。雪頂霜髯棋一局。秋風昨夜吹吳越。蓴鱸逸興飛江南。且樂吳姬滿樽酒。不願公侯伯子男。</text>
<title>橫灘引 橫商。庚也。涒灘。申也。橫灘者。庚申也。今之守庚申也。</title>,<text>丹蓂二十八回春。冬十一月歲甲寅。寒氣栗冽雪渾山。孤村寥落白屋貧。西湖病客夜無睡。手閱詩書燈火親。就中友生二三子。論列古今談天人。忽聞處處歌鍾起。南隣北里宴席張。有酒如河肉如陵。靑娥皓齒蘇合香。彈碁六博間樗蒲。三匝象床呼梟聲。余叩友生問所以。友生長跪陳三彭。三彭安在在人腹。性質諞佞才聦明。隱然肺腑一敵國。暗記一年人所行。隱其忠孝選鄙陋。巨細大小咸羅穿。新舊之歲庚申日。俟侯午夜人就眠。翩翩飛上九萬天。密邇玉皇香案前。參差陳說極讒謗。舌端滑稽天河傾。上帝嘉乃餉酒食。獜脯鳳臆皆縱橫。天鷄催曉還舊居。自誇貝錦能事成。不日人間有禍孽。人謂三彭之所致。莫若張燈秉明燭。嘲諧謔浪無今寐。今夕何夕舊庚申。貴賤奔波爭事事。余謂天地有正道。道之謂何惟一理。伊昔大舜氏爲天。重瞳明四聦達四。一朝四罪天下服。玉燭精光照天地。又聞禹收九牧金。鑄出九鼎泗水邊。深山大澤人可入。魑魅魍魎莫逢旃。洪惟上帝尤明聖。日月爲眼行光明。下土纖毫盡洞燭。豈借一虫指亂鳴。古有窮奇不孝子。飛廉惡來不忠臣。高堂夙夜廢定省。宗社存亡越視秦。盜跖日日殺不辜。聚倘千數能橫行。管趙百日囚主父。雀鷇未飽沙丘城。蒙澤誰招閔公魂。楚江浪拍昭王舟。阿房宮中鹿爲馬。祖龍帝業隨東流。漢宮臘日椒酒香。五陵佳氣淸如水。六尺皇帝識跋扈。將軍蔗餠弑天子。長樂春風三月暮。一杯蘭陵飛鴆羽。魏官收璽伏皇后。山陽涕淚零如雨。吳宮案上魚隱刀。曹王車下血沾戈。子雲識字終投閣。弘羊心計事主家。南風吹塵暗城闕。金墉城中天日隔。伊洛氊裘亦射天。萬乘靑衣又執戟。隋家畜生㝡無禮。黃昏忍有同心結。錦襁兒倒太阿柄。翠華隊仗登劒閣。天津月白子䂓啼。四海靑苗危社稷。格天閣上弄黃柑。崖山日舸沉雲黑。又聞孔孟老于行。顔子簞匏濱飢渴。尾生抱柱死不去。伯奇赤足履霜雪。西山紫薇萬古春。楚澤離騷懸日月。黃屋左纛王出城。一蛇割股龍不飢。廵遠文山立人紀。昭乎日月山巍巍。堂堂道理冠萬古。君子守之安敢違。善惡之報或差池。此皆皇天未定者。善善惡惡郭公亡。烹阿左右威王覇。吳王能卞蜜中矢。漢帝明見萬里外。矧天普覆率土濱。生長肅殺恩威大。或時星隕如折漿。無非叱喝誅姦強。三彭讒佞縱萬言。定知天不來汝昌。不如高枕爛熳睡。當令鼻息如雷鳴。須臾客去余就寢。夢裡上帝諭丁寧。靑衣仙子御冷風。笙鶴一聲來蒼空。金支翠旗光有無。儀形縹渺語琅琅。朕居十二白玉樓。俯察下土之毫芒。人間善惡皆會悉。惟有至人神明通。今聞爾言意義正。蚩氓迷惑可啓蒙。第有巧舌不可測。慈母投杼市有虎。以此下土失太平。誰將讒夫膏齊斧。人寰至近上天遠。曷遺至近談玄穹。塵世由來足萋菲。閑花細草皆冲冲。百拜稽首忽遽然。杲杲朝日生於東。</text>
<title>寒食行</title>,<text>東風吹綠王孫草。長安紫陌春光好。東園渭橋樂遊原。長笛梅花何處樓。江南遠客家萬里。離懷渺渺連滄洲。天涯春意已闌珊。澗谷無人覘泉脉。世間苦樂多如髮。誰憶綿山刲股客。豺狼滿國龍在野。公子間關十九年。四子還家盡錦衣。伊人獨向山中眠。烈火燒山義士死。空敎千春作寒食。君不見紀信難封雍齒侯。肯念成臯火中骨。自古淸明有火令。千村萬落烟不起。老翁祭罷丘隴間。紙錢參差荊棘裡。五陵豪俠少年子。銀鞍金勒追風騄。日日下社闘鷄歸。暮向靑樓樓上宿。少婦手捧白玉巵。數曲嬌歌楊柳枝。</text>
<title>畫虎行</title>,<text>祖龍騎虎登五嶽。醉歸咸陽畫白額。疾風怒號天宇低。十日驪山走沙石。沛中眞人赤龍子。欲入軹道還蹜蹐。阿房大火戰沐猴。沐猴走死烏江曲。老夫平生好奇古。請一見之壯心魄。千金市來傅兩翼。赤心風頭送帝側。帝側年來多鼠狐。恠雨冒風暗坤軸。一振皇威淸入極。萬古豊年民亦得。</text>
<title>反哺烏賦 幷序</title>,<text>萬曆戊午冬。朝廷大張廢母妑論。白沙李相國抗章明倫。罪在不測。待命于南郭村舍。相國甞謂余忘年歡。故每往候焉。忽窓外慈烏啞啞飛集庭除。一坐之人。不敢言而隕涕。余乃口占賦一篇。相國曰。無令老夫。更重罪戾。吁言猶在耳。其可嘅也已。窮陰閉於大陸。北風凉而雪虐。天黭𪑓而晝晦。白日慘而無色。有窓外之慈烏。啞啞啼於枝上。殷斯勤斯悶斯。若相生而相養。或叙翼而開口。隨衆雛而蹲蹲。或聯翩而拮据。反哺養之紛紛。時窮冬之歲徂。絶焦翹之虫蟻。下家家之庭宇。得粒粒之禾黍。盡日夕而餧養。哺不足則不已。彼微禽之無知。何以知夫報親。苟有情則有辭。庸詎通之諄諄。烏於是乎如有知。請對臆而陳辭。昔二儀之肇判。先得氣者禽鳥。受至諴於上帝。不知它而知孝。念生育之恩深。期反報其洪造。年不知其幾千萬。始有人於下土。與麋鹿以同遊。何以知夫忠孝。親死擧以委壑。生豈知乎反哺。天盖高於九萬。何以馴此蚩蚩。地靈或以鐘人。亦難誨夫民彜。儂庶物之先覺。導萬民之忠養。奄民德之歸厚。風四海之綱常。故聖人之觀感。托微物而取譬。作車由於蓬轉。作舵由於鳶尾。問旬朔於蓂莢。訪節序於蟪蛄。彼人間之大孝。亦由儂而攸叙。斯大舜之烝烝。呼旻天而怨慕。𥌒允若而象欝。陶稱萬古之大孝。文王朝之日三。問起居於內竪。不安節之如有兮。憂罔極之形色。曾氏養之養志。豈徒有乎酒肉。毁瓜蔓而逢怒兮。痛定問乎氣力。夫子稱乎子騫。人不間於父母。侍蘆葦之單衣。不諸弟之呱呱。或長河之氷塞。親忽思乎丙穴。扣冲冲而得魚。纔一甞而愈疾。夫黃雀之佳味。萬乘艱於哺啜。忽數十之入幕。嗟爾有乎毋遺。或丹柰之恐落。泣風雨而攀枝。或雷霆之伏墓。恐精魄之致怕。或思親之劬勞。廢凾丈之蓼莪。日雪涕之滂沱。至松栢之枯死。或孩提之無知。夫何失其天只。周流索乎九有。俄母子之相遇。喪禮頹於五代。孰棘人之欒欒。彼晉武與魏文。能執禮而不斷。友兄弟而怡怡。不在他而在玆。求忠臣於孝門。亦匪躬之在玆。皆由儂之錫類。不其然乎不匱。何世降而俗汚。多不順乎親意。不可磯之不孝。亦愈踈之不孝。或餘飡之稱無。或親藥之不甞。或有誓於黃泉。或雀鷇之充膓。周命訖於驪山。實申伯之召戎。平忘父而德衛。詠束薪於王風。彼責善之賊恩。痕夏楚之常捫。屬乃翁之沉纊。云乘化之已晩。秋氣深於西內。多露刃之𤜻㹯。目已隱於暮雲。阻晨昏於龍樓。風霜苦於五國。絹半臂之餘馨。况韋氏之南來。盡惎毒於丁寧。帝裒如而充耳。忽聖善之明喪。倚主和之奸猜。鉏奏捷之良將。儂雖名乎禽鳥。彼以人而不如。鳳凰栖於丹穴。朝百禽於岐岨。謂梟鵩之戕親。屛不齒於羽族。苟人子之若是。恝諒不及於狘䎉。何村童之顚倒。辭未畢而驅嚇。余於是焉感發。究厥理而欷噓。噫微物之褊嗇。豈知覺於懿則。然或得其一端。服乎膺而勿失。鷹得禽而祭先。鷴隨帝而海溺。彼鴻鴈與羔羊。乃自古以有禮。能跪乳而銜恩。又行飛而知序。人禀受於最靈。情性得於太極。韙五常與三綱。作萬古之日月。何倫紀之晦塞。反天理之㓕德。或推刃於同氣。或疾怨乎怙恃。花零落於紫荊。萱北堂之蕪穢。願普天之下民。自今歸於孝德。念父母之憂疾。惜西山之頹日。愉聲音而和色。無叱咜之惡聲。冬則溫而夏則凊。昏乃定而晨乃省。追季路之負米。慕黃香之扇枕。樹欲靜而風不止。子欲養而親不待。縱禴祀之豊贍。誰得覩乎下箸。寔其親之在堂。恒汲汲而反哺。斯君子之終身。慕父母而不忘。瞻祠宇而起敬。永孝思於羹墻。迨霜露之旣降。心怵惕而愴情。苟斯言之或渝。有烏有之先生。</text>
<title>松琴賦</title>,<text>余好遊此春山兮。栖岳蓮之翠微。緇塵隔以萬丈兮。認至人之依歸。蜀魄聲之三兩兮。山月入於柴扉。林風起而瑟瑟兮。有松間之琴韵。獨披衣以徙倚兮。暗傾耳於遠近。初蕭蕭而颯颯兮。更澎湃而淅瀝。無燥濕與悲歡兮。似八音與六律。或叔夜之潦倒兮。橫玉柱而增欷。悼身世之守陋巷兮。愴時事之累碁。或相如之隱約兮。撼鯤絃於高臺。阻曳裾於王門兮。撫凌雲之奇才。或元亮之北窓兮。夢魂入於羲皇。撫一曲之無絃兮。歎三逕之就荒。或似奏於姜里兮。晝無日兮夜無月。追龍馬之負啚兮。推變化而演易。或似奏於南薰兮。藹和氣之蓊匌。帝德被於四表兮。鳳凰儀於韶簫。或包羲之創樂兮。剖嶧陽之枯桐。際鴻均之初判兮。敷二氣之冲融。或杏壇之淸陰兮。簇摳衣之三千。固元和於絃歌兮。詧上下之魚鳶。雖音韵之難律兮。亦由妙而入微。彼匏土與革木兮。又金石與絲竹。縱應律而赴節兮。詎敢比於靈籟。原草木之無聲兮。得刀刀而乃鳴。更孰使之善鳴兮。學七絃之冷冷。余於是焉感發兮。筭善鳴於㝡靈。孫吳流之善陣兮。儀秦徒之縱橫。孰擅名於詞垣兮。孰跌宕於筆精。文章伯之李杜兮。海與川之韓柳。放厥辭於瓊琚兮。主夏盟於詩壘。有聖人於其間兮。偉抱負之光明。萬古夜之日月兮。天壤間之棟梁。一擧足而作則兮。吐片辭而爲經。信其鳴之超卓兮。然不遇而老行。是天意之難知兮。奚命德之刺繆。余奉敎於君子兮。少知學於詩禮。竪赤幟於詞林兮。倒三峽之波濤。寒秦塞之范叔兮。病茂陵之長卿。將金玉之淵海兮。耐平地之風波。其善鳴與不鳴兮。係於天而奚憾。緬一丘之田園兮。依昔日之江山。少知音兮世路。卷峩洋而投閑。獨逍遙於物表兮。撫孤松而盤桓。</text>
<title>別貧賦 幷序</title>,<text>昔楊子雲有逐貧賦。韓退之有送窮文。皆以文爲戱也。若云二子苦貧賤而爲之。則非知二子者也。千載之下。知二子者。莫不佞若也。不佞亦慕二子之素貧賤好文章。而怵惕於貪夫之殉財。欲使激濁而揚淸。遂有別貧賦千數百餘言。吁。二子之文。不奇而自奇。不佞之文。欲奇而不奇。是吾憂也。觀吾文者。不惜郢正與二子文同■則幸矣。江湖病客飢寒骨兮。朝起衣冠與貧別兮。貧如有知聽我說兮。天下九州幾城郭兮。一城之內人何極兮。人之不億若不覿兮。爾我奚緣長契濶兮。謂子愛我奚窘迫兮。謂子憎我奚追逐兮。長安巨室藏金穴兮。車如流水映朝日兮。白馬雕鞍黃金絡兮。後庭嬌蹈綺縠兮。僕隷廝卒餘粱肉兮。有酒如河樂不極兮。冬衣貂鼠夏絺綌兮。子壻要津珥金玉兮。將軍分閫秉鈇鉞兮。士馬如雲威胡羯兮。香圍燕寢森畫戟兮。燕姬緩舞嬌紅燭兮。鸚鵡鸕鷀崇桑落兮。皷吹轟轟戈鋋雪兮。靑樓俠少夜擁擲兮。芳草落花垂楊綠兮。一醉累月輕侯伯兮。金丸射雲鶖鶬落兮。三尺芙蓉借劒客兮。每揖閑人志氣得兮。繁華到處笙歌咽兮。富貴支離願窮厄兮。彼惟求貧子何恝兮。我恒苦貧子何昵兮。家世淸寒徒四壁兮。咨余孤蒙萬事燭兮。人衣錦繡我百結兮。人猒膏粱我藜藿兮。性復多虱爬不足兮。或以溪藤肌膚隔兮。居然宿宿滿紙虱兮。冬夜漫漫弊衾鉄兮。多病少眠坐明發兮。或煅破瓦置臍腹兮。氤氳和暢回暖律兮。寶翫此瓦效芹曝兮。數畒浦田野水白兮。農人告我春事及兮。近有富人紅腐溢兮。飛簡翩翩斗粟乞兮。謂我沒償忍閉糶兮。寒食淸明樹如髮兮。非關火令炊烟絶兮。與子艱關幾歲月兮。自今成別願永訣兮。貧聞大噱兩手拍兮。白雪之白天然白兮。明月之明皎如燭兮。天壤之間孰與匹兮。立子之名非我孰兮。五鼎之食烹鼎鑊兮。朱丹其轂族可赤兮。咸陽市上兔可逐兮。華亭夜月可聞鶴兮。龜骨宗祧綠水憶兮。牛之白顙詎河適兮。昔侍仲尼泗水曲兮。衣帶不完飯不足兮。况於陳蔡齎粮絶兮。從者莫興皆慍色兮。宣尼怡然御琴瑟兮。憐我相隨心莫逆兮。顔回陋巷簞瓢一兮。志在好學不改樂兮。曾子甕牖褐以塞兮。曳履歌聲出金石兮。子路褞袍陋狐貉兮。五月披裘金不拾兮。君子憂道不慍僕兮。僕亦好道從賢哲兮。浩蕩華靡不假色兮。千金邀我豈投足兮。盜跖肝人恣陵虐兮。不韋買秦開樓闕兮。董賢三公風雨葉兮。石崇雲樓飛花落兮。道不同也惟白黑兮。淸士乃見擧世濁兮。天道無親善人福兮。德存一代何富若兮。名垂萬古何貴若兮。沃土之民離刑辟兮。瘠土之民懷忠實兮。生於憂患死安樂兮。富貴有爭禍亂作兮。貧賤無爭恒安逸兮。高明之家鬼瞰室兮。草舍蕭條好容膝兮。貪夫殉財蛾赴燭兮。幽人遠眺山雲白兮。鳳鳥之飢不啄粟兮。官鷄稻粱聚族食兮。上界政令與世別兮。不貴侈華貴窮約兮。天生夫子鍾眞淑兮。不要爵祿要道德兮。昔陪香案雲漢决兮。今雖謫降猶篤學兮。要路通津久謝跡兮。城市塵埃弱水隔兮。飢寒困窮身外撥兮。幽獨側微飛猱接兮。不義富貴浮雲邈兮。歲寒然後知松栢兮。飮啄任天聽天德兮。攬涕金臺舊皇邑兮。火齊綺纈爛人目兮。行李蕭然書數軸兮。出試牛刀雷封七兮。一葉歸舟載琴鶴兮。淸江江雪披山葛兮。子所固窮豈余毒兮。天無私覆地載物兮。豈私貧之至此極兮。是有命焉所謂得兮。子不達命蚩奚擇兮。秋江如練月沉璧兮。兩岸蘆花漁歌答兮。濁酒一盃琴一曲兮。飄飄出塵凌寥廓兮。人生一世白駒隙兮。其間榮瘁夢一覺兮。沒世不稱君子疾兮。百世在前惟方策兮。炳若丹靑映千億兮。萬乘公相曷云易兮。居閑處獨窮著述兮。聖賢同歸同體兀兮。忘我大德同氷蘗兮。思我小怨歎涸轍兮。子能敬天言行告兮。天若有知必我察兮。主人忻然貧不發兮。待之如初永不析兮。</text>
<title>大雪</title>,<text>萬樹花茫茫。千村月浩浩。莫云土無心。一夜靑山老。</text>
<title>駕鶴樓 黃澗</title>,<text>中天積翠萬重山。一曲淸溪淺淺灣。林末烟生村犬吠。始知樓下有人間。</text>
<title>黃金臺</title>,<text>昭王赫怒收豪傑。一戰齊城集大勳。燕國黃金定無限。千秋誰得望諸君。</text>
