<title>詠海 十歲作</title>,<text>有物半天地。萬古含元氣。胷中亦有海。丈夫當如此。</text>
<title>除夕。次唐人韻寄崔同年季升。</title>,<text>坐到三更獨不眠。家山舊事摠依然。燈前白髮三千丈。客裏流光六十年。</text>
<title>葵花 六言</title>,<text>幽人白髮靑山。植物丹顔綠葉。客中相見園南。開遍都無向北。</text>
<title>見李汝器醉卧。戲呈五七一絶。</title>,<text>大醉芳草間。笛聲遠落滄江灣。恨無龍眠手。畫出蒼顔白髮舞。</text>
<title>次李吉夫</title>,<text>朝來沉壑白雲多。塵世如今隔幾何。壇上碧桃春後盡。滿山惟有照松花。</text>
<title>己未除日</title>,<text>好看明日庚申歲。斷送今宵己未年。六十強康作曾祖。定從華髮雪紛然。</text>
<title>地骨</title>,<text>地骨蟠龍虎。多年耐雪中。欲求春壽永。先煑杞精融。性味除多棘。勤煩敎小童。童顔從此駐。孫作白頭翁。</text>
<title>楮先生</title>,<text>先生本是會稽人。如今不圖瘦蒼生。雲仍雖白志輕薄。巧作色目同管城。吾聞結繩世。無此先生名。先生一出事如毛。自此不見煕煕氓。民天只是在粒米。由爾竭盡無生靈。爾若無根自枯瘁。邦亦本固能安寧。安得淸江濯素質。不助聚斂只傳方策之羣經。</text>
<title>花山宴</title>,<text>花木松林棘作籬。澗邊楊柳最僛垂。春風無事千鍾酒。長日閒消一局碁。廳吏乞魚兼貸米。官慈垂淚獨生悲。征南勇武無人敵。旗纛飛揚倍道馳。</text>
<title>賀崔重吉生子</title>,<text>海中仙果生子遲。今到君家驗此詩。英物異凡聲載路。賀賓爭集袵成帷。寢門不必懸弓䪅。餘慶惟應夢虎羆。床下忽看蘭有茁。弄孫歡笑慰含飴。</text>
<title>犬馬吟</title>,<text>犬馬有良性。愛主偏所得。所養馬食蒭。所飼犬食穀。馬論才不才。犬皆食人食。良馬或失養。衆犬空多肉。馬瘦在郊外。竛竮老無力。犬肥自驕狂。兩目忽生赤。遂移愛主性。反肆噬人毒。人人畏如虎。十遭恒死十。可憐郊外馬。悲鳴空躑躅。</text>
<title>題裴龍吉琴易堂</title>,<text>彈琴性情和。讀易無大過。吾友子裴子。遊於斯二者。梅露滴囱曉。氷月虛堂夜。讀旣彈亦罷。上帝臨危坐。精微鑿說空。冲澹淫哇破。希音與奧意。千載得不頗。俯仰㗳無語。薰風來囱下。動靜俱有樂。是處聊觀我。</text>
<title>昆陽大洋中。次使相露梁有感詩。</title>,<text>夕風吹海立。浦思山亦哀。天心不可問。我懷空悠哉。樓船疾如飛。歘八蒼茫間。相國文武才。盛名高於山。風雲入壯圖。經理無遺事。河君草檄手。無愧古書記。酌酒歌慷慨。共弔英䧺死。萬古忠義傳。一一見壯士。</text>
<title>書圓扇 五七言</title>,<text>誰䂨湘江竹。作此明月形。呼童使之揮。陣陣淸風生。蒼蠅自辟易。耳目去所憎。祝融斂其威。陽烏空奔騰。疑如羾寒門。獨馭風泠泠。不必乞爲寒水玉。終日隱几眠囱欞。</text>
<title>曉起書事</title>,<text>始起囱欲白。喔喔雞聲促。攬衣坐良久。霜園映日色。春令行幾日。古木禽聲集。開囱望南山。高崖陰淡薄。遠村樹披疎。煙氣生茅屋。盥手欲對案。眼澁書難讀。有酒亦不飮。淸愁漲胷臆。古人誰似我。嘆息卧竆谷。</text>
<title>竹嶺</title>,<text>竹嶺高揷天。二州風氣分。客過愁絶險。一躋竆朝曛。崖石忽崩裂。峽有飛來泉。仲冬氷雪繁。折木橫馬前。平生學道處。胷次無煩寃。安知失意路。永爲安身門。昨經爭奪場。不悟相催轅。人生貴適意。好尋吾田園。</text>
<title>次韻贈全遵甫</title>,<text>密密愁雲繁。烈烈陰風寒。是時歲之暮。抱病無歡顔。靑山繞茅屋。白雪封柴關。形容感枯槁。志氣驚衰殘。夙昔有遠思。放浪江湖間。飄飄鸞鶴姿。采采汀洲蘭。與世苦不諧。此心危難安。日夕理輕棹。漁父相與閒。山畬黃粟飯。春日靑絲盤。室中有餘樂。門外無停鞍。時時放長歌。好月如刀環。茫茫大野濶。漠漠孤鳥還。燕雀笑鴻志。斥鷃驚鵬摶。大人任同塵。不必高余冠。但悲當世事。涕淚何無端。百慮關骨肉。萬事愁艱難。賴有光川子。詩思如彈丸。有酒或邀我。相對輸淸歡。矯首自怡悅。白雲多在山。高吟坐脩林。濯足臨淸湍。杖藜行靑野。履屐上翠巒。如此百年間。何須愁鬂斑。出門望天地。忽忽空三嘆。</text>
<title>微風</title>,<text>微風忽吹過。樹影參差起。淸軒自瀟灑。是時成美睡。案上有古詩。門前無俗子。時聞山鳥聲。出自松陰裏。</text>
<title>河上有感</title>,<text>春至方看瑞雪新。行尋微逕到河濱。玉淵山水渾爲白。髣髴當年侍燕申。</text>
<title>次孫景徵韻 二首</title>,<text>塵世功名意已闌。此身何日卧江干。可憐五斗淹吾駕。拄笏空看倦鳥還。昔年漁釣此江村。今日重來成主客。愧我疎蹤太顚狂。看君風度尙淳朴。</text>
<title>問僧潭上事 用栢潭先生舊韻</title>,<text>僧今居住誰爲伴。如我來遊有幾人。臺上落花飛幾日。磵邊殘柳幾經春。</text>
<title>過麗祖駐駕之地</title>,<text>三十年前過此船。氷江淅瀝雪飛天。只今明月高臺上。欲向靑山問酒仙。</text>
<title>次臨淸閣會中韻</title>,<text>雨後晴雲洛水湄。登臨快閣好風隨。况憐晩色荷花靜。沈李開樽向小池。</text>
<title>雨後寄柳進士德甫 碩</title>,<text>樹色層層草色齊。停雲靄靄望中迷。小囱日午思君夢。野雨濃時渡水西。</text>
<title>次唐人韻</title>,<text>三月正當三十日。五山稽我五年身。黃鸝自愛淸和節。隔葉數聲啼送春。</text>
<title>石上呈座中諸君</title>,<text>經雨殘花滿水湄。一年春事正依依。午天雲淡和風靜。手弄淸波坐石衣。</text>
<title>上元日。飮酒崔重吉家待月。</title>,<text>古樹風生鴉亂飛。江村是處有柴扉。與君同賞此宵月。明月未來吾未歸。</text>
<title>記夢 庚申</title>,<text>一片輕舟颺濁流。書生意氣欲橫秋。破胡傾盡金花盞。須典霜風鷫鸘裘。庚申二月十一日夜夢。胡虜將亂。朝家選余點置軍額。治任將行。了無怖畏。意氣益壯。到一處江水瀰漫。水色半淸半濁。人云此水非因潦而濁。乃涇水云。余與二人各取一小舟棹去。金風乍起。船往如箭。未及渡泊而覺。似夢非夢。作一絶以紀之。</text>
<title>崔重吉携酒至。一絶以謝。</title>,<text>三三之夕是淸明。雲霧沉沉微月生。先墓思時君酒至。臨除穩酌盡情傾。</text>
<title>放懷</title>,<text>人道吾狂自不狂。但將濁酒慰枯膓。風生布褐輕文繡。身處茅齋勝玉堂。醉眼茫茫天地小。朱門渺渺道途長。晩來春興隨藜杖。閒步前川倚綠楊。</text>
<title>排悶</title>,<text>再經大亂生何益。空抱閒愁抵死年。凶歲紛紛多盜賊。孤村寂寂少人煙。五更囱雨殘燈外。萬疊山雲去路邊。不是不知農事急。春來不欲更求田。</text>
<title>次崔季升記夢韻 季升夢見西厓先生論時事</title>,<text>一自云亡國老成。艱虞誰復念民生。天心可卜應非遠。人怨須圖豈在明。若使公忠銷黨議。定將危亂變治平。只今猶有精靈在。涕淚流時想血誠。</text>
<title>更步排悶韻</title>,<text>柱頭留鶴三千歲。愁裏餘生六十年。陰壑尙留經歲雪。垂陽空鎖太平煙。尋常思在蓬萊外。咫尺行隨洺水邊。東海魯連何處在。不須求活况求田。</text>
<title>還家有感</title>,<text>遠野微茫似掌平。長江一帶接天橫。重來風物皆如舊。衰老難堪作客情。</text>
<title>次曺汝益來訪不遇。留題壁上韻。</title>,<text>少小尙奇偉。平生足悲辛。蝸藏不出角。蠖屈寧求伸。朅來西京市。淚落東華春。相逢盡新面。所思惟舊親。雨滴梧桐夜。夢歸江海濱。託身舊居停。絶糧如在陳。曺子物外士。最我心中人。出門同踽踽。騎馬徒踆踆。夫子固竆語。與子書諸紳。看君壁上句。洗我三斗塵。</text>
<title>次檜山韻</title>,<text>形勝於今見已親。夢魂那復到囂塵。經來物色看逾好。自是山靈道不貧。只要人生竆樂事。不須事業問經綸。白沙翠竹行相送。直待柴門月色新。</text>
<title>輓金惟一齋 彥璣○辛卯</title>,<text>耆舊殆零落。如今公復杳。不見性龎人。吾鄕失準表。平生不倦心。空空盡提敎。竆經首空皓。閱盡囊之縹。不得送韓竆。何曾乞柳巧。今世幽求子。竅廬不剪茆。幾採春山蕨。或釣秋江蓼。北牕酒一中。淸風生綠篠。七十去斑衣。非肉何能飽。天心必勸孝。此理終竆窅。溪南暗桑棗。遙望愁雲遶。先子與夫公。知心如管鮑。往事那復問。江天一去鳥。由來小子慟。五內空如燎。自聞纊音來。淚落知多少。遠日欻已迫。輀向何山曉。悲風動薤哀。寒日照丹旐。無路執繐綍。此恨何時了。</text>
<title>輓藥圃鄭先生 二首○甲辰</title>,<text>白首丹心苦。南鄕北闕遙。乞骸方去國。留相望趨朝。勳業稱殷禮。儀形視不恌。老星光彩蝕。垂淚坐中宵。黃流宜寶器。福祿自來爲。繪畫輝麟閣。功宗考鼎彜。蓍龜稽得失。進退卜安危。辰巳今方驗。人亡嘆不遺。</text>
<title>輓謙庵先生夫人鐵城李氏 乙巳</title>,<text>女士由來釐孝子。相門宗婦稱幽貞。精誠旣盡蘋蘩享。福祿應如葛藟縈。二品夫人新寵命。千年婦德舊碑銘。今朝有淚傾如雨。不盡平生母事情。</text>
<title>輓西厓柳先生 丁未</title>,<text>得師當年早摳衣。敎育磋磨穎悟資。氷玉貯藏秋月色。鳳凰飛下碧梧枝。存心修己由誠敬。事主臨民自孝慈。伊尹志兼顔子學。蒼生無祿竟何爲。</text>
<title>輓寒岡鄭先生</title>,<text>蓄德䧺剛先立大。一毫榮利不關心。聖贒旨訣竆深繹。禮學源流摠會尋。屹立頹波看砥柱。彈開寶匣聽瑤琴。天乎是忍斯文喪。末路空沾小子襟。</text>
<title>輓徐樂齋 乙卯</title>,<text>有美南州士。高名北斗星。淵源泝伊洛。詩禮自門庭。天德兼王道。贒書雜聖經。竆年恒矹矹。危坐向惺惺。末學分蹊徑。先贒像與刑。漳濱殊寂寂。物表更亭亭。北極褒陞寵。西符政蹟馨。負兒驅虎豹。誨士化螟蛉。白日風塵暗。靑天霧雨暝。草玄楊子宅。穿榻管寧廳。罄室宵衿寂。衡門晝掩扃。老梅雙綻白。新竹幷抽靑。曲曲楓花岸。漫漫雪月汀。四時三尺杖。千古一癯形。邱壑身攸處。簞瓢意自寧。木槃登圃葉。甆鼎煑山苓。消日閒中詠。操心座右銘。和風拂楊柳。明月照囱屛。講禮如穿的。論文似建瓴。茅茨營泗水。杖屨送餘齡。義理綜微密。皇王索絶陘。水邊晴日永。門外小車停。太守誠知拙。平生不願醒。勸農傾皁蓋。問字載香𨤍。椒雨添金醆。氷漿瀉玉甁。夕陽經水岸。微雨倚風欞。觀海慙涓滴。撞鍾愧寸筳。浮生歸寂寞。抵死守虛靈。書帙悲哀動。銘㫌涕淚零。今宵看碧落。嘆息少微冥。</text>
<title>輓琴堤川 應壎○丙辰</title>,<text>平生常服丈人眞。萬事無如酒入唇。莫貴文章皆軾轍。惟欽友悌有春津。春風滿座薰和襲。秋月當筵笑語新。晩得一男當谷虎。閒垂五柳葛天民。襄陽耆舊都誰在。鄒魯仁贒迹已陳。故人穉弟今衰老。哭向烏川淚滿巾。</text>
<title>輓具一甫 成胤</title>,<text>憶昔相逢日。君我皆少年。相門稱贒胤。玉樹臨風前。遇於黌序間。軒鶴在雞羣。一見願卜隣。何幸贅高門。深荷先生恩。與子情彌敦。讀書在山室。優遊在水邊。壯君慷慨志。高義薄秋天。感君忠孝誠。可貫金石堅。金帛視如土。軒冕看如雲。中年遇疾病。萬事付微醺。足不履城府。身不近紅裙。苦居𤱶畝間。以安遺子孫。如何公輔器。潦倒在鹿門。林烏朝暮聲。可輟鄰母飧。斯人而至斯。事事難具言。一子溺水死。孤兒守几筵。天乎薄斯人。仰天天茫然。執筆作輓歌。慟哭付新阡。</text>
<title>輓李方叔 鎭南</title>,<text>爾我庚申降。於吾日月先。交情兼族黨。潭水近沙川。莫逆肩隨日。應同志學年。不成題柱志。空擲過江鞭。樂任杯樽具。來因孝友偏。挑燈冬夜話。交足醉床眠。仙夢江臺勝。寒松雪月懸。情懷看自別。談笑動遭牽。縱有中郞女。堪嗟伯道贒。崩山還作夢。駕鶴忽升天。斷鴈雙聲苦。啼猿五內煎。煙霜新兆外。賓客舊臺前。白首餘生在。雙瞳老淚漣。無人托知己。襟抱向誰宣。</text>
<title>輓金栢巖 玏○三首○丁巳</title>,<text>不惑年幾近。峩冠釋褐初。平生勿欺志。可謂大人徒。臣直如金箸。君恩似鏡湖。南星今又晦。吾道再嗚呼。大惠偏難有。吾州幸得專。江山飛一盞。弦誦到三年。酌水離亭日。遺錢去路邊。獨慙留藻鑑。叨近滅明筵。酒與春江綠。愁兼世事新。閒身南去遠。白首北回嚬。物有千年壽。亭無百世人。玆辰小子慟。不但涕沾巾。</text>
<title>輓權晦谷 春蘭</title>,<text>吾府多豪傑。佳丘最里仁。英才應侃侃。善誘亦淳淳。豈啻雞中鶴。由來席上珍。春風方氣槩。雪月是精神。不願功名法。那要翰墨身。鵬程搏可遠。蠖屈久還伸。狐筆誅誰骨。騘班竦幾人。薇垣曾正笏。玉署更垂紳。遂厭粉華地。猶耽寂寞濱。小塘源有活。一室淨無塵。杖策行三逕。巡簷岸一巾。圖書堪自樂。松菊不全貧。君子花香淡。贒人酒味醇。一心惟敬義。萬事只君親。醉裏天和暢。吟中古氣淳。端居役役。宴坐學申申。寶匣千年鏡。方爐百鍊銀。龜藏堅素節。螟子擁朱輪。浩蕩專城讌。繁華綺席陳。賓朋常滿座。馹騎更塡闉。八袠彌康樂。三尊孰等倫。老星光忽晦。妖歲慟無垠。乘化從容盡。臨終定力新。容衣雙入地。龍劒兩歸津。白髮悲諸弟。丹㫌泣比鄰。少年曾獲幸。中歲又連姻。秋壑楓如錦。春溪草似茵。吟詩常見和。對酒共傾頻。舊事還如夢。玆歡只隔晨。當年四十誄。無愧示千春。</text>
<title>輓權晦谷夫人朴氏</title>,<text>人間夫婦難偕老。結髮同牢過八旬。花錦兩高皆望族。玉氷雙貴摠冠紳。乘龍正得桓公喜。駕鹿能從鮑子貧。回首堂前歌舞地。去年賓客淚沾巾。</text>
<title>輓柳聖瑞 復起</title>,<text>炊沙功業困儒巾。鄕里徒稱是善人。縱酒每容吾跌蕩。論交常服子眞醇。殘燈細雨江齋夜。煙柳晴花野水春。回首舊遊堪不淚。但將餘慶付振振。</text>
<title>輓金佐郞 是柱</title>,<text>可憐英妙繼家風。仁里初逢尙丱童。我是外門聯派系。君能稱叔盡和恭。壯元司馬名誰競。注書郞官夢一空。人理豈堪明四喪。斷腸猿似白頭翁。</text>
<title>輓鄭推卿 戊午</title>,<text>少小遊豐塾。當時我丱童。君雖頭角大。日與戲遊同。幷浴淸溪水。還乘綠樹風。孝心兼友悌。和貌著溫恭。冠冕東萊胄。耕田谷口翁。家聲雖不替。儒業竟無功。敎子斯爲美。籯金昜自空。定知當谷虎。應不作池龍。耳順遭喪後。身羸在疚中。服除因奄忽。直欲問蒼穹。</text>
<title>輓權通禮 斗文</title>,<text>先兄之友丈人行。宿德龜城次第亡。浮世功名左通禮。醉鄕風月古羲皇。謝家已見聯瓊樹。袁額今聞繼玉郞。幾佩銅章遺惠澤。吏民秪自泣遐荒。</text>
<title>輓李時晦 己未</title>,<text>與子隨肩縱未齊。年行不必問高低。山花共賞春三月。樽酒相邀水一溪。公舘忽逢千里駕。客牕同聽五晨雞。衰年執紼何由得。薤露悲辭和淚題。</text>
<title>輓李國寶 㻛</title>,<text>與君相別十年強。各住東西白髮長。離亂幾傷人事改。竆村空嘆歲時空。聞鐘山寺驚殘夢。把酒黌樓泛晩香。追憶舊時多少事。如今老淚只沾裳。</text>
<title>輓呂陜川聖遇 大老</title>,<text>一生無命卧江湖。明若燃犀守若愚。才德尙堪經世者。文章端合羽儀于。論懷交道留書札。掩涕離憂倚郭郛。豈意朮茶一樽酒。幽明從此永相殊。</text>
<title>輓金公 九淵</title>,<text>靑蒭白飯意殷勤。三十年來幾過門。康健尙分砂井飮。留歡還把酒杯醺。行衫已濕登西嶺。老馬空知向夕村。桑樹滿園餘舊宅。南天一夜老星昏。</text>
<title>輓鄭僉知子孚 士信</title>,<text>初見潭門方妙年。疑如朝日照藍田。千篇詞翰倒三峽。一賦凌雲驚八堧。滿院槐陰天上望。重輝桂萼月中鮮。宣城解道玄暉練。上國爭稱季子贒。靑瑣彤庭䁱漏下。牙籤玉軸晴囱前。騎曹宗伯列宿應。防禦牧民文武全。稼穡惟知代祿食。山林足樂饒雲煙。鵬兒遠勢不可量。甲子一終何倏然。</text>
<title>輓詩[府使申楫]</title>,<text>斗南人物盛推稱。詩禮家風有所徵。黼黻文章無粉飾。軒昂襟度不驕矜。名留鴈㙮聯雙璧。公與兄察訪公。同爲戊子榜生進。 封奏龍墀錫百朋。甲辰五月。嶺儒五百餘人。封章伸晦齋。因請五贒從享。公爲疏首。疏上上嘉納。設廷試。以寵異之。有司擢公券爲第一。遂恩賜直赴會試。 公望已收多士論。聖恩初許六安丞。晩年以公薦除召村察訪。 誰知楚阜驚人鳥。化作莊溟擊水鵬。公登壬子文科。時年五十三。 方謂仲山來補衮。始第以資竆陞通政。 却敎龔遂往治繩。癸丑爲大邱府使。時大邱鄕中有東西之戰。公作書以曉之。 千莖不爲功名减。一病從兼歲月增。白屋歸來閒似客。靑氈生業淡於僧。性眞率。一毫不苟取。解官而家益貧。 竆文處世心猶確。交道忘年器亦弘。駑劣豈嫌人不顧。龍門唯喜我先登。仍思五老峰前舊。歲壬寅。初拜公於廬江。峯在書院前。 重憶三淸洞裏曾。癸丑春宦遊。與公同寓司僕川邊數月。 酬唱每欽詩泣鬼。笑談時喚酒如澠。寒齋晝食恒連案。旅榻宵眠幾共憑。非爲一官甘苦樂。只緣同病耐凌兢。人生聚散嗟何遽。世故浮沈數或仍。一夜城南傷把袂。十年江右憶挑燈。大邱之行。餞別於崇禮門外。自是家栗里。不見公者十年。 將期古劍重出水。誰料夷盤已造冰。莫恨春秋違律耄。公年六十三。 偏憐蘭玉又多能。泉臺此日魂長閉。露草餘生膽欲崩。余服闋未久 惟有淚痕今不滅。數行交墨寄寒陵。</text>
<title>輓詩[李珍]</title>,<text>遠志山高洛水淸。精靈慳秘鍾吾兄。紫荊叢裡花偏秀。衆羣中鶴獨鳴。身世萍蓬竆亦樂。襟期冰檗困猶亨。人間萬事俱陳迹。口耳徒歆死後名。</text>
<title>輓詩[金坽]</title>,<text>汪汪筆翰長河走。坦坦襟懷大路平。東野看花雖恨晩。南州剖竹肯要名。酒仙佳趣經千日。竆鬼深交共一生。常恨年來雲樹隔。遽聞乘化倍傷情。</text>
<title>輓詩 遷葬時 [柳元之]</title>,<text>東南淑氣稟精靈。湖海風流照汗靑。長德不言能及物。冲襟無競更忘情。優游半世山公酒。珍重千秋郭子銘。白首門生偏感舊。題辭惟有淚沾纓。</text>
<title>輓詩[柳世鳴]</title>,<text>易簀于今歲幾移。當時萬事屬孫兒。江山舊躅猶堪敬。德業遺風永有辭。窀穸更新千古宅。儒林重起百年思。追惟累世從遊地。執紼玆辰淚散絲。潭上河隈特地奇。留芳昔躅百年思。遺編見說從吾祖。懿範猶存作後師。舊壙新阡重起慕。白沙靑竹不勝悲。諸孫勉學詩書業。餘慶綿綿定未涯。</text>
