<title>香山寺。與李淸潭 希得 相和。丁酉秋。倭寇逼京。兩殿影幀奉安于香山。公時爲內翰。與判書李公陪往。留五日。各體雜詠。</title>,<text>匹馬西來日。危樓北望時。溪山饒勝賞。觸目不堪悲。</text>
<title>再疊</title>,<text>㐫奴未滅敢言歸。爲把吳鉤攬鐵衣。竹帛勳名身已晩。丘園偃息計還違。城臨塞峽聞宵柝。樹擁山齋帶夕霏。壯志堂堂無處洩。謾將詩筆醉中揮。</text>
<title>三疊</title>,<text>路斷河橋信未歸。暑來猶自着寒衣。榮枯隨分身長健。心跡乖時事大違。狄子白雲連海氣。謝君靑草帶林霏。龍鳴雙劒空藏匣。醉後狂歌試一揮。口占近體。錄似艮翁。北渚作客關河久未歸。忽看絺絡換春衣。芳蘭欲歇孤臣老。書劒無成壯志違。綠樹高山雲漠漠。落花深院雨霏霏。明朝却是天中節。應吊湘靈淚一揮。追次 沙湖千里關程五馬歸。塞城行李一戎衣。光陰荏苒三秋近。宦道蹉跎萬事違。峽月蘸江看似畫。山雲釀雨晩成霏。北堂將母今無計。涕淚臨風謾灑揮。</text>
<title>錄北渚博粲</title>,<text>五年楡塞飽酸辛。每誦離騷吊楚臣。南路八千迷遠望。西關百二老孤身。荒城客久衣裘弊。舊國春殘夢寐頻。賴有主人同鴈㙮。自將交道謝深仁。次 北渚握手含悽話苦辛。異鄕春色老孤臣。誰知楚澤紉蘭客。曾是鑾坡視草身。夢裏蓬萊星月近。病中衾枕歲時頻。長沙未必留才子。天地無私聖主仁。追次呈艮庭 沙湖丙歲君生我則辛。明時同作翰林身。秦關絶域今爲客。草屋荊籬久滯身。鏡裏容顔凋落盡。天涯魂夢去來頻。湘纍莫恨淹窮塞。聖主方恢祝網仁。</text>
<title>呈北渚</title>,<text>王孫芳草㤪萋萋。路入燕雲樹影低。萬里歸心長漢北。三年客食尙遼西。生涯有似籠中鳥。性命還如鼎裏鷄。睡罷午窓推枕坐。却將吳詠小牋題。次 北渚薔薇花落草萋萋。簾額斜風燕子低。隴水無情長向北。峽雲何事又從西。公庭吏退停衙皷。旅舘碁殘響午鷄。天外美人消息斷。客愁時把蜀葵題。次 沙湖芳洲烟草緣萋萋。睡罷高樓日欲低。地接燕雲山直北。江連遼海水流西。鄕書久斷無歸鴈。客夢頻驚有早鷄。門掩小齋閒寂寂。獨將詩筆恣揮題。</text>
<title>次北渚</title>,<text>早歲聲名天下聞。六鞱兵畧八叉文。才華浩汗凌韓海。志槩崢嶸撼岳軍。東陌看花春已晩。西垣視草夜將分。卽今銅虎身千里。何處靑樓與絳雲。原韻 北渚才憎命達古來聞。坐此畸窮更綴文。已識風流傾後輩。豈惟詩律張吾軍。油幢草檄紅蓮靄。鑾掖摛詞錦纈分。今日聖明收俊彥。莫愁關路隔重雲。次呈北渚 沙湖聲華藉甚足聽聞。仰止高才八斗文。斷斷誠心惟一節。堂堂勇氣奪三軍。鑾坡共直論思久。塞府交承去住分。千里相思不相見。入望關樹靄停雲。</text>
<title>次北渚韻</title>,<text>宵旰憂勤在塞垣。從敎小范護西門。無嗟關外三年滯。爲有胷中萬甲呑。威若風師驅霹靂。政同河伯决崑崙。胡人相戒開邊隙。知是樓蘭已裭魂。原韻 北渚大雨滂沱夜决垣。江流勢若觸龍門。重雲匝地三光遁。疊浪浮空萬象昏。蕩汩有如驅灧澦。懷襄還似蹋崑崙。潮頭不敢張千弩。恐有鴟夷未死魂。次呈艮庭 沙湖明時簪筆共薇垣。幾度彈冠候闕門。世路險巇傾且側。人心反覆吐還呑。萍蹤飄轉南窮海。壯志輪囷北蹴崙。今日石州爲戍客。白雲遙望暗銷魂。</text>
<title>奉似北渚</title>,<text>半生轉涉劇籧篠。畏尾如今身幾餘。大智縱慚秦五羖。孤忠自許屈三閭。衣纔掩脛容蟣蝨。病久拋書長蠧魚。不向囚山吟短賦。從今欲著絶交書。酬艮庭 北渚此身天地似籧篨。閱盡西南萬里餘。四海由來皆我闥。一生何必在鄕閭。山連太白饒靈藥。江接滄溟足巨魚。日晏鈴齋公事少。晴窓且讀古人書。次 沙湖踈狂於世等籧篨。倐忽年光五十餘。遊子此時爲塞戍。偏親幾日倚門閭。一方區域隣羊犬。萬里家山絶鴈魚。陟屺望雲膓欲斷。逢人垂淚折鄕書。</text>
<title>述懷</title>,<text>關河爲客病身單。亂酌松醪強自寬。捷逕未知遵大路。傷弓便覺怯虛彈。人情有似羊膓險。歸日還如馬角難。安得蛻蟬尋舊隱。秋風更把釣臺竿。次 北渚莫恨覊栖瘦影單。此生隨處聖恩寬。治心有藥身長健。對食無魚鋏屢彈。碧蕙春光湘浦晩。白雲秋色太行難。定知受玦無多日。會及秋風斬釣竿。次 沙湖離親千里此身單。對酒那能旅抱寬。玉笛三聲高下捻。瑤琴一曲短長彈。窮途始識人情險。老境方知行路難。昨夜夢歸江上宅。綠簑微雨把釣竿。</text>
<title>聞赦至感歎。錄示北渚。</title>,<text>紫鳳朝啣五色書。日行千里到穹廬。網恢三面恩加獸。布惠羣生信及魚。陽氣轉尋枯樹動。炎輝便向死灰噓。孤臣白髮猶沙塞。獨坐追愆淚濕裾。次 北渚槌皷州前布赦書。歡聲行復到穹廬。恩加八路安巢鳥。波决西江活涸魚。定見覆盆回日色。有時枯木被春噓。湘潭無限孤臣淚。莫向天涯謾濕裾。次 沙湖西塞懷歸畏簡書。此行迢遰近穹廬。月生林外驚栖鳥。風定江間看躍魚。萬里胡山多險阻。十年遊宦少吹噓。南雲望斷鄕書隔。老淚無端欲滿裾。</text>
<title>排律謹呈瓠峯先生</title>,<text>七松名處士。遯尾掉頭兼。爲竹移曾住。誅茅結小庵。分明當戶峀。欹側倚江柟。徑豈華山捷。泉疑盤谷甘。人如三不遇。誰道七難堪。卿月思洪範。王風詠葛覃。少微沉楚井。正則恨湘潭。壯志如衰驥。沈眠似老蠶。園開花裏許。林哭鳥中參。靜戀龜藏六。居慙兔窟三。籜龍驚晩蟄。茶鳳解秋炎。轉軸彈金鴈。鉤簾看玉蟾。呼兒鋤藥蔓。馴鶴護松杉。天上胡星滅。人間逆氣殲。時平弛北顧。主聖見東漸。每値芳筵設。偏欣末席參。菟裘聯弊屋。花甲等家嚴。載轄匡山駕。時廻剡溪帆。眉黃歸蜀軾。氣紫度關聃。遊賞同魚貫。論文對象籤。兵戈悲往事。文物入淸談。戲劇容河量。情深淺海涵。愧無懸榻待。缺 取比家酣。還將鄭重意。浣手寫霜縑。</text>
<title>身多疾病。思鄕里。</title>,<text>自從鷄肋誤。久爲簪組累。虛名苦纏縛。白首紅埃裏。秋來百病生。萬 缺 思鄕里。張翰戀蓴鱸。陶潛謝斗米。銀魚焚碧山。金龜尋鏡水。何事李丞相。謾招溷鼠刺。秋風病未痊。歸意滿桑梓。臨當掛烏紗。長鑱尋野耔。</text>
<title>棄婦辭</title>,<text>妾髮初覆額。養在深閨裏。羞人不下堂。豈踏庭尺咫。鉛華事朝暮。顔色如桃花。照鏡若錦鷄。常被爺孃誇。十五移所天。兩心盟松栢。身居兩姑間。婦姑難自悅。不但過燒棃。重以桑間說。痛哭出門歸。誰陳束蘊策。君不見汨𤄷江上懷沙人。以道事君恩未畢。</text>
<title>南塘曲</title>,<text>十五南塘女。採蓮南塘下。傾筐不自勝。葉底花冠亞。逢郞若羞澁。不言猶面假。紅袖指所居。垂柳陰間舍。回頭出堤上。後載靑騘馬。</text>
<title>松竹歌贈尹松竹</title>,<text>君不見澗邊松。落落堅所守。又不見階上竹。亭亭霜雪後。歲寒眞性見。衆芳顔何厚。人中有松竹。有難不相負。嘉爾顧名義。不向權門走。徒步數千里。訪我龍沙口。相逢問無恙。悲懽斟白酒。南陔有老母。遠遊那可久。忽然解携去。天西幾回首。如逢舊相識。說我已衰朽。</text>
<title>良生篇</title>,<text>江州有老叟。得氣純而厚。生不事家業。爐冶籍其口。十旬不一洸。滿面塵與垢。官役視馬曹。親戚忘誰某。年不念豐㐫。渾家無升斗。平生嗜麯糵。飮醉同其婦。日以冶所得。却沽前家酒。有故不得傭。先飮償在後。醉後入其室。相對共擊瓿。咿嚘發狂歌。顚倒翻醉袖。頹然臥不起。睡熟花底牖。人皆笑其貧。叟則若多有。箕踞語所親。視吾手在否。手在酒亦隨。手亡身亦朽。每見醉如泥。伊來六十九。富貴等醯鷄。公侯同蒭狗。未若此老夫。與婦醉且壽。余聞老夫語。歎息者良久。長房隱於壺。叔夜鍛於柳。逃名市肆間。氣槩齊岣嶁。無乃是其流。千載追以偶。信筆識其事。仰質同心友。</text>
<title>次士健秋風㤪</title>,<text>曉起推西窓。微茫遠近色。羣動尙岑寂。萬象空淅瀝。關外肅氣催。秋意先梧葉。汀蘆初吐白。岸柳已凋碧。咿嚘子曉讀。幽軋婦夜織。謫裏百感生。顧憐九年跡。歸思老彌深。戀主憂更切。湘臯憶屈子。眷眷由宗戚。好惡固不同。孤忠衆不悅。九辯與九歌。正聲頗激烈。人昧周鄭朴。我愛甘苦節。誰是商家霖。生憎趙盾日。風雲自興滅。人事易凋落。二儀亦消長。四運常互易。年當蘧知非。韶光墜何急。已掩謝安鼻。浮名恐來迫。願就夏后勝。朝聞道死夕。何勞望白鴈。不用驚黃髮。昨夜有遠夢。金門知不隔。欣瞻堯舜君。豈戀臯夔職。畢竟作遯尾。深慙昔乾沒。鑿井耕田者。帝力何知識。尙稽烏頭白。未應魚尾赤。觸事輒生梗。何處容吾拙。口舌慙張儀。風塵愧荀息。商飈振庭柯。旅懷驚蟋蟀。白首伴四罪。靑雲坐八及。不同無何鄕。何以慰懷惡。酒德慕劉伶。醉鄕懷王績。遅暮遇坡翁。胷海藏萬甲。雖涸莊周鱗。終奮馮異翼。器大成亦晩。韓富有偉烈。蒹葭倚玉樹。窮交戒履薄。世故劇侵耗。光陰歸遮莫。人愛蚷蛩草。君甘仗馬斥。一曝於十寒。己百於人一。淸比西山薇。潔如東籬菊。城南杜韋曲。招此無家客。晩覺愛河逃。老知高碁着。咄咄空仰屋。狂歌至明發。</text>
<title>次士健古詩三十七韻</title>,<text>邊塞八九年。不知心恨誰。去國二千里。孤身天一涯。春深屈子㤪。秋切宋玉悲。緬惟陸陸人。薄技效九九。題柱十年志。虛名常負負。猥玷薦書中。花甎幸早就。風塵易乾沒。世事多僵仆。金鑾與銅虎。頗遭汝南評。難爲滕大夫。貴賤由趙孟。文字畫葫蘆。承明非養病。逢時思吐氣。避賢時中聖。一跌墜深井。衆口歸禍尤。玉玦關山路。萬事同一漚。閉門發深省。撫事成謬悠。江海命如寄。乾坤生若浮。回首戀終南。舊路迷行意。沉淪固非痛。何異無名指。雖是不若人。俯仰心無愧。幸逢亞地主。義氣軒宇宙。不待西江枯。魚喁常見救。百里頌召杜。名與實相副。鳴琴獨太古。枳棘非鳳栖。五馬昔海南。一麾今關西。參尋費切偲。戒誨煩提撕。伯起却四知。爲官難救飢。一符不遠復。平生無自欺。傾蓋若舊識。團圓慰孤覊。還如附驥蠅。復似化蛾蠶。情親意偏感。厚德心常含。蓬生賴自直。倚玉寧無慙。勝讀十年書。難堪一日惡。心亨自傾否。北門須鎖鑰。顧余性䖃苴。少無奊詬節。投籠等白鷴。秋風鎩長翮。身世似遼鶴。赦書秘黎鵲。寸心五雲闕。吊影關山月。長吟和淸新。哀㤪山石裂。</text>
<title>問牛喘</title>,<text>人殺人牛喘冬。不問殺爲。惡問牛喘爲。㐫人殺尙可。爾牛喘違天時。是虧爕理功。將焉用相爲。闕下寬饒繫。豈輕牛喘也。不問所宜問。君不見廐焚不問馬。</text>
<title>敬次親庭韻</title>,<text>恥爲世間士。來作山中人。浮名視積薪。一隅安排身。手掇金光口紫霞。坐點飛鷰 一作鳶 忘㥘塵。靑囊靈藥付淨散。綠玉閒尋山景多。無心雲自出峀宿。暮天鳷鵲流金波。兩耳還將洗綠池。不願風塵鍾鼎勳。朝遊蓬島暮方壺。浩蕩胷襟淡無垠。左挹浮邱右丹邱。煑石新汲聊云云。天壇欲拜王母前。翩翩玉舃冲天飛。在家學忘家。不食還忘饑。秋風凉雨後。滿地山薑肥。尙誇顱髓滿。焉用服赤箭。何惜槿英歌。歲月如流電。逢君如入芝蘭室。繫彼白駒食我塲。麻姑備灑掃。淸興言俱長。是時屬九九。三逕秋菊黃。佳辰不負揷茱萸。竹林政如探盃觸。吾今從此謝盧敖。明朝還向華子岡。</text>
<title>戲田丱童有年。賣柴買醉。</title>,<text>田家少兒氣食牛。至樂惟知在歡伯。義氣直許七百士。契活不畜三千客。旣不取厭墦間酒。又不盜飮比舍熟。朝上南山拾枯松。暮歸西村買麯糵。頭揷花枝口吹葱。醉臥門前楊柳月。賣藥韓康計已踈。販冶叔夜心亦拙。爭如此兒隱城市。學得長房壺中術。君不見陳留道士刀鑷工。無一朝憂有百年樂。</text>
<title>和士健十期韻</title>,<text>讀書不與浮名期。仕宦不與魑魅期。胡爲紅土十年身。一半已逐驩兜期。將身未超苦海外。顧影常慙榮啓期。巉巖畏道不可陟。欲語無語還期期。無心還被有心猜。堪笑魯鷄曾不期。朝飮蘭露夕菊英。美人又失黃昏期。瑤琴不彈峩洋絃。擧世難逢鍾子期。殊方幸托魯恭賢。蒹葭玉樹同襟期。白頭雖新傾蓋舊。早晩何用論交期。他年如作九老會。洛中不負鷄黍期。</text>
<title>鴻門宴</title>,<text>銅盤血初腥。玉斗紛如霰。劉項存亡於此判。吾與爾王言。爾何爲者也。唐突請舞劒。一項來翼蔽。雙白璧三章法。誰是先入關中王。讒說歸之曹無傷。君不見沛公生紀信死。王者不死焚廩裏。</text>
<title>兩虎闘</title>,<text>左於菟右於菟。兩雄咆勃誰贏輸。恐有卞莊子。傍俟其兩死。今日雨明日暵。兩持蚌𧑐與相似。後私讐先國事。門外何人負荊至。回首後來其無恥。</text>
<title>別主府趙公直官滿還朝</title>,<text>行路難行路難。太行之山車折轊。行路難行路難。瞿塘之水船推枻。世情危險劇山水。一入牢門門久閉。峩洋獨有銀川子。冶長知爲非罪繫。百里仁風及枯涸。鼎裏魚喁三閱歲。蓬山有夢馬首東。一別音容隔荊薊。攀轅不獨界民泣。赭衣先沾逐臣涕。</text>
<title>效古體</title>,<text>垂柳絲絲拂春風。少年折取天津東。却向秦娥問垂柳。纖纖得似娘腰否。秦娥怒折最長枝。擲作他人騘馬箠。顧謂少年語未了。細腰更向垂楊抱。</text>
<title>封松行</title>,<text>嶧山高幾千丈。五松特其毛。萬丈山旣受秦封。况其毛者焉能逃。印何纍纍綬若若。以石沃水將安施。玉上丹靑。未爲玉之累。山耶松耶。其知其不知。乃知五松不辭官。亦如商之比干不拒周之封。不然能屈風霜節。好爵以縻之。曾謂五松。不如推印之龔。</text>
<title>送虞公異持捷詣行在</title>,<text>去年宮門送美人。美人迢迢何處在。今歲宮門望美人。路隔千山歸夢礙。轅門何幸破賊虜。捷音憑君前席對。山西日夕逆氣生。段笏還虛㐫腦碎。中原豕突日月昏。關外龍遷風雨晦。聞鷄未見越石來。灑淚惟看周顗輩。登壇一受往征命。匣裏秋蓮思一淬。孤軍獨處二冦間。矢石縱橫彌腹背。登埤飮血戰方酣。落日翻爲三舍退。齊營別馬戀空城。楚幕飢烏啼古埭。披塵試入寢廟前。八彩重瞳森七代。金龕不受土花蝕。玉(筍/一/八)未入耕田耒。君歸須奉玉趾回。漢官威儀看可再。除㐫豈有將士力。自是皇靈加海內。三軍皷踊免京觀。萬姓呼飢救賑貸。家家閭巷半歌哭。處處侯門迷麥菜。微臣此日罪萬死。得使老賊頭猶戴。</text>
<title>望思臺</title>,<text>龍華門外帶劒兒。喚做征和家亂基。三至那能辨曾參。掇蜂還爲疑伯奇。前星忽晦小海空。湖上空臺秋日遅。漢家家法少恩哉。人彘纔經又栗姬。前車不免後車尋。趙虜蘇宦媒睽離。宮中木人類地墳。巧舌如簧移予慈。申生事已迫新城。父兵輕將弄潢池。黃臺瓜熟恣一摘。斬裾無難寺人披。蟾唋蝕月桂凋花。長樂西宮腥血彌。天倫至愛豈終泯。悔恨却先輪臺辭。望之湖上不可望。思之湖上空長思。徒將累土起高臺。百仞崔嵬何所爲。春風蒼桂聽夜哭。秋雨丹楓生暮悲。驚濤似雪未洗寃。怒浪如訟當時疑。精英千古若不滅。應向扶蘇相與隨。三老還慙四皓智。安劉不早危疑時。死後臺城足疚懷。所爲狂悖嗟何追。長▦殿月湖上雨。至今俱入騷人詞。更恨石德不能兼處父子間。却使靑宮招自危。</text>
<title>細柳勞軍</title>,<text>漢家天地昇平久。牛放桃林革爲軒。攙搶夜照天垣西。元戎三道開新屯。師人多寒又多飢。九重錦玉非甘溫。投醪一念由宸衷。親擧玉趾宣皇恩。龍旗已迫細柳營。中使傳言開壁門。將軍之令重於山。但聞將軍他不聞。縱然持節勑開門。壁門不許前驅奔。騑騑皇牡且從容。介冑不拜萬乘尊。臨戎悔前撫髀歎。敬勞將軍恩禮存。歸來歎息顧左右。嚮者棘門兒戲云。將非條侯帝非文。閫限何曾推轂分。酣歌堅臥碧油幢。夜驚不爲軍中紛。嗟嗟末路何人斯。修齋誦經天雄軍。</text>
<title>代項羽謝烏江亭長</title>,<text>漢軍前夜楚歌多。垓下殘兵迷去途。陰陵日落泣棄騅。楚臺雲殘悲別虞。斜陽孤艇彼何人。不待招招來艤乎。當年壯志一劒知。指揮天地輕孫吳。風旗曉掃卿子軍。雷斧暮斫叢祠狐。咸陽宮殿一炬空。宰割山河如拉枯。試觀天地席卷中。獨有劉公吾幷驅。鴻溝一半勢轉軋。雌雄黑白誰知烏。江中狂說作博梟。欲加之罪其無辜。方張義旗縞素者。忍爲高會彭城隅。東城一夕力已蹙。非戰罪也天亡吾。餘兵尙洗會稽恥。一旅亦能中興圖。今君來待意有在。不是無心東渡湖。同來健兒八千人。一時盡爲劉家屠。崩城處處哭杞妻。陟岵家家啼趙孤。將身何忍再見臨。所以一刎輕吾軀。况復天命有所歸。秦靈夜哭君知無。聊將伍劒謝爾情。別浦悲風吹葦蘆。</text>
<title>張儀無地與懷王</title>,<text>七國紛紛如裂幅。秦蠶半食諸侯桑。銅盤無賴反覆手。暮讐朝恩盟不常。秦成之勢已八九。獨有齊國爲膏肓。商於未必作實惠。誑楚所以圖齊強。陳生口開武關閉。張儀舌存熊繹亡。空將國命付緩頰。狐媚欺孤干覊王。空山何處無六百。却使秦強欺楚狂。懷王却墜墮車計。六里山色徒蒼蒼。烟沈郢樹日色薄。草綠江南飛燕忙。持盟曹沫信於隣。不貪伐源謀之臧。相如莫誇完璧歸。澠上之盟其可凉。亡秦必楚語不虛。項籍一炬燒咸陽。驪山得近六里無。回首千載俱亡羊。</text>
<title>壽聖院憶劉學士</title>,<text>客子長吟壯遊詩。足遍關河千萬里。頑雲初卷雪山白。凍日欲斜氷河紫。停車何事涕泗流。爲憶崇安劉學士。是時王室一髮危。藝祖遺業方傾否。中原日月改舊照。朔漠風塵勞玉趾。燕雲消息隔幾年。擧目山河腥雨裏。孤忠自任整乾坤。四郊多壘爲吾耻。栖遑何事楚澤吟。子胥難容吳伯嚭。終敎忠烈墜虎口。玉貌圍中時月累。我心非石不可轉。一節靡他心所矢。讐庭却推龔勝印。富貴何心同衛李。從容孰縊視如歸。取舍熊魚吾决矣。生爲趙臣死趙鬼。國敗家亡更何俟。江南不見華元歸。塞北遽聞眞卿死。桂子丹兮山椒黃。一招英靈入余跪。紛紛人世賣國輩。見此其能無顙泚。題詩古院獨怊悵。白草陰風吹古壘。</text>
<title>登新亭望江河歎</title>,<text>顚倒衣裳亂離中。擇栖東西悲鳥竄。湯湯江漢異昔時。勝集高亭興一惋。緬思王室如燬由。蛙聲始辨華林苑。淸談纔向竹林罷。長嘯又從東門斷。雙鴉飛落二龍遠。虜氛已過天下半。偏安王業建康城。草廬何人起佐漢。風塵身世若泛梗。歲月旄丘易凋換。東風西日客亭上。擧目山河增扼腕。登臨何忍賞風景。楚囚對泣同來伴。心如箕子過殷日。事異尼父臨河歎。江南賴有白水眞。日望英雄能撥亂。燕雲何處問靑衣。痛哭孤臣無羽翰。噫噫吾儕若不淸中原。有如此江言豈但。</text>
<title>去國登玆樓</title>,<text>行路難行路難。羊膓之路能摧輈。行路難行路難。橫江之水能覆舟。人情翻覆劇如此。况復千里登高樓。平生浪跡好任俠。早年遂作江南遊。空將詩句滿人口。酒肆藏名三十秋。虛名不免尺一喚。大隱金門恩渥優。金花御賜尙方牋。紫駝累分龍門羞。文章從古憎命達。一臥香爐年幾周。風塵海內志未售。迫脅丹陽生苟偸。三秋徽纏費越吟。數歲桁楊悲楚囚。寒灰何幸得再炎。夜郞今日孤臣投。孤舟滿載去國恨。更憑危欄添百憂。金牛西土美人遙。玉馬東魯阿兒留。靑衫工部入遠夢。四明狂客悲松楸。天涯空作馬伏櫪。地角難禁狐首丘。櫻花十見夏口店。鴈霜幾度湘江洲。元龍百尺孰不登。老我何事偏生悲。心同王粲向北風。事異周覬悲神州。噫噫幾日脫身鏡中歸。晩節相隨惟白鷗。</text>
<title>關樹穆陵西</title>,<text>故園何在瀟湘川。一客天涯歸期迷。川程渺渺隔幾年。草綠王孫空自凄。長年何事馬蹄閒。白首逶迤關樹西。憶曾去家此爲客。寸舌誇視長卿妻。浮名苦挽歲月催。橋柱徒煩司馬題。狂風吹送古月來。四郊蕭蕭戎馬嘶。關河迢遆阻豺虎。滿目腥雲迷舊棲。停雲佳句憶酒徒。扊扅悲歌思遠閨。昨夜關樹秋風起。夢回西窓心轉悽。關霜不見白鴈傳。楚雲又逢黃耳齎。鄕山幾時得家信。海內風塵猶皷鼙。早知人事到如斯。鹿車恨不雲門携。春風花浪好蕩舟。夜月蘆洲閑杖藜。歸心夜夜伴子䂓。烟樹三更空自啼。平胡何日馬首東。石門更尋東臯犂。</text>
<title>一樹山榴依舊開</title>,<text>孤征暮入斷橋頭。一面愚池容半畒。茅簷日斜鷰雙飛。小庭苔深蛙一部。南來何事涕橫流。一樹花開人去後。憶曾與爾忝宮臣。小技才名滿人口。騷壇共碎五言城。白戰常囚八叉手。金蘭心契繼管鮑。山斗名儒稱劉柳。功名却與命相仇。掩袖宮中逢妬婦。風塵踪跡曉星分。俱落當時射羿彀。封章直欲易吾播。截髮高堂有陶母。霜摧玉樹露晞葉。落月空樑夢來久。寒灰再燃我獨還。一束生蒭奠淸酒。殘花尙有山石榴。竹外嫣然供三喚。吟年花似去年新。去年人已今年舊。鳴琴久絶廣陵散。晩笛忍聞山陽奏。南朝已悼減八達。竹溪翻傷成五友。聯鏕紫陌不可共。揮麈淸談更何有。摩挲古樹不忍去。獨立東風搔白首。</text>
<title>薇蕨餓首陽</title>,<text>夷齊二個孤竹子。首陽一抹河東岡。採山茹薇是何事。至今千載聞猶香。巍乎高節萬萬仞。山耶人耶名俱長。狡童一自不吾好。微子去之箕子狂。牧野之師繼鳴條。我伐用張光于湯。以臣伐君不知非。叩馬來諫明三綱。投璜何處釣周翁。大義不許兵刃傷。將身高卧一片山。採其薇矣充吾膓。三千同德十亂臣。豈爲以薇爲吾粮。桃林之牛華山馬。不義而得同粃糠。天衢日月屬姬家。首陽何獨爲殷疆。傾筐采采亦周草。以粟易之何忍傷。枵然寧死不顧生。只爲後世扶綱常。淸風吹灑六合塵。直與二曜爭晶光。噫噓嘻首陽薇蕨萬古淸。肯換八百周籙蒼。</text>
<title>愁倚兩三松</title>,<text>吾何爲乎生遐想。玉人逈立林之幽。秋風吹我入仙關。洞天日晏紅雲收。驂鸞何處去不歸。倚遍庭松起閒愁。道人身世玉淸家。幾塵戴天山中留。延溪江色釣白魚。凾關雲氣騎靑牛。丹臺已辨一伐毛。洞庭誰識三登樓。金箱寶籙水沈香。玉鼎丹液三花頭。天台有約二十年。鶴氅今日窮冥搜。山空林靜桂花老。嶺帶寒烟秋氣稠。長吟宋玉招隱篇。倚樹終日愁悠悠。</text>
<title>輓詞 祭挽皆佚。而惟趙玄谷輓一首尙傳。故不忍復佚。錄附于此。 [趙緯韓]</title>,<text>危機一觸禍難憑。十二年來罪亦懲。西塞風霜形已槁。南荒炎瘴病還增。開盆未得看天日。就穸那堪對柒燈。無限煩寃何處洩。海門風盪怒潮興。趙緯韓。</text>
