<title>夢作</title>,<text>長風九萬里。吹月度千門。何處一聲笛。東方欲破昬。</text>
<title>次老杜秋興八首</title>,<text>邊聲薄暮動千林。朔氣凄寒風肅森。大漠浮雲多斷續。孤城落日半晴陰。烽煙遠送思鄕眼。隴水長摧去國心。遙想漢都明月夜。玉關情入萬家砧。其二平遠亭前澗水斜。石崖秋景勝春華。微霜着樹紅飜葉。細雨霑梅翠擁槎。溪日凈搖漁子釣。野風淸唳牧童笳。孤城九月邊寒重。不見黃花見雪花。其三陰谷不知白日暉。深居生意漸消微。忽聞卜冊周龜吉。遙見赦書漢馹飛。一氣和時應復善。萬機親處孰匡違。孤臣枯死猶無恨。膏澤均霑八域肥。其四可憐零落局中棊。生死紛紛只自悲。座上傍看眞一笑。目前相勝不移時。驛書江左推枰緩。羽檄興平下子遲。飜覆世間事如此。古人成敗不勞思。其五虛齋日夕見寒山。散步微吟庭戶間。目送飛鴻歸上苑。心同羈馬望鄕關。隴波得雨添新響。塞草迎霜變舊顔。惟有月中千里夢。首簪彤筆侍臣班。其六詞賦平生浪費功。謳吟暮歲茂山中。屈原怨調靑楓岸。宋玉悲歌落木風。浮世等閒雙鬢白。寒宵耐久一燈紅。深齋獨抱遺經坐。永憶巖居註易翁。其七終南山足漢湖頭。萬畞蕪菁九月秋。千里採來當歲暮。數根看去益鄕愁。齕靑夜聚東郊馬。啄白朝喧北渚鷗。忍見老親封處。淚痕點滴到邊州。其八永思齋外樹逶迤。新得芙蕖種小陂。梨栗園多先故植。栢松阡長子孫枝。露晨起數花房坼。夕照耽看盖影移。別後舊山遙黯黯。夢中秋實亂垂垂。</text>
<title>疊移字</title>,<text>靑門沙路濶逶迤。尙記看蓮下馬陂。綠泛橫連波荇帶。紅開交映岸花枝。折歸堂上香逾凈。持揷壺頭色不移。昔日繁華如一夢。胡霜塞雪鬢邊垂。</text>
<title>再疊</title>,<text>天寒隴坂慘逶迤。百里荒茅覆萬陂。旱畞少收空滯穗。霜林無實只疎枝。山深猛虎村村下。澤竭鳴鴻岸岸移。嶺外思家憂國涕。窮年更爲塞民垂。</text>
<title>次聖姪入城韻</title>,<text>謫遠知吾罪。安貧乃爾常。近聞瓦盆醉。應作竹林狂。城郭來何事。田園老不妨。階萱當歲暮。珍重護寒霜。</text>
<title>次杜韻</title>,<text>一帶長江水。華夷界此分。野空南牧馬。秋靜朔方雲。塞月虛弓影。邊塵宿劒文。寒城歌管熱。醉卧李將軍。</text>
<title>蔡可遠持新曆來示。此今年始見。遂賦一絶。</title>,<text>誰將新歲曆。來展逐臣堂。不問天恩赦。惟看日短長。</text>
<title>先考生辰感痛。疊去年今日韻。</title>,<text>樊山松栢繞齋祠。雨露濡時愴遠思。獨立天涯無限淚。每年今日一篇詩。</text>
<title>慈親生辰。疊去年今日韻。</title>,<text>睡起凄然憶故鄕。三年此日隔萱堂。惟將萬壽中心祝。留醉春風小子觴。</text>
<title>三日。疊去年今日韻。</title>,<text>萱室起居近若何。塞寒南鴈未回過。四年淚向天涯積。三日詩成客裏多。隴樹春容花絮寂。胡山愁色雪氷和。遙憐舍姪樊川岸。晴晝垂竿弄碧波。</text>
<title>寒食。次去年寒食韻。</title>,<text>非官非客亦非居。底事行吟靺鞨墟。今日又寒茂城食。幾年空憶漢江魚。人間至樂違忠孝。林下閒情負釣漁。遙想阿咸先隴下。祭餘歸謁退村閭。</text>
<title>放李生俊宗所遺鴈 幷序</title>,<text>夫鴈。有雲霄之翼。而不能色斯而擧。見擒於人。何耶。其爲稻粱所誘而蹈危機者耶。其偶然爲罻羅所襲而非其取者耶。是不可知也。雖然。玩物非我心也。耗糓。亦非分也。又哀其羈囚而不得展逸翮。有似於余。故使奴人集鳥羽。補其翼之剪傷者而放之。鴈翩翩然躚躚然。低翔越籬而去。恐其墮地而爲人獸所害也。使人往視之。鴈無焉。盖已遠擧矣。禽鳥之被捕也。或登於鼎俎。或困於囚縶。乃其常也。而是鴈經虞人之手。經李生之手。而至於我。凡三閱人而竟脫焉者。雖在微禽。其亦有幸不幸之數。寓於其間耶。爲之一笑。遂次唐人詠鴈韻。翠壁明沙豆岸迴。春流處處碧於苔。今朝解爾籠中縶。一任江湖好去來。</text>
<title>放鴈後。見其縶留之所。不無依依之思。疊前韻。</title>,<text>鴈去天邊不復迴。舊巢餘粒散庭苔。旅窓斜日依依望。何處煙沙自往來。</text>
<title>一燕新至有感。疊去年所次杜韻。</title>,<text>乳燕和鳴廣春。吾親堂上感懷新。啣泥巢處傷羈寓。將子飛時望遠人。投食可憐齊仰哺。繫書難借一飜身。何時歸聽簾前賀。低拂頭邊白葛巾。</text>
<title>山花盛開。如鋪紅錦。</title>,<text>千山花氣遠浮紅。北塞春光南國同。勝觀得非踰謫分。開門身在錦屛中。</text>
<title>羅深源自京而至。相對驚喜。賦茂山遠歌以示。次其韻。</title>,<text>茂山遠遠憶疇昔漢城里。漢城里中太平春。春風淡蕩荷塘水。詩牋酒杯紛紛處。奇士高朋袞袞至。勝遊如今一夢空。柴門獨掩關河沚。何來門外喚我聲。倒屣出迎一驚喜。三年不見故鄕人。不意吾君今到此。知舊年來半死生。語罷驚定空涕淚。且置不道惟一笑。滿山花鳥春風起。新詩莫唱茂山遠。目極南天更愁思。</text>
<title>次聖姪九日韻</title>,<text>九日黃花酒。秋光幾故園。詩來楓樹岸。人隔竹林樽。歷歷樊丘木。依依甲里門。邊霜凋冷蘂。能有晩香論。</text>
<title>次士固寄示韻</title>,<text>死別生離淚。居然歲筭繁。朝廷半嶺海。家室各鄕村。草樹樊川長。雲霞錦水昬。遙遙一天末。門閉豆江源。</text>
<title>六月八日夜。坐待鷄鳴望哭。疊前韻志哀。</title>,<text>幾度逢今日。孤臣尙此間。蒼茫晨望哭。怳惚昔瞻攀。哀響隴頭水。愁容塞上山。惟聞豺虎嘯。不見𪆽鵷班。</text>
<title>次聖姪詠櫻桃韻</title>,<text>樊廣園中。櫻桃幾百叢。端陽依舊熟。淸曉薦新紅。千里詩空見。三年祭不同。半生孤露感。衰淚九原通。</text>
<title>撤松棚。疊去年韻。</title>,<text>沙塞流遷歲月多。幾回秋冷與春和。松棚已見三成毁。恠我髭鬚尙未華。</text>
<title>除日。疊去年所次高蜀州韻。</title>,<text>燈下羈愁不暇眠。雪風虛舘夜凄然。孤臣故里三千里。偏母明年八十年。</text>
<title>二月二十三日。府吏來示營關。是今月三日。朝家放余之報也。不勝驚感。南望四拜。口呼一律。</title>,<text>宥旨遙傳豆水濱。初聞不覺淚霑巾。再生得見老親面。萬死那酬明主仁。感極向南惟拜手。悲深投北若終身。歸鞭催拂三峯雪。驛路千花萬柳春。</text>
<title>過樂民樓。行忙未登。遂賦一絶。</title>,<text>遠投關塞久羈留。此去江湖復退休。憂樂斯民非我責。何妨不上樂民樓。</text>
<title>過京城東門。悲喜感激。情不自抑。下馬展拜。疊在茂山見宥文時韻。</title>,<text>復見南山漢水濱。東城花柳照衣巾。益知宥罪吾王德。更泣昭誣聖考仁。庭陛今無趨謝路。江湖昔已退休身。歸途一望都門拜。願享昇平萬壽春。</text>
<title>夏夜對聖瑞兩姪及李生東彬。拈杜韻各賦。</title>,<text>不道與渠輩。今宵登此樓。微微槐月上。淡淡野雲浮。問字來新客。垂竿有舊舟。滄桑人世事。都付水東流。</text>
<title>申判書 銋 輓</title>,<text>直節孤忠曾或有。贈官宣謚近尤多。看公隻手扶宗社。九十夷然渡海波。</text>
<title>次兒輩和柳州江雪韻</title>,<text>江閣北風寒。孤燈明復滅。寂寥樊中。誰掃墓前雪。</text>
<title>次兒輩春江小船韻</title>,<text>時憂世變歲俱新。病卧江湖又見春。斯世已孤濟人志。小船春水試經綸。</text>
<title>題令姪所藏畫帖</title>,<text>岸樹花爭發。春江水自波。佳處知無限。幽人不在家。其二山下一茅亭。亭臨高樹杪。中有忘機人。前陂下幽鳥。其三雲樹重重深。孤舟何處客。隣人持酒來。疑是桃源夕。其四湖平風帆散。野濶漁村孤。思添樓百尺。揭作岳陽圖。</text>
<title>樂村臨歸。李幼安 秉泰 用余前韻以贐。遂次之。</title>,<text>霜菊笑留人。寒溪鳴送客。出門屢回頭。山逕獨歸夕。</text>
<title>賜柚用兒輩韻</title>,<text>東岡迢遞隔西方。仙實何來落地黃。拜賜頭邊迴北斗。開包手裏灑南霜。未承顧問登丹陛。遠被恩頒忝玉堂。留待朔朝供廟薦。一雙珍重帶天香。</text>
<title>次姪孫相肱詠畫簇韻</title>,<text>一鴈仰含荻花秋。一鴈俯啄水草洲。冥冥意在雲霄外。縱有虞人不可求。右蘆渚雙鴈落落雙松對作林。林間二老坐淸深。相看不語招無答。意在高山流水琴。右松下二老</text>
<title>余以所居水土之疾。將移驪之沂川。李生九成當隨舍姪入京。有悵別之作。却次。</title>,<text>郊原昨夜雨如期。草木煕然共化時。憐爾辛勤何所得。悲吾窮獨有相離。山泉不似人情厚。巢鵲應先主意知。好去漢城須篤學。詠歸沂上更追隨。春間。鵲巢庭樹。巢旣成而棄去。故第六云。</text>
<title>舟行記興</title>,<text>春水無風鏡面平。春山向日畫圖明。中流一棹悠然去。兩岸花林百鳥鳴。</text>
<title>仁祖大王遷陵輓</title>,<text>天爲艱虞出聖王。宗祊再造正倫綱。乾坤忍痛含寃意。簡策深仁至孝光。東土百年懷舊德。西河八月改新岡。神孫世世遵嘉範。陟降於昭在帝傍。</text>
<title>仁烈王后遷陵輓</title>,<text>恭惟仁烈內治敦。懿德周家十亂存。修苑役興愀玉色。覆舟圖揭進箴言。陰功夙贊龍飛日。靈駕同遷象設原。佇看緜緜瓜瓞慶。嗣王殿下聖玄孫。</text>
<title>沈生鎰輓</title>,<text>長才短筭茫茫理。老母靑孀寂寂門。猶有乳兒傳後事。也知君沒勝吾存。</text>
<title>次崔都正 柱岳 韻</title>,<text>驪岸歸來理釣船。新齋寄在水西偏。春波渺渺連淸漢。扣枻高歌待老仙。</text>
<title>看耕</title>,<text>山村白日靜柴荊。時有林風拂面淸。騎馬晩來渡溪去。野田閒看木花耕。</text>
<title>冠江亭次韻</title>,<text>高亭百尺坐如天。春水氷開老檜邊。俯視雙鳧閒泛泛。此心隨汝共悠然。</text>
<title>桃川次唐絶六言</title>,<text>深入千重山水。忽看數十村家。他時却恐迷路。分付多種桃花。其二樂土我爰得所。衰年便欲移家。秋日村村黍畞。春風樹樹梨花。其三何時惠好携手。是處歸來作家。一卧白雲明月。閒看落葉開花。</text>
<title>合江亭。奉次農巖三淵韻。時主守來送余入雪嶽。坐有笛童簫客。</title>,<text>江合雙流處。亭成十字奇。排簷高下樹。揭壁古今詩。雪嶽浮蒼翠。寒溪漾綠漪。半生宦情盡。玆縣尙堪爲。</text>
<title>舍那寺與申明瑞洪虞瑞 鳳祚。拈杜韻各賦。</title>,<text>古寺山回處。寒天客到門。讀碑蒼蘚落。看塔白雲飜。塵事郡城隔。道心迦葉尊。夜來添爽氣。圓月上東園。</text>
<title>次虞瑞韻</title>,<text>我愛洪虞瑞。高標世罕看。聖朝做平蕩。散地占淸閒。鄕社時尋友。江村晝掩關。明年春色至。携手入香山。</text>
<title>偶成</title>,<text>子兼臨晉帖。明瑞抄唐詩。我獨倚床睡。客來渾不知。</text>
<title>甲寅二月。發關西行。踰獐峙。</title>,<text>時平朝士混漁耕。未試經綸鬢已星。匹馬春風橫劒去。壯心先上統軍亭。</text>
<title>馬上口占</title>,<text>民憂袞袞幾時了。世事紛紛逐日生。不如抽得吾身去。間傍靑山綠水行。</text>
<title>龍川途中</title>,<text>忽失春三月。行窮地一隅。寒風度沙磧。夜雨洗荒蕪。朔氣山麁厲。邊聲水咽嗚。居然意豪壯。西去欲平胡。</text>
<title>長壽山城龍湫</title>,<text>石崖中坼瀑流懸。下有澄潭似月圓。僧道白龍深處伏。時乘雲氣上靑天。</text>
<title>路中憶宋聖章 必煥</title>,<text>浮世紛紛慣送迎。客中離合最關情。忽看九月山光近。重憶平山太守行。</text>
<title>望朴判書 世堂 舊居吟一絶</title>,<text>山前溪水繞柴門。聞昔判書居此村。借問閒中何事業。至今千樹栗盈園。</text>
<title>北遊。至叢石亭下舟。訪穿島。仍登喚仙亭。</title>,<text>危欄面面石叢叢。移興滄波倚短篷。弄玩東溟一杯水。去來穿島半帆風。平生勝賞斯爲最。垂老重遊意不窮。沙岸觀漁乘晩罷。喚仙亭上喚仙翁。</text>
<title>元山觀漁。適得安邊守詩札。率爾答之。</title>,<text>得意平生最此遊。巨溟東北冠靑丘。元山日暖排魚網。呂島雲晴見蜃樓。放盡乾坤千里眼。洗空塵世百年愁。鶴城太守知淸趣。詩札辛勤到海頭。</text>
<title>歷瞻濬源殿及本宮</title>,<text>豐沛山河繞故宮。興王佳氣鬱葱葱。浮雲尙帶飛揚意。想像臨筵詠大風。</text>
<title>乙巳。歸自茂山。路過咸興。而離親情理。不暇登樂民樓。秪賦一絶曰。遠投關塞久羈留。此去江湖復退休。憂樂斯民非我責。何妨不上樂民樓。今登樂民樓。對按使。誦前詩。按使曰。詩不無怨意。宜疊賦以解之。遂次前韻。按使李公箕鎭。</title>,<text>閒雲倦鳥去還留。橋下川流幾日休。廿載江湖憂國意。白頭今上樂民樓。</text>
<title>甲山途中</title>,<text>炎天氷雪隨山有。白日蚊蝱動地來。尙看春色同南土。一路繁香芍藥開。</text>
<title>三池兩絶</title>,<text>白山眼中逈。三池脚下平。不知開闢後。幾人此間行。其二一鶴自何至。盤回雲木間。明朝吾駕汝。飛上白頭山。</text>
<title>夜宿臙脂峯下</title>,<text>泥行露處無人境。興入仙山自忘回。夜到臙脂峯下宿。九天笙鶴夢中來。</text>
<title>登白頭山絶頂</title>,<text>上頭中坼壁四圍。深可千尋周百里。攢峯峭石紛無數。下有泓渟巨潭水。其二初看眩駭又叫奇。偉哉造化功如此。東海三山皆下風。不識崑崙更何似。</text>
<title>撫夷鎭登高望八池</title>,<text>雨後雲埃凈塞天。登高北望八池圓。何時朔野爲王土。去賞秋風五色蓮。</text>
<title>行至慶興。伏奉副學除旨及召命。及歸到茂山。聞有遞差之命。且聞筵中。以臣遠遊。至擬以方外之士。不勝感悚。謹賦一絶。</title>,<text>纔驚寵命到遐裔。旋裭華銜安野心。聖主許爲方外士。優遊山水荷恩深。</text>
<title>僧巖呼韻</title>,<text>長嘯騰身百丈巖。天開萬里俯東南。碧城煙樹鱗鱗屋。滄海風濤點點帆。</text>
<title>歸度咸關嶺</title>,<text>南歸鞍馬可淸秋。按使期吾白嶽遊。已度重關千疊嶺。夕陽疎雨見咸州。</text>
<title>扇墜水中戲作</title>,<text>此物西風慣障塵。塵埃着汚拂難新。今朝一濯淸流水。好逐浮遊物外人。</text>
<title>雙龍寺</title>,<text>蚤來雲物晦。溪水飮雙龍。日出林霏散。蒼然立二峯。</text>
<title>梅鶴亭。次玉山韻。亭本黃孤山所有。傳於其婿玉山。</title>,<text>庭前綠水浸平沙。欲脫征驂買一簑。釣罷雨晴明月上。手招雲鶴弄梅花。</text>
<title>過冶隱遺墟碑。次魚浪仙韻。</title>,<text>誰將片石表而書。冶隱先生昔此居。翠竹萬竿餘舊種。烏山千疊滿遺墟。精忠圃老同肝膽。苦節籠翁共里閭。看罷悲歌出林去。夕陽明滅更愁余。</text>
<title>陶山書院</title>,<text>吾東文治際明宣。高卧陶山有大賢。進退當時思爛熟。非關所樂在林泉。</text>
<title>蓮臺寺。夜作草書。</title>,<text>兩僧磨墨奴伸紙。禿筆揮成大草來。燭前巨石圓峯落。新自金生窟裏迴。</text>
<title>覺華寺。次申正甫 靖夏 韻。贈倫上人。</title>,<text>白頭逈不羣。太白出塵紛。纔臨大澤水。將踏黃池雲。蠟屐無冬夏。仙山幾曉曛。老僧長面壁。應笑我徒勤。</text>
<title>孔淵</title>,<text>三陟使君李秉淵。孔淵鐫字孟冬天。想看笑拂蒼髯坐。得句微吟弄石川。</text>
<title>贈別李君元靈 麟祥</title>,<text>北遊明瑞曾言病。南到元靈又病歸。窮寂百年元我分。山林獨往未應非。</text>
<title>與朴生錞觀日出</title>,<text>淸晨一笛向東吹。待日松臺日上遲。我欲劒開雲翳盡。淸明直到下崦嵫。</text>
<title>七佛寺。次三淵韻。</title>,<text>居僧莫問我爲誰。我是人間男子奇。北上白頭臨巨澤。東遊太嶽俯黃池。狂歌擊節猶堪老。遠客經年未覺遲。一宿招提明發去。天王峯頂倚筇枝。</text>
<title>南溟雙刀。尙在其後孫家。出以示余。其柄一刻內明者敬四字。一刻外斷者義四字。皆先生手筆也。</title>,<text>雙刀出匣雙虹閃。手澤猶存手筆銘。想像雷龍亭上掛。軒窓白日起風霆。雷龍亭。是先生平居之所在三嘉。</text>
<title>換鵝亭。戲題。</title>,<text>春風戲筆換鵝亭。洗硯池明窓外庭。寫罷籠鵝亦近俗。胷中領得稽山靑。</text>
<title>訪蘇處士凝天</title>,<text>看水近乎智。看山近乎仁。若不得眞味。莫如看好人。</text>
<title>學士樓 樓在咸陽。崔孤雲爲邑宰時所刱云。</title>,<text>學士樓中詩酒仙。何年作吏坐超然。千秋仙去樓空在。時有孤雲度檻前。</text>
<title>謁一蠧齋書院。謹次退溪韻。</title>,<text>名山之下大賢鄕。地蘊靈奇人俊良。戶戶虔誠尊蠧老。峯峯拱揖向天王。</text>
<title>登星州城</title>,<text>四圍城濶山容遠。數曲溪回野色多。溪北溪南三十里。城中城外一千家。</text>
<title>過華陽洞</title>,<text>昔年遠訪華陽洞。今日華陽洞外過。怊悵情懷何所似。怱怱不入故人家。</text>
<title>還家</title>,<text>去日寒天雨雪霏。歸來門柳嫰黃垂。隣朋問我有何得。添却春風雙鬢絲。</text>
<title>崔東萊子亮 命相 輓</title>,<text>淡味如玄酒。忠言有皁囊。老爲萊府伯。客死劇凄凉。</text>
<title>明瑞訪君範向州村。翌日當歸。夕後散步門外。有一客騎馬渡溪。初以爲明瑞。至則君範。明瑞亦追至。共說其來時作。却次。</title>,<text>步出柴門外。前郊暝色遲。憐君騎馬至。及我倚筇時。山月侵書幌。溪風捲釣絲。追來有隣友。共說舟中詩。</text>
<title>與君範。有翫月甓寺之約久矣。六月十六日早起。偕明瑞渡江。馬上疊前韻。</title>,<text>雙騎翩然去。孤山度不遲。江郊二十里。天氣淸明時。浦岸橫舟楫。漁村曬網絲。東臺今夜月。宜續再遊詩。</text>
<title>雨夜明瑞留宿。仍懷君範。次蘇齋韻。</title>,<text>吾友能來過。夜闌溪上居。林風兼雨亂。野水接天虛。閉戶靑燈近。吟詩白髮疎。遙知牧谷子。不寐坐看書。</text>
<title>與明瑞觀漲懷。君範拈老杜江漲韻。各賦。</title>,<text>六月前溪雨。層濤捲野流。雙池一時滿。獨樹半空浮。戒僕輕舠具。留朋壯觀謀。懷人杳千里。宛在水中洲。</text>
<title>耐老窩感舊 窩是洪耐齋泰猷伯亨所居。</title>,<text>如玉人何處。林間空舊亭。軒窓汀月白。松檟山靑。雲鶴飛無跡。秋江逝不停。庭前老大樹。留閱幾霜星。</text>
<title>七月旣望。夜深雨霽。與明瑞，君範。向甓寺。舟中拈杜韻共賦。</title>,<text>風露浩無際。扁舟坐爽然。天高新雨後。月滿大江前。兩岸樹如夢。千村人盡眠。此間無限興。吾欲笑坡仙。</text>
<title>又拈李白鳳臺韻</title>,<text>甓寺淸樓幾度遊。扁舟更好夜乘流。携來南岸孤輪月。飛上東林百尺丘。牧老詩懸塵暗壁。懶翁碑在草連洲。狂歌且盡一樽酒。滌蕩胷中千古愁。</text>
<title>與明瑞洪盛仲 晉猷。往州村。歸路。捨馬登舟。到楊花津。任擇夫 選 諸友。挐釣舟。相待笑詑漁趣。仍誦其詩。却次。</title>,<text>十里澄江一棹飛。秋風不動夕波微。故人待我沙邊久。並着輕舟泛月歸。</text>
<title>天安途中。追思戊申春奔問時事有作。</title>,<text>此路曾奔問。湖中彌賊兵。驚聞喪淸帥。錯報犯王城。郡舍鳥爭下。店村煙不生。誰知十載後。無事作閒行。其二昔余過此郡。追逐上番兵。路遇民投藪。人傳賊據城。癡狂思起義。慷慨欲忘生。更覺勤王急。催鞭遂獨行。其時行未及天安郡。傳聞賊已據城。發倉餉軍。人皆驚懼不前。余曰。試前無怖。適遇鄕軍赴番者數十人。招其領首。勉以忠義。且約曰。吾屬比至郡。望見賊果據郡。則一邊相率討賊。一邊啓聞如何。衆皆樂應。遂前行到郡。郡一空無守長。無吏民。賊亦無焉。余謂番軍曰。賊若在郡。則宜不計死生討之。而此旣無賊。賊在淸營退。而討賊旣非吾職。不卽奔問。義又不可。吾當自此疾行向洛。汝等亦宜速來。遂催鞭獨行故云。</text>
<title>仍以其時所聞見及平素所慨惋者。疊賦。</title>,<text>昔辭林里日。淸縣已狂兵。變報聞莘谷。凶關見錦城。至今猶有憤。當日欲無生。郭外寒山色。愁迎舊客行。其二兇逆宜殄類。仁君不極兵。潛滋遍一國。盤據半京城。天地雖同育。臣民忍與生。秋風撫短劒。匹馬向南行。其三我東太平久。倉卒見戈兵。被髮丞逃驛。投符守棄城。安危誰注意。大小各圖生。獨有上番卒。如期負羽行。其四湖西數百里。不見一官兵。店店虛無主。州州只有城。野屯多賊陣。林竄半民生。擾擾風塵裏。孰爲奔問行。其五一死緣他罪。人人欲手兵。坐令賊向闕。未見士嬰城。雲木公山鬱。秋濤錦水生。至今遺恨在。軍律不能行。</text>
<title>拱北樓。次板上韻。</title>,<text>城峻壁危地盡頭。古來天塹護雄州。淸秋暫駐征南駕。往事追思拱北樓。漢甲何曾鳴賊壘。秦鞭幸不斷江流。宗祊祚厚吾君聖。及此昇平且遠遊。</text>
<title>又次舟字</title>,<text>倦客南來獨倚樓。君恩北望更回頭。太平煙月江湖老。又上秋風錦水舟。</text>
<title>自神院寺。出山路。得朴珍山 弼文 投示作。却次。</title>,<text>風霜弊盡舊貂裘。浪跡東南晩未收。湖外故人多白首。山中何處有丹丘。衣巾潤帶龍湫雨。杖屨淸携鳳洞秋。月谷騷翁詩一紙。朝來珍重渡溪流。</text>
<title>林川玉谷拜疎齋墓。疊今春南海絶句韻。</title>,<text>忠還爲逆逆爲忠。斯世何時國是公。寂寞荒山秋草裏。後人誰識補天功。</text>
<title>白馬江。次趙煕甫 緝 韻。</title>,<text>喬木風高落葉忙。樓臺寂寞路人傷。忠奸不定浮雲變。恩怨俱空逝水長。護石庵虛餘大字。依山廟古帶殘陽。盛衰何用興悲慨。故國繁華一夢塲。</text>
<title>疊</title>,<text>祚延七百豈云忙。亡國遺墟亦足傷。般樂不知天命去。豪華自謂我生長。荒城亂燐飛秋草。古寺寒鐘起夕陽。安得模移獻吾主。九重常目黍離塲。</text>
<title>飛飛亭。次板上韻。</title>,<text>尤翁大字遍東韓。亭扁飛飛最可觀。淸麗一川水相暎。恢疎百里野俱寬。點圓岸上蒼巖落。畫勁階前老竹寒。揭壁記文共奇健。晩生瞻翫爲盤桓。</text>
<title>金山寺。用唐人金山寺韻。</title>,<text>壯麗金山寺。樓臺上界分。三軀六丈佛。一塔九層雲。左海不多有。中州空遠聞。松壇宜爛醉。紅樹對人醺。</text>
<title>三窟三絶</title>,<text>窈窕觀音窟。苔巖一色翠。仰看馬耳峯。直揷雲天裏。其二縹緲脩竹窟。飛欄跨絶壁。聊一褰衣登。衰年試脚力。其三穹窿羅漢窟。羅漢若星燦。坐我羅漢間。便成一羅漢。</text>
<title>臨行。奉地主金正叔 時敎。</title>,<text>一笑相逢一笑別。人生聚散等浮萍。莫愁湖海前期濶。不在風亭在濟亭。約與更會于光州全州。故末句云。</text>
<title>登廣寒樓感吟</title>,<text>爺孃少日到玆州。吾祖曾分百里憂。小子當時未墮地。白頭今上廣寒樓。</text>
<title>喚仙亭</title>,<text>沃川煙月滿江潭。通雲霞繞海巖。仙子飛來不待喚。御風今過小江南。沃川。亦有喚仙亭。通川。亦有之俱嘗登觀。</text>
<title>路上遇漁子網魚。駐馬發視之。小鮒百餘。鮮新可觀。問其直。不過二文錢。遂加一文以買。</title>,<text>漁子網魚立水邊。遊人駐馬發筠筌。江鄕細瑣猶風致。百箇銀鱗直二錢。</text>
<title>忠愍廟。次板上忠武公韻。</title>,<text>鯨海功名大。馬山忠節高。平生符十字。看取舊雙刀。馬山。廟後山名。</text>
<title>倭臺</title>,<text>臺上風高雲更屯。蠻奴陣處跡猶存。天低碧海環三面。地迫靑山當一門。磧壘依稀蛇鳥動。城壕髣髴虎狼呑。小酋渠亦知兵者。注目寒空倚斷原。</text>
<title>樂安郡曉發向澄光寺</title>,<text>悠悠世事不相關。強半光陰寄馬鞍。聖主許爲方外士。天公遣踏大東山。今年海曲無昬瘴。十月湖南只薄寒。曉發樂安行廿里。澄光寺在翠微間。</text>
<title>次萬德山白蓮寺林石川韻 幷小序</title>,<text>余嘗聞此寺詩軸。有樓頭朝暮鼓。樹際古今舟一聯。世稱爲名句。而不知爲誰人作。只諷詠之。想見其境界。而恨不得其全篇。今至此寺。取見詩軸。軸有五絶諸作次石川韻者。而押秋舟二字。余意舊聞一聯。似是石川作。而爲此詩原韻矣。然不載於軸中。可異也。以問於僧無知者。有凈信師者曰。石川詩。昔固有之。中間見失。小僧適記之。仍誦之曰。滯雨金山寺。微凉八月秋。下聯云云。余於是。始得聞其全篇。而以爲奇遇也。噫。文章顯晦。固亦有數。而倘微信師之口傳。則顧何由旣晦而復顯乎。余觀是詩。韻格淸新。意境諧愜。當爲短篇中絶調。而使信師一朝歿焉。則詩將失傳矣。豈不可惜。遂錄其詩而記其顚末。仍次其韻爲二篇。並以授信師。俾傳於永久而勿失焉。寺有金生書萬德寺白蓮社六大字。以爲額板。而筆法雄健奇古。當與此詩。並爲山門之寶云爾。冬靑春萬樹。山白雪千秋。榜揭金生筆。樓迎徐子舟。</text>
<title>疊</title>,<text>明珠滄海上。顯晦幾春秋。爲向山人道。深藏壑底舟。</text>
<title>偶吟</title>,<text>進身未做臯夔業。退處難修孔孟編。竊位盜名吾所恥。不如看盡好山川。</text>
<title>望漢挐山</title>,<text>東登兜率頂。南望漢挐山。海濶孤帆去。天空獨鳥還。</text>
<title>更訪松汀。月夜登湖亭。次伯雨 春澤 題壁韻。</title>,<text>寒雲故紙動新色。伯雨何年登此亭。醉唾應添海水白。豪情欲剗煙巒靑。一生抹摋文章好。萬事悲凉天地冥。朗詠兩篇明月裏。溪聲松籟爲泠泠。</text>
<title>鳴梁歸路。歷登鼎串寺，靜海樓，太平亭，望海樓。到伏波舘。與水使成殷錫，虞侯金碩垕觀射。</title>,<text>右水營前觀戰船。伏波舘上挽強弦。書生亦有平蠻志。恥作湖山詩酒仙。</text>
<title>平明登舟。乘潮向珍島。水使來別船頭。</title>,<text>天晴潮水送輕船。快若乘風箭發弦。朝日元戎臨海上。棹歌鐃吹餞遊仙。</text>
<title>寶城郡思舊守尹景平 心衡。次其用柳州韻題客舘詩。</title>,<text>城煙野日暮荒荒。去國君曾滯渺茫。主辱可湔傾海水。時憂政急在蕭墻。雲山想像淸高操。霜竹依俙勁直腸。詩什更看疎宕意。寧同子厚苦思鄕。</text>
<title>曉向格浦</title>,<text>夜宿來蘇寺。朝尋格浦程。星河出洞曙。氷雪渡溪明。迫隘悲衰世。畸窮笑此生。溟波馬前濶。聊復寄遐情。</text>
<title>登格浦烽臺。疊前韻。</title>,<text>銀海三千界。璇霄九萬程。層臺最逈絶。一覽盡虛明。白日亭亭度。彤雲冉冉生。求仙眞妄想。長嘯暢幽情。</text>
<title>再疊</title>,<text>已爲方外士。頻踏海濱程。縱眺窮天地。狂歌信聖明。山當遙嶼起。風自亂松生。日晩浮雲去。飛揚萬里情。</text>
<title>石窟</title>,<text>石窟高而寬。中開大庵子。庵中有老僧。長飮玉泉水。</text>
