<title>洞口卽事</title>,<text>澗水潺湲響。楓林爛熳紅。扶筇何處去。笑指白雲中。</text>
<title>聞楓湖秋色正好。偸隙出遊。金持平世行亦從。船上口占。</title>,<text>聞道楓湖秋可憐。偸閑今日戒征鞭。遊人興在靑驢背。小妓歌驚白鳥眠。最愛荷花裁錦繡。爭誇桂棹任洄沿。煩君且莫催旋駕。留待波心月影圓。</text>
<title>倚雲樓</title>,<text>淡淡輕風颺綠帘。銀床氷簟午眠甘。危譙近海常多霧。高閣連雲不受炎。把酒偏憐黃鳥請。聞歌閑對素娥憨。遨頭事業眞堪笑。嘯詠終朝弄筆尖。</text>
<title>寄季周</title>,<text>二年相別隔商參。覊思逢秋轉覺深。迹滯鈴齋空坐嘯。躬耕田畒謾飢吟。音容想處人如玉。篇什投來字直金。鏡浦同遊佳約在。一壺聊擬對床斟。</text>
<title>初度日志感</title>,<text>嶺外優遊已過朞。佳辰適値降吾時。綺羅擁座香生席。絲管喧筵酒滿巵。老去偏傷風撼樹。夢回何耐草生池。還思客歲團圓樂。兄弟相携盡白髭。</text>
<title>九月旣望。始作靑鶴洞之遊。此乃二年經營者也。喜而口占。</title>,<text>長郊得意使君騶。不是尋常理屐遊。候帳遠連靑鶴洞。嬌歌爭唱白鷗洲。二年宿計還今日。四序佳辰最九秋。滿地江湖波浩渺。停驂東望興悠悠。</text>
<title>土谷村夜酌 村在靑鶴洞口</title>,<text>絶景曾從卷裡誇。靈源咫尺路還賖。攀梯足踏鴻濛色。扶杖身披太古霞。燭影依微淸夜久。歌聲窈窕白雲斜。停杯不耐滔滔興。月魄先侵綠水涯。</text>
<title>瞻拜實錄志感。奉奉安使閔聖與 點 與本道伯趙公擧 師錫，襄陽守李文伯 寅煥。</title>,<text>先朝實錄嶺東來。良史波濤大筆裁。從古明王誰彷彿。至今窮谷尙悲哀。謳吟可耐音徽遠。趍走還疑袞冕陪。爲問近臣餘幾箇。與君相對淚沾腮。</text>
<title>贈公擧</title>,<text>西郊摻袂恰三年。消息中間一札傳。別恨剩添分竹後。歡情忽洽把杯前。談來却喜風生頰。携處應憐雪滿顚。嶺外淸遊天借便。鏡湖烟月擬同船。</text>
<title>次任督郵道三韻</title>,<text>携筇踏盡五㙜深。踈冷殘花尙抱林。不必絃歌酬妙曲。偏憐山水有淸音。靈宮隱映浮雲衛。哀壑嵯峨老木陰。列坐巖邊幽興足。酒間端見百年心。</text>
<title>十月之望。月色甚明。臨賞鶴㙜。醉後口占。</title>,<text>宵柝初鳴鳥返巢。蕭條暮色滿平郊。月涵堤柳淸泠並。雪洒楓林赤白交。興到絃歌隨處在。慵來朱墨等閑拋。酒闌倒幘猖狂甚。一任村童拍手嘲。</text>
<title>走次公擧寄示韻</title>,<text>行處長亭接短亭。鈴齋獨坐酒初醒。愁看樑月偏添白。悵望雲山未了靑。忽喜篇章投拱璧。懸知遐裔耀文星。重遊會待春波濶。蕩漾仙帆放鶴汀。</text>
<title>次泛翁韻</title>,<text>終南淸渭隔重重。韓孟雲龍憶更從。可惜年光如水逝。忽驚春信又雷封。蘇州杯酒思人切。何遜梅花滿意濃。悄悄畸懷無處瀉。題詩聊寄兩詞宗。</text>
<title>聞起之將欲來此之報。喜甚口占先寄。</title>,<text>北塞行人報枉騶。東關旅客解忘愁。誰知異域三年別。忽作名區十日遊。楓浦雪消携竹杖。鏡湖氷泮共蘭舟。殘齡此會眞難得。先寫新詩向爾投。</text>
<title>次起之韻</title>,<text>經年作別恨愁深。千里辛勤疋馬臨。最愛椒觴酬永夜。偏憐檀板有淸音。佳辰爛熳宜濡筆。渾室團圓恰慰心。嶺外玆遊誠可詑。對床先寫短長吟。</text>
<title>次聯句韻</title>,<text>蘭舟蕩漾泝湖遊。形勝東南覺最優。靑島紅巖呈衆景。黃岡赤壁較千秋。春回別浦梅花發。霞鎖靈源桂樹幽。安得謝公摸寫手。無邊物色筆端收。</text>
<title>次起之呼韻作</title>,<text>吹來野水玉杯添。兄弟相携子姪兼。風浪引帆搖別浦。雪花如席舞前簷。當筵鳳管嘈嘈語。拄笏螺鬟點點尖。萬象籠羅輸謾興。撚髭終日彩毫拈。</text>
<title>鏡浦偶吟</title>,<text>佳麗臨瀛五馬來。今之太守亦榮哉。已經嶺外三寒暑。却筭壺中十往來。謝眺詩情樓月滿。稽公酒興玉山頹。謫居猶得江湖勝。歌詠時時望斗魁。</text>
<title>次雲溪 兪公瑒號 寄示韻</title>,<text>鈴齋靜似野人居。獨對晴窓晝檢書。時向鏡中閑泛鷁。幾尋濠上好看魚。佳辰酒興山公最。勝處詩情謝眺如。忽報西疇春事急。携琴觀稼雨隨車。</text>
<title>宿雲交驛</title>,<text>大抵關東勝槩繁。雲交風物合先論。山從巨野蟠爲嶺。地護靈源闢作村。仙賞依俙魂却悸。人烟蕭瑟俗仍敦。重來似若增其美。嵐翠玲瓏覺滿軒。</text>
<title>安興途中</title>,<text>駟馬駸駸百里馳。籠羅物色入吟髭。人從木末依依過。鷗占沙邊欵欵隨。巨野延燒渾錦段。遙山回綠剩春姿。暮投水驛支頤坐。無限畸愁不自持。</text>
<title>席上敬次伯氏韻 是日爲伯氏設小酌</title>,<text>伯氏經冬抱病時。我因官冗起居遅。佳辰忽送催花雨。喜氣先濃祝筭巵。並列金貂誇聖渥。雙垂白髮感年衰。團欒不覺黃昏近。迭唱聊成獻賀詩。</text>
<title>次雲卿韻</title>,<text>雙樹孤村五馬來。莞然重把故人杯。尙書枉駕眞奇事。相國臨筵幸忝陪。溪柳迎春隨意嫰。巖花得雨向人開。樽前更惹分離恨。千里江陵幾日回。</text>
<title>寒松亭口占</title>,<text>鏡浦寒松勝槩均。使君多暇戒征輪。地因令節呈千景。天爲遊人剩一春。十日歡娛眞可詑。百年身世更誰倫。山公醉態休嫌慢。久任兒童拍手頻。</text>
<title>贈方伯崔令公 文湜</title>,<text>玉節翩翩下五雲。觀風行李鏡湖濆。㫌麾一變新方伯。父老爭迎舊使君。壺裡山川堪動色。邑中謠頌尙留芬。偏誇晝錦歸來地。棠樹婆娑影接枌。</text>
<title>方伯崔令。卽本府人也。十年前曾莅此府。今春新擢卿班。遂按此道。駐節於桑梓之鄕。境內族人輩設族會。會者凡百數十人。不佞以地主。遵故事亦與是筵。不佞與方伯夙有厚分。今爲上下官。眷待備至。席上錄奉。仍述交誼。府民戀德之懷。諸宗參讌之盛云爾。</title>,<text>自幸踈慵有所依。蘇章此日駐征騑。靑雲得路金爲帶。白首還鄕錦是衣。民庶尙知吟德澤。宗英爭喜借光輝。華筵秩秩嬌娥舞。檀板聲中玉斝飛。</text>
<title>謝洪國寶 錫龜 贈啚書</title>,<text>絶倫才藝衆爭推。半世騷壇跡忝隨。要把瓊琚酬木李。曾持琬琰易羊皮。文辭鄭重情投㓒。筆勢縈迴字入氂。從此書厨添勝玩。寶藏傳與子孫宜。</text>
<title>永安第賜宴卽席口占</title>,<text>主家深洞細烟生。和氣先濃進壽觥。客爲佳辰終日醉。天敎陰雨徹宵晴。珍羞絡繹駝峰出。女樂紛挐鳳吹呈。與宴羣英恭獻賀。爭將盛事以詩鳴。</text>
<title>儤直捴府口占</title>,<text>華屋深深晝漏稀。倦來欹枕睡無違。飛花輕薄爭高下。落照蒼茫遆顯微。嫰樹嬌鸎啼晛晥。雕梁乳燕語依俙。聖朝宿衛渾閑事。閶闔晴開擁瑞輝。</text>
<title>追寄江界守柳起之</title>,<text>淸時失路莫咨嗟。此府功名亦足誇。寒處覆身貂鼠被。酣來潤肺朮蔘茶。豼貅百隊能穿葉。紅粉三行競擺花。睡罷黃紬無一事。鈴齋寥寂午陰斜。</text>
<title>次壺谷韻。兼奉北汀。</title>,<text>迂儒拙宦也宜休。萬事人間白盡頭。閑處携筇躋石徑。倦來欹枕偃書樓。憂時愧蔑酬塵露。觀象徒勤望斗牛。安得與君同惠好。別區烟月共淸遊。</text>
<title>更疊前韻</title>,<text>少年通籍際明休。新擢卿班尙黑頭。標格遠追裵令玉。詩鋒勁碎謫仙樓。閩中昔擁文園駟。關外纔乘老子牛。碣石扶桑皆領略。北觀誰復似公遊。</text>
<title>述懷奉諸詞伯</title>,<text>菟裘入望客愁生。誰遣踈蹤近紫淸。城市紅塵眞有力。江湖白鳥謾多情。向來宦興還全减。歸去田功可共評。勝處分山珍重意。百年同閈盖偏傾。</text>
<title>送趙壯元正萬赴泰仁親庭</title>,<text>倚樓才調最堪憐。一振高名正妙年。四世蓮科俱是首。千秋藝苑孰能肩。南陔彩服趍佳節。東閣寒梅撲喜筵。遙想列州爭獻賀。恨無飛翼墮樽前。</text>
<title>鳳姪爲親年回甲。兒子登科設喜筵。謹次席上韻。以寓悲喜。仍奉諸詞伯。</title>,<text>思量往事淚常懸。何幸今來慶更綿。令子蓮科初擢日。高堂花甲再回年。賓憐滿座豊貂映。舞愛當窓老兔圓。迭進壽杯歡意洽。階庭蘭玉看森然。</text>
<title>正月下旬。行宗孫命臣冠禮。壺谷南尙書爲賓。錫余從兄及重叔隣居諸益皆來會。冠畢奉壺谷諸公。</title>,<text>蕭條風物鎖寒門。節序駸駸又歲元。每痛西河曾哭子。偏憐東野只留孫。佳賓肅穆供三祝。賀客聯翩走一村。先業自今都付汝。不須思舊愴神魂。</text>
<title>送張晦而 世明 之任韓山</title>,<text>少時交契爾吾偏。四十年來一瞥然。每惜靑雲違濶步。還憐紫綬映華顚。玄琴皓鶴堪供興。金鯽銀唇可割鮮。爭道使君風味足。不須芸閣擁書眠。</text>
<title>送詩山太守趙子直 相愚</title>,<text>披香亭勝屬吾公。政値元方作宰同。棣萼相望百里內。板輿交往一晡中。循良爲理佳謠並。侍奉生輝至樂融。乘鶴上楊應不遠。秋天鵬翮佇摶風。</text>
<title>史院諸彦逐日盍簪。甚盛事也。獨松澗老友首事於玆役。末乃不得與焉。曷勝恨歎。更次前韻錄奉松翁。</title>,<text>東觀裁書盛俊英。氷心先許玉壺淸。人方自得逢時運。子獨胡爲忤世情。久識虞翻踈骨體。非關嚴助厭承明。峽中栖息今何似。數畒山田戮力耕。</text>
<title>寄西河兼奉汾厓</title>,<text>編摩敢道是非眞。兩歲追趍愧此身。竣事尙思抽樻日。偸閑方對滿園春。童奴種樹培根密。老子看花索笑頻。跂脚北窓孤夢罷。題詩聊寄舊遊人。</text>
<title>小齋睡罷。壺翁寄詩。走筆以謝。</title>,<text>幽居喚作洞仙家。官是春曹物自華。園裡頻聞黃鳥請。砌邊催報紫蜂衙。紅飄萬點高仍下。綠嚲千絲整復斜。勝賞可方刀氏塢。最憐垂柳與繁花。</text>
<title>復次寄壺翁</title>,<text>駑質多慚忝乃家。邇來鵷列遍淸華。衰遅漸覺妨趍事。弛置還宜懶赴衙。隱几看山雲自散。扶筇玩物日將斜。殘年縱詑閑中趣。眼暗其如霧裡花。門巷還同冷士家。素心元自厭紛華。身閑愛對兒開卷。官散稀聞吏報衙。已喜陶園隨處涉。偏憐蔣逕覓來斜。旁人莫道芳菲歇。殿樹猶餘不盡花。</text>
<title>李景略白川別</title>,<text>塵埃趍走雪盈顚。太守行裝望若仙。歷數雄藩黃海最。就中名邑白川先。伴閑馴鶴供詩料。入饌佳魚壓酒筵。秪是遠離當暮境。臨歧不耐倍依然。</text>
<title>惜春吟寄壺谷</title>,<text>終朝急雨忽凄迷。落盡穠花自滿蹊。恰似殘粧拋委地。從他繁錦踏成泥。人方佇立臨風嗅。鳥亦飛來遶樹啼。可惜春光容易歇。吾將謀酒子宜題。</text>
<title>次壺谷詠汾厓晬日韻</title>,<text>雨過山齋爽入巵。五尙書趁盍簪期。龍門晬日當佳節。牛渚靈星會此時。已喜芝蘭交映燭。仍誇棠棣又聯枝。君家福慶知無艾。醉後爭題獻賀詩。</text>
<title>李承宣百宗 東溟 送孤山梅鶴亭題詠。索拙語甚勤。次軸中韻以博一粲。</title>,<text>名高江夏逈超塵。華屋初開洛水濱。月下淸香疑素女。雲中逸響報遊人。冲襟和靖堪前匹。絶藝張顚是後身。舊業終敎歸宅相。壁間遺墨尙精神。</text>
<title>與大宗伯申寅伯，大司馬趙公擧，判水部洪伯涵。訪南執金雲卿。作文酒之會。夜深乃罷。翌朝雲卿寄詩。走次以謝。</title>,<text>抱病經年始出門。逢迎俱是列卿尊。偏憐酒態傾嵇阮。爭許詩情逼李溫。談屑霏霏揮玉麈。花香冉冉泛金樽。耆英華髮交輝映。勝會何如涑水村。</text>
<title>迎魚翼之返魂於西郊。還家感懷口占。</title>,<text>浮生存沒信無常。孤抱曾輸薤露章。如爾良朋那易得。令吾老子久難忘。東隣撫迹還疑夢。西郭迎魂轉覺傷。掩淚還家悄然坐。暮天寒雨又滂滂。</text>
<title>贈別宋道深春川之行</title>,<text>溟州鳧舃向經過。二樂樓中領物華。世外不知何境界。人間應少此山河。鵷班進退俱無興。特地婆娑亦足誇。理屐躡蹤行且竢。松楸歸路接江波。</text>
<title>次仲美寄示韻</title>,<text>末路人情歎彼其。只憐江閣盍簪遅。淸儀玉樹風前逈。佳句峨眉雪後奇。氣槩久知當世最。文華肯逐暮年衰。良辰負約君休咜。滿眼鶯花是後期。</text>
<title>尹少宰仲麟將有燕行。餞席次起之令公韻以贈。</title>,<text>㘅命君爲赴北行。古都風物喚愁生。人謀不必論臧否。天運應知有變更。佇見塵氛隨日豁。仍聞河水待時淸。中原消息傳須細。屈指歸期我耳傾。</text>
<title>三月二十八日。行季兒冠禮。金領府退憂，金領相文谷，南刑判雲卿，呂冢宰希天 聖齊，申三宰寅伯，金工判道常 宇亨，金知敦重叔，任承宣文仲來會。金學士昌協以贊亦從。冠畢後座中勸我先賦。率爾錄奉兩相公。仍屬諸詞伯求和。</title>,<text>小堂瀟洒枕溪邊。三月芳菲政可憐。老子適當周甲日。癡兒又屬勝冠年。蒼顔華髮交𡱝帶。嫰柳濃花映綺筵。洛社耆英何足詑。吾儕此會畫堪傳。</text>
<title>追次壺翁蒻笠亭韻</title>,<text>茅堂結搆報初完。几杖琴棋隨處安。庶絶高明貽鬼瞰。偏憐突兀聳人看。辰良每喜羣公會。地爽還愁五月寒。歡趣恐敎兒輩覺。解衣盤礴共憑闌。</text>
<title>次壺谷題文谷相公淸暉閣韻</title>,<text>鑿石爲基活畫開。偏憐淨界離塵埃。丹霞掩映靑山宅。銀瀑喧豗白日雷。淸福相公能有享。佳辰遊子却忘回。樽前更有題詩興。宿鷺成雙掠水來。</text>
<title>除夕寄萊伯柳起之</title>,<text>銀㙜昔夢始符今。紫馬遙臨瘴海潯。寒逼玉樓坡老詠。燈殘旅舘達夫心。爲歡博塞誰相伴。到手屠蘇獨自斟。幾向危譙勞北望。鬂邊霜雪不勝簪。</text>
<title>汾厓申寅伯以上元日冠第六郞。親朋畢集。甚盛擧也。率爾錄奉諸公。</title>,<text>雪後終南霽色淸。三加冠服禮初成。佳辰爛熳元宵届。勝友聯翩上相迎。八子爭稱荀氏盛。萬鍾奚羡石家榮。知君福履前無偶。壽酒行時賀語幷。</text>
<title>次雲卿寄示韻 留守松都時</title>,<text>題封聊寄念中人。別恨悠悠又送春。梅老宦情隨處减。壺翁詞藻看來新。花潭勝景耽遊少。笠閣淸談夢想頻。舊約丁寧吾有竢。歡悰可掬盍簪辰。</text>
<title>敬次亡伯喜雨堂韻</title>,<text>索居休道客愁長。花滿階庭酒滿觴。繞樹流鶯歌自雅。因風落絮舞還狂。官閑最愛琴書靜。地爽偏憐枕簟凉。晩節分司同白傅。吟詩高卧卽吾鄕。</text>
<title>華藏㙜月色甚明。遂開小酌。</title>,<text>身披鶴氅坐高㙜。遠嶼微茫入眼來。嫰柳嬌花爭獻態。纖雲明月本無猜。良宵不淺元䂓興。勝地仍浮太白杯。一縷仙風吹嫋嫋。淸歌響雜管絃催。</text>
<title>梅月堂 在甘露寺</title>,<text>老守行裝淡又閑。芒鞋竹杖坐瑤壇。螺鬟點點圍平野。鷁首搖搖倚曲欄。境秘千秋知有護。江深五月却嫌寒。玆遊酬了多生債。窓外雲烟繞筆端。</text>
<title>乘舟欲往江西寺。仍要白川守李景略。以越境嫌不果。</title>,<text>選勝遨遊已太康。洲邊供帳爲誰張。魚傳兩穴鮮堪擊。酒送澠池味覺香。興在廬山尋慧遠。身如潮水限潯陽。藍輿緩步窮探討。爭道分司老更狂。</text>
<title>待少尹</title>,<text>離懷悄悄自生愁。爲待華軒且少留。美水佳山寧入眼。淸風朗月謾回頭。文侯肯負虞人約。元禮宜同郭泰舟。始識盍簪眞有數。停雲歌罷戒征騶。</text>
<title>大王大妃上尊號赦文下臨。祗受於太平舘。不勝鰲忭之忱。口號奉少尹。</title>,<text>咸仰文孫孝理彰。恭惟長樂壼儀莊。年回甲子徽稱進。慶叶昌辰壽酒張。玉陛傳臚呈勝氣。琅凾頒詔溢恩光。微臣迹忝分司日。虎拜徒勤罄祝岡。</text>
<title>南雲卿有脚病廢仕。頗有戚戚之語。把酒之手吟詩之口皆無恙。顧此末疾。何足云云。聊賦一律慰解求和。</title>,<text>騷壇敢道忝同鳴。童丱追隨至暮齡。乾沒西都勞亦甚。優遊東里興常淸。相如自歎嬰消渴。鑿齒何妨作半丁。把酒吟詩應不廢。休將末疾謾關情。</text>
<title>次雲卿寄示韻</title>,<text>催老流光我所憎。凉飈還喜辟炎蒸。星螢撲案差堪愛。燈花依簷稍可憑。一病已隨金氣愈。千峯宜伴竹筇登。琴書點檢修行李。分付東林惠遠僧。</text>
<title>次白香山分司閑適詩韻</title>,<text>留守爲名不是卑。䂓模大抵倣京師。歡情可掬迎賓日。牒訴全踈把酒時。官閣捲簾詩自就。仙區携屐鶴仍隨。香山宦興吾皆得。莫恨林泉返駕遅。</text>
<title>愁州守金遠明令公將行致書。懇求別語。牽率題寄。</title>,<text>北關謠俗我甞曾。愁到愁州自不勝。官况酸寒同謫客。旅情孤淡類山僧。生憎朔雪連天暗。厭見胡烟隔水凝。想子剛膓安所遇。幾微肯許色辭徵。</text>
<title>追次南雲卿大殿千秋節韻</title>,<text>分司迹限槖駝橋。遙想羣工賀聖朝。縹緲祥光瞻北極。寂寥畸抱坐中宵。呼嵩誰進千年祝。落筆應知五嶽搖。報道觀㙜新有奏。虹流華渚耀雲霄。</text>
<title>次金萬年韻</title>,<text>文園抱病謝朝紳。白傅分司作浪人。邂逅他鄕眞似夢。留連佳節恰經旬。鬂因交雪憐吾質。唾必成珠見爾身。夜久挑燈談屑穩。睦婣高義看逾新。</text>
<title>途中望津頭</title>,<text>宿霧籠山樹若烟。雕軒淸曉去翩翩。虞人期獵寧嫌雨。郭泰乘舟擬共仙。挾路繁花香可浥。喚晴嬌鳥語偏憐。停鞭却向津頭望。雲水微茫浸半天。</text>
<title>與壺谷並轡出吊汾厓於湖上。不勝山陽之感。馬上聯句。</title>,<text>城隅十里並鑣行。殘雪留山春意生。雲卿。 事異王公訪戴興。悲同范子哭張情。弼卿。 西州他日傷心過。南麓何人帶笑迎。雲卿。 暮境孤懷無處瀉。峩洋從此永沉聲。弼卿。</text>
<title>次宋道深泛虛亭韻</title>,<text>勝地新開泛水亭。歸田謾興類淵明。籠羅物態供奇翫。摸寫詩篇有正聲。卧聽鶯歌花外喚。俯看螺䯻霧中平。閑來或掉孤舟去。身似沙鷗自在輕。</text>
<title>靈芝洞偶占</title>,<text>境僻人稀日政遅。小堂瀟洒傍溪湄。花憐栖樹如相待。鶯愛穿林似有期。欹枕北窓伸睡脚。扶藜東陌騁吟眉。投閑置散眞吾分。身上簪纓夢裡疑。</text>
<title>次赤谷奉壺谷。兼示堂姪喜朝。</title>,<text>靜觀曾結數椽廬。康樂重尋掩淚餘。遐遯慚今殘景後。退歸思昔盛年初。嶺雲獻態迎新客。池月多情照古書。賴有賢咸能繼業。一區烟水要同漁。</text>
<title>次赤谷投壺谷韻</title>,<text>投紱新開綠野堂。蘼蕪花發小溪香。閑中勝景輸詩槖。病裡孤懷付藥囊。衆岳逢秋回氣勢。高梧得月釀蒼凉。漁舟泊在踈籬下。一半沙汀一半塘。</text>
<title>挽李進士公著內</title>,<text>尙書公退走迎醫。泣說門楣病轉危。謝奕常誇道韞秀。昌黎還抱女挐悲。餘香猶着堂中障。後事偏憐乳下兒。最是子荊膓斷處。夢回長簟掩虛帷。</text>
<title>挽延陽府院君 李公時白</title>,<text>聖祖龍飛癸亥春。天生豪俊授眞人。乾坤整頓惟公仗。父子忠勤更孰倫。鄧禹功名垂竹帛。霍光形像冠麒麟。風雲感激君臣契。盡瘁年來眷遇新。南漢蒼黃玉輅行。公時仗鉞死生輕。獨當一面爲先倡。能使三軍感至誠。雷箭在身心不動。郤車流血鼔猶聲。天旋地轉重回泰。草木皆知大將名。</text>
<title>挽心甫 李公萬䧺</title>,<text>朝嘻不復夕怡怡。急訃傳來似夢疑。半世交情蘭有臭。一生淸操玉無疵。名途久抱抽身計。喜色猶看捧檄時。却憶蒼黃西節返。祗今誰是暮歸兒。每語能令鄙吝消。往時同榻憶連宵。靑山恨結新埋玉。粉署香殘舊賜貂。物色林亭空爛熳。風流酒社已蕭條。名門後事知誰托。孑孑孤兒尙在髫。</text>
<title>挽李殷山室內</title>,<text>相公平昔最淸名。冢婦持家內政成。早事伯鸞存哲範。晩依荀鶴享專城。人間大耋眞遐筭。身後同原卽舊盟。里閈小兒偏厚誼。可堪魂斷柳車聲。</text>
<title>挽金判書 南重</title>,<text>照人符彩最風流。歷踐名途五十秋。自是談間無表襮。豈曾心上有營求。身登八座尊榮備。膝置三珠福慶優。先執卽今零落盡。可堪揮淚過西州。</text>
<title>挽洪監司 處尹</title>,<text>向賦夫人執紼辭。與公相對淚雙垂。誰知數月叩盆痛。遽作重泉尋劒期。海臬謾敎留惠澤。銀㙜無復進良䂓。接隣忍聽諸孤哭。齊斬同時一倍悲。</text>
<title>挽兪參判 棨</title>,<text>風雪孤城抗䟽年。危言凜凜萬人傳。棲遑澤畔心猶赤。超擢卿班鬂已鮮。博識政須當世用。盛名仍保一生全。終然未試經綸手。壽止中身奈爾天。簪筆曾隨奏對辰。聳看恩遇獨超倫。援經剖析羣疑定。進語雍容聖眄頻。藝苑天曹虛位授。民憂國計待公詢。平生事業都輸了。庭訓唯傳學士眞。</text>
<title>挽尹判書 絳</title>,<text>人物當時益渺然。我公名譽一生全。崇班煥爀姑休說。雅志忠謙儘可傳。勇退幾年堅素履。端居晩節作眞仙。世間三達渾無憾。况有騰騫二子賢。</text>
<title>挽洪領相 命夏</title>,<text>玉立三朝仰老成。暮年班絶上台榮。登筵剴切憂時語。握髮慇懃待士誠。雅望共推當世重。盛名終保一生淸。經綸未展天何奪。亡鑑悲深想聖情。幾年東閤忝周旋。每抱高風意洒然。門絶雜賓心似水。家疑寒士坐無氊。都忘名位開懷盡。不鄙愚蒙賜眷偏。他日西州重過地。可堪追憶涕漣漣。</text>
<title>挽李濟州 𡐔</title>,<text>翰林名譽自芳年。御史風稜冠衆賢。誰遣暮途官序拙。謾敎諸邑頌聲偏。銀㙜夢斷趍班路。海嶠魂歸載櫬船。壽過六旬猶是老。况看遺業兩兒傳。</text>
<title>挽崔信川 繼䧺</title>,<text>前秋五馬幸相過。苦說年來久抱痾。洛下忽驚凶聞遽。篋中空檢素書多。才名桂籍嗟難就。治績桐鄕永不磨。情誼固知兄弟最。緘辭千里淚傾河。</text>
<title>挽李鐵原 天基</title>,<text>仙標皎皎玉無疵。濶步雲霄際盛時。誰意暮途仍潦倒。偏憐下邑久栖遅。銀㙜不復聞淸漏。鐵峽空悲返素帷。差慰吾宗存歿痛。傳家幸有五常兒。</text>
<title>挽具司藝 時勉</title>,<text>窮經久下董生帷。及到成名已白髭。迹阻淸班仍潦倒。符分列郡幾栖遅。年垂八袠斯爲壽。膝置三兒捴是奇。一木戢身乘化盡。追思舊誼淚偏滋。</text>
<title>挽李通津 敏采</title>,<text>名父之兒樂有兄。妙齡通籍並簪纓。淸班振彩人皆聳。下邑分憂政已成。年爲命奇還奄忽。淚因情厚久縱橫。他時文酒終南會。可耐庭前减紫荊。</text>
<title>挽趙判書 復陽</title>,<text>先相摳衣我祖門。秪今猶見典刑存。官班絶處爲僚佐。世誼推來若弟昆。把酒每敎肝膽露。襲薰常接笑談溫。春回僑舍人亡痛。空使羊曇拭淚痕。</text>
<title>挽洪右相 重普</title>,<text>先府精忠冠海東。兒隨叔父並升公。三朝委寄兵權捴。一節憂勤政用通。事業班班施設際。衷情靄靄笑談中。嗚呼天奪今何速。殄瘁興悲走卒同。公掌西銓閱幾廵。我叨郞席見招頻。全寬禮數分司日。恒襲和顔滿座春。舊誼推來元世好。新居卜處况比隣。沙堤寂寞蹄輪斷。無復樽前醉吐茵。</text>
<title>李參判 廷夔 挽</title>,<text>托契那將老少評。初逢不覺罄深情。謝公早許王中令。文擧能容禰正平。詩酒相歡膠在㓒。塤箎迭唱弟隨兄。云亡豈獨山陽感。往迹追思淚濯纓。</text>
<title>挽白軒李相公 景奭</title>,<text>陽春有脚玉無瑕。元祐完人見幾多。臨事巖巖千仞立。居家藹藹一團和。平生雅望同山斗。暮境眞工在切磋。木稼今年時運否。公私長慟淚傾河。明良相遇際昇平。直轡詞塲早蜚英。位至上公心則小。尊爲元老國之楨。恩優几杖扶衰質。譽洽兒童誦盛名。時事漸艱誰更濟。痛深亡鑑想宸情。文章前輩孰爭䧺。相業三朝數我公。身値艱難伸大義。跡編遐裔見孤忠。行藏實是關興替。眷遇何曾異始終。人世達尊寧有憾。玉欄應復待重瞳。公從先子托交眞。童丱情仍白首新。孤露秪今形影隻。起居平昔淚痕均。傷心忍想摳衣日。承誨難薰滿座春。已矣餘生何所仰。謾留篇什作家珍。</text>
<title>挽朴判書 長遠</title>,<text>冲謙凝重廟堂姿。華聞居然自少時。飭己豈曾臨事苟。忠君元是孝親移。詞塲直轡人皆聳。銓部公心世共推。可耐分司存歿痛。柳車先導板輿隨。</text>
<title>挽崔敎官 後遠</title>,<text>同隣舊誼最儕流。更向芹宮出處侔。早歲才華爲世許。一生身命與仇謀。初心未售鵬摶勢。拙宦咸憐蠖屈秋。後事凄凉那忍說。小堂遼落素帷幽。</text>
<title>挽錦林君</title>,<text>一品宗班九袠垂。三朝均被聖君知。趍人急難常如渴。値國艱虞不顧私。興趣每憑松竹菊。風流都付酒琴棋。隣翁此日凋零盡。舊誼追思涕自滋。</text>
<title>崇陵挽詞</title>,<text>皇祖當年撫背言。我家今見此賢孫。神承聖繼心傳一。地厚天高德配尊。草木均霑咸若化。蒸黎共戴並生恩。揄揚十五年間事。靑簡惟應大筆存。恭惟仁澤洽寰中。咸仰怡愉奉兩宮。修却寢園光祖烈。撤來尼宇闡儒風。虞庭寬典刑推恤。夏禹卑衣儉是崇。聖德如天摹不得。敢將何語贊煕隆。聖作吾東豈偶然。仁明逈出百王前。嘉言罔伏求如渴。俊士爭來任必專。賑遍顚連齊廩罄。政先寬大漢租蠲。嗚呼竟靳中身享。窮谷餘悲率土纏。五月滕廬面黑時。忽驚弓劒鼎湖遺。洪纖孰不含哀痛。謭劣偏曾荷眷慈。天語怳疑前席奉。臯比猶帶御香滋。酬恩已矣嗟何及。回首蒼梧血淚垂。</text>
<title>挽具連山 時敏</title>,<text>上庠名譽奈摧頹。共恨鵬程未售才。乍試秋曹聲藉藉。重臨湖邑刃恢恢。人間流序將回甲。身後遺兒尙在孩。夙有葭莩情誼厚。仍思亡姊倍霑腮。</text>
<title>挽淸風府院君 金公佑明</title>,<text>名賢名相國朝稱。難弟難兄盛業承。漢麓呈祥膺福慶。鄧侯持己有䂓繩。誠忠向日終無替。存歿關天奈不興。仍想兩宮哀慕切。公私長慟詎堪勝。</text>
