<title>順陵齋室偶吟</title>,<text>已負平生計。誰爲此日謀。沉吟猶未决。難去亦難留。</text>
<title>次東溪韻</title>,<text>溪老文華誰與儔。如吾蕪拙足堪羞。徽音淡弄小垂手。高調新飜大拍頭。寫出許渾千首濕。吟來工部一生愁。聞鵑達識追康節。歌鳳顚狂笑孔丘。白首永辭今世溷。靑門誰識舊時候。踈慵孤陋雖無似。疇昔相親亦有由。薰德輔仁磋又切。策駑追驥效而尤。憑依正似鶼隨蟨。巧拙還同鵲與鳩。水落九秋棲岳寺。氷湖六月會江樓。同趨世路終何得。幷騖詞塲訖可休。已覺浮名如夢幻。欲收營魄學天遊。來從彭澤壺觴境。歸卜林塘水石幽。貧不取人人豈厭。兒能養我我何憂。誰將携手聯閑步。君亦抽身退急流。懷寶秪應藏豹霧。探珠寧復入龍湫。繡膓騷客元無累。玉貌先生豈有求。十載梅軒相阻隔。三宵禪閣共淹留。喧呼歌詠酬還唱。狼籍杯盤散不收。未死幸逢今夜月。餘生能得幾春秋。題封爲和驚人語。遙向東溪案下投。</text>
<title>再疊</title>,<text>樵童牧叟與爲儔。掩面那堪謝豹羞。京洛往時塵眯眼。江湖今日雪盈頭。詩篇老去吾無興。花鳥春來爾莫愁。竹杖訪梅仍問柳。芒鞋尋壑又經丘。一盂飯笑千鍾祿。百首詩輕萬戶侯。末路同歸猶有友。暮途相遇豈無由。行藏進退爲先後。困厄畸窮不怨尤。駑步卽今先驥馬。鵬圖從古媿蜩鳩。吾居盧子數間屋。君卧元龍百尺樓。此世此身無繫絆。其生其死若浮休。諸天淨界傳籌飮。十月淸宵秉燭遊。往事想來興感慨。幾人先逝隔明幽。偏驚舊伴餘三老。强做新歡失百憂。哀樂是非身外去。升沉得失水東流。春深麋鹿游豐草。歲暮蛟龍蟄大湫。閱了世情猶可怕。樂夫天命復何求。歸鞭爾莫先吾着。來日吾須爲爾留。深酌淺斟燈下醉。長歌短詠筆端收。衰人後會將無日。病葉先零豈待秋。欲趁明春重約束。木瓜遙向杜陵投。原韻自嗟孤賤寡朋儔。州縣徒勞久覺羞。好是弊廬猶展膝。任他矮屋未擡頭。馬卿賦獻難逢意。虞氏書成謾著愁。題柱壯心成白首。尋眞雅志負丹丘。甘爲南郭閑人老。誰數東陵舊日侯。任我槁形窮有命。嗟君健步騁無由。不能者止曾何慽。隨遇而安自絶尤。行斷獨憐嘶侶鴈。巢傾只悼墮雛鳩。蒼松亭古埋三逕。白月山空掩一樓。往事凄凉那忍說。暮途牢落便宜休。逢迎着處皆新面。磨滅如今孰舊遊。西嶽孤棲眞喜僻。東溪小築更耽幽。還嗟白老終無庇。却羡徐卿百不憂。晩景孤懷誰與討。長時老淚不禁流。村深自覺無喧閙。巷僻誰曾訪隘湫。賴有故人頻遠問。乃知同氣信相求。竹溪六逸俱遲暮。蕭寺三宵共宿留。歡會不常還易散。離愁欲寫浩難收。後期綿邈知何日。衰喘支離復幾秋。杯酒速宜謀一醉。聊煩白足以書投。</text>
<title>次東溪韻</title>,<text>自從君自南歸後。見贈瓊琚篋笥盈。歘已經年休往訪。近將逾月斷來伻。赫蹄忽入三過讀。白足憑傳百里程。兩手薔薇花露盥。一吟牙頰口風生。八叉君已先成壘。五字吾何更築城。光焰燭天騰瑞氣。鋒鋩擲地動金聲。策駑縱欲窺藩閾。雕朽終難作棟楹。短翮未搏莊海濶。妄憂猶慮杞天傾。窮愁悄悄無人問。長夜漫漫不肎明。元亮向時朱紱解。相如何日赤車迎。江湖漫浪隨時運。川洛風波閱世情。喪耦已忘居室樂。有兒猶享逮親榮。幾多天末遙懷李。小少秦中早識荊。爾佩組緺三郡遠。我抽羈絆一身輕。閑忙路左聚還散。歲月頭邊崢又嶸。龍墅瓊潭愁裏碧。鳥城巖瀑夢中淸。凄凉往迹尋無處。錯莫孤懷欝不平。使我枯腸常慘愴。念君哀涕自縱橫。荊摧蘭折將何托。葉縣桐鄕謾有名。出峀閑雲尋故侶。滿窓松日愛新晴。百盃酒力緣愁淺。三疊琴心覺道成。偶向梵宮爲勝集。昨携藜杖作閑行。終敎老釋忙三日。便與詩朋達五更。謾詠離愁援筆寫。幾投佳句使人驚。寧隨末契論前事。只喚新愁混舊惸。鳧脛豈曾羞鶴脛。短檠元不羡長檠。玆余獨占閑中趣。雖老何慚世上英。窮亦快心寧屈己。飢非枵腹莫呼庚。醉而嬉處傍人笑。老更狂時莫我京。杜甫飯山身太瘦。劉楨漳水疾常嬰。神交幸托今元白。薄俗誰憐此獨煢。欲問品題高下等。汝南須訪月朝評。原韻有客有客東溪叟。冥棲便欲學茅盈。吟成白雪誰同調。交絶靑雲自斷伻。老去轉頭成槁木。愁來屈指筭前程。殘骸自料今垂死。畸迹堪嗟尙寄生。憂病不關開酒席。遣懷猶自有詩城。飢烏落日驚棲噪。獨鴈春天叫侶聲。龍洞濕雲迷舊墅。鳥城寒月照虛楹。如今事往人誰在。撫古悲來淚自傾。風燭百年嗟易滅。殘燈獨夜冷難明。悠悠哀樂相飜覆。忽忽炎凉迭送迎。嘯傲賴君娛晩景。詩篇使我豁哀情。老休王谷眞宜分。伺候公門却匪榮。陶令柴桑尋逕菊。杜陵花竹掩扉荊。靑袍久困荷衣換。黃帽今歸竹杖輕。敢恨窮途身坎壈。回看宦海浪崢嶸。眼隨冷暖靑仍白。纓濯滄浪濁便淸。蝸角浮榮渾覺幻。羊膓畏道若爲平。閑憐倦犢尋坡卧。靜愛孤雲出峀橫。且可眼前惟快意。何須身後浪求名。窓臨碧澗飛流迅。檻對靑巒晩黛晴。收攬風煙囊已富。唱酬歌詠軸仍成。瓦樽乍可劉伶醉。蠟屐還宜謝眺行。南陌雪消時漸暖。西疇春及序飜更。憐吾感物吟逾苦。喜子揮毫語可驚。會晤豈宜孤令節。阻懷端合暢幽惸。岸巾淸晝同尋塢。飛斝良宵共對檠。拂水堤楊初帶嫰。滿庭山杏已含英。興因幽賞終何已。愁任長貧莫訴庚。取醉但須長兀兀。浪憂何用謾京京。便思形外塵緣擺。莫遣胷中俗慮嬰。疲薾有誰憐伎倆。悲凉無復記孤煢。題封寄與西巖老。樽酒他時可與評。</text>
<title>輓東溪李士常 幷小序</title>,<text>歲辛巳。東溪翁別世。余方病阿睹。幾於失明。不得往哭。聞訃呼痛之餘。卒遇奇疾。沉綿數十日。奄聞葬期已迫。病裏懷事。益增疚感。强令兒孫操筆。伏枕口占輓詩五十四句。全不用意雕琢。略叙終始而已。然且含悽思索之際。不覺勞傷。因以精神虛幻。似夢非夢間。自爾不輟咿唔。有似啽囈之語。症勢日。朝夕待盡者九十四日。幸而復甦。天地一旅亭。適去夫子順。長辭名利枷。永拋文章印。余以後死者。悲君天不憗。哭盡淚不盡。淚盡情不極。寫此不盡情。含悽詠在昔。昔在甲申春。始與君相識。伯氏弟畜我。仲氏年相若。磨肌又戛骨。交情皆莫逆。隱仙庵文會。烱烱聯雙璧。冬之夜齋舍。夏之日江閣。共磨十年劒。幾刮三日目。德好命不好。終傷卞和足。高爵尙可求。君家有世祿。聯翩四鴈行。腰金復頂玉。我亦縻寸廩。泥塗困拍拍。前無一綆引。上有千薪積。固知行必蹶。經還艮岑麓。閑忙路雖殊。幽期亦不隔。白眉早閉門。溪堂享淸福。君乘五馬歸。我必相聚樂。夏簟淸琅玕。春盃紅琥珀。手弄碧玉流。共卧靑山石。悲歡夢中事。歲月人間促。大化疾驅去。次第荊花落。兩家一獜兒。又何天奪速。德門洊此禍。天者誠難測。南州解綬後。白首君何托。杜曲晩耆舊。徒吾兩人在。尙有耽詩癖。舊習猶未廢。一觴復一詠。何處欣相對。去冬于開元。今春於靜海。幸因分外榮。一宴生光彩。席上使君來。床下將軍拜。又有四友至。仍成六老會。只爲文字飮。不用喧歌吹。君詩多態度。我詞慚鄙俚。兒輩拾取歸。謀爲不朽事。仍將憔悴容。寫入丹靑裏。裝䌙爲六貼。可笑亦可媿。將於任老席。取出向君示。適會君遠行。新渥敦寧府。一往肅恩命。擬卽尋歸路。殘齡盡瘁身。與病難爲敵。扶舁返舊廬。再三寄書尺。丁寧指後期。墨迹了不錯。佇待勿藥喜。復踐當時約。我時病阿睹。三月不視物。欲往不可得。日夜心如結。誰知轉眄間。脩夜奄不暘。六歲少於我。先歸何太忙。迹隨雲共滅。詩與人俱亡。位旣不爲少。壽亦可謂長。惟公身後事。誰主三年喪。君有昔日言。吾嘗聞之詳。九原不可作。萬事何須說。新兆傍先壠。靈車曉將發。平生范張交。寧忘臨壙別。初聞哀訃日。叫倒氣欲絶。俄而遇奇疾。殆將相繼死。沉綿三十日。至今猶未起。伏枕綴哀辭。辭不達其意。爲我試吟味。歸語伯仲季。倘於泉壤下。亦有重逢地。余是朝暮人。相隨當在邇。</text>
<title>輓白峯金廷叟</title>,<text>我友金廷叟。身與心皆玉。生不遇於時。死何命之薄。平生志行高。我以其友識。試拈傳中事。請言其大略。淸風洞壑裏。忠孝三門闢。其家有此人。蘭玉叢中特。若論其氣像。元龍樓百尺。詩律邁盛唐。草書又神速。片言萬口膾。一字百金直。吾儕所期待。黑頭取方伯。德好命不好。居然成濩落。徒傷卞和足。晩奉毛義檄。纔旋葉縣鳧。崦嵫日已迫。三年泣血餘。鬂髮爲之白。復拜三曹郞。仍分兩邑竹。悲乎公叔病。久爲人所惜。光陰過隙忙。造化驅人急。宣城官罷日。遽聞疾已革。去年秋八月。我來見顔色。一息凜欲絶。精神猶不錯。臨分更握手。出門淚橫臆。誰知轉頭頃。大歸乎窀穸。人間五十年。蘧廬纔一宿。嫡庶八子女。次第皆稚弱。淺土已經年。新阡今始卜。媿不於我殯。他時何面目。魂驚謝安雞。影斷令威鶴。宇宙百年間。浮生元是客。無身子何憂。有生吾方辱。牙絃自此斷。郢鼻誰爲斲。仁者亦不壽。此理誠難測。由來禍福原。問天天漠漠。郊居舊園林。蕪沒千株菊。堂空月荒凉。客散山寂寞。歲暮北風多。天地陰雲黑。靑山一抔土。何處萬世宅。月先亭風煙。白雲洞泉石。魂兮歸來噫。江湖舊所樂。嗚呼長已矣。一往不可復。緘辭寓一慟。獨立摧肝膈。</text>
<title>輓林兎山用廈 可材</title>,<text>宇宙百年間。浮生元是客。造化疾驅去。蘧廬纔一宿。居然解天弢。大歸乎窀穸。死亦不須悲。我且隨而哭。慟哭復慟哭。悲君命之薄。爲善竟何報。有才終無祿。拈君傳中事。請言其大略。平生出天孝。國人所矜式。事聞㫌其閭。恩榮耀鄕曲。踈財且好義。宋公曾題壁。功名晩爲累。十年遊京國。前無一綆引。上有千薪積。月城暫佩符。西河復監牧。海甸瘴毒聚。桑楡晩景迫。此邦異風土。胡爲君遠適。吾嘗戒以書。不嫌朋友數。俄聞返京輦。復僦城南屋。悲乎公叔病。久爲人所惜。沉痾幸少愈。去年十二月。辛勤遠相訪。値我歸庭日。終孤一會期。悵望心如結。之子去須臾。遽傳疾已革。初寄數行書。攲斜不成畫。手札適復至。自言已勿藥。書中多少辭。歷歷如平昔。一驚又一喜。所恃天降福。誰知轉眄間。大命終難續。此人亦如此。彼天何奪速。哀哀杞婦慟。慘慘皋魚索。四男嫡居一。七旬壽欠六。吾兒娶令愛。孝敬遵家則。長號別嚴親。忍看罹茶毒。宅相尙在乳。何知君面目。知音永相隔。牢落吾安托。郢鼻質已亡。運斤將誰斲。理者不可推。神者誠難測。輀車出舊巷。行路亦悽惻。顧我有所縻。欲往不可得。幽明負此友。有恨堆胷臆。白日掩徂暉。古峽陰雲黑。回頭望槐州。今夕是何夕。長江萬古水。日夜流無極。南柯片時夢。俛仰成陳迹。存亡不盡恨。淚灑山陽篴。</text>
<title>輓梁水使 侙</title>,<text>宇宙一蘧廬。人爲當去客。造化之所驅。駃如蛇赴壑。公乃大歸乎。我且隨而哭。慟哭復慟哭。哭盡情不極。拭淚寫肝肺。操觚詠在昔。試拈傳中事。請言其大略。吾東有此人。大姓又巨族。世襲唯忠孝。家傳但淸白。晩投班生筆。肉可飛而食。常慕古人義。於財無所惜。臧獲擇老羸。田園取磽瘠。只佩陰慶印。幾分君魚祿。領邑不爲少。舊宅空四壁。每當出守還。夕炊貸隣粟。僮仍罷官賣。田爲還家鬻。往在庚申歲。公分靜海竹。是年大凶札。民皆有饑色。吹呴摩手撫。搰搰推恩澤。威寒黠吏膽。血汚妖僧魄。純剛至正氣。一解愚民惑。氷壺映皎潔。水鏡涵空碧。洋洋滿人耳。赫赫照人目。我時泣風雨。荒扉掩蓬藋。特憐民有喪。救恤勤匍匐。二郞服庭訓。身與心皆玉。嘗從兒子游。於我乎信宿。每恐瓜限促。奄忽歸期迫。誰知海西糴。遽速洛陽獄。邑人泣相送。牛車擁烏鵲。官儲積滿倉。路資垂空橐。及歸乏一錢。將何供饘粥。只一所騎馬。又鬻時興驛。文網太䍚䍚。惆悵長沙謫。俄蒙放赦迴。擢拜榮右職。嶺徼擁樓船。官尊左水伯。扶桑萬里外。荊門雄所搤。前年驛使來。問我荒山谷。緘封寄寶箑。視余猶骨肉。徒以嚮慕誠。祝公享壽福。由來嶺海外。土不幷以北。悲乎公叔病。沉綿非一夕。王命謂汝來。別恩超常格。扶舁首歸路。淹滯踰旬朔。誰知轉眄間。甲子光陰促。俯地地冥冥。問天天漠漠。世間此等人。復從何處得。殊方一旅櫬。在道誰相托。觀察爲經紀。節度盡心力。是者豈有他。徒以欽淸德。人苟有人心。豈忍於公薄。淸雖畏人知。死不掩陳迹。乃有復於王。聖情爲深惻。加階贈崇秩。致賻頒殊渥。哀榮耀一時。身後聲輝赫。于公舊門閭。餘慶在嗣續。自有兩兒郞。文華映雙璧。新兆卜牛眠。寂寞萬世宅。音容永相隔。鼻墁誰爲斲。白首漳水濱。沉痾卧床席。蒿里負一餞。有恨堆胷臆。操吾不阿筆。叙公無瑕蹟。氷淸玉潔操。欲令人皆識。誰能寫此辭。刻之墓前石。</text>
<title>齒牙盡落。不能咀嚼。寓言自寬。</title>,<text>稽首問天公。我有何罪惡。生而性甚拙。老矣心轉弱。在世固無害。天宜莫余毒。如何臨死日。使我齒皆落。人以食而生。食以齒而食。齒今脫去盡。遇食不能嚼。兩目亦何暗。兩耳又何塞。三要無一完。不死有何益。毋寧乘化盡。萬事都不識。高高九萬里。此意誰反覆。凝心怳惚間。擡頭望天極。如聆訓戒辭。豁開我心曲。若曰汝過矣。何其不知足。由來造化理。有盈必有縮。羣生一氣中。無知者草木。當春始向榮。到夏方蕃息。逢秋漸衰歇。俄無舊顔色。綠葉變爲黃。隨風鳴摵摵。時至輒先隕。與齒眞相若。日月有顯晦。何况人耳目。汝年八十三。汝齒三十六。脫落亦已晩。動搖何足惜。含飴可入喉。飮漿猶充腹。細字尙能寫。索途免擿埴。大聲尙能聞。與人相酬酢。眼前兩孝子。其一縻好爵。膝下五曾孫。箇箇皆珠玉。所以鄕黨間。皆稱爲五福。此猶不自滿。汝心誠多慾。惟當退而思。努力綿一息。余聞而釋然。始迷今乃覺。仍成五言詩。强進一椀粥。稽首謝天公。充然如有得。</text>
<title>聾警</title>,<text>耳聞者人語。口出者我語。耳旣不聞語。口何不忘語。我欲聞人語。人厭與我語。我欲向人語。人苦答我語。欲與兒子語。兒子柔聲語。欲與僮僕語。僮僕低聲語。使之高聲語。十語聞一語。唯將一聞語。作詩代口語。凡吾詩上語。渾不擇其語。憂國憂家語。傷時傷世語。閭巷鄙俚語。道路傳播語。或爲慷慨語。公語非私語。或爲慘愴語。鬼語非人語。自是啽囈語。豈有驚人語。盡日無誰語。永夜悲自語。詩亦不成語。莫如都無語。人不聞我語。我不聞人語。飢以食爲語。渴以飮爲語。唯玆兩句語。有不可不語。此外世間語。終身不欲語。</text>
<title>示兒</title>,<text>莫效龍伯高。儉約禮之嗇。莫效杜季良。豪俠義之賊。儉約與豪俠。皆吾到不得。彼虎誠難畫。此鵠豈易刻。畫刻俱不成。何論狗與。不如兩皆棄。別有所可學。曰忠曰孝友。於家復於國。愛之以爲仁。忍之以爲德。口不言人過。目不視邪色。見利而不趨。遇事而不惑。苟能此道矣。可以行蠻貊。吾年八十四。今乃晩始覺。唯願子若孫。以此銘心曲。</text>
<title>窮且益堅</title>,<text>我雖有千金。人何敢奪我。我雖無一錢。人未嘗與我。人旣不與我。我當默默坐。寧爲寒乞語。向人區區那。我雖餓而死。不必言其餓。人或愍其餓。嗟來延入座。苟有丈夫心。此食猶可唾。况無餓死事。姑宜高枕卧。所以古之人。與取無一箇。言若爽其實。人必以爲過。然則如之何。好義莫好貨。且挹活活水。滅此胷中火。</text>
<title>可歎</title>,<text>不知君子心。好惡一何乖。雖有惡行人。狠若狼與豺。苟不逆于汝。油油然與偕。握手吐心肝。如兄弟孔懷。雖有善行人。衆論以爲佳。苟不順于汝。推墮千丈崖。吹毛覔其疵。搰搰常力排。銅臭詎易消。劒氣終難埋。曰賢曰可殺。自有國人皆。吾知君子心。喜怒終風䨪。</text>
<title>述懷自叙</title>,<text>我讀離騷經。屈平詞賦懸日月。我讀哀江南。庾信平生最蕭瑟。其言悽切有深意。讀之令人堪下淚。丈夫何爲其然也。此特不幸之徒耳。若余躬逢聖明世。韻格當與斯人異。和聲固可大其鳴。自叙吾人傳中事。潘文陸詞亦太煩。世德家風姑舍是。生於天啓壬戌年。系出完山大姓氏。學語之初綴文辭。人言此兒非常兒。六歲抱在王父膝。已誦周南召南詩。己巳春日曲水巖。繡衣詩呈金度支。甲戌冬夜伴月樓。白雪吟驚崔督郵。能令二公見而奇。謂余終必文章爲。寧知虛奬竟訛誤。未悟眞工在刻苦。於書讀不過三遍。有作詩能成七步。髧髦忽作總角丱。舞象之年聞鼙皷。三韓千古禮義邦。北來腥塵暗東土。江南果無一寸鐵。童子猶知勃然怒。亂後羣書束高閣。人皆說劒操弓弩。童心便隨習俗移。我亦麁豪乘馬馳。居然蹉過好時節。不覺舊業荒于嬉。碧落仙家接鄕隣。時維戊寅年仲春。靑松右族是淸門。所以自附爲婚姻。爲省先壠謁先祠。吾年十八來京師。城西始遇尹海寧。宇下仍蒙親愛之。轉眄之間五六載。其人已逝夫人在。夫人是我從叔母。孝敬婣睦閨房秀。咸稱女中之君子。膝下螟蛉有賢嗣。憐渠孤露影相吊。是以令吾負笈至。舊客還歸舊堂住。其年甲申春之季。擬待扶搖羊角風。背負長天九萬里。鄕賓入城不數日。戰藝南黌爲第一。虛名忽瞞翰墨塲。一時賓客塡門墻。相迎前後左右人。不分東西南北方。誰知白面黑鬍子。內攢休文心腹矢。乘間陰礪笑中刀。嫉余蛾眉暗相刺。從玆心喪骨亦驚。猛虎長蛇朝夕避。長安陌上沒膝泥。擿埴冥行路轉迷。徒勞抱玉入于楚。未能操瑟工於齊。年齡遲暮志轉拙。運命蹉跎顔遂低。秋圍一捷亦過望。老去纔登司馬榜。丹桂枝高不可折。靑雲路隔誠難往。蓬累低垂世莫識。風塵牢落吾安放。神交晩托白峯叟。一曲陽春爲君唱。雲箋偶與四美俱。拙句因被名公賞。窮儒亦能遇知己。君子何嘗不欲仕。五歲園陵鎖直郞。三年厨院晨趨吏。中間人事足悲咤。別來山妻病不起。小兒呱呱在我側。大兒欒欒在苫塊。人情到此萬念灰。薄宦全無貪戀志。盤桓尙且不能去。只爲他時奉檄喜。悲歡人事互相虧。越明年春好爵縻。東班華秩義禁府。水部閑曹山澤司。靑門監賑數月後。職事船艦三江陲。仙遊峯下掛帆夕。月波亭前吹篴時。天晴水綠白露濃。月小山高秋夜遲。朅來遊衍以爲恒。吾儕四五人相隨。淸歌哀瑟聽已倦。皓齒靑蛾看亦疲。三刀一夢遽催人。彭澤歸程湖水湄。地近庭闈適我願。於良足矣官無卑。門前小吏二三過。墻外孤村八九家。事少常調單父琴。年饑不催陽城科。時當甲寅事一變。擧目人皆非舊面。孤危蹤跡動輒蹶。擧世同冥吾獨見。儃佪妄欲表獨立。此日仍停擧子業。氣節元從我輩出。科名付與兒曹拾。行行且避載鬼車。去去將拋名利枷。歸期尙以數月遲。瓜限誰令一年加。東鄰惡子暗吹毛。虱附權門陰嗾獒。霜臺白筆謹受敎。却彎强弧射魯縞。荒田數畒屋三椽。此亦從吾先祖考。物外烟霞是廣占。空中樓閣爲營造。彈文所論豈謂此。六年但飮吳江水。吹沙射影遽如許。我方爲魚彼刀俎。蒼蠅本自止于棘。白雪何曾負於汝。跨吾匹馬着吾鞭。出門大笑飄然去。朝離河八夕歸次。白屋依舊松陰裏。雙親堂下弟無故。三樂人間我有二。柴門一掩艮岑麓。夢魂不到銅駞陌。羞從東郭墦間乞。忍向光範門前伏。追懷疇曩體生粟。世道人心晩始覺。穿墉誰謂鼠無牙。飮泉方知牛有角。深懲今日九折臂。却悔當年三刖足。生涯晩付兎園農。力耕不食嗟來食。惟將朝暮懔懔意。默愁崦嵫殘日迫。終身擬負子路米。泣風遽𠷢𦤎魚索。穹壤茫茫日月邁。餘生不死頭全白。白頭如今復奚爲。逢人未見眞顔色。朝曛相對兩不厭。獨有西巖舊面目。擧頭遙瞻霄漢上。乾坤日月重開朗。羣賢夾輔贊至治。六卿三公問是誰。皆言向時在野賢。勵翼虞庭來羽儀。其間一二上大夫。昔者非吾故人乎。劉楨漳疾幾時瘳。杜甫親朋一字無。冥鴻今已色斯擧。引領何曾久延佇。暮途求名鴷啄蠧。衰齡講業戈舂黍。誰云可以出而仕。路隘吾無投足處。何物今人所棄物。取之無禁用不竭。陶潛遺我北窓風。李白遺我靑天月。無心又有雲出峀。閑者吾儂便是主。窓明几靜草堂幽。抱膝長吟古梁甫。西江斗水更誰激。峻坂塩車悲失路。從來此目閱世多。幾看平地生風波。蝸蠻百戰莫我知。獨撫孤松但日哦。懷瑾虛老不須恨。從古詩人常坎軻。江濆自有恠物焉。天下其無良馬耶。何嗟及矣墓木拱。天實爲之可奈何。行年六十六歲窮。作此皤皤田舍翁。媿無一事可傳後。後來誰識吾賢否。追思少日尙志氣。事無難决言無諱。中年始慕舌爲柔。懦似涓蜀常多畏。仁慈惻隱心于內。慷慨豪爽形於外。見人之善若在己。必欲延譽揚其美。見人之惡若將凂。必欲跳身去不止。居官曾不染脂膏。在家亦能踈財利。名編金榜衆所待。屢擧摧翎獨不槪。求恩干祿衆所趨。一跌歸來終不再。願忠吾身已將死。欲養吾親已不逮。父子兄弟與宗人。接屋同居一步地。晨昏相聚樂忘憂。更有兒孫左右侍。詞塲舊習尙未除。老眼猶寫蠅頭字。嗟乎人豈不自知。一生俯仰心無媿。寧私一字以自欺。始終如此而已矣。人皆有眼亦有口。溢美浮辭吾不取。竊觀近來諸公墓道文。皆從大人先生手。爭將諛墓寶珠惠。以虛爲實無爲有。凡人邪正與善惡。百世終難掩其跡。爲語吾家賢子孫。乃翁無才又無德。他年墓前一片石。姓名官稱斯亦足。殘碑須短不須長。只可容排書數行。其餘多少等閑事。寫吾此詩爲家藏。時維丁卯十二月。艮岑老人。書于樂吾堂。</text>
<title>贈白峯金廷叟</title>,<text>往者大明天啓越明年。壬戌之冬吾以降。人生墮地貴是男。貧賤何羞在陋巷。自從童騃無所知。已誦周南召南詩。七齡能爲五言城。皆云此兒其才奇。弱冠西入洛陽陌。當時尙恨功名遲。邸舍三霜忍羈旅。吾衣大布而縫之。朅來交游不得意。人間行路無平地。多少靑雲貴公子。相逢捴非吾知己。始覺樓君唇舌谷子筆。不如祝鮀之佞宋朝美。顚狂蹤跡轉崎嶔。謾作悲歌慷慨士。朝過薛公賣漿家。暮入荊卿屠狗市。空吟白雪陽春曲。不逢高山流水耳。百歲中間一邂逅。金君我之金蘭友。沖和恬靜秀骨淸。胤胄蟬聯大賢後。美質宜爲廊廟器。文章自是君家事。詞源深造李杜閾。筆陣早傳鍾王法。夙昔同遊槐市中。一見見子眞顔色。風斤幸斲郢鼻堊。死生相期心莫逆。傾情吐意永相許。是者徒深知我也。看君欝屈負此才。未應虛老耕於野。如何徒勞十上書。落魄風雨靈臺夜。其材非不枵然大。世上今無具眼者。嗚呼去年窮阨不須說。至今追思猶夢怕。庸蜀之南雪何罪。烏山往事應無悔。從他毁罵但自修。衆謗何關解不解。况余行身能直不能曲。所以泥塗蒙汚辱。誰將毒喙嚌之深。南村羣童欺我老無力。中情尙可質諸神。外貌何以憎於人。分明頭上彼白日。照此平生無垢身。萬事要須付一𠽁。初心轉覺堅如石。十載空磨匣中劒。何時始掣圖南翮。城市風塵衆口黃。江湖日月吾頭白。吾頭已白可奈何。三十九年看又過。欲向前途試一步。着處山高水有波。宇宙蒼茫日欲落。羣鴉亂哭頑雲黑。獨立倀倀不敢出。拔劒斫地歌激烈。前無所依後無憑。擿埴而行蹉又跌。樊然淆亂是非塗。一語忤人千弩發。吾今固合束高閣。子亦胡爲在空谷。伽倻山麓鳳坡隈。一區林塘千樹梅。亭臨大野莾空濶。童子開門明月來。有時邀我此登臨。相留一醉論胷襟。贈以新詩發舂容。一字價重千黃金。淸高韻格戛寒玉。樂府風騷傳正音。想得其人錦繡膓。箇中寧有蓬之心。榮達須從勤苦得。男兒不困惡能激。可笑吾形已不逮。入楚猶抱荊山璞。張儀寸舌尙在否。蔡澤前期四十足。持粱刺齒豈無日。富貴元非有主物。靑蠅今又附驥尾。萬里方看共超越。淸溝何幸映汚渠。井蛙寧誇吾樂歟。老去詩篇語不奇。春來長鋏歌無魚。徒將丈夫八尺身。獨卧乾坤一草廬。案上惟看古人書。門前不見長者車。直欲脫却儒冠奮袂起。飄然去去春風裏。焉能坐對妻孥愁絶倒。一任貧病催人老。昨夜山干一犂雨。黃梅花綻春光早。政宜相就細論文。陳蕃舊榻君應掃。邇來世故絆人願莫遂。一日不見如三暑。會待月先亭前花欲燃。擔簦躡屩君家去。</text>
<title>近聞事有大可驚駭者。取爲監戒。留示後昆。</title>,<text>徐樂嚴安上書日。皆拜郞中偶然耳。千載流來效嚬多。搖唇皷舌爭言事。事非人人所可言。言非事事當於理。莫如忘事又忘言。寂若秋蟬口容止。操毫且莫善屬文。識字常爲憂患始。畸窮孰能不怨天。名敎誰知有樂地。功名何可弋而取。富貴難容智力致。靑山只在自我得。白雲何待他人賜。生涯一盂飯亦足。事業千首詩而已。高人時不遇則隱。君子行當素其位。交游必擇直諒友。過從須避傾危士。休將名姓乞與人。莫隨時世參橫議。深思明哲保身道。愼勿經過沽名肆。只願吾家賢子孫。世世常爲寗武子。</text>
<title>最可畏</title>,<text>君不見尸陀林中月未出日已落。天陰雨濕羣鴉哭。怒雷轟轟驚電飜。悲風獵獵愁雲屯。黑貙黃熊眼似炬。蠻君鬼伯頭如黿。令人髮竦體生霜。到此誰非涓蜀梁。然而鐵漢大膽者。不動於心晏如也。苟使精神氣魄可以伏天魔。雖有夜叉羅刹於吾何。別有人間最可畏。只在其身不在他。中藏赤龍白石城。玄牝門前千丈坑。是非長短所自出。吉凶存亡所由生。或以亡身喪其家。或以立身揚其名。范雎，蔡澤所以繼踵取卿相。蘇秦，張儀所以抵掌談縱橫。龍逄，比干所以死。食其，韓生所以烹。毒藥雖云利於病。皇穹竊恐不照余之忠誠。是以金人從古戒三緘。仗馬如今難一鳴。嘗聞人皆有百骸與九竅。九竅之邪在三要。三要之中此最要。但可使饑則食渴則飮。樂則歌而憂則嘯。遮莫呫囁吐心腸。且莫排擊含風霜。毫忽之間倘不戒。大則有椹斧刀鉅小拲械。此所謂別有人間最可畏。</text>
<title>俠客行</title>,<text>長安大道平如砥。白馬按轡誰家子。晩出長楊羽林中。歸來細雨春風裏。探丸結客少年塲。擊劒悲歌大都市。開樽痛飮十千斗。取心生啖八百里。聲如巨雷眼如電。氣蹴山岳掀天地。千金卽爲等閑物。一死自是尋常事。白晝抽刀國門外。殺人何人敢忤視。却來夷門訪知己。持觴爲勸侯嬴醉。</text>
