<title>南郊罷酌 五言絶句。十三歲作</title>,<text>平郊千里闊。乾坤入酒杯。篴聲嫋嫋起。使我暫徘徊。</text>
<title>差宗廟獻官。致齋閭舍。看壁上所粘唐人刊傳三疊行香子詞。感而和之。</title>,<text>城南卜居。有屋有廬。杏桃梅栽植庭除。卿郞名號。散逸規模。任天雨暘。時春秋日慘舒。醑我沽我。熙如皥如。素卓上隨有蔬魚。從他推擠。自笑非夫。或與客棊。問好耕敎兒書。</text>
<title>彗星求言敎書</title>,<text>王若曰。予以涼德。叨承丕緖。懼不克負荷。獲罪于先王。兢兢業業。實未嘗少弛於懷。而往在丁丑年間。有星孛于箕尾之分。其長竟天。閱數月而滅。乃於壬辰之歲。外寇猖獗。其勢滔天。生靈劘於鋒鏑。宗社化爲灰燼。當時國家之危。有若綴旒。然賴皇上字小之仁。諸臣宣力之效。醜虜旣退。還于舊都。方將懲前毖後。捨其舊而新是圖。下協人心。上順天意。以保乂我邦家。而昧於治道。暗於治體。人怨愈甚。天怒愈極。予方以爲懼。頃者彗星現於艮方。歷指文昌北斗。過入于太微。自六月至七月凡三十餘日而不現。變不虛生。咎實在予。興言及此。若殞于淵。或者罪孼深重。天不許予之自新乎。抑予之所謂側身而祗畏者。徒事文爲之末。而無實效以感回天意乎。安內攘外。弘濟于艱難者。必擇股肱輔弼之臣。委任責成。然後可以有爲。而抑無乃政出多門而國事日非歟。古之遣將者。築壇以拜。上馬則授綏。升車則推轂。其愼重也如此。然後可責以討賊興復之效。豈予昧於知人。而致有輿尸之凶歟。抑一遣一罷。如呼小兒。而不得將將之道乎。抑又處置乖宜。使將相不得調和。士不豫附。而功業不建乎。朝廷一心。宮府一體。有如同舟共濟。胡越協力。然後事可就而績可熙矣。或有黨同伐異之風。而予不能靖而鎭之歟。抑或侍從庶官。泄泄沓沓。徒爲養相之體。而予不能循名而責實歟。創立關防。控扼要衝。乃今先務之急。而纔築一壁。始役一關。兵民有長城之苦。而怨聲載路。其無乃爲之無漸。而未得其宜歟。點兵束伍。敎之坐作進退之規者。此乃管葛遺法。而一編花名。一就操場。村落懹石壕之冤。而流亡相繼。或者奉行之臣。驅民爲兵。使民不安於南畝。無仰事俯育之資。而予不之知歟。兵戈連仍。國家多故。幹事之臣。不得已自朝廷別遣。冠蓋旁午。號令如毛。郡邑掣肘。莫適所從。民間騷擾。弊職由此。而予不能緣法而爲治。使之吏習而民安歟。屯田而積粟。煮海而爲鹽。自古兵興之際。賴此以足用。而比聞屯耕者聚民公田而使不得治私。販鹽者壟斷專利而或至於病民。其他募粟貿粟之類。虧損政體。而財實未嘗聚者。予或有聞而未之痛革歟。賞罰國家之大柄。而有罪者未必受刑。無功者或至濫受。賞罰顚倒。人心解體。而予未之察歟。征役之士。久戍邊上。去父母離妻子。▦金枕戈。五載于今。而衣不蓋體。食不充腹。戰卒怨祈父之不聰。詩人刺河上之將潰。而賞賚不霑於介冑之輩。超遷或後於輦轂之人。予未能優恤而得其歡心歟。貢賦之役。有國之不可無者。亂離以後。凡百供應。務爲節約。而如其人之弊。已成膏肓。卒未更張。至於貢物作米。則本爲便民。而或謂本色各種。依前徵納。而乃於穀盡之際。箕斂民間。名雖利民。而實則厲民。此雖奉行之臣失其本意。而予未之仍貫歟。予雖昧昧不辟。宵衣旰食。萬幾之政。未嘗不經於心。兵民之瘼。未嘗不留於意。而黎庶愁怨。屢起潢池之盜。軍伍齟齬。無賴長城之倚。而凡天災時變可駭可愕千百歲所罕有者。幷萃於一時。是何予之望治之勤如此其至。而其效漠然歟。政治之失。民生之病。予之所自知者若此。其所未及聞而未及知者。又未知幾耶。凡我大夫士。毋謂予言之而不能用。苟切時務。雖如郇模之監團。予則行之。言不避諱。雖如鄭俠之訐直。予將容之。予之求言之切。懇懇如此。而苟或不言則是予不得乎天。而大夫士又從而棄予也。苟有可言者。則上自寡昧之闕失。下至生民之利病。毋嫌毋疑。悉陳無隱。於戲。失德所以致災。故當罪己而修省。求言所以改過。敢不虛懷而聽從。咨爾政府。體予至懷。曉諭中外。使之盡言。</text>
<title>大司憲辭免啓辭</title>,<text>竊以今之憲府。乃漢唐御史之職也。凡朝廷擧措。政令得失。無不關預而評論。故得其人則朝廷尊而綱紀振肅。不得其人則政令不行而庶事墜廢。雖比肩事主。爲人君耳目。而尤重長官之選。西漢大夫。班次丞相。其任之重且大者如是。故祖宗朝亦重斯選。必擇亞卿以上剛方正直。允協人望。可以憚壓百司者授之。是以大臣致敬。庶僚振懾。莫敢爲非。所謂虎豹在山。藜藿爲之不採者也。目今更化之初。尤宜愼簡。而乃以如臣駑劣者當之。鄭五作相。時事可知者。不幸近之矣。臣之少也。猶不如人。未嘗閱歷館閣。夙著風聲。而及今年紀向暮。精神氣力。衰耗已甚。雖置之府寺。未免下官不職之誚。況風憲之長。歷代所重者乎。蘇軾有言曰言及乘輿。天子動色。事關廊廟。宰相待罪。其不可塡闕而苟充。以辱名器也明矣。況今倫紀斁絶而復敍。典法板蕩而重新。整頓修擧之責。其在何人歟。夫司寇守法。斷以律例。博士引古。參以經義。兩漢政刑。於斯得平。兼玆二者。且以風聞。惟憲府爲然。臣雖庸暗。自料則審。豈敢承當。以累聖明。敢以病告。至再至三。猥蒙誤恩。未蒙遞免。進退狼狽。惶恐出仕。而稽謝之久。至於七日。圖便之譴。實所難逭。以彼以此。決難冒居。伏乞聖慈。特察血誠。非假虛飾。亟賜鐫遞。以重名器。以安愚分。不勝幸甚。</text>
<title>敎誡小書</title>,<text>余少時。於宴席侍坐頤菴翁。礪城自號 翁時年六十四五。嘗勸酒曰。吾對爾曹。只數年而已。須爲吾盡爵。如是言之非一再。余不解其語。以爲精神氣力。或覺衰耄。故如是也。對曰。令公聰明未減。氣力强健。必享期頤之壽。何爲發此言也云。則答曰我自少時取考國朝以來駙馬誌銘。且訪問故老後孫。則幷無年至七十者。唐城尉木訥勤儉。而中更竄謫。又無子。宜或有壽。而年至六十九。我不逮斯人。而榮寵過之。必且不及矣。蓋禁臠之選。拔自乳臭。方鬪鷄弄雛。未有在人上之德。而遽加金貂。親迎之後。又縶深宮之中。不得與賢士大夫遊。以成其德美。其不得享福。寔由此也云云。翁年亦六十九而逝。近日靑原尉雖過七十。幸耳。余觀朝廷宰相如此翁者罕矣。亦不獲壽。可不懼哉。汝雖穎悟。以今觀之。文雅夙成。不及遠矣。可不人一己十。加功問學。又復謹愼其行。以祈天永命也哉</text>
<title>慶尙監司時。勸留晉牧郭再祐書。</title>,<text>呈告近已數月。尙未聞勿藥之喜。心之憂矣。無一刻忘于中者。實非爲私也。卽日亢旱之餘。甘霔時霈。穀苗盛茂。農夫喜悅。想惟憂民之憂。此時必減。更坐黃紬。令人手額。傾竚好音。若渴思梅。區區賤望。非紙上所盡。而比聞往來者。或傳令公以賊奴有撤還之期。國家做重興之業。將歸隱綿山。欲從赤松。果若斯言。令人冷笑。果是令公病心也明矣。目今事勢。欲言則長。古人所謂慕容恪尙在。憂方大矣者。竊恐不幸而近之。且中詮聞。舊業荒落。寸土不闢。今日辭還。明日必將大夫人糊口之資。轉乞親故。丐而或不足則是令公欲得讓功美名而餓其親。以彰國家薄待勳臣之過。此惟令公必爾不爲也。適臨巡上道。忙迫之中。敢此云云。其或留神。則公私幸甚。或若賊兵渡海。片颿無影。四郊壞壘。農桑樂業。則角巾東歸。以遂浩然之志。庸何不可。渻亦隨杖屨逍遙是計。分我松葉湯如何。呵呵。乙未五月二十日</text>
<title>次熊天使化鴨綠江韻</title>,<text>天上眞仙佩水蒼。泠泠風馭降混茫。悠揚獸旆臨沙岸。凌亂楊花撲畫檣。快覩鳳綸宣渥澤。共懽明德自馨香。芳筵何幸承溫語。羞倚亭亭玉樹傍。</text>
<title>次熊天使薊州途中韻</title>,<text>衣上斑斑憶老萊。綺筵底處好懷開。滿城桑柘村家密。夾路旌旗陣勢來。幽咽數聲吹畫角。平安一火報烽臺。候人薄暮傳呼急。云是將軍夜獵回。</text>
<title>黃芝川 廷彧 挽 二首</title>,<text>瀛海文章伯。凌煙第一勳。名高空斗望。謗積竟天薰。鷺渚驚秋晩。終南已夕曛。魂招應不去。恒逐日邊雲。憶昔隨王子。蒼黃避賊塵。當時俱被擄。今日獨全身。雪窖辭初詭。明廷認作眞。死生哀永隔。此意竟誰伸。</text>
<title>奉別朴子龍赴關西方伯</title>,<text>關海雄藩夙擅名。豪華誰與此中爭。黃岡猶讓箕城樂。皁蓋還輸玉節榮。陳氏三昆皆貴盛。韓公兩鎭互將迎。兼全不獨看今▣。文雅應羞老弟兄。</text>
<title>在東郊待命有作</title>,<text>兩間茅屋雨蕭蕭。砧杵聲中度一宵。蟲噪荳花知送夏。煙收簷角已崇朝。欺明作孼人誰惜。積謗盈車骨可銷。榮辱在天應有命。孤吟不必恨亡聊。</text>
<title>次聽天，酒隱兩相公韻。</title>,<text>此身方欲賦三休。塞外如何尙宦遊。主尊叱馭驅車路。宋玉悲懷落木秋。四面層巖霜着錦。半規殘月晩生愁。縈回百折城邊水。漱石穿橋到海流。</text>
<title>箕城村舍。贈智熙上人。</title>,<text>罪大難容合食家。漳濱歸臥復沈痾。陳平宅外無車轍。翟尉門前可雀羅。人斷日邊天覺遠。潮生海底水增波。山僧獨自來相訪。一笑忘言氣味多。</text>
<title>題受降亭</title>,<text>高樓春暮尙凄凄。縱目胡天遠色迷。白草始生山雪盡。黃雲乍捲塞日低。一水橫分三國界。雙旌來駐萬馬嘶。雄圖未遂嗟衰矣。緩帶輕裘漫鎭西。</text>
<title>題新移杏花</title>,<text>客土植危根。開花尙憔悴。明年春色來。別有他人在。</text>
<title>過滿月臺</title>,<text>半千王業已成空。赤葉黃花一篴風。昔日繁華無問處。夕陽雲外叫孤鴻。</text>
<title>戊申五月。宣祖陵役所。別孫正字遴。以一直人居達城。達吾鄕也。直吾里也。今於送君。爲贈一言。以志桑鄕之感。</title>,<text>老多桑梓感。故山入夢長。今日送君去。同里又同鄕</text>
<title>挽權正郞叔晦 暐</title>,<text>風度溫溫見可欽。躬行推服士民心。名登桂籍官郞署。守約窮廬避宦林。浮世氷銜徒一夢。傳經明訓直千金。八旬眉壽兒孫衆。已定之天質古今。</text>
<title>仍鄕射堂韻衍成四絶。奉呈府伯閤下令公。</title>,<text>明發長程首幾回。好懷難向別人開。扁舟綠水龜潭上。遙憶題詩錦石苔。寶典新藏祕閣回。高樓簪盍綺筵開。淸歡未洽星軺散。雨浥歌臺生紫苔。薰風池館客船回。葉裏芙蓉猶未開。王事有程先北向。石欄應謾似錢苔。客至如歸去復回。一生肝膽酒場開。今來古館逢愁雨。長劍看時半食苔。</text>
<title>姜主簿 儞 挽</title>,<text>菁川家世繼淸芬。孝友精忠海內聞。每擬亂時兼用武。猶看昭代更攻文。獨提義旅才無敵。極辦神籌志不群。爲問蒼天胡忍此。强題哀挽涕先紛。</text>
<title>題鄭榮邦石門池亭</title>,<text>不料深峽裏。有此好溪山。自與塵寰隔。偏爲造物慳。峯巒環作䯻。流水曲成灣。鄭驛迎賓地。留連帶雨還。</text>
<title>次黃道光 中允 韻 二首</title>,<text>何日戎衣定。藏弓不再彎。疲兵股自戰。壯志鬢先斑。胡騎追風健。邊笳入夢殘。狼煙猶未息。揮涕望關山。莫道耽佳句。懶無一語驚。還成閒居坐。不作逐人行。言志携毛穎。消愁喚麯生。時蒙諸伴贈。瓊球篋中盈。</text>
<title>與權松溪 應仁</title>,<text>坦率今山簡。風流舊習家。招邀情不淺。吟賞興偏多。湖面浮天蓋。松頭轉日車。觀魚兼按舞。不覺困流霞。</text>
<title>寒岡先生挽</title>,<text>儒宗盛南服。寒暄闡其源。退溪振于成。師道最爲尊。先生早承誨。禮易尤所敦。專精務折衷。玩象探天根。含章以時出。玉珮紉蘭蓀。末路諸老逝。學子昧本原。趨向漸乖張。滅裂具難言。年高德彌邵。砥柱狂流奔。巋然魯靈光。風雨亦不騫。縣車入山深。道亨身遇屯。講劘猶不倦。摳衣竸登門。孜孜辨義理。拯溺以手援。伊余夙所慕。東西官弟昆。雖免了翁恨。困蒙難開昏。云何樑木壞。欲哭復聲呑。茫茫立窮途。此意與誰諭。</text>
<title>挽詞[延平君李貴]</title>,<text>昏朝十載歎湘纍。日月重光際聖時。宿德固應蒙顯秩。高年還復逼遐期。人間事業留靑史。身後風流見白眉。邦瘁自憐吾獨在。不堪和淚寫哀詞。</text>
<title>挽詞[參議睦大欽]</title>,<text>一病無端藥未醫。天心惻愴路人悲。十年湘浦曾憔悴。三宰朝堂再羽儀。玉樹儘能傳舊業。琴碁不復似當時。世間福祿全歸地。屈指如今更有誰。</text>
<title>挽詞[大提學張維]</title>,<text>領取人間五福全。白鬢紅頰似神仙。飛騰早識英聲遠。磨涅方知晩節堅。九老衣冠光洛社。三朝德望近台躔。居然一夕成千古。華屋山丘涕自漣。</text>
<title>挽詞[司直睦敍欽]</title>,<text>七耋軒貂雨露低。人間一夢竟悽悽。早知德望期公輔。更有嘉謨及遠黎。里巷幾多寬禮數。酒棋時復辱提携。嶷然風度難重覩。忍把新詞拭淚題。</text>
<title>挽詞[僉知金德謙]</title>,<text>蒼顔白髮似仙翁。鵷鷺行中氣最雄。意謂百年神自若。誰知一日命還終。夏卿譽洽衡平政。烏府人欽鶻擊風。萬石君家榮一世。具瞻班序亞三公。臨危扈駕身忘老。隨事陳謨志盡忠。彩服喜看諸子舞。金樽不使暫時空。巖廊未展經綸策。姓字空留市井童。淚爲公私具不禁。在生難使此哀窮。</text>
<title>挽詞[副司直尹英賢]</title>,<text>浮沈宦海浩無津。邂逅天涯適有隣。樽酒兩翁開口笑。家山千里寄眉頻。時淸卿月三台望。世美蘭芽九畹春。顧我頹齡餘齒在。奈今神島送飊輪。</text>
<title>挽詞[參判洪霶]</title>,<text>天生才俊爲時艱。六道藩宣鬢早斑。中歲湘潭逢否運。亨衢日月竟崇班。蘭芳藹蔚朝紳際。鳩杖聯翩壽席間。生死哀榮忽今夕。只憑平昔淚澘澘。</text>
<title>挽詞[判書金尙容]</title>,<text>才兼文武應時須。晩歲遭逢寵渥殊。天不憗遺何奪速。邦其殄瘁孰顚扶。高門積慶多賢嗣。華檄塵凝散酒徒。洛社耆英今幾在。白頭浮世獨長吁。</text>
<title>挽詞[判書洪瑞鳳]</title>,<text>魁梧磊落古人風。博洽仍兼萬務通。早際先朝登宥密。晩來昭代致高崇。輿情久佇三台峻。天餉偏紆五福豐。木稼凶災徵殄瘁。此身長痛倂私公。</text>
<title>挽詞[判校趙緯韓]</title>,<text>年垂八袠階崇政。身歷安危幾辱榮。朝有元龜群議定。國依喬木四方寧。已知黃閣勞虛佇。誰意蒼天奪老成。餘慶多男宜幹蠱。諸孫衮衮更豪英。</text>
<title>挽詞[延陵君李好閔]</title>,<text>憶昔南塘賞藕花。三年修契意無他。誰知君健還先去。却怪吾衰欲待何。高館觀燈昨日事。仙舟送客夢耶那。從今可到西州路。不見當時偃蹇皤。</text>
<title>挽詞[司僕正鄭弘溟]</title>,<text>先朝盛才俊。公早際昌辰。鵬路飛騰跡。鵷班秀出身。歷敡由翰苑。聲譽來楓宸。禁臠趨庭日。宮壼拜賜春。晩聞憑几命。久作遜荒臣。每抱沈湘恨。終紆解網仁。丹心彌自苦。黃髮尙堪詢。敷奏頻前席。登庸佇秉鈞。浮沈妨應俗。碁酒樂爲隣。曠世耆英會。淸時勝事新。高年非力致。五福果誰倫。擺累從蟬蛻。遺形等土塵。懸門弊車在。揷架舊書勻。平昔承歡客。經過倍愴神。</text>
<title>挽詞[副司直申鑑]</title>,<text>風流氣槪冠簪紳。從古安危仗老臣。夙歲幾時關塞節。十年曾謫瘴江濱。皇天肯許賢豪屈。昭代欣瞻日月新。耆舊久爲明主倚。門䦨爭喜丈人眞。衰遲病骨偏蒙眷。濩落襟懷覺會神。厦屋忽驚摧柱石。巖廊誰復贊經綸。兩朝籌畫功猶在。半世交歡跡已陳。荀氏家聲知有子。季方兄第最相親。當時共待開筵日。此夕空懸漉酒巾。却把行藏傳太史。大名應得耀千春。</text>
<title>挽詞[府使趙纘韓]</title>,<text>罕世生賢輔。知從積德門。英聲時已籍。雅論士爭授。歷塊先群駿。超班閱幾鵷。榮親兩巨鎭。按節七雄藩。聖主曾掄閥。賢郞早托婚。名崇流輩右。階聳列卿尊。玉几俄憑後。金縢末命存。屬當屯運繼。旋致禍機翻。嶺海孤臣遠。秦京落日昏。風雲爭際會。神聖轉乾坤。鳳翮催頒誥。鵬程快再騫。旁求須碩弼。首簡荷殊恩。騎省專戎幹。烏臺盡直言。從容宗伯長。左右政堂論。鼎席方虛位。靈衣忽斂魂。永空耆府座。誰把老人樽。寂寂舂無相。哀哀巿絶暄。囊辭知己孑。帬謝白頭昆。閤在疇迎士。堂虛緬頷孫。里兒嬰死病。臥挽淚徒捫。</text>
<title>挽詞[直講朴潢]</title>,<text>夢罷槐枝七十春。秦舂撤響泣都民。明時已失經綸手。聖主偏傷社稷臣。慶溢人間全五福。德尊天上列三辰。洛中他日耆英會。遍揷宮花少一人。</text>
<title>挽詞[參議尹煌]</title>,<text>今代名臣列。惟公意甚眞。徽猷光黼黻。赫業在經綸。顧命留元弼。投荒痛世屯。天心歸聖主。雅望屬斯人。出入丹心壯。安危素髮均。南宮徵事業。北極領朝紳。騎省持銓日。烏臺秉憲辰。士爭加額望。言幾犯顔陳。官爵榮仍貴。門䦨慶又純。寶樹多於謝。群龍半似荀。趨庭羅彩服。列鼎席文茵。霖雨方蘇旱。長途遽失輪。赤城終羽節。丹闕限幽窀。木稼還思漢。舂歌奄斷秦。樑摧憂厦圮。賢去奈家貧。德自生前大。名猶歿後新。同朝容末進。幾度奉淸塵。詎料登龍地。翻看化鶴賓。九原今不在。痛哭爲斯民。</text>
<title>挽詞[副護軍吳百齡]</title>,<text>種德詩書不乏賢。向來名位許誰先。東山久係蒼生望。洛水爭瞻白髮仙。五十兒孫一家內。起居晨夕大人前。高門長物惟忠孝。靑簡應須仔細編。中聖風流見我曹。芝蘭室裏飮醇醪。少時鎭作新知樂。暮境猶存舊習豪。靑眼已違迎士榻。素心虛掛過徐刀。沈痾坐負都門送。淚濕平生范叔袍。</text>
<title>挽詞[都承旨李聖求]</title>,<text>東國山河壯。中間秀氣分。異人方瑞世。奇表自殊群。騰躍蜚英早。憂勞經濟勤。材優廊廟具。際會聖明君。正色儀流俗。修辭藹令聞。黃扉懸宿望。白髮映朝曛。賤子榮回眄。疏庸愧襲薰。奠楹驚短夢。解劍覔新墳。落月城南宅。悲風渭北雲。猶餘滿床笏。依舊繼淸芬。</text>
<title>挽詞[知敦寧金尙憲]</title>,<text>嶷嶷先朝傑。槃槃蓋世翁。才猷快劈畫。論議凜生風。五路歌遺惠。西銓秉至公。艱難中備歷。望實晩猶隆。四子銀犀帶。諸孫大小功。恩榮人所羡。福祿世無同。洛社春筵散。星宮壽彩空。圖書虛室白。花卉側階紅。耆舊凋零後。邦家殄瘁中。公私不盡痛。淚滿藥山東。</text>
<title>挽詞[韓平君李慶全]</title>,<text>西江環繞藥峯峨。喬木門庭是大家。從古槐陰如契合。實然天定降精遐。風儀鎭壓朝端重。談論平和士望加。誰料卽今渾寂寞。不堪人事轉蹉跎。人間福德街童誦。身後芬芳史氏誇。蜀婦有心髽解弔。秦舂無賴杵休歌。名園綠樹流光晩。耆社閒樽涕泗斜。二十四年猶未足。汾陽門館恨還多。</text>
<title>挽詞[司直李惟侃]</title>,<text>君子人歟君子人。凜然風彩世無倫。和顔德色從何見。寤寐難忘淚滿巾。壽至稀年爵一品。盡忠爲孝國人知。子孫福祿超今古。身後聲名百代垂。非夫人痛而誰爲。白首相思淚未窮。不入黃泉無相見。何如歸去一山中。</text>
<title>挽詞[監司李景稷]</title>,<text>由來魁傑老成人。文武全才一介臣。忠孝平生所素蓄。經綸大器豈凡倫。昏時淪謫先朝舊。異數便蕃此日新。恊夢方期調鼎鼐。騎箕忽見動星辰。仙姿空憶雲中鶴。和氣難尋座上春。存歿可占衰盛運。爲之揮涕問蒼旻。</text>
<title>挽詞[副護軍李敏求]</title>,<text>碩望當朝傑。瓌材表世儀。生才天獨厚。宅揆士嫌遲。山壑俄千古。風雲杳一時。乾坤漸牢落。灑淚念囏危。傾代瞻依重。扶衰蹈履安。琴樽留晩景。蘭玉奉深歡。八座他年貴。窮泉此夜漫。悽涼舊門館。忍見百花殘。</text>
<title>挽詞[副司直李景奭]</title>,<text>痛哭復痛哭。爲公兼爲私。吾黨失瞻依。邦國亡蓍龜。堂堂我相公。展也廊廟姿。汪汪萬頃海。涯涘疇能窺。自秉太史筆。早受宣祖知。心有鐵一寸。不擇險與夷。貫穿百家流。經史無一遺。愛士出天性。不以笑貌爲。仗得六路鉞。千里靜邊陲。手判五曹牘。颯颯驚風馳。一抱鼎湖痛。行吟賦鵩詞。先王眷骨肉。遺明爲禍基。崎嶇嶺海外。臲朝暮危。羈捿迫銜恤。孺慕老未衰。首膺聖主召。白日雲霧披。紫綬映黃髮。曳履上天墀。從容捧御筵。動被玉音咨。爵秩旣云崇。人訝調鼎遲。周旋九載間。再經泥露時。晩計在莬裘。大義固難辭。軒楹去郭敞。雜卉羅參差。公餘岸烏巾。書秩仍琴碁。依然祿野趣。亦有習家池。兒孫左右侍。金玉色怡怡。舊好滿四隣。來往俱忘疲。家君特最親。切切又偲偲。重逢十年後。空慰兩地思。一日或不見。待之如渴飢。有酒輒相呼。乘興本不期。事追眞率會。齒坐無班資。欣然謔浪地。伯仲吹壎箎。暮春及燈夕。見邀余亦隨。庭階繞紅紫。躑躅看更奇。折取碧桃花。歡以金屈卮。罷歸盡醉飽。餘香浹膚肌。俄聞疾病纏。謂當神扶持。未成床下拜。已騎天上箕。升當曾幾日。歌哭忽於斯。舊座未散席。殘藥猶寄枝。精神凜若在。怳惚翻自疑。耳如聆笑語。目如接風儀。應知羽化去。寧久處喧卑。福祿世罕比。家慶綿本支。在公固無憾。朝野空含悲。山陽今寂寞。好會復爲誰。哀哀殄瘁詩。讀罷淚更垂。</text>
<title>挽詞[佐郞朴漪]</title>,<text>吞聲何但哭吾私。前輩風流不復追。帷幄兩朝資密勿。交遊一代許襟期。箕疇領取人間福。洛社爭傳畫裏詩。耆德至今餘幾老。爲公無憾爲時悲。</text>
<title>挽詞[參判鄭廣成]</title>,<text>壽富多男古祝辭。天慳圓滿世稀斯。惟公遐福兼三者。又致靑雲耀一時。樽酒不空華屋暖。炊梁初熱繐惟垂。看看耆舊多泉壤。淚灑悲風鬢若絲。</text>
<title>挽詞[海昌君尹眆]</title>,<text>氣槪交親五十春。中間憂喜略相因。干戈靑海重逢地。風雨丹山惜別辰。昭代卽今成會合。颷輪何遽反仙眞。穆陵殘照歸時路。應遣幽魂謁玉宸。</text>
<title>挽詞[大司憲朴東善]</title>,<text>卓犖風儀廊廟姿。先朝早被聖明知。西門北塞褰帷日。八座三曹曳履時。鼎水攀髥中歲痛。楚江捐珮幾年悲。龍飛幸値中興運。神佑應知一老遺。齒髮已衰猶骯髒。忠勤益篤可蓍龜。九重注意方深眷。一疾纏身遂不醫。長老風流今寂寞。耆英期會竟差池。徐卿積善多餘慶。都尉中書大小兒。早躡淸塵叨後進。晩躋宰列忝相隨。白頭哭送靑門外。雙淚滂沱不獨私。</text>
<title>挽詞[參議吳䎘]</title>,<text>岳結川流淑氣專。爲關時運鍾材賢。鳳凰早見翔千仞。杞梓應須蔭九天。餘事學文還博雅。倘來軒冕强周旋。明良豈似先朝際。寵擢非因禁掖聯。努力承宣多難日。優遊令僕中興年。蒼梧晩駕嗟無及。玉几遺音尙忍傳。丹悃未能回白日。金墉且復指黃泉。湘潭幾耐離騒苦。田里纔聞性命全。遲暮共稱髭髮勝。困衡彌覺志操堅。曾孫遭遇寧非定。元祐登庸最獨先。長樂新儀朝武帳。尙書舊履謁經筵。崢嶸論議誅姦佞。坦蕩胸懷破黨偏。廊廟每存方外趣。耆英仍作飮中仙。佳辰跌宕酬花月。靜室尋常愛簡編。久斡斗杓環北極。旋騎箕尾返南躔。龍亡任遣鰌鰷舞。棟去堪愁厦屋顚。閭巷小生慙剪拂。祖孫三世荷寅緣。時容壼遂評前史。誤許侯芭問太玄。隣笛至今憐向秀。後堂何日進彭宣。階庭玉樹連喬木。芳躅聊憑子敬氊。</text>
<title>挽詞[東陽尉申翊聖]</title>,<text>早譽由才美。崇終用德全。榮枯能自辦。壽福故應專。功實留狐史。風流式象賢。西門一步地。醉過幾何年。</text>
<title>挽詞[判書金時讓]</title>,<text>壽過稀年四。官尊政宰三。人間全五福。垂後享多男。海上曾同病。閒中幾劇談。平生知己淚。拭盡我何堪。</text>
<title>挽詞[沈宗直]</title>,<text>崇官稀壽子孫完。萬事人間已厭看。江上茅廬纔數畒。峽中煙路幾重灘。逍遙未就孤舟去。奄忽先驚大夢還。衰病未能隨鳥泣。他年宿草淚應潸。</text>
<title>挽詞[副護軍李顯英]</title>,<text>長身玉立映簪紳。仙鶴超然出等倫。五部尙書籌畫遠。六邊掌銊約條均。龍髥莫及身還蟄。白日重光意竟伸。月峽歸心懷水石。蒼生加額望陶鈞。耆英圖繪風流最。王謝芝蘭福祿臻。莫謂憗遺人事盡。老槐庭畔綠陰新。</text>
<title>挽詞[承旨李基祚]</title>,<text>致君當日志虞唐。令望由來屬棟樑。素節寜隨衰世變。丹心尤覺暮年長。巖廊事業三孤席。原隰風謠二陜棠。惆悵老成天奪速。仙標無復見班行。龍門何幸托微身。雅量能容吐錦茵。許可深恩空鏤骨。平生高論已書紳。人亡師表思先覺。國在囏難憶藎臣。洛社風流日凋喪。行窩寂寞斷朱輪。</text>
<title>挽詞[海嵩尉尹新之]</title>,<text>先朝宿德老尙書。昭代登崇訪落初。六路棠陰遺愛在。十年蠻瘴屛遷餘。剛膓不改氷霜節。恒性常懷水竹居。素髮優遊眞率會。朱輪塡滿大丘閭。華峯忽圻蓍龜去。卿月俄沈棘府虛。咫尺議堂經濟偃。士林相弔涕漣如。</text>
<title>挽詞[副護軍李弘冑]</title>,<text>藉甚淸朝彦。聲華夙著聞。耆英今白首。輿望舊靑雲。一疾天何遽。重淵日已曛。盈庭寶樹在。家世永流芬。</text>
<title>挽詞[右相李廷龜]</title>,<text>學舍交遊到白頭。推公氣槪古人求。兩朝際會恩波盛。八路巡宣惠澤留。台席將壇俱宿望。酒筵詩社最風流。城西舊會長回首。病裏緘辭淚不收。</text>
<title>挽詞[承旨李楘]</title>,<text>風流雅望動朝儀。七路同歌蔽芾詩。樵悴澤邊醒衆醉。騫騰雲路感君知。嘉猷幾奏經綸地。直道初恢秉憲時。遐壽更兼諸子貴。家聲留與百年期。</text>
<title>挽詞[承旨呂爾徵]</title>,<text>今代推元老。先朝寵上卿。國依喬嶽重。道贊泰階平。廊廟虹樑折。泉臺厦屋成。龍門非宿昔。西望涕縱橫。又落落神仙表。巖巖柱石姿。忠勤全翊亮。强健享髦期。咫尺台衡近。門䦨福履宜。囏虞耆舊逝。非獨哭吾私。</text>
<title>挽詞[鄭百昌]</title>,<text>盛德朝中貴。遭逢晩更新。從違看世變。寵辱任情眞。忽忽風流盡。依依象設陳。幾回陪謝傅。空憶吐車茵。又聖主詢黃髮。吾猶及老成。通才兼將相。雅望冠公卿。精爽回華嶽。功言勒鼎銘。耆英當日會。陳迹想平生。</text>
<title>挽詞[府尹李尙吉]</title>,<text>一枕槐安夢。三朝寵辱身。老成爲國衛。福祿在天申。門擁簪纓盛。人傳德譽新。那堪悲樹稼。涕淚在衣巾。又末路誰憐我。平生獨有君。蓬麻欣共倚。霄漢仰孤騫。湖外三年別。泉塗一夜分。强吟懷舊賦。掩淚過西門。</text>
