<title>丁未八月。夷山邑人來送于終浦驛。口號贈別。</title>,<text>邑子隨我來。送之終浦驛。臨分不忍分。相對淚雙滴。</text>
<title>送李有初 端錫 副使之燕</title>,<text>大地竆陰雪漲岐。暮途征役惜分離。觀風季子非前日。杖節蘓卿屬是時。碣石塵沙迷澒洞。薊門烟樹遠參差。三忠廟裏英雄淚。爲付君行一掬垂。</text>
<title>送姜叔夏 碩昌 書狀之燕</title>,<text>遼陽關路正漫漫。况是窮陰歲欲闌。大野天低西日落。長河氷壯北風寒。三盃別酒貧仍廢。一曲離歌病亦難。血淚十年猶未盡。送君今夕更汍瀾。底事令人骨欲驚。漢京冠盖指燕京。山河風景新亭淚。冬至正朝舊使名。趍走傷心那忍說。歸來把臂定相迎。吾家自有通亭集。沿路詩篇莫墜聲。</text>
<title>大殿春帖子</title>,<text>䓗籠佳氣拂晨鍾。一朶紅雲繞九重。五夜千官趨瑣闥。三呼萬歲祝嵩峰。無思不服東南北。皆願爲氓士賈農。何幸小臣逢盛際。但將篇什頌時雍。</text>
<title>大王大妃殿春帖子</title>,<text>釵頭雙鷰載春還。玉拆庭梅欲放寒。更五漢宮祈壽考。日三周竪報平安。思齊則百含飴慶。克肖於千奉輦歡。陽德已隨坤化遍。羣生拭目要先看。</text>
<title>次沈司諫仲美 攸 韻。寄堂弟叔九奉化縣衙。</title>,<text>官居蕭灑似山居。百里陶然太古初。仙境有緣行問樂。訟庭無事卧看書。從公巷詠靑靑麥。入饌江來白白魚。遙想官梅開正好。錦囊詩興未全踈。</text>
<title>酬贈沈仲美</title>,<text>屛迹須看晩節高。邱園深處樂陶陶。人同彭澤門垂柳。地似武陵洞號桃。肯許別區來遠客。只宜淸篇屬吾曹。江氷已解添春浪。急喚漁翁試一篙。</text>
<title>箕海黃生 命河 來見。爲傳雙碧亭之勝。且示宋道深 光淵，權季常 是經，李汝老諸友韻。步和寄題。</title>,<text>雙碧名亭特地奇。憶曾聯袂共追隨。霞巖春晩花開日。蕭寺秋深葉脫時。勝賞十年長入夢。離愁萬斛幾攢眉。逢君亹亹還成別。更把殷勤問後期。</text>
<title>孝宗大王遷陵挽</title>,<text>俔天生聖繼軒羲。十載東方德業垂。寵接儒臣勤切琢。撫摩民庶鑄雍煕。早聞舜授惟精一。實欠堯年未耄期。回首蒼梧移舃地。滿山松栢亦含悲。</text>
<title>挽南進士 汲 丈</title>,<text>尙憶前秋爲拜床。呼兒引入坐茅堂。羸形澁語憐君病。盤棗壺醪勸我甞。年未甚衰能噉食。神宜將護幸康強。那知一別成千古。題送哀詞涕自滂。</text>
<title>送李君瑞 喜龍 出宰朗山</title>,<text>曾聞文谷先生言。月出高峰壓海門。井冽泉甘無瘴癘。山明水麗絶塵煩。村村橘柚醒人骨。樹樹梅花喚客魂。今日送君飛一盞。暫時離抱不須論。</text>
<title>次崔汝和 錫鼎 韻。送金子仲 斗明 出宰端川郡。</title>,<text>爲唱驪駒遠送君。離懷黯黯不堪云。傷心隴水思鄕淚。回首長安蔽日雲。一路關防天下㝡。兩營南北嶺中分。九重佇見丹書召。努力須令異政聞。</text>
<title>送叔九出宰黃澗</title>,<text>曾爲傲吏學冥荃。復向名區作散仙。橘幷已應能療疾。菊泉何獨可延年。天遊逈接無何境。俗劫新磨不盡緣。黃鶴樓中吹玉笛。白雲隨處共蹁躚。</text>
<title>黃校理君玉 玧，吳校理貫之 道一。同直玉堂。唱酬有詩。君玉出示要和。步韻奉呈。遆與貫之。</title>,<text>紫薇淸切逈迢迢。伴直詞臣共月宵。身惹爐香趍玉陛。耳聞仙樂下璇霄。已知韓陸勤章奏。不學蕭曹事筆刀。聖代卽今登俊傑。會看班笋映蟬貂。</text>
<title>漣川地主李文伯 寅煥 席上。醉後拈出老蘓詩韻。勸余和之。走筆以呈。己未年</title>,<text>淡霧輕烟薄暮時。漏雲斜日政催詩。飄零我昔憐三黜。潦倒君今困一麾。世外浮遊惟適爾。人間竆達莫言之。澄波十里歸程遠。却怕官厨進酒遲。</text>
<title>醉中。從兄楚寶氏。呼韻走筆。</title>,<text>一盂朝夕一裘冬。峽畒躬耕學老農。得酒有時同跌宕。論詩無日不從容。泥塗軒冕曾非遯。笑傲江山豈是庸。昨夜晴霜酣萬木。試看丹葉爲携筇。</text>
<title>驪州淸心樓。次壁上韻走筆。</title>,<text>半天空翠拂簷端。楓葉殷紅暎醉顔。鷗外微茫連七澤。鰲頭隱約見三山。輕舟短棹烟波裏。細雨斜風几席間。竟日憑欄勞遠跳。每逢閒處不曾閑。</text>
<title>次趙嶷望 世煥 韻贈玲上人</title>,<text>不增不减貌稜稜。往在方壺第一層。妙悟已能超色相。冥觀應是到淵凝。翻從物外飄雲衲。却向人間乞米升。始信波羅難懺盡。哂渠何事去爲僧。</text>
<title>送海西伯沈仲美 攸</title>,<text>分憂方岳國西門。攬轡澄淸節制尊。可但宣威森虎戟。也應問俗駐熊轓。江山物色詩千首。湖海風流酒一樽。楚客悲秋兼送別。不堪搖落更消䰟。</text>
<title>送李景畧 懏 之任白川</title>,<text>聚星樓臨雉岳靑。都門五馬送君行。忠貞世篤先卿相。文彩今存令弟兄。勤索別詩慚薄技。遠尋窮巷見深情。白川地得人淸白。從此山川一倍淸。</text>
<title>贈別李叔固 垈 氏半刺咸山</title>,<text>漢沛周邠一古都。塞樓關堞壯方隅。雄州霧列金湯險。鳥道雲盤鐵嶺紆。憶我昔時馳馹路。送君今日佩魚符。黯然別恨悲哉氣。捴入詩篇帶淚濡。</text>
<title>送咸鏡伯李君實 世華 令公</title>,<text>自是堂堂盖世豪。許身寧憚獨賢勞。西臨薩水金湯固。北鎭咸關鎖鑰牢。山郭日沉秋色遠。海門風急浪花高。煩君莫歎長離別。增秩應看聖主褒。虹橋千尺跨江灣。樓在虛無縹緲間。塞外軍聲雷渤海。日邊歸夢月關山。田疇歲熟居民樂。烽櫓烟收戍卒閒。自哂儒冠成底事。草玄贏得鬢毛斑。</text>
<title>送湖西伯尹子由 以道</title>,<text>看君標格獨超羣。錦水秋風棨戟翻。喉舌舊司天北斗。爪牙今鎭國南門。牛刀已試絃歌化。熊軾爭瞻節制尊。多病未能擎別袂。白頭憔悴卧文園。督府雄城鎭上游。中有縹緲之飛樓。蘭橈桂棹錦江月。紅樹白雲雞岳秋。自是元戎不淺興。非關暇日聊消憂。當年物色分留處。帳望行塵記昔遊。</text>
<title>次趙嶷望韻。送李粹夫 璾 出牧星州。</title>,<text>落日西郊祖帳開。使君行趁鴈南來。愁添別酒那堪把。恨八離篇不自裁。踈雨霽餘秋水濶。斷雲飛盡暮山嵬。休言百里非賢路。從古治民要試才。當年吾祖到伽倻。選勝行行不覺賖。泚筆巖邊雲萬竇。吟風瀨下浪千花。詩篇卷裏輿人誦。文彩朝端聖主嘉。安得隨君便南去。細尋遺躅踏金沙。</text>
<title>盧渭原 希遠 挽</title>,<text>中年落拓卧村廬。恥不爲儒行卽儒。每起整衣晨謁廟。幾多開卷靜看書。咄哉擧世誰知者。命矣無天倘是乎。出處平生同寵辱。淚痕今日倍沾裾。</text>
<title>送慶尙都事沈汝器 枰</title>,<text>幕佐非高亦不低。上承下接理難齊。在營便覺吾身苦。廵郡還令吏目睽。太緩反乖存國體。稍嚴那免被人擠。我曾折臂君須勉。到處唯宜去畛畦。騎省星郞佐碧油。翩翩飛馹向南州。草間蟲語千林晩。葉底蟬鳴萬樹秋。龜峀晴雲牽客夢。鶴樓明月惹鄕愁。錦囊詩什應成軸。倘寄衰翁洗眼不。府有連龜山，琴鶴樓。</text>
<title>韓興君李 汝發 挽</title>,<text>憶曾荒徼詠離騷。靑海公方擁大旄。漢柳日長閑部曲。楚蘭春盡㤪湘臯。恩深涸轍監河粟。感結竆途范叔袍。一袠南華留在案。寸心猶自佩銘牢。妙年投筆業箕裘。猛氣英風隘九州。定遠虎頭飛食肉。隴西猿臂相當侯。早任閫鉞聲名震。晩避兵權福祿優。歎息中宸思鉅鹿。內無良將至尊憂。才名天下無雙士。家世山西第一流。可但嫖姚善騎射。也應元凱癖春秋。悲風忽落將軍樹。明月空懸相國舟。自是平生長揖客。寢門斜日涕難收。</text>
<title>趙監司 世煥 挽</title>,<text>嘉林山水孕豪英。宅相名聲繼土亭。玉節臨湖留惠澤。銀㙜視草荷恩榮。官躋二品猶三品。壽到稀齡欠一齡。弟畜平生叨奬眷。寢門斜日涕雙橫。淸獻裝中琴鶴隨。倚樓吟處筆翰飛。孤燈旅舍呼𦤎急。積雪荒阡返櫬遲。九地深幽嗟永閟。百年牢落欲誰依。亦知一死差先後。後死那能不淚垂。</text>
<title>果齋尹先生死於壬辰。其孫薪谷，林溪兩先生。俱死於丙子。孝廟奬之以三節。今上十二年。謚果齋曰文烈。林溪曰忠貞。盖寵異之也。今年春。珍山，陰城兩太守。設延謚宴。珍山守體元自製近體絶句以志之。盖榮君賜也。要和於薦紳大夫作一軸。將以眎諸後。不佞竊自幸其載名於卷中。步其韻以呈。聊以寫夫平生景慕之忱云爾。</title>,<text>南州榮謚敞華軒。北關頒綸荷聖恩。可但淮陽爲厲鬼。也知諸葛有英孫。氷霜氣節陵千古。河岳精靈萃一門。自是後來瞻仰地。區區髯婦詎誰論。</text>
<title>權右尹悅卿 說 來訪。袖示二律。仍和以贈。</title>,<text>鳥報天晴雞報晨。映階紅藥殿殘春。濂翁窓外長新草。仲蔚門前無故人。獨有夫君勤遠訪。始知於我㝡交親。袖中更示瓊琚句。愛玩終朝詠歎頻。光陰頭上擲梭頻。壯髮成秋不復春。十里江山千勝槩。百年天地一閒身。病餘骨自罹讒毁。老去詩因放懷新。倚伏紛紛何足道。滿園松菊未全貧。</text>
<title>大殿春帖子</title>,<text>隨春冠冕賀淸時。雪後韶光上玉墀。七政璣衡千歲曆。一番風雨萬年枝。仁心發育陽和動。淑氣氤氳麗日遲。洪造代天均覆燾。太平文物際雍煕。</text>
<title>課製 九首</title>,<text>岱岳崔嵬鎭海東。邦家祀典秩三公。泥金檢玉嗤秦誕。敷土隨山想禹功。尼父眼中天下小。翰林登處日觀祟。寄語後學要希聖。先識巖巖氣象䧺。右泰山衡岳扶輿淑氣含。雄名獨擅大江南。寰中鉅鎭同稱五。海內神山可並三。回鴈峰連靑草澤。瀟湘竹映洞庭柑。韓公正直開雲霧。留與千秋作美談。右衡山𡹃嶒華岳獨雄西。萬朶芙蓉綠翠齊。玉女洗頭盆尙在。金仙弭節蹟都迷。平臨大海風烟濶。俯挹中天日月低。白帝眞源如可問。秋風扶杖上雲梯。右華山崧高維岳鎭當中。少室爲西大室東。周代梯航均道里。漢朝宮闕化蒿蓬。天晴玉女三更月。日出金雞五夜風。惟有孤臣祈聖壽。山呼萬歲永無竆。右嵩山北垣恒山碧巑岏。碣石群峰眼底看。趙北燕南多慷慨。天翻地覆閱艱難。龍光闔闢昏朝換。蛇陣縱橫首尾蟠。安得一吹鄒子律。坐令幽谷變凝寒。右恒山源出岷峨橫復縱。穿山度峽幾重重。長流到海何時了。巨浪滔天盡日舂。擊楫壯心盟白水。負舟神物懼黃龍。遙思萬折朝宗意。血點空垂志士胷。右江水導源桐柏水圍淮。東北維楊境㝡佳。周甸郊圻元赤縣。禹功疏鑿卽蒼崖。風波不貳忠臣志。烟月偏傷墨客懷。玉樹猶餘亡國恨。至今商女唱淫哇。右淮水崐崘萬古欝嵯峨。滚滚長源入海多。疏下龍門神禹導。派通銀漢客星過。寸膠莫救千尋濁。衆水齊匯九曲波。休運佇聞當五百。詞人應解頌淸河。右河水漾水東流此水傍。一隅嶓冢發源長。丈人抱甕滋園圃。游女凌波鮮佩璫。詩詠滔滔爲國紀。傳穪皜皜曝秋陽。吾東豈與中華異。襟帶神都萬葉昌。右漢水</text>
<title>中宮殿端午帖子</title>,<text>氤氳淑氣汎崇蘭。風化周南喜再看。宮女續增金縷細。尙方裁進翟衣寬。坤儀已叶徽柔懿。壼範咸知靜一端。自有百神扶繡戶。靈符何必着心安。</text>
<title>金同知 玧 重牢宴席上。次李白川景畧 懏 韻。</title>,<text>毓靈嵩善慶無邊。人間稀聞再酳筵。堂壓海門橫積素。帳連雲日翳層玄。丹靑繪作千年寶。琴瑟歡成百歲緣。源遠也知流滚滚。江河應與共漪漣。</text>
<title>寄題養眞堂 堂之主人安希老居平海。余曾謫居時相識者也。因其求詩。賦以寄之。</title>,<text>名區卜築幾經春。新作華堂號養眞。萬事風塵難着足。百年邱壑好藏身。蓬瀛地近神仙宅。花竹園成富貴人。湖海扁舟吾已具。不妨隨處共垂綸。</text>
<title>送沈汝器 枰 出宰瑞山郡。次客舍題詠韻。</title>,<text>郡城三面盡滄溟。目斷坤倪極杳冥。鵬翼蔽天昏日月。鯨牙皷浪闘雷霆。潮聲贔屭排風逈。野氣空濛帶雨醒。疇昔壯觀如夢寐。爲君臨別記曾經。</text>
<title>李起伯與崔汝和 錫鼎。同遊冠岳山韻。次寄。</title>,<text>冠岳𡹃嶒鳥道紆。諸峰屹立與雲俱。平臨北斗天疑盡。俯瞰南溟地欲無。可耐冥棲在巖穴。何須長往訪蓬壺。風塵已决投簪計。要作睢陽二老圖。名區勝會脫塵紆。浪迹如今恨未俱。萬壑松聲元自在。千峰月色本來無。仙心正要琴三疊。世事都消酒一壺。搖落不須悲宋玉。請看潘閬倒騎圖。</text>
<title>次南相公 九萬 宗會韻以呈</title>,<text>宜春相國是仁人。一視同仁若乃身。補衮北宸推老老。開筵東閤展親親。先謨有裕應儲慶。後屬雖疎豈失倫。觀感已敎風化遠。佇看偸俗日維新。</text>
<title>送江原伯權季常 是經</title>,<text>襜帷紺幰建高牙。馹路秋風爽氣多。朝夕萬千峰日月。東西八百里山河。嶺湖曾攬澄淸轡。獩貊將騰蔽芾歌。箕海舊來相識在。爲余停節問如何。</text>
<title>送嶺南伯李君實令公 曾經湖南，海西，關北，關西監司。故頸聯及之。</title>,<text>軒輊非常冠搢紳。于思 多鬚故云 落落丈夫身。威行四路西南北。迹遍三韓卞馬辰。七十州民新節制。一千年國舊城闉。宸憂爲是專分閫。莫歎賢勞叱馭頻。</text>
<title>送李秀夫 志傑 出宰盈德 花林山在縣北。淸心。城西門樓名。</title>,<text>東閣平臨東海隈。檻前烟浪闘晴雷。千尋氷穴 邑有氷盛夏常穴。堅。 非霜至。萬古花林不雨開。靜裏湖山堪嘯傲。吟邊風月入敲推。送君安得逐君去。共把淸心樓上盃。</text>
<title>李慶源汝老挽</title>,<text>璧水同遊若隔晨。中間離合漭相因。十年湖海停雲久。千里關河衣綉新。酬唱燭殘塲屋夜。綺羅香暖妓筵春。祗今衰白徒懷曩。一曲哀詞淚滿巾。</text>
<title>送任參知德章 弘望 赴燕 閼氏喪。進香使。</title>,<text>前行未返後行忙。時冬至使未返。 冠盖翩翩織路望。珠玉事夷猶不免。金繒誤國祗堪傷。愁連月笛燕山遠。夢落烟花鴨水長。天下無人貴駿骨。應須攬涕哭昭王。</text>
<title>族兄李叔固 垈 傍隨窩。次趙嶷望韻。</title>,<text>道從伊洛幾時東。萬古春廻大六宮。玉色金聲人已遠。淡雲甘雨趣還同。住筇戱傍花迎日。步屧閒隨柳颺風。靜處默觀消長理。肎將榮辱問天工。君家形勝冠吾東。右接公門左梵宮。觀理已將先聖契。偸閒肎與少年同。吟來筆染汀花露。醉後盃迎渚柳風。欲幻名區供卧看。妙手安得倩良工。</text>
<title>南汝章 文斗 茅亭八景</title>,<text>膚寸浮雲觸石生。驀然高起勢崢嶸。欲成疎雨漫天暗。旋逐輕風漏日明。出峀元非持贈物。隨時似識卷舒情。問渠那得閑如許。任是無心自在行。右冠岳歸雲突兀奇峰揷半空。濛濛疎雨逐輊風。微沾岸草新抽綠。細着庭桃欲放紅。洗出山容粧翠黛。添來溪面抹靑銅。雲烟出沒無停態。盡入依然水墨中。右淸溪過雨十里長川衮衮流。發源應自老龍湫。花燃曲渚紅波漲。柳拂長汀碧浪浮。把釣漁翁歸遠野。荷鋤農老漑平疇。欲知功利無竆處。看取黃雲䆉稏秋。右一帶長川遠近平郊掌㨾然。森羅萬象渺無邊。老烏覔食將雛喚。小犢依林傍毋眠。孤落霞如畵裏。晴川芳草入吟前。多君占得溪山勝。早晩相隨借一廛。右十里平原石榻秋深萬木萎。一林丹葉正離披。光侵靜几烘詩卷。影入踈簾落酒巵。繞樹任他吟骨冷。倚柯還與醉顔宜。傍人莫道偏蕭索。絶勝花開二月時。右石榻晩楓曉天霜月印溪流。一片淸光萬頃秋。岸樹遠猶呈睡鵲。汀沙近可辨眠鷗。嬌兒臨水疑看鏡。癡子窺波苦索鉤。推枕起來徐倚杖。不知風露襲重裘。右前溪曉月一片丹霞萬縷明。也知山澤氣蒸成。落時却訝來膝閣。起處渾疑望赤城。風引嫩光侵几席。日烘斜影動簾㫌。斯須變化呈新態。似向騷人勸酒𨠵。右仁源起霞雪後江山霽景多。嫩雲歸海散如麻。削成巖壑千峰玉。亂綴枝柯萬樹花。日射龍鱗光的皪。風飄鶴羽落鬖髿。悠然興發山陰棹。氷底遊魚夜可叉。右德坪晴雪</text>
<title>丁巳春歎時作</title>,<text>終南山色欝岧嶢。遙望靑雲擁洛橋。鵑叫天津無限月。鴉全禁樹許多條。玄都桃盡惟新菜。野渡舟橫自晩潮。回首驪江龍馭遠。未攀髯慟死難銷。</text>
<title>戚兄成僉正士翼 煕胄 挽</title>,<text>聽松公後㝡多賢。公業其家孝友傳。可但使之爲宰也。堪嗟命矣止斯焉。稀齡已著行仁驗。餘慶應仍積善綿。永負病中求見意。謾將遺恨寄重泉。二祖曾依文簡門。滄浪又育我亡親。連世仍敦昆弟義。當時忍忘父師恩。百年存沒看看變。萬事乾坤故故新。孤露餘生今白首。淚痕秋日灑荒原。</text>
<title>柳靈山萬春 長元 寄示一律却次以寄</title>,<text>庭樹蕭蕭葉迎霜。曠野茫茫稼滌場。敢擬有詩凌鮑謝。自歎無力挽虞唐。日沉谷口歸樵唱。風亂江心逗賈檣。寒菊一枝斜竹外。獨憐孤節對殘香。</text>
<title>戊辰元宵感吟 今年是余甲年。故頸聯云。</title>,<text>曆書昨已辭丁卯。太歲今看在戊辰。老去忽驚環甲子。病餘剛厭守庚申。蒸成香釀催三亥。擷取嘉蔬薦五辛。耿耿不眠宵向午。起占天際斗回寅。</text>
<title>爲省墓往漣川。月夜與從弟玉汝從侄 漢溥 同坐。呼韻請賦。口號以答之。</title>,<text>朱顔一去豈重來。頭上光陰鼎鼎催。報主計違甘自棄。傷時志切向誰開。春深古木鵑啼苦。月冷淸宵鴈影廻。魂夢不知身在遠。日邊惟得近蓬萊。</text>
<title>李生厚遠梅月堂八景韻 李生先祖養眞齋晩年。休退大谷村。作梅月堂。</title>,<text>靑銅磨出霽光涵。一陣長風飽半帆。烏背斷雲將日去。鷁邊驚浪與天參。忙收短檝疑逢雨。催亞高桅怕近巖。安得隨渠遊汗漫。直趍蓬島脫塵凡。右龍湫暮帆一帶炊烟十里遙。驛亭臨海正回潮。東西南北路中路。春夏秋冬朝復朝。障日成陰纔掩淡。隨風爲霧任輕飄。看來亦足供詩興。何待龍眠好手描。右鳥院朝烟雨洗平蕪綠漲郊。牧兒腰笛戱靑茅。哆唇和曲裁蘆葉。蹙口爲聲折柳梢。輕戛邃林驚睡鵲。逈搖幽壑喚吟蛟。歸來唱罷牛羊散。日落村墟亂水交。右金郊牧笛古木杈枒簇簇多。樵兒蕘竪往來歌。赬肩互答山猶應。洗足高吟澗自波。出洞響隨斜日落。入村聲逐暮烟和。畵師欲畵難爲畵。輸着騷翁醉後哦。右赤洞樵歌雲捲纖塵露洗空。日光西匿月華東。三更星斗懸輪外。一色江山八鏡中。皎潔肎敎微玷翳。澄明還與我心同。這間氣像誰知道。興起濂翁百世風。右東峯霽月春意衝冬趁臘迴。欲尋花信訪寒梅。閒階已占韶光早。幽谷何須煖律媒。香愛引風偏馥郁。影憐和月共徘徊。窓前雪片交相映。正是天公一色裁。右西階早梅春江漾綠夜天虛。蓬底殘燈處處漁。隔水高低明復滅。傍林來去密還踈。光搖沙嘴流星似。影透波心落月如。收網扣舷誇得雋。分魚散入柳邊廬。右南浦漁火北岳巉巖縱復橫。嫩雲膚起媚新晴。爲衣爲狗斯須變。如火如綿取次成。縱欲翳天天本大。莫須遮日日還明。看渠自是無心物。舒卷何曾有重輕。右北岳晴雲</text>
<title>次李生厚遠韻。寄題山陽人廉 遵 醉遯軒。</title>,<text>不用簪纓絆此身。醉鄕肥遯脫凡塵。醺醺止可談風月。屑屑何甞較富貧。得失已應任北叟。有無時復問東隣。高齋認却閒中景。三逕松篁杖屨春。</text>
<title>柳萬春以善押硬韻自誇。見示一律。次寄。己巳年</title>,<text>餌鉤名餌盡鮦貪。處世非惟七不堪。已判公私分舜跖。莫將脩短較殤聃。要知誨盜由藏慢。欲免罹殃貴垢含。猶有醉鄕㙜罍麯。秫田無稅任農談。</text>
<title>詠史 課製。下十首仝。</title>,<text>龍馭飄然渺莫擎。二妃行泣綠雲間。揚靈極浦蒼梧逈。染血叢林翠竹斑。遺廟窈冥天接水。古碑傾側草連山。商絃皷罷瀟湘月。哀㤪聲中鴈却還。右二妃扁舟暮泊楚江潯。萬古人傳屈子沉。水咽白波留素志。楓明赤葉着丹忱。投書賈誼元同調。反賦楊雄卽底心。最是斜陽愁絶處。巴童唱斷竹枝詞。右屈原初隨季父起吳中。虎嘯秦原萬里風。一箭射鴻傾楚業。八年驅雀爲漢叢。惡盈天地難爲王。氣製山河豈足雄。惟有壯心臨死快。捐頭不肯向江東。右項羽短棹輊橈月一船。筆床茶竈興悠然。籠中綉羽能言鴨。盤上氷鱗縮項鯿。笠澤碧流軒檻外。稽山靑落酒杯前。三高風節亭名在。留與人間萬古傳。右陸龜蒙箕山秀色聳晴空。占得寬閑有兩翁。夢斷世間同蟻垤。神遊物表想鴻濛。掉頭不顧堯天下。洗耳還甘潁水中。萬古高名垂宇宙。至今蘭雪灑淸風。右巢許潔身逃難任淸狂。春及西疇擧趾忙。自分耕田兼鑿井。不論遺臭與流芳。唐虞已遠時難遇。鳥獸同羣世果忘。誰識聖人經濟意。問津浮海苦遑遑。右沮溺商山萬古欝崔嵬。四老春風酒一盃。白石坐來同謔浪。紫芝歌罷共徘徊。中原鹿走誰先得。大澤猴亡我自咍。可憐竟墮留侯計。何事還從漢殿回。右四皓甲觀橫經輔漢儲。引年還上乞骸書。拜恩北闕辭鵷列。設餞東門簇駟車。知足平生驚寵辱。見幾行色豈虛徐。定敎蕭傅罹讒日。恨入重泉媿不如。右二疏卜肆藏名樂考槃。幽情高致邈難千。牢籠天地胷全豁。揖讓羲文體自胖。至理合敎閒處玩。道論難與俗人看。千秋莫測湛冥意。銀漢名懸白日寒。右嚴君平羊裘草澤避塵喧。物色旁求不憚煩。卿月肯趍靑瑣闥。客星還傍紫薇垣。暗扶九鼎千匀重。共卧中宵萬乘尊。元亮折腰那不媿。釣㙜經過待黃昏。右嚴子陵</text>
<title>追述蕩春之遊。寄呈沈汝器 枰 令公。遆示柳敎官 碩昌，趙重卿 萬重，尹泳甫 涵。 兼與年少諸君求和。</title>,<text>多病年來不出遊。偶携諸友共尋幽。自憐伏枕偏衰朽。却喜聯鑣捴勝流。風韻松琴和鳥語。日烘霞綺暈人眸。醉後未盡探眞興。更入桃源最上頭。</text>
<title>次叔九見示韻</title>,<text>莫歎飢寒困一生。嶺湖曾已享專城。窮通自是皆關命。毁譽由來捴不明。擧世脅肩甘汩沒。幾人騈首就葅烹。前江合放東歸棹。綠漲春波雨乍晴。</text>
<title>次柳萬春寄示韻</title>,<text>鼎鼎光陰鏡裏遒。蕭蕭兩鬢各驚秋。邇來尙阻新年話。老去難逢少日遊。笑我宦途讒市虎。多君詩律技庖牛。陽坡煑艾前期在。第一橋西八角頭。</text>
<title>次叔九三淸洞病未往賞韻</title>,<text>玉洞風烟處處新。水明莎綠絶纖塵。名區勝賞惟玆地。令節繁華㝡此辰。泉響細分鍾皷曉。山光偏惹綺羅春。期君莫負尋眞約。任遣兒童笑醉人。</text>
<title>柳萬春，沈仲默 思沉 幷轡見過。寄示兩律。和呈。</title>,<text>聯鑣竆巷訪幽人。急掃風軒笑語新。朝翠引霞籠遠峀。晩紅棲葉殿殘春。淸詩已荷紆深契。薄酒何堪答令辰。安得共携遊汗漫。笑看東海變生塵。</text>
<title>重陽與諸友登藥峴。成禹鼎示韻。步和。</title>,<text>佳辰勝會豈虛徐。携酒扶筇幸共於。藍水強寬竆杜甫。茂陵猶起病相如。霜鴻欲下秋陰晩。霞齊飛暮景初。酩酊莫辭令日醉。賢愚貴賤捴成墟。</text>
<title>次趙重卿 萬重 寄示韻</title>,<text>巷深無客掩書堂。病久尋醫問古方。披卷抄詩忘老至。擁衾推枕覺宵長。燈枯正愛窺窓月。衣薄還驚着瓦霜。秋晩故山猶未去。石田茅屋已荒凉。</text>
<title>送安邊府伯柳集仲 成運 之任</title>,<text>失意人今得意遊。北州形勝㝡登州。行行吟嘯短長勾。處處逢迎多少樓。仙島烟霞飄鶴馭。妓筵歌管暖貂裘。輶軒定過高山舘。尙記風流老督郵。</text>
<title>次叔九韻。送元命汝 聖兪 之任。北靑通判。</title>,<text>未向離筵餞一盃。晨星落落各天隈。題輿縱負陳蕃望。記室誰知阮瑀才。瀚海恕聲和夢聽。雪山愁色入吟來。關河信使應稀少。旅枕何堪白髮催。</text>
<title>次叔九寄示韻 前後所寄五七律三十七篇方在案。故尾句及之。</title>,<text>萬事蹉跎髮盡皤。百年天地入悲歌。閒來縱喜忙時少。老去偏憐卧日多。酒爲補虛還損氣。藥因治病反傷和。尙看三十餘篇在。頗覺高吟祛宿疴。</text>
<title>奉別冬至正使禮曹判書申公獻 琓</title>,<text>王事何曾歎獨賢。但將行止一任天。多能誦了詩三百。險已甞之路四千。且莫偏傷垂老別。也須重詠遠遊篇。佇待君歸應改歲。鶯花春晩五雲邊。</text>
<title>奉別冬至副使戶曹參議李遠伯 弘廸</title>,<text>臨筵惜別各衰年。况是竆陰歲暮天。王事有程甘契濶。客行隨處㥘留連。三冬雪月心同潔。長路氷霜操愈堅。牧隱先生遺稿在。家聲應繼早朝篇。</text>
<title>李判書國賓 觀徵 壽筵。次陸判書 昌明 韻。</title>,<text>班躋八座壽稀年。舊德朝中屬望先。鶴髮色將卿月映。蟬冠影並老星聯。官應上壓香山會。耋亦中參洛社筵。夙忝登龍爲賀雀。續貂聊和睡翁篇。</text>
<title>次李生 厚遠 松廠韻</title>,<text>何用雕榱與綺櫳。枉施人巧奪天功。鷃飛自大嘲鵬徙。鳩拙猶安笑鵲工。子美肯愁茅屋雨。禹儞宜詠竹樓風。倘容老叟閒中伴。他日南歸不俟終。</text>
<title>次僧軸韻題贈</title>,<text>爲問師從何處來。天台靈隱寺中迴。山連大壑波掀屋。殿揷高穹月滿㙜。地僻杉松巢鳳鶴。春深花雨老莓苔。相逢已到忘言地。未覺浮沉苦海隈。</text>
<title>春日</title>,<text>垂柳陰邊晝掩門。日長竆巷靜無喧。遣兒整秩抽書卷。課僕栽桃護果園。詩罷獨吟何用寫。酒篘旋吸不煩樽。年年頗得閑中趣。誰識凡亡與楚存。</text>
<title>箕城郡齋留題</title>,<text>山雨關人得少留。斜陽聊上郡西樓。千竿脩竹當簷秀。一帶淸溪繞檻流。戀闕幾煩工部望。憂民未暇武昌遊。春來花鳥渾無興。携酒登臨欲待秋。</text>
<title>秋日過友人家</title>,<text>秋懷憭慄未曾寬。爲到君家強作歡。且愛黃花香滿袖。寧羞白髮雪渾冠。風高葉下猿聲斷。潮落江空鴈影寒。取醉不知西日暮。半峰新月捲簾看。</text>
