<title>題畫</title>,<text>寒鴉啼日夕。風浪急前灘。漁舟將早泊。何處賣魚還。</text>
<title>[次]</title>,<text>聞白水大捷。次杜少陵諸將。五首○宋獻錦寧兩戰屹如山。敢復前窺虎豹關。共說綢繆周外備。遂忘瑕釁啓乘間。中丞殉難城俱覆。主將全生地轉閑。烽火甘泉連夜達。羣公何以破愁顔。營平方略誦金城。趙帥沒 奮臂嬰危洵可旌。忽爾震搖畿輔地。終然功倚督師兵。孤軍入薊人心定。一䟽排閽雜議淸。聖意不移宗社福。殷憂自古啓昇平。朝看揷羽暮看烽。頓失嚴疆設險重。决志有人殲醜虜。酬功懸格拜侯封。元臣 高陽孫閣老承宗再入相 特起收輿望。新進耑章奮自供。庶常金劉二公 共喜金錢頒內帑。分憂原屬大司農。功存廟社姓銅標。積載兇氛一戰消。十萬淮陰歸將將。八千淝水後寥寥。人誇靑社符分虎。詩誦彤弓寵賜貂。衣帶通津京輦路。捷書飛奏慰傾朝。虎旅紛紛動地來。忍看滿道潰離哀。紆籌嚴譴中樞府。下兵部王于獄 漁號宣威御史㙜。監軍方侍御 白水瞬看馳捷布。黃龍刻日痛㘅盃。冊勳上第懸魚鑰。始信明君注異材。次思將白羽定天山。誰料狼烟報鐵關。一夕妖氛遼塞外。千年佳氣彩雲間。獸心震慴金城固。虎略恢張玉帳閑。露布忽傳宗社慶。春浮四海解龍顔。天險岧嶢百丈城。親征昔日建龍旌。穹廬遠隔三千里。雄鎭常摧十萬兵。殺氣漫空金鼓震。腥塵掃地玉河淸。元戎勳業超今古。敵愾歸來奏太平。甘泉一夜報遙烽。天上祥星照九重。督戰雄威靑海震。褒功新詔紫泥封。三軍喜氣推金賞。萬竈炊烟淅玉供。歸馬華山知偃武。錦衣還處却明農。瑞世文星拔俗標。蘭馨纔襲鄙萌消。懷氷砥節聞藩翰。戛玉鳴詩振寂寥。海鱷圖移攜寶劒。妖㺑參剪揷金貂。殫誠裕餉兵民奠。更展經綸賁聖朝。孤槎飄泊自東來。故郭殘更畫角哀。海月寒時愁倚枕。燕雲望處獨登㙜。風驅西塞千峯雪。日照南山萬壽杯。仗義勤王參大慶。皇朝知有棟樑材。次宋民部 喜聞大捷韻。呈大方崔學士五首。○吳大斌關雄百二海連山。何事天驕寇我關。雲擾三屯亭障外。烽傳千里薊幽間。金㙜命將謀誰識。羽扇揮兵意自閑。虜殪白河歸赤焰。望春樓御鳳龍顔。唐時鉅鎭漢長城。闌入胡兒熾羽旌。天授群公輸赤膽。雲屯各路▼(乕+敢)雄兵。九重睿斷難搖奪。一旦氊裘忽掃淸。喜動彤庭頒上賞。凱歌聲裡奏昇平。關傳羽檄塞傳烽。誰突堅圍陣幾重。勝出萬全皆帝略。功成一戰便侯封。酬勳綸綍芝爲檢。犒士金錢帑正供。七德方今嚴武備。莫將鎧甲盡歸農。孰挽天戈奪虜標。犬羊遍地便魂消。妖群頸血膏黃鉞。上將星精映碧寥。塞外再須探虎穴。雪中定拜賜裘貂。兇除千古眞英傑。萬國懽呼頌聖朝。鼙鼓連天擁地來。伏屍流血國人哀。白水于今推漢將。黃金自昔築燕㙜。聖慮方殷休解甲。兵權未釋莫㘅杯。直須戮力匡王室。還仗擎天不世材。次宋如園聞捷韻 五首○登州人。南京刑部郞中王述善。虎豹曾聞舊在山。誰將紈袴易重關。中協路將方易非其人 㙜兵盡廢經年久。胡馬潛窺一瞬間。開府空懸烽火信。樞臣 缺落 筭陣雲閑。石門明月無人望。小醜憑陵動御顔。方叔天生是赤城。宣威路洵遍干旌。飛馳豸繡身親矢。直指魚書腹蓄兵。白簡不知司馬貴。黃扉欲待卧龍淸。漁陽自古英雄地。雪夜何人似則平。堅壁都門不用烽。勤王將士甲重重。元戎愼戰非無策。聖主酬功定有封。神物遠從荒服至。金錢喜自內藏供。須臾萬虜成灰燼。馬放華陽器鑄農。樞府集賢拔異標。入門一見興全消。呑聲首座人臃腫。借箸分曹語寂寥。邊塞不聞嚴鎖鑰。將軍猶自饋參貂。若非黃閣田間起。安得捷音慰滿朝。封蛇擁入近邊來。上將蹶聞亦足哀。鐵甲連揚雙拔幟。木天二美並登㙜。宸居穩奠千年業。露布歡傳萬國杯。朗朗帝星誰不見。呑胡饒有不凡材。</text>
<title>[晴川示以瞻斗韻。次呈求正。]</title>,<text>聞捷音喜賦 王述善號瞻斗曾云聖主定人心。此日纔聞大捷音。淸節成功應白水。雄圖勒石自黃金。天威果照水隨裂。將力齊驅虜已擒。不是元臣多勝筭。書生誰與信高深。晴川示以瞻斗韻。次呈求正。元帥常懷報國心。胡笳何事動悲音。雄師厲氣彌千里。聖主臨門散萬金。箭里連空戎陣却。天雷霆地巨魁擒。捷書飛奏爭歡抃。雲近蓬萊五彩深。</text>
<title>晴川以捷音告喜。賦詩求和。</title>,<text>初愁殺氣暗遼陽。露布星馳喜欲狂。豕突直衝金鼓震。虎威橫截玉關長。朝鏦鐵馬堆千骨。夜斫妖㺑血萬囊。我亦乘槎扶大義。凱歌何日拜天皇。次 二首○吳大斌昌期泰運正當陽。何事胡兒恣蹶狂。頗牧禁中懷劒短。夔龍閫外請纓長。兇殲烈焰憑神筭。兵授驚魂入智囊。一戰成功馳露布。樓開五鳳御明皇。一夕陰虹犯正陽。風吹古月任顚狂。雷鳴天鼓黃塵靜。劒決浮雲紫氣長。麟閣已圖扶社績。鳳樓爭集賀書囊。微臣持節留寒雪。誰識孤忠達玉皇。拙作美崔先生聞捷之什。次呈吳晴川。王述善風巾來自魯山陽。忠耳捷聞喜欲狂。屬國孤槎交最禁。普天同賦慶偏長。淸棼已見蛟潛窟。探穴應分馬革囊。韻就何曾圖一面。分明說與報天皇。初作乃步台次之什。未見崔先生作也。今旣覩有二詩。生不揣口占。又一耑美崔公。惟台翁轉致之。聊志神交。非敢計工拙也。並璧上。又副啓得覩崔先生作。從容大雅。屬國木天之選。眞眞不枉。生不敢有境外之交。惟服膺無已而已。如生作未免具有憤氣的見。廟堂上所用要地數人皆非。致有此失。故不覺其淋漓爾。今幸聖主生所親見。名賢以次漸升。卽與俗人言。帝星朗朗。諸讖緯之說。揔是緖餘。吾輩在朝在野。須當誓不與賊俱生。一切搖惑。可以不動分毫。老侍兄放心放心。計日掃穴。尙欲立刻求瑤篇累累也。大作云兵權未釋莫㘅杯得之矣。羽扇揮兵意自閑。政督師之謂也。今崔先生作俱璧上。大作留置案頭。少當圖面談也。</text>
<title>[次]</title>,<text>聞虜酋被衂奏捷。聖上召袁督師賜宴解裘喜賦。王述善元臣忠勇馘夷酋。喜動天顔不二儔。拔箭成功侯萬戶。借籌席廠畫千秋。榮分御食朱盤饌。寵錫皇彤白腋裘。從此浮言誰敢至。傾巢擬待宴龍樓。次 吳大斌聞說王師創虜酋。神機果是孔明儔。身先中矢摧鋒日。髮怒衝冠報國秋。猛士懽聲分玉饌。天庭新寵解貂裘。黃龍痛飮酬初志。燕喜重開五鳳樓。次手揮斧鉞斫戎酋。伊呂雄才伯仲儔。鐵馬載屍塵暗處。玉關橫笛月明秋。天中榮寵千金饌。雪裡春光五彩裘。箭雨當胷忠益烈。鏖巢不日待金樓。</text>
<title>[如園宋先生送南果以扇上韻]</title>,<text>元旦次大司馬韻 書扇所贈○宋獻乍到身疑在紫虗。彤華瑞旭滿庭除。臚傳句裡千官肅。綵仗光前萬舞初。禮樂中興偏氣象。衣冠 二字缺落 快舒徐。更看雲物澄霄靜。卜歲人徵大有書。如園宋先生送南果。以扇上韻 次謝厚意。紫鳳㘅綸下碧虗。仁風纔扇歲將除。金樽春滿氷凝處。玉札花生雪落初。海上新香南土異。鏡中愁色北行徐。感恩益切丹衷激。爲我排雲一奏書。</text>
<title>[次]</title>,<text>蒼雪齋 書扇○宋獻以君長嘯處。滿壁貯淸陰。倚石消雲影。稍簷益雨音。夜燈尋句賞。朝榻簡書臨。三宿頹然後。彌淸靜者心。次陽復時將泰。天中已剝陰。月明橫笛處。雲遏凱歌音。北極祥星曜。東溟彩鳳臨。酬恩一劒在。孤客百年心。</text>
<title>[次謝]</title>,<text>贈崔詞丈一律 歙邑程僖常羡箕封多俊髦。識荊每願御英豪。詞壇聲價傳聞遠。藩臬宏猷播頌高。自是奎躔騰上國。豈因圭蓽降征旄。祗今披拂春風面。愈信江東有鳳毛。次謝義氣堂堂冠譽髦。酣歌擊筑任詩豪。一年行色東溟濶。千里歸心北極高。嘯動月星應却敵。檄傳風雨幾揮旄。誰知文獻家聲遠。鏡裏光陰歎二毛。</text>
<title>又次聞捷韻</title>,<text>一片征帆萬里流。龍泉未拂玉河洲。風驅殺氣三關鍵。日繞祥雲四海浮。天下元戎忠已著。雪中孤客鬢先秋。何時吹笛遼山月。落盡梅花物色幽。</text>
<title>程公送酒。以詩謝之。乃程子之後云。</title>,<text>夫子淸光瑞日懸。後孫漂泊海東船。劒揮風雨龍文動。筆吐虹霓羽檄傳。萬國兵聲關上月。千家寒色雪中烟。名區景物盈尊酒。意氣相傾送彩牋。次韻錄呈 卞獻烱如鍾律儼高懸。藻思還兼下水船。氣却西戎羣盜慴。名喧東路萬人傳。霓旌搖曳蓬萊月。鷁羽飄揚渤海烟。借問詩成凡幾首。卽看椽筆破蠻牋。</text>
<title>吳晴川次韻求和因謝</title>,<text>耿耿丹心魏闕懸。蕭蕭霜鬢倚孤船。夢隨月魄懷中照。詩逐梅魂臈後傳。滄海夜水銀作界。雪山朝旭玉生烟。行裝從此饒奇寶。千顆隋珠五彩牋。</text>
<title>[次 二首]</title>,<text>贈吳晴川 二首○登州人。進士丹厓梁之垣。福星臨照難星除。好向滄洲穩結廬。世路已看消幻影。禪關更復證眞如。德機寧許神巫相。骨節偏全醉者車。長此江山君作主。五湖風月任瀟踈。福星臨照難星除。豪擧寧爲欝欝居。終信埋蛇報孫叔。從知射虎誤熊渠。伸眉大嚼憑看劒。展腹高眠好晒書。不道客中囊篋盡。等閑唯覺此身餘。次 二首○金尙憲遼塞妖氛尙未除。先生玉貌此僑居。不緣貢道開滄海。那得淸溝暎汚渠。屢喜竹筒傳妙句。更驚河鯉損長書。荊州一識償前願。人世從今萬事餘。豪氣翩翩老不除。吟閑梁甫卧茅廬。百年軒冕泥塗似。千首詩篇錦繡如。自信立言垂汗竹。肯隨竿牘到公車。無邊風月誰爭地。身計平生未作踈。次 二首忠憤無由達玉除。栖栖蹤迹野僧居。飛騰豪氣雄看劒。浩汗詞源倒决渠。遼海兵塵千丈髮。匡山烟月十年書。談玄豈識回天妙。滿屋添籌問幾餘。塞上胡塵孰掃除。詞人漂泊草爲廬。詩傳樂府才無敵。夢入鄕山畫不如。野雪飛時頻引興。海雲深處幾停車。相期對酌流霞地。滿樹梅花月影踈。</text>
<title>歸思</title>,<text>回首旌旗滿玉京。愁如江樹暝烟生。寒宵犬吠遙村火。層郭鍾鳴古國聲。海岸風殘團客夢。梅梢月白動歸情。何時快覩妖氛靜。㶑灧流霞一笑傾。次 卞獻聞說胡雛近帝京。昏昏閶闔戰塵生。三齊道上旌旗色。萬國城頭鼓角聲。匣裡頻看飛景劒。天涯誰識旅人情。酣歌擊筑終何用。坐待金樞落月傾。</text>
<title>陶秀才學瞻來訪求詩寄謝 二首</title>,<text>滄海繞茅茨。凍雲生弊帷。樓看雪霽後。山愛明月時。鷺宿晴沙近。鍾鳴夜漏遅。悄然空佇立。知有羽人期。持節依寒雪。迎賓掃海雲。淸氷出遠壑。玉樹播奇芬。劒拂衝霄氣。心驚滿地氛。何時梅月下。把酒更論文。次 二首○吳大斌凍雪積層茨。孤踪掩四帷。夢回酒醒後。潮落句成時。望闕飛龍遠。歸帆逐鴈遅。悶懷難自遣。對客露襟期。文星輝海畔。彩散一天雲。夜色氷如玉。冬花雪散芬。兎毫呈墨妙。塵掃拂胡氛。何必㘅盃酒。論交更論文。</text>
<title>排愁 三首</title>,<text>寒窓不肯曉。雪霽更悲風。日上滄波外。天低列峀中。邊烽驚夜照。海客泣途窮。多少憂時事。書灰萬慮空。海岸浮寒氣。孤城一磬聲。氷從今夜結。月得雪山明。有劒憑忠義。無人問死生。懷書愁未達。何日永休兵。未及趍寧鎭。栖栖島嶼間。滄溟風卷浪。遼塞雪埋山。漢使槎初泊。徐生藥不還。篷窓看露布。更拭淚痕斑。</text>
<title>謝吳晴川雪上來訪 二首</title>,<text>客自東方來。窮冬波浪急。寄身一葉舟。大義明天日。忽聞虜塵驚。時向燕雲哭。鶴鳴蓬山夜。疾風吹積雪。持節不成眠。天寒霽月白。結草處海濱。久無車馬喧。騷仙意有餘。藜杖問寒暄。風高蓬島遙。雪花飄乾坤。詩興日夕佳。白鷗波上翻。憂中得眞樂。相對靜忘言。</text>
<title>謝晴川送南果</title>,<text>嚴寒歲將除。欲往誰相待。書傳萬重意。義氣連雲海。瑤篇藻思妙。珍果天香在。知心邁古人。何愁客鬢改。</text>
<title>陶原眉學瞻。卽故中丞陶玄暉之胤也。來求先人哀辭。因叙而詩之。四首</title>,<text>旱魃肆威匝虜塵。憂深荒政却忘身。仁聲滿路瘡痍起。膏雨隨車草木春。百歲香烟祠宇煥。一時心跡日星新。上天亦識蒼生意。鵬翼摶雲屬後人。右荒政齊魯曾修禮樂隆。張皇武略爲平戎。數千樓艦帆風駛。三萬貔貅劒氣雄。鎭海英威波靜外。憂時長嘯月明中。男兒一死終無愧。靑史芳名有至公。右兵略箕封壤接岱宗東。屛翰天朝內服同。一片颿開千里外。百年誠控五雲中。金樽綺席皇恩洽。玉節銀章禮數隆。信義相傾肝膽照。至今遐邇頌仁風。右柔遠華髮千莖爲國愁。紆籌不覺與仇謀。經霜蘭草奇芬歇。蔽日浮雲變態幽。赤氣射穹悲百世。荒山埋血碧千秋。河淸始洗泥珠色。一奠萊公翠竹抽。右雪寃</text>
<title>滄海成氷</title>,<text>歲暮峭寒積雪飄。停槎怊悵一身遙。地連朔野開銀界。天接滄溟作玉橋。不待神鞭驅白石。何勞藜杖擲靑霄。三韓方丈今成陸。帶月歸時聽鳳簫。</text>
<title>憶玉堂同僚</title>,<text>北風卷海水聲悲。鏡裏愁容戀主時。淸磬出雲催永夜。勁氷連岸杳歸期。星搖雪色天寒緊。燈照塵編客寢遅。遙向玉堂君子道。那知憂國不成詩。</text>
<title>思歸</title>,<text>初聞羽檄淚沾衣。更遇高人識密機。玉節要從天北去。星槎肯向海東歸。陰風卷地雲容黑。寒色浮空日色微。斗膽輪囷圖贊義。誰知匣裡劒光飛。</text>
<title>謁文廟塑像</title>,<text>地盡三齊廟殿成。森嚴遺像似天生。八方仁化乾坤大。千古容光日月明。岱岳崔嵬留聖跡。栢林蕭瑟聽韶聲。燒香若待觀周處。誰識乘槎別有情。</text>
<title>次晴川黃佃韻</title>,<text>山繞中華衰草黃。陰陰殺氣使人傷。狂獠已梗千年化。絶塞頻驚六月霜。日出咸池光皎皎。雲凝瀚海影蒼蒼。何時拂劒行天討。風俗將歸禮義鄕。</text>
<title>次劉義齋詩</title>,<text>天寒雲影慘。日氣晝常陰。遠客彈雄劒。高堂弄寶琴。聞鷄誰起舞。憂國獨悲吟。回首滄溟濶。還如聖澤深。</text>
<title>[次]</title>,<text>出汛廟島。送詔使之朝鮮。楊國棟出汛樓船駐碧沙。匣旗搖颺舞龍蛇。三山遍疊秦皇石。萬里新乘漢使槎。絶壁窺光明作鏡。中流擊楫浪成花。滄桑變易憑誰問。剩有檣烏送暮鴉。次胡馬嘶風勢卷沙。將軍膽氣拂靑蛇。威聲遠震雲中塞。雄略曾宣海上槎。奏捷奇功扶國社。解衣新寵煥天花。碧霄何日儀祥鳳。汀樹寥寥集暮鴉。</text>
<title>[次]</title>,<text>琴心寫恨 総兵抹陵張可大觀甫玉軫金徽動晩風。孤鸞寡鶴倍忡忡。紗窓寫怨聲如泣。繡閣知音耳自聡。羅袂凄凉星斗下。宮商宛轉月明中。文君深解相如意。細聽求鳳恨未終。次彈罷瑤琴月下風。愁鸞臨鏡獨忡忡。石松踈韻纔驚座。山水高吟更發聡。香夢暗回雲影外。春心潛透彩花中。金莖難解文園渴。樂府休傳怨未終。</text>
<title>[次]</title>,<text>謁武侯草廬 南陽城南八里○蓬萊進士張瑤寂寥千載後。誰問卧龍居。事業三分在。圖書八卦餘。井荒靑綆斷。樓敞白雲踈。日暮吟梁甫。中心何所如。次經綸靜鍊處。寂寞有遺居。節義千年在。功名八陣餘。干戈天不助。禮樂計非踈。灑落君臣意。昭昭白日如。</text>
<title>[次]</title>,<text>遣妾 楊國棟死生有結髮。何以侍兒爲。聖主憂勤日。非臣安樂時。紅顔不忍去。粉臉淚雙垂。一笑頻揮手。寧爲兒女悲。次許國雄心在。何思雲雨爲。聖人憂世日。元帥枕戈時。開閤花香遠。回頭玉筋垂。瑤琴絃已斷。看劒却忘悲。</text>
<title>立春夜</title>,<text>行止何時定。空留大海邊。此身猶遠客。今夜卽新年。夢逐千山月。愁連萬里天。詩成聊遣悶。吟罷更悽然。敬次 卞獻收帆滄海上。置屋淺沙邊。久客逢今日。新春入舊年。兵屯關輔地。梅艶夕陽天。歎息東郊興。臨風益杳然。</text>
<title>[次]</title>,<text>立春 吳大斌浪迹蓬壺九度春。又逢春事盛東堙。陽回氷雪寒將盡。和入勾萌意已新。漫道烽烟消遠塞。且隨士女踏芳塵。故園萬樹梅花發。何日歸余舊主人。次梅花香動一年春。氷釋將開海路堙。瑞日轉空雲影暖。輕風拂柳岸容新。客愁剩得千莖髮。關路將淸萬馬塵。令節已回詩興少。誰知憂國屬閑人。敬次 卞獻東溟久客又逢春。沙堰烟沈小井堙。漸見鵝黃官柳變。還驚雪白野梅新。絲鷄彩燕爭迎歲。寶馬香車不動塵。身在他鄕歸未得。今朝倍覺老隨人。</text>
<title>[次謝來顧惠笋]</title>,<text>人日 吳大斌小窓春到草初生。滿榻詩書戶半扃。逆旅又逢人是日。改年猶是客爲星。旁觀世事堪長嘯。欲避風塵豈獨醒。遙憶故園新景色。紅紅白白闘靑靑。次謝來顧惠笋人日晴明和氣生。騷仙來過草廬扃。盤中玉版挑詩興。勝裡金花映德星。報國愁懷腸欲裂。滿堂春色酒初醒。懸知別後相思處。月照滄溟遠樹靑。敬次 卞獻吾聞儒雅濟南生。白首窮經掩廢扃。地近東溟陽母日。天垂南極老人星。金花勝裡爭牽興。栢葉尊前獨自醒。客在殊方心益苦。春風空遣柳條靑。</text>
<title>記夢</title>,<text>夢返西湖上。雪消春水生。琴書微月夜。詩酒故人情。竹院連苔色。松窓灑雨聲。居然驚起坐。千里片雲橫。敬次 卞獻經年滄海上。白髮一時生。卧雪空愁夢。尋詩若有情。田原通霽色。鷗鷺變春聲。雖說前期易。沙邊舟尙橫。</text>
<title>又用前韻哀貢臣尹公安國之渰</title>,<text>同入朝天路。滄波異死生。回帆無問處。揮淚有餘情。積雪飢寒色。陰風殺伐聲。蒼穹竟冥漠。遙望黑雲橫。</text>
<title>朝有鵲啼南庭査上。向門若報喜。夜又有燈火。</title>,<text>愁思兵塵日。艱危逆旅中。有心看寶劒。無路効微忠。靈鵲査査報。燈花點點紅。明朝應占喜。露布播天東。</text>
<title>月夜</title>,<text>三變堯蓂萬斛愁。白鷗相伴宿沙洲。南風拂地草心動。東海粘天春氣浮。雪盡遙山時向暖。月明良夜客登州。燕雲北望無消息。大義難傳血淚流。</text>
<title>[次]</title>,<text>讀楊浦遺稿題詞 張可度 字季茂。金陵人。朝鮮弘文館學士默守崔君。以使事過登州。予往訪之。則麟鳳之姿。珪璋之品。翩翩大雅君子也。復出其尊人楊浦遺稿一編見眎。旣卒業。諸體咸備。高致遄飛。所謂淸新俊逸。庾開府，鮑參軍一流人物。惜其享年不永。賫志未竟。不獨玄菟樂浪興悲悼。抑亦我中國所企慕也。爰賦俚言。以志慨私。少年彩筆賦凌雲。瓊樹瑤枝秀比君。秋浦蒹葭携鶴伴。春江桃李帶琴分。當時共羡瑚璉器。此日傳看錦繡文。勝有絲綸詒令嗣。香名到處使人聞。次豪氣翩翩拂彩雲。少年聲價孰如君。一春蓬島鸞驂駐。千里滄溟鷁路分。珍重騷壇淸妙句。揄揚屬國寂寥文。河傾血淚難忘處。天上徽音幾日聞。</text>
<title>[次]</title>,<text>奉贈朝鮮大讀學默守先生 張可度蓬萊閣下繫仙舟。奉使經過汗漫遊。一統圖書歌帝德。千秋詞賦羡君優。相逢喜接嵯峨色。覽勝若觀箕子疇。不是藎忠能許國。此中安得見徽猷。次愁倚東來萬里舟。風塵邂逅羽仙遊。淸標洒落靑雲逼。彩筆飛騰白璧優。滄海春晴懸兎魄。沙洲氷釋露龜疇。懸知別後屠龍日。出入金閨振大猷。</text>
<title>[次宋戶部次孫少宰韻 八首]</title>,<text>次孫少宰春懷 八首○宋獻百二河山漸廓淸。戎機三載隔承明。屯雲列校看朝氣。日暮城笳隱堞聲。絶塞久忘吟陌柳。上林又早聽啼鸎。春光偏媚長安客。碧甕靑絲踏雨晴。封㺄猶自匿蜂窩。悞然從前戰士多。十部霜旌黎穴虎。幾行露布洒丸螺。親勞上相臨郊壘。幷起謀臣自軸薖。春草正肥長白嶺。千羣雲錦飮遼河。烏丸徙牧斷悲笳。未滅匈奴敢問家。戎輅建旄驚迅翰。樓船下瀨似浮槎。然疑屢捷傳平島。犄角先聲籍覺華。廟論可禁仍築舍。傷心前事聽啼鴉。天末黔川次第平。黃龍入望黯心驚。七年利鈍眞堪鑿。一茹甘辛自可旌。海外羈縻典屬國。河南更築受降城。暮天同抆憂時淚。不獨陳言自賈生。千里堯封一焰紅。問誰丸塞問誰通。金繒若可堅盟虜。衮鉞何煩借上公。杜宇啼聲傷異域。催耕鳴急布和風。飽騰屈指秋來事。欝欝安能不欲東。安危獨軫老臣心。孤劒相隨萬騎侵。黃石白猿慙秘授。高山流水自知音。未窮二酉難▣鯉。却食三仙欲化蟫。骨相由來生已劣。十圍腰帶可能禁。匡時妙論自盈廷。念切淪胥忍獨醒。池上夔龍交舃赤。山中猿鶴接雲靑。共看宵旰勞明主。誰答昇平傲客星。猶憶神王臨御日。皁囊終莫溷宸聽。居庸迤壯亘遼東。天險名城匝地雄。逋冦漸看游釜內。王師直欲擊囊中。弄丸表餌意空盡。如織征輸漫守攻。首鼠害成眞不細。漢庭雜議在羣公。甲子首正。參高陽孫少師軍時。奉和春懷作也。瞥爾七年往矣。虜賊未滅。時事交更。偶拈出爲錄似崔使君博粲。詩之工拙可勿論也。崇禎庚午正月上元前一日。書于東牟之唯月軒中。次宋戶部次孫少宰韻 八首千載黃河一日淸。聖人臨宇啓休明。龍樓已會風雲慶。鴈塞初消劒戟聲。帷宗臣儀彩鳳。禁林天樂雜嬌鶯。壽杯却倒南山影。蒼翠玲瓏惠雨晴。廊廟江湖報國心。時危偏覺鬂霜侵。東山更副蒼生望。北地爭傳白雪音。衮鉞已歸陞殿虎。晴窓誰剔蠧書墰。覊臣未報平戎策。撫劒東歸恨不禁。甘泉烽火尙殷紅。雷震皇威萬里通。閫外專征推岳老。關中指示仗蕭公。燕雲暮色千山雪。塞月寒聲一笛風。豺虎磨牙應再動。龍泉早拂玉關東。令望宏猷冠帝庭。靜中明鑑喚心醒。才優轉餉殫誠赤。績最調兵賁汗淸。渤海聲援騰劒氣。析津光彩煥文星。山東鍵閉威名重。恢復全遼側耳聽。兵氣漫漫朔雪平。旄頭揚焰壯心驚。朝聞毒矢衷堅甲。夕見師壇換彩旌。萬馬悲嘶懷舊主。三軍長嘯倚孤城。輪囷斗膽分明照。雲卷滄溟日月生。覊蹤凍蟄土成窩。大雅高軒禮數多。健筆飛騰酬白璧。奇詞光焰炫紅螺。海邦經畫輕劉晏。江左聲名壓謝薖。歸去故園瞻望處。福星迢遆隔銀河。關山一夕聽胡笳。許國何人更戀家。塞上風雲催畫角。天涯波浪泛星槎。愁添白髮侵霜色。劒拂靑虹暎月華。縹緲神京終不達。回看烟樹送歸鴉。天下征輸遼海東。兇鋒西犯鐵關雄。飛雷火閃驚塵裡。降甲山齊積雪中。散盡千金行間諜。潛揮萬戟更環攻。捷書夜報龍顔解。鱗閣勳名屬相公。</text>
<title>蓬閣有主僧玉光。以扇作詩贈之。因次。</title>,<text>東望三韓靑瑣班。登臨蓬閣解愁顔。日車流轉雲邊轂。海市微茫畫裡山。長嘯一聲威北狄。驚波千里蹴南蠻。雄心飛動無人會。盡日參禪石榻間。</text>
<title>[次贈別吳晴川]</title>,<text>贈別吳晴川 卞獻海上頻傾盖。沙邊共岸巾。詩淸知和寡。酒綠見情親。白鷺飛如雪。紅梅已放春。却憐從此別。千里獨歸人。次贈別吳晴川愁懷誰問訊。風雪浩然巾。地隔言雖異。心同道已親。分襟明月夕。回首落花春。圭璧盈行槖。應驚海外人。</text>
<title>[次]</title>,<text>送鮮崔學士君還國 宋獻念爾名藩使。凌寒涉海濤。此來忠所事。言返詢稱勞。玉帛千年贄。圖書奕業豪。行看虜氛凈。天路任遊遨。次望臨喬岳重。筆涌雪山濤。華髮憂時色。丹心爲國勞。江湖徵逸跡。廊廟待人豪。忠孝傳家業。天昌邁叔敖。</text>
<title>[次]</title>,<text>送崔學士歸國 東海孝廉劉性成朝鮮一國士。去自海雲中。回棹冲殘雪。歸帆順大風。龍眠波尙綠。魚看浪初紅。好寄賢王語。中天廣帲幪。次擲地金聲動。傳心寂寞中。筆鋒龍起陸。文采鳳翻風。閑送歸雲白。晴看浴日紅。蒼生係望處。大廈有帲幪。</text>
<title>[次]</title>,<text>贈大中秘默守翁崔學士還國 張聯台箕胤勤王會。蘭㙜颿瀚濤。皇華忠涉遠。四目帝知勞。雲已披文雅。霜猶吐劒豪。陽侯澄去浪。畫鷁縱翔翺。次國柱森蓬島。詞源蕩錦濤。皇猷須子潤。王事任吾勞。海舶凌風迅。梅窓咏月豪。東藩瞻望處。雲路大鵬翺。</text>
<title>[次]</title>,<text>奉贈崔學士先生歸國 蓬萊李元善○乙卯解元春風千里蕩仙舟。雲樹連天鏡裡浮。恭捧簡書完使節。遄歸藩國布皇猷。聞君有學多探討。悵我無因一唱酬。率爾抽毫聊代面。望洋不盡思悠悠。次元禮難同月下舟。靑雲縹緲望中浮。淸風入袖揚和氣。文藻驚人煥國猷。千里愁懷春樹攪。百年芳信驛梅酬。何時彩鳳臨東土。矯首遙瞻海路悠。</text>
<title>[次]</title>,<text>送默守崔學士歸國 吳大斌海嶠蒼茫天一方。行人心與水雲長。鵝黃柳拂靑萍色。鴨綠波明赤舃光。風護仙槎浮碧漢。星將主命復巖廊。何年再理樓船至。千里相思慰望洋。次歲暮揚帆自震方。漂依蓬島凍雲長。鬂毛愁色晨霜結。腰劒雄鋩雪月光。獨處高瞻天北極。何由供奉殿西廊。平戎慶布勤王日。和氣春風返大洋。</text>
<title>[次]</title>,<text>贈別崔學士 二首○吳大斌伊人凌海去。望望水雲東。遠島迷殘雪。輕帆試快風。旌旗翻鴨綠。烽燧息狼紅。命復賢王後。緘書付一鴻。賢哉東國使。理棹復之東。胷次浮雲外。風光彩筆中。望窮千頃碧。歸咏百花紅。怊悵縈情處。懷人月夜同。次詩筒傳信義。一別隔西東。望斷靑山外。心飛碧海中。浪花衝岸白。落照漏雲紅。獨卧篷窓下。時聞月下鴻。相逢還作別。勝地卽齊東。日上珠門外。春晴石鏡中。愁隨汀草細。路入海雲紅。落月梅窓下。音容夢裡同。</text>
