<title>詠史 十一歲作</title>,<text>楚王好賓客。宮中置香醴。如何隆準公。溲冠太無禮。</text>
<title>送文遠歸紫霞洞</title>,<text>蟬噪秋風滿洛城。故園雲物待君行。遙知兄弟聯床地。麥食無魚意更平。</text>
<title>李上舍 命集 輓</title>,<text>緫角相逢托契初。五陵齋裏接華裾。烟花野逕春停屐。燈火山窓夜講書。聚散十年懷未已。存亡一日意何如。荒城歲暮天飛雪。淚盡西門哭柳車。其二西門僦寓幾經時。藥井無靈病轉奇。蓮榜留成浮世夢。綵衣持作遠行資。爺孃痛哭空相送。兒女嬉游並不知。隣笛斜陽從古感。屋梁殘月秪今疑。</text>
<title>李丈 嵩鎭 見過。共賦山水障子。乙巳</title>,<text>深有蘋蒲淺有蒹。滿江風舶上漁塩。依依獨樹誰看奕。遠遠歸樵不帶鎌。烟雨乍寒應落鴈。水雲微白欲浮蟾。詩情最是橋邊客。眼屬秋山手撚髯。</text>
<title>李季和 梅臣 士受將赴義城。時聘君宰義城。 夜會淸風亭。抽次王臨川韻。丙午</title>,<text>歌舞桐華寺。當時尙太平。林泉如昨夢。花鳥幾春聲。往事雲猶白。離懷酒更淸。君家黃色馬。已慣嶠南行。</text>
<title>疊前韻。復申別意。</title>,<text>積水龍湫險。浮雲鳥嶺平。玆游有壯色。諸子况詩聲。彩服春天麗。匡床夜雨淸。東城花尙早。花發待西行。</text>
<title>德哉，宗之夜宿雲水菴。賦詩滿軸。就次一首。</title>,<text>歇馬長亭復短亭。春山也自爲君靑。烟生古寺初聞磬。雨暎禪房有誦經。遠水泠泠魚出。深松漠漠鸛巢庭。芒鞋篛笠渾乘興。燈上前樓已酒甁。</text>
<title>與德哉，宗之以踈慵堂分韻。余得慵字。</title>,<text>遅日深齋百事慵。便衫開戶髮髼鬆。前宵過雨知多少。柳有新絲草有茸。</text>
<title>次德哉踈字</title>,<text>世俗恒苦迫。吾意一何徐。獨酌茆簷下。春酒正華踈。深巷馬連嘶。有客入吾廬。相看語言少。寄懷在琴書。弊居亦軒曠。平眺攬長裾。微陰接佳樹。緝緝見隣閭。聯牋屢題詩。愧此辱華譽。夜闌更幽勝。新月照淸渠。</text>
<title>次宗之堂字</title>,<text>吾自踈慵卧此堂。圖書不整一匡床。春林獨去看花嫰。午簟頻來曬藥香。谷籟裵佪流水近。城陰搖曳過雲長。閑中便覺機心在。詩壘爭高又酒塲。</text>
<title>文遠至德哉草堂。有賦寄來。對使酬謝。</title>,<text>濕日散餘照。微雲生遠陰。詩篇來衮衮。書冊坐深深。老樹如無意。春風已見侵。幽居初養靜。啼鳥自前林。</text>
<title>次文遠韻</title>,<text>春陰翳復開。鳥雀喧林下。齋居適淸暇。燕坐誦風雅。柴門楊柳長。李子繫其馬。不復整簪帶。粲然就相迓。松風自西園。且去聽灑灑。微雲散餘景。皓月生初夜。請君賦歌詩。警我忘機者。</text>
<title>又次文遠韻</title>,<text>鳴鳩拍拍下田間。春日遅遅意自閑。芳草無人求仲徑。長松是我敬亭山。天機漸熟吟詩懶。碁格差高落子慳。墻角小花初有月。呼兒具取酒錢還。</text>
<title>次德哉步月韻</title>,<text>夜色澹已來。起行視天月。神淸忘外境。擬我虛白室。叢霞攬爲㡓。芳草蹋不襪。綠酒漫成浪。泠風殊未歇。頹然枕汝股。熟睡到明發。</text>
<title>春來病益蘇。將遊國西之華山。詩以志之。</title>,<text>風雨春行氣。乾坤笑滿容。先生如野鶴。太華有雲松。宿釀猶餘漉。遊糧不已舂。蹇驢聊試步。來日上西峯。</text>
<title>同德哉登西亭。次蘇州春遊南亭韻。</title>,<text>山亭晩復明。雜花紛相擁。離離杜鵑靜。裊裊辛夷動。雨過葉初細。露濕枝猶重。靑松立其側。愧爾承華寵。</text>
<title>次韻寄題芝山翁郊居</title>,<text>滄浪踈雨過泠然。水上相逢鷗鷺眠。意氣迢遙忘玉塞。功名蕭瑟醉藍田。扶藜足捷明沙路。養樹心長白髮年。萬戶侯封他自得。移家判不負山川。其二西關南島送流年。却賣驊騮理釣船。橫槊賦詩今已矣。解衣沽酒便陶然。蕪菁漠漠連畦雨。桑柘離離接屋烟。籬外木綿初播種。自騎耕犢度前川。</text>
<title>次韻。寄題李將作 徵臣 靜聽閣。閣卽靜觀舊宅東㙜。而公爲之新築。</title>,<text>深松拍拍鳥飛廻。苦竹行踈幽徑開。蕭散如公眞得所。靜觀夫子昔爲㙜。天空遠籟收琴譜。日轉脩陰上酒杯。曲檻平床便醉卧。簷前時有落花來。其二落托猶紗帽。棲遲且草亭。雲檐延遠白。烟嶂抗孤靑。竹瘦泠風入。松高霽月停。山雷君子以。燕坐誦羲經。</text>
<title>近數日。日聞諸公來飮于靜聽閣。病卧無賴。殊有延羡。季和適以詩來。次韻却寄。</title>,<text>隔屋聞喧笑。西亭雨色深。諸公方酒席。病我獨書林。睡罷猶欹枕。詩來爲散襟。風流容懶拙。身健可相尋。</text>
<title>李丈 礪臣 以余養痾不出。有詩譏嘲。殊不知此中亦自有一種樂趣。玆復略道之。</title>,<text>柴門客去不收碁。山雨泠泠睡未知。一陣松風來警我。乘凉起讀劒南詩。</text>
<title>步前韻寄興</title>,<text>山花山鳥靜相知。癡卧看天意自怡。欲取雲牋三萬幅。淋漓寫我滿腔詩。</text>
<title>李丈贈余一句語。曰半年吟病半年詩。余於二者。參而論之。則盖嘗病多於詩。然吟病之暇。詩亦不能廢。眞所謂一言而盡之矣。輒用其語。演成四韻。兼書近日數事。補其闕遺云。</title>,<text>半年吟病半年詩。詩用天機病用醫。晩枕堆書侵黑睡。初燈留客徹明碁。眞元日賴茶湯力。生意晴看草木姿。一種閑情休復問。楡溪處士已相知。</text>
<title>更賦芝山翁郊居</title>,<text>平沙一里到滄洲。倚杖柴門見白鷗。投筆以來猶傑句。乘槎之後又閑舟。垂楊衮衮悲生肘。秀麥亭亭喜過頭。策馬驅車塵滿道。世間無限覓封侯。</text>
<title>再題靜聽閣</title>,<text>僕承諸詞丈韻。已賦靜聽閣矣。久疾處寂。無所自聊。輒就前詩。步韻言志。仙鶴西飛不復廻。九松花老雜花開。圖書太極瞻虗壁。琴瑟遺音撫古㙜。世事茫茫空倚杖。春風衮衮且行杯。東岡舊業重蕪沒。惟有門生叩策來。詩社蕭條歲屢廻。洛東桃李幾番開。笙歌不上淸風閣。蔓草多生企老㙜。三世主文餘翰墨。百年傳業復樽杯。吾家日涉猶松石。早晩亭成待子來。右有懷先輩東社盛事。東臯登望日千廻。茅盖松簷略已開。躑躅林中緣仄徑。薔薇花外到層㙜。琴書自適常圍席。冠帶皆慵秪把杯。不道君家如許僻。恠禽還過後園來。茆屋連墻日往廻。短扉無板不須開。幽篁細細中通路。嘉樹陰陰下覆㙜。浮世容身如釣艇。老年得意有深杯。流雲過鳥遙添興。詩未分題思已來。深樹幽禽啼百廻。海棠先有一花開。裴徊雨氣雲垂野。點染苔光石疊㙜。守拙安貧聊擁褐。稱賢樂聖但含杯。呼兒鞴却靑驢去。須喚村南李子來。右述園林經濟之勝。賓主觴詠之樂。晴鳩啼歇雨鳩廻。中谷雲陰翳復開。病讀太玄如妙境。靜知虗白是靈㙜。棋聲竹所收餘局。酒興花時負此杯。聞說池荷猶未長。留渠不發待儂來。右自述病裏閑適。</text>
<title>雨夜得韻</title>,<text>山郭蒼茫接遠天。濕雲如水雨如烟。叢深細竹初聞滴。枝重幽花尙對懸。孤燭皎分行酒影。半簾凉入擁書眠。朝來霽色眞堪賞。墻下高槐正菀然。</text>
<title>雨中。德哉，文遠聯翩而至。岑寂之境。笑語已瀾漫矣。喜拈弇州韻。同賦。</title>,<text>棗葉新生槐葉舒。日長方是愛閑居。朝眠欲淺聞林鳥。晩飯初甘食葦魚。山雨與人來竹逕。海棠爲我發茅廬。披衣側幘休相恠。事在踈頑始自如。</text>
<title>次韻德哉蘭有華 幷序</title>,<text>德哉新至屋。有草生於庭。墻頹土壅。與荒蔓相長。而就之揚揚有異馥。然人之過者。固視之以蕭艾。雖余兄弟。亦不知其爲蘭也。及秋而秀。今春始有花。猗猗其空谷之餘姿。而德哉乃有之矣。於是德哉爲記以美之。又以詩來。聊次其韻。以自附於薺麥之遺意云爾。入室朋儔在。聞香已此庭。花因雨露白。葉自雪霜靑。古曲幽琴正。新衣雜珮馨。時人終不識。宜爾太玄經。</text>
<title>戱次德哉薔薇韻</title>,<text>醉卧薔薇下。春風復此枝。翩翩何處燕。掠我咏花詩。德哉先占薔薇詩下句曰。盈盈晨有露。盥手待君詩。要余聯韻。余應之云重疊圓花瓣。扶踈細棘枝。德哉以爲聯韻而盥手讀之諂也。幷取爲一作。因又督和甚急。故下句云。其二睡起聞微馥。幽花濕滿枝。不煩他盥露。吾自讀吾詩。</text>
<title>次德哉賦丁香</title>,<text>黃鸝百轉春日長。卧撥衣冠花繞床。不有少華詩警懶。病夫忘却賦丁香。</text>
<title>聞德哉，文遠將至。喜賦卽事。</title>,<text>淸簟踈簾霽景廻。滿林花蝶與裴徊。應知吾弟携棋伴。已有紋枰奴戴來。</text>
<title>題畫扇</title>,<text>草屋長林江水廻。孤舟不繫晩裴徊。釣竿嫋嫋簑衣濕。漁子出門山雨來。</text>
<title>李士常 恒輔 旣沒之六年。見其所畫墨梅障子於淸風亭上。感懷賦詩。書之其旁。</title>,<text>羅浮春色雪離離。曾見書樓試墨時。睡雀不飛花不落。故人消息秪今悲。</text>
<title>贈執義申公 思遠 輓</title>,<text>忠景昔封事。南荒受棘圍。誠臣諸老在。孝子似公稀。烈火餘喬木。滄溟獨彩衣。平生六十慕。將死以歸依。其二絶域三年養。懷中橘柚靑。海深波漠漠。天遠雨冥冥。涕淚通神井。精誠拜老星。艱難那復道。秋草廢思亭。其三一島更三世。人間怨漢挐。風濤心轉折。烟瘴病交加。末運無靈藥。遺衣有練麻。千秋哀贈事。忠孝在公家。</text>
<title>江西尹使君 得莘 別 丁未</title>,<text>牢落功名意。棲棲至晩齡。割鷄聊下邑。舞鶴有高亭。江西有舞鶴亭。 芳草離情遠。春山坐歗靑。西關多傲吏。詩到永州聽。金公相履時宰永柔。</text>
<title>榮掃先壠。敬次王考榮墓時韻。略叙悲感之懷。時余初登第。</title>,<text>尙憶阿孃養我時。撫顚惟恐長成遲。騃癡自謂尋常樂。險釁空懷宿昔悲。先壠卄年將祀地。新恩三度掃墳辭。于今兄弟俱來此。未識重泉倘有知。</text>
<title>大殿端午帖子 居魁賜弓</title>,<text>遲遲淸漏報深宮。午講羣臣正侍中。聖主當陽逢令節。吾民解慍有薰風。香絲積縷岡陵祝。玉井分冰雨露通。欲識夏畦人苦熱。微凉應在殿西東。其二一部江心鏡。微臣獻未遲。法天仁以覆。如日正無移。御酒菖華薦。民風角黍知。宮中傳故事。艾虎上簪枝。其三亢旱憂深立夏前。前宵明旨下承宣。俄看雨色霏霏遍。多少農謳秀麥邊。其四願以瑤堦樹。平分蔀屋陰。從今民不病。扇暍自宸心。</text>
<title>李監司 潗 輓</title>,<text>文殊送葬艮翁時。公宿谿堂作許悲。孤燭徹明憂國語。短牋垂老入山詩。流年志與經綸歇。衰世官爲諫議遲。公入爲大司諫。未拜而卒。 歸路棠陰猶未改。不堪薤露又新辭。其二當時廊廟待公來。韋布其人黼黻才。天馬出羣驚顧眄。海鵬圖遠欝裴徊。君臣永隔淮陽病。父老深知峴首哀。怊悵禁中留宿趼。秪今沾涕望銀㙜。</text>
<title>金正言 壽錫 輓</title>,<text>落月滿寒野。雙車薤露歌。悠悠辭故里。惻惻出交河。亦有遺兒在。其如慈母何。生前家國念。留付季方多。其二龍榜收功晩。螢囊勸學勤。寒㫌通訓字。衰草淑人墳。床瑟悲無御。書香瞹有聞。窮泉孝子淚。左右奉玄纁。金公內外俱歿。同日啓靷故云云。</text>
<title>謫朗州。舍弟送至沙川。臨別書其扇面。</title>,<text>丁未九月一日甲寅。以史局不進。因揔裁官李光佐啓。有拿推之命。當日二更。與申注書汝成 晩 就理。乙卯納供辭。供辭云臣於實錄郞廳之任。因仍癏曠。已數月矣。間因母病危重。未忍離側。身恙旋劇。無望供仕。而區區私義。亦有所不可冒進者。盖肅廟實錄前後作輟。八年于玆矣。及夫校正纔訖。汗靑有期。而又因朝廷處分。工役隨以停罷。則臣雖欲竭力於書史之役。已不可得矣。乃者聖上幸復有憂於此。特差堂上與郞廳。使之仍前監董。而居揔裁之任者。又是負罪肅廟。貽累先朝之人。則其何可強顔隨行。黽勉爲堂郞體貌也哉。雖然史局之役。旣不可緩。誠以完事爲重。而區區迷執。有不可論。則亦宜不計顚沛。𨃃蹶供役。以少畢臣子之義。而素患痰癖之症。入秋轉谻。居常冗頓。自分癃廢。朝家警飭非一。而旣無強疾供仕之望。又無呈狀變通之路。情窮勢蹙。靡所容措。分義掃地。譴何是俟。上下嚴旨。特命削黜。丙辰晝講時因筵臣啓。有極邊遠竄之命。丁巳以靈巖郡配所啓下。己未自東門外纍次發程。李僉知壽益，童子禮重從。浮榮終是辱之媒。仕欲悅親憂更來。歸侍庭闈須健飯。極知相望勝瓊雷。</text>
<title>過淸淮</title>,<text>蕭瑟高秋候。孤征直海涯。明時逢聖宋。謫路過淸淮。落落君臣契。悠悠父母懷。平生忠與孝。慚愧素心乖。</text>
<title>渡錦江</title>,<text>汀洲白蘋杜若秋。九月九日錦江舟。孤臣秪管南征路。不敢登臨拱北樓。</text>
<title>又賦</title>,<text>落木西風晩更哀。公州城外望鄕㙜。江長鴻鴈裴徊去。天遠雞龍聳躍來。濁酒不堪佳節飮。黃花猶似故園開。行裝欲就漁夫問。一曲滄浪濯足回。</text>
<title>參禮途中</title>,<text>余九歲時。從王父自綾城還京師。王父抱余轎中。指路傍松林曰可賦詩乎。余對曰靑山一字松。至今依俙憶得。是參禮途中矣。撫景沾涕。賦此以志之。斑衣兩角髮茸茸。憶上雕軒作婉容。二十四年還此路。靑山一字秪寒松。</text>
<title>秣馬泉源村。轉踰蘆嶺。自嶺以下。山路靡漫。窮日而抵長城府底。</title>,<text>寒日亭亭夕。山陂馬影長。孤村聊一宿。千里是何鄕。地薄田夫懶。年荒店媼強。迂儒猶過分。行路有餘糧。</text>
<title>謫廬書懷 行十二日。始到配所。</title>,<text>去國一千里。思親十二時。白雲殊未已。滄海欲何之。楚橘空懷涕。湘蘭不稱纍。流離猶漫興。從此朗中詩。</text>
<title>夜讀漫書</title>,<text>茅屋蕭踈雪滿籬。紙牕篝火讀陶詩。向來榮辱都忘了。還是山房負笈時。</text>
<title>余南來。杜門謝客。與二童子讀書。盖未甞一賦詩矣。今夕偶命童子呼韻。聊以自適。</title>,<text>薄宦蒙恩譴。江南采菊花。言狂難適世。身健易辭家。海氣蒸雲重。城陰缺月斜。奇才慚賈傅。吾不怨長沙。</text>
<title>和德哉九日見懷</title>,<text>寒山重疊野茫茫。試上高㙜望漢陽。直北雲生天外樹。不知何處是吾鄕。</text>
<title>次李季和見寄韻</title>,<text>南淮霜落旅鴻驚。獨夜相看有月明。饑渴此身隨本分。故人休復問嚴程。</text>
<title>次文谷朗州詩韻。贈主人曺生命朝。</title>,<text>南來喜得主人賢。每日相看輒莞然。豈有詩書化遠俗。強能粥飯度荒年。山圍道岬堪逃世。地接瀛洲欲訪仙。禍福榮枯隨本分。不應搔首問靑天。</text>
<title>有人餉橘</title>,<text>霜落江南橘柚香。野人相贈滿包黃。油然陸子懷中意。未忍天涯獨自甞。</text>
<title>李令 卽壽益 武人也。而亦能呼韻請詩。書短律贈之。</title>,<text>少小金鞍馬。粧樓挾翠娥。戎塲深敎鍊。營幕老笙歌。末路功名薄。窮途意氣多。升沉惟分定。斗酒且無何。</text>
<title>敬和家大人賜詩中三韻</title>,<text>昔我遷南荒。高秋天正寒。父母好言笑。妻孥強爲顔。心知別後意。咽結中自勤。豈無忘憂酒。欲御淚滴樽。吾王實明聖。遠謫匪所嘆。獨念忠孝乖。怵惕未敢言。微陽曖初復。幽谷回春暾。惟應倚閭情。指日望來轅。其二悄悄思千里。盈盈到半宵。懸天洛陽月。拍地漢挐潮。冰雪南荒少。星辰北極遙。隨身書卷在。未覺此岑寥。其三翠竹扉前橘柚林。楚蘭爲佩菊爲襟。時平嶺海身猶適。天遠鄕關夢自尋。蘓子讀書今日計。賈生流涕少年心。饑餐渴飮隨吾分。更覺君恩到底深。</text>
<title>讀韓子</title>,<text>滄海蓬山對謫居。不知人世近何如。平生讀遍昌黎稿。未作潮州謝罪書。</text>
<title>蒙恩宥放。始出游月出山。</title>,<text>十二月二日甲寅。拜家書。始聞去月二十二日有特放之命。戊午赦關自本道監營來。己未始入月出山。由道岬探羅漢窟。登碧澗亭過仙菴。是日微雪。由竹林中行。至上見性。上下見性菴名。 是游也不賦詩。欲草入山記。把筆書石上曰。月出蘆嶺後最初名山也。山色濃靑。望之如畫屛。中山外山。盖白如金剛。靑如月出。殆化翁所以施其巧也。醉甚不能復書。庚申由東浮屠。上龍巖望海。下憇鹿車村遇雨。高低石路度深松。十里閒尋古寺鍾。天際片雲來漠漠。雨聲先到九龍峯。</text>
<title>次李丈 夏坤 留題韻。贈茅亭主人。</title>,<text>松竹參家計。柴荊養道心。不因離俗遠。那得入山深。浩蕩雲朝暮。淸泠水古今。悠悠耕稼樂。分半與鳩林。</text>
<title>錦城途中</title>,<text>罪大投荒裔。誰知有此行。風高馬北走。雪細鴈南橫。戒路盤飧健。憂時爵祿輕。郊庄猶過分。况敢望春明。時余尙在削黜中。</text>
<title>楚山途中。謁考巖書院。</title>,<text>浩蕩人間事。孤臣未敢知。寒天數掬淚。來拜考巖祠。</text>
<title>敬次家大人賜詩二韻</title>,<text>悽悽漢北別。渺渺天南謫。聖慈尙威譴。衆怒豈寬釋。况慚良史筆。第安奸黨籍。甞聞君子敎。艱難收學力。右叙赴謫時事。其二君親義恩重。獨此未報答。晨昏正離憂。雨露俄解澤。蚩蚩僕婢喜。歸路指京國。行當愼眠食。豈復憚跋涉。右叙放還卽事。</text>
<title>次泉源村書志</title>,<text>一領緇裘酒一鴟。不妨前路雪離離。江南謫限梅花節。漢北歸心檜楫詩。賈誼文章他自累。袁安涕淚彼何悲。深知二者俱閑漫。吾卧吾廬樂聖時。</text>
<title>泰仁途中。登披香亭。余於甲申春。自綾州歸。甞登憇于玆。秪今二十四年之間。人事屢換。而山川風物。宛然猶昨日。感賦長律。以示縣中故老。</title>,<text>垂髫憶上此高樓。蓮葉田田水慢流。二十年前游子樂。一千里外逐臣愁。蒼茫往事雲俱變。蕭瑟歸途雪未休。欲問詩山諸父老。鬚髯能記舊儂不。</text>
<title>自戱</title>,<text>饑食山蔬渴飮醇。詩書畊稼懶因循。狂談麤喝從他笑。宜爾人間不敎民。解謫時。大臣有彼同不敎之民之語故云。</text>
<title>還渡錦江喜吟</title>,<text>蘆嶺以南滄海大。錦江之北白雲多。時平敢作湘潭賦。家近還停屺岵歌。羸馬尙堪衝雪淖。浮鷗胡不避風波。舟危且就長橋穩。行路漫漫載醉過。</text>
<title>又書</title>,<text>浮世升沉一釣舟。布衣忘却舊春秋。江山來往存長計。不用裁書謝白鷗。</text>
<title>曉發</title>,<text>落月山蹊暗。行人相應知。氷陂緣犖确。霧樹度逶迤。拍拍鷄呼競。離離馬影隨。川原澹將白。茅屋遠參差。</text>
<title>路中復書長句</title>,<text>秋風木落發京師。冬至陽生放赦時。聖德如天容罪戾。臣愚無地答恩私。貧營菽水供親老。懶廢詩書敎子癡。布褐蓬廬吾所有。此身况敢帝鄕期。</text>
<title>曉發天安。戱贈李令。</title>,<text>鳴鷄腷膊夜方闌。厨火喧知僕婢餐。努力一行當及早。振威百里亦云難。星河爛爛月初落。氷雪飜飜天正寒。不怕深林有盜賊。將軍狹袖劒橫鞍。</text>
<title>追次芝山翁韻</title>,<text>鳧鴈焉知灧澦難。風濤驅去却飛還。西林獨鶴寒多少。巢在深松雪滿山。</text>
<title>渡漢</title>,<text>蒼茫憶上漢江舟。楓葉蘆花颯已秋。歸路層氷滿舊渡。渚鴻飛盡有沙鷗。</text>
<title>舟中志喜</title>,<text>宿霧漫江曉未開。孤舟宛轉伐氷迴。遲遲旭日明遙浦。已報沙頭舍弟來。</text>
<title>借居吳伯玉鍾巖別墅。獨與梅花一樹相對。會家大人賜詩命和。對使書上。</title>,<text>茅屋寒梅欲覆欄。故人容我借靑山。誰知南海孤臣計。便得西湖處士閒。</text>
<title>余之借鍾巖也。伯玉旣諾而悔之曰。曩吾讀書巖亭。置一古梅。其間吾不欲使吾子先之。余於是徑就而視之。則滿枝菩蕾。已有數瓣敷萼。若過數日。又將八九分開矣。余恐花事晼晩而伯玉遂不來。然是梅也吾旣有焉。則正使伯玉來。不過是灞橋之客。而吾其爲西湖主人矣。主人之愛梅甚。則雖專有而獨賞之可也。客之來不來。又何足論也。然則吾不必待伯玉。而伯玉當自來矣。閤面有簡齋二絶。伯玉書也。戱次其韻。以呈伯玉。語近俳諧。而其意亦欲激之使早來也。不知伯玉以爲如何。</title>,<text>僑居獨與梅花友。風雪閉門花漸多。但說主人吾便是。豈容過客更誰何。其二風霜憔悴湘潭客。氷雪嬋娟姑射仙。一種騷寒渠似我。不敎心事與人傳。</text>
<title>伯玉見酬詩與序。其所自解者。亦足警我。然得無爲梅花笑乎。復次其韻。</title>,<text>林下探芳千樹少。花前觀妙一枝多。東風不獨江南好。月淡香踈奈此何。其二春生小閤參橫夜。雪滿空林火食仙。使有一罇無復事。不煩消息枉相傳。</text>
<title>三疊</title>,<text>了盡人間榮辱事。春婆說夢不須多。歸來也愛梅花淡。歲晩心期兩若何。其二處士騎驢洛陽雪。梅花留與謫來仙。裁書欲報春消息。分付歸奚火急傳。</text>
<title>雲水菴僧雙默，象圓聞余住鍾巖。踏雪來訪。喜贈。</title>,<text>離騷不作楚臣哀。漫興江南酒百杯。歸卧柴門山雪盛。梅花初發二僧來。</text>
<title>雪屋悄悄。卧對梅花。舍弟德哉忽携酒而至。開戶視之。雪已覆柴荊矣。</title>,<text>舍弟柴門語。簑衣雪滿天。麤書詩軸大。細畫酒壺圓。苦澁陳無己。淸羸孟浩然。寒梅復一笑。饒汝並稱仙。</text>
<title>同舍弟。光影亭夕望。復用前韻。</title>,<text>蕭散亭臯望。蒼茫欲暮天。烟生茅屋小。雪落石塘圓。世路無閒處。梅花共默然。荒林但火食。便可作神仙。</text>
<title>次德哉用前韻賦梅花</title>,<text>大雪松筠凍。梅花映遠天。陽生太極靜。春入數星圓。老榦龜寒甚。橫枝鶴矯然。淸眞都絶俗。何用更求仙。</text>
<title>疊欄字</title>,<text>花映深杯雪擁欄。晩來纖月上寒山。江南見汝空愁絶。是處相逢盡意閒。其二羅浮仙子降虛欄。玉珮瓊琚倚雪山。不恠離騷終見漏。楚臣何得似渠閒。</text>
<title>德哉次東坡梅花絶句來。詞有奇致。起而和之。</title>,<text>氷霜骨格養春和。星宿凝神菩蕾多。秪恐東枝如許弱。夜深將奈峭寒何。其二高士便衫雪滿㙜。口噓花氣使花開。諸君就欲論奇格。先數寒楂老碧苔。其三何處春風何處回。南枝開遍北枝開。人間桃李寒多少。紫蝶黃蜂未始來。其四芳情脉脉對瓊罇。縞袂孤明落月昬。畢竟前身巫峽雨。澹爲氷雪與還魂。其五玉臉氷腮調未開。芳心一點暗相催。粧成復恐臙脂落。須報東風緩緩來。其六酒暈微微上雪肌。不妨同醉筭花枝。他年子熟調䀋好。留付人間大手醫。其七玉似溫然雪似輕。翠梢粧點倚孤明。盈盈解珮西津女。情到無言更有情。</text>
<title>閒甚。坐數梅萼。開者一。半開者二。未半開者滿四九數。通計爲三十九顆矣。戱書閤上。</title>,<text>三十九菩蕾。一花先已開。不妨寒勒汝。留待主人來。</text>
<title>夜侍踈慵堂。次歐陽公韻。</title>,<text>孤臣昔南逐。刻日詣縣官。臨流別友生。稚子攀去轅。區區情所念。棄置勿復言。白雲向北飛。可望不可攀。循林抱寒橘。褰袂拾幽蘭。豈復念歸還。奉此晨夕歡。其二歡言父母懷。戒我勿愛官。種桑覆我廬。養鹿駕我轅。隣曲共還往。田父有好言。昆弟欣初集。觴酒澹屢攀。便衣攬麤褐。雅曲操幽蘭。雖無甘旨具。菽水永承歡。</text>
<title>與德哉會伯玉于鍾巖。共次滄溟韻。</title>,<text>寒天歌歗送三餘。踈懶年來罷讀書。蝸角秪堪觀世界。鶴身眞不稱軒車。松聲淅淅風歸谷。梅意娟娟雪覆廬。一曲欄干看皓月。醉披襟袂挹淸虗。</text>
<title>酒闌。出東坡古詞讀之。次其韻賦梅花。</title>,<text>山夜永。烟靜月西斜。不道東風無厚薄。一枝花落一枝花。花下坐君家。花已老。花老莫須嗟。風暖漸聞幽鳥語。雪消旋試小龍茶。留醉看春華。右調望江南</text>
<title>又以忘言齋分韻。得言字。</title>,<text>斗轉參橫將夜半。寒山雪擁柴門。梅花一樹散人村。泠風初度閣。綠酒復盈樽。綠酒盈樽吾已醉。醉來徙倚高軒。曉霞飛盡月流痕。淸眞觀物子。於此亦忘言。右調臨江仙</text>
<title>又以東山月分韻。得東字。</title>,<text>雲散天空。月出其東。上欄干簾影玲瓏。孤光暎澈。一氣冲融。對梅邊雪。石竇泉。松下風。皎皎霜兎。揚彩寰中。夜未央烏鵲飜叢。古來同照。圓缺無窮。憶香山老。謫仙人。東坡翁。右調行香子</text>
<title>又拈三闋。各申餘意。</title>,<text>梅花早。山月好。使賦百篇情未了。花將闌。月向殘。滿樽芳酒。須君長夜歡。松風穆然來入室。北斗崢嶸天宇濶。霜林淸。宿鴉驚。飜飛啞啞。東方生遠明。右調梅花引</text>
<title>又以白雪樓分韻。得雪字。</title>,<text>吳子樓高來把筆。的的寒梅。澹澹初浮月。但使百甁芳酒潑。人間何事爲窮達。立馬柴門朝日出。此去溪橋。一路連殘雪。更欲期君春沼濶。桃花楊柳歌新闋。右調蝶戀花</text>
<title>鍾巖春帖亦用小令</title>,<text>簾簌簌東風入。一夜柳梢靑。前澗雪消多少。已聞流水泠泠。好鳥不停聲。早花開幽草生庭。酒家沽酒來。何晩先向林亭。右調占春芳梅花半落。柳眼微微綠。窓外鳥啼春睡足。日照欄干東角。溪南流水濺濺。溪西芳草綿綿。不識吾家何許。秪應隨處悠然。右調淸平樂</text>
<title>集王右丞詩語。又得一闋。</title>,<text>居士居士。酌酒會臨泉水。平明閭巷掃花開。桃李陰陰柳絮飛。飛絮飛絮。杖策村西日暮。無事無事。經過南隣北里。花繁衮衮壓枝低。拂曙爭先百鳥啼。啼鳥啼鳥。花落家僮不掃。右調調笑令</text>
<title>踈慵堂春帖</title>,<text>詩書琴瑟友朋來。春日遲遲引酒杯。楊柳漸靑花漸白。鵓鳩啼處上南㙜。</text>
<title>兪子章 郁基 擧家入淸風。會飮德哉書巢。次韻叙別。戊申</title>,<text>春風送子賦東游。楊柳離離漢水流。好取釣竿留待我。錦屛山下盡芳洲。</text>
<title>酒闌。賦別韻要和。</title>,<text>蠟燭留君飮。春醪滿缶香。觸蠻從戰伐。鷗鷺與翺翔。短褐浮名遠。扁舟去意長。風塵吾已懶。聊復信行藏。其二水路菱江窟。孤舟上峽遲。田園樂志論。天地感懷詩。計活靑山在。心期白鳥知。送君從此去。浮世不勝悲。</text>
<title>大醉又書</title>,<text>漠漠低飛鷰。冥冥遠擧鴻。春來乘積雨。水上到淸風。野艇妻兒共。山田父老同。終當匹馬去。與爾老湖中。</text>
<title>與士受東入嘉陵。宿芝山谿堂。夜觀尤翁所書朱子石馬詩。就次其韻。略申感舊之意。示李元亮 亮臣。</title>,<text>蕭瑟芝翁宅。春林換舊陰。白雲迷洞口。明月澹池心。猿鶴生成老。蠻蝸戰伐深。谷風吹扣策。山燭照沾襟。酒醴追餘韻。歌詩撫古音。悠悠衰世感。努力護雲岑。</text>
