<title>自嘲 丙午</title>,<text>文章眞富貴。經學大功名。誰信茅茨裏。剩留不世榮。</text>
<title>四憶一歎詩 五首</title>,<text>憶神宗憶昔神宗壬辰歲。島夷大擧侵我國。湖嶺瓦解兩京覆。廟社不守君幸蜀。我王忠誠孚上國。遣使帝庭遂告急。天王赫然送天兵。漢家將軍三十六。持節督戰楊經理。仗鉞先驅李都督。劉家鐵騎山可撼。陳家水軍海欲窄。平壤一戰勢破竹。行長褫魄淸正慴。泗川殘冦歸且窮。義弘頓足秀家哭。妖氛掃盡海不波。一片靑丘宛如昨。首尾壬丁六載間。猛將勁兵來陸續。遂令瘡痍半天下。帝念我國不爲恤。我國告飢船粟哺。我國無兵揀師習。愛如慈母敎嚴父。帝心勤勞恩罔極。東國蒼生億萬人。一毛一髮皆帝德。南山之竹尙可罄。天子之德難盡述。東海之波尙可枯。天子之恩難盡答。回首乾坤未百年。世間萬事多翻覆。建夷崛起抗中國。風塵澒洞驚遼碣。昏朝首鼠是可忍。陰通北虜甘背逆。戊午王師化蟲沙。姜金解甲羞難濯。丙丁之耻尙忍言。事從權宜猶可說。椵島胡爲反助桀。乃以大怨報大德。况今漂漢事尤駭。欲縛恩人媚讐敵。區區名節已掃地。忍心害義天理滅。却想神州盡腥羶。朱衣血祀已殄絶。故國春風寒食節。誰灑園陵一盂麥。神宗大恩寧可忘。立祠庶可報萬一。嗟我兵力單且弱。百世深羞縱難雪。四時香火寓不忘。猶勝魯國存告朔。我欲排雲進此言。九虎狺人守天闕。大官啽啊保腰領。小官碌碌懷姑息。大義墮地民心偸。誰念陵夷國不國。撫事流涕獨慷慨。中夜悲歌心抑塞。憶宣祖憶昔宣祖神武姿。入繼明宗有聖德。昇平百年八路安。擧國民不識兵革。漆齒潛懷射天計。跳梁海島養毒螫。假途乃欲虞公我。送使移咨恣恐喝。我王忠義寧受禍。豈憚危亡負上國。遂令蜂蠆增怨毒。果致移兵先我國。玄蘇詐諼金吾怒。政宗炰烋甲斐躍。千艘蔽海劍耀日。萬砲齊聲天地裂。㺚川背水非韓信。鳥嶺失險眞趙括。賊騎乘勝勢無前。敗書夜報烽火急。大駕蒼黃向關西。九馬不前金鞭折。當初倉卒尙忍言。百官跣足三軍泣。行行堇到浿江西。乞援帝庭帝心惻。盡發六郡良家子。荊楚奇才仍劍客。腥氛掃盡咄嗟間。靑丘依舊山河色。金甌不缺龍馭回。佳氣葱蘢向丹闕。中興雖荷天朝力。我國將相皆俊傑。白沙漢陰兼厓相。舜臣千鎰與權慄。或盡謀猷或宣力。或作干城或帷幄。蒼生濟出洪濤中。赤手爭將扶日轂。皆由我王能任用。盡是我王功與德。若非我王能事大。天子未必如拯溺。若非我王能愛民。祖宗未必降陰隲。孟言微禹吾其魚。孔曰微仲吾被髮。我王功不在禹下。區區管仲何足說。衛國忘亡周命新。恪謹侯度終貽厥。常懷至誠報大德。欲令世世事中國。昏朝不君神人棄。戊午通虜天所絶。丙丁以後事大謬。先王至意竟難述。彜倫墜地節義亡。神宗舊恩無人識。故國春光染腥塵。穆陵烟樹傷心色。憶仁祖憶昔仁祖在冲年。宣廟撫頂識天意。龍潛初九人莫測。上聖之姿蘊德器。昏朝淫戲天棄汝。滿庭姦臣爭獻媚。鄭誓黃泉秦別宮。一國無母倫紀墜。萬姓遑遑思眞主。皇天眷顧在聖躬。二三元勳爲時出。文有延平武完豐。延曙半夜天助順。義兵入城三千同。衛士解甲迎聖君。咄嗟之間已淸宮。太后珠襦坐武帳。聖孫前跪環羣公。昌邑伏罪遜私第。羣奸盡轘都市中。革弊布惠民心悅。去邪任賢治道隆。甲子之亂丁卯胡。去邠蒼黃塵再蒙。丙丁之間天又禍。北軍飛渡誰能禦。邯鄲朝暮晉陽急。孤城援絶大事去。古人雖耻城下盟。權不失正聖所與。太王事夷鄒聖稱。鄭伯逆楚春秋許。淸陰節義耀華夷。崔相忠誠活邦國。時運雖危國有人。宗社垂亡幸再續。光岳沉淪羞莫洗。聖心猶自懷慚德。膝雖犬豕心猶漢。日夜憤泣常激烈。十餘年間薪膽志。金石可貫神可質。大志無緖竟賓天。空令義士暗嗚咽。吁嗟聖主不世出。不幸遭罹邦運末。中間禍患雖屢更。實由天時非失德。亂離雖頻德澤深。王業民心終固結。若使先王在中葉。不下世宗仁與福。付托終能傳聖子。遂令國勢如磐石。良史應書癸亥春。赫赫千古垂鴻徽。小臣作詩歌聖德。若有諛辭天厭之。憶孝宗嗚呼前王不可忘。盛德大業何煌煌。銳意恢復宋孝宗。側身修行周宣王。雄如漢祖敬儒臣。英似唐宗友弟兄。漢唐賢君豈不多。若說家法皆多慙。唐宣雖賢不能事郭后。漢文有道不能容淮南。先王孝悌感神明。虞舜周文丈人行。趙普無計撼秦邸。馮紞不能疎齊王。格天之孝奉長信。貫日之忠思大明。宇宙無光大耻在。腥塵未淨宸心驚。十年臨御雖倐忽。䂓模宏遠人皆說。英雄大計厲士馬。唐虞至治收巖穴。宮中一夕玉衣擧。敬義齋空但明月。大事未半中道崩。空令志士淚縱橫。我願長驅十萬兵。秋風雄鎭九連城。一讀宸章一灑血。矯首問天天冥冥。商舶歎萬里鯨濤深復深。飄颻商舶來何處。自言大明之遺民。袍履簪裾頗擧擧。丹砂奇錦爛且煥。摧槳敗楫依浦溆。再拜叩首乞生還。耽羅太守不肯許。海外孤島誰復知。馳書告朝何太遽。君王聞之念舊恩。欲送燕京心慘沮。豈惜萬金贖汝身。只恐淸人聞此語。尙書作色丞相嗔。區區淸議難容喙。乾坤今日盡犬羊。獨汝正朔猶未改。都人爭睹漢衣冠。灑淚相看不敢語。腥塵滿目吾左袵。擧顔今朝羞見汝。盈庭愛死萬口噤。泰山反輕鴻毛重。呈書乞哀呼不應。萬端悲辭煩且痛。書中且譏秦無人。誰信吾謀適不用。十月天寒薄衣裳。北風砭肌關路長。去矣死葬蠻夷中。天若有情天亦傷。書生妄計何足云。欲進一疏扶彜倫。九門深深閽者怒。泣抱血紙空逡廵。觀者駭笑聞者謗。世道人心難重陳。君不見國武招過在盡言。愼勿慷慨舌頻捫。</text>
<title>漂人恨。效元白三長俚體。</title>,<text>耽羅漂漢稱林寅。其徒復有曾與陳。辭止雅甚簪裾華。自稱士族福建人。棄學結束隨商旅。因風漂泊到我國。船中糧貨半傾蕩。只餘丹砂綾與纈。再拜太守前致辭。泣乞全生返鄕國。太守驚懼不敢許。馳報朝廷語大泄。朝廷只畏淸人知。朝議紛紛久不决。或言小仁亂大謀。或言禍機不可測。君王竟從大臣議。反謂淸議皆迂濶。縛送燕京已歸一。發遣備郞催裝束。行行馳傳急如電。航海帆風不踰月。又恐華人不肯來。誑謂君王邀汝語。驅來累累八十人。來駐都門十里外。欲入王城不許入。爲是朝家羞見汝。華人始覺被欺詐。驚呼墜馬環徒侶。差官催發向關西。求死悲啼不肯去。相公盛氣思妙計。白遣黃詮諭上意。仍具桎梏誘且䝱。景象慘惔堪嗟喟。縵硯兎毫寫呈文。字字悲苦令人淚。文辭雖粗意甚憐。擧朝不聞如充耳。廟堂厭聞永歷號。揮手嚴呵極秘諱。漂人豈識鄭成功。舌官但承丞相旨。都中人士共奔波。欲聽華語爭來似。金吾防禁恐漏泄。排戶踰墻呵不止。華語喃喃說何事。只說鮮人沒天理。胡人疾我固其宜。鮮人陷我忘恩義。早知鮮人甚於胡。悔泊摧檣投此地。早知騈首入虎口。悔不捐身葬魚腹。自古蹈海非一人。周有魯連殷徒狄。吾儕雖愧古義士。那忍偸生向胡貊。只恨神宗無遠慮。浪費兵力存東國。東國遺民反殺我。畢竟寧無天道極。悲來却憶鄕井事。父母妻子腸應絶。雙親垂白失夜筇。寡妻啼紅如晝燭。遙想家家作虛壠。攬衣招魂葬已畢。異地風霜多苦顔。萬里驅馳困顚踣。語音不通恣欺謾。滿腔悲懷向誰說。千般哀訴不忍聽。說罷齋聲皆痛哭。平明迫䝱上馬去。哭向胡天心已死。燕雲漠漠北風寒。回首江南千萬里。海波嗚咽流無極。悠悠此恨無時已。</text>
<title>少年行 壬子</title>,<text>象把雙刀半櫜鞬。織紫廣鞶全橫臀。班錦咆哮繡雙翡。窄袖裁從新㨾衣。單縷網巾壓眉頭。逆掃胡鬢偏膽氣。洛陽誰家月滿樓。曲坊四娘馳名字。瓊壺水拍夜半籤。赤鳳喚驚癡鸞睡。雨跡風蹤杳何許。香閨脉脉愁無語。惆悵明朝東苑東。鞋底泥泥惜殘紅。狂心忽忽詎肯省。綠衫又拂梨花風。</text>
<title>自訟</title>,<text>少時經營太迂濶。老年襟懷日局促。恐被知道者所笑。有時點檢面發赤。從來文字不濟事。自愧詩書空枉讀。却羡南村飼牛漢。不識一丁心地直。凄凄兀兀謾自訟。咄咄嘐嘐竟何益。淸風浩蕩月照襟。一醉陶然尋本色。</text>
<title>山石</title>,<text>屋後有山山有石。小者如籠大者屋。突然削立萬仞壁。壁上雲氣參差碧。南岳老人住其下。山石欲壓壓不得。嗚呼山石壓不得。放歌一聲山石裂。</text>
<title>洛寺酒席長句。示弼卿，養一。丙辰</title>,<text>臨瀛水城兩使君。俱是玉皇香案吏。我亦曾忝玉堂仙。今日棄置東海涘。海外相逢齊拍手。人間榮辱一啓齒。吾儕於世已抹摋。連壤爲州亦幸耳。五馬何幸來相過。高堂置酒酒如河。大堤千古繁華地。醉守風流亦堪誇。十隊紅粧照錦筵。小妓宜舞宜淸歌。海濤天風雜管弦。齊唱銅鞮月欲斜。桑田碧海須臾事。今宵不樂奈明何。</text>
<title>襄陽樂。寄崔上舍兄弟。丁巳</title>,<text>春廻大堤上。處處遊人多。峴山雪欲消。漢水生微波。長松列堤暎碧海。海棠撲路蒸紅霞。風淳俗美政粗成。歲登民和無怨嗟。郡城家家春酒熟。訟庭無人芳草綠。使君於此興不淺。太平樓上頻開宴。醉來倒着白接罹。風流不减山翁時。有時乘興向洛伽。臺有義相亭梨花。高張伎樂衆賓喧。爛醉直到參橫斜。春風楊柳愛娘舞。明月樓臺采雲歌。雪浪翻天浦溆白。晨曦盪海波濤赤。醉中擧杯酹永郞。雲外依依聞笙鶴。奇觀壯遊冠平生。自擬逍遙保此樂。誰知玉署天書下。行色怱怱踰雪岳。浮榮誤人乃如此。回首仙區淚欲落。舊遊森森在眼中。風塵擾擾襟懷惡。憐君兄弟江海客。不意菰蒲産珠璞。勝地傭販皆氷玉。况君文采眞聯壁。當時幾度醉君家。此夜相思夢飛越。聊將一曲襄陽樂。遠寄千里梨花月。</text>
<title>送固城倅趙嶷望世煥 戊午</title>,<text>病夫齒欲豁。使君髩如雪。人間風雨各飽更。眼底榮枯看已熟。昔日臺閣今烟瘴。依舊使君心似鐵。傍人莫說固城惡。猶勝拘囚玉堂客。半世籧篨坐虛名。邇來惡况眞難說。空對玄都爛熳春。獨抱靑綾耐寂寞。年年送人作太守。窮鬼揶揄歎命薄。嶺海豈能死人哉。使君此行差快活。樓船伏波與周旋。肥肉大酒度歲月。蜒饌裹搖脾可扶。橘釀辛甘瘴可却。梅雨香消海氣腥。春風吹捲黃茅惡。極目東南海茫茫。碧波亭畔雲濤黑。醉後悲吟吊忠烈。丈夫雄心曾激越。何如病臥終南下。閉戶噤唫日局縮。使君側耳聽我語。欣然如往淸凉域。臨行更擧一大白。握手相看俱墨墨。</text>
<title>松岳篇</title>,<text>鵠嶺岧嶢鎭蘇岬。異氣蜿蜒欝磅礴。天磨飛舞聖居屹。蒼翠北來天一握。崒然拔地萬仞强。劍戟森森龍虎攫。富媼釀精幾萬劫。地靈鍾英事如昨。玉龍山人留秘鉗。羅監三昧眼前卓。穄田咄嗟移卜築。靑木葱蒨蔽岝崿。呼砂壓勝古有法。從此神山呼松岳。龍孫崛起提三尺。手摑三韓血華赤。法宮突兀山之下。燁燁祥光仍舊宅。寶鏡文現操雞鴨。坐見奇功成統合。衣冠文物五百載。起居飮食與山接。幈幪終作大國望。斧斤不似牛山濯。地利猶應較方城。形勝何遽讓嵩洛。忽忽繁華付一瞥。葱葱佳氣輸三角。神崧夜呼寶籙訖。王業千秋已索莫。蕭蕭暮雨西京路。故國興亡山一髮。紫洞烟沉聖骨寒。滿月臺空但明月。叢巒無語斂愁碧。時有遊人踏淸樾。</text>
<title>咏栢 甲午</title>,<text>海松蟠特地。黛色勢參天。褧叔。 棄置曾何處。移來問幾年。周卿。 透簾光滴滴。落地影姸姸。元鎭。 白甲溜新雨。蒼髯罩暮烟。知卿。 葉香經鳳宿。根古學龍纏。褧叔。 新甫空山裏。孔明古廟前。元鎭。 論姿松作匹。較直爾爲先。周卿。 褒節懷宣聖。成仙緬偓佺。褧叔。 寧同百卉落。獨貫四時全。元鎭。 幾入騷人咏。長爲君子憐。周卿。 聊將晩歲計。永與苦心堅。褧叔。 材大宜樑棟。當扶廣廈顚。知卿。</text>
<title>臨死愧孫登 庚子○監初魁二下</title>,<text>駴奇禍於玉山。碧將薶於萇血。色夏侯之一律。靳袁琴之數闋。夭其天於中道。宜有愧於孫子。昧善喩而不察。悔莫追於臨死。袖淸風於竹林。始作俑於任達。草絶交於山公。付吏部於一吷。羗染指於石髓。慕癯仙於山澤。仍著論於養生。將以延夫天年。思托契於達人。共象外之冥觀。若有人兮蘇之山。玩羲文而自娛。謇葆光而塞兌。一長嘯於寰區。聊褰裳而往從。庶目擊於無言。奈夫人之昧道。少有才而未聞。設觀火之妙喩。鏡不得乎其死。爽道眞而背馳。所不省於夫子。㑋三秋而歸來。竟窅然而自失。果膏火之取熬。博蜚禍於一夕。舌一捫於灌柳。慘東市之就戮。逮素琴之纔張。始追憶乎前說。永有愧於高人。騂發面而有惕。嗒然筭乎衷曲。所可悔者非一。絀道而役才。違至人之守白。刺口而論世。非保身之明哲。薄湯武而非世。觸司馬之喜怒。其爲愧也曷極。終不免乎自取。喟龍鳳之禀姿。鬻九戎以珍髢。遭叔季之不淑。何文肆而質䪥。宜逸人之垂戒。砭多才而寡識。卒巨禍之相會。縱自愧而何及。甘自放於律外。羞莫湔於千億。台綴賦而吊古。續哀辭於隣笛。</text>
