<title>題畫簇</title>,<text>遠岫日沈霧。寒江風起波。小溪穿柳去。隔岸有人家。</text>
<title>詠懷百韻。寄洪上舍勉叔。兼柬許名隱，趙雪竹，田西亭三先生。</title>,<text>方丈仙山外。炎洲漲海邊。投荒年閱七。去國路逾千。憔悴何須問。酸辛亦已偏。關心惟藥物。遣興賴詩篇。憶昔遊同隊。行年校竝肩。聲華欽藹鬱。交契許周旋。避地江都日。逢君甲午年。亂離皆各散。來往獨相連。佛隱聯裙會。傳燈對榻眠。最居鄕曲久。頻覺序時遷。釋褐吾差早。移家子亦先。蓬萊開漢闕。花柳媚秦川。通籍慙餐素。閉門羨草玄。切偲存舊義。窮達付皇天。下邑麾曾借。喬山涕遽漣。震宮初大啓。离日赫重懸。補衮供臣職。含香侍御筵。從班參玉筍。歸院送金蓮。孰謂池中物。咸稱地上仙。恩榮齊海嶽。報效蔑塵涓。大運寧長泰。常經不可權。椐來元有數。殃及豈無緣。名籍丹書在。身嬰黑索攣。小臣知罪戾。大德荷生全。萬死蒙恩譴。三危作配編。北垂辭闕淚。南泛上瀧船。桂嶺人難度。藍關馬不前。頭因瞻日擧。目爲望雲穿。遠地隣夷徼。孤城枕水堧。伽倻稱古國。霸業但荒阡。往事人誰識。遺蹤世莫傳。山川殊物候。趨向異方圓。地㬉冬無雪。潮來瘴似煙。鄕風多重女。土俗半推蜒。行獵丸飛火。迎神竹掛錢。群麏奔俟俟。烝蠋動蜎蜎。遷木聞嚶鳥。墜江歎跕鳶。異花初見橘。芳草或名荃。地勢連三島。天池接八埏。藻留碧鯖卵。潮送老鰌涎。路控要衝最。營開節制專。連檣迷舸艦。列格豎旌旃。幕府崇超伍。材官盡備員。剸犀恒撫劍。爭鵠每鳴弦。物力時需給。威容士氣燀。軍伶敲柘鼓。女樂舞花鈿。蠻貨來塡市。傖人集滿廛。曬籬皆網罟。登案摠腥膻。自我身來此。居然歲不延。沈憂能喪性。愛醉未逃禪。結舌防飛語。甘心受巧諞。傳家虧祖烈。杜戶省吾愆。卜築移深谷。經營架數椽。魍魑欣作伴。麋鹿喜同廛。履險顏常厚。鋤荒手盡腁。牽藤纏草屋。刳竹引山泉。樂道安窮阨。冥樓就靜便。阿舒眞懶惰。女嬃慢嬋娟。寄傲師元亮。修眞學老籛。殘生隨白鳥。舊物獨靑氈。世道今如許。吾兄亦已焉。忘身甘椐敗。被髮任蹁躚。座右同傷鵩。廬邊共拜鵑。艱危情益切。磨涅志彌堅。許趙光時彥。文章軼古賢。身名俱僇辱。放逐更連翩。入海誰先我。囚山又有田。吾曹人孰惜。同病自相憐。酒壘成分隔。詩筒幸接聯。離懷憑健筆。佳句滿華牋。白雪停巴唱。淸商奏越絃。江山歸造化。月露入陶甄。賈勇差張膽。爭雄厭老拳。深知才不敵。但覺氣成孱。卽事傷淪落。明時悵棄捐。投簪思芰製。曳履憶花塼。寂寞愁難遣。沈綿病莫痊。鳥窺須怕網。魚得莫忘筌。弊帚空珍惜。虛舟任泝沿。棲棲長失路。戰戰若臨淵。仰見妖星出。傍看殺氣纏。大邦羞已極。驕虜惡難悛。天討行何滯。王師去不還。徵調分擾擾。讒慝作睊睊。邦本嗟先撥。民征願少蠲。旱乾年況歉。老弱壑將塡。肉食謀全誤。臣愚死欲遄。了翁懷活國。司馬手旋乾。此輩何由得。今時則易然。雖云遭棄斥。不敢忘憂悁。翼或雙飛抻。刀猶一用鉛。放蹄知騕褭。側腦慕鷹鸇。宵旰精誠勵。忠良力可宣。臥龍承漢顧。匪虎出周畋。感激孤唫發。煩紆百慮牽。靑雲垂世路。紫氣射星躔。鬢換千莖白。腸回九曲煎。故林空漠漠。春草幾芊芊。玉貌能存趙。金臺庶築燕。前途今尙遠。努力且加鞭。佛隱。里名。傳燈。寺名。俱在江華。此土男賤女貴。人多未娶。俗尙海採。而沈水者少。端午正朝。俗豎竹迎神。人爭迎祭。靑魚每歲來施卵而去。竝從所見。篇中及之。</text>
<title>送權汝章南歸</title>,<text>昔我與夫子。落落同襟期。樽酒十年間。交遊得肩隨。風塵一分手。五載二見之。近我來京師。訪君江之湄。邂逅接淸談。通宵不知疲。日昨惠然至。告以當遠離。借問向何許。揮鞭赴南陲。男兒四方志。焉得辭驅馳。猛虎下深山。蛟龍出枯池。人生何太苦。見少多別時。難堪丈夫淚。豈效兒女悲。亦有還山約。方期採紫芝。</text>
<title>原州望雉嶽山</title>,<text>屹屹雉嶽山。根盤幾百里。雄爲一州鎭。四時豐享祀。茲土昔被兵。守臣能擧義。提軍保殘城。力盡繼以死。赫赫宇宙間。芳名無窮已。我來後廿載。感歎一灑淚。冤氣作長虹。時時射天紫。</text>
<title>月溪途中</title>,<text>去年去時路。今年來時路。來來去去間。歲月空復度。險阻已備嘗。幽遐亦飫覩。征鞍髀肉消。顏面留塵垢。男兒志遠遊。客行良亦苦。歷歷龍門山。依依廣陵樹。明朝漢陽城。回首隔雲霧。</text>
<title>過趙參奉邨居。次卷上金龍溪韻。參奉名成立。龍溪名止男。皆家君同年。</title>,<text>芳草媚新晴。高峯餘落日。幽花映古槎。好鳥役塞樾。客裏斷過逢。草草度時節。今來訪幽居。意愜趣自逸。臨觴忽起愁。白雲在天末。</text>
<title>趙丈次韻追寄。復作一首。</title>,<text>憶昨訪幽居。環堵露風日。開樽藉碧草。移席蔭古樾。蕭然出塵姿。矯矯脫俗節。款曲永淸朝。令人羨閒逸。從今數往來。金蘭託契末。</text>
<title>道岬寺紀事</title>,<text>藍輿越重岡。始到招提宮。丹靑二層殿。楹桷猶穹窿。伊昔守眉師。住錫茲山中。光陵時御極。禮貌頗尊崇。煌煌十行書。墨花今尙濃。稱師又曰獻。辭語何其恭。袈裟與座褥。刺繡成芙蓉。麈尾象毛赤。念珠琥珀紅。皆言出內賜。足見天恩隆。居僧十襲藏。得免干戈叢。客來輒誇示。永願傳無窮。奉翫再三歎。作詩記始終。</text>
<title>遊天冠山</title>,<text>我性喜山水。平生已成癖。自從來南方。到處理輕屐。巖巖天冠山。盤屈在海域。夙昔久聞名。今朝欣一覿。初到山底寺。群巒森在目。屹屹大藏峯。亭亭立墻石。爭奇競秀拔。雲霄去咫尺。翌日始躋攀。絶頂散遐矚。仰觀天宇大。俯見邦域窄。縹緲漢挐山。波間一點碧。三洲杳何許。滄海望不極。塵胸一洗盪。習習風生腋。幽尋意雖愜。王事見羈束。不可久淹留。歸路復杖策。林間夕鳥喧。落日半天赤。</text>
<title>送春有感</title>,<text>自我來蠻鄕。去秋今沮春。蠻鄕春到後。花柳爭姸新。感此時物芳。稍自怡心神。今朝春又去。使我愁紛繽。豈無一杯酒。餞別送芳辰。生涯更孤絶。獨酌誰與親。起來拓窓戶。綠樹禽語頻。門前碧海水。潮上波粼粼。此地是何地。吾身本何人。生逢聖明世。爲此放逐臣。惻惻更惻惻。百年長苦辛。棄捐勿復道。窮達任蒼旻。</text>
<title>送兒</title>,<text>去歲謫南荒。含悽辭北堂。今年瘴海上。送爾歸故鄕。望雲結遐想。撫景惜頹光。時秋方淫霖。道路阻且長。勿以我爲念。努力戒行裝。人生百年間。倏忽如電忙。骨肉長離散。沈憂迫中腸。</text>
<title>夢裏。作詩感懷。</title>,<text>霜露下庭草。綠芳漸消歇。歲華能幾何。流年眞一瞥。手把黃金花。泛此忘憂物。萬事臥陶然。碧空杳超忽。</text>
<title>崔季昇 晛 新卜崑山。寄示所作。因次其韻。晛居善山。</title>,<text>我沮崑山。陟彼巉岏。雪霜貿貿。松柏桓桓。維山有澗。煩囂之浣。林深谷䆳。人跡自罕。維山有淵。利及民田。我亦有秋。豈憂旱天。芳歲晏兮。歸期爛兮。瞻望樂土。我心亂兮。右崑山四章章四句崑山之陽。竹長之鄕。莫往莫來。我心憂傷。崑山之北。之子所卜。我田我廬。爰得我直。玉澗在東。龍淵在西。哿矣幽人。此焉冥棲。安得如鳥生羽翰兮。安得如雲任舒卷兮。何日從君肥爾遯兮。右崑山之陽四章。三章章四句。一章章六句。</text>
<title>古意。次金丈韻。</title>,<text>我懷如玉人。宛在水中涘。欲往從之遊。驚濤阻彼此。昔爲玉階花。今如古井水。榮華有凋歇。波瀾誓不起。惻惻生別離。相思今幾祀。幽愁令人老。素心曷有已。努力保堅貞。團圓或可企。</text>
<title>又次贈別韻</title>,<text>少無適俗性。自分老圭蓽。撫景惜寸陰。此意何卒卒。翛然樂天眞。十笏維摩室。羲皇去已遠。仲尼亦云歿。漫抱杞人憂。未試兪扁術。世故紛如毛。畢竟定于一。夫子學古道。制行神明質。分袂忽南北。屋樑惟落月。</text>
<title>慈母城 在慈山主倅安夢尹。乃余姻親。</title>,<text>爲訪慈母城。早發順安縣。氷凝澁馬蹄。霧捲露山面。洞壑何崎嶔。雉堞遞隱見。亭午上上頭。僕夫皆疲倦。伊昔蒙兵來。崔公此拒戰。壯節賊亦欽。芳名人所羨。譙樓據絶頂。俯臨千里遍。群山羅似孫。大江縈如線。兒啼華嶽雷。馬匹吳門練。主人勸我餐。蔬蕨充餚饌。不見二十年。相逢情不淺。日暮下山來。風磴已飄霰。</text>
<title>路逢</title>,<text>路逢遼陽民。往往皆剃髮。婦女與童孩。倉卒脚不襪。扶携向椵島。行澁路阻闊。狂胡讎上國。一境皆淪沒。間關避賊鋒。父子或相失。東來雖得所。奈此生事缺。飢寒迫於身。衣食時掠奪。居人見侵擾。怨詈肆口發。昔我在壬辰。擧國皆播越。再造蒙皇恩。男女保家室。念此天朝人。神宗休養物。流離困頓狀。見之心惻怛。我國兵號精。訓鍊賊可滅。送爾還舊居。吾王能事畢。</text>
<title>聞椵島消息</title>,<text>聞道椵島中。招集遼陽民。其數屢十萬。屋宇相接隣。舟楫通海商。物貨如山陳。毛將昔來此。義氣能感人。東人皆愛慕。欲使其志伸。自從名位高。誠意漸不純。後房擁愛妾。府藏堆金銀。入保不出陸。畏死却逡巡。所爲旣如此。何日淸胡塵。以是我天朝。終困於女眞。</text>
<title>龍灣感懷 幷序</title>,<text>歲壬辰。大駕駐此州。余自嶺北。奉父母避亂來時。外王父以亞銓扈駕。中表叔姪兄弟無不畢集。士大夫子弟若吳弼甫汝安。亦隨厥親在此。每一聚會。無異洛下。仲舅金化公。富詩才。佳辰月夕。輒率吾輩。上統軍亭。呼韻題詩。共爲唱和。積成卷軸。傳播人口。明年。大駕東還。余輩出來。因各糊口于諸處。洎還京洛。雖有相會。皆不若在龍灣之朝夕不離也。歲辛丑。先哭吾舅。厥後。余遠投南荒。連哭二吳。此身獨存。生入脩門。又參關西幕府。追思往事。已踰三紀。骨肉親知。盡皆淪歿。感傷之餘。仍賦一詩以志之。昔我在童丱。初逢壬辰亂。賊鋒遍八路。擧國一塗炭。吾家百餘口。嶺北皆奔竄。偸生林藪間。徒步詎敢憚。潼關骨高山。秦川血沒腕。關西稍乾淨。大駕駐江畔。間關踰嶺來。頭上光陰換。是歲仲冬交。始抵龍灣館。親知愍生還。耆舊迭嗟惋。流離困杜甫。喪亂哀王粲。揮涕覩威儀。拭目瞻霄漢。査駱二天將。師徒整鵝鸛。人心恃以安。闔境堵皆按。此州大都會。佳麗一道冠。比屋咽笙歌。塡城聳樓觀。家庭陪表叔。兩吳亦良伴。日夕與遨遊。僑居同里閈。杯觴共酬酢。文字相論難。望遠意悽迷。登高興爛熳。懷土發長歌。憂時增短歎。有唱必有酬。筆下珠璣璨。百篇忽在吟。卷軸盈几案。聲名衆共欽。才調人皆讚。箕城收復後。東還仍雨散。落落如晨星。音塵阻呼喚。後來立朝端。各被浮名絆。會少別時多。離懷憑札翰。吾先哭吾舅。幽明一朝判。中間禦魑魅。世禍誰能逭。二友繼淪沒。榮枯指一彈。俯仰人間世。百年未強半。三人各九原。遺作常愛玩。漢運初中興。逐臣還舊貫。狂胡讎大邦。七年猶伐叛。老去參戎幕。時來爲國幹。巡遊閱邊戍。復到鴨江岸。山川摠依然。蹤跡已漶漫。緬思舊行樂。三紀屈指算。萬事水空流。千秋石不爛。感此爲題詩。心懷轉凄斷。</text>
<title>述懷</title>,<text>去家日已遠。歸路日以長。行行復行行。落此天一方。但見山川異。人民非古鄕。沿江列障戍。殘堞遙相望。跋涉已千里。疲倦何可量。呀口九折坂。側足千仞岡。我馬踡跼顧。僕夫顚且僵。平生叱馭志。暮年還激昂。萬國盡征戍。此賊何時亡。窮冬氣凜烈。北風穿衣裳。雪積胡山白。雲迷沙塞黃。遠遊不辭苦。沈憂腸內傷。</text>
<title>四郡</title>,<text>四郡何迢迢。伊昔爲吾土。西阻鴨綠水。原田頗膴膴。國家全盛時。設邑置官府。沿江列烽燧。要處築戍塢。寇盜時竊發。居人受其苦。退守上土鎭。沃壤棄與虜。雖免朝夕警。奈此縮國步。年年西海坪。出師伐禾稌。師徒多失律。赤子飼豺虎。國運初中興。吾王自神武。他日定封疆。幅圓當如故。</text>
<title>梨嶺</title>,<text>歸路向泥城。侵曉發上土。居人指梨嶺。雪塞不可度。我行厭枉道。踏踐使通路。人言果不誣。登陟極艱苦。凌兢馬跼蹄。錯愕人回首。躋攀到嶺頭。歇安日向暮。晴光遠近山。暝色高低樹。寄語後來人。險阻誠難取。</text>
<title>阻雨不得上天王峯。出山有感。書示成則生。啓善</title>,<text>雲開遠見天王峯。蒼翠突兀撑靑穹。東南諸鎭此爲雄。靈異備載傳記中。理屐一擲尋山筇。絶境再宿招提宮。準擬登臨挾天風。一盪磊落之襟胸。山靈似嫌俗士蹤。故敎銀索垂長空。小澗潏汨漲水洪。大川驚濤奔汹汹。仙山咫尺路不通。欲飛無羽騎無龍。使我悵望心忡忡。後遊雖欲與君同。世故如毛那可從。今朝榮馬歸悤悤。回首雲山重復重。</text>
<title>贈別鄭評事 泗 年丈</title>,<text>東國賢才鄭評事。落落襟期天下士。赤驥長含萬里姿。朱鳳高垂千仞翅。自從童丱趨下風。三世通家隣里中。螢窓攻苦夕曾共。雁塔題名年幸同。數載名韁俱見束。世味嘗來齒生酢。皓首我今作南翁。靑杉公更爲北客。白沙淸川萬歲橋。咸關鐵嶺磨雲遙。悠悠行役淹日月。絶域風霜昏又朝。狂胡朶頤窺塞垣。佐幙宜須英俊人。策應要務振我勢。談笑佇看淸胡塵。漕臺御史竟何如。臥病湖西秋復除。瞻望行塵亦未得。作詩遠寄長相憶。</text>
<title>栗川。觀打魚歌。</title>,<text>大野茫茫平似掌。中有一川何奔放。淺處露脚深沒腰。下流咫尺通海潮。春雨成霖連日夜。渚涯纔能辨牛馬。黃魚之性喜新水。逆浪泝流不知止。磨頷戛顋向沙礫。處處灘瀨各聚族。今朝水落排魚網。余亦携籃隨衆往。編竹爲笱塞其流。絶溪一擁相喧咻。左者右者無所逃。波底喁喁潛復跳。數罟轉促魚轉急。漁子紛紛挺叉入。泥沙閃閃翻金尺。素鬐紅眼仍丹臆。垂頭者困立倔強。貫之以柳藏諸筐。饔人雙手揮霜刀。碪上爭堆白雪高。登盤擧筯美可食。且斟濁醪傾數爵。漢江鱨鯉誰化數。金陵葦魚無足取。他鄕且耽片時樂。酩酊歸來日西夕。殘年飽喫亦君恩。土之居者同忻忻。</text>
<title>別舍弟德右 公第六弟弼世</title>,<text>世間萬事如浮雲。聚散離合何紛紛。連枝能得幾日會。落葉還作今朝分。離歌一曲丈夫淚。握手相看無限意。秦城歸路太渺茫。楚澤餘生久憔悴。吾家本在長安陌。內外蟬聯稱盛族。弟妹同氣十一人。朝夕團圓侍親側。汝兄早沐恩波新。頗能出入要路津。良辰佳節率汝輩。北堂獻酌秋復春。往歲之禍雖無妄。福過災生語不爽。死者已矣生者流。一身淪落窮炎瘴。三年慣從山鬼遊。踽踽孤蹤無與儔。跫音空谷尙且喜。況有骨肉來相求。自汝之到我心夷。同被連床共怡怡。誦詩讀書有課程。行處相從坐處隨。光陰忽忽如箭急。屈指蓂葉今八變。西山頹日最可愛。大行飛雲長在戀。不可久留將奈何。千里結束驅征車。四月南風麥吐芒。火雲滋膩淫雨多。去去好保千金軀。鶴髮邇來應倚閭。歸庭若問此間事。莫道汝兄不好居。如吾無狀固難容。事親不孝君不忠。尙延餘喘戴天日。沒齒甘心作南翁。臨分贈語須記憶。愼勿浪遊勤做學。此後相見未易期。步月看雲豈終極。</text>
<title>次趙怡叔題人扇面韻</title>,<text>北風破極雲飛揚。芝蘭委質天雨霜。此時何處來吾君。銜杯接話頗云云。浮世功名何足喜。丈夫由來貴知己。誓掃胡塵淸漠南。一箭可定寧待三。幕府如今得公重。壯士相看色皆動。萬里前程當自此。麟閣雲臺亦可至。君不見休翁與世長相失。十年齊門空抱瑟。</text>
<title>悼燒松 舍後有長松。爲野火所焚。感而賦之。</title>,<text>我家西麓有古松。大可連抱高撑空。幾年托根幸得所。亭亭獨秀群木中。栽培雖荷造化力。把拱早免斤斧厄。永夜時聞爽籟聲。淸秋長帶常靑色。嚴霜一夕凋百草。蕭艾芝蘭共枯槁。陳根萎葉漫相依。豈有餘蔭能爾保。獵人順時燒林藪。猛勢橫來定難救。他山玉石尙俱焚。況此乾燥連宿莽。誰將斗水四面濡。但見烈風爲先驅。燎原狂焰一抹紅。鹿走雉飛驚且呼。須臾殃及更無奈。高者難攀宜下過。病柯脂流遽及然。炎上撲滅誰能那。煙氛四合天爲晦。白日慘憺收光彩。蒼顏頃刻變萎黃。幸全長身宛然在。春來雖降雨露恩。豈有生意其間存。腐朽將與棄材同。植物何知人汝冤。廈屋將營求大木。工師何人是匠石。若要此時充梁棟。猶堪一作明堂用。</text>
<title>次玄洲韻</title>,<text>萬歲皇城控遼薊。文皇實爲天下計。繞以重關置大帥。列戟森森熊虎士。二百年來刁斗間。陰山一夕腥塵起。鯨鯢未築京觀封。廟堂無策能平戎。三河以東盡陷沒。關外生靈多乞降。佳兵自古雖不祥。籌策豈可常乖張。我國元來同內服。討賊欲使皇威揚。一劍西出度千山。朔雲邊雪埋江關。莫將心髮論長短。回首乾坤入嵬眼。方寸許國輕一死。江湖舊盟寒鷗鷺。得梟端合資善博。掃蕩窮廬只傳檄。誰知百萬胡兒命。都在制勝人謀定。激以忠義可與俱。四方猛士何時無。立馬胡山第一峯。肯作猿鶴與沙蟲。但念此生若漚浮。紫石觀漁同蚍蜉。與君相逢便相別。吟鞭歷盡天西陬。嗚呼何時抽身置君側。長河極目層氷閣。</text>
<title>哀遼陽張御史 張公名國昌。以按察御史。監軍遼陽。及城陷。人勸之去。公不從。獨整衣冠。坐其本衙。奴酋見而義之。縱使歸朝。公不肯。酋問所欲。公願一死。奴酋許之。又問所欲。公只取銅印懸肘。酋命以弓弦縊之。厚葬立標。余巡塞上。聞公事甚實。作詩哀之。</title>,<text>奴夷崛起呑諸部。兵力數倍滿萬後。炎炎之初不早撲。其勢孔熾難下手。遼鎭左作京師臂。城高地險嚴守備。外列諸寨內重兵。佐以文武董大吏。桓桓熊公仗鉞來。威名直壓胡虜摧。一朝將易是何意。誰其代者非其材。豸冠御史七尺身。堂堂儀表眞天人。受命天子監此軍。城亡與亡存與存。瀋陽前蔽賊直擣。黑山之野旌旗倒。大勢蒼黃去八九。雖有金湯亦難保。鐵馬奔騰風雨至。陣雲坱莽腥塵起。八萬精騎背城戰。頃刻塡咽新湖水。城門不閉無奈何。抱頭鼠竄何其多。張公立志已先定。死則死爾逃能那。衣冠楚楚坐本衙。賊酋見之心歎嘉。縱使歸朝亦不肯。但願一死非求他。罵賊如狗不絶口。汝不殺吾吾必取。旣從其言問所欲。只取銅印懸諸肘。英魂忽散一條弦。正氣直射蒼蒼天。男兒方寸甚分明。不獨芳名流萬年。皇朝培養三百載。忠臣義士不乏代。至若吾公可無死。視之如歸爲一慨。成仁取義孔孟書。簡篇孰不常卷舒。知之者鮮行尤難。何異馬牛而襟裾。英靈爲厲不殺賊。上則星辰下山嶽。嗚呼九原如可作。與公同歸也不惡。虜犯潘陽。摠兵姜瑜率川兵五千。拒之于黑山。戰甚力。虜幾退。適分兵三陣。虜乘之。遂敗沒。虜迫遼城。山西名將柴國柱，李淮信等。率入寨精騎八萬。背城逆戰。虜以鐵騎蹴之。皆擁入新湖水以死云。故篇中及之。</text>
<title>易水送荊軻</title>,<text>大冠如箕劍柱頤。金臺落日悲風起。紛紛車馬慰沮征。祖帳初開易之水。臨當欲去未去時。一曲離歌慘壯士。若人義氣隘九有。早歲埋迹屠狗裏。心雄萬夫世莫知。紫燕綠駬空千里。重繭百舍赴燕雲。酒後狂歌驚一市。而我何幸得相逢。瀝血隳肝良有以。深仇宿怨在強秦。狺然朶頤方虎視。專諸曺沫竟何有。昔日先生今日是。千金一諾重於山。須憑神勇雪羞恥。築宮師事能幾日。回首離憂從此始。樊將軍首督亢圖。持贈吾君作芳餌。淸秋行色大河邊。擊筑聲高咽人耳。左右賓客白衣冠。先發商音後變徵。西關何許杳茫茫。匣裏秋蓮氣騰紫。五步之間濺頸血。渭水咸陽那可恃。男兒生世貴義烈。寸心耿耿酬知己。泰山鴻毛定取舍。生不爲生死不死。酒盡沙頭日貫虹。徒御蕭蕭啓行李。此行懸知必不歸。多少情懷曷有已。勉旃無使劍術疏。庶幾再興燕宗祀。</text>
<title>借地恨。此眞可爲百世之恨。</title>,<text>殷亡。箕子率中國遺民五千餘人東來。立國于朝鮮。至四十代孫準。燕人衛滿亡命。聚黨千餘人。東渡浿水。求居西界。爲藩屛。準信之。封之百里。令守西鄙。滿誘致稍衆。乃遣人詐告準曰。漢兵十道來攻。欲入宿衛。遂襲準。準戰不勝。浮海南奔。立國於馬韓。其故地。遂爲滿有。其後高句麗東明王子溫祚不容於本國。與十臣南來。求可居之地。馬韓王割東北百里之地畀之。是爲百濟。溫祚二十七年。謂諸將曰。馬韓漸弱。上下離心。勢不能久。倘爲他有。悔不可及。不如先人取之。陽爲出獵。潛師襲之。遂幷其國。箕子之後。遂絶不祀。殷墟麥已秀。海東敷八條。禮讓以爲俗。傳祚千年遙。燕地亡人適樂國。東明王子窮來托。君王不嫌二主容。錫之土田爲附庸。古來養虎多自患。逼逐幷呑飜在眼。前借衛後借濟。仁賢之後竟陵替。遺恨當年費虛惠。</text>
<title>金櫝引。其事有無。雖不可知。足見我國上世人心之淳古也。</title>,<text>新羅脫解王。夜聞金城西始林間有鷄聲。遲明遣人視之。有金色小櫝掛樹梢。鷄鳴於下。還以告王。取櫝開之。有小男兒在其中。姿貌奇偉。王喜謂左右曰。此豈非天祚我以胤乎。名曰閼智。地曰鷄林。閼智七世孫味鄒。遂有羅國。凡三十七王。脫解王亦是波那國人。浮海而來。解櫝而出。南海王聞其賢。妻以女。遂至爲王。駕洛國初無君長。聚居山野。一日。修楔。適見龜旨峯上。紫纓垂下金合。開視。有六金卵。不日皆化爲男。推立始生者爲首露王。都金海。餘五人各王五伽倻。首露王妃許氏。乃南天竺國王女。渡海而至。緋帆茜旌。來泊主浦。王迎入闕。立爲后。後生九子。令二人從其姓。今之金海金氏許氏。皆其子孫。至今先世之事。傳以爲實云。龜旨峯。在金海。金城城西白鷄鳴。羅王宮中眠不成。樹梢金櫝方取下。中有小兒何爲者。羅朝好奇多神異。三姓相傳從此始。貽謀旣失爭欲售。不獨黃呂啓來後。君不聞龜旨峯頭紫纓垂。茜帆載得君王妃。至今子孫傳爲實。斯言可信還可疑。畢竟鴻荒時事誰能知。</text>
<title>再請妻。流芳遺臭。</title>,<text>百濟蓋婁王。聞都彌妻之美。召都彌語曰。婦人之德貞潔爲先。然在幽闇無人之地。誘以巧言。能不動心者鮮矣。對曰。人情不可測。若臣之妻。雖死不易者也。王留都彌。使近臣詐爲王抵其家。語妻曰。已與都彌博賭而勝。汝當從命云。仍欲私之。妻請更衣。詿飾一婢子薦之。王後知見欺大怒。誣都彌以罪。矐其兩目。置小船泛之河。更引其妻欲亂之。妻曰。今則良人已逝。妾身不能自保。敢爲王辭。但今有月事。請竢他日。王從之。妻逃之江口。忽遇行船至泊泉島。其夫在此。遂同奔高句麗。前請飾婢子。後請有月事。但怒今日欺。不念後日嗤。平生不二心。耿耿留至今。</text>
<title>鷄林臣。其心則誠忠矣。訥祗弑君自立。無乃致身。非其時乎。</title>,<text>新羅訥祗王有二弟。一曰卜好。二曰未斯欣。俱出質於高句麗及倭國。王卽位思之。求得辯士往說之。聞歃良州干朴堤上勇而謀。可以濟事。召問曰。吾二弟久質倭麗。何術以生還。堤上曰。臣聞主憂臣辱。主辱臣死。臣雖無狀。請行。遂聘高句麗。說其王。與卜好同歸。王語堤上曰。我念二弟如左右手。今只得一臂奈何。堤上曰。臣雖駑才。旣以身許國。有何敢辭。然高句麗大國。其王亦賢。臣得以一言悟之。若於倭。當以謀紿。不可以口舌諭。遂入倭國。若叛者然。日與未斯欣。乘船遊玩。倭人不疑。堤上勸未斯欣潛還。答曰。豈忍舍君而獨還。堤上曰。若能救公之命。慰王之情則足矣。安敢愛生。未斯欣泣辭遁還。堤上獨寢舟中。倭人詗知。縛堤上。追之不及。倭主怒。囚堤上鞫之曰。汝何竊遣未斯欣耶。堤上曰。臣是鷄林之臣。欲成吾君之志爾。倭主怒曰。今汝旣爲我臣。而稱鷄林之臣。則必具五刑。若稱倭國之臣。則必賞以重祿。堤上曰。寧爲鷄林之犬㹠。不爲倭國之臣子。寧受鷄林之箠楚。不受倭國之爵祿。倭主怒。剝堤上脚刈蒹葭。使趨其上。問曰。汝何國臣。曰。鷄林之臣。又使立於熱鐵上問之。對如前。倭主知不可屈。燒殺之。汝何人。鷄林臣。來何意。王弟事。主憂臣當辱。主辱臣當死。白刃亦可蹈。湯鑊亦不避。王心載悅臣已矣。</text>
<title>三事知。一女小慧。適足爲他日基禍之地矣。</title>,<text>新羅眞平王薨。國人以長女德曼寬仁明敏。立爲主。是爲善德女主。初。唐帝賜牡丹花圖幷花子。眞平王以示德曼。對曰。此花必無香氣。王笑曰。爾何知之。對曰。此花絶艶。而畫無蜂蝶。必是無香。種其子果然。及立爲主。一日。宮西玉門池。蝦，蟆大集。主謂左右。蝦蟆怒目。兵士之相。吾聞西南邊谷。有名玉門者。意有隣兵至其谷乎。命將搜之。果百濟甲騎五百至其谷。掩殺之。又能預言死日。及薨。國人又立從妹勝曼。是爲眞德女主。其後國人。循故事。又立眞聖女主。淫泆失政。遂亡其國。蛙怒鳴必有賊。花無蝶相調謔。死固有預知。難合三如期。新羅代女治國。牝鷄晨家之索。昧大義貴小慧。善德歿眞德繼。狃故常罔知覺。所以眞聖主。終焉椓國脈。</text>
<title>城上拜。英雄豪傑曠世一有。而姓名不傳。可惜也哉。麗史抄城將梁萬春云。未知是否。</title>,<text>唐太宗伐高句麗。大破高延壽惠眞軍十五萬衆於安市城下。仍攻其城。城主堅守不下。凡留五十餘日。帝班師。城主拜辭於城上。帝嘉其固守。賜絹二百疋。牧隱貞觀唫。玄花新逢白羽箭。諺傳太宗攻安市。流矢中目云。而中國史諱不直書固宜。三國史。亦不載。未知牧老何從得此言也。孤城月暈五十日。大唐天子親臨戰。草枯遼左難久留。玄花新逢白羽箭。將軍介冑七尺身。城上拜辭屬車塵。久抗天威罪當誅。賜絹特勵爲人臣。姓名恨不傳千春。所以吾東善戰善守名中國。賴有此及薩水文德龜州朴。乙支文德敗隋兵於薩水。高麗朴犀守龜州。蒙兵來攻。固守三年。終不下。蒙將歎其善守。</text>
<title>黃昌郞</title>,<text>新羅人。其父死於百濟。黃昌年十餘。學劍舞。舞於百濟市。王聞而見之。遂刺王。與之同死。至今慶州。傳習此舞。十餘學劍舞。觀者傾一市。兒心豈無以。報仇輕一死。回首笑古人。舞陽眞豎子。</text>
