<title>冬月 七歲作</title>,<text>一片團團月。高懸萬國燈。風力雖云壯。淸光滅不能。</text>
<title>舟中吟眎來仲</title>,<text>竹西樓下木蘭舟。翠壁蒼松映玉流。千古此鄕眞勝界。百年今日最淸遊。翺翔鸞鶴雲間逸。辟易魚龍水底愁。颯爽江風吹一陣。半天仙樂落滄洲。</text>
<title>望五臺山</title>,<text>平安馹騎走翩翩。咫尺仙山指點邊。千古是非良史秘。五臺形勢職方傳。宸章絢彩煙霞洞。寶塔凝寒雪月天。鶴羽無緣遮客眼。嶽靈應㤪阻吟鞭。</text>
<title>越中懷古</title>,<text>寒催古郡雪花飛。客子居然感涕垂。國運不能無一廢。天心豈欲有當時。刀山似刃難裁恨。錦水非梭自織悲。聽說倻琴傳舊曲。女娘猶解唱宮詞。</text>
<title>錦江亭卽事</title>,<text>喫盡寧城酒幾盃。公軒多暇興悠哉。百年天地長爲客。三郡山川獨上臺。牛載烟光遙浦去。鷹將雪色半空來。滄江留得他時約。桂楫春風會沂洄。</text>
<title>路中得來仲書。走筆寄回。</title>,<text>幾日馳驅嶺路脩。祗今淸興忽全闌。花田燭盡聞雞起。蓮幕書回立馬看。一夢名樓雲海杳。孤吟古峽雪峯寒。男兒何處無離別。異土分襟最覺難。</text>
<title>獨坐客館。悄然有吟。平昌倅李丈瀅。上京未還。李仲暉亦不在。故云。</title>,<text>天嶺雪看飄飄。塊坐寒齋任寂寥。庭鯉遟回猶阻對。縣鳧飛去忽趍朝。愁來魯酒緣非薄。望處秦雲漸覺遙。祗是相思千里夢。更隨官燭五更消。</text>
<title>淸平寺吟贈崔佐郞 泰厚</title>,<text>邇來深恨別時多。邂逅仍驚鬢髮皤。旅榻去年攀北路。官程昨日阻西河。三更綠酒禪宮燭。數曲淸絃妓席歌。聖代祗今猶有憾。如君坐守一崗坡。</text>
<title>次崔佐郞閒適堂韻</title>,<text>軒冕無心聽自然。幽居晩卜橘中天。溪添夜雨聲聲活。葉抱秋霜片片姸。松菊一筇三逕熟。蓬萊孤夣五更圓。客來欲問閑閑趣。笑指歸雲出暮巓。</text>
<title>憶眞樂公 李公資玄</title>,<text>禪庵寥落古巖巓。人去今爲第幾仙。一壑松蘿空自在。千年衣鉢向誰傳。雲扶朽骨秋仍白。水帶高情瞑更玄。碑字祗今苔半蝕。客來無語向靑天。</text>
<title>影池中見芙蓉峯</title>,<text>芙蓉倒向水中裁。幾點繁華萬古開。縱使有舟誰採去。極知無𧗱可移來。晴時旭照淸凝澈。秋後風多壓欲摧。吟罷擧頭還一笑。奇峯高倚半天巍。</text>
<title>淸平寺謾題</title>,<text>跋涉長途不說勞。一筇三日此遊遨。楓崖雨泣紅仍淚。松岸風翻翠欲濤。禪語傍燈隨境寂。詩肩倚檻與山高。獨來獨往渾幽興。肯向人間話俗曹。</text>
<title>登排置峴</title>,<text>天地東來此最寬。蕭條景物倚輿看。厥初排置功誠大。今日登臨興未闌。老石稜稜山逕窄。孤烟點點野村寒。居然脚底生雲氣。飛繞征衫影更殘。</text>
<title>乘舟下狼川 大里津</title>,<text>鞭策江神負畵圖。一筵高壓鏡中天。波濤夜雨蕭蕭後。景物秋風摵摵前。錦繡峯巒搖四面。魚龍窟宅怵孤眠。暗聽汀路歸人語。舟上紅袍定是仙。</text>
<title>狼川客舘朝起</title>,<text>官閣蕭然睡味殘。起來扶病強衣冠。椼楊閑卧威稜薄。鴈徐趨禮數寬。合沓江流煙外濶。依微山色雨餘寒。三聲畵角催歸駕。剛厭巖程望裡曼。</text>
<title>平康道中</title>,<text>幾日崎嶇裏行。此來天地眼差明。遙山直北雲煙濶。大野中間道路平。流水去分蘆岸色。商風吹送檜林聲。寒村薄暮聞雞起。知是平原古縣城。</text>
<title>赤礗院 有巖戶甑峯</title>,<text>蕭條虛院客來登。亭下蒼崖問幾層。巖戶却將紅葉鎖。峯甑惟許白雲蒸。殊方節序看看換。古峽溪流去去仍。塊坐多時無與語。澹然風味似山僧。</text>
<title>金城客館次板上韻</title>,<text>爲愛名區故故留。醉來徙倚曲欄頭。霜寒古秋全瘦。夜靜空林月欲流。胸裏肯敎棲俗慮。眉間惟許集淸愁。平生剩負江山債。笑把蕪詞草草酬。</text>
<title>昌道驛中次板上韻</title>,<text>秋色偏隨我所之。看來猶足慰覊思。金剛入望還嫌遠。馹騎如飛却道遲。山水趣從今日始。仙凡境向此中歧。長途跋涉寧云苦。去訪名區似赴期。</text>
<title>可惜</title>,<text>可惜秋光去似流。無端一夜忽全收。投筇搜剔何緣覔。把酒招呼不肯留。木立槁容禽語冷。巖呈瘦骨馬蹄愁。悄然覊緖渾難制。風雨寒山獨上樓。</text>
<title>路傍竇巖</title>,<text>高開一竇石中央。如此奇觀我未嘗。無日可關門謾設。欲爲何語口徒張。包容半壑雲煙氣。呑吐長天日月光。若使當時逢米芾。也應呼作丈人行。</text>
<title>道中</title>,<text>淸溪隱隱石參差。到處風光醉眼宜。踏葉馬蹄踈雨後。渡橋人影夕陽時。山坡半作農家物。野木多爲太守碑。跋涉肎嫌前路遠。每逢詩境故遟遟。</text>
<title>長安寺山暎樓</title>,<text>突兀禪樓問幾層。官程幸許片時憑。溪聲晝碎鴻門斗。山勢秋楊牧野鷹。紅葉落來將壑貯。白雲低處以橋承。猩袍未洗塵埃氣。羞對長安寺裏僧。</text>
<title>見元至正所供佛前香爐有吟</title>,<text>文物蕭條禮樂昏。腥氊當日穢中原。君王漸覺論治倦。兒女空敎丐福煩。海外縱供千佛養。世間寧有萬年元。可憐家國淪亡後。只看銀爐寺裡存。</text>
<title>登望高臺</title>,<text>飄然兩腋欲生翎。淸氣侵人倦意惺。分付洞靈山祗妥。指揮風伯雨師停。峯巒拔地千莖白。滄海連空一點靑。臺頂若敎添數尺。此身應到玉皇庭。</text>
<title>正陽寺歇惺樓次板上韻</title>,<text>仙區勝賞我偏私。行訪喬松庶有期。浩浩雪花埋地面。茫茫雲氣接天池。誰看寶馬馳來日。未記神鰲戴到時。無限化兒辛苦意。千年惟許此樓知。</text>
<title>萬瀑洞</title>,<text>秋日遊筇拂翠嵐。靈區勝迹我全探。龍潛赤黑仍靑白。玉列東西更北南。巖石能支千瀑載。雲霞自任一庵涵。瑤華恍惚雙眸眩。身世都疑駕鶴驂。</text>
<title>獅子庵石鷹</title>,<text>昔在禪翁說法時。層峯掀蕩岳靈悲。潛深神物魂猶裭。急難奇禽義獨知。莫道千匀巖自重。還敎一片石能支。我來欲問當年跡。僧指東崖半面虧。</text>
<title>上毗盧峯 二首</title>,<text>白玉羣峯大海濱。亭亭氣色壓無垠。禽飛渺渺纔看背。日轉昭昭可辨輪。一局乾坤開拓遠。千年造化設施神。登臨催刻山頭石。金姓其名卽始鑌。洗出容顔雨後流。衆香城上玉參差。龍眠九澤秋波冷。客拂孤雲老石危。造化精神山自泄。登臨呼吸帝應知。天東咫尺臨暘谷。指點扶桑聳日枝。</text>
<title>九龍淵</title>,<text>磐石彌堅只一身。深潭九化工神。回波曲曲明開鏡。流瀑層層白拖紳。萬丈獅峯渾作障。千年龍宅自成鄰。向來靈洞珠淵輩。到此還應北面臣。</text>
<title>次來仲韻。二首。</title>,<text>雲驄次第走東關。相望行塵兩月間。黃木撿來靑嶂繞。紅蓮泛處綠波閑。陲筒忽帶淸詞落。客袂還違勝界攀。笑把詩材留一半。許君追上雪中山。齊揷中天幾朶蓮。片時登陟片時仙。衆香秋月回淸夣。萬瀑寒波洗俗緣。陡覺名區懷勝友。忽驚華札伴瓊篇。待看樽酒靑眸會。隨處遲遅故駐鞭。</text>
<title>侍中臺</title>,<text>人去空臺萬古存。佳名留得侍中尊。山垂似舌湖全嚙。石列如牙海半呑。握管登臨評日月。携杯箕踞傲乾坤。鴻邊宿霧微微起。島嶼茫茫望若昏。</text>
<title>三日浦四仙亭</title>,<text>一聲長嘯海東頭。縹緲高亭勢欲浮。雲外紫鸞何日過。石間丹筆至今留。踈踈雨色平湖晩。淡淡松陰古嶼秋。極浦蘆花無限興。歸來滿載木蘭舟。</text>
<title>仙游潭</title>,<text>淺淺平沙海市連。一臺高壓鏡中天。斜陽繫馬長松下。半餉開樽古石邊。何代鸞驂來此地。祗今鴉軋但孤船。悠然坐占名湖趣。我是蓬萊第幾仙。</text>
<title>日出</title>,<text>蕩漾滄濤萬里紅。金輪浮出玉盤中。龍君辟易秋驚夢。羲馭寅賓曉奏功。烱烱神光垂大地。茫茫黃道揭遙空。長繩未繫西飛日。愁殺人間白髮翁。</text>
<title>東海廟</title>,<text>古廟巋然大海頭。阿明妥適自千秋。蘭肴桂酒年年薦。飈駕雲旗日日遊。風雨凄迷天欲暝。松杉掩翳景仍幽。靈光閃爍波濤吼。宇宙蒼茫動客愁。</text>
<title>寒松亭</title>,<text>相隨釋杖過招提。瀛府之東大海西。終古荼香孤石在。當時道氣四仙齊。泉光寂寞神蛟宅。樹影微茫老鶴棲。飛下沙亭舒一嘯。晩天浮靄馬蹄迷。</text>
<title>凌波臺</title>,<text>穿雲官角學鸞笙。萬里天風鶴外淸。忽謾來尋羣玉府。依俙重對衆香城。沙頭孤店看看晩。波上蓬帆點點輕。仙侶招邀今庶幾。聊將一斝揖蓬瀛。</text>
<title>鎭東樓下泛舟。眎同鄕諸人。</title>,<text>肩輿催下鎭東樓。客使風流倚畵舟。汀浦依依三兩樹。滄波渺渺一雙鷗。逢迎萍水還鄕會。狼藉杯盤卽海羞。卧聽女娘漁父唱。百年天地有玆遊。</text>
<title>竹西樓</title>,<text>飄然雙腋御冷風。飛閣華筵縹緲中。淺淺明沙平似案。溶溶寒瀨曲如弓。窺欄初月孤輪淡。落水流星幾點紅。急管半隨波語咽。貝宮深夜撼眠龍。</text>
<title>召公臺</title>,<text>相公碑老蒼苔蝕。移晷摩挲手自勞。德量當時滄海濶。名聲終古碧山高。棠陰足配周時召。刀筆寧論漢代曹。恍惚英靈遊此地。寒杯落日薦椒醪。</text>
<title>次吳聖▣韻</title>,<text>千里眞珠客路連。忽驚詩侶自榮川。羅汀倚棹波搖席。凝碧開筵雨滿天。鄕夢乍回中夜後。覊愁仍吐一樽前。向來京洛相思處。不道靈區共問仙。</text>
<title>自原州還向橫城</title>,<text>官角嗚嗚日欲斜。病餘詩興薄於紗。依依古松杉裏。時見三家復兩家。</text>
<title>玉流洞</title>,<text>此水應從天上來。寒聲淸晝碎瓊瑰。笑渠却識人間路。朙日還添幾點埃。</text>
<title>四聖臺</title>,<text>皓似鬚眉偉似冠。商顔怳惚眼中看。紫芝欲問當時曲。無語靑山只自寒。</text>
<title>步上彌勒峯</title>,<text>未到峯顚力已殫。層崖倦步太跚跚。登來悟得先民訓。爲善何如此路難。</text>
<title>九松亭</title>,<text>䨥流銀瀑九株松。千古奇觀集一筇。却恨世間歸有路。洞門先遣白雲封。</text>
<title>新邑月夜</title>,<text>仙興飄飄不自裁。夜深虛檻獨徘徊。可憐一片東峯月。帶得金剛霽色來。</text>
<title>丹楓橋</title>,<text>霜後凄風動漫愁。靑山流水看悠悠。可憐無數橋邊葉。猶帶秋光點點留。</text>
<title>出洞回望毗盧</title>,<text>玉洞朝飛點點烟。滿山淸氣着吟鞭。休言撿木行裝倦。曾是毗盧半日仙。</text>
<title>紅流洞</title>,<text>古深深逈絶喧。世人那得此仙源。孤僧却似桃花片。解引遊蹤過洞門。</text>
<title>次李上舍仲暉韻。二首。</title>,<text>超超蓬海玉爲山。曾入詞人嘯詠間。名姓祗今留寶界。夢魂應復繞仙關。淸塵已逈空回首。瓊韻難賡只汗顔。此去魯城餘幾里。萊衣佇看舞庭斑。怾怛名高海上山。十年淸夢往來間。卽今嶽祗却相迓。從古洞門元不關。笙鶴恍逢仙子駕。瓊琚喜替故人顔。毗盧九瀑渾搜剔。吾輩奇遊若是班。</text>
<title>追次李上舍韻</title>,<text>簇簇峯巒揷半天。芙蓉齊倚海雲鮮。名區若使無雙屐。浮世寧云有百年。去歲君收風景盡。前宵我遣夢魂先。卽知嶽祗容吾輩。次第蓬萊去訪仙。附原韻穉齒科名動九天。韶顔靑鬂映袍鮮。纔過賈傅說經歲。差少王通獻策年。南紀風雲偏覺重。北方游學莫爭先。行逢絶境懷人苦。安得提携共問仙。</text>
<title>自溫臺</title>,<text>十里江山活畵開。蘭舟飛過自溫臺。無端烟浦漁謳咽。千古閑愁付一盃。</text>
<title>江村</title>,<text>隱暎江村夕照時。蕭踈浦柳半無枝。長郊秋盡農功歇。牛在蘆邊不受覊。</text>
<title>巖上茅亭</title>,<text>靑山之上白江濱。縹緲茅亭壓喚文。醉眼矇矓看不辨。遠疑孤鳥近疑雲。</text>
<title>喚文菴</title>,<text>帆影遅遟沂碧江。蓬牕咫尺望仙牕。一聲畵角煙洲暮。驚起松間懶睡厖。</text>
<title>浮山寺</title>,<text>層巖矗矗碧千尋。水霧山嵐日暮深。望裏仙樓危欲墜。一僧無語倚松林。一語齋東誤世人。僞臺終古喚爲眞。逌來萬事渾如此。名實誰能辨主賓。</text>
<title>釣龍臺</title>,<text>山逈危孤寺。江深穩片。覇圖渾寂寞。天險但巉巖。魚忍香魂葬。龍愚白馬饞。千年悲覆轍。來後盍玆監。</text>
<title>孔巖道中</title>,<text>堪笑淸朝宦未工。適來蹤跡似萍蓬。鷄龍矗矗晴雲外。馹騎翩翩夕照中。今日又逢冬序逼。幾時方見路歧竆。檢田豈是男兒業。浮世行裝覺面紅。</text>
<title>孤蘭亭</title>,<text>錦水朝回駕。雞城夕卸鞍。山容東挹翠。野色北望寬。樹病依根卧。烟孤拖影盤。無端塊坐處。風味似僧閒。</text>
<title>胎峯道中</title>,<text>片石參差強號橋。只宜徒步不宜軺。中間可令移蹄踏。來往應恢擧足超。物或自成功又省。人能普濟利差饒。鞭渠當日還何用。梁海深譏萬古招。</text>
<title>鎭岑客館</title>,<text>暝角隨風響。官門已報關。依依明月夜。獨對九峯山。</text>
<title>酌魯山春</title>,<text>魯山春色擅湖西。一勺纔傾醉欲迷。和氣浹人寒氣退。不知牕外曉霜凄。</text>
<title>不向舒州</title>,<text>湖海西南學壯遊。馬蹄要看遍遐陬。如今無分舒州勺。三日韓山病未瘳。</text>
<title>淸州舘戱題</title>,<text>少年星使少風流。佳約難成夜已遒。曉日蛾眉不整。半含新恨半含愁。</text>
<title>淸安郡</title>,<text>政淸然後吏民安。太守宜將邑號看。治法不須尋別緖。二言猶足警爲官。</text>
<title>槐山舘</title>,<text>庭院寥寥月色多。古槐寒影看婆娑。不知太守今宵夢。着在南柯第幾柯。</text>
<title>丹邱</title>,<text>不到丹邱二載奇。山光水色看猶疑。肩輿十里蒼崖路。暗記擔簦躡屩時。</text>
<title>黃江驛</title>,<text>尙記王孫飯。還無季子金。行厨猶有酒。斜日爲君斟。</text>
<title>延豐道中</title>,<text>十里五里松桂林。三家兩家靑山陰。眠厖不聲籬半缺。往往獨鳥簷前吟。</text>
<title>俗離山</title>,<text>天將白雪冶山容。眼底爭呈艶態濃。粉餙由來凋大朴。世情今又到仙峯。</text>
<title>俗離謾詠</title>,<text>崑崙嫡脉走東陲。兄是金剛弟俗離。彌勒觀音寬世界。忠淸慶尙壯根基。斷頭龜石還應妄。蛻骨雞林儘可疑。神斧分留開鑿跡。揷天巖角鳥途危。</text>
<title>福泉洞</title>,<text>踏石穿林杖一藜。丹霞翠靄染衣裾。溪邊苦竹凌霜在。歲暮貞心欲問渠。</text>
<title>福泉東臺</title>,<text>夜夢登天逸。朝來此訪眞。松喬應窟宅。造化最精神。已道山容古。仍兼雪色新。瑤華爭眩目。幽償未全貧。</text>
<title>懷仁道中</title>,<text>靑山環擁洞無門。除却鷄聲定不喧。夕霧欲收林影亂。石間茅屋未成村。</text>
<title>文義</title>,<text>北來消息擾邊關。國事如今足涕潸。湖外將軍無別策。時時惟閱郡兵看。</text>
<title>溫陽溫井</title>,<text>溫泉終古與靈通。一浴能收損病功。安得導渠流四海。遍敎流澤及疲癃。</text>
<title>次天安黃子厚</title>,<text>寒重風欞外。春生蟻斝中。將詩評本色。占易問眞工。荏苒年將盡。團欒夜欲竆。那堪朙發後。歸去各西東。</text>
<title>披香堂</title>,<text>風烟寒幕府。湖海擅詩豪。差池憐鳳翮。潦倒愧猩袍。我望秦雲逈。君歌郢雪高。官居猶喜靜。談笑爲吾曹。</text>
<title>次權彦經。二首。</title>,<text>情話非君更屬誰。居然今日似前期。相携欵曲聯床穩。欲別躕躇下榻遅。殘雪小梅竆臈後。一湖雙樹夕陽時。天寒如此歸程遠。爲勸征人進大巵。詞華登紙面。春色動盃心。室靜書堆案。庭虛鳥語林。穩成朋席話。停却妓筵琴。不謂携分後。萍蓬復有今。</text>
<title>鴻山館 二首</title>,<text>特地名區一畵兼。滿天雲霧影纖纖。鰲將危閣高輸頂。鯨負歸船半露髯。海國有門山欲鎖。月輪如鏡水爲奩。沉吟半日無佳句。紙價新城頓覺廉。高風半雜角聲悲。怊悵官程自有期。勝地多緣今信宿。仙樓臨別更躕踟。潮光合沓船移後。海色蒼茫日沒時。故向煙洲遟繫纜。淸遊爲謝爾蒿師。</text>
<title>結城舘</title>,<text>大地無竆外。靑山欲斷前。漁村點夜火。塩竈縷秋烟。啣命曾何日。停軺又箇邊。西風虛舘裡。歸思轉凄然。</text>
<title>田橫島</title>,<text>庭樹依依日欲暮。荒山寂歷自秋雲。三千海色孤亭望。五百風聲逖代聞。極目全齊何處在。傷心橫島至今云。椒醪斟得男兒感。遙酹英靈祭以文。</text>
<title>藍田浦望海樓</title>,<text>宇宙男兒志。腰間一釰䧺。棲遑徒歲月。蕭瑟又秋風。世眼愁多白。鄕飧憶二紅。夕陽樓上倚。潮海醉吟中。</text>
<title>日入</title>,<text>金輪冉冉杳茫中。極目滄溟萬里紅。暝色取看生馬鎭。曙光應復報龍宮。堪悲人世無今日。始識機緘在太空。暘谷寅賓曾快覩。玆遊那似洛山東。</text>
<title>新都龍淵</title>,<text>劈破奇巖水滿科。貝宮消息問如何。神龍曉駕雲驂去。寂歷空潭但碧波。</text>
<title>鳳林寺</title>,<text>名區淸分未全踈。步入層崖一嘯舒。衰草鳳林秋盡後。濕雲鷄峀雨收初。苔承屐碎紋還合。石受波舂臼自虛。洞路未竆歸意促。碧溪斜日更躕躇。</text>
<title>石城鳳津</title>,<text>丹崖百丈壓長干。十里平郊掌㨾看。最是鳳洲奇絶處。半灘紅旭影波瀾。</text>
<title>林泉道中</title>,<text>持螯江上席。走馬峴西街。白日朙官市。靑煙擁縣齋。山低天更遠。樓聳地增佳。觸處風光好。渾敎倦眼揩。</text>
<title>落花巖 二首</title>,<text>雲外層臺勢欲浮。巖頭移席俯江流。煙濤蕩漾搖孤寺。錯道斜陽泛畵舟。荒臺寂寞欲黃昏。花落千年未見痕。寒月滿巖巖不語。碧江何虔喚香魂。</text>
<title>泰華山麻谷寺</title>,<text>洞壑嶙峋石路賖。行隨靈錫此停車。天下名山元擅泰。湖西大刹卽穪麻。簷陰暝落淸波月。嶽色寒浮碧樹霞。忽看淡煙飛一縷。南寮老衲報烹茶。</text>
<title>佐宣閣 二首</title>,<text>世情平地卽波瀾。國事危竿百尺端。聖代未應無荷簣。餘音空自想猗蘭。棲遑湖海官全冷。搖落乾坤歲欲闌。一曲新溪還入夢。莫敎鷗鷺舊盟寒。萬事關心鬢欲蒼。那堪世路劇羊膓。投膠誰理長河濁。穿井難回擧國狂。潦倒一官勞束帶。岹嶢九闕阻啣香。平生慷慨無人識。但有葵忱貢太陽。</text>
<title>次權上舍</title>,<text>地是名區客且留。官堂暇日錯觥籌。功名幕府還如縛。踪迹江湖却似浮。聯榻未窮終夕樂。裁燈仍作一宵遊。當筵莫惜驪駒曲。離別人間欲白頭。</text>
<title>仲秋夜雨 二首</title>,<text>公舘沉沉夜二更。滿山秋雨近寒聲。簾頭螢火還多事。欲把微光代月朙。雨脚連空月色收。今宵不信是中秋。安能學得飛昇𧗱。天柱峯頭辦壯遊。</text>
<title>完山</title>,<text>長郊晩色逈蒼蒼。馹騎穿來趁夕陽。從古山河雄左海。卽今屛翰重南疆。千街汗雨臨淄市。一道祥雲沛澤鄕。賸得古都觀覽富。幕僚官味不全凉。</text>
<title>法聖倉</title>,<text>滄溟咫尺閙鯨波。帳㨾靑山面面遮。土貢雲堆三萬斛。江村煙擁一千家。晴沙帶濕潮初落。晩樹增光雨乍過。聽說海防無別事。將軍只管赤城霞。</text>
<title>自法聖順流下羣山</title>,<text>監粟仍成汗漫遊。官醪况復洗覊愁。迷滕閣黃龍軸。水接扶城白馬流。天地漸寬知近海。巖巒差遠覺離洲。漕官實合舟行去。一帶恩波亦自優。</text>
<title>飛飛亭</title>,<text>男兒有眼不曾開。偶向飛飛閣上擡。百里平郊烟拖去。半汀寒樹月窺來。虛敎疇曩勞雙屐。那及今宵對一盃。極目蓬瀛迷遠色。待看笙鶴下瑤臺。</text>
<title>苦詞</title>,<text>初吹聲中散睡魔。曉燈明滅眼生花。踈筋緩骨都無力。強着衣冠一半斜。二吹官童報進餐。海腥園綠錯登盤。病餘匙箸謾虛設。斂手移時作畵看。三吹征途簇擁呵。風埃撲撲上鞍多。堪憐倦客無佳趣。無限江山閉眼過。</text>
<title>誇詞</title>,<text>昇平烟月我生丁。千里南關作使星。馹馬直驅湖海路。官人交候短長亭。雕床綵几三重席。繡壁紗窻八疊屛。笑向名娥誇一語。男兒四十鬂猶靑。</text>
<title>嶺上望長白山雪色</title>,<text>蒼穹近北勢偏傾。一髮層巒萬古撑。任重卽知憂亦大。故敎頭上雪添莖。</text>
<title>嶺上望七寶山 二首</title>,<text>十載靈區夣寐間。相逢如對故人顔。官僮莫說羣峯號。未到吾能識此山。朱欄隱暎綠陰間。人捲重簾半露顔。駐馬移時看不倦。不知斜日下西山。</text>
<title>七寶山</title>,<text>吾聞北海上。有山名七寶。迢迢大羅天。一夢尋常到。前年枉上䟽。恩謫關山道。猶能管仙境。亦足慰覊抱。維時雪爲地。萬里一色暠。重重洞門鎖。幽事無由討。春陽乍破陰。世故又相惱。有似失佳期。願言心懆懆。局束朱墨叢。男兒頭欲皓。人言四五月。綠陰看更好。萬物屬柔茂。天時已云燠。安能居鬱鬱。不禁興浩浩。回睨夏蟲輩。疑氷堪絶倒。携筇蘓堂嶺。逈若攀崇昊。山霏倐斂却。初日明杲杲。崖回林轉開。風過雲仍掃。乾坤自洞豁。不煩衡山禱。眼前芙蓉朶。馬首蓬萊島。行吟步虛詞。坐藉金光草。羣峯入指點。箇箇朙似澡。直軋層霄崢。旁控滄溟灝。或直如繩墨。或曲如栲栳。恬靜或如默。搖蕩或如搗。漸低或如瀉。突起或如燺。或如削圭璋。或如鋪碼碯。或如肆貨寶。或如飣鱻薧。或如將制閫。戈戟森城堡。或如母將兒。顧復懷襁褓。或如學士筆。珠璣散腹藁。或如逐臣容。江潭立枯槁。秀如出壑松。平如浮沼藻。驕如多金季。恭如蒲伏嫂。騰騰逐隊飛。如鴈復如鴇。昂昂出羣步。如䮍復如駂。奇耦狀卦畫。如經帝太皥。頎然偉而白。如對商山老。長城截胡境。籙圖傳自滈。金莖聳盤上。露氣凝顥顥。空中樓閣出。玉棟兼珠橑。牙籤懸萬軸。堆架皆可考。中峯勢最尊。盤據壓地媼。英䧺出草昧。寶位初登鄗。端疑坐明堂。釰佩爭朝鎬。玆山可比粳。衆山可比稻。輝輝子粒白。肯數麥與䵚。精宜供玉食。愚欲進司䆃。衆山比布裙。玆山比錦襖。嬌粧不厭侈。豈合衣皁。應冀及芳華。嫁與佳郞早。籠霧爛屛繪。映霞綵旒璪。巖稜互出沒。懸瀑相搏拷。幽窟不見天。微罅猶漏皓。羣材亦云富。松檜雜樗栲。駕海有餘痕。遠想秦皇艁。左右眩所矚。誰辨韓侯蚤。鶴駕瞻縹緲。鸞笙聽悼恅。王母下璇霄。玉妑陪羽葆。我欲洗穢膓。婪嚼七尺棗。誤認世間人。山靈應悔懊。雲深秘藥草。安得濟民夭。丹砂可服御。只恐病發燥。厥初創玆巧。戮力愁肝腦。堪輿夙著靈。神足禦熯潦。物理有感應。芬苾勤祀祰。千秋鎭北門。永爲邦國保。歌詩替龍眠。丹碧相絹縞。</text>
<title>歡喜嶺</title>,<text>試看世間歡喜事。無如邊塞見仙區。收將眼底羣峯色。散却胸中萬斛愁。甘雨旱天差可擬。故人殊土不堪侔。今行政與山名合。喚作覊蹤得意秋。</text>
<title>金剛窟</title>,<text>呀然別作小乾坤。開闢由來亦一元。象外烟霞惟自護。世間風雨豈曾掀。斑紋染膝苔爲席。紫液添唇井似樽。陶瓦誅茅渾可笑。短床安處是幽軒。</text>
<title>海望臺</title>,<text>竗有分明結又融。此來鰲頂驗神功。搖搖倚海山如揖。渺渺凌虛客似鴻。咫尺可能通帝座。蓬萊何必覔仙宮。滄濤萬里峯千朶。收拾筇頭一盪胸。</text>
<title>會象臺</title>,<text>夜宿開心寺。朝登會象臺。白雲俄度去。靑鶴忽飛來。硯滴峯孤立。經書石亂堆。此間無一句。何以答詩材。</text>
<title>蘓堂嶺</title>,<text>層崖疊障勢崢嶸。度壑穿林盡日行。回看向來三大嶺。世間虛得險岨名。</text>
<title>船巖</title>,<text>刳石爲舟問幾春。化兒多事弊精神。茫茫滄海秦方士。渺渺銀河漢使臣。不見沙邱來藥草。空聞蜀肆驗星辰。我今欲渡還迷路。更向山靈試問津。</text>
<title>兜卛庵</title>,<text>日夕携僧下翠微。霞光雲影掩巖扉。一年佳節菖蒲酒。半壑幽情薜荔衣。身到三淸應羽翰。詩逢七寶自珠璣。鳴泉解使心魂爽。不用烹茶破睡圍。</text>
<title>上露積臺</title>,<text>飛錫騰騰過樹梢。一聲長嘯倚嵒嶅。蒼茫遠望天如海。縹緲高懸窟似巢。世上怪奇無不有。眼中形勝可虛拋。豪情故與山俱聳。酌罷丹霞更洗匏。</text>
<title>金莊寺</title>,<text>行到金莊寺。坐看玉立峯。鳥聲三兩哢。雲氣一千重。幽事從玆始。仙人若可逢。竆探殊未已。日夕復携筇。</text>
<title>藍輿上山</title>,<text>僧肩似鶴背。騎向白雲間。直到三淸界。方看七寶山。</text>
<title>暮登開心臺</title>,<text>乘興藍輿步步催。西峯休報日輪頹。名區片刻眞堪惜。帶暝猶登寺後臺。</text>
<title>宿開心寺</title>,<text>寂歷山千疊。依微月半天。夜深人語絶。僧與鶴俱眠。</text>
<title>寺巖</title>,<text>特地觚稜聳碧虛。神仙從古好樓居。前宵鸞駕朝天去。留與閒雲護玉除。</text>
<title>沙林庵遇楓嶽僧石叢。吟一絶。</title>,<text>金剛百竗也皆全。眼底還無一寶船。千古沙林慈海濶。此間端合着叢禪。</text>
<title>妙安師求詩。書贈。</title>,<text>君如靑鳥我如仙。引入淸都第幾天。露挹漢皇承後掌。藥留徐巿採時船。瓊樓突兀三千尺。寶笈玲瓏八萬篇。須喚白雲遮去路。出山還怕再塵緣。</text>
<title>別七寶山</title>,<text>仙界因緣豈偶成。也知淸債自前生。山如絶代佳人色。客似長安蕩子情。一日詩樽歡未洽。千年雲樹恨偏縈。無端谷口冷冷水。瀉作離鸞別鶴聲。</text>
<title>次呈伯兄韻。四首。</title>,<text>北出關山影獨隨。季冬氷雪鳥途危。申申兄戒同嬃詈。心事千秋想楚累。至戒休論塞兌門。當時恨不盡忠言。猶餘一斗盈腔血。夜逐邊烽達禁垣。厭聽邊城夜柝喧。許歸蓬蓽覺天恩。還憐報答今無路。他日惟期結草魂。歸舟政好傍汀蘆。肯向明時㤪向隅。半世官名都去盡。此行應不愧閑鷗。</text>
<title>次龍坪從兄韻</title>,<text>覊客夢南州。孤燈夜故脩。朝盤厭腥味。回想野蔬柔。</text>
