<title>九歲作此。偶續成之。自註。上句兒時作。</title>,<text>白日落西海。化月歸東海。陰陽自循環。造化無定態。</text>
<title>夢作</title>,<text>城上一梅發。紅香春意多。春意流動處。融洽萬人家。</text>
<title>次唐詩韻</title>,<text>天地運元化。隨時自變通。常周行至健。均賦意何公。大體寒而暑。神功雨與風。罰邪惟有震。干正本無虹。賢聖承中德。修爲致極工。綱常元主孝。音律自調宮。冲氣三才一。正風四海同。都兪猶進戒。寅協克和衷。痛矣衰微代。運乎造化翁。倘非當世傑。誰創古人功。功利七䧺後。乹坤長夜中。戒深宣聖筆。寃結楚臣楓。仁義術方屈。經綸念却空。只宜退待命。益自飭其躬。</text>
<title>題沈生若涉山水圖</title>,<text>我曾獨上毗盧峯。領得東溟無限趣。誰知一幅畫圖中。氣勢崢嶸千萬里。</text>
<title>續龍洲句自勉 自註。下句龍洲趙公句也。</title>,<text>時誦龍洲語。令人猛省尤。平生三不欲。自註。酒色財。 快上百祥樓。</text>
<title>題三敎圖</title>,<text>佛乎貴魂魄。仙乎貴形殼。如何反賤道。虛無與寂滅。元來吾儒道。賤形貴其德。公哉物我忘。是與天心合。</text>
<title>題仙俠弄劒圖</title>,<text>仙俠弄神劒。精光射斗牛。其眼中無主。其形何其愚。</text>
<title>題壯士勒馬圖</title>,<text>壯士力挽轡。人鬼馬而牛。自註。人怒目張鬚。其麤豪不類於鬼乎。馬頸縮。其形木頑。不類於牛乎。 人曰豪兮壯。我看麤且愚。</text>
<title>辛巳正朝</title>,<text>嗟我今年不惑年。如何心地尙懵然。潛心點檢平生事。下愧於人上愧天。又習氣如今未盡磨。點心其奈病根何。大黃願借將軍力。滌我胸中積歲痾。</text>
<title>壬午元日自勉戒</title>,<text>年逾四十學猶蒙。克己須加猛省工。食色念虛心界靜。怠荒萌斷軆儀恭。光明正大羣邪伏。弘厚公平衆志通。至德凝心言行順。自能明哲合時中。又截無忿懥與邪淫。渾是盈腔惻隱心。誰能正得今時樂。四海融融共一音。</text>
<title>淸凉幽居</title>,<text>家後有小園。家前有一玉帶砂。砂內有陰坂環帶于前。夜明月隱映於東山之際。前坡蒼茫澹白。宛如一環之銀海。余見而感之作此。靜坐深宵眞味多。無中眞象自森羅。明月乍窺園𡬾際。一環銀海忽前坡。</text>
<title>過小皆骨 自註。卽小丘也。</title>,<text>逶迤之勢更嵯峨。千里冲融春意多。畫法無如天造化。半空能作碧蓮花。又造化爲圖妙入神。自然之象混無痕。堯舜以來周聖後。擬形惟有仲尼文。又造化所爲何敢名。空中能設大丹靑。三軍戈甲千官珮。百里芙蓉萬丈屛。卓嵂森嚴猶可擬。混融圓厚儘難形。潛心怳若醒春夢。誰信神開道眼生。</text>
<title>次學種齋韻 自註。尹東美齋號。</title>,<text>種宜平野不宜崖。人道吾知地道偕。耘去莠稊深有法。沃之洙泗浩無涯。須從后稷求治理。莫向樊遅作學階。若待天時收實效。佇看他日潤于齋。</text>
<title>詠磨石</title>,<text>動學天旋運一元。潛陽回處釀春暄。非冬亦自雪花散。不雨還能雷皷喧。妙用卽從泡肆驗。奇形曾過巧工捫。脚跟已露朞三百。豈向他山問本根。又乹元在上統坤元。靜處寒能動處暄。見似雪渦三峽噴。聽疑天皷九門喧。眞如日月初聯壁。擬向虛危試一捫。不見帝車旋列宿。誰知北極是樞根。</text>
<title>魯湖暮景</title>,<text>平沙漠漠水悠悠。船上風生夏亦秋。下日黯然天際色。不知誰是解神遊。</text>
<title>題恭齋尹孝彦神龍圖歌</title>,<text>君不聞惟天浩蕩蕩。其大其高誰能度。又不見滄海之水無涯際。其廣其深誰能測。其中何物㝡神靈。升降上下惟所適。其名曰神龍。龍乎爾性義且智。造化之妙無不通。龍乎爾形奇且異。角鬣鱗甲何其䧺。爾用何其神。倐忽雲雨隨雷風。爾行何其迅。六合之內須臾間。行藏自隨時。或奮發或安閒。瞻前忽在後。龍乎龍乎神且神。何人有此造化手。敢自奪天眞。使我一見便凜然。却立堂前久逡廵。吾聞善觀者。能以其迹知其人。恭齋恭齋。吾知爾之所爲。愼莫泄天機。嗚呼千載下。不意復見眞龍眠。嗚呼吾能辨形不辨神。注目長天神黯然。</text>
<title>贈釋性聦師 幷序</title>,<text>釋性聦者。性豪橫桀驁人。少豪俠。晩喜空門之脫畧無覊。公然甘心而落迹。名山大川之間。迹無不到。好義氣多才藝。閒士公卿之家。往往出入焉。素狂直不喜權術巧詐之人。自以爲傾心於正直無慾之士。盖慕其淸高也。日余適遇此僧於鍾崖之恭齋。與之同宿。說山說水。頗滌塵襟。恭齋愛其人品之不庸。乃曰爾名性聦。當字之曰戒寂。盖戒其豪俊好動而不喜寂也。余乃作詩反意以諷之。聦曰旣有詩。盍識焉。余辭不獲。遂爲序。無聲聽無聽。聽無是眞聦。一寂斯爲至。奚其寂寂中。</text>
<title>神龍歌</title>,<text>君不見天位上地位下。大哉至哉相配合。陰陽槖籥六合間。屈伸來往相闢噏。鳶飛魚躍上下察。生意融融更潑潑。絪縕推蕩互磅礴。化出五種三百六十含生族。大小巨細錯成文。槩而別之曰蜾與羽毛與介鱗。五族各自有君長。人乎其天吾誠不能名。更有何物神通莫可狀。滄海之水無涯極。大不可量深不測。彼乃神龍之所宅。受命於天鎭四方。帝乃錫之以靑黃赤白黑五等服。文章彪炳光陸離。宛與波瀾爭蕩漾。一見可知神異相。巉巖之首蜿蜒形。鬼目隆準與廣顙。帝又錫之以衛身用。參天之角蔽天鬣。尾如雲旗瓜如戟。威藏頷下有逆鱗。睡中明月何輝赫。神光一試霹靂動。電噴閃閃天地赤。名之曰尺木。龍乎爾能胸抱三十六神鱗。背負八十一神脊。乃表若爾奇且異。乃性何不神且靈。信乎乃是天一眞陽精。眞陽精眞陽德。智爲軆兮義爲用。巍然獨尊水府中。億萬鱗族皆其統。順天之命承天寵。膝下且有九種子。其一爲眞種。各以其德別所屬。部下各有千萬衆。珊瑚眞珠夜光璧。各以其産爭來貢。龍乎乃能有是子有是衆。乃威宜其四海動。胸中自有大造化。呼吸陰陽時自弄。三十六宮長周旋。文之能有濟時需。武之善用風雲權。行藏出處自隨時。靜合地動合天。靜時無中含有象。太陽藏彩虛危鄕。動時文明萬物覩。七曜照耀光煌煌。龍乎龍乎爾何爲而若是神。瞻在前而忽在後。見不見兮聞不聞。怳兮惚兮莫辨其幻與眞。龍乎吾有疑爾與爾質。請爾爲我傾心聽。吾觀爾所爲。不是愚狂其亦聖。何若是變化無常然。或潛藏或在田或惕若或躍淵。旣藏宜自深。彼躍抑何心。知之周養之深。不可以不試。將欲贊化育而參天功。乘時好御九五勢。雲行雨施乹坤通。須臾潤盡四海遍。萬品欣欣和氣中。有時乎伐邪而不使千正氣。天關地軸吼怒神威雄。天街蕩蕩九萬里。瑞彩盤欝光紛郁。龍乎爾雖有德有能有功烈。爾不可以自誇伐。龍乎上九不可以久處。宜早戒亢極。龍乎爾旣知進退與存亡。無首之吉愼莫忘。神龍聽默自會。收斂神功寂若無。淵淵其淵浩無窮。無窮之樂樂無虞。君不聞先天而天天不違。後天而奉天時。龍乎龍乎爾能與此而同歸。龍兮龍兮乃爾之神化兮。吾誠莫測其所爲。</text>
<title>次睦甥君實自勉韻</title>,<text>萬樹春濃百鳥嚶。天人和處自無爭。若終精一斯時措。詎辨無聲與有聲。又聞君之格言。令我欲無言。無言養能久。庶可時中言。</text>
<title>魯湖</title>,<text>黑雲含雨欲淋頭。回望京師淑氣浮。面岳晩來烟始合。弼雲高處霧初收。三山獨得晴天色。二水同爲濁海流。下視天西無盡勢。微茫千里極悠悠。又好放如飛疾去舟。微茫列島點天頭。諸山自有流雲勢。才道前洲却後洲。</text>
<title>喜晴辭</title>,<text>陰雲蔽天久不開。苦雨連綿浹五旬。人盡病糓盡傷。嗟我不億東方民。吾王掃萗墠。虔誠禱旻天。淸風日夕起。萬里無雲秋廓然。蕭然坐高樓。灑然心神淸。如今人盡甦。年糓况又期西成。千門萬戶皆歡聲。怡然歌一曲。請君爲我側耳聽。今夕是何夕。不樂復何爲。憑欄浩浩吟。淸興正無涯。澄光泳乾文。淑氣涵千山。靑天有月爲我來。流輝瀉入胸懷間。持觴對此景。相與各盡歡。願分此時意。大令天下皆歡顔。</text>
<title>晴陰 自註。衿陽途中。</title>,<text>冠岳靑雲外。三山白雨中。須臾風色變。天地盡冥濛。又朝是巾衣客。晩爲蓑笠翁。好笑須臾頃。閒忙絶不同。</text>
<title>小皆骨野</title>,<text>靑莎白石淸溪流。兩岸園林處處幽。使我頓生遐遠趣。依然身在武陵頭。</text>
<title>次永守堂壁上韻 自註。主人慶▣▣字汝信。</title>,<text>柴門寂寂廢開關。世事悠悠心自閒。日月每更朝暮眼。雲霞常作有無山。玄機浸浸春秋變。浪迹時時泉石間。風景解令詩興發。夕陽沙路詠而還。又解將夜氣報平朝。靜界不關塵世囂。迎客已懸丞相榻。濟川何用大夫橋。流光苒苒金烏轉。生意搖搖野馬飄。不有九臯屳鶴契。誰知吾志在冲霄。又夜深溪壑月高低。霽後淸光不受泥。最是箇中眞趣味。一聲仙鶴半天啼。又吾人之道果爲非。靜處閒探造化機。地僻山深客不到。時有村翁來扣扉。</text>
<title>宿永守堂月夜</title>,<text>半邊月色半邊陰。寂寂森森子夜心。賴有淸溪知我趣。泠泠能作五聲音。</text>
<title>三角山</title>,<text>三峯蹴立太空中。能使余心礭且䧺。乃腹自藏神造化。有時雲雨又雷風。</text>
<title>西山</title>,<text>滯雨西山夜。因想二子心。日月雙懸節。淸風振古今。又周團別世界。森列玉爲巒。初以武陵洞。更疑皆骨山。又衆壑生雲氣。徘徊嶽峀間。漫漫平作海。縹緲五峯山。</text>
<title>三角山</title>,<text>靈莫靈哉三角山。神威不敢仰其顔。初生豪氣終天布。化作秋霖萬里間。</text>
<title>還過昌陵野</title>,<text>詩逢三角每難新。可得其形未得神。不有聖人神眼力。何能形得得其眞。</text>
<title>江中遇風浪</title>,<text>風蹙驚濤起百尋。船隨波勢共浮沉。涪江何似此江險。愧我心非程子心。又捨去如斯達去斯。涪江猶有老人知。不唯定力能安命。亦悟玄微造化機。</text>
<title>自安山還到魯津。聞舟因風浪覆沒。人多溺死。感而作。</title>,<text>前舟不戒後如前。水底驚魂揔可憐。傍人莫道此江險。宦海風波其亦然。</text>
<title>道峯山</title>,<text>如人如戟又如蓮。勢似浮天又揷天。但見儀形隨處異。不知神態與時遷。</text>
<title>三五七言</title>,<text>秋風淸。秋月明。曉來睡初罷。宮漏傳五更。滿室淡白神虛明。森然寂聽無中聲。</text>
<title>次魯谷長歌行韻 自註。魯谷。李處士萬敷號。</title>,<text>天下皆明我獨矇。天下皆聦我獨聾。除是變我氣化我質。誰能超出形局中。自我別良友。索居淸凉浦。欲調聲音無律呂。欲爲方圓無䂓矩。何望顔氏樂。恐爲樊遅圃。昏昏雲霧塞鴻朦。我欲廓之無長風。光明如得日月輝。可與天地神相通。鳶飛魚躍上下察。三十六宮春融融。光陰苒苒歲將晏。帝車何事催轉漢。考亭奚歎三秀芝。董生虗下三年幔。靑山有榛濕有苓。彼美人兮眞我伴。皎皎白駒不可親。欲往從之嗟無因。如將有車又有船。越太行兮涉大川。大道自坦坦。誰其阻我前。東門雖好奈我何。哀彼市也長婆娑。貧賤任白屋。仁義有安宅。君子素其位。無入不自得。三墳五典滿架書。此中自有無窮樂。無窮樂。動以天靜以地。其惟至誠能終始。斯意與誰討。悵望南天一枕倚。一枕倚。欲見未見還一喟。</text>
<title>次李白天馬歌</title>,<text>元氣淋漓造化窟。黃河忽出神龍骨。流星尾振天髮。深藏風雲時出沒。周流遊志四極。或恐有一蹶。崑崙太行幾超越。乃御九萬凌。怳惚長風呼。飛電趨閃爍。神光噴雙鳧。來從玉兔去金烏。背上河圖光動珠。優游黃白赤道衢。擬轉閣道入淸都。時下人間九州區。此步千載無人沽。斂足獨自立。人以其形愚。乃騰奔氣軒軒。足下但見流雲飜。須臾歷地戶。瞬息經天門。九逸是騶從。八駿乃兒孫。白雲豈靑天。丘陵空崔巍。不知有峻坂。倒行何爲畏日晩。人非遺我我自遺。任他伯樂等棄之。笑殺田子方。漫用下車悲。累哉玉山禾。何關飽與飢。渴飮玉流飢瓊枝。我自閒閒不摧眉。願逢神堯一剪拂。八鑾朝日舞咸池。</text>
<title>題畫扇</title>,<text>靑靑水中草。落落巖上松。焉得携琴鶴。悠然坐此中。</text>
<title>贈江陵使君 自註。時李震休爲江陵。</title>,<text>嶺外風烟有別天。非屳何得此中緣。乘桴我未從尼父。蹈海君應覔魯連。千朶祥蓮五臺色。九秋明月鏡湖船。他時倘破塵心盡。爲訪蓬萊海上屳。</text>
<title>三五七言</title>,<text>霜空淸。虛欲明。盡性以知天。心安無所驚。羲經父傳於斯樂。彼哉任爾人間情。</text>
<title>效靑蓮體</title>,<text>秋山漠漠秋天廓。寒蟬泣罷千林閴。造化不悲人。白日如流急。院深人語寂。黯然空自立。</text>
<title>江上卽景</title>,<text>隨風帆影學雲流。怳爾南洲忽北洲。起處起來去去處。未知其尾焉知頭。</text>
<title>閒興</title>,<text>玄琴自太古。常有四時春。夜靜灘聲厲。秋澄人意新。廣野開天地。明月簡星辰。可矣淸涼浦。甘爲玉洞人。</text>
<title>月夜漫興</title>,<text>天圍大野衆星垂。月浪西流漾素秋。怳疑萬里扶桑界。銀海茫茫灝氣浮。</text>
<title>秋夜聞砧聲</title>,<text>月明霜夜夜寥寥。憭慄秋懷不自聊。征鴈惹生閨女㥘。寒衣處處急砧高。</text>
<title>栗園晩興</title>,<text>心隨流水淡。興與白雲長。隨陰移席坐。終日自淸涼。</text>
<title>到小丘望三角山</title>,<text>久不西來京洛間。天邊奇絶是何山。胡使我人離此好。玉琴寒月獨盤桓。</text>
<title>秋月照寒水</title>,<text>靑天有物自何來。一鏡昭昭明古今。其光自皎㓗。玲瓏流入寒江心。江心得此益自新。渾軆澄澈無纖累。除非聖人大胷襟。安得比之此江水。嗚呼小子爾側耳。吾將一一枚其數。始於伏羲與炎帝。備於黃帝傳小昊。顓頊受之帝嚳繼。百年粲粲堯舜禹。其流流入商周世。生知學知湯文武。更有何人繼其後。周公制禮樂。彬彬四十年。氤氳淫泳萬邦春。鳶戾天魚躍淵。其後何人集大成。大成至聖父宣王。猗歟盛哉誰比方。惟天爲大惟堯則。蕩蕩乎無能名。天地大覆幬。四時相錯行。日月照耀相代明。萬物並育不相害。道並行不相悖。小德小川流。大德大敦化。蕩蕩乎無能名。天地斯爲大。刪詩書定禮樂。述大易作春秋。丁寧訓誡意。惻怛不忍千秋憂。生而自神靈。焉不學何常師。歷數千餘載。若合符契同一䂓。嗚呼其後四聖後。乹坤寂寞長夜中。誰能力挽回蒼穹。河南何幸兩程出。千載更振皇王凮。其後何人創厥墜。功同禹孟朱文公。濂洛之水水如月。波瀾直與洙泗通。餘波注退溪。至今流吾東。流吾東。流不已。導流千古誰能洪。</text>
<title>破氷渡江</title>,<text>堤頭立馬望京師。無限江山儘絶奇。㓗布東西白紗練。澄凝上下碧琉璃。衝來寒氣難堪耳。碎破氷心僅渡之。臨此方知需坎義。需之于血險於泥。又碎破氷心艱運船。兩船相籍兩相便。先難後易因交易。賢聖之言豈不然。</text>
<title>超然臺八景</title>,<text>瞻彼雲岳山。曉月橫一抹。其魄過半長。其魂過半失。直待來旬望。復得淸輝復皎潔。人心道心消與長。正與此月同圓缺。君子善保養。不使終息滅。不滅終回復。佇見澄光上下澈。右雲岳曉月斜日掛石門。餘輝返向東。天射落景雖云好。豈如朝晝淸新色。右石門落照廣嶺日暮烽信至。年年歲歲月復日。君子持心亦如此。日新又新常如一。待人必以孚。應物必以實。人而無信其何行。譬如車無輗與軏。右廣嶺夕烽雨後玉琴洞。晴嵐橫一抹。隨時自捲舒。不與塵烟同明滅。右玉琴霽嵐廣柳十里韶光爛。枝間亂擲千片金。間關自得春風心。問爾胡不流入千門萬戶去。謾向此中空好音。右廣柳流鸎蘆林深漢水淸。中有游魚魚自樂。自樂樂無涯。此樂人誰識。春波正浩蕩。樂彼朝陽時自躍。右蘆洲游魚盤巖之水水如羅。淸流無限洗塵濁。潺潺恐未力。化作一道飛來瀑。右盤巖飛瀑風頭日暮何處聲。知是堅城閉門角。警人之心猛如虎。畏威不敢爲妄作。嗚呼我願不敢爲妄因無惡。右堅城暮角</text>
<title>別咸興判官鄭大卿 名宇柱</title>,<text>民強化遠且䧺州。望屬良才聖渥優。地近三春猶狄俗。天寒五月亦淸秋。城頭滚滚江流濶。山外茫茫海氣浮。到日試窮無盡趣。淸凮萬里樂民樓。又咸州從古號神區。百里野中千里流。萬歲橋連天共遠。樂民樓與地俱浮。看雲時惹南鄕戀。報國長懷北闕憂。重嶺阻心魂夢斷。愁學胡山定白頭。</text>
<title>別咸伯 名震休</title>,<text>吾先此地有儒功。君到須詢古老翁。至今遺澤甘棠在。文化咸稱召伯凮。</text>
<title>贈道元師</title>,<text>明生寶鏡淡無塵。爾是空人我實人。主敬莫言同本領。禪心不似道心新。</text>
<title>釋遠別離</title>,<text>遠別離。離恨長結瀟湘浦。猿聲悽斷如有訴。解道心中無限苦。虎闘生盲風。龍爭驟𥌒雨。杞國之憂何所補。胸中有懷欲訴帝。以額叩關閽者怒。齊東野言太多變。無乃誣我堯舜禹。欲往辨之路有虎。有疑終未釋千古。含怨死魂隨九疑長徘徊。彼耶斯耶何者是。飄蕩綠雲間。一去何時還。空餘血淚留江竹。黃烟白月愁空山。山崩水渴竹有絶。此恨悠悠終不滅。</text>
<title>代李太白說蜀道難</title>,<text>蜀山巉巖蜀壑斷。使人聽之驚心寒。中心有懷自不平。欲吐未吐愁千端。愁多不無寓言發。爲說人間行路難。行路之難險復險。說之之苦酸更酸。形容我欲借比體。孰若蜀山千重巒。千重萬重又千重。氣勢橫亘天中看。靑泥纔盡鳥道危。半空別是羊腸盤。靑猿莫施蹀蹀勇。黃鶴無計泠泠翰。誰言西北獨天傾。以彼方玆應一般。金輪還使犬也吠。一線誰識靑天寬。屈子何售八龍駕。穆王難馳天馬鞍。噫吁又𡃰險若此。使人當此愁盤桓。捫參歷井仰脇息。十步九坐興長嘆。嘆來我欲說此難。舌澁氣短唇喉乾。他人聞此尙咨嗟。當者豈不摧心肝。入之斯難出何易。處此奚暇心生歡。如令所守或匪親。不化豺狼應化蚖。吁嗟余美尙無恙。願言及此搖心官。休言錦城樂且安。皇輿宜早廻金鑾。錦江胡然是漢水。王壘豈可當長安。蠻風寧是漢禮樂。羗服奚比周衣冠。傳聞少帝御紫極。日月天衢雙弄丸。恃險寧爲苟安計。天下縱橫戈與干。苟安寧爲必安地。一隅未有天可汗。言之及此膽如裂。中夜耿耿余衷丹。噫吁𡃰蜀道之難難於上靑天。側身西望空汍瀾。</text>
<title>題畫扇</title>,<text>頓忘渭川興。一味近嚴光。夕陽莫好卧。不如坐朝陽。</text>
<title>聞蟬</title>,<text>遙遙何處有蟬鳴。驚殺凉心已半生。緣底借來天女杼。亂絲終日織秋聲。</text>
<title>題畫扇</title>,<text>樹斂陽心密。鳥藏淸氣眠。何得重開發。春凮正浩然。</text>
<title>余二十二時。以痘喪五歲女星英。今四十三。又以痘亦喪五歲女孟敬。恠哉。爲作一詩。以識悲懷。</title>,<text>五齡痘夭女星英。孟敬今胡痘五齡。怳爾感從心上起。宛然形在眼中行。星乎氷雪兼蘭蕙。敬也聦明儘孝誠。腸若有知應裂盡。莫聽巴峽斷猿聲。</text>
<title>贈淨彗上人</title>,<text>天河常逐斗杓奔。日月交環左右門。鏡號照魔吾已有。笛名無孔爾曾聞。眞心欲向空中得。妙理焉知實軆存。惡死樂生還樂死。却將形殼視浮雲。</text>
<title>忽思五歲死女孟敬</title>,<text>爾哭吾還哭。殃乎此酷然。遊魂已碧落。守魄亦黃泉。怳爾聲遺耳。依然面在前。殃乎何所恨。命也奈蒼天。</text>
<title>挽宗姪憲休</title>,<text>生長同鄰里。知君直若松。操持淸不濁。禀賦俊非庸。行事元無忒。文辭亦可宗。有才其奈命。餘慶定無窮。</text>
<title>詠小</title>,<text>氤氳六合氣遅遅。鳶自戾天魚躍池。萬物均含生意處。天心先發小枝。</text>
<title>春景</title>,<text>元氣淋漓亘古今。融融混混只陽陰。山山都是氤氳意。水水皆爲淸濁音。花繞嫰林千疊繡。春濃細柳萬絲金。兒童忽報新消息。雨後前溪魚躍心。又和氣融融猶未亨。化工精妙孰能形。兒童忽報新消息。雨後春光十倍靑。</text>
<title>杏林春景</title>,<text>和氣融融三月時。杏林十里景遅遅。兒童忽報新消息。生意初形雨後枝。</text>
<title>春過小皆骨</title>,<text>千里氤氳圖畫中。半空融出碧芙蓉。沉潛漸悟深長味。去歲今年自不同。</text>
<title>挽李進士 洙</title>,<text>莊盆纔叩已驚人。繼報雙龍遽會津。一法筆家聞與見。同年竹馬友兼親。霜添荊樹分枝痛。雨和梁山泣血痕。他日流巖溪上宅。寂寥風月謾傷神。又生長同隣年又同。尙思騎竹與吹葱。君胡棄我永歸去。使我獨留斯世中。又蓮花折早擬登龍。半世喪貧奈命窮。身後幸餘三寶樹。佇看花實化千叢。</text>
<title>論陽明</title>,<text>自私又自用。臆度解經書。狎賢仍侮聖。驕傲肆妄愚。</text>
<title>次朴季良韻 名思漢</title>,<text>斯民斯理古惟今。孰自爲浮孰自沉。能語下時方語上。未知陽處豈知陰。死生若已明人鬼。眞僞何難辨鐵金。倘或一絲非惻怛。此心誰信是天心。</text>
<title>雨後閒興</title>,<text>天自高明地自平。中間自有浩然行。雲邊列峀千重秀。雨後淸溪百道鳴。無象已知眞有象。有情誰信是無情。眼前時物都生意。野草油油一色靑。</text>
<title>詠自註。俗名多玉。</title>,<text>莫誇爾多玉。多玉不如糓。糓玉不須多。惟德是所勖。</text>
<title>詠鵲</title>,<text>爵爵又甲甲。爵祿不須甲。人爵爾雖尊。不如尊天爵。</text>
<title>次江漢亭韻</title>,<text>江漢西流到是阿。朝宗日夜歸心多。蹊因有樹閒成趣。水自無風怒作波。日浴春光眞錦峽。星涵秋影亦銀河。淸纓濁足隨時義。千載何人更此歌。</text>
<title>次上韻詠大灘</title>,<text>爲築不須取彼阿。下江自有穩流多。回渦盪作旋風浪。噴石飛成掛劒波。巴峽奔雷眞灧澦。龍門轉轂亦黃河。吾將捨彼歸於此。盡日閒閒皷枻歌。又爲築不須取此阿。上江亦有穩流多。山常遠世何曾汙。水自無心未始波。回棹自能窮學海。乘槎可以上銀河。吾將捨此浮於彼。一任滄浪皷枻歌。</text>
<title>過斗津</title>,<text>山自高高水自流。中間汎汎一扁舟。天遣散人閒自在。興隨山水共悠悠。</text>
<title>草芝浦。乘興下窨島。</title>,<text>蒼茫列島點天西。乘興何溪不剡溪。可笑白鷗還有意。掠過餘網拾遺魚。</text>
<title>又次江漢亭韻</title>,<text>爲居奚爾取斯阿。秪爲觀灘戒懼多。非雨非時常震。無風無日不驚波。心隨逝水朝宗海。文學星辰布列河。浩浩縱謙夫子濯。游方猶可風人歌。</text>
<title>過小丘</title>,<text>奇奇奇壯彼奇山。玉立崢嶸雲漢間。如非俗離與皆骨。誰與此山能一般。又居然一雨雨連旬。洗盡靑山一色新。誰能洗得胸中盡。不使渣留一點痕。</text>
<title>敬和水調歌頭</title>,<text>富貴不驕吝。貧賤豈窮憂。誰能窮理知命。造化與相酬。陋哉西施奇計。果矣西湖淸唳。誰若順施收。將欲窮洙泗。永作濟川舟。鴟夷子行與止盡奇謀。元非莘野耕田。猶未渭川鉤。能𧬄百年榮貴。閒泛五湖烟月。一棹儘悠悠。弄覇猶餘術。豪興滿滄洲。</text>
<title>三釜淵</title>,<text>山開野廣別乹坤。掛劒千尋石作門。眞宰備施神造化。廬山瀑布接源。</text>
<title>孤石亭</title>,<text>高高三百丈。宛在水中央。卓爾千萬古。強哉莫此強。</text>
<title>次韻</title>,<text>備得山明水亦佳。智仁之樂一時偕。耽眞不到窮源處。堪愧初心尙未諧。</text>
<title>金將軍廟</title>,<text>山下忠臣廟。悲風千古愁。烈烈當年氣。至今衝斗牛。</text>
<title>北寬亭</title>,<text>乘興登臨此壯遊。胷中萬里浩悠悠。茫茫大野隨天盡。滚滚長江與日流。寶盖獨當交會勢。楓川自古帝王州。東山略得宣尼趣。智水仁山處處優。</text>
<title>弓王基</title>,<text>中原形勢範圍洪。可見當時力量䧺。若使此人能有德。三韓應入大包容。又內能周密外恢洪。千里山河大會同。若使聖人居此地。含弘天地保無窮。</text>
<title>北寬亭</title>,<text>寶盖山光疊疊奇。江流平野勢遅遅。凄凉遼伯何年墓。寂寞弓王舊日基。野外荒城餘敗堞。山頭落日是誰碑。天公故借無窮畫。費我胸中不盡詩。</text>
<title>寶盖山</title>,<text>寶盖山光萬丈浮。洞門深鎖洞天幽。山中風景周觀盡。明日逍遙向永洲。又人間行樂揔雲浮。何似山中處處幽。白雪夜來鋪滿地。不妨看作白沙洲。</text>
<title>金水亭。次蓬萊韻。</title>,<text>南薰琴伏羲心。煕煕太古音。惟有泉明吟。茫茫初月上瑤岑。流照前江澄更深。</text>
<title>金水亭</title>,<text>別有壺天地。屳人跡杳茫。江流分野色。山勢入天光。雲壁松聲遠。烟汀鶴夢長。悠然垂釣坐。榮辱盡消亡。</text>
<title>蒼玉屛</title>,<text>蒼崖千丈削爲屛。其下深潭澈底淸。屳人舊迹今何在。漫有淸風起後生。</text>
<title>次蓬萊韻</title>,<text>山下澄光鏡面平。嵐生朝日畫圖明。隨風細雨濛濛下。沙上雙雙白鷺行。</text>
<title>哀崔泰仲辭</title>,<text>吾之道卽君道。君之心卽吾心。同心之言。其臭如蘭利斷金。擬結百年伴。終老烟霞間。君胡遽棄我。長往不思還。凄凉講磨場。寂寞金玉音。怳前後兮形與影。魂彷彿兮何處尋。</text>
<title>登新峴</title>,<text>日暖天晴無點風。春光萬里正冲融。乘興獨登新峴上。芙蓉千疊畫中濃。</text>
<title>奉贐湖南方伯之行 洪重夏</title>,<text>五十七州盡付身。吾公何以答吾君。謀思公愼方宣化。耳目聦明是長人。敎則先文刑則恤。摩之以義浴之仁。果將此道爲治本。庶見湖南一域新。又昨見樞精忽吐明。俄聞喬木有遷鸎。陳章始爲專城養。建節旋蒙刺使榮。僉曰九重憂可解。吾知十濟化偏行。口碑能刻甘棠詠。南口應流萬古聲。</text>
<title>詠磨石</title>,<text>三冬貞固是將元。雷復潛陽一點暄。河作盤渦回浪撒。車因馳駟舞衢喧。奇吟昔入銅儀譬。巧術曾經木偶捫。常運自成乹徤象。斡旋誰識極爲根。</text>
<title>依舊靑山綠樹多</title>,<text>狂風昨夜雨如注。天掀地撼江生漲。湯湯浩浩勢如雷。懷襄之勢誰能障。崩山或裂石。拔木翻平陸。船檣隨浪勢。出沒不暫息。初疑天關裂。更憂地軸轉。無乃天地復闢開。不然滄桑變潛中。不耐㓒室憂。通宵耿耿神如喪。江干消息問如何。昨日所見今何狀。曉來風雨小止息。起坐焚香心畧降。何處人語報平明。曙色淡淡初日上。驚破欝悶懷。快揭孤篷騁新望。誰知靑山與綠樹。本體宛然俱無恙。濃濃疊疊各新態。洗出靑天無盡象。山容歷歷有脉絡。樹色森森分條理。峯巒宛有篤實輝。葉實細徵元亨利。一本分作萬千枝。萬分會處終歸一。千千萬萬各異質。鑿鑿不紊同禮律。今之顯也豈有餘。昨之蔽也何曾汩。潛心密察彼何人。物各付物無些失。物自有則則難辨。形以上之方能觀。元來至觀貴微妙。至理難以麄心看。玩景何必有形枝。神遊可尋無中巒。從知衆妙聚一心。一心宛是天一團。嗚呼晦翁是我師。警我千古神心開。中宵靜坐思寂然。森然萬象生靈臺。</text>
<title>次漢陰韻</title>,<text>江勢環爲帶。山開野色多。晴雪橋邊樹。暮烟何處家。</text>
