<title>春帖 甲午</title>,<text>羲經著復卦。曾傳說湯銘。莫使今如舊。工夫在喚惺。</text>
<title>又次河覺齋韻二首</title>,<text>申城無萬戶。曲江有處士。靑天皎月來。白玉銀盤是。相國曾爲御史行。高人終老曲江亭。銀盤一片猶依舊。茅屋三間未守成。李上舍仲陽。龍宮人。作曲江亭于大竹湖上。自號曲江居士。琴書自娛。無仕進之意。時柳相永慶以御史。聞名來訪曰。君老于江湖無宦情乎。答曰。願爲申城浦萬戶。每月得銀錚盤一圓。柳歸告西厓。西厓曰。申城浦。李仲陽所居邨名。銀錚盤。卽月也。其意蓋欲居故里。弄明月耳。河覺齋沆。以詩贈之。</text>
<title>次李國敏 𣘹 武夷精舍韻</title>,<text>九曲歌中聞有靈。今看此地草堂成。平臨高下靑靑浪。晩對依微疊疊屛。有約煙霞來夢寐。無邊風月入牕櫺。三江碧處吟長句。趙倚樓如許洞庭。</text>
<title>贈泉谷主人文道歟 啓東</title>,<text>知爾平生有素心。地名泉谷卜居深。水磑處處排千斛。風箑時時動八吟。君子自能如綠竹。世人堪笑逐黃金。浩然亭上跨驢去。山簡風流卽古今。</text>
<title>題道歟家武夷九曲圖</title>,<text>武夷山水此依依。山水中間別有思。夫子已歎人不到。千秋將與子同歸。</text>
<title>次浩然亭重修韻 周愼齋之從姪怡。投紱而歸。作是亭。</title>,<text>千里滔滔一髮靑。先生於此起新亭。已敎倦鳥林間止。分付閒雲洞裏停。五世雲仍修舊閣。四州冠蓋倚蒼屛。此間不可無吾句。長笛聲中數點星。</text>
<title>南江舟中。贈金晦甫 文粹 六言。</title>,<text>斜陽矗石津頭。擧扇忽開靑眸。物色江山如畫。聲名李郭同舟。尋眞物外蹤跡。看竹古人風流。試問煙波歸帆。何如苦海浮浮。</text>
<title>贈別李上舍伯玉 天球○安城人。同庚同年。</title>,<text>金花落欲盡。江閣五更深。剩馥留三日。新詩動八吟。心如丹炳炳。髮有白森森。商嶺生芝草。何須戀故岑。</text>
<title>河陽金戚善兼 達萬 家。次錦浦亭舊韻。</title>,<text>君家舊迹說江亭。江上風光値踏靑。會待層欄重建日。一罇相賀醉還醒。</text>
<title>詠善兼庭梅 主人移梅於昌寧。</title>,<text>夏山春色錦江來。經歲寒葩數點開。佇看他時調鼎鼐。須從墻角好栽培。</text>
<title>地主李侯壽母日。仍行養老禮。盛饗邑人上下男女二百老。迎送俱致敬。遍貺鳩杖。以詩奉賀。</title>,<text>家之孝子國忠臣。別有人間有脚春。竹柏庭前開盛宴。絃歌席上賀昌辰。板輿南北三千里。鳩杖東西二百人。善地寧親誰所賜。嵩呼萬歲向楓宸。</text>
<title>梅谷寓舍。河澤宗，澤善，汝進三老來訪。臨別謝贈。</title>,<text>松篁深處石爲門。雨後山光碧滿茵。浮世悲歡新白髮。他鄕歌曲舊陽春。何須方丈千年藥。便作商顔四老人。莫怪臨分重把袂。衰齡離別易傷神。長夏山邨晝掩門。石榴花落竹皮茵。身同病渴文園客。跡似登樓錦水春。頭白敢言天下事。眼靑猶喜意中人。只堪暮境論交道。不是文章自有神。</text>
<title>酬河履甫 一浩</title>,<text>多謝吟筇遠叩門。家中長物草爲茵。旣非其禮牀前拜。惡是何言座上春。齒德豈云先進者。文章可畏後生人。重堂盛宴猶如昨。韓馬存亡更愴神。</text>
<title>酬河亨甫</title>,<text>窩名訪我席爲門。收聚殘紅作醉茵。元白筒中皆秀句。峩洋絃上復陽春。居無俗物看孤竹。客有幽期待可人。下筆每看鸞鳳起。吟魂疑是祭詩神。</text>
<title>酬河澤善</title>,<text>顔似桃花齒似兒。丈夫八十未爲衰。待他石鼎丹成日。看了蓬萊水淺時。自古丹邱多羽客。與吾方丈有前期。江南春到梅先發。千里慇懃寄一枝。</text>
<title>酬河汝進</title>,<text>燁燁靈芝落落松。兩人於此托幽悰。淸香商洛山中茁。翠蓋徂徠嶺上濃。支廈材成方鬱鬱。延年功大自茸茸。南昌屳子東園老。今古人間爾與儂。</text>
<title>澤善以竹爲號。汝進以松爲號。余在商號芝。在晉號梅。遂以四物各賦。</title>,<text>卻嫌松柏太遲遲。旬日干天貫四時。種樹買山尤絶處。丹邱屳子得兼之。右竹初從二尺入雲間。獨立亭亭傲歲寒。可作商家舟楫用。寧爲秦帝大夫官。右松一夜春山小雨過。白雲深處晩香多。劉郞家事何關汝。恰好松間浩浩歌。右芝能先造化奪天功。春在玄冬白雪中。閒對玉人仍讀易。四牕明月一簷風。右梅</text>
<title>酬澤善多字韻</title>,<text>望八同調世豈多。百年喬木本支多。金籝書笈誰優劣。澤善家中福善多。今宵明月一年多。竹塢淸風客思多。數幅花牋何處落。江南雲樹夢魂多。</text>
<title>酬汝進</title>,<text>朝來有約暮還山。十載相逢五夜闌。衰境莫如同志好。他鄕况復古情歡。譙樓畫角休三弄。客舍驪駒亦一難。安得此身如海月。隨君處處共團圝。</text>
<title>酬聖休</title>,<text>揮麈高談劇一場。含情江樹又斜陽。耆英盛會時難再。白晳芳年理豈常。處處留連多款款。悠悠生死任蒼蒼。歸來山閣三更晩。楚調何人和羽商。</text>
<title>酬澤善竹芝吟</title>,<text>南山有竹北山芝。植物之中兩絶奇。氣得中和屳侶藥。姿挺淸直俗人醫。佳祥世道亨來應。勁節天時寒後知。瓊草琅玕堪把贈。別來千里寄相思。</text>
<title>酬汝進松芝吟</title>,<text>鏡中華髮不須悲。胷裏雄心尙未衰。咀嚼玄光春暮後。攀援翠蓋歲寒時。昂霄奇氣幽人讚。辟穀神功隱士詩。莫謂荒山凡草木。將支大廈救民飢。</text>
<title>竹溪月夜。贈主人趙文然 炅。</title>,<text>知君負笈靑山寺。兀兀竆年欲有爲。他石攻來成美玉。吾心求處有餘師。崆峒傑句三光耀。山海高風萬古吹。拭目相看論古道。滿牕明月是襟期。</text>
<title>三五七言</title>,<text>三尺琴。一團心。紅顔留不住。白髮掃還侵。鞭去紫鸞碧落外。手摘靑桃玄圃潯。</text>
<title>與諸益會洛嵒煑花。次曺頤齋韻。</title>,<text>竹間寃血在湘川。枝上啼痕又杜鵑。折竹採花猶可惜。山僧且莫急相煎。山僧燃竹煑花。</text>
<title>寄金翊章</title>,<text>憶昨祗園煑杜鵑。一筵談笑夢依然。西遊翰墨前塵事。南到江山現世緣。春服已成風詠興。良朋相別樹雲篇。天臺物色知依舊。早晩煙波共釣船。</text>
<title>次族弟思仲元朝自戒</title>,<text>盥手前賢是日箴。聽雞端坐至橫參。此心安得常如一。終始能無德二三。天上羲和迭促鞭。人間節序又新年。湯盤至訓吾何得。對影燈前自赧然。</text>
<title>和鄭成仲二首</title>,<text>良友三年別。相逢白髮生。風塵惟數輩。遲暮自多情。花石天臺勝。淵源洛水明。往來尋舊約。鷗鷺慣相迎。攀花曾惜別。帶雨此歡迎。舊客人人好。新詩句句淸。魯狂三月暮。晉逸四難幷。遊興無時已。靑龍頂上行。</text>
<title>又次贈別韻二首</title>,<text>忽忽浮萍會。蕭蕭白髮年。聽君流水曲。坐此綠陰筵。遊興靑山外。離歌古院前。江風不解意。歸棹吹飄然。幽人不浪出。雲樹隔年年。偶挽煙霞袂。重開翰墨筵。牙琴斜日裏。謝屐碧山前。別恨牽遊興。高樓倍悵然。</text>
<title>龍頭亭。伏次黔澗先祖韻。寄主人。</title>,<text>聞名不見人。亭子水之濱。詩篇入莊誦。孔李解相親。</text>
<title>又次具柏潭韻</title>,<text>卧龍矯首大江邊。海蜃浮光小洞天。聞說平泉花石好。明朝料理木蘭船。羣屳歸去白雲邊。飛閣流丹水底天。明月淸風無限景。至今虛載釣魚船。</text>
<title>鳳棲梧 一名蝶戀花 詠石榴花</title>,<text>人自惜春春自去。牕外榴花。也解留春住。紅錦粧成花處女。夜來更染臙脂雨。屳舘玉堂春已暮。大夏移來。尙帶朱明序。旭日照人雙眼擧。山翁不患昏昏霧。</text>
<title>次蔡仲章  啞聾窩韻</title>,<text>知君歸計在藏蹤。不獨山中爲過冬。世態雲翻還雨覆。窩名地啞又天聾。山家自有三花發。林逕那無二仲從。客裏相逢仍叙別。羲輪不覺到高舂。浮萍身世本無蹤。邂逅他鄕一日冬。濁世君如蕭坦啞。亂邦吾作杜微聾。靑山茅屋堪棲息。白髮藜筇欲往從。約伴祇園紅葉裏。去看飛瀑月中舂。</text>
<title>又次別韻</title>,<text>靑山一面絶三勤。耕鑿生涯總聖恩。松下茯苓供歲儉。爐中宿火作春溫。堂前種竹醫人俗。月裏烹茶洗睡昏。我欲携家從此逝。休將鐵鎖鎖山門。</text>
<title>幽居卽事 幷序</title>,<text>鶴林玉露曰。農圃家風。漁樵樂事。唐人絶句。模寫精矣。余摘十首題壁間。每菜羹豆飯。啜苦茗一杯。偃卧松牕竹榻間。令兒童吟誦數過。勝如吹竹彈絲。余亦掛壁長吟以自樂焉。十子新詩畫有聲。邨庄物色自分明。三盃濁酒因長詠。庭樹秋風策策鳴。</text>
<title>續耆英會錄詩 己巳</title>,<text>天敎化斧斲成臺。萬玉叢中錦繡堆。明月淸風依舊地。耆英高會甲辰來。</text>
<title>用前韻。謝地主李侯 埉。○送樂工米魚以助遊興</title>,<text>秋滿湖山月滿臺。朱絃響落白雲堆。長腰巨口人人飽。絶勝江州送酒來。</text>
<title>醉下江院。用前韻。</title>,<text>月裏扶筇下古臺。凉飈乍起浪成堆。高吟仰視靑天坐。二水三山次第來。</text>
<title>追次權淸臺甲辰泛舟韻</title>,<text>耆英盛會昔何年。正値靑龍雨後天。鶴髮韶顔商嶺皓。桃花流水武陵船。興高風月三盃酒。慕切羹墻八座賢。好是今人追古事。續題詩軸復光前。</text>
<title>沙伐國。次古人詩。</title>,<text>十葉瓠祥一夢長。楊山異氣屬伊陽。魚鹽洛水通漕路。雉堞屛岑有戰場。玉帶神人莊叟蝶。金城公子穀生羊。地靈人傑生今古。莫道沙梁是僻鄕。</text>
<title>送郭季幹詩 幷序</title>,<text>季幹文士也。少有逸志。今秋忽投筆。自京城來見余。余曰。何傷乎。亦各從其所好已。忠翼公神功韙烈。震動夷夏。君家忠孝大節。豈獨文章一藝乎。季幹勖哉。紅衣以後奇男子。投筆起來又棄繻。華嶽峯尖秋隼氣。滄溟水闊大鵬圖。城中作客今年暮。江介論心片月孤。天上神屳皆識字。戎垣不可無書厨。</text>
<title>苞山郭氏五夫人壽宴詩</title>,<text>三綱輝映地。五母樂康筵。壽酒皆宗黨。斑衣亦暮年。北堂鄰共接。南斗照應偏。爲賦南陔什。遙從孝里傳。</text>
<title>次族姪錫魯東巖韻。贈族姪懶窩主人文遠。三首</title>,<text>丈夫成底事。童習白紛紛。去作山中客。自怡隴上雲。休歌芝草曲。或恐世人聞。巢許可同調。尙留千載芬。人說招提勝。招提絶世紛。三花浮白樹。一穗泛黃雲。野人多伎倆。山僧不見聞。茅屋自蕭灑。蓮榻豈芳芬。君如生漢世。上必賜推成。早抱立揚志。久懷邱壑情。炳燭豈無益。能詩新有聲。恭惟先聖訓。每使是心明。</text>
<title>次贈南章彥西行見訪</title>,<text>梅堂一別後。芝宇十年違。忽遇雲卿面。高揚太白眉。江山如畫處。樓閣把盃宜。怊悵驪駒曲。秋風嫋嫋時。</text>
<title>沙伐谷路中聯句 進退格</title>,<text>洞口經秋葉落初。行尋沙伐渡溪西。成仲。 豐碑十尺將軍墓。流水千年故國墟。儂。 荒逕草深眠鹿卧。斷垣松老暮鵶啼。希文。 夕陽佳色猶餘興。更訪漁軒竹下廬。成仲。</text>
<title>次李思仲，曺希文兩老韻。</title>,<text>白鹿遊蹤又習家。名區隨處輒經過。行尋林下三三逕。歸對籬邊九九花。垂老詩篇猶慷慨。逢秋生計自豪奢。從今我輩無他事。會面頻頻喫飯加。德操曾詣德公家。元直同來一夜過。時物園收赤虬卵。佳肴盤乏水梭花。江山正値三秋晩。風月能當萬戶奢。林下逍遙非寂寞。何須分外一毫加。二妙同尋小隱家。山林生色好人過。留詩莫恨非摩詰。題壁還殊訪浣花。野客興多遊汗漫。騷人癡絶譽蘭奢。欲携藜杖源源去。其柰霜毛日日加。自飯黃牛類闔家。思麾魯使莫相過。門前舊客皆靑眼。鏡裏新毛摠雪花。君子何羞原憲病。古人猶惡馬融奢。三章淇澳君曾讀。切磋工夫老可加。</text>
<title>又用前韻。寄兩老求和。</title>,<text>靑山影裏白茅家。肯許吾堂俗子過。客伴老儒烹瓠葉。兒携古硯泛松花。已經菜色連年儉。纔得豚蹄所欲奢。今我良辰如不樂。無情白髮任君加。昔我螢牕誦百家。騷壇闊步莫能過。生憎岸柳隨風絮。自愛園葵向日花。明德必須先格致。誠身亦在戒紛奢。秋風老驥思千里。伯樂何時翦拂加。分外功名於自家。浮雲一點太虛過。修身功愧曾三省。判事才非古五花。肉食當爲廊廟慮。冰淸還怪服輿奢。回看洛水龍閒卧。幾日都門以手加。籬菊初苞伯子家。雲巢好伴茗奴過。吾詩若燒爐中葉。爾唾能成石上花。陋巷春風顔氏樂。滿園秋露季倫奢。人間貧富何須念。炳燭工夫是可加。時時隔水望西家。底事經冬不我過。雪後幾思乘興棹。客來非惜滿庭花。知人㝡貴知心事。好德誰如好子奢。他日相逢將有問。須於矜字着工加。曲几明牕舊主家。靑蓮繡虎倘重過。梅邊屳鶴眠蘿月。竹裏樵靑煎石花。縱乏詩箋鸞樣好。剩收秋葉錦紋奢。慇懃入室謀諸婦。佳客來時妙饌加。</text>
<title>鄭統相 起龍 延諡席。示本孫。</title>,<text>手把龍泉掃蜑蠻。功存沙伐舊江山。靑冥勳業金垂帶。大樹風聲鐵作冠。昭代易名三大字。新齋將事六屳官。筵前病客偏多感。門老宗孫獨未看。</text>
<title>易安堂十四景</title>,<text>雪裏淸高節。花中巢許倫。晴牕薰沐日。蓓蕾摠精神。右書牕早梅箇箇坤裳色。叢叢韓圃香。無人送酒盃。掇蘂過重陽。右花階晩菊老樹如靑蓋。驕陽不得侵。居家好爲善。庭畔有槐陰。右栗麓淸陰扶疎君子樹。正直大人枝。仰念栽培意。願言將大之。右松亭黛色 王考手植何人合七寶。夜夜掛高峯。我欲隨蟾兔。同遊翠色宮。右屛岑秋月一夜南山色。天台萬丈峯。杜鵑啼不盡。點點枝間紅。右息嶂春花旭日照高岡。梧桐憶鳳凰。詩人宜撰頌。西伯在東方。右鳳臺朝陽忽値十旬暵。欣逢三日霖。縮龍在何處。睠彼南溪潯。右龍溪暮雨魯若無君子。豈聞絃誦聲。傷心書帶草。不復山前生。右魯塾絃歌郡角何來耳。山家恐不深。寒潮隨月上。半雜蜂衙音。右商衙鼓角農郊向百里。耕者幾千人。但願終身飽。不知計在春。右廣野農夫漠漠東西路。行行十二時。促鞭人底事。高枕我無爲。右大路行人百年無海寇。每日報平安。雖在低薪夕。寧忘立馬看。右花開夕烽羲輪將向夕。天地滿紅光。西嶽高無敵。蒼蒼拱太陽。右露陰落照</text>
<title>題楊處士詩集後 幷序</title>,<text>昌寧楊進士晅號漁村。有大節。善屬句。廢朝時。中司馬。聞廢母議作。不應榜而歸。時淸後復遊京師。屢入薦剡。丙子爲倡義將。講和後。與友人沈譔同約不赴擧。沈後登第。公以詩謝曰。江梅初爲歲寒栽。誰料春來尙未開。桃李卽今方張玉。愧將寒瘦妬蜂媒。又曰。南嶺孤松萬丈長。坐看終日託心腸。傍人莫道槐黃近。萬曆年中老上庠。鄭桐溪嘗見其詩文曰此吾之師表也。許眉叟撰其行狀。乙丑冬。余偶過昌州。公之玄孫復春甫。出示其遺文三卷。讀之令人起敬。其孤忠大節。不讓於當時諸賢。而至今無尊尙褒忠之事。可慨也已。南州章甫多以詩詠之。遂續其韻。以寓景仰之懷云爾。百年遺迹一江區。梅在園中鶴在湖。自古西山歸隱士。至今滄海有遺珠。戎壇學舍名長在。桐老眉翁筆不孤。滿篋淸詩增擊節。傍人莫道我非夫。</text>
<title>敬次晦齋先生正心丹韻</title>,<text>頂針三日得良醫。滿室淸香似肉芝。晦老神方爲準的。諸君須作小由基。病在當人當自醫。何須赤箭與靑芝。神明舍裏空心服。數仞宮墻在此基。</text>
<title>銀城遇洪文伯 冕○忠州人</title>,<text>邨邨紅葉裏。步步夕陽中。疑入丹邱境。果逢白髮翁。顔醺千日酒。手把紫芝叢。作伴松雲下。高攀綺皓風。</text>
<title>謝高濟仲 命楫，大用 命來。兩老來訪。</title>,<text>二仲同來處。深林葉落時。長相思幾歲。不忍別臨歧。復做黌堂話。仍成法界期。殘年吾輩事。遊賞外何爲。</text>
<title>夜卧</title>,<text>歲月堂堂去。形容漸漸衰。經冬無一句。入夜有千思。未展排風翮。空摧伏櫪眉。俄然天欲曙。可以振衣時。</text>
<title>叙別宗人咸寧使君 廷瑗</title>,<text>百代之親自一身。同人厚誼見天眞。仁聲五考連居上。惠政三州總號神。夜月琴軒歡未足。春風鳧舃挽無因。一麾知有南來日。商嶺重尋此老人。</text>
<title>次金仲直壽席韻</title>,<text>絲管紛紛洞裏天。彩衣交舞白華筵。政當擊壤康衢日。將近垂綸渭水年。筆下風煙詩尙健。頭邊黑白髮猶宣。佇待明朝山雨歇。對酌淸軒醉兀然。</text>
<title>飛鳳菴。次族姪錫喆韻。</title>,<text>第一屳岑勢若飛。白雲深處有禪扉。奉先邱老松楸木。遯世身披薜荔衣。天外雨收聞瀑大。山中春盡見花稀。緬懷商嶺雙雙鳳。羽翼功成惠好歸。</text>
<title>酒席。次勉叟 緯經 韻。</title>,<text>雨後泉流拕白紳。淸和時節綠陰新。衰年拋棄人間事。麗景留連物外身。山勢猶如飛鳳翼。歌聲已斷紫芝春。歸來落落長松下。彈罷瑤棊勸酒頻。</text>
<title>又次文遠韻</title>,<text>飄然歸袂落花春。山雨廉纖解挽人。但願殘年無恙在。名區隨處盍簪頻。</text>
<title>次文遠韻。贈趙華卿 榮九。○漢陽人</title>,<text>世間名利付苓通。千仞岡頭御八風。泛泛桃花流不盡。渾疑三月武陵紅。</text>
<title>客居書懷</title>,<text>槐陰舂枕午雞喈。酒力初醒望眼揩。春困多多何處賣。羈愁疊疊有誰埋。山前顚木方生榦。風外狂花自絶荄。貴客名流無與接。元非秦子坐西齋。</text>
<title>梅嶽書堂夜飮</title>,<text>淸巖院裏酌流霞。梅嶽樓頭醉月華。林下故人邛竹杖。山中別味水梭花。吟來豈有三千首。行處猶多十二窩。淸夜倏然思羽化。乘雲共上玉皇家。</text>
<title>次洪伯旭韻</title>,<text>勝地携佳客。高樓續舊遊。吟筇無遠近。詩料有春秋。調古同巴唱。詞工異楚優。罇醪誰號箒。別路未除愁。</text>
<title>次鄭仲茂韻</title>,<text>閒把屳山九節筇。愛看秋水綠芙蓉。他時通德門前路。擬訪人間瘦鶴容。</text>
<title>合江亭。次主人金上舍景涵韻。</title>,<text>名區㝡說合江灣。臺閣岹嶢翠黛間。秋序已彈金井葉。詩情高聳玉樓山。東坡舊跡前賢繼。天啓遺風此日還。座上豪眉羅八字。人言四皓自商顔。</text>
<title>乘月泛舟。次曺希文韻。</title>,<text>壁月蒼蒼萬頃波。蓬牕促膝夜如何。百東坡後憑虛興。醉舞風前我亦多。人間日月逝如波。今我良宵不樂何。詞客滿船歌且舞。吹簫赤壁較誰多。</text>
<title>贈金景洽 六言</title>,<text>江聲一夜東流。賢躅古今長留。二水三山勝地。淸風明月新秋。東南八耋耆老。詩酒一旬遨遊。濯足淸川萬里。了無千古閒愁。</text>
<title>追和李知事 山斗 畫像韻</title>,<text>圖上蒼顔覲兩宮。一時恩渥耀天東。漢庭帛璧申公幣。殷室丹靑傅說容。影帖敕還虛白室。屳人相對妙高峯。遙瞻鶴駕山頭月。宛是先生灑落胷。</text>
<title>趙文然鑿蓮塘構茅亭。名靜默齋。遂次其韻。</title>,<text>忠毅雲孫有可人。平泉遺業護陽濱。梅梢臘近舒紅早。蓮沼源淸漾綠新。堂揭張生能靜默。詩如王子自深淳。園中雪景逍遙遍。疑入瀛洲踏玉塵。</text>
<title>過陜川竹竹碑 百濟攻大倻。倻守金品釋死。其子竹竹誓其名幷死。</title>,<text>忠孝雙全一死輕。男兒非獨楚申鳴。大倻城外靑靑竹。尙帶千秋節士名。</text>
<title>次金景涵洛東泛月續遊詩 庚寅</title>,<text>江漢名區渭洛灣。赤城霞氣冪波間。雄心魏走吳強水。逸興風來月出山。商嶺先生方盛會。元豐歲月適重還。分留物色歸吾輩。三日流連笑解顔。桃花落盡武陵灣。惟有苔磯淸渭間。川號洛伊龜出水。坊名梧竹鳳飛山。雪堂人去屳蹤遠。玄黓秋生桂棹還。不待前邨沽白酒。如丹石色上人顔。屳槎怳惚入銀灣。桂影婆娑島嶼間。白舫一雙馳水馬。丹霞萬疊倚屛山。將驂鸞鳳天邊去。擬喚喬松席上還。夜半滄江聞觱篥。劃然長嘯一怡顔。驪龍明月映江灣。半入騷人牙頰間。浮水魚鹽何處舶。連雲雉堞善州山。靑帘影裏人醒醉。白石津頭鷁往還。復有丹邱霞佩客。穿魚換酒作歡顔。</text>
<title>伏次黔澗先祖泛月錄戌字</title>,<text>天啓龍集戌。上洛屳游日。羣賢滿一座。古事今可軼。江山是名區。人物皆第一。况復多耆英。玆會亦眞率。吾祖臯比席。諸客長杠筆。鄕鄰集少長。道義如膠桼。東山霽月出。佳期不可失。移筇上木蘭。琉璃相蕩潏。玉簫何須吹。風前聞觱篥。江天夜何其。蓬牕初促膝。吾道付滄洲。諸儒老蓬篳。何如浴沂水。冠童携六七。長江自無竆。浮生何太疾。所以古今人。恨無長生術。塵埃百丈裏。志願何由畢。前賢泛秋月。勝迹宜追述。靑山綠水中。四美二難悉。佳肴有魚丙。淸詩數白乙。風光佳可賞。干支何足詰。譬如九老會。我爲第二吉。香山九老會。吉旼八十八爲第二。吾亦此座居二。</text>
<title>齋舍養老宴。次文遠韻。幷序</title>,<text>今年秋。自上特降優老之典。余以布衣。至從二品。長川族人。設酌於齋舍。三日大宴。又於翰洞香菴孤峯。累日設宴。水陸具備。圓方充溢。談笑亹亹。情意眷眷。眞暮境樂事。此莫非壽考吾王。推恩同樂。北望稽首感泣而已。頂玉腰金遍海東。吾君除爵信無竆。應知萬曆苴弧宿。今照三韓析木穹。百代之親多厚意。同人于野設芳醲。嵬嵬聖恩人咸戴。若奏薰絃萬古風。</text>
<title>次鄭幼泉 達源 淸溪山韻</title>,<text>山中秋似畫。幽人謇獨留。鬢髮何蒼蒼。歲月空悠悠。康成丈人行。子眞隱者流。蒼松爲友于。短詠無人酬。文莊之耳孫。所以德優優。父兄祿以世。子弟藝爲遊。聞說淸溪山。突兀如蓬邱。乾坤容我輩。浪跡誰能尤。緩步欲代騎。足繭堪可憂。靑田萬年鶴。獨立無與儔。何處鳴鳩玉。欲從嗟末由。秀句稱鷓鴣。虛名愧倚樓。相逢一貫堂。秋月滿汀洲。齒德似君者。須向古人求。</text>
<title>謝野人饋江魚</title>,<text>雨脚前宵似亂麻。寒厨物色苦顔多。山翁彈鋏經年卧。野客穿魚趁曉過。白雪膾飛因起坐。紅蓮飯熟且吟哦。莫言今俗難回古。養老誠心是可嘉。</text>
<title>病中勉兒曹</title>,<text>乃祖爲家長。八十無貽謨。眼前三子夭。膝下七兒孤。璞玉人誰琢。良田草自蕪。詩書須着力。歲月隙中駒。</text>
<title>睡起吟</title>,<text>草堂春睡起。朝日滿牕紅。直向吾心照。高臨大海東。</text>
<title>病中示諸孫</title>,<text>我病無良藥。莫求龍齒湯。汝曹讀書夜。二竪去膏肓。</text>
<title>魯東塾會中。謹和乙巳詩軸中韻。幷序</title>,<text>先考遺藳曰。今年閏月。息山翁疾篤。移寓書塾。吾兄弟及吳致重，全君源，成而淨。留次傍舍。因見復常。堂中稱慶。持酒作詩。先考詩曰。斯文戹運賴天收。齊會黌堂辦勝遊。各把一盃祈百歲。座上春風日淹留。先生和曰。風煙自在一堂收。人事蹉跎感舊遊。座上已多新項領。還知此世等閒留。不肖遭毒慽後。因成消渴之症。凉生後始有差勢。洞中諸人。設酌爲賀。以續前事。惟我不佞。何可承當乎。全淳甫誦傳先生詩。余亦謄出先考遺詩。相與奉次。感泣以書。昨夜秋風病氣收。黌堂丈席憶前遊。父師明訓皆虛負。只恨餘生尙久留。</text>
<title>釣魚歌 幷序</title>,<text>余病卧邀醫治之。一日醫將向釣磯。余問何以釣魚爲。曰釣魚之利多矣。余曰有何利。曰釣而得魚利也。終日緘口。不言人是非。亦非利乎。余作而歎曰。君之利不在釣魚。而在於緘口。此言足以醫俗也。因述其意。作此詩。垂釣滄浪客。自言身世閒。蘆花明月裏。蒲柳晴沙間。白髮磻溪水。淸風七里灘。苔磯鷗鷺狎。塵世是非刪。不必池中活。何須濠上觀。漁歌三兩曲。春夜五更闌。肝膽傾何易。樞機愼㝡難。金人緘口戒。只在手中竿。</text>
<title>奉翫東史提綱</title>,<text>不觀東國史。何異面墻人。千古興亡事。瞭然如隔晨。</text>
<title>檀君</title>,<text>唐堯甲辰歲。開國妙香山。朝日鮮明色。流傳浿漢間。</text>
<title>箕子</title>,<text>未有朝周事。何爲麥穗歌。居民頌聖德。浿水比黃河。</text>
<title>新羅 朴氏南海王。以昔脫解爲婿而傳國。昔氏助賁王。以金味雛爲婿而傳國。</title>,<text>舅甥相繼縱云賢。豈似唐虞聖聖傳。麗濟先亡金氏後。只緣俗厚祚能延。</text>
<title>高句麗 扶餘王解夫婁老而無子。得小兒於鯤淵大石下。金色鼃形。喜而養之。名曰金鼃。金鼃娶河伯女。生子朱蒙。英偉有勇。諸兄弟忌其能欲殺之。朱蒙逃至淹㴲水。魚鼈成橋。乃得渡。都沸流上。國號高句麗。</title>,<text>有氣團團自碧霄。江中魚鼈作浮橋。可憐九百年宗社。八十將軍滅一朝。</text>
<title>百濟 高句麗王朱蒙次子溫祚都慰禮城。國號百濟。至義慈王時。有鬼入宮大呼百濟亡。卽入地。王使人掘之。得一龜。背有文曰百濟同月輪。新羅如月新。蓋同月輪者。已滿而虧也。如月新者。未滿而盈也。</title>,<text>系同句麗出扶餘。十濟初來慰禮居。石上孤松何處去。金龜背上月輪虛。</text>
<title>沙伐 洛水伊水之合流處。有沙伐谷。新羅伐休王時。分封阿達羅王之昆弟。爲州主郡主。沙伐卽其一也。至沾解王時。伐而滅之。沙伐王墓。有三層石㙮。又有一雙玉盃。載醴泉地誌。故詩末句說甘泉。</title>,<text>沙伐遺墟步石苔。滿山松柏杜鵑哀。羅王苗裔風前葉。昔氏圭桐劫後灰。尙有荒城三丈㙮。誰傳古墓一雙盃。同時興廢俱無迹。惟見甘泉入洛來。</text>
<title>高麗 神僧道詵至松嶽。歎曰此地必出聖人。及王建生。紫氣繞室。唐商王昌瑾。手持尺鏡。懸市壁。其文曰三水中四維下。上帝降子於辰馬。先操雞後搏鴨。巳年中二龍見。一則藏身靑木中。一則現形黑金東。解之者曰。辰馬者辰韓馬韓也。靑木松也。謂松嶽可以爲君主也。黑金鐵也。今所都鐵原之謂也。操雞搏鴨者。先得雞林。後收鴨綠之意也。麗王答甄萱書曰。酉年陽月。忽焉交兵。</title>,<text>神僧來告聖人生。市壁誰懸古鏡明。鴨後雞先成伯業。山高水麗建邦名。八關十寺維崇佛。陽月酉年但用兵。鵠嶺靑松凋落盡。蔥蔥佳氣漢陽城。</text>
<title>昔于老 于老。新羅人。討滅甘文國。沙梁部倭使葛耶古聘新羅。于老戲言曰。早晩以汝王爲塩奴。王妃爲爨婢。倭主聞而怒之。興兵入冦。于老以爲由己致冦。單騎赴倭軍。倭積薪燒之。後倭使來。于老之妻請私饗。因醉焚之。木齋彙纂曰。新羅君臣有四失。</title>,<text>兩國平來一語驕。長身八尺燒如毛。君臣不識交鄰義。靑史難逃四失嘲。</text>
<title>崔公致遠 崔公沙梁部人。十二入唐。十八登第。文章動中華。東還隱伽倻山。</title>,<text>雞林東部是沙梁。生長孤雲尙有鄕。想像詩魂今尙在。屳蹤何處去彷徨。</text>
