<title>除夜</title>,<text>國步危如線。竆陰逼歲除。孤臣渾不寐。倚壁聽晨雞。</text>
<title>挽人</title>,<text>雪榻交情四十年。晩來雲路亦相先。議成廊廟安危在。身閱艱虞寵辱全。骯髒豈堪親俗子。行藏未肯並時賢。承顔慣見怡愉色。養志仍登陸海鮮。泉下倘能供此職。江干不復見歸輧。哀詞詎盡平生事。留待無私太史篇。</text>
<title>挽人</title>,<text>衰年世事日凄然。忽復驚心旅櫬旋。文武全才廊廟具。箕裘緖業櫱冰傳。受知雖晩誰軒輊。委寄方專且鼎鉉。惆悵西門無鎖鑰。哭君非但哭情偏。昇平別後阻鵷班。白首重來愧滿顔。世事不堪開口笑。羨君歸去臥靑山。</text>
<title>挽人</title>,<text>壇宇堂堂眞丈夫。詩書弓馬應時須。死生許國心如石。慷慨臨戎膽亦麤。尺劒霜寒憑壯氣。流丸曉語委長圖。干戈未定君先逝。老我長懷倘會無。</text>
<title>挽朴瑠</title>,<text>吾友家零落。孤兒賦命屯。門闌須倚藉。女壻喜淳眞。席上香猶在。人間迹已陳。那堪題挽恨。連歲哭慈親。</text>
<title>挽尹正辟</title>,<text>中年此別足悲傷。况見阿翁病在床。已向人間拋萬事。那堪膝下哭三喪。精靈僾僾君應視。天道茫茫孰主張。聞說白眉遊藝苑。肯敎文采轉荒凉。</text>
<title>挽吳慶</title>,<text>古貌頹然又古心。八旬鄕黨敬爲深。思湖門戶何人在。哀挽題來淚滿襟。</text>
<title>挽人</title>,<text>愛君心地絶關防。少日相從白戰塲。庚戌年中同進士。鄕賢祠裏御元方。至今隨處俱陳跡。話舊那堪獨斷腸。浮世誰能無此別。北堂回首淚淋浪。</text>
<title>挽裵亨遠</title>,<text>冠蓋聯翩亦任鄕。誰能高擧是非場。不曾有口干時事。是以無名掛薦章。五十九年聊用拙。庚申正月遽云亡。重泉好逐同心去。世路紛然倘或忘。</text>
<title>挽任孝敏</title>,<text>聞道任公子。全歸尙黑頭。南遷從伯氏。北望遠狐丘。幼婦長銷骨。稺兒不解愁。家風孝友在。泉裏恨應休。</text>
<title>挽鄭仁龍</title>,<text>吾年三十九。浮世幾噓嚱。太半從泉別。由來似子稀。兩家人失主。三世鬼無歸。欲說前頭事。令人淚滿衣。</text>
<title>挽李上舍 澤龍</title>,<text>鬱鬱高陽里。翹然席上珍。纔臨弱冠日。已似老成人。鸎谷初垂翅。龍門未脫鱗。含悲寫苦語。不獨爲私親。</text>
<title>挽河瓘</title>,<text>十年存歿再嗚呼。又向新阡哭病吾。會待門楣歸謝壻。那堪肺渴失敦夫。三喪無主一孀婦。百世傳家兩歲孤。夭壽元知俱是夢。念君心事便長吁。</text>
<title>挽李惟訓</title>,<text>老厭交遊冷。思從野老親。亦多少日舊。甚愛丈夫眞。與物心無競。相逢酒有醇。平生談笑處。惆悵迹空陳。</text>
<title>挽李景一</title>,<text>瘦似伯仁無査滓。詩如東野吐奇芬。祗今蕪絶西湖路。誰把芳罇酹古墳。</text>
<title>代挽</title>,<text>久客仍相倚。田家興味長。醇醪當沆瀣。寒葅壓膏粱。白首重泉別。秋原一炷香。林烏在屋上。啼血使人傷。</text>
<title>代挽</title>,<text>誰言七十壽。一夢未爲長。身世辭刀筆。生涯饒稻粱。可憐門戶彩。贏得姓名香。哀挽來題遍。何人最慟傷。</text>
<title>挽婦人</title>,<text>相公居寵任淸貧。治內今傳有婦人。甔石累空安素履。包苴不到敬書紳。猿腸欲斷仍成疾。馬鬣新開已戒辰。惆悵九原埋玉骨。鏡奩無復掃凝塵。</text>
<title>挽婦人</title>,<text>奩鏡無顔色。韶光一夢驚。稺兒那解哭。隣婦亦傷情。莊叟齊修短。蘭亭大死生。誰能推此理。攔道失呑聲。</text>
<title>挽柳同知 雲</title>,<text>孝子三人養口體。行年九十享期頤。世間五福斯爲至。歸及時平亦一奇。</text>
<title>挽人</title>,<text>議賑催星駕。當君瑣尾辰。稅鞍驚邂逅。把袂說艱辛。竆巷頻傾蓋。芳塵未浹旬。居然成此別。題挽淚沾巾。</text>
<title>挽朴大華</title>,<text>恭惟外氏自吾先。沙相堂中步武聯。往事驚心那忍說。當時脫禍亦由天。荊門客久歸魂苦。隴樹秋深旅櫬旋。鶴髮倚門腸欲斷。九原猶視最堪憐。</text>
<title>挽吳達進 學士之弟</title>,<text>西隣挺玉樹。雲路待鵬摶。藝苑傳三絶。家庭見二難。淸霜催急景。空谷委幽蘭。人世誰無死。憐才有涕汍。</text>
<title>挽裵</title>,<text>昔我臥淸漳。從醫駐鶴傍。與君爲比舍。無日不同床。闊別星霜屢。追隨魂夢長。今年厄乙亥。一月再沾裳。</text>
<title>挽人</title>,<text>少日追攀父子間。幾於床下識君顔。難兄未肯題凡鳥。闚豹時能見一班。旅泊娥林淹歲月。歸棲湖甸隔河山。長途欲試先萎絶。來對鴒原老淚潸。</text>
<title>挽人</title>,<text>疇昔干戈日。行裝似共舟。劇談憐壯氣。孤笑發羣憂。少別思靑眼。相親到白頭。門喪偶同日。題挽恨難休。</text>
<title>安危托婦人</title>,<text>沛歌猛士。魏思良相。國家存亡。二者身上。夫何大漢之安危。一美人萬里行色。謂可以折衝禦侮。笑矣乎。漢計誠拙。赤幟開基。天驕肆毒。提三尺赫一怒。不免平城之厄。老百萬拓千里。未斷匈奴之臂。星烽世驚。羽書屢至。中原袵金。廟堂奔命。八傳炎緖。夷德不競。漢塞初款。懷我婚姻。策旣重於柔遠。謀遍及於咨詢。一纓誰請。五利爭講。幸狼心之輸平。冀息患於邊上。踵公主之故事。屈齊景之涕出。色一誤於丹靑。君已指於白日。北門鎖鑰。尸之於子。西塞長城責之於子。薄命一行。軍國重事。將見金河戍空。玉壘塵淸。塞草長春。邊風不腥。壯士解甲。謀臣捲舌。花門悔食椹之晩。六月無薄伐之役。廟食不旰。宮枕初高。單于臺上。武駕空勞。細柳營中。文轡虛按。凌烟閣十二丹靑所不能辦者。考厥功臙脂半面。嗚呼。七旬苗格。重譯夷來。明王愼德。守在四夷。伐玁狁功莫尙焉。亦云周德之已衰。矧甥舅乎夷漢。曾乃祖之謬計。歃血未乾。外孫無禮。何元帝不掩祖愆。又偸安於婚媾。痛矣哉黃扉老相。縉紳廊廟。幄籌邊計。褎如充耳。靑油宿將。專節閫外。玉帳金戈。弊屣視之。脫安危之重負。肩一介之女子。求以重漢。反以輕漢。殺靑千古。英䧺一恨。安危婦人。言可頳顔。余千載而遐想。奏遺曲而寄悼。非一女之足惜。哀漢家之髥婦。</text>
<title>憫忠閣</title>,<text>凌煙一閣。畫攀鱗之同德。靈州片石。勒除凶之洪伐。䧺一代之武功。壯夷夏之耳目。遼之陽兮何地。留數架之崔嵬。指之曰憫忠之閣。鎖當年之餘哀。想夫隋驅遠夷。作鸇眞主。沛上三尺。走一心之豪傑。牧野一怒。從四方之赴愬。竇頸蕭膝。胡歌越舞。束百戰之筋骨。拱九重之恭默。䧺心未已於技癢。廟畧遠紆於荒服。輟兩階之干舞。揭孟津之黃鉞。中堅則李勣長城。前著則玄齡玉玦。麾東面之百萬。擬竈上乎掃除。孤城一夕。翠華趑趄。魚門魯胄。崤上秦尸。西還六軍。喜功天子。哀壯士之何辜。㬥萬骨於邊土。戶泣卒母。野哭杞婦。乾心憫默。其後也悔。下九重之玉音。將有事於奠酹。慘毅魄之靡托。矢以復兮何從。一閣經營。萬里天東。不日嵬然。帝德其崇。忠可憫於赴節。揭二字於宸篇。禮加二等。典擧無前。鶴野使星。小牢皇恩。皇帝曰吁。哀爾忠魂。曩余之無辜殃民。虐爾曹於鋒鏑。門官車右。予士予卒。金章褐博。一種忠義。不忘喪元。爾得爾死。率土食人。是誰之過。昔余往矣。爾扶我轂。今我來思。我招爾魂。留汝骨於絶域。反予躳於廣廈。靜思寤摽。不忍說者。生者以茅。死者何以。非斯閣之可了。庶來歆之有所。一炷天涯。九原國殤。馨香帝澤。雷雨其霶。三軍感泣。朽骨生生。是所謂以生及死。孰不曰其死也榮。矧祀事並擧於一鑑。允矣其悔之萌。雖然一帶長城。謾招秦卒之魂。尺壇金微。空鎖漢士之寃。且殃且哀。土地之故。嗟惟此閣。一狂續耳。以不愛而及愛。胡不已於可已。悲乎哉。哀丘冷雨。虛閣寒月。隋骸唐骨。一般寃結。</text>
<title>心官</title>,<text>惟吾人中。立乎兩間。謇百體之咸具。耳司聽兮目司視。紛各有此所主。然不思於物蔽。致外欲之投間。主一身兮統萬事。大哉心之爲官。俶降衷之初載。靈有最於萬彙。最靈者伊何。曰惟心爾。猗歟一心。萬理俱備。根方寸之固有。乃以思而爲職。是在內而良貴。豈假外而有得。顧厥司之至大。誠一身之主宰。旣一官爲主於其內。伊衆體聽命於其外。居安宅而莅職。享天爵而自榮。迹雖莊於一腔。用可彌於八紘。禦志帥兮制氣卒。致臣僕於我闥。事之來兮物之接。揔主張而酬酢。要任職之不負。詎一時之或曠。耳於聲兮目於色。思中節而不蕩。鼻於臭兮口於味。亦不淫而致察。偉此官之功用。信衆理之樞轄。思無邪兮七情於是乎從令。理旣得兮衆體焉得以方命。紛所思之得宜。事何事而不治。去朋從之雜慮。逐外鑠之邪思。然出入之無時。盍愼爾之所司。倘厥官之或曠。必外冦之攻之。宜克念而盡職。要不蔽於外物。然治官之有道。貴主一而無適。人以心而爲人。心以敬而爲心。苟不能敬以直之。未免乎爲獸爲禽。遡千古而遐想。孰此官之能理。惟精惟一兮。是堯舜傳心之法。一以貫之兮。是孔聖治官之則。何衆人之形役。物交物兮人不人。咸以賤而害貴。官不官兮身不身。偉孟氏之格說。誠最關於心學。警時人之昏惑。擴前聖之未發。曰余有志於操。存不以小而害大。期厥官之不癏。先立乎其大者。勉終始誠之於思。庶幾乎大人之同歸也。</text>
<title>入德門</title>,<text>余弱喪而不知歸兮。哭岐路於中野。欲遠逝而返吾初兮。聊浮遊而上下。忽吾行此大路兮。喜入德之有門。究經始之微旨兮。演河南之緖論。天降衷於下民兮。奠斯德於靈臺。紛吾有此秉彝兮。克虛靈而不昧。然氣稟之不齊兮。全所得者能幾。爭日趨於昏塞兮。慨未見夫自治。有是德而不知明兮。紛紛楊者墨者。豈其有他故兮。無善治之害也。噫文王之旣歿兮。子於是乎有憂。衆不可以戶說兮。盍吾施此規矩。因基地於小學兮。集羣材於衆經。綱有三而先立兮。爲棟爲柱爲樑。目爲入而繼架兮。爲榱爲楹爲桷。經之營之不日兮。紛百堵之皆作。斯爲門於入德兮。極規模與節目。伊大人之所由兮。諒伊邇於堂奧。紛三千之及門兮。屬肯搆於曾氏。承大匠之與巧兮。運心機而從事。發奧旨而粧綴兮。闡幽思而丹雘。指迷者之歸路兮。令出入乎牖戶。繼亞聖之大闢兮。早入室而承化。痛一灰於秦火兮。歷漢唐之天下。久斯門之草沒兮。三千載乎宋世。慨壞爛而莫正兮。天於是乎惕慮。挺哲匠於伊洛兮。托重修之大任。株檽欂櫨而其位兮。咸就序而無欠。肇錫之而嘉名兮。牖斯民之條路。然猶病於深奧兮。人欲入而迷所。及晦翁之有大兮。集羣匠之大成。釋微蘊而廓如兮。間亦補其頹傾。始綱擧而目張兮。三階平而入闥明。致斯門之洞開兮。民易知而易致。苟有志於可入兮。曾不能乎跬步。何叔季之歸來兮。爭北轍而南轅。誰能出不由戶兮。曾莫由夫斯門。門於人兮何負。人自閉而不至。曰余生於千載兮。乃所願則孔子。尋路脉於洙泗兮。悟是門之在邇。敬以立吾脚跟兮。庶知行之並進。踰斯閾而優入兮。健吾步而篤信。離醉夢之舊鄕兮。透誠意之玄關。升修齊之陛級兮。極治平之墠壇。反吾眞而復吾性兮。闚羣聖之門牆。恐斯言之或失兮。聊自訟而成章。</text>
<title>要見復中原</title>,<text>漠北泣二帝之魂。江南偸一隅之安。辱九廟之莫雪。頭一天之何顔。滌中原要見克復。感考亭之興歎。先生四朝之一老。痛君父地下之含怨。謂大賊義不共立。詎忘仇於一飯。幾年懷憤而未露。志恢復之斷斷。懷桓彝過江之憂。泣伯仁山河之異。力雖微羲易之利禦。志則奮春秋之大義。萬口之和議一倡。寧見舊疆之日闢。百年之神州陸沉。忍見胡馬之雜踏。傷心故國之無人。疆場之豺虎誰却。慘目壽域之蒙塵。乾坤之廓淸何時。復大讎予日望之。庶見再造之有期。况當時有可爲之勢。不無興復之機。久生靈之失所。方切望雲之思。天視聽之自我。豈無悔禍之心。都人爭望。幾願翠華之臨。士女咸願。日望王師之至。矧孝廟銳志中興。有灑耻復開之意。伊陳俊帷幄論兵。有經營北方之議。臣民之願戴已久。固不比小康之一旅。江左之歸心已切。不難夫晉元之一擧。彼胡人憑凌於我疆。縱關河之失守。苟滿朝協力而擧義。豈重恢之無路。肆君子志存匡復。望徒切於雪耻。掃宗祊而淸中原。此其時矣。屈萬乘而拜犬羊。王庶幾改之。顧此身之未老。逢宋日之再輝。進一封於淳煕。惟討虜之是事。奏四事於慶元。期雪讎而後已。有許多章奏之懇懇。何莫非克復之大志。噫皇天生此大賢。豈偶然於宋室。倘時君言聽計用。展所學於當日。吾固知乾旋坤轉。庶日月之重開。兵豈勞於血刃。一修文而可來。夫何一誤於主和。竟此志之莫效。吁嗟乎。興復之無期。徒發歎於已老。其忠義大節。不能動一時之君。而能激野心之頑。空使金人必問其安否兮。何益卒之打盡一網。而以興衰撥亂之志。不得施設於當時惜也。</text>
<title>天心無改移</title>,<text>惟兩儀上下之定位。乃一氣古今之磅礴。豈一剝而不復。信有闔則必闢。見天心於讀易。感周流之無息。寧變易而改移。諒行健而於穆。厥初鷄子之未分。孰能分其玄黃。自無極而太極。渾無間者是陽。然發動之有始。必造端於至日。當天風之初六。陰已闖於月窟。慘觱發而慄烈。竟天地之閉塞。寒九野之已閉。擧萬物之肅殺。彼一陽夫豈可盡。尙竆泉之潛伏。矧碩果之有核。豈無綿綿之一脉。䨓一聲於半夜。始闖然於陰隙。方元氣之動處。未萬物之生時。味玄酒之方淡。聲大音之正希。起羣伏於一夜。根始復於初九。開次第之千門。日漸盛而和煦。于以充之。四海皆春。天兮人兮。一而二兮。要識天心。不遠在邇。苟或勉旃。與天同德。君子以。自強不息。</text>
<title>身疾喩朝政</title>,<text>宋有大醫。業乎醫政。壽斯民九轉。緣明主一病。以斯疾反于斯政。若人之所憂者大。是所謂納約自牖。允矣其善喩者。五百名世。宋王薛居。辨奸則蘇公居後。先見則司馬不如。揚于庭藥石。吾君庶幾無疾病。痛矣大往而小來。天何爲乎此。杜宇一聲。南士病國。衊五聖成憲。舞申韓糟粕。紛國脉之斲盡。又從之而諱疾。瘡未醫於眼前。肉已剜於心頭。漢脛腰大。秦背生疣。孤臣此日。見忌扁鵲。痛百辟之癏厥。閔元氣之萎薾。袖中瞑眩。縱未見小嘗於曩時。心上還丹。詎敢憚再試於惟幾。然左腹之受病。藥苦口則難入。袖手傍觀。所思惟百。無踰老臣。小可喩大。曰微臣之攝身。以直養而無害。紛百體之開利。保四肢之平泰。有醫自南。謂可長年。心焉慕之。付之以身。未必有之。徒事乎口舌。伊自屈於私智。排衆醫而偏執。昧脉侯之虛實。指和平之爲疾。紛百藥之軼進。又自讎夫粱肉。身自然而凋瘵。方僴然而自得。致手足之痿痺。成就木之一物。忽焉以思。遠而始復。身不自戕。戕身者醫。醫不自用。用醫者誰。雖不得於平日。悟諸半則差可。當可悟而不悟。何敢曰非我也醫也。事君日短。惟臣之過。皇如念玆。盍反斯隅。一言見錄。九死不朽。血誠盈尺。病政良藥。庶幾其望。十載刮目。倘斯劑之一試。吾見庸醫之自屛。豈癰疽之足虞。當永保於天命。</text>
<title>知舊別章</title>,<text>興陽補外時 戊辰賢路亦崎嶇。直辭何僇辱。相看受狼狽。至死難塞責。奉別權兄靜甫之興陽。弟本不解詩。取杜句用之。實古人賦詩之意也。右金潛谷 堉由來直道能違俗。何必臨歧枉斷腸。不是朝廷輕太傅。只緣今日重淮陽。右李重甫秋天一鶚去。䨓海雙鳧飛。汲老且行召。淮陽資臥治。玆行肯悻悻。別意還依依。努力贈君語。民生今正疲。右金水北 光炫百里風烟自一鄕。湖南盡處是興陽。人家春暗桑麻雨。官閣秋明橘柚霜。傲吏聲名傾海嶽。逐臣詞賦滿江湘。主恩今日還非薄。臨別慇懃意更長。右鳴皋散士十年簪笏共風塵。幾處相逢笑語頻。田氏一言期悟主。潮陽千里忽臨民。都亭詩酒留連夜。錦水烟波惜別辰。離合本來知有數。終南何日接芳隣。右錦江醉客聞道興陽縣。蒼茫南海頭。波奔怒鵾吼。峯矗巨鰲浮。桂嶺瘴昏晝。橘林香送秋。何如鼎津會。同上木蘭舟。右趙丹圃 希進瘴霧蠻煙朝復朝。長沙別恨自難消。臨歧莫唱陽關曲。雕鶚秋來上碧霄。右玉川主人雲間一鶚整霜毛。讜論還應震百僚。行且致君堯舜右。五湖煙月獨逍遙。瀛洲權使君左降未旣。還徵以言官。卽盛世事。敢呈。右朴軫春明門外亦天涯。况復南溟萬里賖。宣室卽今方側席。肯敎賢士滯長沙。右李白江 敬輿湘潭秋水落芙蓉。枕海孤城對夕烽。樓近北辰人倚柱。地竆南極鴈迴峯。風雲日下迷歸路。簿領天涯易老容。自罷薇垣舊同席。蒹葭欲往悵何從。右李東洲 敏求情同骨肉義師友。若飮醇醪醉不知。道學有能關世敎。疏章無愧叫天墀。芝蘭豈願幽芳播。鵬鶚還甘逸翮垂。田廬亦足陶公趣。湘水何傷楚客詞。先生何許人。鸞鳳又麒麟。明月交猶舊。淸風契已新。靈臺何有物。虛室自無塵。槎老時扶病。叨薰座上春。右槎老謫海南時 壬申君懷麟鳳我懷菫。暮歲相將道義敦。垂死病中聞遠謫。期君不負此行勤。龍集壬申四月上澣。朝夕就木人石潭病友。使兒童扶坐。代書余病中之思。以示權執義靜甫。道余不忘死生之意。且看氣力之如何。右李石潭 潤雨明時何事再長沙。自古忠言逆耳多。聖主恩深應有召。三千歸路莫催車。右耻弟渺渺南鄕海一邊。扶桑咫尺水連天。投濱古號誠堪惡。去國孤臣最可憐。雨後瘴來秋亦夏。甑中人坐日如年。分明黎母知前定。記取胡翁和友篇。右年弟權兄相別幾多年。此地那知見惠連。聖代忠言貫白日。平生心事若靑天。子瞻謫遠何須歎。唐介徵還會有緣。自古文章終不棄。况今宣室更求賢。季鷹秋興屬東吳。海闊天淸一鴈孤。更有離筵無盡恨。此行非是爲蓴鱸。故園南望渺烟雲。漢水西流入海門。一曲陽關千里別。晩風吹斷去留魂。右槎老直道世難容。危言禍所釀。醉歸坐夜分。耿耿還生悵。右鄭進士尙古</text>
<title>挽章[河溍]</title>,<text>碧溪黃嶽毓淸奇。灑灑精神皎皎姿。素志不隨時世變。危言直欲聖明知。一生慷慨身仍病。萬事蹉跎鬢已絲。朝野卽今俱失望。傷心不獨爲吾私。</text>
<title>挽章[姜大遂]</title>,<text>蓮籍聯翩卅載前。武陵修稧又隨緣。傾都共避乘驄日。見事非遲賦鵩年。半世脩名埋厚夜。一秋離恨隔重泉。夢刀形役違蒿里。獨向南天倍潸然。</text>
<title>挽章[朴以爀]</title>,<text>玉立鵷斑第一流。堂堂標擧冠英儔。儒林藝苑飛聲早。鳳閣鸞坡屬望優。秉直已能酬聖主。乞歸聊復娛菟裘。一車載鬼何須辨。事業要看竹帛留。</text>
