<title>龍頭夕望</title>,<text>磯影危沙際。波痕露石洲。夕陽無限景。漁笛一聲幽。</text>
<title>次茂伯。用高山舘聯句韻。</title>,<text>茅齋臨水闢。石榻枕書眠。秖擬終巖穴。胡爲落海邊。庭闈分地角。朋識限班聯。衰邁知逾拙。驅馳祇自憐。不才堪棄擲。無術佐巡宣。肉味忘三月。羇懷敵十年。塞情終未慣。鄕信若爲傳。世亂心猶壯。天寒夢不圓。鼎湖仙馭遠。象闕寸心懸。倘效涓埃報。終求性命全。登龍忻有託。記馬久遺賢。得喪心肝照。追隨歲月遷。交情看世態。親約是天緣。遙想君歸日。漢宮席更前。</text>
<title>茂伯告休歸覲于安東。遷除國子司藝。疊用前韻寄。</title>,<text>寂寞聞韶夜。相逢不作眠。深憂長在國。奇策爲開邊。才屈郵官拙。班宜玉筍聯。子瞻便殿對。方朔茂陵憐。夏運初歸啓。周興已屬宣。固知天佑日。幸占虜亡年。匡復前王道。輝煌後世傳。共宜驚主辱。愼莫效言圓。正似燕金築。誰思越膽懸。寧當璧俱碎。有愧瓦能全。聖主方虛席。朝廷正渴賢。休嗟飽閑散。自此可超遷。向北曾同苦。圖南豈有緣。君登霄漢上。倘問蓼溪前。</text>
<title>送鄭東望 泰齊 赴使瀋陽 一隧之人。論金淸陰出南漢。直歸田園。持淸議者救之。一時救淸陰者皆見斥。朝暮一空。時東望拜持平救淸陰。亦爲一邊人所斥。出使瀋陽。世道之險。至於此耶。可慨也已。</title>,<text>白晳少年少似君。一言千古重於山。當時完璧爭推藺。今日辭朝共惜顔。驛路猶連華表柱。衣冠尙阻紫宸班。層冰鴨水風如釰。積雪陰山月似環。異域新正那可度。危途此去未能攀。但將出處要明白。不必關河是險艱。彩服趍庭應有待。寒梅滿樹早當還。南歸自此成長別。相對如何不淚潛。</text>
<title>次房暉仲仙津述懷韻</title>,<text>各分屯嶺以東西。勝處仙津是子廬。門外長江歸海近。檻前危峀揷天虛。幽棲早就閑居賦。靜坐長看種樹書。滿壑杉篁秋籟爽。一園風露夜簾踈。穿林細語聞尋寺。隔浦微燈認打魚。遺迹分明靑鶴洞。鍊形何獨紫河車。溪雲薄暮酒初醒。山雨新晴藥正鋤。始信人間閑是適。不關身外毁兼譽。雖然呂尙終非虎。那似裵公老跨驢。今幸聖朝恢禮網。肯敎才子灌畦蔬。平生夢想違林壑。何日伊鴉度筍輿。自是安危知有在。徙將去就計難攄。獨憐儒術功無補。每向關河氣欲噓。韓祿昔年曾晦迹。睡翁當日有遺墟。浮名自古多讒謗。到老空思寄採漁。忍受欲追胯下信。可堪更溺簀中睢。故交無復憐吾拙。末路相知孰子如。回首五峯山下路。誅茅從此卜隣居。</text>
<title>次鄭之問韻</title>,<text>學道平生非爲名。知恥初年近乎勇。世路崎嶇劇羊腸。取舍還爲蟬翼重。從遊赤松非吾事。導引無心效裘縫。不才固宜聖朝棄。堪笑毛錐安足用。在畒徒切拾遺誠。想聽朝元鳴鐵鳳。細思成懷無古今。得喪元來同鹿夢。君子處世貴得中。不輕不重之謂衷。萬古淸風孰扶綱。吾其被髮微管仲。傷哉貧也非病也。曳杖朝暮歌商頌。南山春雨一犂餘。數畒溪田手自種。載酒何人來問奇。喜見羣儒相講誦。不道新恩幸起廢。萬里一官赴塞隴。驅馳行盡地盡頭。八月竆荒雲欲凍。邈矣龍輿恨未攀。蒼梧永結微臣痛。冷山千重眼忽開。白首故人情誼動。夜闌相對話疇昔。絶域殷勤軀征鞚。惜別晩渡銅硯津。落日山亂寒湖湧。絲杉簇立晝晦冥。回首孤城雪雲擁。異鄕離合固無憑。兩地惟將明月共。秖憐三絶鬂如絲。地濶雲樹何由奉。我今南歸倍惆悵。河橋杳杳誰相送。君且蒙恩及春還。他日當思說倥偬。</text>
<title>兄弟巖 富寧南數十里許。有雙巖並立。號稱兄弟巖。人言過此者必重來。仍又名之曰重來峯。</title>,<text>峽口屹立雙巖石。號稱兄弟高百尺。舊傳此是重來峯。過此境者必重逢。我初聞之惡其說。歷數前人指多屈。今已解官果又來。恠語不虛眞可咍。爲向雙巖報一言。爾本無心人自猜。去來由人豈由爾。自古傳訛皆類此。可憐望夫夫不來。嗟汝豈能使然哉。好在雙巖千萬秋。我今別汝汝知不。蒼崖日日風雨辰。愼勿更管行路人。</text>
<title>輓詩[金集]</title>,<text>忠義之門世有人。奪袍當日寵恩新。鵬程一誤摶風翼。彩服相依齧指親。跡屈郞僚心愈泰。庭盈蘭玉福猶臻。西州痼疾終無藥。存沒今朝倍愴神。愼獨齋金集</text>
<title>輓詩[安邦俊]</title>,<text>早歲魁科日。居然迹已空。孤鸞愁鏡裏。三鳳繼家風。樑壞人安仰。身亡道固竆。泉臺不盡恨。眼斷白雲中。五十雖云老。如君眞可悲。方看大有造。豈意少無遺。薄宦纔三載。魁科又一時。空令衰病客。愁緖寫哀詞。隱峯安邦俊</text>
<title>輓詩[趙翼]</title>,<text>精忠大節晉陽城。海內長垂萬古名。餘慶後孫才出類。巍科第一遂馳聲。方期盡瘁追先志。何意中身隕此生。天道如斯誰可問。只將薤露寄吾情。浦渚趙翼</text>
<title>輓詩[李厚源]</title>,<text>妙齡才格賭文元。久識靑氊自相門。尙記風流傾幕府。初霑忌刻崇薇垣。穎川幸復看徵漸。穀石如何驗宿言。堪恨春暉未盡報。定知泉下泣孤魂。迂齋李厚源</text>
<title>輓詩[李景奭]</title>,<text>朝來㐫聞忽驚疑。旅櫬南歸恨未知。昭代巍科何卓犖。諫坡賢路却嶔崎。幽寃爭賴公言雪。少尹方傳衆口碑。枕上黃粱眞一夢。凉秋揮涕寄哀詞。白軒李景奭</text>
<title>輓詩[李起浡]</title>,<text>君從西塞度甄城。我向南村爲訪行。悴貌却驚非曩昔。懇辭猶解說平生。尋常離合堪相恨。奄忽存亡奈此情。獨立秋風添灑淚。後來誰復繼名聲。西歸李起浡</text>
<title>輓詩[崔徽之]</title>,<text>長川家世繼淸芬。碩德精忠海內聞。共說相門兼出將。還看武閥更攻文。壯元東國才無敵。治效西都政不羣。爲問蒼天胡靳壽。忽驚江夏哭黃君。鰲洲崔徽之</text>
<title>輓詩[李東稷]</title>,<text>嶷嶷名卿後。風流文彩傳。佳篇餘事耳。大器共推焉。金榜魁元日。霜臺獻納年。佇看魚縱壑。誰謂鶴驚弦。世道還如許。讒言古豈然。棲遑隨北幕。落拓困西邊。一疾終爲崇。人生實可憐。抱才尙止此。揮涕欲問天。李東稷 縣監</text>
<title>輓詩[金重鎰]</title>,<text>弱冠爲兄弟。文才已見奇。龍頭名遂壯。鵬路迹還危。一宦平生了。高堂老淚垂。哀詞情不盡。慟哭寄諸兒。金重鎰 參議</text>
<title>輓詩[金之純]</title>,<text>早折蟾宮桂一枝。名登臺閣肅朝儀。十年蹤跡隳江海。半世行藏付酒詩。天日再明恩已霈。牛刀纔試病難醫。高堂鶴髮終誰託。恨結重泉不盡悲。廣寒曾占斗魁春。耀世淸詞動紫宸。霜簡暫持威采著。雷封纔莅政譽新。一琴聊自箕城反。半夜旋驚璧彩淪。九地最難瞑目處。北堂留訣大夫人。金之純 參奉</text>
<title>輓詩[金之鳴]</title>,<text>湖海論交更有誰。塤箎酬處託襟期。知音不獨牙絃妙。得意還同郢匠奇。松茂當年頻獻賀。蘭摧今日遽纏悲。朝端竟失金門彥。掩涕非惟哭我私。金之鳴 進士</text>
<title>輓詩[尹宣擧]</title>,<text>龍榜爭瞻第一人。薇垣仍作代言臣。誰知淹滯十年後。未報慇懃寸草春。太學從遊思舊切。高才陵替悼亡均。却看庭畔三株樹。終使昭文緖有倫。美村尹宣擧</text>
<title>輓詩[尹元擧]</title>,<text>龍頭當日擅芳名。鵬翼中摧限玉京。關外秋風苦宦意。江南春草賦歸情。尺書未報重泉隔。一疾那知二豎嬰。泮水同遊如夢裏。屋樑殘月獨分明。龍西尹元擧</text>
<title>輓詩[洪處亮]</title>,<text>堂堂節義黃兵馬。積慶爭稱有是孫。多士葫蘆傳草藁。壯元風采動薇垣。雪寃昭代曾無憾。留愛箕民永不諼。仍念萱暉垂八袠。緘詞忍向棘人言。北汀洪處亮</text>
<title>輓詩[沈捴]</title>,<text>多君標擧出尋常。丹穴奇毛備五章。翰墨高名人共慕。壯元光價桂爭香。南宮國子恩榮遍。北幕西州道路長。半百年齡同一瞥。由來天理竟茫茫。高才曾未到要津。一疾如何遽反眞。疇昔儀形長繫戀。卽今談笑杳無因。桐鄕惠澤知誰繼。玉樹家聲佇再新。垂白尙餘天只在。向來行路亦沾巾。憶昔西州解紱歸。怱怱征馬復南馳。年來消息書渾斷。別後音容夢獨隨。自是同庚兄弟義。那堪今日死生悲。巨卿一哭猶難得。千里題詞涕自垂。沈捴 府尹</text>
<title>輓詩[趙復陽]</title>,<text>汝南江夏妙譽喧。忠烈名家喜有孫。及第壯元初發軔。剝床讒舌久銜寃。風塵薄宦仍千里。泡沫浮生奄九原。吾榜人才零落盡。舊遊回首獨銷魂。松谷趙復陽</text>
<title>輓詩[李弘澗]</title>,<text>交誼相期到百年。孰云今日隔重泉。奇才少試纔通籍。直道難容欲問天。忍說高堂遺白髮。但將餘業付靑氊。歡城話別成千古。回首南雲涕自漣。三竹李弘澗</text>
<title>輓詩[洪纘緖]</title>,<text>會合元來貴不謀。䆠遊隨處卽同裯。咸山雪月文殊館。平壤烟波浮碧樓。桂殿恩光頭上雨。笏冠風力筆端秋。一家三訃聯翩至。仰視蒼天亦可尤。洪纘緖 縣監</text>
<title>輓詩[崔後憲]</title>,<text>關塞相逢日。開襟到夜深。共垂憂國淚。仍說未歸心。雅望人咸慕。英姿我獨欽。忽驚㐫聞至。天道果難諶。崔後憲 郡守</text>
<title>輓詩[蔡裕後]</title>,<text>廣寒樓上共深觥。人事如今一夢驚。玉樹風儀難再覩。可堪南望涕沾纓。湖洲蔡裕後</text>
<title>輓詩[李梓]</title>,<text>榜聯蓮桂昔肩隨。樽酒論文歲幾移。少日交情眞莫逆。今朝㐫訃信還疑。慈幃白髮無竆痛。英魄黃泉不盡悲。欲識門閭高大慶。請看諸鳳羽毛奇。妙歲名揚甚。中年値數奇。淸標今古邁。直道鬼神知。晩計甘耕野。閑情任賦詩。故人零落盡。衰病涕空垂。雙溪李梓</text>
<title>輓詩[權順昌]</title>,<text>凌霜氣節動人神。垂裕方看屬後身。名冠龍頭喧衆口。官聯豸角振朝紳。承家共喜螽斯慶。扇枕誰安鶴髮親。却恨吝萌時月際。存亡况復隔千春。權順昌 郡守</text>
<title>輓詩[南老星]</title>,<text>往時文采壯元名。蓮幕薇垣寵辱幷。蜀郡親存榮養備。宣城官罷舊痾嬰。浮生一夢傷心數。餘慶三兒尙後贏。回首南雲違哭塚。却慚交誼負幽明。雲谷南老星</text>
<title>輓詩[李行進]</title>,<text>正言公是壯元郞。洛下相逢言語香。却向天涯唱薤露。獨留諸子侍慈堂。止菴李行進</text>
<title>輓詩[金汝鈺]</title>,<text>屈指湖南士。風流自有人。鵬程初不利。蠖屈會當伸。奄忽今如此。悲凉且莫陳。遙憐死後淚。鶴髮照偏親。薇山金汝鈺</text>
<title>輓詩[閔光勳]</title>,<text>傾盖由來恨晩知。悠悠聚散苦無期。臺中舊職關西省。堂上慈親膝下兒。末路升沉渾一夢。平生福祿未全。可憐此日成千古。不耐幽明永訣悲。閔光勳 副護軍</text>
<title>輓詩[李迥]</title>,<text>箕城投紱歸來後。塞外覊臣始賜環。鄭重一書猶在手。別離三載未開顔。那知此日幽明隔。却望南天涕淚潸。想得泉臺無限痛。北堂誰着老萊斑。人間萬事摠成灰。可惜音容隔夜臺。何處靑山埋玉樹。屋樑殘月恨難裁。李迥 副司直</text>
<title>輓詩[洪處大]</title>,<text>橋門皷篋幾追隨。倐忽幽明便永離。堂上無依長吉母。天涯誰護彥昇兒。秖今蓮幕風流盡。當歲薇垣雅望推。他日山陽經過地。數聲隣笛不勝悲。櫟軒洪處大</text>
<title>輓詩[柳炫]</title>,<text>邈矣咸山會。存亡隔九原。大名高桂籍。直道動薇垣。世事浮雲變。家聲寶樹蕃。秋風無限淚。忍灑北堂萱。柳炫 完山人</text>
<title>輓詩[李文柱]</title>,<text>西州傳報解君龜。料得辭煩會就醫。天上修文疑有待。人間奇士說堪悲。難追舊日龍頭會。長痛玆辰鶴髮垂。古語曾聞仁者壽。不知冥府亦何私。江南二月寄相思。千里書回使我悲。良相忠臣名世子。淑人賢母大家兒。山靈有力收豪士。天意無緣奪俊姿。數郡諸賢來會葬。城崩三日怨齊眉。才子乘雲去未廻。深憎造物本多猜。縶官千里難奔弔。無路臨泉盡一哀。李文柱 郡守</text>
<title>輓詩[李士獻]</title>,<text>朋知零落可堪悲。况復今朝寫誄詞。八級聲名由第一。半生榮辱任差池。芝蘭庭裏春方爛。萱草堂邊日已馳。幸卜新阡連舊壠。定敎松栢互扶持。李士獻 參奉</text>
<title>輓詩[鄭好仁]</title>,<text>大賢之後稱家聲。鵠峙鸞停骨法淸。烏府英名風捲地。熊車仁澤雨隨行。依然下榻新知樂。奈此攀輀永別情。蘇井橘黃秋已晩。斷猿呼絶不堪聽。鄭好仁 府使</text>
<title>輓詩[金用礪]</title>,<text>天憐大節欲扶持。繼出賢孫緖業垂。三世英聲龍虎榜。一身恩渥鳳凰池。關西皁盖休歸日。堂上斑衣永訣時。瓜葛義兼知己分。白頭題輓哭吾私。金用礪 月城人</text>
<title>輓詩[李後膺]</title>,<text>浮世光陰五十春。向來遊迹已成陳。誰知馬鬣高三尺。曾是龍頭第一人。萬事卽今嗟莫及。大才從古志難伸。重泉想得無涯慟。堂有年深鶴髮親。李後膺 縣監</text>
<title>輓詩[盧亨夏]</title>,<text>金榜當年第一人。家聲仍與大名新。恩深驛路咸關日。喜動潘輿浿水春。從古屈伸看尺蠖。向來存沒慘輕塵。重泉此後無消息。堂上其如白髮親。盧亨夏 持平</text>
<title>輓詩[房明煜]</title>,<text>童稚情親到白頭。不堪陳迹已悠悠。一時聲價揚庭日。十載田廬閉戶秋。方賀聖朝容復職。豈知脩夜飮竆愁。令人最是潸然處。寂寞萱堂哭未休。房明煜 南陽人</text>
<title>輓詩[鄭知和]</title>,<text>湖南從古士林鄕。江夏尤稱舊姓黃。大節至今推乃祖。偏方自此樹三綱。忠臣赫業君能繼。才子英標世莫當。氣槩早追燕節俠。文詞且逼漢賢良。所期得道須經濟。何但將身要立揚。白雪唱來嗟郢路。南風歌處樂虞庠。天恩北闕龍頭榜。地望南宮玉面郞。淸議百年仍可賴。丹忱一飯未堪忘。從來平地潛機發。未遣明庭直道彰。得失無常從世態。閑忙隨分閱年光。重泉寃屈終能白。盛代行休一任蒼。搆廈共知無不可。分符暫出也何妨。咸關別後偏多病。浿水書來又悼亡。逆旅開顔重握手。沉痾纏骨暗銷腸。忽看前夜文星晦。俄報高岡彩鳳藏。嗟我風塵猶末路。覔君天地更何方。通家舊好今三世。同榜新懽亦一場。落月樑間疑是乍。斜陽笛裏怨還長。生兒已足傳家遠。有母何心厭世忙。一束生芻千里隔。哀詞凄斷不成章。南谷鄭知和</text>
<title>輓詩[崔攸之]</title>,<text>折取天葩第一枝。向來文采映當時。蒼蠅點玉驚深嚌。白日回光滌舊玼。浿水仁風春忽忽。龍山落月夜遲遲。秖應無限重泉恨。鶴髮高堂涕淚垂。苦寒蕭寺同襟日。永夜芹宮共榻時。多少悲懽成一夢。百年存沒淚雙垂。艮湖崔攸之</text>
<title>輓詩[晉用賓]</title>,<text>意氣軒昂最士衆。南中流輩莫能先。朝登九萬鵬程遠。暮見長楸驥足纏。作尹箕封才少試。傳家胤子繼多賢。西隣從此失知己。慟哭秋原聲激天。君爲少壯我衰病。今日安知作此詞。執紼荒原意寂寞。北風殘照割肌膚。晉用賓 南原人</text>
<title>輓詩[權聖源]</title>,<text>昔在南原府。初逢黃子輝。風期弘友道。琴韻感襟徽。接袂棲禪榻。聯裾闢講幃。誓心謝世累。瀝血走王畿。薄宦承家訓。巍科闡貢圍。當官思盡瘁。正事佇繩違。不料遭讒舌。終敎犯駭機。抱寃瞻邃闕。銜痛掩荒扉。實對須知己。虛心定是非。一麾榮便養。千里奉萱闈。聽訟分眞假。臨民見瘠肥。病中兒又逝。花上露先晞。周浦人將返。壺山客未歸。悲懽多不說。生死此相依。踽踽嵇工部。哀哀郝指揮。天年何短促。名位亦卑微。猶父喪同月。偏親壽過稀。空餘慈母線。誰着老萊衣。歎我纏公務。思君怨落暉。重泉無限淚。秋雨浸霜薇。權聖源 安東人</text>
<title>輓詩[李烴]</title>,<text>昔君年十二。負笈客京城。族系非強近。相依作弟兄。連床論古史。共被吐深情。文才雖未富。聰敏衆所驚。咀華心無倦。漸覺學海淸。分離還有數。兩地各沾纓。蓮榜傳藝譽。龍頭揭高名。巖廊知有器。大廈必作楹。薇垣初負謗。世路卽榛荊。自分林泉老。靑衫向北征。蹉跎困行李。晩廁關西營。堂中鶴髮在。纔展反哺誠。擯接忘身瘁。終悲二豎嬰。解綬歸鄕日。相邀暫留程。誰知天不假。一別隔幽明。甘旨將何托。芝蘭捴豪英。有才終無命。蒼蒼理難評。無緣奠一酌。題挽淚如傾。李烴 判官</text>
<title>輓詩[黃奉祖]</title>,<text>卓犖乘間氣。雍容席上珍。才華推地步。襟韻本天眞。早躍蓮池日。高翔桂苑春。文章山谷富。家業相如貧。栢府峨冠正。梅軒佩符新。專城孝養至。遮道惠化純。寶樹餘三子。仁齡只五旬。萱堂悲白髮。嫠婦怨蒼旻。行路尙揮淚。况吾同姓親。團圓知不復。匍匐恨無因。未卜他生會。堪傷後死身。知音泉裏隔。樑月倍愴神。古里牛岡遠。新阡鳳舞嶙。縻官違絮酒。題挽淚沾巾。黃奉祖 參奉</text>
<title>輓詩[金之聲]</title>,<text>顧我同心子。彬彬多文士。其中大者誰。平生有黃氏。孝友出天性。文章是小技。三年下董帷。舌耕竆靑史。長嘯驅墨客。直突屈賈壘。詩成金擲地。筆落花滿紙。橫行兩南間。高才人莫比。與我情最厚。自少許知己。前後科場間。幾多共行李。自言祖生鞭。吾當先着耳。高步折蓮花。太歲正在癸。光價自此多。丁丑始從仕。戊寅獻新賦。詞源三峽水。題名黃甲上。鵬程九萬里。歸來拜庭闈。堂上鶴髮喜。師儒拜未久。又賜南宮被。鵠立霜臺秋。危言不避死。其後我登第。拔引賴有爾。薄宦良可笑。久忝東西齒。枯魚過河泣。血淚垂三紀。君拜西京後。南北弦與矢。我當服闋初。復從博士起。是時君遞職。世事嗟已矣。臨分戒我言。切磋誠盡美。豈意此別後。中途失騄駬。誰云仁者壽。天道可難恃。叔度今不在。袁闈竟無倚。上有七十親。誰能奉甘旨。遙知泉下魂。亦應念天只。哀哀子三人。痛哭梁山裏。臨終不得訣。此恨猶未已。我今佩銅魚。未免簪組累。雖還故鄕社。何人靑眼視。蕭條楊子宅。可憐餘故址。名位不相稱。抱寃知何似。北幕空揭號。南湖竟作誄。擬托白也懷。將弔鏡外涘。牙琴絃已絶。此生更何俟。旣失朋知憐。將念臥桑梓。一曲薤歌中。呑聲愁不止。金之聲 縣監</text>
<title>輓詩[許國賓]</title>,<text>國有無雙士。人稱江夏黃。靑雲鵬路遠。丹穴鳳毛光。雅操冰壺潔。心腸玉尺剛。薇垣承雨露。白簡澟風霜。直道招讒謗。端居待激揚。穎川新政化。臺閣舊封章。壯志違平素。昇沉信彼蒼。三槐傳舊德。玉樹繼餘芳。一疾緣憂國。千金未試方。龍歸雲慘澹。鶴去月凄凉。夙籍葭莩義。曾薰蘭蕙香。誰知邦國瘁。忍見哲人亡。落羽增驚骨。生芻倍斷腸。幽明不盡恨。無語意蒼茫。許國賓</text>
<title>輓詩[房明烜]</title>,<text>方丈衆山宗。蓼水千頃碧。山水之所會。淑氣欝磅礴。今君得之專。骨相不凡俗。丹穴弄瑞羽。淸冰出萬壑。文章乃餘事。孝友是家業。一到蓬萊上。書名丹桂籍。風雲入壯懷。星辰如咫尺。方要補衮職。秉筆彤樓側。世情忘殊異。靑蠅點白玉。行藏隨用舍。得喪無喜慽。家貧學益富。身竆志愈確。奇才豈虛老。起廢由天澤。牛刀姑試可。箕城任字牧。百里獨太古。治效冠今昔。實佇外庸訖。卿相可俯拾。浩然解簪紱。歸來卧茅屋。大夢倐已覺。痛哭幽明隔。寂寞暮山下。悲凉餘古宅。上有鶴髮親。下有妻孥弱。魂兮若有知。捨此將安適。昔余蒙許與。忘形情義篤。羲易慕斷金。詩雅詠伐木。池塘落花時。古龍秋月夕。負笈長相隨。歌詠雜戱謔。勖此靑松心。擬保百年樂。將老失知音。悲懷焉可極。事往成千古。怳如風前燭。豈獨哭吾私。永貽朝野惜。厚夜不復瞰。九原難可作。傳家有三好。餘慶定不乏。題詞替執紼。有淚沾胷臆。房明烜 南陽人</text>
