<title>陳田吟 己亥</title>,<text>可惜十年陳。一牛誠難起。吾心亦甚焉。幾沒淸明地。</text>
<title>丁未之秋七月旣望。與諸友。陪愚伏地主。泛舟仙査之下。初昏樂翁倒載還齋。時月出東山。夜景虛明。勝事他日。亦一遺跡。因吟一律。</title>,<text>正値蘇仙赤壁秋。斷岸千尺又江流。當時與客知誰氏。此日諸賢盡勝儔。霞落遠天波色淨。月窺前嶺夜光浮。主人雖有先歸恨。顧䢖康斟洗盞遊。</text>
<title>盆中白菊</title>,<text>庭畔雙叢久已殘。如何盆有好容顔。只緣愛翫多工力。贏得繁華到歲寒。老仙鍊氣三千壽。達士治生七十完。物我由來同一養。憑渠始覺我生觀。</text>
<title>冬至後慰白菊</title>,<text>雖嚴霜雪葉無凋。可見衰顔不自羞。丞相殺身燕獄日。宗臣盡悴漢家秋。誰憐衰暮花全歇。我愛根芽葉又抽。一槁一新相代謝。芳心抵死也微休。</text>
<title>謝愚伏地主見訪 戊申</title>,<text>委巷居竆一病氓。雪侵雙鬢白垂莖。詩書買櫝還珠實。天地居中愧蠧名。五十無聞頻失復。數年加學庶求經。常書四字如明道。不欲其傷必欲生。</text>
<title>硏經。待郭槐軒益甫。</title>,<text>山玉溪瑤滿眼寒。故人何事尙盤桓。花明樹樹吟應苦。風亂巖巖畫亦難。江路有泥羸馬滑。野堂㘅日客愁新。何當一握招賢裏。說盡心經到夜闌。</text>
<title>辛亥五月。向花山疏會。朝憇屛巖下川邊。有斷山層巖斗起。爲吟一律。時以晦退辨誣疏事。將赴安東會所。蔡楨，崔東岦，李景培，都聖兪，閔蓍國，李之華，崔東嵂，徐思選，孫處約從。</title>,<text>山圍面面又長川。上有層巖斷復連。頭切天樞人仰止。根盤地軸勢凝然。木生罅隙纔盈尺。苔鎖輪囷巧作鐫。氣象自知高偃蹇。覆車那學太行顚。</text>
<title>辛亥十月。宿三從弟欽仲肯構亭。翌朝留別一律。</title>,<text>引水方池半畒開。主人迎我灔㶑臺。牆連後圃圍脩竹。庭繞前塘間古梅。聯璧有三皆接屋。斷金非一共含杯。相逢相別何忙了。桃李芳園可再來。</text>
<title>謝聞灘從叔父。修莎土于先墓。墓在密陽</title>,<text>吾叔揚名顯祖宗。緜緜餘慶竟無竆。重加莎土情尤愴。瞻掃封塋志亦恫。具物比時誠孝並。迎來送往樂哀同。此生若踐明春約。不肖孱孫死且悰。</text>
<title>贈朴昌寧孝伯 慶傳</title>,<text>主人曾是舊同苦。握手相看面目驚。有約靑山當戶直。無情流水隔林鳴。三呼醇酒盤仍侈。一走新篇韻亦淸。更約雲門斜日去。落花巖畔野烟生。</text>
<title>登三足堂</title>,<text>三足先生始結茅。畫堂橫揷切雲皋。緣巖開逕迎三益。壓水成臺老一高。漁釣百年生契饒。山河四節浪吟豪。如今零落堂空在。愁聼冰灘嗚咽呼。</text>
<title>壬子二月。往蘆谷吟新齋一律。敬呈先生座下。時寒岡先生。移居蘆谷新構精舍。</title>,<text>曠漠郊原多物象。先生不獨愛幽居。開菴以晦蘆峯老。受卷能專洛浦居。林外日光供晩對。谷中雲氣護新居。烏頭力去吾何恨。却喜高棲近陋居。</text>
<title>題旅翁不知巖精舍</title>,<text>新構藏修洛水東。幽求何必葛川同。乍鋪江練知章鑑。遠抱烟鬟玉女峯。幾許浪吟迎霽月。等閒徐步溯光風。他時鳳詔尋何處。巖畔磯頭一釣翁。</text>
<title>追詠樂翁廢園中三梅樹。寄贈主人。</title>,<text>荒園寂寞閉梅龕。只見孤叢數有三。傷別主人多歲月。羞看俗子少遊探。疎疎影雜前溪雪。暗暗香飄後壑嵐。多謝齋翁追餞賞。慇懃情意水淡淡。行甫携酒追別故云。</text>
<title>次謝徐行甫</title>,<text>肯學樊遲學老農。只緣田畒寓微躬。周公事業誠難繼。夏后憂勤孰著功。後賢前聖千年隔。秋月寒泉萬古同。休哂巴溪多大禹。年來我亦願姬公。</text>
<title>再用前韻寄行甫</title>,<text>阿誰人有事神農。又解治經日省躬。君子修身餐不素。小人勤力食其功。小人君子居雖異。勤力修身道則同。寄語吾儕莫相訝。耦耕同願雨余公。</text>
<title>奉呈府伯金東籬而靜 癸丑</title>,<text>公暇尋眞塵外遊。使君淸致最風流。已經杜老招提宿。誰待蘇仙水洞留。楓葉小溪紅欲盡。松陰高岸翠專稠。鯫生濫被曾孫宴。屢把罇前白玉舟。</text>
<title>桐華寺次贈趙大而 甲寅</title>,<text>尋眞偕入五雲中。峽路顚狂落葉風。消遣世紛謀斗酒。淹留好雨荷天公。靑松戴日年年直。黃菊凌霜處處同。此後佳期難再得。黃靑洞裏訪牆東。</text>
<title>春雨</title>,<text>濛濛春雨潤如酥。面面靑山造化圖。水入新田盈十畒。波添廢沼浴雙鳧。園蔬蔽地枝堪摘。庭草扶階翠欲鋪。多少此間竆巷樂。世無神筆孰能摹。</text>
<title>雨後落梅</title>,<text>通宵微雨濕深衣。詎意冰容一日非。鳥闘幾憐殘雪隕。風狂長恐老仙飛。餘香入戶戶常闢。落艶堆庭庭不治。惆悵芳魂招不得。攀枝愁殺惜春詩。</text>
<title>雨中把酒觀梅</title>,<text>把酒尋梅當一肴。盤桓獨立手頻敲。水精亂落枝頭露。綠線初穿葉裏梢。結子垂垂殘榦亞。生苔拍拍古槎交。最憐根畔靑芽茁。認得孤陽復一爻。</text>
<title>謝趙上舍挺夫見邀壽席</title>,<text>聞道君家開壽酌。享歡具慶樂如何。杯黏千日山頻祝。盤侈三牲物亦多。堂上彩衣萊子舞。座中仙樂莫愁歌。濱死病夫虧下席。只勤東望費吟哦。</text>
<title>諸賢文會于商山玉成洞書堂。李蒼石叔平有詩。次韻識之。丁巳○時鄭愚伏景任，李月澗㙉，金東籬允安，全沙西湜，崔訒齋季昇，任踈菴叔英，聞灘叔季進。皆同是會云。</title>,<text>幾許同懷慕古心。偶然五百里相尋。誰憐放意風雲界。我愛經霜松桂林。莫恨投章類縞帶。不妨酬韻邁兼金。應知此日同衰暮。別後音書竟載沉。原韻 蒼石兩地悠悠十載心。聯翩冠盖喜相尋。僊鄕自昔名芝嶺。人數如今剩竹林。雪盡后山溪瀉玉。雨晴東渚柳搖金。往來勝景多幽趣。蹤跡何嫌轉陸沉。</text>
<title>小有亭。話張旅軒德晦。</title>,<text>江閣薰風夏日長。偶然簪盍共徜徉。伻來揔爲候行意。末至知緣中酒傷。蕭蕭華髮同衰暮。片片心機沒界疆。更把山醪成晩酌。不徒臨別慰離腸。</text>
<title>與五梅弟希魯遊湧泉寺。朴景老來邀賞菊。</title>,<text>我初踰嶺日初沉。溪老猶知二仲尋。藏跋夜分歌欲遏。卧罇人醉月空臨。方塘鏡淨紋還細。疎竹風淸韻亦深。境靜身閒塵事少。滿庭松菊似陶潛。敬次慕翁見贈韻 菊潭年來謝世樂幽沉。境僻而無外客尋。寡與自憐孤陋甚。羣賢何幸一時臨。離懷攄盡歡情洽。秋序高邊醉興深。這事箇中同玩賞。鳶魚一理是飛潛。</text>
<title>題朴景老菊潭精舍 與其從兄景華同居</title>,<text>孰能爲弟孰爲兄。避世含章一樣淸。靜裏雲山都是樂。塵間榮辱肯須驚。東皋日暖連雙璧。南畒春晴作耦耕。門對漁樵全素履。自知天地不虛生。</text>
<title>題遷潭精舍 堂卽季進從叔氏新築也。時叔氏爲北黨所斥。十載歸田。每於佳麗處。輒構堂室。余戲謂曰靑雲之士。不以名利爲心。徒以山水爲樂。胷次間果無一分世慮耶。答曰用行舍藏。非敢自擬。但見棄於世。而幸不見棄於山水云。余甚韙之。吟一律題之。</title>,<text>與時相忘豈徒爾。爲愛溪山特地多。五柳臨門陶令宅。衆山當戶謝公家。霽光亭上風傳爽。琵瑟岑頭雨送花。堪笑長安名利客。忙中不識此繁華。</text>
<title>次權克知草堂韻</title>,<text>小村孤寄小溪前。屋後靑山斷復連。呢喃鷰語疎簷落。圓囀鸎歌遠樹穿。一抹漏雲天柱月。數重和雨武陵烟。習池今日重來賞。空憶當時晉七賢。</text>
<title>題裵直長綠野軒</title>,<text>喬木遷來歲月徂。已成村落鷰生雛。今朝吟賞花千樹。昔日情懷酒一觚。芳草雨過同閬苑。奇峯雲發類蓬壺。人生能向此中老。亦是世間豪丈夫。</text>
<title>次謝李而實 之華</title>,<text>報得瓊琚價幾許。酬情重韻慰殘年。只慚溢美多欺實。要欲修功法逝川。護洞山雲眠壑懶。繞亭湖草亂庭芊。從今來往湖山裏。論道先天細破堅。天地中間我一蠧。虛生今已七旬年。茫乎索照修明鏡。昧却盈科作巨川。荒屋幾時丹雘耀。靈臺每歲綠葹芊。於身只信生三說。君父而師一事堅。奉呈慕堂先生座下 茶浦塵穴疾病相乘巧。違侍鱣堂隔一年。不是臧倉沮孟氏。幾多楊子慕伊川。形縻杜屋重茆下。神會周庭翠草芊。情意肯隨阻闊變。平生信義仰彌堅。多端世味備嘗苦。宇宙吾生四十年。交道淺深金厚薄。人情飜覆蜀山川。途竆末路身誰托。日暮長郊草自芊。爲謝先生眞實意。白頭無負矢愈堅。</text>
<title>甲子二月。定送疏儒蔡明甫 先見，閔汝益 謙，李嘉會 休運。 詣闕陳賀。時适，明璉兩賊就戮。車駕還都。不任忭慶。爲陳賀之擧。作此贈行。</title>,<text>如何感淚太交頤。此別應殊昔別時。大駕纔廵湖內浦。公州 元戎已滌漢城池。兵餘殺氣凝笳解。都下歡情疊皷隨。杯酒釋權眞上策。願陳廊廟達龍墀。</text>
<title>遊安興寺。與崔康侯，徐精甫及希魯同賦。丙寅</title>,<text>安國深藏洞府深。禪窻一席爽塵襟。廉纖小雨知時節。圓囀珍禽競好音。喜君來慰羅浮酒。媿我狂歌縞帶吟。明日歸程愁棄 巖名 下。淸波綠樹更論心。</text>
<title>賞蓮池有感 寒岡先生在世時。余與行甫陪賞于此。</title>,<text>先生曾約蓮池會。齋老堂翁冒後塵。滿眼靚糚依舊態。同心吟賞少前人。淸香溢澤風傳縷。淑氣彌空露有津。還恨韶華時易失。紅房翠幄屢逡巡。</text>
<title>遊浮江亭有感 曾與徐行甫，張德晦遊此。有停字韻。及今重遊。惟李學可，郭敦夫，蔡靜應，都諧甫，李而實若而人。俛仰感慨。吟成一律。</title>,<text>追想前遊十五歲。如何吟日感余情。樂翁已作重泉客。張老方登二品卿。更與主人論舊什。還㩦諸友話時平。酒餘獨倚風櫺畔。亭影浮江月影淸。</text>
<title>丙寅淸和朢日。希魯及都諧甫 應兪 二三年少。將向桐華。過路來訪。詩以謝之。</title>,<text>尋眞不必在高深。亦有幽人九曲尋。月照梧桐淸夜氣。風來楊柳爽煩襟。佳境縱誇多北麓。勝遊何似翫西林。明朝匹馬江村路。重對靑眸共一吟。</text>
<title>謝光山副令 珩 持酒來見</title>,<text>憐吾年序同先世。誠款慇懃使不任。東閣去春初識面。西林今日更論心。多情丙穴魚終數。破寂榴花酒一斟。聞道入秦期不遠。若逢張叟話商霖。時張德晦作憲長。日適旱甚。故言商霖。</text>
<title>偶成</title>,<text>洞號黃靑是我居。機心忘了世情疎。生涯有定三間屋。事業無多一架書。虛白室中餘灑落。玲瓏窻外絶紛如。自成涔寂幽居趣。不必門來長者車。</text>
<title>謝趙府伯 國賓 持酒來話</title>,<text>驚聞喝道午睡餘。正値秋深綠野墟。庭畔樹陰簷外密。溪邊楓葉雨中踈。壺眠誰借榴花酒。盤倒慚無丙穴魚。陪賞今宵留勝跡。世間榮辱任紛如。</text>
<title>寄趙黔澗安仲</title>,<text>衡茅一別夢依依。邈阻聲音已久時。長記在官貽壽板。最思留旆贈情詩。隨風塵事何煩說。明義丹靑各自知。促席揚觴難再得。三淸契寞以爲期。</text>
<title>與希魯。賞柳衛仲蓮塘。丁卯</title>,<text>爲愛方塘晩景淸。去秋今夏我重經。中通外直宜君子。翠幄紅房滿玉京。露津尙濕初開藕。香氣時傳半落英。吟罷周元愛蓮說。不妨臨別一杯傾。</text>
<title>向桐華歷小有亭。次壁上韻。戊辰</title>,<text>切漢危亭上界家。眞人何日紫車過。閒中勝致隨時足。象外風光入眼多。爕理太和罇畔溢。鏗鏘瓊韻壁間羅。忘機事業君知否。也制江山等白沙。</text>
<title>是夕與柳衛仲楊道源 景泗。同宿硏經。</title>,<text>松江一路暮雲深。攜我良朋共幽尋。莊誦壁詩開病目。仰瞻楣額振頹襟。瑤溪戛玉巖邊石。烟柳裁羅望外林。更約諸賢雲塔去。新晴野日助新吟。敬次 沙月堂先生高義入人深。何幸陪遊別界尋。目送奇巖開勝翫。口占詩句露胷襟。曉雲密密封松岳。新日遲遲射竹林。探眞峽路歸筇促。淸澗流聲雜朗吟。</text>
<title>贈鄭姪好信</title>,<text>吾家事業固多程。最愼前頭意馬橫。大法奉持如父母。精微佩服擬神明。先憂間斷工夫害。須愛崢嶸歲月傾。若以髦言無足信。昏衢終恐歎冥行。</text>
<title>憶楊姪景泗</title>,<text>千里崤函一夢勞。如何咫尺更蕭騷。天庭久吝開黃色。空谷終乖縶白駒。春入柳汀時獨詠。夢罷梅牑月孤高。何當促席揮觴話。回首難堪思鬱陶。</text>
<title>羅李池賞蓮</title>,<text>羅李池神笑我狂。往來三載氣猶強。淸香浥露侵衣潤。嫰葉欺風倒𡵫傷。摘實幾供方士餌。採花應製道人裳。霞車此日從天降。會見眞人翠綃翔。</text>
<title>醉贈張旅軒德晦</title>,<text>索居身世各如萍。白首重逢喜十觥。舊事談來多舊意。新詩吟去起新情。貧如陋巷樂無改。貴上名卿恩莫榮。別後後期難再十。只憑魚鴈報安平。</text>
<title>贈崔康侯</title>,<text>三日留連共一房。退之窻外已新凉。傷時幾歎生靈苦。垂老還嗟歲月忙。將雨野雲迷遠近。被風溪柳舞顚狂。年來欹枕看兒戲。君我何曾世味嘗。</text>
<title>贈蔡上舍明甫下第歸來</title>,<text>千里崤函馳遠想。東林豈料共蕭騷。鬂斑霜雪多年別。心約丹靑晩節牢。得失已知春夢過。利名何必性靈勞。從今玄豹林中隱。任嘯溪風山日高。</text>
<title>贈蔡明甫</title>,<text>豪士朋從滿四筵。吾鄕知是好林泉。或歌或舞綠楊畔。相後相先芳草邊。一片年光君愛惜。百杯醇酒我留連。人生長向此中老。焉有閒愁到眼前。</text>
<title>贈鄭姪好仁 二首</title>,<text>吾人志學固多端。最貴無忘造次間。一蹴豈期賢聖域。三年方伐鬼門關。立脚始知爲切己。回頭漸覺不榮官。焚和膏火紛紛子。沒馬紅塵幾日還。吾家事業固多端。不在功名利祿間。及玆暇日探珠海。絶彼柔牽閉玉關。萬語千言明道府。三經四傳戒心官。何須禍福縱橫說。整我驅馳不遠還。伏和先生垂誨韻 暘溪誘我諄諄叩兩端。從容函丈燕申間。烏頭無力嗟何及。蝸角微名也自關。若道千蹊皆敵國。方知四事始爲官。年來擿埴迷前道。坐看飛禽趁夕還。蕭然一室枕溪端。山外風塵滿世間。洛水竹窩眞快活。潯陽蓬戶設常關。靑山有約長輸眼。明月多情不入官。自歎未能承下誨。迷途擿埴幾時還。</text>
<title>己巳除夕。次贈鄭姪好仁。</title>,<text>屈指人間八十年。我今餘日只三年。鷄未唱時猶守歲。鶴初鳴處已分年。君憐光景隨流水。我惜衰傷倍舊年。詩酒團圝酬此夜。不須浮世計行年。</text>
<title>自題畫像 庚午</title>,<text>厥像惟肖半壁心。可占人世庶無心。弗參弗貳循初志。虛死虛生媿本心。山澤窩中終始學。松楸壠畔愴悽心。只餘一幅留身後。誰是他時起敬心。</text>
<title>庚午陽月。府伯李而實設花樹宴于陋棲。榮幸極矣。感吟近體一律。仰呈座下。</title>,<text>吳中宗族雖疎遠。均是同根一泒分。常愛韋家會花樹。曾聞李白宴芳園。深杯大酌親親意。巨筆雄詞世世文。今夕維之一嘉客。須藏燭跋更斟罇。</text>
<title>吾友河陽守都來甫。爲其大夫人開壽席。鄰邑守宰皆會。余亦被邀而參席末。吟成拙句。奉贈主人。兼呈座上。</title>,<text>榮養二州陽與栗。南山頻祝壽金螺。况當花老春將暮。重肆華筵慶若何。堂上綵衣萊子舞。座中仙樂薛濤歌。老夫亦許星郞會。任放蕭蕭雪鬢皤。</text>
<title>冬至時祀後。邀諸友同醉。</title>,<text>一線初添復一陽。天心此日不改常。時羞已薦先人廟。餘餕仍邀麗澤良。豈喜酣觴多伐德。只緣衰暮慰流光。死亡無日曾聞說。願與諸君樂一塲。</text>
<title>八十有感</title>,<text>逐水光陰疾若飛。謾成枯落有誰知。咄嗟今古商歌日。俯仰乾坤浩歎時。節序暗催二月暮。吟哦轉甚一詩遲。虛經八十成何事。顧我平生不耐悲。</text>
<title>自輓 甲戌</title>,<text>命之衰矣吾何恨。腐草人生一過音。永負都兪稷契志。多慚開繼聖賢心。吟風弄月當年事。生順歸寧此日忱。地下修文非宿計。重泉師友契幽襟。</text>
<title>溪東先生輓詞 二首</title>,<text>溪東巷北幸相聯。函丈從容問幾年。一自秦雲離又合。每憐吳月缺還圓。梅花巴水留詩別。楓樹王城共燭眠。慟哭幽明千里隔。迎攀柳車淚懸泉。篤生南紀駕羣雄。孝友移來爲國忠。絶筆直伸當世事。伏蒲誠邁古人風。割鷄焉用牛刀大。薦廟將期鼎鼐中。鍊石如今功未就。天傾何奈海之東。</text>
<title>寒岡先生輓詞</title>,<text>倻岳崩頹兆已見。云亡之慟國人同。宗家正嫡遙傳洛。聖道源流大啓東。身負綱常天地位。心能好惡性情。中伊川不愛吟詩客。康節時稱喜酒翁。出在藩城人望雨。擢除臺府衆欽風。風雲此日天恩洽。魚水當年聖眷隆。分戶堂堂多壁壘。專盟卓卓一英雄。封章北闕輸忠老。臥病南山作苦農。壽道纂言希聖事。誨人成物體天功。泰山喬嶽聞先哲。瑞日祥風見我公。幾拜尺書辭繾綣。每登函丈語從容。如何一疾媒眞宅。畢竟三精晦太空。奧旨微辭誰就正。良辰美景孰過從。終天此日吾何恨。最恨東榮奠未躳。</text>
<title>輓姑夫湖叟鄭公 二首</title>,<text>吾叔之幽我不輓。天年八十福云胡。早時揮筆馳司馬。晩節橫戈走醜徒。律身履正鄕閭服。處衆由和少長愉。偕老堂中雙璧耀。一生能事似公無。山河鍾氣氣頗厚。崖岸軒軒大丈夫。風月自酬詩酒伴。威儀人擬聖賢徒。憂時華髮千莖亂。沒世淸貧四壁孤。猶子視余余未父。只歌雙闋誄幽都。</text>
<title>輓徐樂齋行甫 三首</title>,<text>同門同郡又同時。情義相孚出等夷。合席敬吾忠告友。連牀擬子喚醒師。盈箱尺牘施鍼法。聯帖瓊章救藥詞。屈指平生何忍說。重泉慟哭舊容儀。早慕吟風弄月歸。一生傾倒事吾師。關閩眞訣當膺服。濂洛功程着己持。篤好聖賢千萬語。過從道義兩三知。如何遽失先生志。辜負鄰居百歲期。時寒岡移居泗上倦鳥知還止故丘。伊川東畔是菟裘。林塘有樂賢人隱。松逕無塵處士遊。兒戲一時憑枕看。身閒十畒愛君憂。卷懷大志長休去。哭輓泉臺淚不收。</text>
<title>輓郭槐軒益甫 二首</title>,<text>溫溫德量古人難。深恥忘生七十完。和氣怡聲皆性質。恕人忠已揔心肝。靑陽每唾懷金令。白首還慚頂玉官。命矣如今雖化盡。應書竹帛漢劉寬。痛哭徐行甫。沉綿一疾竟難醫。嗚呼郭益甫。辛苦頻年事又悲。兩賢相繼聊乘化。後生誰從問所疑。却恨老愚遲一死。涼涼失侶獨何爲。</text>
<title>輓宋啞軒學懋</title>,<text>賢友之幽我不輓。一池三貝故山中。蓮芳桂老科名畢。德卲官卑學諭終。諸子璧連傳有世。羣甥玉潤慶無竆。輕塵弱草雖堪恨。七十人間孰似公。</text>
<title>輓李苔巖景任 輈</title>,<text>曾許忘年莫逆交。幾將心事漆投膠。文章早世高名重。奇命如今衆口囂。自分居竆竆有樂。多甘咬菜菜勝膏。斯人斯疾知誰使。爲向蒼蒼擬一號。</text>
<title>輓從叔父處士公 選</title>,<text>嗚呼吾叔今何去。哭輓泉臺不忍題。六十光陰貧病足。一生家造患憂齊。閤裏誰憐孤影。原頭只有脊令捿。從今地下難瞑目。有子呱呱女未笄。</text>
<title>輓朴同知景述 忠後</title>,<text>嗟君此日萬事休。富貴功名水東流。戀恩王國霜毛亂。輿疾鄕關歲月遒。門柳園桃傷院古。鳳雛騏子幹家籌。少年知舊無如我。阻病無將北宅幽。</text>
<title>輓朴鶴巖君信</title>,<text>哭輓鶴巖輓不得。暮天哀淚灑西風。査齋共歎相知晩。江閣重欣逅邂逢。幾恨宦號傳世口。每嗟賢傳未硏竆。蜉蝣人事吾何恃。早晩過從本宅中。</text>
<title>輓從叔父聞灘公</title>,<text>方剛其性直爲名。擬展雲衢萬里程。畢命丹丘祿雖薄。盈庭寶樹死猶榮。風波當日衣袽戒。山水殘年素履行。六十三霜非短折。世間能事揔穪情。</text>
<title>代柳汝𣛀輓聞灘公</title>,<text>痛哭灘翁已九泉。蒼天今日此胡忍。岡門立雪淵源正。溪室觀梅志行盡。世路險時歸永叔。人情難處見高允。問公精爽嗟何在。回首靑山涕自隕。</text>
<title>輓孫聱漢景徵</title>,<text>去年三月梨花雨。君發琴郊扣白扉。自詽羸形殊異昔。寧知微疾竟難醫。耳邊尙在多聞說。床上方留叙別詩。可惜東榮病未奠。送終吟罷淚漣洏。</text>
<title>輓宋蔚山贊㢤 光廷</title>,<text>丹㫌素向何方。洛水倻山是榟鄕。南紀人稱雙璧子。東陲自笑二毛郞。新秋擬作歸來賦。古郡俄驚士女傷。雖殺親親情不殺。西門奚但哭雲長。</text>
<title>輓府使曺善伯 應仁</title>,<text>與君相識知幾年。離合中間疎又數。豈特同心道義交。最憐連泒分情篤。憂時共蔽朔風塵。臨別偏傷片石約。今日乘雲捨我歸。病夫恨未東榮哭。</text>
<title>輓地主李而實</title>,<text>去年花樹韋家會。握手重期桃李園。一疾僑窓醫不利。三淸弱水路終分。明㫌曉啓琴湖渡。歸夢先隨古苑魂。士女攔街如喪考。爭名李姓表遺恩。</text>
<title>輓韓丈景顔 愚</title>,<text>誰道移鄕人則賤。眞諄氣味衆共佳。芳隣鼎立三株樹。生活天寒四壁家。隨處課嚴開後學。持身法密避紛譁。蜉蝣世事何曾恃。七十光陰福亦遐。</text>
<title>輓鄭寧甫 守藩</title>,<text>性情諄古古人稀。行己持身謂學而。就養無方人莫間。愼終靡悔禮多儀。身登虎榜榮還足。子入龍門慶亦垂。如君恩義終難報。哭望新阡誄以詩。</text>
<title>輓朴昌寧孝伯</title>,<text>同庚分義豈云微。相識相親五十幾。弧矢早年期馬革。田園晩節老漁磯。如何一疾終成祟。畢竟三生計已非。屈指山河親舊盡。病夫揮淚濕荷衣。</text>
<title>輓蔡愼仲</title>,<text>元方先逝季方生。視我如兄分義明。俶載公由司稼穡。重修聖廟共經營。年來病篤寧相見。老去朋亡每自驚。今日又題將子曲。兩旬三輓淚更更。</text>
<title>輓都府使翼卿</title>,<text>逸氣終收虎榜榮。靑陽曾慕古人經。歷治大郡多遺政。屢募雄藩善肄兵。天上神仙今換骨。人間富貴只留名。璧連玉潤家傳寶。餘慶應垂萬萬齡。</text>
<title>輓蔡擇仲</title>,<text>痛矣儀形今永隔。平生屈指淚如絲。襟期開豁爲儒者。議論眞諄謂學而。宜享百年多有慶。何圖一疾已堪悲。東榮未哭之幽奠。病老深情子庶知。</text>
<title>輓郭上舍汝達 涌</title>,<text>禍福曾聞未可原。胡然天獨喪而門。幽明會合遲三歲。父子靈筵托一孫。月落空樑成寂寞。風生虛幌鎖黃昏。連年繼歲吟蒿里。淚暗心昏不忍言。</text>
<title>輓都和甫 彦兪</title>,<text>溫溫器度吾和甫。連世相知信久要。風色礙時君豈間。心期托處我曾牢。却嫌百歲如燈火。竟入三淸吹玉簫。今歸想必逢先子。須報朋情已欝陶。</text>
<title>輓孫上舍德夫 慶男</title>,<text>眞諄器度古人曺。莫逆襟期托久要。衰暮行裝慚命駕。綢繆心事喜神交。如何百歲風燈過。畢竟三淸歸路遙。奚獨朋情尤痛切。同宗親義恨難消。</text>
<title>輓李善膺 士慶</title>,<text>六十年來恨何事。首丘心緖最堪憐。故園桑榟悲無守。巖老高風媿未傳。人世親朋辭舊里。鬼原妻子迓新阡。知君此日難離處。滿室孤兒哭徹天。</text>
<title>李學可內相淑人全氏輓歌 溪東先生女</title>,<text>生長先生禮範闈。幾多家訓戒貽罹。溫良性質由天賦。婉娩心機奉憲儀。不見終身有赤面。只聞隨日設絳帷。聲傳風火留人口。何必張林婦德碑。</text>
<title>李可和內相趙氏挽歌</title>,<text>何年結髮隴西歸。中饋無貽父母罹。閨有軌儀風火象。樂宜琴瑟子孫基。如何絳帳今朝徹。畢竟靈帷半夜馳。太岳崇崇孤一塊。去家魂魄幾遲遲。</text>
<title>崔淸叔內相曺氏挽歌</title>,<text>偕老詩亡四紀移。忍令君子着衰朞。宜家永守貽罹訓。傳世常憂幹蠱兒。自擬仙源無面赤。其何媵妾有心非。溫溫壼範留人口。不必張林婦德碑。</text>
