<title>淸明呼韻</title>,<text>一雨淸明過。三山物色新。偶從江上路。尋得洞中春。</text>
<title>往歲。聖天子降誥命于我東宮。而冕服未頒。擧國臣庶。猶或慊然。今玆賀至之行。始有陳奏之議。兼是二者。而且其間大有周旋之事。自上命揀上副。毋論大官。惟材是擇。於是大冢宰少陵公。長御史芝峯公。乃膺是選。盖其事重。故其選若是其妙焉。不佞於二君子。弱歲交也。慶使价得人之盛。而前來宣力於上國者。動中肯綮。咸得其機。足以弛楓宸之憂。慰臣庶之望矣。玆長言而歌其事。辭之蕪拙不計也。仍以贈兩君之行。[朴慶新]</title>,<text>少海要玄冕。初陽賀玉京。命掄雙箇鳳。嬴得一時英。栢府調都憲。天官輟正卿。文章俱世瑞。氷蘗兩家聲。近古無前例。周旋借老成。誦詩推籍偃。稽古眷桓榮。紫極徵專對。靑宮戀遠征。俶辰脂使轄。傾洛餞行㫌。鴨水今三過。燕都幾萬程。獨賢緣靡盬。經舘却非生。僕御知名字。居停慣送迎。遼陽寒沍早。鶴野朔氛輕。山峙醫巫壯。關臨渤海平。驅驂度原隰。指日達承明。閶闔連雲邃。琅玕滿腹呈。祗應諧素願。寧不感丹誠。甚急今行事。還矜此日情。陰陽雖有患。命義本無營。减幣能存鄭。裳實衛荊。楓宸解紆軫。黎庶獲蘇醒。顧我慚孤陋。看君慶共貞。城東舊聯榻。指芝峯 海內偶同庚。指少陵 筮仕差先後。論交若弟兄。離懷如病葉。斗覺望秋驚。</text>
<title>往歲。聖天子降誥命于我東宮。而冕服未頒。擧國臣庶。猶或慊然。今玆賀至之行。始有陳奏之議。兼是二者。而且其間大有周旋之事。自上命揀上副。毋論大官。惟材是擇。於是大冢宰少陵公。長御史芝峯公。乃膺是選。盖其事重。故其選若是其妙焉。不佞於二君子。弱歲交也。慶使价得人之盛。而前來宣力於上國者。動中肯綮。咸得其機。足以弛楓宸之憂。慰臣庶之望矣。玆長言而歌其事。辭之蕪拙不計也。仍以贈兩君之行。[姜籀]</title>,<text>夙將孤陋景龍門。山斗勤瞻地望尊。投分敢言交契淺。傾情欣荷德音溫。星高北極槎程遠。家隔南雲鴈路昏。是處傷心非一事。臨歧更斷黯然魂。</text>
<title>往歲。聖天子降誥命于我東宮。而冕服未頒。擧國臣庶。猶或慊然。今玆賀至之行。始有陳奏之議。兼是二者。而且其間大有周旋之事。自上命揀上副。毋論大官。惟材是擇。於是大冢宰少陵公。長御史芝峯公。乃膺是選。盖其事重。故其選若是其妙焉。不佞於二君子。弱歲交也。慶使价得人之盛。而前來宣力於上國者。動中肯綮。咸得其機。足以弛楓宸之憂。慰臣庶之望矣。玆長言而歌其事。辭之蕪拙不計也。仍以贈兩君之行。[車天輅]</title>,<text>執壤天庭四海同。一封書奏獨吾東。爲緣國本安磐石。必待身章出帝宮。專對會須當代彦。誦詩誰是古人風。定知枚卜材兼望。不在諸公秪在公。</text>
<title>李相公再赴燕京[鄭文孚]</title>,<text>朝廷重專對。妙揀大夫賢。夙誦詩三百。重遊路四千。眼明周禮樂。跡慣禹山川。竣事歸須早。宮麻待子宣。</text>
<title>李相公再赴燕京[李馨遠]</title>,<text>身佩安危鬂欲華。風雲千載際亨嘉。持衡舊識山濤鑑。捧節新乘博望槎。命服七章須賜誥。浮灰六琯政吹葭。歸來定在寒梅後。喜見丹墀降白麻。詔</text>
<title>奉贐李少陵朝天之行[申欽]</title>,<text>銅禁䟽榮日。皇家典冊隆。禮須明物采。事要達宸聦。使節掄朝望。藩儀趁會同。煥猷貞一德。恭職罄丹衷。儐接尊邦軆。銓衡秉道公。新恩頒七命。專對佇全功。箕尾天文炳。幽燕地理雄。玉京佳氣裏。金闕瑞雲中。鴈塔叨聯袂。鵷班齒下風。仙槎攀不及。卿月麗層空。</text>
<title>少陵公與余同榜。且同載筆。而余之持節出閫。已十餘年。今於公朝天之行。因次頃年別我韻以贈。[韓俊謙]</title>,<text>賀節祈恩聘上邦。使乎殊簡屬洪厖。才難宿學能專對。路絶千山更萬江。南陸始添陽度一。東藩新照月輪雙。誰知海外謳歌意。佇見龍章未暫降。又家世風流冠一邦。靑雲器業稱奇厖。長懷簪筆趍深殿。不忘題名醉曲江。萬里驅車秋過半。十年持節鬂凋雙。昔人已恨同衰暮。離思紛紛苦未降。</text>
<title>奉送李少陵[李安訥]</title>,<text>滄海無津玉絶瑕。羽儀天路際亨嘉。山公藻鑑甄人物。謝傅風流鎭國家。不憚崇班充上价。應知淸裁動中華。陽生紫極朝回日。鶴禁新章降帝麻。又世事年來劇蝟毛。誰憐螘垤縶人豪。西超鴨水眞爲快。北走燕山未是勞。胡地雲沙連塞濶。帝城宮闕拂天高。遙知望海亭前過。一釣滄溟鱠六鼇。</text>
<title>奉送壯元李少陵[崔起南]</title>,<text>王國無雙士。東方第一人。鵬騫得羊角。雲起逐龍鱗。際會先朝舊。登庸此日新。風稜都御使。喉舌古知申。八座俄超拜。三台已暗親。周官宗太宰。秦鏡瑩秋旻。人物多甄拔。朝廷賴協寅。聖情偏有眷。輿望更無倫。甲觀通馳道。前星照北辰。已蒙恩冊降。猶欠寵章臻。律管吹灰散。軒皇得策神。潛陽七日復。執玉萬邦均。奉表朝丹陛。飛章籲紫宸。此行尤覺重。上价更精掄。象笏纔承命。星軺已戒晨。千官開祖帳。駟馬動征輪。少昊司西候。邊鴻自北賓。關河經歲客。金玉報恩身。白露團如玉。黃華疊作緡。別時凉燕子。歸日落梅春。內帛分光寵。宮袍備綵珍。題封花蛺蝶。襞積繡猉獜。始信資專對。還須秉大均。仙槎看縹緲。黃閣待經綸。馬榜聯名忝。龍門荷眷頻。世情還自笑。交態見君眞。舊義元投㓒。餘波幸照鄰。離期不隔日。卧病便經旬。未握河梁手。全添鬂畔銀。西風吹別梦。飛渡鴨江津。</text>
<title>奉贐李少陵[權韠]</title>,<text>可但朝中屬望勞。向來多士仰仙曹。佇看鼎軸登黃閣。却捧絲綸拜赭袍。霜重薊門秋樹落。雪晴燕塞朔雲高。定知丹陛趍班日。指點東韓第一豪。</text>
<title>奉送少陵李公赴天朝 幷序 [任叔英]</title>,<text>少陵李公。才堪濟世。遠承九佐之風。業貴匡時。高踐三卿之位。山河粹氣。騰宰輔之殊姿。宇宙淳精。發英賢之異表。鶴鳴雲路。仙禽知夜半之期。龍躍天衢。神物應春分之序。謙虗溫謹。司農鄭默之芳䂓。忠肅篤誠。光祿薛兼之懿範。淸明在體。氣動霜臺。文雅沿心。光浮玉署。皇居帝室。攀國信而將朝。金闕銀宮。接宸儀而可陟。玄貂映日。飄颻渤海之區。白馬嘶風。蹀幽州之域。歌謠慷慨。詢舊俗於燕都。原野蒼茫。訪前途於鵠塞。于時炎飈謝節。行看氣候之寒。少昊司晨。坐覺光陰之晩。於是賓僚霧集。祖帳遙開。罇俎星陳。離筵暫啓。雖瑤觴紓興。且悲萬里之遊。而玉札飛文。敢效一言之贈。仙都佳氣欝葱葱。萬里觀光起我公。可使華人歆令德。亦如東土服高風。郊門草木淸秋後。海國江山落照中。將老不堪離別恨。側身西望意無窮。</text>
<title>挽詞[晉原府院君柳根]</title>,<text>乙酉冠司馬。于時忝考官。庭魁赴殿試。丙戌點朝班。藻鑑吾何預。英才自古難。威儀常自攝。度量主於寬。儐相肩曾並。周旋力共殫。靑雲近槐棘。玉樹盛芝蘭。晩失雙珠烱。身無一日安。稀年慳五載。後死獨悲嘆。</text>
<title>挽詞[延原府院君李光庭]</title>,<text>魁躔才望逈超倫。黑髮重金耀搢紳。黃閣未登公輔器。蒼天還奪老成臣。滿床簪笏門閭大。過隙光陰六十春。父子朱輪終寂寞。一丘雙塚自成隣。</text>
<title>挽詞[延平府院君李貴]</title>,<text>魁星烱與德星高。一代朝紳屬望勞。半世悲歡鴻鴈序。暮年哀慶鳳凰毛。履聲斷絶軒墀寂。柳色凄凉吏卒號。英彩緩辭無復接。秪今追想在同袍。</text>
<title>挽詞[兵曹判書金尙容]</title>,<text>少日山房同筆硏。中年玉署共聯翩。冲襟曠度歸時望。厚德崇榮溢世傳。黃閣功名眞盛矣。白頭交契故依然。秋風曉月驪江路。哭送銘㫌涕瀉泉。</text>
<title>挽詞[知中樞府事李慶涵]</title>,<text>碧松千丈棟樑含。間氣鍾英德宇涵。一代名聲推斗北。七龍才譽近河南。年高尙靳稀年五。位峻猶慳鼎位三。邦國老成天不憗。公私沉痛若爲堪。</text>
<title>挽詞[海嵩尉尹新之]</title>,<text>貳公聲望動簪紳。忠孝傳家六十春。名位穹崇心益小。兒孫盛滿室猶貧。賢於石奮非惟謹。壽較汾陽恨未臻。烏鴨奄開千歲宅。靑山有力奪斯人。</text>
<title>挽詞[右參贊李睟光]</title>,<text>宇宙無情甚。公胡遽至斯。詩書元世業。忠厚本天資。位望隣台座。榮名到鳳池。東銓推藻鑑。前席倚疇咨。奕世文星大。盈庭玉𡬾奇。福方時共羡。灾與病相隨。國耳身先瘁。天乎藥未醫。露朝殘翠薤。霜晩折瓊芝。士抱云亡痛。民含不憗悲。流年慳七秩。餘慶仗諸兒。後死嗟誰與。平生最見知。忘形輸膽肺。托契去毛皮。鸞掖聯襟夕。燕都並轡時。幽明今永隔。德宇奈難追。訣別應無幾。摧傷不自持。那將滿眼淚。灑向菊花枝。</text>
<title>挽詞[兼禮曹判書李廷龜]</title>,<text>科甲聲名早。靑雲自致身。居然廊廟器。展也老成臣。晩節官如寄。危朝跡已屯。榮憂眞夢耳。萬事一沾巾。</text>
<title>挽詞[韓平君李慶全]</title>,<text>當時我齒纔逾十。計是公年亦未冠。癡少稍存行序異。追隨猶托弟兄間。出遊雲路有先後。多少世緣俱等閑。僑寓忽忽仍別席。歸來草草望朝班。誰知一疾終難起。忽謾浮生去不還。優暇屬蒙來掃沐。無從遙灑倍汎瀾。靑山隱隱蟠驪峽。丹旐依依轉斗灣。極目巨卿何處哭。斷雲踈雨鎖荒巒。</text>
<title>挽詞[吏曹判書吳允謙]</title>,<text>傾盖敷腴四十秋。每將心曲盡綢繆。江干一疾違靑眼。宿歲深交到白頭。光閉德星歸太素。寵回卿月感冥幽。家聲燀爀知能繼。人道徐公百不憂。</text>
<title>挽詞[都承旨鄭經世]</title>,<text>屈指交遊四十春。知公雖衆莫吾眞。徐言不怒翻羹婢。曠度能容唾面人。茵鼎向來寧滿德。丘原今日但傷神。諸郞謹厚諸孫秀。餘慶行看奕世新。</text>
<title>挽詞[大司憲鄭曄]</title>,<text>雅量人爭服。崇班世共榮。鳳毛皆有彩。鷄夢遽何驚。天上添仙籍。朝端减老成。舊交零落盡。白首淚縱橫。</text>
<title>挽詞[左尹尹暘]</title>,<text>國在艱危日。人興殄瘁時。崇班老成盡。靑史姓名垂。偉器今難見。高風竟莫追。一爲斯世恨。未敢哭吾私。</text>
<title>挽詞</title>,<text>少小香林寺。曾同負笈遊。晴窓吟短簡。夜雨共寒裯。誨語銘心曲。浮生盡白頭。衰遲無處着。末路失良儔。</text>
<title>挽詞[判决事南以恭]</title>,<text>落月西廳禁漏傳。秋宵無寐獨潸然。靑綾玉署曾同直。白首金蘭問幾全。朝著似公那更見。交親於我孰相先。以榮爲懼心常抑。持滿如虗福自綿。位逼台躔資小縮。壽慳稀路運還邅。眼看袍笏常盈侍。頭點雲仍每滿前。久負參尋因永訣。獨留人世亦何緣。秋風淅淅秋江冷。慟哭荒原何處邊。</text>
<title>挽詞[兵曹參議全湜]</title>,<text>文星初照地。卿月竟麗天。身老名愈盛。官尊德益全。于門從此大。郭裔更多賢。送者車千兩。哀榮有足傳。</text>
<title>挽詞[同副承旨睦大欽]</title>,<text>秀骨堂堂禀華嵩。妙齡已有老成風。魁星並曜聲名大。卿月昇輝事業隆。玉𡬾盈庭雖可慰。天年未耋更堪恫。空餘古壁紗籠在。尙憶當時淚不窮。</text>
<title>挽詞[右承旨趙誠立]</title>,<text>癸亥日南至。貞陵舊宅裡。持刺納賤名。倒履相迎喜。台儀尙無𧏮。鶴姿頗軒昂。呼兒羅酒漿。慇懃爲誘奬。姻親若無分。厚義誰與讓。悲歡雜今古。叙盡卄年故。諄諄繼感慨。不覺西日暮。小子拜稽首。飽德仍醉酒。歸來忽經年。荏苒緣卯酉。如何厭世紛。一朝乘白雲。吾人失蓍龜。善良於何薰。賴有蘭玉茁。箕裘孝與忠。漑根應食實。吾知德業崇。挽歌非外事。秪是戀高風。</text>
<title>挽詞[前行淸州牧使金壽賢]</title>,<text>文章早占兩塲魁。經濟皆言不世才。德厚家聲同萬石。金貂班秩逼三台。塩梅政繫蒼生望。薤露還驚玉樹摧。一榜親知餘白首。牙琴絃絶可堪哀。</text>
<title>挽詞[同知中樞府事金大德]</title>,<text>座上春生氣象溫。聞風能使簿夫敦。七男四女門闌盛。弘化崇班位望尊。慶有餘休知善報。仁無高壽訝前言。爲郞夙荷中心眷。執紼今晨倍斷魂。</text>
<title>挽詞[兵曹參議金德諴]</title>,<text>風範凝嚴寡悔尤。量爲人服德爲優。職當弘化憂時亂。壽際澄河覺夜脩。坊號壯元猶自在。橘林佳實未堪籌。驪江亦是歸原籍。莫喚身前葬鯉愁。</text>
<title>挽詞[同庚侍敎生朴慶新]</title>,<text>少年才器兀然蒼。喫着還饒冠二塲。勳績早收唐學士。起居常服漢諸郞。周仁自恃當官直。安世寧知僵柳祥。寅畏嚴恭全五福。却乘箕尾白雲鄕。</text>
<title>挽詞[行判决事元鐸]</title>,<text>巖巖氣宇廟堂儀。滿室春風福祿滋。六十諸孫頷謁日。簪纓七子侍傍時。文章餘事魁元再。名位猶嫌貳相卑。秋晩驪江薤露斷。朝家無復倚蓍龜。</text>
<title>挽詞[李莘]</title>,<text>蒼生想望致時康。天奪胡爲易簀忙。半世行藏雙綠野。千年福祿二汾陽。巨川欲濟無舟楫。大廈垂成失棟樑。義忝通家來執紼。忍看丹旐向烏崗。</text>
<title>挽詞[副校理李埈]</title>,<text>魁星燁燁再騰精。早被君王識姓名。厚德鎭浮山並峙。雅懷無累水爭淸。祥儀盛世看來鳳。壯志初年欲掣鯨。自有高才符俊望。固宜平步取公卿。家聲石奮眞同謹。世澤汾陽可比亨。愛物應知餘慶遠。檢身寧患發言輕。晩來骨肉悲零替。病後親朋廢送迎。夢罷妖鷄傷太傅。鳴哀老馬閉佳城。芹宮夙幸蒙殊遇。芝札頻傳寫別情。一疾豈期成異路。九原倘得會同庚。回頭往事波空逝。慘目新原草又生。曉月漢江南去路。西風吹斷露簫聲。</text>
<title>挽詞[副修撰金時讓]</title>,<text>故國非喬木。吾猶及老成。金門頻待詔。玉筍久持衡。軒盖家庭隘。芝蘭內外榮。銀臺荷知奬。題挽倍傷情。</text>
<title>挽詞[兵曹正郞吳竣]</title>,<text>二十年前芹泮上。當時師表動儒林。朝中德望推黃閣。官大謙恭見小心。未信神明扶愷悌。無端藥物苦侵尋。却爲門下過逢地。淚入淸秋薤露吟。</text>
<title>挽詞[前府使金蓍國]</title>,<text>蓮桂皆攀第一枝。文華德望冠明時。位躋左贊人猶憾。壽未稀齡理不知。樑木已摧何所仰。士林長慟失稽疑。謝家今見芝蘭茂。餘慶將來倘可期。</text>
<title>挽詞[前僉正姜籀]</title>,<text>恭惟名閥冠雲霄。華胄嬋嫣世珥貂。積德歸成賢相國。嘉猷黼黻聖明朝。胸襟彭蠡秋江濶。符彩瑤臺雪鶴翹。戰藝靑春誇玉桂。摛文碧沼擷蘭苕。三塲喫着心何在。一節忠勤鬂已凋。累踐天曹懸水鏡。貳卿台閣邈風標。雲翁接引輸恩欵。柱史謙虗去色驕。七顆隋珠皆特達。大兒鵬海獨扶搖。可憐烟草無窮恨。更哭瑤林第五條。桂樹鸞鳴渾快壻。玉山蘭茁緫仙苗。尾書石奮雲仍盛。首頷汾陽緖業遙。百祿平生徵福善。六旬超忽泣瓊瑤。人誰戀德能無涕。我獨懷賢益不聊。曾鎖春坊陪笑語。更從賢督忝同僚。許遊門舘容踈賤。時辱魚書問寂寥。蓮榜幾人猶在世。風燈短夢已殘宵。孤雲暗斷貞陵洞。寒月空明洛水橋。喬木冷烟秋寂寂。驪江歸櫬水迢迢。百年存沒天難問。每見遺文淚自飄。哀挽寫來情不盡。高林爲我送寒飈。</text>
<title>挽詞[前府使李景稷]</title>,<text>舊日門生忝。曾年郞署陪。宏詞何藉藉。雅量更恢恢。台鼎爭推望。棟樑忽見摧。那堪過古宅。隣笛一聲哀。</text>
<title>挽詞[龍驤衛崔晛]</title>,<text>磅礴山河氣。冲融降碩人。金門魁北斗。文陛儼朱紳。襟度包江海。風神邁等倫。深林藏霧乙。邃壑化雲鱗。萬石心猶遜。汾陽福自純。省臺登衮衮。庭戶慶振振。遠害由沉晦。與時豈苟徇。定知公輔望。方際聖明辰。二竪嬰何遽。三階彩忽淪。鬻衣悲士類。罷市泣生民。愚魯蒙殊奬。吹噓荷最親。德容欽欵欵。嘉誨聽諄諄。漢嶺千回夢。風霜十載春。重逢新日月。相對舊精神。貞洞言猶楚。龍山問未頻。扶持謂有力。醫藥竟無眞。祖道虞歌夜。情親哭送晨。城南卧病客。辜負一杯陳。</text>
<title>挽詞[修撰鄭百昌]</title>,<text>流行坎止不崎嶇。器宇元知大丈夫。宿德淸時期鼎軸。老成漓俗仰楷模。朱輪父子榮光盛。白首君恩視遇殊。英爽忽隨長夜盡。獨留陳迹𡬾龜趺。</text>
<title>挽詞[正言尹墀]</title>,<text>耆舊今淪喪。邦家失藎臣。江河思度量。喬岳返精神。位已台衡近。人看福履純。諸郞白眉在。應更付經綸。</text>
<title>挽詞[行司直金矱]</title>,<text>文章德業在人先。冠冕朝端四十年。萬石門闌元福祿。謝庭蘭玉且才賢。依俙松菊城西宅。寂寞琴樽醉後筵。天上定隨箕尾去。世間留與姓名傳。空山落木悲秋日。古峽寒風咽夜川。痛哭柩前難盡意。爲題哀挽寄重泉。</text>
<title>挽詞[兵曹正郞尹順之]</title>,<text>春來頻造翟公門。欝欝靈光喜獨存。絶席已經三事貴。待人常假一團溫。芝蘭此日傳家盛。槐棘當年屬望尊。大澤忽驚龍虎逝。福星還與輔星昏。</text>
<title>挽詞[副應敎李明漢]</title>,<text>金榜重呼第一名。汝南家世漢公卿。石君晩節猶無恙。丙相當時已有聲。接屋朱輪兄弟貴。滿庭瓊樹子孫榮。憑床片語成長訣。欲奠單杯淚濯纓。</text>
<title>挽詞[吏曹佐郞李敬輿]</title>,<text>春來賓舘候寒暄。庭草階花獨掩門。垂淚爲言先世義。開心更向後人敦。方期鳳下黃圖煥。誰道龍藏白水渾。事業文章應不朽。蘭臺看取汗靑存。</text>
<title>挽詞[吏曹正郞李楘]</title>,<text>昔我先朝仗重臣。一時恩遇逈超倫。早占雲路名逾盛。晩涉風波志不磷。謝氏兒孫森玉樹。石家門戶並朱輪。從今故國無喬木。慟哭耆英少一人。</text>
<title>挽詞[禮曹佐郞李景奭]</title>,<text>望屬台階自妙年。壯元聲價更誰先。心期歲晩簪纓倦。際會時淸疾病纏。謝氏芝蘭今復見。石君門戶世爭傳。泉臺亦有悲歡否。正對尙書宿草阡。</text>
