<title>答太白山僧 少時携季氏進士公。讀書太白山中。有僧呈一絶曰世上雙才子。山中一老吾。誰知儒與釋。今日反吾徒云云。</title>,<text>虛無寂滅汝。明德新民吾。今日雖同席。吾徒豈汝徒。</text>
<title>輓權丈 澄</title>,<text>南嶠文星半夜明。騷壇聲譽幾崢嶸。功名落魄逢三刖。詞賦瑰奇學二京。不設畛畦人共慕。獨專丘壑世誰爭。年來前輩凋零盡。一字題時一涕橫。</text>
<title>挽趙季昌 大胤</title>,<text>詩禮家聲遠。風流逈絶倫。襟懷元豈弟。氣味復溫醇。怡色承顔際。開心接物辰。工程堅素履。純性感氷鱗。病爲居喪善。窮由賦命屯。林泉頤晩景。水竹養閒身。已識天無定。爭如鬼見嗔。盆歌纔隔歲。鶴夢俄成眞。福善神何昧。行仁禍反臻。踈蹤曾托契。半世幾追塵。分誼婚姻重。心情骨肉親。幽明恨自結。存歿痛還均。惻惻孀孤女。哀哀病棘人。餘生堪涕淚。泉下定悲辛。波咽長川水。雲悽甲峀垠。西門那忍過。殘笛夕陽隣。</text>
<title>挽權爾楫 涉</title>,<text>相公遺澤久猶存。詩禮家聲屬後昆。加五稀齡知種德。有三庭樹足持門。閒中日月無功酒。靜裏乾坤謝眺軒。追憶陪遊今寂寞。秋風哀淚灑荒原。</text>
<title>挽金懋哉</title>,<text>早騁詞華業未成。晩家溪里保安貞。自無邊幅爲人態。更有中心不世情。壽嗇仁賢天可必。灰飛池底夢還驚。塵埋螢榻書千卷。春老苔階竹數莖。殘日笛聲偏感耳。空樑月色倍沾纓。庭前幸賴雙蘭茁。餘慶將看世世榮。</text>
<title>喜雨</title>,<text>坐看前溪水已生。東窓睡覺又流鶯。農人來報桑麻喜。茅屋三間卧太平。</text>
<title>輓詞[權斗寅]</title>,<text>邦國應須士。東南賴有公。竟無宣室召。忽向岱山怱。耆德鄕閭盡。哀傷遠邇同。白頭愁獨立。天地又春風。又踽踽將安放。茫茫只自悲。無端憶姊淚。又灑哭公時。不但吾私慟。其如世運衰。驛南春草綠。那忍更攀輀。</text>
<title>輓詞[趙德鄰]</title>,<text>華胄遙遙代有承。舊家遺範至今稱。南河講道塤箎盛。北海傳經次第升。並蔕芙蓉三朶萼。雙淸官閥一條氷。蓬山自是公歸處。知在瓊樓十二層。又天上德星今夜晦。庭前玉樹昔年傾。傷心起看淸霄色。减却從來幾箇明。</text>
<title>輓詞[李棟完]</title>,<text>妙年治學上天衢。文彩傾人望實俱。洗滌寧君歸凍蔗。皎廉爲郡復明珠。林間龍卧天時乖。嶺外山摧善類孤。惆悵從今無所仰。空留秋月照氷壺。</text>
<title>輓詞[權斗經]</title>,<text>詩禮家聲赫世傳。銀臺玉署見儒仙。施爲澹泊身心靜。進退從容望實全。福祉優優鄕里艶。科名濟濟子孫賢。無端一枕驚春夢。南國衣冠道索然。</text>
<title>輓詞[裴正徽]</title>,<text>自是先賢胄。端知舊業持。揚名從世路。嚮用効經帷。飽嗜辛甘味。頻經進退期。居然成故跡。聊以哭吾私。</text>
<title>輓詞[李浹]</title>,<text>聞韶舊華胄。衮衮挺英偉。公襲家庭學。梗枏拔凡卉。妙年闡甲科。委佩近丹扆。金精價自定。玉切器益貴。風裁諫草袖。當時分涇渭。泛泛瀛海槳。不憚蹀蛇虺。滄海忽大變。十年瞻象魏。進塗閼而闢。夙夜恭厥棐。耿介老彌操。朝議重端毅。職親惟允地。亢亢無所畏。都門風雨亂。去國發歔欷。歸來洛北村。掬流洗膓胃。倚伏叛洄泬。投杖且强慰。翛然保幽閒。世事任集蝟。靈光獨巋然。君子信有斐。今年不在酉。遽返山河氣。鯫生早見知。竊幸識風味。幼侍先子側。談論聽亹亹。南來忝同籍。形阻心不諱。歷數舊簪紳。存者復有幾。耆老木已拱。少壯亦半鬼。慟哭非但私。此悲公知未。嗟乎長往日。朝服始復衣。行將餞蒿里。春暮月初朏。丹㫌拂晨光。溪堂蔽蘆葦。無心嶺上雲。傍簷猶靉。千秋良史筆。名在諫林煒。</text>
<title>輓詞[張璶]</title>,<text>考德宜崇秩。明時反隱淪。論思違近密。獻納遠星辰。專靜心多妙。餘波善有隣。方憂殄瘁日。又復失斯人。</text>
<title>輓詞[權聖矩]</title>,<text>澡身正色立淸朝。讜說𧮯言出庶僚。世道百紛行不躓。精璆三火彩彌昭。如斯舍達看髭髮。能遣蠻蜒奠荔蕉。多少悲歡無與語。可堪知舊日零凋。</text>
<title>輓詞[金聖佐]</title>,<text>高才日陵替。嶺運何其否。頻題悼亡章。幾逬知己淚。獨有此令在。吾黨有所恃。江雲與渭樹。一別如弦矢。十年不見書。一面安可冀。今聞又騎箕。浮生嗟已矣。纏緜卧枕席。不覺自驚起。默念薰蘭室。四十年前事。鬚生叔起頤。氷淸退之齒。各以少年稱。通籍金門裹。霜滿待漏靴。環壓朝天轡。騷壇細論文。酒樓時同醉。池上有鳳毛。幷騫千仞翅。繡衣霄漢立。騘馬人共避。綵服庭闈趨。花塼草交視。交歡父子間。百年期生死。滄桑變一夕。缺隙騁六驥。嬴博旋號日。紼謳聊寓意。仁期必得壽。天胡不憖遺。忍將當日淚。重濕此挽紙。承宣官豈滿。方伯位亦未。况復代索誄。尤覺心如燬。昌黎未耋艾。三世哭馬氏。人世何如也。感無今古耳。素車負元伯。束芻慙孺子。緘辭瀉一悲。英靈知不知。上爲邦家慟。下而哭吾私。塵箱有遺篇。重傷懷舊志。昔余守子春。分手各千里。臨歧惜解携。爲題送別字。今朝眼忽開。幽吟淚如水。</text>
<title>輓詞[李杲]</title>,<text>妙年高議動花塼。晩節懸車樂自全。敎得兒孫擢蓮桂。任他滄海變桑田。淸寒誰道前方伯。痛飮爭稱舊酒仙。吾嶺達官從此盡。故家喬木但依然。</text>
<title>輓詞[權斗紀]</title>,<text>玉署銀臺職最親。當時子父映儒紳。文星先隕精英閟。耆宿獨懸光彩新。白屋淸寒心自潔。黃堂惠愛化彌循。平生奬掖慙情眷。哭望龍門淚滿巾。</text>
<title>輓詞[李栽]</title>,<text>開老東岡伯。連倫振大猷。惟公肯堂搆。於世映琳球。玉署遺芬在。銀臺舊跡留。怱怱悲殄瘁。薤露不成謳。又京邸趨庭日。公來貳度支。愧携鬷蔑手。欣接紫芝眉。世路升沉異。人間契濶悲。祇今還一慟。忍賦八哀詩。</text>
<title>輓詞[金世欽]</title>,<text>開巖之後見其孫。風味溫溫玉不言。靑鎖赤墀垂沛渥。白雲蒼海惱羈魂。功名葉薄尋初賦。榮辱毫輕付酒樽。十載未收東野淚。可堪今日又荒原。</text>
<title>輓詞[李琓]</title>,<text>靑春拔擢荷龍光。白首丘園遠廟廊。豈是聖心移愛惡。都緣世變有滄桑。漢家宣室期前席。王子天棺遽下堂。昨日嘻咍今不見。可嗟南嶺屬凄凉。</text>
<title>輓詞[朴希閔]</title>,<text>開翁種德世多賢。衣鉢看公早得傳。昭代功名皆極選。平生淸福獨能專。只緣老閱悲歡事。猶喜身如盛壯年。吾道忽驚蕭索盡。韶光空滿虎溪邊。</text>
<title>輓詞[丁惟愼]</title>,<text>南國家聲大。開巖厥有孫。妙年通桂籍。高步上金門。淸白光先業。詩書裕後昆。風儀今永隔。吾嶺復誰存。</text>
<title>輓詞[李學標]</title>,<text>厄會偏吾黨。南州公又亡。儒林今寂寞。經幄更凄凉。直道難容世。淸名秖自香。他時人物論。父子共傳芳。</text>
<title>輓詞[李後榮]</title>,<text>君是吾南碩望人。妙年文彩動朝紳。家聲父子孫三世。事業淸忠孝一身。二品功名寧稱德。七旬光景未徵仁。堪嗟嶺運從今盡。也爲公私淚滿巾。</text>
<title>輓詞[金昌錫]</title>,<text>江左吾宗大。開巖有厥孫。家聲稱趾美。庭訓得尋源。鴈塔題名早。鵬溟擊水飜。簡簪懷直氣。粉署掌弘論。汝北愁狐立。潮陽喜鰐奔。在家瓢有樂。蘊櫝玉無痕。天上風雲合。人間雨露繁。庭趨經幄士。身帶月卿恩。海曲辭熊節。池邊笑鳳蹲。波瀾掀地脉。蹤跡阻天門。龍蟄寒威緊。鴉喧暮色昏。尤天重擲杖。憂國細傾樽。白日喬棺下。靑山謝宅存。廈摧樑楝屹。國失蓍龜尊。小子將安放。高風永不諼。頂鍼規每切。世榜分愈敦。霎夢成千古。音容隔九原。何時陪杖屨。獨立涕空捫。</text>
<title>輓詞[李簠]</title>,<text>妙齡通桂籍。中歲作筵臣。啓沃誠恒切。歸休樂有眞。悲哀聞巷哭。殄瘁悼廷紳。白髮餘生在。緘辭淚滿巾。</text>
<title>輓詞[柳後光]</title>,<text>玉海源流遠。開翁有是孫。美質如玉潔。和氣似春溫。濡染承庭訓。沈潛服聖言。早持南國朢。俄化北溟鯤。整笏金華省。含香建禮門。直聲螭陛動。芳譽𪆽班喧。庾子連矯翼。王門共醉恩。細氊方奏議。宦海忽驚翻。得喪身何與。夷險志益敦。收將廊廟手。來把野村樽。淸洛雙龍卧。浮雲九闕昏。髮黃經世變。心泰任時屯。卷牘羅鱣席。兒孫食草根。淸寒人共服。禍福數還存。子夏纔枯眼。莊周又叩盆。尙看公不老。爭道壽應尊。復起蒼生望。重來洛士論。如何三日疾。遽作九原魂。玉折輿情惜。樑摧大廈掀。誰擔當世任。無啓後生惽。白筆看良史。靑氊屬後昆。顧余樗櫟質。結義朱陳村。半世思無厭。百年擬莫諼。哲人天不憖。疲苶世誰援。化鶴遙華表。寒煙鎖古園。公私無限痛。今日哭荒原。</text>
<title>輓詞[權泰時]</title>,<text>夙歲飛騰耀羽儀。玉堂金馬摠相宜。淸脩苦節羣公表。密勿嘉猷聖主知。世變已經千疊浪。化翁還嗇七旬期。東南俊乂從今盡。雪涕長吟殄瘁詩。</text>
<title>輓詞[柳敬時]</title>,<text>家聲赫舃有從來。園木深根也自培。妙歲名譽推孔禰。淸朝文彩動鄒枚。鳳毛浴處恩波濶。驥路通時遠武開。佩竹曾聞治暫試。伏蒲誰料禍爲媒。三年瘴海歸唐介。百歲高堂舞老萊。忠孝一身全懿德。古今何代乏賢才。論思密席趨香案。敷命喉司應斗魁。洛北歸舟惟載鶴。湖西故宅早尋梅。多翻世事碁看戱。高卧閒情酒滿盃。韋氏有經傳子姓。冦公無地起樓臺。南陽邇歲偏蕭瑟。東璧中宵忽隕摧。已負烝黎霖雨望。誰堪廈屋棟樑材。生平幾切高山仰。此日長違丈席陪。千古悲凉無限意。都輸一曲薤歌哀。</text>
<title>輓詞[金台重]</title>,<text>華宗聲望擅圭璋。玉署淸班早歷敭。世路危機棋一局。田園歸興酒千觴。碧梧秋冷鸞曾逝。丹穴雲深鳳忽藏。回首靑巖十年事。可堪衰淚灑哀章。</text>
<title>輓詞[金始鑌]</title>,<text>霄漢曾鳴白玉珂。似公儀範世無多。甘棠陰外驚槐夢。寶樹䕺邊泣薤歌。閱去桑田頻海碧。蟄來茅屋謾頭皤。居然七耋風燈瞥。可奈蒼天不憖何。</text>
<title>輓詞[李萬敷]</title>,<text>赫閥嶠邦冠。雅儀鵷列髦。功深長煎鳳。名致早釣鼇。庭下傳經學。殿中認赭袍。貊區轡未按。江邑心空勞。每食銀生夜。不憂衣染膏。任他風漲潦。自在舟無篙。箕宿還仙籍。靈光失少曹。堪流遺馥遠。誰入筆波濤。</text>
<title>輓詞[李瑞雨]</title>,<text>朝陽昔日鳳將雛。回首丹丘影也無。但使韶廷勤擊拊。五章應見兩啣圖。</text>
<title>輓詞[嚴緝]</title>,<text>淸時雅望動朝端。前後恩榮近密班。百變滄桑名不玷。十年林壑跡仍閒。文園久抱長卿疾。宣室終違賈傅還。垂死舊交空涕淚。嶺天回首渺雲山。</text>
<title>輓詞[洪萬朝]</title>,<text>靑春黃甲氣昂然。趾美名家舊業傳。一代朝班眞學士。十年田舍老承宣。朋情久隔滄桑後。人事無端薤露先。嬴博向來遺慟在。秖應萊服拜重泉。</text>
<title>輓詞[權瑍]</title>,<text>憶昔逢君日。回頭五十年。君顔花映紅。我鬢漆凈玄。芹宮對朝虀。杏壇引春絃。臭如蘭薰襲。情同藕絲牽。遺經究終始。奧義勤窮硏。白笈夜雪映。靑焰曙燈懸。豹窟班初成。鵬程步共騫。藺車堪避回。祖鞭愧着先。騘馬帶曉霜。雕鶚凌秋天。直氣金矢發。溫文玉圭鐫。聖朝硎新化。柄臣竊威權。高門盈菉葹。周道委蘭荃。公時坐栢府。欝欝懷憤悁。思將一封奏。意欲千金捐。伏蒲誠雖切。撞筳力已綿。雷霆虩不寧。日月照還偏。中宵朢北辰。落日向南埏。窮溟歎地極。十載見天旋。蕙茝芳彌烈。茅茹拔更連。摶扶上九萬。契合際一千。超羣驥步逸。將子鳳羽聯。出納司王命。夙夜匡君𠎝。賢路不崎嶇。吾道豈迍邅。時運乃大謬。人事倐變遷。風霜瘴癘地。放逐相聯翩。濶焉君臣隔。懷哉父子憐。楓宸九重深。荒野幾歲跧。晨星久落落。秋水空涓涓。夢逐南雲去。書阻北鴈傳。每歎猿啼岸。誰謂龍返淵。生離尙悽其。死別何茫然。英姿値末運。雅望閉重泉。高穹問無憑。此理誠難詮。身寄窮峽內。淚盡寢門前。遙思哭靈几。長道阻歸鞭。黃壚遺舊迹。靑山起新阡。紼謳寄千里。哀辭寫一篇。秖應餘慶遠。看取二郞賢。</text>
<title>輓詞[李玄紀]</title>,<text>河山秀氣鍾豪英。玉署銀臺地分淸。可遣高標淪濁穢。終敎逸駕阻夷庚。朝端接武新知樂。嶺外論交舊友情。人代存亡無限痛。欲題哀挽涕交橫。</text>
<title>輓詞[蔡明胤]</title>,<text>家弟曾從嶺邑歸。慣聞幽墅絶塵機。夢懸宸北丹衷切。名重山南素髮稀。佇待淸時來補衮。忽驚窮谷報臯衣。神交半世成千古。遙望孤雲淚不晞。</text>
<title>輓詞[蔡彭胤]</title>,<text>憶公啣命到東湖。春晩南樓對法壺。禁掖並時盛寶樹。林扉一去限神都。朝中雅望聞猶重。嶺外耆賢筭欲無。川路茫茫緜絮隔。病鱞愁滯玉山符。</text>
<title>輓詞[沈檀]</title>,<text>旅窓聯枕謫還時。尙欣髭髮未全衰。連承華翰心常慰。忽報㐫音痛莫追。羊胛光陰催七耋。鳳毛文彩有雙兒。平生一樣西河淚。羡子昇仙摠不知。</text>
<title>輓詞[沈橃]</title>,<text>向來同出處。老去幾悲懽。天地容身窄。山川會面難。有憂生亦苦。無愧死猶安。忍想重泉下。西河淚始乾。</text>
<title>輓詞[南致薰]</title>,<text>淸朝學士久沉淪。太白山中一散人。粉署銀臺如夢境。琅玕芝草養天眞。堪嗟行路終多隘。誰意冥途不復晨。世聯蓮榜交情篤。南望歸雲淚滿巾。</text>
<title>輓詞[李震休]</title>,<text>先輩風流幾箇遺。公今捨世我心悲。雲程慣閱滄桑變。鄕社頻驚歲月移。卄載功名方岳重。七旬光景逝波馳。莫言嬴博無窮痛。好把籝金付兩兒。</text>
<title>輓詞[李衡祥]</title>,<text>淵明昔自挽。早終非命促。看君近七壽。爵又非彭澤。蘭陔慶方新。嬴博旋禍酷。悲懽縱如此。大抵皆風燭。憶曾壬癸年。公牧驪江曲。我時仗左戎。扈駕同馳逐。謔語仍探酌。篇什輸悃愊。及今客寓後。乃返阻寒燠。豈無剡棹興。槩蟄窮途伏。况此死別苦。欲寫懷尤獨。厚夜不再晨。永閉千年宅。所冀遺慶在。繞室紛華郁。物理終歸盡。久暫何須惜。但恨形永閟。笑語空懷昔。且孤漬綿訣。雲月傷心碧。</text>
<title>輓詞[李徵龜]</title>,<text>曾將謾語慰西河。更忍今朝作挽歌。昭代鳳儀天北闕。暮年龍卧洛東波。銀臺玉署名猶在。華屋靑山夢忽過。屈指同庚零落盡。生離死別痛如何。</text>
<title>輓詞[權珪]</title>,<text>洛中親懿半重泉。嶺外㐫音又此傳。浮世功名眞夢耳。平生骯髒尙依然。猿膓幾斷三聲淚。謝樹猶看兩璧賢。追恨前年書未報。至今披讀涕漣漣。</text>
<title>輓詞[金一夔]</title>,<text>南國名家代有人。早時聲價聳朝紳。十年丘壑優閒地。半世風波寵辱身。北洛靑雲疑幻夢。東湖白月想精神。德門餘慶寧無驗。雙璧聯輝揔席珍。</text>
<title>輓詞[洪重休]</title>,<text>天奪良臣悼聖情。哀綸代撰屬鯫生。雍容玉署談經義。密勿銀臺聽漏聲。素履常存寒士志。浮榮仍帶按廉名。前冬承誨還如夢。淚爲公私自滿纓。</text>
<title>輓詞[丁思愼]</title>,<text>傳家詩禮肇開巖。雅望當年重嶠南。文彩早膺經幄選。閒情晩付酒盃含。一庭蘭玉先埋半。七袠光陰却少三。基木從遊渾似夢。嶺雲回首痛何堪。</text>
<title>輓詞[朴行義]</title>,<text>風流雅望擅簪紳。自嶺之南卽一人。諫議大夫聯步日。瀛洲學士過庭辰。十年世事嗟何說。兩代交遊跡已陳。怊悵寄詞千里意。掩門京口雨花春。</text>
<title>輓詞[李延休]</title>,<text>聞韶世出鳳毛奇。曾上天朝作羽儀。靑瑣追趨榮父子。丹墀獻納替官師。誰憐暮道經三宿。更感浮生劇一炊。積善幸看餘慶遠。庭前雙玉禮兼詩。</text>
<title>輓詞[洪百源]</title>,<text>憶昔逢君結交初。君是紅顔我丈夫。君今老死我白首。世間七十眞須臾。吾儕冀北數嶺南。况君人物兼詞翰。步穩瀛洲上銀臺。平生歷敭皆華貫。紛紛世事等碁翻。㱕卧田園十數年。自謂重尋樽酒歡。安知遽斷峩洋絃。連天竹嶺病未攀。春後衣巾葬何山。莫說當時哭庭鯉。猶有兩兒俱佳士。嗚呼君死有如此二明珠。絶勝我生螟蛉死。</text>
<title>輓詞[嚴纘]</title>,<text>人才枚數嶺湖間。望實如公父子難。高武迭看躋玉署。淸標重惜葬靑山。不緣誼篤偏垂淚。只爲時艱更發歎。浮世可憐餘此物。秖今牢落鬢全班。</text>
<title>輓詞[睦林一]</title>,<text>銀臺步武昔聯翩。一別滄桑問幾遷。自恨吾徒俱老矣。常嗟後會益茫然。朝從大嶺長爲限。天向窮途不與年。纔哭太華相繼盡。忍將餘淚寫哀篇。</text>
