<title>春吟</title>,<text>春來百鳥鳴。曉窓聲相至。幽人夢江南。未盡三湘水。</text>
<title>玉堂箚子 丙申</title>,<text>伏以臣等伏聞朝廷差遣跟伴。令追及冊使。臣等固知朝廷量時度勢。爲此彌縫之擧。其情亦甚哀矣。第念跟隨二字。出於沈遊府之咨。賊之所要。初不在此。而冊使前後咨揭。亦只言隨同過海。更修隣好。此特遊擊知我國必不肯通好。姑托此爲言。欲漸揉以入之耳。朝廷苟欲姑循其請。以紓目前之急。則當於遊府責以禮義之時。許之爲少愈矣。顧乃不然。旣以奏稟天朝。非惟發落未至。而兵部題奉。已有行文拒之之語。今乃見賊迫渡。天使始汲汲然追送跟伴。此其事勢。又不及前日遠矣。黃愼微示略許之意。則賊酋又有幣物之言。其勢許遣跟伴之命。未及釜山。而書幣之請。當至矣。朝廷又將何以處之。凡事須要洞計前後。必有結梢。然後方可明白處置。今若明知竟歸於通信。而姑以跟伴爲名。及賊侵迫。然後愍然又從其請。則正中賊餂。而將疲奔命。是所謂增幣不已。必至割地。割地不已。必至稱臣。到此地頭。則跟伴之遣。旣非出於天朝之命。又何因極而禁其無逞哉。況臺諫方論此事。群議未妥。而遽爲決遣。揆之事體。亦極未安。臣等腐儒。旣不能贊一謨畫一策。徒以文墨議論。沮撓廷議。不忠之責。正在臣等。然旣知朝廷終難收殺。而又不蚤言。使朝廷益至狼狽。則臣等之罪。至此尤重。敢此煩冒。乞命廟堂更加商議。毋任一切之見。終致難處之悔。不勝幸甚。答曰。當議處。</text>
<title>玉堂箚子 丙申</title>,<text>伏以臣等伏聞朝廷將修書幣。以通信於讐賊。賊之於我。有窮天極地之讐怨。三尺童子。亦皆知其必報矣。雖其勢窮力屈。爲蓄力待時之計。跟伴之送。猶有可諉者。而至於書幣。則是以讐怨爲薄物細故。而修睦依舊。後世之公論。天下之嗤笑。必有所歸矣。況此要索。只出於調信之口。旣送之後。秀吉視之。若初不與知者然。則此後要脅。又何能當耶。我國雖稱不敢違越天朝命令。爲是擧云。而天朝命令。非但我國受之。伊亦受之。我之不敢違越。渠亦當然。旣同爲天朝受封之國。而各遵命令。則禍人國者先謝之乎。受人禍者先通之乎。彼旣無一言少謝。園陵之辱。雖黃愼略言之。調信以爲勃然。此則伊賊時無一毫悔禍之端。臣等深恐爲一大失擧。而非惟不能紓禍於目前。且見重其辱矣。與其彌縫苟且而愈益狼狽於後。寧斷以大義得正之爲無悔也。嗚呼。天下之大防。不可不嚴。烏可倖萬不可必之事。而輕撓至嚴之防乎。幸乞聖明快從公論。</text>
<title>玉堂箚子 丙申</title>,<text>伏以臣等伏見昨日下大臣之敎。相視震駭。口不能讀。攝政之擧。前雖有果行之時。率出於治成逸豫耄期倦勤之後。今則大賊未退。事機處置之難。有甚於壬辰。逆獄纔畢。民志未定。此正日夜奮勵。猶懼不濟。況自上春秋鼎盛。天地祖宗之所期待甚大。臣民之所仰望甚茂。不宜過自沖謙。以沮有爲之心。不顧燃眉之急也。我國事天朝如父母。凡有所爲。必先奏聞。旣請封東宮。而未蒙準許。豈敢遽以攝政爲言乎。且天朝明知聖上春秋尙富。疾病未甚。其又何辭請攝乎。此理甚明。固聖明之所深燭。而每下未安之敎。至於大臣終宵伏闕。片言不得上達。大小遑遑。景象憂慘。聖上歷觀前史。豈有如此之時乎。是由國家厄會未殄。臣等誠意衰薄。以致萬事壞裂。天聽邈然也。東宮且是祖宗臣民之所屬望。而素多疾恙。每悶此敎。寢膳俱廢。益致重傷。臣等尤不勝切悶焉。在聖上保護之心。亦恐不當如此。伏乞聖明聽納大臣之請。亟收前命。則雖有一時偶感之症。神明所佑。丕受和平之福。以成中興之業。不勝叩心懇祈。</text>
<title>玉堂箚子 丙申</title>,<text>伏以今日攝政之擧。其利害是非。昨日大臣之啓。盡陳無餘。臣等愚妄。焉能知言。猶知此說爲不易之的論。以殿下明聖。事之條貫。靡不洞燭。豈有不知此說之可從。而反以曲慮過計爲敎。是不過欲行己志之心。已錮於中。而一向牢拒。殿下雖欲必行。獨不可召入東宮。諄諄面命。引接大臣。啇確可否。坦然行之乎。事之行不行。初不係於不接臣隣。而牢閉重門。猶恐片言之或達。至撤將命之官。寺人之令。素人創見而尙且誇美。由臣等無狀。誠未悟主。竝廢祖宗數百年原設之規。臣等雖極無狀。乃所職則論思啓沃之事。旣忝經幄。顧不能一言而救聖上之過擧。何敢靦然冒居。有若聖明所優待者然哉。大臣。素殿下敬重而禮貌之者。而伏闕九日。未蒙省諭。臣等百爾思惟。更無可爲。伏願殿下少垂憐察焉。臣等無任拊心頓足之至。</text>
<title>玉堂箚子 丙申。副提學李某，副應敎金尙容，校理權悏韓俊謙，副修撰申渫，著作金光燁。</title>,<text>伏以臣等俱以無狀。待罪經幄。忠靡補袞。學乏啓沃。而區區誠懇。猶且仰保聖明。時陳瞽說。策非適用。語無詮次。尙蒙聖度涵容。曲加嘉奬。臣等深竊自幸。以爲此千載一時。一息未盡之前。庶幾罄竭愚衷。以無負聖明之知。比經兵禍。國事艱危。臣等雖無殺賊之策。亦有借著之誠。苦心跛足。以爲此賊可滅。此讐可復。則可以慰聖懷而恢昌業。所冀須臾毋死。復見天顔有喜。然後雖死無恨。豈意今者讐日遠而難雪。賊將退而猶住。中外憂懼。危象日至。而攝政之命。又下於春秋鼎盛疾病未甚之日乎。臣之諫君。君之使臣。俱先度其可行者而爲之。殿下遽令臣等往聽於東宮。卽臣等其將謂聖算已高。聖慮已衰。果不堪臨政。而忍而去之乎。抑殿下以爲國事方艱。衆心方危。予雖有疾。姑且強心刻厲。以無負祖宗之付畀乎。以聖明度於此兩間。則殿下有不敢辭之義。臣等有不忍爲之情。幸殿下哀臣等之情。而莫臣等強也。且臣等思之。攝政之擧。雖在耄期倦勤之君。可行於功成治定元氣方盛之時。不可行於叔季衰亂之際。何者。處常順而處變難。攝政亦一變例。變例之行。群心易疑。訛言易乘。況今日事體。與他日不同。我國受天朝罔極之恩。而天朝如一家父子之情。事無大小。所當洞曉。無間一國。衰亂之人心。猶難戶諭而鎭之。況安能孚天下之聽聞。而保無意外之詰乎。況往來唐官。心腸不一。浮言盛行。僞帖僞揭。紛紜繼起。督臣是當事之地。而素執不好之議。趙閣老，石尙書。擔當東事。而蹤跡不安。惟此冊封一事之成敗。已足憂虞。加之意外之說。又抵其可乘之隙。則必謂我國有難處之事。而其國不可救。然則雖有趙，石百輩。亦無奈我國何。況昨準兵部咨。其旨意深念邊事。憂繼者之不謹。責善後於我國。其勢似有不能自保之情。此時我國惟當刻意自振。以不失石老之所望可矣。豈容資一毫行言。使之逞搖於其間哉。臣等歷觀麗史。金，元之所詰責於前朝者。不至於如今日之事。而詬讓叢至。當時群臣。極爲難處。聖敎所謂萬無天朝之詰責者何意。而初非難對之說。臣等願聞焉。不獨此也。我國三請冊命。而尙未準允。今若遽以攝聞。則殿下以爲天朝萬無恭慢之疑乎。我國至誠事大餘二百年。而今日受恩之厚。隆天極地。擧國臣民。雖思虀粉。無路報答。咸以爲室向西。坐向西。服尙唐。語用漢。以無替西向之誠。其敢有一毫可見察於天朝者。則其忍行之乎。至於將護聖躬之說。宜出於臣等之口。不宜出於殿下復讐之日。今殿下自發此言。是臣等遺君不忠之罪也。臣等罪固當死。況今承殿下之命。而乃不將順。若以聖躬爲不須將護者然。而重萬死之罪也。顧以事有至重。而將護之道。又有不妨於至重者。臣等願冒支離而更畢其說焉。當今國勢人心與夫讐怨痛切。固聖明之所深察而深悶之者。旣已深察而深悶乎此。則雖淸燕焚香。有若山林絶世之人。而是誠禪家所謂瓶雀之喩。存亡之憂。日搖于中。愈閑而愈不勝其擾矣。莫如躬加密勿。庶無餘憾。而其繁機倦困之時。則引入東宮。俾贊裁決。或設難以試其所學。或提誨以盡其不逮。使知聖謨之始終。軍國之機宜。則實爲宗社無彊之慶。此則雖無攝政之名。實有攝政之益。臣等非惟不敢拂於聖意。而歡欣抃慶之不盡矣。至於大臣所敷奏。臣等所勸講。則固無一事可以怡神而悅意者。然時賜引接。與之討論。則不亦愈於堙鬱深宮閹侍與處之爲乎。心是活物。如火傅物而燃。必有所事。心得其安。逃空息念。非養心之道。深閉過逸。非節宣之方。代天理物。人主之職。盡其職者。何害於攝生。但在調適之如何。如此然後上下安而國事好矣。此果有害於將護聖躬。而乃以祖宗基業之重。反喩之於風刀叢鏑。而謂不能一日堪忍乎。東宮。殿下之貳體。而叩首天陛。咫尺不得進。大臣。殿下之所敬。而席藁宮庭。踰旬不見慰。臺諫。朝廷之耳目。而所言不得達。況如臣等螻蟻之賤。其敢自謂居近密之地。而望有一毫軫念乎哉。自古安有上下阻絶。親疏一隔。而可以成一國之大事也。殿下雖接臣隣。而要不許所請。則臣等惟牽裾而止耳。碎首而止耳。聖旨之行不行。初不係於引接與否。以殿下之聖明。何深惑於此。而竝廢必須行之事。如進香陳慰。聖躬之所必親。而敢令權停。逆節重獄。大廷之所嚴鞠。而尙無號令。其餘邊務之急。四方之秦。何可勝數其壅滯也哉。命下三日。逆報至。四日而日有食。天心之微。人事之急。明若觀火。何殿下邈不加察。而重四方之惑。損國家之體乎。此必國家厄運未殄。臣等竊痛焉。秋天益高。皐鶴徒鳴。陰崖隔日。葵忱自傾。宮門一尺地。是臣等死所。伏願聖明天地父母。少加憐察。</text>
<title>玉堂箚子 丙申。同參副提學李某，副應敎金尙容，校理權悏，韓俊謙，修撰申渫，著作金光燁。</title>,<text>伏以今日之事。係宗社大計。唯大臣可言之。非如臣等庸瑣賤品所得以喋喋也。顧此事機至重。存亡所係。臣等初不自量。濫居論思顧問之地。不可無一言助聲。敢冒宸嚴。日日不止。及其連章累牘。僅得投匭。而一未上達。則可以惶恐斂退。而區區之意。除此他無所獻之路。連旬籲呼。罪已當死。至於逆節推鞠之事。則一日又急於一日。不得不復此瀆擾。濫越之誅。誠所自取。但願聖明哀憐而曲察之。夫天下之惡。莫大於反逆。而天討之典。捨此宜無所急。下此罪一等。先王猶有斬不待時之律。況此烏可以假一日之命哉。今之滯獄。不止一日。朝野之憤。如水如火。且念此獄但據所通文書。而尙未知某者爲首造禍何地。此不但如他獄只欲得情速誅而已。其推訊緝捕。如探紛緖。尤所當急。以殿下聖明。此等曲折。必已深察。而乃欲以此責大臣。以速擧前命。噫。討此賊。爲宗社治惡也。何敢以此爲急。而先壞宗社付畀之重也。其勢大臣雖死。不敢承命也。今日國家之事。非人壞之。惟是上下相持自壞而已。臣等以爲今日之變。有甚於壬辰。何者。兵革之禍。自古有之。而事出敵國。雖仁賢之國。未免橫罹。此則只在聖明一命令之間。尙且牢執。上下阻絶。以致危亡不測之禍。迫在朝夕。此必國家厄運所會。有非人力所及。臣等竊痛焉。竊悶焉。逆賊之已捕者。累日不鞫。必有釀奸眩亂之弊。而未捕者。非徒有色擧網漏之慮。亦豈無等死則攫之變哉。啓字。原非東宮代用之物。亟命啓下。使罪人斯得。則實爲宗社不幸中之幸。而中外憂疑之情。亦可因此以少慰。臣等不勝戰慄懇祈之至。答曰。啓字不得行用之意。已言于大臣。</text>
<title>玉堂箚子 丙申。副提學李某，副應敎金尙容，校理權悏，韓俊謙，著作金光燁。</title>,<text>伏以臣等雖極愚妄。猶知聖旨之不可抗持。而尙且伏閤二旬有餘。瀝血而不知止者。非唯憂國事之危急。亦恃聖明必切省念。有甚於臣等之所憂。玆敢竭誠哀籲。不以天日不及於陰厓。而寧欲投匭而自盡。玆者。伏承下大臣之敎。軍務及事大之事。許仍聽決。臣等始信平日所望於聖明者。至此而不虛也。此殿下所以邁邁殊甚。而臣等猶保殿下念不弛於宗社。殿下亦知臣等之苦爭不由於他腸。臣等至此。益恨微誠不能早回天聽。而殿下之心。則固已算於於穆之中矣。今日之事。無大於事大與軍務。殿下已許其聽決。若其庶政之微。則時於燕閑之暇。令東宮左右贊決。此在殿下家法。臣等何敢更有陳瀆。而東宮寢膳之孝。未必不有補於聖治矣。嗚呼。今日之事。不可以智辯而窮之。卜筮而定之。唯在聖上當於義理上求之。天下之義理無窮。而尤重於父子君臣之際。此殿下之所以雖切頤養之心。而終不以國事自絶者也。伏願聖上上念宗社之重。下副臣民之望。更就義理上。硏窮而體認之。則其所遲疑而不卽夬決者。亦將次第氷釋。而宗社幸甚。臣民幸甚。</text>
<title>玉堂箚子 丙申。副提學李某，副應敎金尙容，校理權悏，韓俊謙，副修撰申渫，著作金光燁等。</title>,<text>伏以攝政之不可行。前後章箚。論之已盡。臣等無容多贅。第臣等所深怪而惑之者。以殿下之明聖。其於國事之危幾。必有見臣等之所未及見。憂臣等之所未及憂。以臣等粗識。猶知此事之不可行於今日。而殿下乃欲硬恁行之。反拒群言。至此之彌久彌堅。何也。殿下每以謝事養病爲敎。臣等請言其無益也。殿下貴爲千乘。富有一國。獨未試者。居閑養靜之事。兵禍播越之餘。霧露憂灼之深。聖體宜傷。聖慮宜倦。宜欲一日優閑養靜之爲急也。顧念易肆而難節者。人心也。旣休一日。則有一日之安。而一日之後。此心愈倦。益求無限安逸。則其心反不得安而餒矣。譬之適遠者。徒步媻姍。筋力已乏。而得以乘馬。則雖款段之駑。頓覺安快。若以安車駿馬。日肆馳騖。則雖駕八駿之逸。猶不滿其欲疾之心。而於八駿之外。益求安快。天下之事。豈有無窮而愈往愈快之理哉。反以三隅。則凡事類此。是故。山林自適之士。人見之宜無一日倦惱。而其實則優游自得之日少。是在調適得節。而不徒在於閉門絶想而已也。今夫匹夫數畝之業。委之克家之子。猶不敢果於忘家。晨以指揮。夕以點視。晝思夜念。猶恐此子之或誤此事也。況殿下以祖宗付托之重。當國家危亡之際。雖東宮仁孝聰明。果可以攝政。而其能一日忘國事哉。旣不果忘。則無寧自爲之爲無憾。不然而事事而憂。憂之則勞。勞則病至焉。道家延年之術。固甚誕妄。而學之者猶先剋去愛怖。鍾離翁鶴嶺十試之事可驗已。殿下二十年憂勤積瘁之後。鼎器安得全完。藥物安得全茂。而乃欲忘國家之重。顧從事於冥觀絶物之爲哉。假令冥觀絶物而有得焉。仙佛之學。一向鞭辟於內。終歸於恍惚偏側之域。故先儒譏其道小而私。非帝王光明御世之道。在易乾之象曰。天行健。君子以。自強不息。隨之象曰。澤中有雷。隨。君子以。嚮晦入宴息。頤之象曰。山下有雷。頤。君子以。愼言語。節飮食。人君健以行天之道。宴息以休其精神。愼節以養其氣體。明師居前。勸誦在後。上論唐虞之際。下及殷周之盛。考仁聖之風。習治國之道。於以養生。則殿下心有堯舜之志。體有喬松之壽。福祿臻而社稷安矣。何必忘不可忘之宗社。行不可行之攝政。拒輿請而閉重門。始能調養聖躬也哉。臣等愚不及此。而其所質之六經。聞之明師者如此。乃敢爲殿下獻焉。且殿下每以臣等以天朝爲諉爲過。此則臣等非敢故以爲諉。亦非過也。天朝之所不許冊封者。非爲東宮不可封。其降勅。專責以經理者。聖旨丁寧。昭如日星。特以中國之故。有所遲難。今若不得許封。而遽以攝聞。則天朝欲許。則自壞大防。不許則念我危疑。此我國所爲。自貽天朝處置之難。臣等明知詰責之必至。責至則其說必纏繞而難解。殿下其將何辭以解之。臣等亦將何辭而暴白於天下乎。朝廷之禍。恐自此而始矣。嗚呼。國勢之艱危。人心之疑惑。日急一日。當此之時。爲臣等之說者。肝膈之忠也。承殿下之旨者。妾婦之順也。殿下平日所養於臣等者。忠也。非順也。臣等不敢以非殿下之所養者報殿下也。人君聽政。一日萬機。而阻隔以來。已至二十二日。等以數之。則其機之曠滯。已有幾許萬哉。其中討逆之擧。誠一日不可稽者。而任置至此。臣等竊恐不測之禍。迫在朝夕。臣等駑下。非敢強執不必論之事。與至尊故爲好勝。憂遑悶迫之情。塡胸滿腹。不覺其哀鳴懇禱而自陷於拂志之誅。其情戚矣。其事急矣。伏願聖上少垂憐察。柏舟之詩曰。母也天只。不諒人只。臣等於聖上。亦云也。</text>
<title>玉堂箚子 丙申。副提學李某，副應敎金尙容，校理權悏，著作金光燁。</title>,<text>伏以臣等伏見昨日下大臣之敎。軍務及事大之事。許仍聽決。殿下此心。社稷之福也。中外之人。徒聞近日聖敎之峻。以爲必未易回天。而臣等待罪經幄。密侍聖明。或至十年有餘。深知聖明憂國如渴。視臣民如子。今雖禍亂之後。臣工忨愒。萬事荒涼。吁嗟鬱悒。國家之事。不如聖意者。十居八九。而不欲推諉於群下之罪。乃自謙損。有此擧措。此臣等所以感念聖懷。欲死不得。寧陷於不測之誅。而不敢承命。伏地哀鳴。幾至一朔之久。終恃聖明必不脫屣於艱大之業。而捨臣民如遺。庶幾改之。惟日望之。聖敎及此。臣等始知所望於聖明者不虛也。臣等亦至此而其知創矣。敢不刻心改圖。竭股肱之力。效一割之用。獲見國事粗完。乾心微怡。則雖死萬萬無恨。但念殿下旣不能果忘國事。而國事之危迫。一向爲急。切望聖明亟因此心。幡然兪允。則宗社之慶。孰有大於此。伏聞聖明乃援太宗朝事。謂有家法。此則大不然。太宗朝則國家無事。且是國初。元氣方盛。今欲效之。不幾於四牡橫奔而乃責以鳴和鑾哉。且當時。世宗已受命天朝。尤無所礙。而然此變例。亦非後嗣必所取法。且此雖非傳禪之比。而我國至誠事大。雖在前日。一事之微。不可苟隱。而況今日受恩之深。父子之情。顧此大事。何敢不以實聞。唐官之往來者絡繹。我國之事。無微不知。雖欲不聞。亦不可得。此理甚明。臣等非敢故爲多談。欲以智辯而窮之也。更願聖明亟因此心。俯允輿請。則宗社幸甚。臣民幸甚。</text>
<title>玉堂箚子 丙申</title>,<text>伏以臣之事君。不一其道。君之責臣。不一其事。君不可以難行之事。責臣下以必從。臣不可以必危之道。迫於威而惟命。苟或君而必行己志。欲臣隣之莫予違。臣而不思匡救。唯承順之恐不及。則古今天下。未有不喪亡者也。今日攝政之擧。大小臣僚。瀝血一月。論之已盡。事勢之必不可行者。殿下亦已洞燭無餘。而猶且一向堅執。迫臣等以必行。聖意所在。臣等實未能曉也。殿下以爲今日之事勢何如也。倘或承順聖旨。奉行此事。而有萬全之利。無一毫之危。則臣等何敢強爲相持。甘心拂志之誅。而不知退也。日復一日。相率在庭。悲號哀懇。必期回天者。誠有所不得已者。存乎其間也。嗚呼。喪亂之際。國危如髮。奄奄延延。莫保朝夕。而幸而不亡。得到今日者。其誰之力也。實賴天朝終始極濟之恩。民心固結不散之致也。今者東宮冊命。三請未準。而不奏天朝。遽行攝政。則詰責之來。烏得免乎。旣被疑訝。而無以自解。則後雖有急。誰因誰拯。又況數年以來。民心日搖。胥動訛言。罔有固志。近緣此擧。波蕩益甚。皆懷渙散之計。將有不測之變。種種可憂之端。不一而足。以殿下之明聖。豈不念及於此乎。天朝一疑。不可復解。民心一散。不可復合。此臣等之所以寧伏鈇鉞之誅。而不敢承命者也。臣等伏見卽日下大臣聖批。有曰。今日非是應博學宏辭科。安用多言。至以百僚血誠悶迫之言。爲強爲逼迫。臣等相顧惶駭。寧欲入地而不可得也。嗚呼。逼迫君父。人臣極罪。殿下此言。其出於戲言耶。豈以殿下之平日尊敬大臣。而反有此未安之敎耶。今日大臣之伏閤哀籲者。非敢好爲論說馳騁文字也。非敢強執已見而迫脅君父也。只陳一國臣民所共之論。以冀聖心之萬一悔悟。無非出於愛君憂國之至誠也。殿下固宜平心優納之不暇。而每下嚴峻之敎。以塞忠諫之路。臣等尤不勝痛悶焉。伏願聖明少垂憐察焉。</text>
<title>玉堂箚子 丙申</title>,<text>伏以臣等俱以駑劣。遭遇盛際。沐浴聖化。密邇淸光。雖其螢爝之微。不足以裨日月之明。而乃其素心則唯以愛君憂國。爲第一義。庶欲策厲頑鈍。共濟艱難。少報天地生成之德。不意國運猶否。聖心遽倦。謝絶群臣。將欲脫屣而不顧。臣等悶悶遑遑。如失父母。扣心瀝血。晨以繼暮。千言萬語。盡歸虛地。一日二日。遂至三旬。意已竭矣。辭已殫矣。譬如涸轍之魚。煦沫相依。朝夕待盡。而猶不爲聖明之所愍察。臣等之計。其亦窮矣。嗚呼。以常人之情。度聖人之心。殿下之爲此擧。亦有大可悲者存乎其中。蓋以勵精圖治。已閱數紀。而變故橫生。國事塗地。雖其薪膽刻厲。日不暇給。而百工玩愒。如水益深。至讐未復。事機漸遠。殿下之所以中夜慨念。衋然疚懷者。宜如何哉。寧欲身自棹脫。使國政不入於耳。以爲匹夫決去之計。噫。爲今日臣子者。雖甚無狀。自非木石。到此地頭。寧不知懼。存亡成敗。當決於玆。鼎钁鈇鑕。誠所甘心。俯仰天地。何以自解。上自耆老大臣。下至韋布軍民。席藁伏地。日望天聽之少回。而重門咫尺。轉成千里。宸心漠然。愈久愈阻。上帝茫茫。胡寧忍此。伏願聖明上念宗社付畀之重。下副臣民仰賴之切。亟加憐察。以安國家。則臣等雖死之年。猶生之日也。無任惶蹙祈迫之至。備忘記曰。玉堂以經幄論思之地。頃日累進箚辭。而予方悶在衷曲。欲逃不得。不能一一酬答。雖非本心。負罪多矣。敢以爲謝。言于玉堂。</text>
<title>玉堂箚子 丙申</title>,<text>伏以臣等伏承昨日聖敎。慰諭勤懇。誠天地父母曲遂螻蟻之盛心也。相視隕越。不勝感淚之交頤也。臣等無狀。其在平日。優游於聖恩涵育之中。不識不知。如孩兒恃恩狃愛。不覺其母慈之罔極。及其一刻不見。則啼號注望。手足竝作。若不得以生者。臣等當伏闕遑遑之日。其哀鳴顒望而無路自達者。何以異此。信古人所謂民不可一日無君也。惟其誠意淺薄。曾不能一言悟主。尙賴聖明自不忘國事。諸大臣赤心籲呼。聖明幡然改圖。得至今日。如日月之晦而復明。此正群臣明心勵翼。以無負聖明之秋。而臣等碌碌。學不通方。才非識務。貿貿隨行。以盡啓沃之責。豈期聖明尙軫已冷之瞽說。至以負罪爲謝爲敎。下臣愚暗。自不知天心之孔昭。而日月之明。則誠無微而不爥。非臣等隕首所能上報。而噫。禍亂之慘。無有如今日。事機之難。亦無有如今日。何者。倭奴之狹詐。非如戎狄之徒頑。我國之殘破。亦惟仰成於天朝。當此之時。雖使古智者處之。尙未卜其必善收殺。幸而聖慮淵邃。洞見事會。延納群策。圖濟艱難。楚丘之業。得以不亡。在今日終始刻勵。報窮天之讐。完僅綿之緖者。亦只在殿下之一身。伏願聖明毋因一敗。過自謙遜。趁此機會。綢繆至計。留心大道。絶偏係之私。倚任忠賢。盡謀猷之誠。布誠心以感民心。感民心以回天意。則中興之機。亶不外是。民心不感而天意可回。天意不回而大業以定者。自古及今。未之有也。近日廷臣。於隔月聚號之餘。久不得瞻望耿光。幸於溫暖之日。或開筵便殿。或引接大臣。以咨詢機務。則臣等亦得因此一承天顔。是區區戀聖之至情也。答曰。省箚。良用惕然。但此志旣不得遂。此身如窮人無所歸。欲冒居則不能。欲捲避則不得。因仍苟且於無恥寄生之間。此何理耶。其將向誰訴之。直欲籲天而無從。心緖亂矣。病日益深。其能講學而應務哉。此予所以日夜徒自痛悶。然當於拜陵後開筵。</text>
<title>玉堂箚子 因災變請行親祭。丙申。</title>,<text>伏以臣等竊嘗聞古人之言曰。生於憂患。死於安樂。今日之憂患極矣。若將可以生者矣。是何災孼之譴吿未已。震雷黿鼈蟻蟲之妖。式月斯生。終至於彗星之變。至犯太微。臣等驚惶憂悶。意以爲將傾之器。又遭推覆。誠不知所以爲心。夫所謂生於憂患者。非謂憂患已極。則自能當生也。人有安樂冥豫。天出憂患以警之。人能修德思弭。克孚天心。則天始悔禍。使之生之也。然則可生之機。當於得天心觀之。今日之天譴至此。則今日之憂患。恐當不止於此。非惟不得生而已也。修德之道。莫先於孝。得神祇之感。當先於氣脈所存處而得之。臣等伏念壬辰兵亂之始。廟社之顚倒極矣。臣等思之絶氣。不欲備陳以疚殿下孝慕之懷也。及還舊都。則廟宮丘墟。人民已散。殿下之所傷痛。卽列聖之所傷痛也。其彷徨靡依。理所必至。殿下痛哭明禋。以謝以慰。是固情禮之所當爲。而不可一日而緩者也。權殿寂寥。星霜屢變。尙不享同氣之祀。殿下之心。以謂殿下之身。爲可絶於廟庭者耶。設令可絶。列聖絶之。殿下不得自絶之也。嗚呼。禍亂之作。歷代之君所不得免。今殿下受禍不亡。復還舊都。此誠列聖之所慰喜於殿下者。其又何絶焉。殿下每有擧動。必經由廟前路矣。宮門寥闃。窓戶無紙。是一廢宅也。殿下違而過之。未知聖心安乎否乎。臣等不須多言。宜於聖心一念上求之。卽今秋涼垂至。聖體益茂。宜不卜日。亟稱昭享。以謝罪愆。以安列聖在天之靈。則列聖底豫。天心可得矣。臣等仍念功莫難於中興。事莫難於振頹。昔之句踐。臥薪嘗膽。出入使人呼之。是句踐誠意未至。則其臥嘗而呼之者。必將慙恧齟齬而不可爲也。是其立志刻苦。唯恐寢之或安。味之或甘。耳之或忘。以爲必如是。然後吾心無懈。而群下之心。亦足以動之也。如是二十年。而後始成其志。其事顧非難歟。我國虛文太多。支節太繁。作事泛泛。不着切實。此其素病。殿下守常時之規模。行無實之文簿。欲辦此事。是猶緩步理髯而救燃眉之急也。人心之頹惰。又甚於曩時。百隷怠官。庶司行私。大小忨愒。立者逶迤。臣等以爲殿下不親行大將之事。不可爲也。毋以小惠玩人。毋以徒法束衆。毋謂承順必忠。毋謂篤行必愚。推赤心置人腹中。躬辛苦以率臣工。號召勸勵。有必死之志。則人心庶幾感激。讐可復而國可爲也。衛詩定之方中卒章曰。靈雨旣零。命彼倌人。星言夙駕。稅于桑田。匪直也人。秉心塞淵。騋牝三千。以文公塞淵之心。行文公桑田之稅。臣等不勝切望焉。且凡天下之事。雖匹夫數畝之家。耕田緝麻之微。必男女齊心。雇役協力。然後功可成也。況謀國之大事乎。當今之勢。正同舟思濟之心。其有欲溺者乎。亦豈有不欲其得全而幷全其威儀者乎。必也相聚謀議。得其長策。則協心專力而行之。如或無策。出於下策。苟不得其長。則亦當知其爲下策。而同心行之。以共成敗可也。今日當事之臣。出於無可奈何。爲苟紓目前之計。是固非長策。言官直截之論。所不可無。至於街巷之論。有爲寧亡而不可爲之說者。此則殊非謀國之宜。聖人非不知據經守正之爲可。然未足以盡天下之變。故着一權字。如追兵在後。則徑竇之行不避。嫂溺當援。則援受之禮可捐。是不可徒泥經權而爲執一之論也。但恐此策本不足以救亡。兼且旣言其誤。且試其事。亦恐致力不專。疑事不成。以致經權俱失。彼此不及。莫如審其可爲不可爲之勢。更究長策。得之則改絃而行之。不得則又思其次。剋意圖之。不可枉爲空言。以失事機而已也。噫。授方任能。必須先取人才。弘濟艱難。必須上下情孚。殿下苟能布廓公道。恢張志士之氣。斥去讒邪。以堅股肱之寄。則人皆思奮。今日之昏惰。皆可以爲用。而況君相相得。忠賢得以展竭其心力。則宮中府中。豈有不合爲一體之理哉。懇乞聖明俯察臣等之言。速親廟享。以爲感天心之本。篤志實行。以爲湔國羞之基。審強弱之勢。定存亡之計。興起群才。任賢勿疑。使祖考悅而天心回。衆志一而大業定。不勝幸甚。</text>
