<title>咸安大寺洞口</title>,<text>石路雲深處。苔留宿雨痕。靑驢慵不去。山色已黃昏。</text>
<title>又次梅月韻 原韻曰。雪壓亭亭松與竹。靑靑俱是歲寒姿。詩家淸賞知無數。月到梅梢分外奇。</title>,<text>平生托契於松竹。兩箇誰非可愛姿。別是梅花無點累。橫梢揷月十分奇。</text>
<title>又次大夫松韻 原韵曰。物性元來人莫奪。秦皇相逼一何愚。不緣獨秀風霜後。失節同歸莽大夫。</title>,<text>秦皇頌德非徒笑。可謂千秋萬世愚。木公自在雲山物。何事當年爵大夫。</text>
<title>又次送李通判歸江陵韻 原韻曰。簿領叢中度一秋。幾回歸夢到瀛洲。爭如投紱超塵世。鏡浦㙜前伴海𩿨。</title>,<text>玉鏡新磨鏡浦秋。人間仙賞是瀛洲。夕陽僧過鳴沙路。十里棠花點白𩿨。</text>
<title>次三淵山齋韻</title>,<text>雲裏秋山每寂寥。竹陰松影近庭交。空聞鳥語偏喧耳。知是虛簷有衆巢。</text>
<title>竹枝詞</title>,<text>二妃當年㤪。千秋寄竹枝。三更風雨夜。蕭瑟訴餘悲。</text>
<title>謹次三從兄露頂軒公韻</title>,<text>余幼少時。受學于露頂公。嘗見公題新曆一絶曰。余見江都錄。斥和大義明。如何賣國賊。正朔受於淸。余當時亦能壯其義。至今衰老不忘于心。中夜無寐。忽復念起。詠嘆之餘。敢步其韻。吾師露頂老。深痛在亡明。安得眞人手。腥塵快掃淸。</text>
<title>再過麻田碑</title>,<text>誰將蹈舞康莊語。忍向麻津石面銘。頭戴明天何許客。讀之嗚咽不成聲。</text>
<title>涵碧樓 吾先人。甞與陜川守趙景望。船遊於樓下。</title>,<text>先子文章世有名。伽倻何日浪遊淸。至今涵碧樓前月。猶帶烟湖舊跡明。</text>
<title>上李陶庵</title>,<text>泥塑春風識面遲。百年松月杳前期。仙筇莫住仙遊洞。九曲爭流一武夷。寒泉雲月卧高人。斯道存亡寄一身。若悔藏蹤猶不密。桂花開落武夷春。</text>
<title>見徽，欽二帝塚。感而賦之。六鎭古爲胡地。故至今有五國城遺址。</title>,<text>雙墓峨峨草木生。千年空有子䂓鳴。當時北轍無人返。漢月分光五國明。</text>
<title>次退溪先生陶山山梅贈答韻</title>,<text>幸與幽人得地宜。西湖庾嶺不須思。非徒書榻飄香可。何似踈枝帶月時。得爾寒棲物色宜。名山勝水更無思。香奇鶴外烟消夕。影妙庭邊落月時。</text>
<title>贈反觀齋趙仲孝 希閔</title>,<text>解榻無由更對吟。別來空鎖石門深。吾全性命逃塵俗。爾賦英才邁古今。九曲雲川宜把釣。一山松月可論襟。慇懃欲問先天事。流水仙源幾日尋。</text>
<title>韓揔管 範錫 輓</title>,<text>哭送將軍作誄文。將軍何下漢將軍。蹈危桑海千層浪。躡險燕山万里雲。壯畧不難淸宇宙。素心惟欲報明君。龍泉怒吼無人用。消息休令北虜聞。</text>
<title>寄史汝</title>,<text>俱老空悲鬂雪繁。舊遊如夢更何言。林猿澗鳥啼相㤪。桂樹桃花落幾番。明月有情留鶴洞。白雲無恙鎖巖門。仙山往跡重探到。爲泝寒捿九曲源。</text>
<title>贈李汝盎</title>,<text>歲暮無緣對謫仙。白頭衰病兩相憐。中宵只有浮雲夢。飛落東湖霽月邊。</text>
<title>偶賦</title>,<text>仁宅無人義路空。淸芬全沒是非叢。誰知世上紛紛者。盡入明翁一笑中。</text>
<title>呈嶺伯金 尙魯</title>,<text>首陽依舊武夷奇。千古遺蹤兩在玆。如使數間茅屋有。庶將蘿月寄生涯。</text>
<title>戱謝無庵老友譏余專取山水</title>,<text>任取名山債已酬。無翁何事向人尤。烟霞自在雙溪洞。雲瀑空懸雪岳流。鏡浦越松容易得。竹西叢石等閑留。箇中皆骨千峯勝。爲爾當年不盡收。</text>
<title>有感</title>,<text>皇明時事足長吁。文物衣冠掃地無。食祿羣䧺何碌碌。竟將天下與單于。</text>
<title>次韻。寄趙仲孝。</title>,<text>經年寂寞武夷居。忽見淸詩錦不如。雲水萬重誰得問。石門千古俗來踈。山薇孤竹生涯裏。松月羲皇物色餘。九曲寒捿能再訪。玄談太極可聞歟。</text>
<title>有懷</title>,<text>秋葉春花不負辰。更隨魚鳥許相親。誰知白首孤筇客。乃是皇明舊日人。袖裏龍光射斗牛。乾坤未雪丈夫羞。子䂓知我平生恨。明月靑山哭不休。</text>
<title>曉起漫賦</title>,<text>聞鷄睡起夜光闌。何事愀然淚不乾。天下卽今頭盡削。惟餘東魯舊衣冠。</text>
<title>屯鐵</title>,<text>杜鵑花裡竹筇投。十里靑山亂水流。人世奔忙堪一笑。百年誰得此閑遊。</text>
<title>輓權貫之 一亨</title>,<text>交遊人事一邯鄲。痛惜淸儀再見難。淇澳千年餘綠竹。謝庭今日茁芳蘭。生並癸亥情何極。北望丹邱淚未乾。早晩重泉同去就。隨君應上玉樓寒。</text>
<title>神興庵</title>,<text>神興庵在最深巓。居士重來景宛然。烟火不通開闢後。松杉已老混沌前。連溪瑤石應留雪。滿壑琪花別有天。洗耳巖邊塵想絶。徘徊斜日憶崔仙。</text>
<title>觀夜操</title>,<text>天設金湯險有餘。戎樓高出太淸虛。壘連萬竅星無數。堞掛千燈月不如。角語吹開風虎陣。釰光橫斜斗牛墟。鉋聲大發山河動。奔走魚龍失所居。</text>
<title>題大源溪邊盤石</title>,<text>白瀑紛成雪。明珠亂落顔。平生人世外。看破化翁慳。</text>
<title>次脫遠上人韻</title>,<text>垂老遐懷尙有餘。乘秋投到遠公廬。巖雲拖白迎鳩杖。洞樹將紅照雪裾。一縷香生靈雨夕。數聲鍾落法天初。慇懃細話多生事。案有蓮花玉軸書。</text>
<title>閒居雜咏</title>,<text>希年欠八鬂毛斑。纔保生涯九曲灣。天下豈無孤竹伴。人間又有武夷山。春花富貴何須念。凡楚興亡揔不關。讀罷悠然開遠眺。碧松巢鶴倦飛還。</text>
<title>佛日庵</title>,<text>佛日菴中坐整襟。二禪相對寂無音。雲山万疊僧同宿。星月三更鶴共吟。法𡇂灰殘驚一㥘。層巖瀑落翫千尋。吾閒若此何緣有。始識悠悠世外心。</text>
<title>贈別南宮高靈 億</title>,<text>可惜征驂不可留。洛城千里路悠悠。歸時試看前江水。無恨烟波揔別愁。</text>
<title>夢登首陽山。拜伯夷叔齊覺而有感。以記一絶。</title>,<text>大義堂堂日月臨。千秋空對卷中欽。神交幸托今宵夢。一片西山萬古心。</text>
<title>首露王陵 陵前有碑</title>,<text>荒陵寂寞點平岡。片石空傳首露王。覇業不過春草碧。幾人含淚度斜陽。</text>
<title>許后陵 后泊舟於明月寺前浦口。與王行昏禮於寺中云。</title>,<text>玉淸宮裏返仙靈。人世空留一壠靑。明月寺中花燭事。至今遺跡謾丁寧。</text>
<title>燕子樓</title>,<text>百尺平臨大海東。畫欄丹碧射玲瓏。假令白玉京仙見。應愧瓊樓制未工。</text>
<title>七點山</title>,<text>徐巿東來欲自謀。欺秦難得掩千秋。當時只播三神在。不說仙山七點浮。</text>
<title>過呂氏姊塚</title>,<text>平生骨肉隔東西。如昨容音一夢迷。落日行吟江上路。忍看原草碧凄凄。石砌荒凉一半堆。莘荑花落點蒼苔。可憐寂寂黃昏月。惟有孤猿自往來。</text>
<title>感懷吟</title>,<text>堯舜君民計未能。一瓢身世淡如僧。百年寥落男兒事。獨對江湖夜雨燈。</text>
<title>琶瑟山楡加寺</title>,<text>瑟山如髮勢崢嶸。下有東流洛水淸。雲裏千年藏古寺。碧松盤似老蛟形。</text>
<title>丹城龍興寺</title>,<text>看盡龍湫曲水幽。龍興今日又奇遊。東風昨夜蕭蕭雨。幾片桃花泛碧流。</text>
<title>過南江有感</title>,<text>殘月凄凉鬼哭啾。謾留遺堞壓江頭。堂堂義士千秋恨。嗚咽烟波不盡流。</text>
<title>庚子暮春。舜卿，昌擧乘興而至。共成聯句。</title>,<text>樹綠花殘岸岸春。卿。 斜陽驢背醉詩人。甫。 一尊佳會城南宅。卿。 無限韶光入句新。擧。</text>
<title>贈別姜甥 世殷 之京</title>,<text>莫說雲臺事。箕山亦有人。今將松月色。不欲換紅塵。</text>
<title>與郭仁卿 榮之 權貫之 一亨 會。宿嘉谷鄭士中宅。</title>,<text>臘盡江梅欲放花。話燈三老喜忘家。明朝共作東南別。何忍揮鞭出岸沙。</text>
<title>望白頭山</title>,<text>鶴野茫茫豆滿北。黑龍分作白龍湖。寧無一介英䧺在。忍使吾皇寄一隅。</text>
<title>山亭遇過僧</title>,<text>獨坐山齋愁送春。落花飛絮點衣頻。忽逢雲水悠悠衲。我亦悠悠雲水人。</text>
<title>對石鶴偶吟</title>,<text>睡起山窓桂影移。依然雙鶴共人飢。蕭然小逕生靑草。世上炎凉春自知。</text>
<title>次退溪先生夜起看月韻</title>,<text>獨坐山齋嶺月明。枝間宿鳥共無情。寒生石砌留雲影。夜寂蘿窓有水聲。因靜得眞知物妄。緣虛忘我覺神淸。花開葉落皆天理。不必悲形感此生。</text>
<title>太極圖</title>,<text>萬理同原出。開來說不長。人人一太極。物物卽陰陽。樞紐及儀則。三綱與五常。是皆天賦性。無忽亦無戕。</text>
<title>武夷精舍</title>,<text>何羡飄飄鶴上人。試看山水絶淸眞。分明宇宙今腥穢。天與名區㓗我身。</text>
<title>丁未正月。發關東行。宿深源寺。別李封若。此下係關東錄</title>,<text>東訪蓬萊碧海潯。仙山大盖萬千岑。人間亦有捿遅處。天下誰知感慨心。關雪未消頭欲老。嶺雲無限夢難尋。男兒自古剛膓在。一掬何須灑別襟。</text>
<title>次李仁叟 聖壽 贈別韻</title>,<text>手裏孤筇異俗裝。麻姑消息問金剛。秋風關外歸期晩。一曲離歌倍斷膓。</text>
<title>入匡廬山萬興寺</title>,<text>蓬萊歸路杳無窮。去去行裝指海東。山日欲西溪鳥返。喚僧飛策入琳宮。</text>
<title>修道庵</title>,<text>單瓢孤釰在腰間。物外烟霞一杖閑。今夜匡盧山下宿。不知明日又何山。</text>
<title>入鷲捿山靈鷲寺</title>,<text>蕭灑行裝竹杖携。遠遊曾不問東西。曺溪水碧諸天近。鷲嶺雲深客路迷。亂石崎嶇生屐響。征衣飄拂罷禽棲。松蘿何處鍾聲出。却恐斜陽欲漸低。</text>
<title>密陽道中。遇明月山僧。問靈隱寺。</title>,<text>日暮溪頭路忽分。行人側耳遠鍾聞。有僧指點靑山北。寺在白雲深處云。</text>
<title>宿慈氏山父菴</title>,<text>首露王都草一邱。興亡如此涕堪流。千年覇業今猶壯。落日風潮怒海頭。</text>
<title>臨鏡㙜。次崔孤雲韻。</title>,<text>孤雲臺下水溶溶。十里澄潭萬丈峰。有僧解識千年事。坐我蒼嵒說舊蹤。</text>
<title>入圓寂山</title>,<text>幸與三師氣味同。探眞千里一瓢空。飛筇暮入仙山裏。路指松雲萬萬重。</text>
<title>寂照菴。贈秋演上人。</title>,<text>登探成佛已忌緣。寂照庵中更學禪。僧老千年雲水窟。客來靈境雨花天。談經不覺心無累。今日應知世有仙。幸借蒲團終夕坐。瀑流聲亂未能眠。</text>
<title>月城</title>,<text>羅王陳跡有荒城。極目斜陽百感並。貝闕珠宮傾覇業。石梯雲塔困蒼生。居僧尙識千年事。坐佛應懷古國情。誰謂興亡渾寂寞。至今依舊暮鍾聲。</text>
<title>鷄林</title>,<text>從古興亡苦不齊。千年人事揔依迷。楊山瑞盡悲靈馬。金櫃光寒歎白鷄。廢堞鍾鳴殘月冷。空林鴉噪夕陽低。凄凉往跡無由問。歸去荒郊碧草萋。</text>
<title>瞻星㙜</title>,<text>此地繁華一夢凉。西城何處更心傷。當時太史瞻星宿。萬古荒㙜滿月光。恰似銅駝留漢土。應看丁鶴返遼陽。捐軀事佛皆同轍。尤笑豪奢景德王。</text>
<title>禪堂窟</title>,<text>壁露千層自作臺。禪居寂寞頓無埃。人間浪有三生說。世外今經幾劫灰。簷影時時松鶴過。簫聲夜夜海仙來。登玆一笑風塵事。欲閉巖扃永不開。</text>
<title>觀音窟</title>,<text>山深石路更淸眞。洞僻松陰絶世人。鬼秘仙區金片片。天開層窟玉鱗鱗。簷收劫雨靈芝綠。燈盡禪窓慧月新。惟有一僧雲霧裏。幾回蒼海變生塵。</text>
<title>含月山祗林寺</title>,<text>大壑爭流法界波。四山松檜欝嵯峨。春來別有奇觀物。五色花生一朶花。</text>
<title>宿雲梯山吾魚寺</title>,<text>此地應知護百靈。法師陳迹宛千齡。溪邊鐵壁當軒立。積翠浮嵐勝畫屛。雲梯山裏滯歸蹤。客裏酸寒老衲同。千里旅愁長短夜。一燈明滅雨聲中。</text>
<title>延日道中</title>,<text>西遊方丈又東還。期入仙區破鬼慳。山水係緣餘事小。乾坤無托此行艱。天長左海風濤外。日落關河雨雪間。蓬島三千歸路遠。前峯回首月重彎。</text>
<title>興海泉谷寺。憶故園。</title>,<text>茫茫雲海久相離。昨夢分明見小兒。寂寞禪窓無語坐。故園消息月應知。</text>
<title>泉谷寺井</title>,<text>遼天歸路二千長。水險山高雨雪凉。南望頭流何處是。碧天無際海茫茫。窓下盈盈數丈泉。泉從何處大源連。山僧只道波無竭。其上團圓有小天。</text>
<title>淸河內延山上龍湫</title>,<text>左海名山說內延。神龍異迹問龜淵。千尋瀑落虹垂洞。萬丈巖高玉揷天。眞境偶然閑坐我。赤松何必獨穪仙。靈區若此人來小。世事悠悠實可憐。</text>
<title>東海</title>,<text>一杖飄然大海東。洪濤萬里夕翻風。微茫始覺天包壯。浩蕩方知地負䧺。日月浮沉元氣裏。山河搖動怒聲中。平生亦有乘桴願。極目扶桑快我胷。</text>
<title>平海栗峴村</title>,<text>漁浦烟生暮色暝。千村殘店散如星。波頭杳杳雲帆影。天外依依馬島靑。出沒輪翻驚曉日。往來潮怒聽風霆。多少名區知遠近。去去棠花繞海汀。</text>
<title>望洋亭</title>,<text>俯卽重溟仰太淸。迢迢南斗與人平。日沉有限知天盡。水濶無窮㥘地傾。萬棹聲邊層浪立。千帆影外怒潮鳴。男兒宇宙玆遊壯。白衲催歸不下亭。斜陽欲去更淹留。快意渾忘遠客愁。人物古今佳麗地。山河東國最名區。鰲頭海碧風驅浪。鶴背雲晴月滿洲。浮世百年能幾日。吾生幸卧此仙樓。</text>
<title>蔚珍途中遇雨</title>,<text>不知其是不知非。物外生涯已息機。千里金剛關海路。夕陽疏雨與僧歸。</text>
<title>遇雪。宿太白山。</title>,<text>西遊壯志自非遷。東蹈初心本慕連。太白山中僧與宿。滿窓風雪泣燈前。</text>
<title>天笁山佛影寺漫興</title>,<text>千里行裝一杖輕。爲看名勝到東溟。窮探雲水千年寺。高卧箕城萬古亭。臘屐何嫌登險急。仙區不得秘眞靈。可憐身世如斯老。顔色槁枯鬂髮星。</text>
<title>太白山漫興</title>,<text>名勝東關滯客輈。海天看月又如鉤。雙鞋踏弊千山石。一杖輕淸萬水流。世上昇沉何許事。此間搜索十分幽。更聞佛影多仙景。明日登臨快意遊。</text>
<title>箕城途中 平海古號</title>,<text>儒䆁雖殊氣味同。旅遊千里一瓢空。微茫碧海仙槎外。迢遞歸程太白東。大抵人心餘古道。洽然僧敎有西風。堪憐日暮無依宿。何處村狵吠巷中。</text>
<title>觀海</title>,<text>千丈層潮湧海濆。驅來沙岸勢將呑。風生鵬翼雲雷怒。浪打天門日月昏。地軸欲傾三島沒。鯨鯢失所六鰲奔。燈前客枕難成睡。淅瀝聲中或喪魂。</text>
<title>眞珠途中 三陟別號</title>,<text>欲訪蓬萊物外天。一筇東海路茫然。此去分明山月夜。永郞迎笑碧桃前。</text>
<title>竹西樓。次栗谷先生韻。</title>,<text>抱水層嵒上下連。曾經神斧幾千年。淸光戶近頭陀月。爽氣軒臨五十川。埜店烟生踈雨後。虹橋人去夕陽邊。依然白玉仙樓界。投到應知有凈緣。</text>
<title>頭陀山</title>,<text>踏盡頭陀萬峀奇。石間巖隙柏參差。湫穿百丈龍吟壯。壁聳千尋鶴夢危。開闢以來人未到。天皇之後鳥無窺。論山始訝僧言誕。若此深䧺政不知。</text>
<title>臨瀛途中。有懷偶吟。</title>,<text>宇宙捿遑一丈夫。百年身世可長吁。西瞻魏闕頭回數。北望燕雲釰怒呼。大禹山河窮遠眺。皇明日月撚霜鬚。同羣鳥獸元非幸。誰識時時泣路隅。</text>
<title>寒山寺 在寒松亭</title>,<text>暮越㙜山天畔高。寒山寺裏弄吟毫。滄波日影翻金塔。靜夜松聲動海濤。關外流傳名勝處。古今來去幾英豪。孤僧坐說千年事。龕下靑燈向客挑。</text>
<title>鏡浦㙜 在臨瀛</title>,<text>分明西子理仙粧。玉匣新磨一鏡光。小島橫邊雲淡淡。千帆歸外海茫茫。鳴沙白鳥雙飛影。踈雨棠花萬朶香。石老湖心虛月照。不知何處問紅郞。</text>
<title>月精寺</title>,<text>五臺名勝月精寺。居士來投日暮時。借問神仙何處在。昔聞山水十分奇。雪深古壑僧歸路。雲掛蒼松鶴宿枝。憇卧碧霞淸影裏。此生踪跡有誰知。陰森大檜老千株。掩日蒼藤亦半枯。山下溪雲晴不散。月邊松鶴夜相呼。當庭金㙮經灰㥘。滿壁龍蛇壯畵圖。卓上奇花紅映綠。屹然三佛共跏趺。</text>
<title>五㙜山寂滅寶宮</title>,<text>誑誘愚氓僞敎傳。誰知禍福本由天。麻絲粟米人常事。父子君臣理自然。不幸始生堯舜後。如何未定禹湯前。山林謾作黥奴窟。浪設淫祠玉帛捐。</text>
<title>過峴山 襄陽別號</title>,<text>落日欲沉峴峀傍。山翁行色一筇忙。風流頓减靑蓮士。拍手街童笑蔽陽。</text>
<title>襄陽途中。遇寒食。</title>,<text>今年寒食襄陽路。一㨾今人與古人。芳草落花誰上墓。故園回首倍傷春。</text>
<title>五峯山洛迦寺</title>,<text>洛寺平臨地盡陬。桑溟寥濶六鰲頭。尙傳肅廟當時句。方識東韓第一區。窓外三山雲隱映。檻前紅日浪沉浮。梨花亭上披襟坐。仙償何須願十洲。天濶東南碧海隈。畫樓高處容徘徊。千秋玉藻揮神筆。一樹梨花宛舊臺。日出雲收金作塔。月明潮怒夜驅雷。人間自此歸心絶。欲逐浮丘去不迴。</text>
<title>洛山寺賓日寮。謹賡。肅廟御製板上韻。</title>,<text>千鬟立立揔瓊峯。瑤海茫茫瑞霧濃。月滿梨亭花影亂。依俙仙侶夜相逢。</text>
<title>洛山寺梨花亭</title>,<text>宸遊𨓏跡尙分明。庭畔梨花一樹橫。桑海當前紅日出。雪山臨北白雲生。天光欲沒千颿影。旅夢頻驚萬棹聲。人世淸遊眞快濶。浪吟亭下笑浮榮。</text>
<title>梨花亭。贈思玉上人。</title>,<text>洛山第一景。山僧謂余曰。滄波日出天。滿庭梨花月。</text>
<title>雪岳山</title>,<text>石石嵯峨面面新。無花無木本無春。白雲半掩千峯色。山意分明避俗人。岳勢䧺盤大海隈。金蓉千朶絶塵埃。尖峰何處將飛去。危石分明欲墮來。瀉壑淸泉爭噴玉。落天流瀑却喧雷。白雲一半藏眞面。無乃羣仙向客猜。</text>
<title>神興寺漫吟 在雪岳山</title>,<text>此地名山甲海東。幾年空碧夢魂中。爭言雪岳眞靈最。果與金剛表裏同。瀑布應從銀漢落。瓊峰遙與玉京通。吟筇穿到烟霞窟。閑卧龍堂聽暮鍾。</text>
<title>雪岳山雪夜偶吟</title>,<text>飢不能舂凍不裘。此翁身世劇悠悠。大明日月頭將白。東魯山河足遍投。人事黃粱悲一夢。仙區勝跡感千秋。捿遑宇宙專無托。寧欲乘桴泛碧洲。</text>
<title>吐仰城瀑希 在雪岳山</title>,<text>亂瀉遙岑勢若傾。漏雲漱月下崢嶸。靑大倒掛長虹影。白日空飛急雨聲。銀漢無津通一脉。仙槎有路屬三淸。時來又作神龍戱。口嘖明珠萬斛橫。</text>
<title>雪岳山五歲菴。贈自諶上人。梅月堂所居處</title>,<text>琳宇曾經幾㥘灰。天慳凈界有何埃。鸞聲仿佛香爐月。鶴駕依俙萬景㙜。靈壑未消開闢雪。幽溪猶碧混沌苔。巖扃寂寞仙僧去。石榻松花亂落來。</text>
<title>雪岳山</title>,<text>雪岳崢嶸大海東。千峯奇秀似芙蓉。巖巖萬古人同老。閱歷皇明不改容。</text>
<title>萬景樓</title>,<text>登臨一望水天空。万態千容浩不窮。黃鶴樓低吳楚北。岳陽軒落鰈鯷東。玉妑喚出滄溟月。銀屋驅來萬里風。名勝人間斯第一。古今留滯幾英䧺。</text>
<title>雲根亭。次百淵韻。</title>,<text>高亭四面揔新顔。仙景東關最此間。滄海竆邊惟出日。碧天低處更無山。金剛秀色當虛壁。雪岳寒流注曲灣。瑤石瓊沙渾皎皎。白鷗飛去又飛還。</text>
<title>眞珠雲興寺</title>,<text>烟霞寂寞鎖龍堂。頭白孤僧宿上房。有意明朝呼我去。溪邊指點紫檀香。</text>
<title>金剛山鳥啼菴</title>,<text>回溪不盡碧峯低。萬朶花開有鳥啼。客到僧還山日暮。一聲鍾落白雲西。</text>
<title>高城三日浦</title>,<text>鏡裏層巖自作峯。一樓前後寫花容。淸光榻近波心月。翠色軒低石面松。異事流傳三日浦。丹書依舊四仙蹤。扁舟更泛靑蓮興。泉寺微風送暮鍾。</text>
<title>四仙亭 四仙名。永郞，述郞，安詳，南石行云。</title>,<text>東關第一此仙區。松老層巖花暎樓。畫棟應同黃鶴勝。扁舟何似四仙遊。依然明月千年事。不盡滄波萬古流。却向蓬萊歸計少。棹歌終日倚汀洲。</text>
<title>鉢淵寺</title>,<text>山容如玉立嵯峨。幸趁東風此一過。萬壑身登經雨石。千溪足涉落花波。春晴綠杖雲無盡。夜宿何庵月最多。隨去永郞雖未得。願從仙衲老松蘿。</text>
<title>通川叢石臺</title>,<text>臨汀萬石森如束。下揷滄溟上彼蒼。萬古山河撑鐵柱。千年宇宙積虹樑。螺鬟縹緲千尋直。禹斧嵯峨六面方。可惜異珍空棄擲。持歸還欲獻媧皇。六面蒼頑忽聳高。來看東角却忘勞。䧺盤萬古成坤軸。屹立千秋抗海濤。恰似天邊橫鍊石。分明波下護神鰲。心驚不覺躕躇久。日暮蘋風滿客袍。</text>
<title>喚仙亭</title>,<text>平臨三島洞天根。立石橫空又徹坤。滄海月明波嚙壁。扶桑雲破日翻軒。詞人韵釋爭留句。羽客仙驂宛有痕。名勝三韓斯第一。蓬萊方丈不須論。</text>
<title>歙谷侍中臺</title>,<text>行到東溟日出隅。仙區別有侍中㙜。三韓地絶人誰過。一片壇荒鶴幾回。雲鎖古汀層石老。月明滄海怒潮來。當時謝屐空留跡。風雨年年長碧苔。去去汀沙明似雪。海棠花裏鶴翩翩。臺荒萬古星霜後。石老千秋日月邊。地近蓬萊籠瑞霧。水連瓊海駐遊仙。三淸自此無多遠。直從靈槎欲上天。</text>
<title>瀑布菴</title>,<text>雕窓畵壁照輝煌。繞路金沙側岸傍。庭下月明松有影。石頭風動桂飄香。虹光白瀑橫千嶂。雪色層巖老万霜。數箇閒僧無事睡。碧嵐晴霧護龍堂。</text>
<title>山暎樓</title>,<text>巖巒回互揔瓊瑤。琪樹䓗籠晝寂寥。石效媧工經鬼斧。樓從蜃制壓虹橋。侵軒爽氣山橫影。上榻寒光月滿霄。不盡今辰探勝興。正陽明日更逍遙。</text>
<title>松林庵</title>,<text>溪路纔通壁畔門。一菴幽處杏花繁。香生綠岸仙芝老。影落蒼藤日月昏。戴雪奇峯難辨色。漏雲流水不知源。嵒藏五十三諸佛。僧說居中是世尊。</text>
<title>摩訶衍</title>,<text>萬二千峰玉揷高。東臨鯨海壓金鰲。浮雲本不隨風去。白雲曾無向日消。欝欝松凉僧宿窟。飄飄霞掛鶴巢梢。仙簫一曲來何處。花發瑤㙜月滿霄。仙境烟霞最此中。百年何幸一投筇。踈松夜韻香爐月。奇石天懸穴望峯。間壁楓杉千障繡。隔窓雲礭萬波舂。蒲團共伴高僧宿。旅枕寒多睡未濃。</text>
<title>皆骨山</title>,<text>皆骨人間獨有名。扶桑咫尺石崢嶸。蜿蜿萬峀雲應去。立立千巖雪互呈。天地中分來北極。金鰲下戴壓東瀛。琪花影裏羣仙老。鶴叫香爐霽月明。</text>
<title>安心庵</title>,<text>黃庭誦罷卧瑤坮。何處鸞笙一曲來。明月碧桃花影亂。永郞應與述郞回。</text>
<title>凈心庵</title>,<text>巖洞寥蓼水自流。雲中萬古三臺屹。僧言月白風淸時。鶴駕鸞驂來怳惚。</text>
<title>眞佛菴</title>,<text>壁擁山回餘萬疊。庭前有石三峯立。孤僧見客不相談。白日閉窓看貝葉。</text>
<title>上白雲菴</title>,<text>苔碧巖溪僧閉門。小軒晝靜幽禽喧。忽然不見庭松色。松上飛來何處雲。</text>
<title>靈源洞</title>,<text>又向靈源洞裏來。蒼崖幾處踏穿苔。磨雲萬丈金沙窟。徹壑千尋玉鏡㙜。峭壁分明當楚。爭流堪足比天台。仙庵靜對閑僧坐。鳥自無心花自開。</text>
<title>表訓寺。有懷偶吟。</title>,<text>頭白皇明一丈夫。爲憐山水到東隅。金剛勝翫探龍瀑。嶺海歸心聽鷓鴣。月壑驚眠風罄落。雨窓無夢佛燈孤。從遊圖斧元知忘。誰識乾坤泣暮途。</text>
<title>長安寺山映樓。次淸什上人韻。</title>,<text>離懷無恨更登樓。却恨仙山條忽遊。萬二千峯如送我。披雲天畔露頭頭。</text>
<title>須彌洞。贈性一上人。</title>,<text>寂寞孤菴近紫冥。滿山風月盡輸扃。溪雲捲處鼯懸樹。花雨飛時鶴下庭。萬派淸泉鳴曲曲。四邊奇石立亭亭。仙僧笑進香茶椀。落日吟筇更暫停。瓊峯縹緲東瀛畔。雪滿千巖雲滿壇。玉洞仙來笙鶴囀。夜深月照天風寒。</text>
<title>望軍㙜</title>,<text>層巓才過又層巓。頭白巉巖鳥道邊。側度雲梯無下土。仰攀鐵索上靑天。遙通碧海東西北。歷數羣峯万二千。擧目何徒論勝槩。神州回望涕潸然。</text>
<title>踰內水岾</title>,<text>壁路高低大嶺垠。瓊林掩映紫檀云。四時白石看猶雪。萬二奇峰動卽雲。雙屐踏來飛瀑濺。一筇揮處碧霞分。世間消息從玆隔。浪子啾喧耳不聞。</text>
<title>永郞㙜</title>,<text>須彌谷裏無人過。立立奇巖千丈屹。淸夜永郞來洞天。碧桃影落瑤坮月。</text>
<title>南漢山城</title>,<text>千丈高城百丈溝。登臨底事涕橫流。烟霞慘惔雲屯日。甲馬蒼黃月暈秋。地利從來穪險固。人和非是賴長籌。天磨失守嗟何說。擧目山河尙帶羞。</text>
<title>過鍾樓</title>,<text>紅塵九陌返遐蹤。去國悲懷出晝同。行色遲遅南郭路。歸心望望白雲峰。瓢筇可耐離辰北。錦水如何走海東。魏闕五雲從此遠。無端有淚自沾胷。</text>
<title>俗離山舍利閣漫吟</title>,<text>跨巖捫壁伴僧行。隨步筇音落石淸。水向人間鳴不已。山離俗子立無情。瓊岑瑞草萋萋碧。琪樹晴雲片片橫。寄宿仙庵仍少睡。石門蘿月夜微明。</text>
<title>詠懷 關東錄止此</title>,<text>富貴如浮雲。功名同落葉。空將無限懷。雪嶽山中泣。</text>
<title>感古</title>,<text>掩卷窓燈夜已深。如何一笑更長吟。乾坤得失無時定。往者英䧺浪用心。</text>
<title>白馬江</title>,<text>白馬江奔半月斜。荒臺枯木有啼鴉。凄凉日暮扶蘓屹。千古愁客㤪落花。</text>
<title>敎子求仁</title>,<text>吾將何語面諭諄。雖斃無違一箇仁。人世若論奇貨重。夜光明月亦非珍。</text>
<title>寄贈許學膺 濂</title>,<text>催回雪棹剡溪東。嶽麓奇遊片夢空。宛是襟懷相對處。夜來明月上梧桐。</text>
<title>寄許君則 榘</title>,<text>螢榻無緣共切磋。淸儀空入夢婆娑。幽㞐一倍相思恨。歲暮吳山雪月多。</text>
