<title>讀書 乙丑</title>,<text>月是太古月。書是太古書。太古明月下。人讀太古書。</text>
<title>和族兄 愼 回甲壽席韻</title>,<text>鴻光偕老太平時。有子何曾羡五之。外物由來輕組冕。韶顔自可享頤期。千編靜坐繩先武。一葦橫流慰我思。花甲喜成花樹會。莫辭鸚鵡與鸕鷀。坡詩云羲之有五之。族大父邵南公平生讀書樂道。近來有西洋學邪說惑世誣民。族兄能以辭闢自任。故五六云。</text>
<title>和葉西權尙書 𧟓 入耆社韻</title>,<text>稀年題帖又崇資。此事公家再有之。南極星輝仁壽域。西樓日永拜趍時。身邊雨露霑洪渥。畫裏春風識美姿。平地眞仙爭艶賀。退朝花底珮聲遲。</text>
<title>葉西權尙書。今年入耆社。樊巖蔡相公。以談仙之語贈詩。問其能擔瓊壺玉局與否。盖雅謔也。然竊惟仙家旣有玉帝仙曹之說。則其上仙。當上佐玉帝。下捴羣仙。有許大擔負。若携壺背局等事。不過是新進仙之勞耳。聊爲葉仙步其韻而解其嘲。</title>,<text>上仙元是極星南。緫領仙曹帝德涵。重任也非壺局比。自憂何暇問人擔。</text>
<title>贈鄭進士 淞</title>,<text>江郊鄭上舍。淳朴古人風。濩落猶奇氣。聲名遂老翁。湖憐孤帆溯。寺憶一樽同。西郭重逢地。衰顔借酒紅。</text>
<title>偶成</title>,<text>詩本性情達古今。雕華少處天機深。昔人紀實渾言志。俗客粧虛欲嘔心。平生不作閑吟弄。漫興無非婉諷箴。竽瑟紛紛爭所好。且將土鼓待知音。</text>
<title>余自藍罷歸後。睦上舍 允中 來訪曰。子之南爲也。吾有詩。欲寄而未果。因誦之詩曰十口無衣食。幾年城下村。今朝爲吏去。薄邑亦君恩。浦石供詩硯。湖魚佐酒樽。秪應京闕戀。去住寸丹存。乃次以酬。</title>,<text>莅官如一夢。依舊卧窮村。老去榮爲辱。歸來罪亦恩。敢希船載石。秪喜酒盈樽。吾友勤相訪。淸詩厚誼存。句句答睦詩</text>
<title>梨花盛開 恐是自况</title>,<text>㓗淸元是性。淡素却能文。月下看偏耀。葉中覺自分。玉氷爭皎皎。桃杏任紛紛。洛會千年後。洗粧每獨醺。洛陽故事。携酒會梨花下。謂之爲梨花洗粧。</text>
<title>梨花落。用前韻。</title>,<text>辭枝頗似勇。點地忽成文。隨勢爭高下。因風巧播分。雪飛片片大。蝶舞回回紛。猶恐飄香盡。䄄鋪飮到醺。</text>
<title>亡兒祭日</title>,<text>已矣斯渠命。悠哉奈我愁。每年三月晦。當曉一床羞。盃滿何曾縮。淚枯亦復流。欲詢歆格理。片夢却無由。</text>
<title>種菜有感。投鋤援筆。君子小人消長之感</title>,<text>天地本無私。萬品皆包容。問是孰主張。云胡偏不傭。植物最無知。雨露所陶鎔。春風浩蕩後。若有分吉凶。嘉生萎沒沒。麁刺茁茸茸。古來邪干正。賢良已不封。物理未足恠。世事千萬重。所以杜陵老。比興傷心胷。野莧陷萵苣。馬齒掩葵葑。宗生遂滋蔓。勢若凌大冬。君子微祿晩。小人妬而攻。園官負地主。英傑困凡庸。遺詩先我獲。三復意憧憧。余在洛城西。僦屋傍孤松。三陽啓泰運。節氣當春農。散足雨已風。師伯隨雲龍。土融牛力新。山泉鳴淙淙。四鄰競及時。播蓺畝橫縱。階下可以畦。強起策病慵。童子好動作。奔走惟令從。荷鋤易爲功。破塊深且濃。嘉蔬名不一。芥菁實爲宗。謂言種必收。庶敎畦丁供。甲坼未出地。雜草已髼鬆。吐芽根廣據。抽條葉交衝。氣擁中園昏。驕桀太不恭。雖欲鋤之去。搰搰亦孔邛。不見嫰葉采。空惜零露𩅽。因知此輩強。傾奪莫嬰鋒。永爲老圃恥。歎息倚短筇。喧喧世人態。共艶子之丰。蕭艾敗蘭蕙。便儇輕龍鍾。點染復顚倒。賢者罹城舂。在昔大猷世。至化登笙鏞。稂莠不害苗。萬邦歌時雍。安得復一見。卷中且相逢。</text>
<title>雨後偶詠所見</title>,<text>二片靑天雲際明。村雞墻上報新晴。荷蓑老叟驅牛去。小立田間聽水聲。</text>
<title>移居山亭洞 頷聯承首聯頸聯承頷聯末聯又應首聯</title>,<text>山亭洞裏北臯前。茅屋蕭踈樂晩年。城市忽然生野趣。雲煙如得償仙緣。終南氣勢長當戶。細石縈回別有天。漸喜衡門無剝啄。時時掩卷聽林蟬。</text>
<title>偶成 此絶相承相應而中二聯有感於時事</title>,<text>背郭茅堂爽氣新。俯看車馬暗天塵。無數機心田竇友。有時酣夢葛懷民。閉戶是非紛起滅。攤書讐校足經綸。年來漸廢閑尋訪。懶惰還羞出見賓。</text>
<title>細雨</title>,<text>風細欺踈柳。煙輕戱半山。微凉俄忽至。幽意自然閒。暫覺花心動。旋看石面斑。絲紋難正覩。斜映短簾間。</text>
<title>次族兄 愼 寄示韻 一律四絶</title>,<text>世間消息末如何。慙愧衰翁濟自家。捴是浮名春罷夢。那堪老眼霧看花。怱怱歲月事難了。納納乾坤生有涯。千古伊人逃姓字。傳神宛在露蒼葭。						幽棲近日托洪厓。不識門前有市街。淨掃茅簷成獨坐。笑他涎蠧畫梁蝸。新居與洪知事宅相鄰						憐子棲遲郭下厓。聲名曾是耀天街。想得拋書空咄咄。雨中成字斷牆蝸。						連宵急雨駕崩厓。聞道洪波溢巷街。天淸日出還應息。會看腥涎粘壁蝸。						窮居執熱更愁霖。銼冷無煙况漑鬵。病中三復詩中語。料得吾兄有此心。原韻有床床屋漏縱難免。尙勖庇寒天下心之句。</text>
<title>西鄰洪知事 周萬 以七月旣望夜。小會賦詩。余適有故。不得與而步其韻。韻則拈出於赤壁賦中字云。</title>,<text>天高雲廓忽驚秋。懶惰無心作勝遊。是夜空瞻蘇子月。阿誰能共李膺舟。門前樹立如人老。籬外溪鳴似歲流。千古雷張難再遇。莫敎奇氣謾衝牛。</text>
<title>贈睦文川 祖永</title>,<text>世人皆俗態。吾友獨天眞。晩境聊投分。今年遂買鄰。步春林有徑。乘月語無塵。潦倒何須歎。幸爲聖代民。</text>
<title>先君子八歲時。赴洞內宴席。席上出咸字韻。先君子詩先成。其押咸字句曰滕閣東南盡。蘭亭少長咸。諸客皆閣筆。至今人莫不傳誦。而其全篇逸而無存。小子每誦之。不覺感涕。又懼歲月寢遠。傳誦易迷。輒敢忘其僭猥。足成四韻。或冀因此而流示於後仍云爾。</title>,<text>滕閣東南盡。蘭亭少長咸。滿堂驚且歎。甲管謂非凡。八歲名京洛。明時老谷巖。遺詩三復處。小子淚沾衫。</text>
<title>遣悶 二首○賢者枯槁巖穴不識丁者乘肥衣輕</title>,<text>幽意忽無聊。凭高送遠目。層城列樓堞。疊巒迷巖谷。樹與人家糅。葉間露簷屋。時有鮮衣客。怒馬兼悍僕。揚揚紅塵間。意氣相馳逐。富貴身自致。平生書不讀。何處紫芝嶺。枯槁綺與角。													輕風吹我衣。飄飄頻拂杖。散步忽佇立。悵望如有想。逝川流日夜。昔人皆已往。藐然形贈影。天地極高廣。容光照日月。猶餘太古像。白雲棲長松。玄鶴送逸響。歎息俯塵寰。來往多煕穰。</text>
<title>李子文來言其同庚九人。脩稧列名。盖於往年乙卯慈宮誕辰。聖孝推錫類之恩。吾輩亦以是年周甲。與有榮焉。故有此擧。而又拈韻賦詩。以誇道其事。眞洛中勝會也。遂次其韻。</title>,<text>憶逢單閼慶辰良。我后宮中稱壽觴。環海孰無欽聖孝。同庚偏若荷恩光。千年景運應覃下。九老遺風宛在央。春酒招邀歌詠地。南星如月是休祥。</text>
<title>偶成 四首</title>,<text>距詖討賊理同然。不必士師與聖賢。乃獸乃禽邪說害。當誅當捉主人邊。缺齾乾坤誰闔闢。廓淸區宇莫腥羶。孟朱明訓垂千古。大義春秋是嫡傳。此言闢異端。如討亂臣賊子。是乃春秋之義。孟子朱子之訓也。													舞干終底格頑苗。正必制邪德勝妖。白日中天魑自遁。嘉禾盈畝莠何驕。但令大道能昭揭。會見淫辭却漸消。吾黨倘知斯義否。溫綸早下聖明朝。此言欲闢異端。先明吾道。聖主每以此意誨勑。吾儒當仰體也。						闢詖距邪聖旨微。如今胡反被誣譏。名之怪鬼翻成欛。指以𥚁心巧設機。豈謂太分賢不肖。自誇能幻是爲非。可憐渠輩終無益。畢竟公言定有歸。此言今世以闢邪者謂之怪鬼。又曰禍心使不得見容。夫怪鬼之目。自有來歷。本謂君子太分賢不肖也。禍心云者。小人幻是爲非。以害君子之伎倆也。惟其如此也。故鉗制一世。雖有憂憤之心。莫施距放之功。可歎也。然人之視己。如見肺肝。則何益矣。						橫流砥柱儘堪奇。可惜猶多有所爲。長札豈眞不得已。通文終是以其私。縱須劈劃嚴夷夏。未必躬親執鼓旗。此事難容毫髮爽。勸君細讀紫陽辭。此言今之闢邪者動輒爲長書往復。又爲通文以自標榜。終未免於有所爲而爲也。朱子有言曰豈必披甲執兵。親與之角哉。此又不可不知也。</text>
<title>昔在壬辰之亂。西山大師休靜。杖劒進謁。宣廟命爲八道十六宗都揔攝。而率其門徒及他僧一千五百。會于順安法興寺。助天兵戰于牧丹峯。斬獲甚多。克復京城之後。以勇士百人。迎大駕還京都。宣廟有贈詩曰。東海有金剛。雄賢幾鍾胎。高名山斗仰。今世是如來。又有御畵墨竹障子賜西山詩曰葉自毫端出。根非地面生。月影雖難見。風動未聞聲。休靜敬次曰。寂照非千世。虛靈豈入胎。金剛山下石。大小自如來。瀟湘一枝竹。聖主筆頭生。山僧香爇處。葉葉帶秋聲。弟子惟政等。以敎旨與衣鉢藏于頭輪山大芚寺。乃是入寂時遺囑云。當宁癸丑。因湖南僧上言。命西南道臣詳探事蹟。許其建影堂賜額。南曰表忠。西曰酬忠。命官給祭需歲祀之。又親製序若銘。以甲寅四月八日揭于祠中。其七世法孫碩旻。以其韻徧請于士大夫。余亦敬和三疊。</title>,<text>仁天祐福國。高釋謝凡胎。雲漢昭回處。忠臣聳後來。						西山映寶墨。孤竹倐天生。颯颯淸風起。如聞紙上聲。						慧劒元消沴。靈根不染胎。阿誰國賴活。天遣異僧來。						聖恩天下絶。孤竹筆頭生。萬古西山寺。蕭蕭如有聲。													西山奮忠烈。孤高似墨胎。法孫藏寶墨。流映曁雲來。						聖主嘉忠勇。恩波筆下生。西山孤竹節。千古樹風聲。</text>
<title>爲省墓在汾津。未卽肅謝掌憲之職。許遞後借騎鄕牛而還。有吟。</title>,<text>偶作楸鄕客。忽叨栢府除。諭書旋不下。軍職遂依初。乘馹成烏有。騎牛却自如。涓埃無報答。年老愧才疎。</text>
<title>除日以崇陵典祀官。在典祀廳。逢立春。</title>,<text>除日立春節。東陵典祀廳。今宵神一氣。此地護羣靈。測候葭莩動。齋明黍稷馨。應知德在木。金母揖裙靑。</text>
<title>祀官</title>,<text>祀官陪祭物。庖手出京城。造果依圖式。裁泡備炙羹。綸頒嚴賞罰。齋㓗竭忱誠。畢禮仍封餕。還從鳳闕呈。</text>
<title>元曉罷祀後。卽馳四十里還。尙未明。</title>,<text>罷祀心猶敬。迎新望欲迷。中宵驅匹馬。遠樹聽初雞。列炬羣鴉散。驚人恠鳥啼。今年好守歲。耐睡到城西。</text>
<title>己未元日</title>,<text>春風忽報破祁寒。病裏逢新却浩嘆。身世自甘歸櫟散。功名還羡夢槐安。絳人甲子今猶遠。白傅豔陽且莫殘。五十九年何所事。沂雩隨意共童冠。樂天詩曰半百過九年。豔陽殘一日。</text>
<title>貧女詞 恐亦自况</title>,<text>東家有處女。世族簪纓巨。幼習任姒訓。長慕孟桓語。德言兼容功。勤謹以自處。家貧嫁不售。深閨度寒暑。三十始適人。蹤跡還齟齬。箱奩冷無光。萬事皆辛楚。舅姑少愛憐。娣姒多疑阻。無以買歡心。婢僕亦怨詛。賦命寔不同。有善孰見許。微勞且自勉。幸不被叱去。</text>
<title>雞雀行 必有爲而作</title>,<text>衆雞得食爭且逼。觜啄距逐唯其力。有雀羣飛噪而踔。來雜雞中恣意食。雞反與之同周旋。無惡無忌如不識。同類自相強蔑弱。異類更若愛施德。所厚所薄太不均。奪此與彼良可惑。問雞胡不啄彼雀。雞不能對雀鼓翼。</text>
<title>樊巖蔡相公 濟恭 輓</title>,<text>移孝爲忠矢一生。身經寵辱不曾驚。扶來義理日星煥。鼓出文章燕趙聲。間氣韓公眞大節。東山謝相屬升平。昭融契遇傾千古。軒冕當時未足榮。</text>
<title>又代人作</title>,<text>交分兼將戚誼全。識公大節自童年。惟其孝子忠臣備。是以樊巖相國賢。萬化對揚三晝晉。兩朝恩眷一身偏。民情可見爭來送。執紼都門雨泣漣。聞市民奔哭。又自願執紼云。</text>
<title>通禮院吏來言余爲右通禮。曉當具朝服入闕云。而無以借得。遂以病免。時上親享于皇壇。翌朝當省牲器故也。</title>,<text>春雨寥寥掩蓽門。鴻臚新拜吏來言。衣冠僕馬俱難借。病裏虛孤聖主恩。</text>
<title>以典祀官。在懿昭墓典祀廳。時適大風。</title>,<text>風動萬木中。號令虛空出。謞譹以于喁。衆竅相咬叱。嚴威之所及。微草亦戰慄。厲濟忽寂然。四山如有失。自作還自已。始終難預必。孰能主張是。茫茫靡所質。豈眞大塊噫。章亥莫窮詰。或云虎嘯冽。聲氣相應疾。吾聞古聖賢。坐致千歲日。至理廼費隱。欲言未易悉。</text>
<title>自戊午冬末。至己未春。毒感遍行。人言自大國而始。死者甚多。乾隆帝亦崩其疾。遂越我國地境。旬日之間。直抵京都。人無得免者。而公卿以下死者十二三。盖沴氣劫運也。詩以記之。</title>,<text>二儀漭轇轕。氣或有邪沴。發爲生民害。種種非一例。兆眹見災眚。浸淫祟疫癘。縱云誰昔然。未有如今歲。非瘟亦非疹。彌天網無際。強名曰輪感。難以一言蔽。旬月遍天下。驟如風雨勢。公卿及黎庶。死亡日相繼。遠近報有司。動以千百計。布麻絶市廛。棺椁窘葬瘞。酷慘甚兵革。凶險過鬼厲。宛經一浩劫。滄桑閱此世。傳聞自大國。始初尤多殪。餘波及左海。所向厥鋒銳。借問孰主張。而使運氣盭。三朔乃稍息。理數杳難諦。百姓遭瘡痍。瞻仰仁天惠。瑞日消氛祲。時雨好樹蓺。麥熟又禾登。庶更無困弊。寄語燮理地。殫竭胥翼勵。</text>
<title>己未立夏始花。偶成。二絶</title>,<text>昔人寒食詠飛花。立夏今年始見葩。料得東皇辭盛滿。故敎炎帝領繁華。						老夫呻囈過三春。忽喜花枝照眼新。多謝東君憐寂寞。殷勤留待病蘇辰。</text>
<title>自開花至落花雨不止</title>,<text>花開雨始作。雨霽花已落。一年春光雨中過。使我不得片時樂。噫世間萬事皆如此。達人能知命數各。</text>
<title>與洪判尹 周萬 拈希庵集韻共賦</title>,<text>但使吾心靜。何嫌市語喧。友䟱憐管鮑。巷陋學顔原。霄鶴恒思遠。林鴉每喜昏。鄰居來往熟。一徑破苔痕。</text>
<title>伏日洪判尹邀與拈韻同賦</title>,<text>丈人同巷許襟期。佳節招邀厚意垂。荒誕德公禳磔後。詼諧方朔割歸時。蒸炎頓失三朝雨。老病渾消一局棊。乘醉欲還山日暮。穿林筇屐不嫌遲。</text>
<title>人有賦闢邪行者。乃次之。大關世敎</title>,<text>山經職方多記載。未聞西洋在宇內。梯航雖復窮殊域。狐魅詎敢累昭代。邇來邪學染左海。坐令倫彜入盲晦。從風奔波氣味際。躍馬贏糧才俊輩。貴賤混淆禮失分。男女雜亂德聞穢。洪流汎濫孰决排。荊棘滋蔓難剪刈。厲階主敎作窩窟。禍首購書入邊塞。惑世誣民遂至此。空令志士增歎嘅。最是弗祀滅厥廟。問爾其有三年愛。萬古四海皆兄弟。遺親後君曾無礙。頂禮誦呪眞至妖。好死惡生尤絶悖。亦知聖世所難容。厭然外揜心不悔。儒名墨行甚穿窬。小品瑣調溢闤闠。白蓮黃巾有前鑑。異日安知禍不再。聖主但欲人其人。任他揚揚廁簪珮。此輩政好反醜正。指以禍心其可耐。春秋有法亂賊誅。大易垂戒慢藏誨。靑丘不意入淪胥。白簡何人激慷慨。無奈陰長陽卽消。謾思賢進邪自退。安得廓淸慢天徒。大明吾道元后戴。</text>
<title>次柳進士 光鎭 四一帖韻 四一謂詩書棊酒也</title>,<text>世人煕穰捴嬰情。此老身心獨也淸。憑詩遣興幽愁失。須酒澆胷磊隗平。閒忙閱盡書中劫。勝敗從他局外評。四一還如六一號。廬陵無乃是前生。</text>
<title>金通川 復光 輓</title>,<text>心契曾將世誼兼。交情水淡兩無嫌。簷花細雨巴陵酒。槐市春風太學鹽。一壑煙霞輸管領。二城符竹著公廉。金蘭官樹蟬聲咽。病裏不禁老淚霑。金蘭通川別名。金卒于通川任所。</text>
<title>又代人作</title>,<text>壽近稀年性任眞。東南鳧舃太平辰。可憐缺界無圓事。乙卯帖中少一人。時乙卯同庚九人。修稧作帖。題名賦詩。而金其一也。先他人逝故及之。</text>
<title>哭李懷仁 趾馨○二首</title>,<text>鸞停螟式穀。槐蔭竹曾分。心思明涇渭。才猷理糾紛。訓家寧染俗。仁族實超羣。稀壽人間促。靑山杳白雲。李有繼後子													偶藉昏姻故。幸攀晩暮交。有時登白堞。隨意到靑郊。談笑窮曛旭。慇懃設酒肴。從今無所適。終歲坐書巢。</text>
<title>七月二十三日處暑。洪判尹宅。拈唐律韻共賦。時淸風適至甚快。</title>,<text>背郭堂高爽氣新。蒼林礙日隔紅塵。愁城忽破憑歡伯。酷吏纔過見故人。空使壯心羞白髮。任敎才子樂靑春。淸閒富貴難兼得。不必揚雄賦逐貧。</text>
<title>上以七月二十一日。皇明顯皇帝諱辰。詣皇壇行望拜禮。命移構敬奉閣於壇西。奉安自高皇帝至顯皇帝誥勑。賦近體一首。以識尊王之義。命參禮諸臣賡進。代人作</title>,<text>一理難誣萬折濤。偏邦帝力頌秋毫。洪恩再造滄溟濶。大義重明苑閣高。從古彷徨傷彼黍。至今忠憤矢同袍。吾王肯構尊周地。更命齊賡寶韻刀。</text>
<title>八月聽鸎</title>,<text>八月鸎聲聽更新。淸嬌百囀勝如春。應嫌暖日隨羣鳥。特占寒蟬以後辰。</text>
<title>秋日</title>,<text>秋日多霒雺。秋雨苦雴霫。圃邊夫須欹。階下决明溼。樹葉就黃落。點滴似悲泣。客子理短簑。坐愁道路澀。萬籟日益厲。百蟲行且蟄。却思春夏節。顧惜何由及。天地有生殺。譬如呼必吸。羲和鞭六龍。騰驤不可縶。丈夫生斯世。虛老已六十。寄語有志士。及時宜樹立。</text>
<title>重陽洪判尹宅。拈老杜九日韻。共賦成。二首</title>,<text>四序頻移軌。重陽復把杯。緣愁顔早悴。羞窶菊遲開。晩計閒應足。朝班點幾回。古人十月會。不妨又重來。是歲九日。菊不開。						雅契仍同巷。佳辰每共杯。如何九日會。不見一花開。落帽人空憶。題糕夢却回。葱臺聞試士。誰得奪袍來。是日上親臨瑞葱臺試士。將賜第。</text>
<title>十月爲重陽會。復拈老杜九日韻。</title>,<text>今年十月重陽會。病後無心陟彼臺。軒當老樹人三坐。籬傲寒霜菊兩開。雲煙底意頻移幻。鴻燕因時自去來。詩酒令嚴君莫緩。紛紛黃葉似相催。</text>
<title>余過鄰家。有室中菊。有簷底菊。有庭前菊。其在室中者悅茂照爛。簷底次之。庭前乃潦倒欲萎絶。菊一也。隨其所處之地而其不同如此。感而賦之。</title>,<text>盆栽屋貯剩凌寒。十月黃花勝牧丹。籬下數叢風雨裏。可憐憔悴不堪看。</text>
<title>朴大諫稚敎 長卨 見余賦三層菊。次成三首。各賦一菊。余又次之。</title>,<text>親於几案遠風寒。爛熳相輝點易丹。誰道凌霜眞苦節。借人煖屋供人看。													右房中菊												簷深不受曉霜寒。數朶影窓出日丹。占得地高生色易。上堂賓客最先看。													右廳上菊												晩節孤高肯畏寒。籬黃交映楓丹。殘叢數蘂眞堪貴。倚杖幽人不厭看。													右庭下菊</text>
<title>又步前韻謾吟</title>,<text>欲學延年菊水寒。不妨呼作壽民丹。幽香晩節山人趣。肯許尋常俗子看。</text>
<title>病後</title>,<text>幽愁澒洞太無端。病後扶筇倍覺難。歲暮天機還似我。一番風雨一層寒。</text>
<title>李大將 敬懋 挽 代人作</title>,<text>壽過稀年又慶餘。戎壇卿月映金魚。容儀竦直超凡態。質行操修播美譽。聖主獨嘉孫抱略。時人皆識郤敦書。風飊雨泣靑門路。大樹蕭蕭拂輤車。</text>
<title>十二月念後。偶誦朱子答陳同父書。有感而成。</title>,<text>嘗觀紫陽書。奉告老兄陳。迂滯又懶拙。杞菊爲經綸。更過五七日。便是六十人。我恨未摳衣。悵望隔千春。今年倐已暮。舊景宛此身。三復感且愧。虛老迫六旬。却羡村秀才。尋數丈席親。殘書尙在案。工夫每因循。恁麽死了底。畢竟同灰塵。</text>
<title>庚申元朝</title>,<text>蘧瑗六十化。良由欲寡過。我今愧古人。但學袁安臥。																			又						聖人耳順衛賢化。悵望千秋謾一吁。博士公孫羞曲學。河南白傅窄前途。入門道眼聊當返。理屐春山未要扶。晩悟退閒差可擬。火銷燈盡酒宜沽。公孫弘六十擧方正。召爲博士。白樂天詩。六十河南尹。前途足可知。蘇子瞻詩。先生年來六十化。道眼已入不二門。紛紛華髮不足道。當返六十過去魂。白詩又云不准擬身年六十。上山乃未要人扶。不准擬身年六十。遊春猶自有心情。我今悟已晩。六十方退閒。火銷燈盡天明後。便見平頭六十人。</text>
<title>月正元日。上命幷擧元子冠嘉冊三慶禮。仍除宮僚。臣民蹈舞。八域惟均。敢以一詩敬寓抃賀之忱。</title>,<text>岐嶷元良繼聖神。儲宮正位履新春。幷行三禮冠嘉冊。初拜羣僚贊輔賓。楓陛頌騰山萬歲。梨園歌奏月重輪。雞鳴鶴駕爭延頸。斂福應知錫厥民。</text>
<title>遣悶</title>,<text>西城供客眼。白屋俯靑郊。不解長隨俗。仍成廣絶交。歸牛知舊徑。噪鵲喜新巢。近日多無食。居然似繫匏。</text>
<title>洪判尹 周萬 挽 三首</title>,<text>淳容善性得之天。圭角由來貴渾然。京兆中樞八座秩。聦明強健九旬年。香酥壽閣隨恩澤。珠唾幽棲富什篇。梧竹剩留鸞鵠峙。德門餘慶故緜緜。						爲是幽鄰近接芳。尋常格論最聞詳。忘生徇欲存深恥。因試容私戒後殃。此事古人曾所罕。歷觀今世孰能當。塵生客榻茶煙歇。獨立寥天秪自傷。						忘位忘年許過從。微公誰復起余慵。飛觴共醉憐寬禮。拈韻聯吟愧銳鋒。山日每斜看奕簟。林風時送賞花筇。那堪轉眄成陳迹。依舊春來細草茸。</text>
<title>湖西紀行 一百韻</title>,<text>湖西海美縣。去京三百里。再從四昆季。並居一壑裏。而我獨離索。悵望隔山水。爾來數十年。欲往貧無以。今春得歸便。勇决不移晷。身外更無物。蕭然謝行李。晡渡銅雀津。暮宿栗林趾。凌晨策羸馬。川谷互靡靡。華城忽入矚。粉堞列千雉。逶迤萬石渠。盈陂水浩瀰。前臨大有坪。御路平如砥。荷洞挹幽香。梅橋訪新蘂。蒼梧霱雲橫。松栢鬱乎美。聖孝卓百王。諸臣承明旨。橋舟歲一幸。于今十餘禩。經營壯關防。形勝聞遠邇。北聳長安闉。南通八達軌。雷動四方民。輻湊百貨市。虎鶡列健校。綺羅炫遊妓。雕樓與畫閣。顧眄勞點指。行出柳川歧。遲遲如將竢。緬焉懷聖德。灑涕不自已。山川漸遞易。回首惜移跬。越畿遂入湖。曉發昏則止。野曠渡略彴。疊凌峛崺。新院苔碑蒼。霅橋瀦土紫。夜雨響崇朝。獰飈仍怒起。谷巖吼方裂。卉草戰欲死。松橡相摩戛。亂鳴雜宮徵。有嶺入雲矗。其名曰大峙。穹石懸絶壑。飛瀑穿縈藟。危磴幾百折。羊膓無乃是。攀援步步囏。骨節覺骫骳。披藤輒長嘯。遇嵒頻蹔倚。况復遡孔僾。吹倒失冠履。昏黑到上頭。逆旅幸在此。呼酒解飢渴。頹卧萬慮弛。商賈集如蝟。無禮何誅爾。諧謔間謳謠。亦可徵俗俚。平明據山頂。四郊入俯視。萬象駭心目。浩蕩何戢孴。偉哉造化翁。遊戱恣譎詭。邑號信不爽。有城環以枳。穰穰赴虛人。爭先誰所使。負戴事亂聒。騙刁期倍蓰。齊民固有欲。各自圖生理。覽玆悟物情。因以忘憂悝。跋涉甘辛苦。迂回任邐迆。他鄕花樹會。相看面面喜。親朋多逢迎。兒童能拜跪。歡笑眉蹔伸。談論掌頻抵。海近亦山深。烟霞似散綺。平塢樹戟攢。長郊村櫛比。暮筐收溪簌。朝市買江鯉。競邀歸其家。肆筵或設几。遊衍竟日夕。兄弟序以齒。愴舊含凄其。綏履勉樂只。顧我命奇窮。有子而無子。達觀亦何傷。初不繼考妣。反思孤孑甚。况又今老矣。形影空相吊。起居孰可恃。且欲稍慰意。匪直爲絶祀。秀也已成童。粗能通文史。和厚絶畦畛。孝友爲基址。溫溫君子德。宜爾受百祉。遂拔衆子中。佇期式穀似。幸得吾弟憐。聞言卽曰唯。以汝歸洛棲。始叶心所企。達識資經籍。課業授筆紙。行先治身心。學毋尙口耳。沉重愼言動。恭謹遠辱恥。事爲須勤詳。服食戒華侈。副得名與實。任他譽或毁。苟能軆不忘。庶幾泰傾否。初來同敎婦。家道自此始。行看從孫子。先祈釐女士。永念家素貧。棲屑屢遷徙。矧我不及人。疎拙斷無技。服非牽車牛。田未秉耒耜。閉門但讀書。甚矣不自揆。生有原憲病。死乏黔婁被。徧國無立談。狷狹甘卑鄙。初志嗟日負。流光似逝矢。衰晩謬通籍。實慙學優仕。天曹猥乘馹。霜臺誤冠廌。藍田玉生煙。墨綬終朝褫。城西僦蝸廬。依舊呼庚癸。殘書送日月。數畒種菊杞。不知髮已絲。嘐嘐妄自擬。塩車跼駑駘。天衢騰騄駬。一世皆梔蠟。握齱無友紀。自足賁黼黻。何須辨亥豕。楦麟已成俗。雲鶴反見訾。寒門泯名號。熱官赫姓氏。向背惟時勢。下及竈間婢。我性至滯陋。有聞未行咫。胡能慕大鯨。但自保螻蟻。古人貴安命。微妙固難揣。勉旃樹家業。無使遂中圮。福善理不差。所恃蒼者彼。</text>
<title>華城</title>,<text>霧罷風輕小雨餘。華城朝日駐征車。訪花亭壓長安堞。如意橋橫萬石渠。園寢入望淸御路。關防成邑簇人居。微臣每過偏多感。聖孝應徵太史書。</text>
<title>我兒</title>,<text>湖西遠涉正春時。花樹歡情慰久離。自憐有子還無子。却使君兒作我兒。候門解助衰年喜。課業仍忘舊日悲。莫笑籝金無所遺。吾安何似世人危。</text>
<title>雨</title>,<text>霏霏初正寂。滴滴漸能鳴。侵曉流仍色。因風灑却橫。花傾猶大耐。燕濕亦斜輕。斗覺前溪近。坐堂聽水聲。</text>
<title>大學中庸序。皆朱子六十歲所作也。靜夜誦之。感而有賦。</title>,<text>淳煕己酉月維春。庸學序文詔後人。我雖誦讀嗟無得。虛送光陰到六旬。</text>
<title>除黃山察訪。辭朝日口占。</title>,<text>先王恩遇若偏臣。報答涓埃未有因。今日又辭魂殿去。丹墀淚盡此何人。是歲六月遭國恤。八月蒙恩除故云。</text>
<title>赴任途中</title>,<text>湖船憶曾渡。嶺路又今賖。借問黃山驛。何如藍浦衙。明時甘蹭蹬。暮景苦飛斜。處處殊謠俗。壯遊亦足誇。</text>
<title>到黃山</title>,<text>忽來蟬樹驛。似是馬曹官。竹缺生淸瀨。簾開入碧巒。歲華如許易。客味故應難。幸免憂民社。休辭檢駱驒。												又						南來喟雨復呻風。到得黃岡天欲窮。峽束長江千丈疊。路臨絶壁一條通。兒童迭出踈籬外。吏隷爭迎萬竹中。自愧郵官無報答。且同村老樂年豐。</text>
<title>偶吟</title>,<text>折腰五斗督郵纔。邊驛秋風動壑哀。鬣者吾知爲馬也。喟然余不負丞哉。百年多病心情弱。千里離家歲色催。盡日無聊書咄咄。消憂勝瘴强銜盃。</text>
