<title>偶題</title>,<text>門對南山矗。軒臨洛水流。百年仁智樂。黃卷一牀頭。</text>
<title>輓姜參奉啓好 世誾 二絶</title>,<text>松貞桂辢邁人姿。太史莊騷獨上窺。市隱名家繩祖武。龍門勝會儼皋比。						陞庠筮仕渾餘事。闢異伸忠永有辭。風露喬山嬰二豎。至誠殫竭重臣知。</text>
<title>哭族姪守軒彝好十一絶</title>,<text>南岡灝氣入望靑。松桂淸陰蘸遠汀。朗讀微吟聞恍惚。老夫何事哭中庭。						名祖遺謨此學源。拙誠謙晦進修門。力行力念傳家訓。世世靑氈裕後昆。						日新扁揭肯堂楣。寶樹祥光第二枝。抱得麟兒天稟好。大方門下覔良師。						嫡嫡文莊復得孫。皋比令望藹春溫。吾家亦有江皋老。朱退書中仔細論。													粹然儀表灑然襟。壯歲猶存赤子心。蒼壁暮江奇絶處。一番煙雨捲平林。						怡愉湛翕性於天。至行由來孝友先。戲動過言吾未見。眞工無愧古人賢。						南厓雲水隔村墟。好是東岡處士廬。淨埽蓬門人不到。鑪薰淸對聖賢書。						隻眼楷書手分恢。竭誠先集校讎來。靜齋主一巴山稿。藏在巾箱恨未偕。						傳世嘉言九首詩。小屛重覩表章時。謾留白首丁寧約。輔我桑楡更是誰。													中身忽報善人終。萬事無由問太空。古匣瑤絃餘響絶。闔門蕭瑟撤帲幪。						劒會秋原山日暝。蕭條書送守軒旌。蒼蒹路阻音容遠。慰撫孤兒血涕零。</text>
<title>輓尹聖老 二首</title>,<text>南州豪士好襟期。擊節長歌酒後詩。落月空樑驚一夢。靑山何處送靈輀。						泮旅淸談歲若流。烏山宿約鬢生秋。修文遽促中身壽。上舍高名白玉樓。</text>
<title>輓許上舍 俌</title>,<text>竆經飭行展如人。庠舍爭推席上珍。會老遺芬尋墜緖。江皋講座襲陽春。醫來積久膏肓疾。淨盡纖毫几案塵。忽報中身乘化去。瑤琴獨抱暗傷神。</text>
<title>輓金上舍景天 台應</title>,<text>竆山挺逸士。晩契托知音。雅操錚錚鐵。經書矻矻心。採名漕使選。覿德泮儒欽。一夕驚蘭報。於虖理莫諶。</text>
<title>乙未重陽前日。爲敎兒題名設蓮桂會于玉淵精舍。安上舍汝仰，李上舍文叟。余與尙書從兄，高城弟，三從姪大諫定吾，從弟參奉而恭同會。乘月而歸。吟成五言一律。</title>,<text>皓髮商山老。黃花栗里秋。幸緣修禊事。好作躡仙遊。古壁雲生錦。淸江月上樓。阿明何處去。吾恨更悠悠。</text>
<title>哭從弟參奉 徽祚○二首</title>,<text>叔考深仁晩抱麟。休休儀範典刑新。庠宮雅望期高闡。銓部公言擬復甄。家學堪憐絃斷響。後生爭說巷無人。編刊未了爲山蕢。獨把巾箱感涕頻。						吾門昌大世誰云。昨窆阿明今送君。一命再叨纔發軔。八旬諸從又斜曛。無兒嗇壽仁何驗。乘化安心道所聞。乍別爲難千古訣。湖山遼廓寫哀文。</text>
<title>余種一株盆梅。夏置園中。冬藏密室。用力頗勤。十年而不花。竊自恨培壅之失宜。丙申元朝翌日。忽見枯査上一枝花。暗香初動。爲賦一絶。</title>,<text>春到南園種樹家。十年今始一枝花。莫言臘後佳期晼。韻格淸疎瘦影斜。</text>
<title>丙申九月。校臨汝齋稿。李雲谷又文 羲發 來會。余與尙書從兄，高城弟，大諫姪，士慶，聞瑞，而鎭，敎睦。同往玉淵。泛舟沿洄。又文呼四韻二首。忘拙續貂。</title>,<text>淸秋葭露玉如淵。晩節黃花續舊緣。世慮渾忘塵外事。癯容相對鏡中天。游魚活潑眞機妙。巢鶴飛鳴道士詮。勝會重陽謀一醉。臨翁篇帙且譚玄。													五老三賢一葉船。飄然遺世列羣仙。囂塵水隔平沙外。細雨秋淸落照邊。先躅緬懷聯相石。舊恩閒說賜金蓮。莫言楡景頻難會。好月春江缺復圓。</text>
<title>哭三從姪大諫 致睦○二首</title>,<text>吾門吾黨與誰同。倚重諸賢一隊空。孝里忠門生老地。關山湖海夢遊中。三朝寵渥薇垣長。隻手風裁砥柱功。響斷塤篪爭半歲。踽涼懷緖訴天公。						延英仁政縟儀陳。回顧僚班少一人。日就經筵文武聖。春回金殿拜稽辰。那催儵忽桑楡景。未餉期頤福祿申。山澤空虛無限慟。夕陽殘照暮江漘。</text>
<title>別洪義伯 奭浩 自申城寓舍還忠州</title>,<text>世道滄桑變。故家萍水浮。斜陽孤竹院。樽酒送行輈。</text>
<title>文君 正儒 七十六歲翁。見訪於四十年阻闊之餘。喜贈一絶。</title>,<text>蓬門一夕病眸開。恍惚癯仙天上來。德義風流欽尙處。籬花香泛淺深杯。</text>
<title>輓詞[李羲發]</title>,<text>藍田良玉出。丹穴瑞禽儀。忠孝傳家學。文明際聖時。志堅幼安榻。工邁董生帷。彩筆懷中得。祥雲日下移。宸衷起曠感。恩侑降遺祠。妙譽奎華選。淸銜簪筆隨。恩霑華袞奬。名擅衆望推。帷幄論思密。絲綸代草遲。聖心方汝玉。吾黨屹然砥。孝極專城養。謠騰四郡治。德星聚故里。卿月耀恩資。運甓應堪事。劬書自忘疲。憂時思范馬。報國願臯夔。律己無衰相。居家有定規。人方蓍策倚。天不老成遺。自愧空疎質。同登講製墀。雪鑪分賜饌。蓮燭賦賡詩。潤色龍門製。商量蠧簡疑。淸時多樂事。暮道許深知。北洞高懸鵠。西淸晩聽鸝。思家頻說夢。在道或聯騎。六載金蘭契。一天雨露私。升沈何足道。聚散忽如期。一灑涒灘淚。相憐鬢髮絲。霜葭秋水阻。雲樹故人思。往歲重陽節。浮生一會奇。江山喬木老。風物玉淵漪。酌酒黃花泛。登舟細雨宜。臨翁已先去。定令亦相追。世事渾如夢。流光逝若斯。蟬聲懷綠樹。詩語杳靈芝。尙憶前春事。那堪此日悲。漢濱同遇雪。石院始分歧。回首已陳迹。賞音更有誰。緘書嗟未及。樑月謾相窺。深愧范卿誼。空題薤露詞。庭前聯寶樹。喬陰在河湄。</text>
<title>輓詞[朴光錫]</title>,<text>蜚英早歲際昌辰。聖許文忠有是孫。七步成章榮秘閣。四州遺愛化黎民。瑰才應世文明運。襃賞非常雨露恩。淸名雅望渾無累。元祐完人一老臣。</text>
<title>輓詞[崔昇羽]</title>,<text>儒宗河上宅。詩禮舊名門。喬木遺蔭在。靈枝奕世繁。絶倫才器美。拔俗稟姿敦。鳳翥詞華擅。鵬摶逸翮掀。花甎霑異渥。蓮燭荷殊恩。知遇傾今古。聯翩耀季昆。每陳文陛奏。幾惹御鑪薰。禮厚三朝眷。階陞二品尊。淸名山斗仰。治績口碑喧。出處丹忱切。行藏素履存。身懷伊呂志。時際舜堯君。耆德居三達。退休樂一園。方看驥展足。旋見鶴棲雲。經濟違初志。優閒泝本源。猷爲皆事業。課督乃兒孫。忠孝誠非懈。睦姻誼冞勤。山南推領袖。江左牖迷昏。每擬靈春久。豈意木稼翻。皇天終未憗。卿月忽無痕。盡瘁今誰在。頹波更莫援。雲車飄帝座。寒雨暗孤軒。姻戚人猶在。公私慟益呑。衰年頹病枕。綿酒隮荒原。一幅題哀語。潸然欲斷魂。</text>
<title>輓詞[李東迪]</title>,<text>揭厲行裝適淺深。故家遺範見當今。榮塗尙有林泉味。散處寧忘黼黻心。且待西樞卿月滿。忽驚南極壽星沈。三平五福無餘憾。山斗高名孰不欽。</text>
<title>輓詞[李程淳]</title>,<text>天憂吾黨道將衰。有爛文星左海湄。啓沃才猷經幄老。稽疑矜式士林師。狂瀾旣倒知誰障。砥柱彌堅恃不隨。大論方張人忽逝。宣鄕尤切後生悲。</text>
<title>輓詞[李彙圭]</title>,<text>華岑千丈古。孤鶴唳淸晨。十世謙厓業。三朝廊廟身。文章留簡策。經濟付雲煙。進退看時義。生顔愧後塵。</text>
<title>輓詞[朴箕寧]</title>,<text>臞容挺獨鶴。照映霜毛明。咳唾江山碧。精神雪月淸。詞章今內翰。經術古西京。此縣衣冠再。長空已曉星。聖代奎華選。猶傳燭刻呼。循良歸四郡。絃誦見羣儒。黼黻當年志。灌鋤晩景娛。雲章留寶墨。緗篋永垂謨。</text>
<title>輓詞[金重夏]</title>,<text>溫玉精金間世姿。蜚英奎閣屬昌時。淸名雅望三朝重。經術文章一代推。陶集編摩俄奉誨。壽星沈晦奄纏悲。賢公進退堪模畫。獨立迷途悵莫追。</text>
<title>輓詞[李彙載]</title>,<text>先王臨御蒐羣英。公昔金閨荷寵榮。大嶺之南生國器。西厓以後繼家聲。官休萬事寄殘卷。名重三朝躋列卿。河上老仙乘鶴去。玉淵臺下月空明。</text>
<title>輓詞[金宗烋]</title>,<text>奎章學士正王朝。玉立風姿聳百僚。堯舜好將糠粃鑄。江湖還似廟廊高。防臨閥閱傾時望。洛蜀鄕邦鎭俗囂。花嶽忽頹南國瘁。斯文回首淚盈袍。</text>
<title>輓詞[金鎭河]</title>,<text>廊廟山林係重輕。文忠古宅又先生。風雲北闕三朝老。星斗南州一代名。實地宸襃奎閣煥。眞源家學玉淵明。山頹是日將安仰。河水沄沄淚欲傾。</text>
<title>輓詞[李鍾祥]</title>,<text>河山秀氣鬱相持。喬木深陰遠更滋。國老同堂尊斗泰。江翁並世儼皋比。江湖夢想長千里。花卉經綸亦一奇。袞袞英髦來不盡。受之無壽未須咨。													嶠南吾道悵斜陽。瘦鶴翩然下大荒。百世源流澄玉潊。三朝際遇炳雲章。責堪牌拂存深揖。敎在培扶善一方。泮水春風叨拜乍。幾年回首憶門牆。</text>
<title>輓詞[李源祚]</title>,<text>泉塗茫茫記友碑。泮魁奎選昔同時。蒼梧一掬朱書淚。宰樹煙霜泣舊辭。						儒學吾南軌範傳。邈然公似百年前。今人謾說金貂貴。入室牙籤滿架懸。						靈源渟滀玉淵波。徙海鵾鵬九翮摩。拔迹非專先蔭藉。少年虀粥讀書多。													彤筆烏紗儲望奢。風雲雨露禁林華。廿年纔撤瀛樓直。晩暮卿班世道嗟。						石畫金科確不移。數州糠粃亦需時。邇來斂卻訏謨手。巡圃課農學老師。						厓爺家學世裘箕。花樹門闌準尺持。和敬端爲忠孝本。暮年堂構後人遺。						千里緘辭寄舊哀。汗靑頭白阻歸期。南國靈光今寂寞。煙霞零落使人悲。</text>
<title>輓詞[金騏獻]</title>,<text>翩然仙鶴下塵寰。雲闕無人帝詔頒。厓老百年瞻北斗。健陵當日抄東觀。藻華驟注風䨓下。簪筆神飛電火間。忠孝遺謨酬國遠。江湖高著養心閒。槩論位德還非稱。雖有榮名不自安。圖史琴書康濟樂。芝蘭蓮桂起居班。滿架洙泗淵源錄。大闡樊溪義理關。吾黨道消方否運。中流柱失柰頹瀾。奎華古閣寒鴻過。文藻名山夕鳥𠴨。德宿那知今夜晦。英靈無乃大川還。行藏一部看周易。精力平生詠魏檀。雨覆雲翻今世態。龍亡虎逝古人歎。枯桐南國神師去。卿月西銓缺影看。芝舍煙霞還寂寞。陶山剞劂孰存刪。一堂金玉如聯璧。八耋光陰忽轉丸。俛仰風儀何處復。南屛桂樹夢中團。</text>
<title>輓詞[李蓍秀]</title>,<text>先王求輔弼。忠孝舊門閭。華國聯雙璧。傳家富五車。瓌林摛鳳藻。玉陛唱鴻臚。學士登瀛日。康矦錫馬初。風雲通寶座。日月繡華裾。頌作周淸廟。文論漢石渠。台躔光嶺表。喬木蔭村墟。泣劒辭宸極。懸車返故廬。江湖憂愛切。廊廟老成餘。進退同徵士。行藏共尙書。閒居崇德業。樂育進髦譽。和敬扁楣在。文章篋笥儲。儒林方倚重。時運有乘除。駕鶴三淸遠。乘箕八座虛。法門嗟已矣。賢弟慟何如。憶昔聯牀日。夤緣問起居。一家恩最厚。千古恨空茹。泉壤今難作。何時擧筍輿。</text>
<title>輓詞[權顯相]</title>,<text>圭璋令質鳳麟姿。高步靑雲際晠時。位與年尊朝野敬。行俱名顯婦兒知。蚤時玉署文章望。晩歲金陵政績碑。夫子平生眞不愧。靑山黃絹豈無辭。						人物南方日眇然。文忠家裏最多賢。萊翁八世承文獻。范老千疇刱義田。薑桂自全辛氣味。江山長管好雲煙。人間仙鶴歸何日。塵掩寒棲杳九天。</text>
<title>輓詞[朴弼寧]</title>,<text>昂然仙鶴下寰區。雅望英姿一代無。文采蚤年張子壽。講筵當日范淳夫。棟樑大廈人爭式。蓍蔡同堂德不孤。粉旐遺銜書內閣。健陵寒月照泉途。						家學嗣修意獨長。苔門斜掩玉淵傍。典刑叔世遺東魯。眞諦中宵對紫陽。黼黻初心金管弊。巖厓晩節雪松蒼。餘生永負丁寧眷。宿草無由薦一觴。</text>
<title>輓詞[金祖壽]</title>,<text>喬木高門挺異姿。士林樑棟國蓍龜。三朝位望推經幄。四郡治聲證口碑。五福箕疇無一欠。全歸曾簀有何虧。從今南國蕭條甚。最是難刪殄瘁詩。</text>
<title>輓詞[金在仁]</title>,<text>名家碩輔應昌辰。生老昇平八十春。簪筆邇英良史氏。論思前席舊儒臣。江山百世先生宅。荊萼雙輝學士鄰。矧我朱陳依望地。誰知今日去朝眞。</text>
<title>輓詞[南鴻陽]</title>,<text>厓老淵源二百年。儒宗耆喆世相傳。緣公一夕風雲會。重我三朝講說筵。最是邃文宜後世。遂令潛德賁重泉。孱生報施知何日。淚盡歸雲去鶴邊。</text>
<title>輓詞[金燦圭]</title>,<text>正考當年玉署開。特令文肅抱麻回。嶠南義理宗臣宅。聯璧賢孫一代魁。						鸑鷟文章瑞世儀。春坊學士草言時。先朝潤色經綸筆。優得仁天雨露滋。						淚罷梧雲一夢悠。江湖憂國鬢邊秋。夜來直照淵亭月。匣裏瑤絃舊響抽。						桐山禮築淚盈裳。留得先生上九陽。三載軒屛空抱恨。師門文字亦巾箱。</text>
<title>輓詞[金重穆]</title>,<text>厓翁門下挺名臣。館閣當朝第一人。玉蘊靑山含寶彩。月臨寒水挹精神。百千編袠存心得。七十年工著理眞。六月屛齋珍重席。溫言至誨已書紳。</text>
