<title>次陶靖節四時吟</title>,<text>春花堆萬壑。夏樹蔭千峯。秋光黃入菊。冬色翠留松。</text>
<title>別主倅渡渭。伏次朱詩南安道中韻。</title>,<text>遠客又之他。林園春欲深。濯纓淸澗下。驅馬北山陰。已覺甿風慣。還驚鬢雪侵。鴨江流日夜。逝者却何心。紺寒山下澗。詰屈澗上藤。春色歸何處。冰溜尙層層。老木如人立。遙疑返林僧。垂澗藤絶壑有孤松。材良同散木。澗石自成盤。終古苔文綠。固宜冥寂士。甘心鏟遐躅。臨流石迤邐向層厓。一鳥鳴春曉。忽聞水淙琤。遠從林蒨悄。憑誰問仙源。滿谷寒雲杳。懸厓水古道入江流。穿林一逕斷。倘微樵斧過。早被蹊茅亂。躋攀莫憚險。深處應堪玩。穿林逕</text>
<title>宿楚山府。踰樓嶺抵南上倉。</title>,<text>梯石上層巓。山高却喚樓。澗危橫一彴。路險置雙牛。塩賈方通世。峽倉故代郵。如何法府隷。到處輒誅求。此路重嶂疊巚。難於踰越。曾有一知府。置十牛分置五站。以紓民力。</text>
<title>踰百峴嶺秋山嶺。宿板倉。</title>,<text>痡僕蹣跚馬不驕。路難爭似市朝囂。春風振策秋山嶺。斜日尋烟板水橋。獐項登來皆蜀道。羊膓回處尙村寮。此間倘有遐心士。直欲投身伴採樵。</text>
<title>越國師嶺中谷嶺。抵車嶺鎭。</title>,<text>落日踰中嶺。深宵入小營。關危因地險。鼓卧喜時平。擧目雲千里。開懷月一楹。把樽看劒氣。星斗半天橫。</text>
<title>越撥雲峴。此去香山六十里。不得歷覽。</title>,<text>檀樹春回幾甲辰。海東先數此山神。鴻濛會且開文物。鰈域爰初降聖人。習射臺高緣銕索。散珠巖古拖天紳。嚴程未遂窮探願。一債西來翠黛顰。</text>
<title>秣馬雲洞店。宿雲山。</title>,<text>馬首重瞻故國山。烟霞千里破愁顔。人南鴈北春將盡。嶺八川三路旣艱。雲洞初分夷險界。晴江只在有無間。世情閒共詩情斷。欲賦山行句更慳。</text>
<title>入寧邊府。登北固樓。</title>,<text>橋渡化翁亭。樓登鐵瓮城。玉流明客眼。巖邑壯邊情。聖代勤西顧。何人守北平。樽前成慷慨。自笑老書生。</text>
<title>秣馬順安郭外。過箕子墓。入七星門。周覽井田遺址。</title>,<text>祗謁仙陵下。周覽故都中。永惟畫井美。實倣演疇功。狂秦亂地紀。天遣白馬東。風仍三代舊。稼曾八家同。聖朝是表章。懿跡垂無窮。何由廣此制。萬邦咸煕雍。</text>
<title>渡大同江。暮泊黃州。</title>,<text>扶醉練光亭。閒聽蓬窓雨。盡日到黃州。堠人春閉戶。</text>
<title>過信川文化。馬上望見九月山。</title>,<text>九月春光入馬頭。長程游歷却風流。海山自是留緣處。不到金沙怎得休。</text>
<title>到長淵</title>,<text>我馬南驅更向西。一旬餘二到長溪。山因海逼支強脊。郡倚巖回宅小臍。客裏風煙誰樂土。暫時流憇是幽棲。如今始覺春光晩。窓外花開百鳥啼。</text>
<title>府隷回付鄕書</title>,<text>天恩許內移。距家尙千里。北鴈飛已盡。誰傳萬金字。</text>
<title>使家僮盡意買喫靑魚</title>,<text>北關終歲菜根茹。病僕常嫌海味踈。喫得幾何方一飫。莫敎他日羡淵魚。</text>
<title>隔墻杏花爛開。夜雨飄落殆盡。</title>,<text>昨日花開今日雨。無端飄散片時春。故應安樂窩中老。花到離披逗小輪。</text>
<title>重溫舊讀。已多遺忘。</title>,<text>新工謾似戈舂黍。舊業還同水載筥。摭得三分遺七分。堪嗟精力遽如許。</text>
<title>雨後。伏次朱詩春日韻。</title>,<text>時雨潛滋碧海濱。滿山紅綠闘淸新。欲知太極流行妙。物物具來各一春。</text>
<title>因事自警</title>,<text>忠信曾行靺鞨鄕。迤南徭俗更無常。方知涉世心難忽。不獨瞿塘可折檣。</text>
<title>治南石窟</title>,<text>大專雕萬象。巖穴偶谽谺。海上士多怪。冥搜語轉夸。燭幽須列炬。引興導鳴笳。好僕鞭先著。閒情覺爾奢。</text>
<title>隣舍歸其女借馬</title>,<text>夭桃三月女歸時。駁馬將迎四五之。報道二南風化廣。詩人應贊室家宜。</text>
<title>文化柳生永敏來見。勸我求得學子同居。</title>,<text>杜門塊坐笑倥倥。良友相從定有功。至以是心殊未易。如何倒說我求蒙。</text>
<title>謹次朱詩春日偶成韻</title>,<text>閒對靑山宴坐深。一春將盡倦登臨。花紅葉綠元相管。靜後何人見此心。</text>
<title>擬作金沙遊</title>,<text>禦邊長策付緇流。沙界曾開小碧油。最怕風驅西海舶。何心人倚夕陽樓。唐臣尙判虞淵取。漢將能思楡景收。五月棠花時正好。一筇無事擬淸遊。紅日凔凉浴大瀛。如何天道有虛盈。不須浪下牛山淚。纔盡前明繼後明。</text>
<title>書贈姜季鷹</title>,<text>小學以立基本。近思以探精奧。一生用此兩書。於道便可深造。</text>
<title>季鷹言家人喚客爲仙。以爲無思無慮。惟讀書也。余笑曰。渭人呼我爲佛。君家又呼爲仙。此所以被人擠排者乎。</title>,<text>生平鑽紙似蟲魚。不讀人間非聖書。曰佛曰仙俱左道。虗名還怕上公車。</text>
<title>移接靑蓮庵 在佛陀山</title>,<text>菴號靑蓮舊。峯仍紫柏香。多艱從世道。耽靜僦禪房。宿霧冬猶塞。剛風夜最揚。農虞去已久。薇蕨老高岡。山自首陽分支故云。</text>
<title>申生幼朋 啓遠 來受詩傳</title>,<text>詩敎從來感發多。禪牎終日對吟哦。無窮味在難言處。已讀須看未讀何。</text>
<title>李生樂勳，晉赫，姜生祥欽請受魯論。同住旬日。三君告歸。吾亦欲下山。一老衲請留過冬。</title>,<text>爲客層巖上。送人積雪中。秪今成獨坐。自古樂朋從。六籍皆眞際。三餘又舊工。隆寒能幾日。梅蘂已春風。</text>
<title>雪中卽事</title>,<text>破寺無僧坐。西風雨雪多。升沈潦後石。骯髒歲寒柯。主靜從吾好。諱窮奈命何。床頭有周易。獨寤仍獨哦。</text>
<title>金叔明 煕洛 喪後持服。未誄。念及追悼。</title>,<text>開老垂徽緖。丹翁濟世聲。鄧林材自美。荊璞琢初成。貌小心曾大。守牢見又精。天如假以年。諸夏主文盟。五雲光日下。王國簡英髦。早膺簪毫選。頻蒙踰衮褒。講筵將召范。郡檄暫榮毛。萬事悲弓劒。秋空鵰鶚嘷。分外南湖米。病君行遣台。兩書兼藥裹。千里共心期。命薄累良友。魂交異昔時。賢兄收散藁。身後可忘悲。</text>
<title>謾吟</title>,<text>霧鎖雲沉屋數椽。禪家風物正蕭然。獨僧老病朝慵爨。遠客寒痴夜習眠。書到會心天下樂。事無關念室中仙。憐渠晩悟還堪笑。杞菊山畦十載前。</text>
<title>城寺案山頹崖。作心字㨾。僧輩傳爲異蹟。</title>,<text>無貳無虞上帝臨。肯從腔外費推尋。瞿曇枉說通他法。對面靑山有底心。</text>
<title>家仲終祥已過。竟失一哭。數句抒悲。</title>,<text>何處重看我仲賢。終天餘淚又殘年。四旬寄世悲強半。百行居家孝最先。沈靜或期中壽享。恬虗曾免外私牽。癡兄到老狂疎甚。微戒頻提小宛篇。海山茫闊共天長。幾度看雲復陟岡。每恐裒原貽遠慽。那知叢蕙謝微芳。千年鶴返丁仙宅。三月琴悲子敬床。玄理不應餒爾鬼。若爲似續慰存亡。</text>
<title>季鷹爲遠客地。換入校村第。要賦八詠。</title>,<text>愛此新居好。何須賦逐貧。窓明宜學子。境僻共閒賓。新居校者所以敎。俎豆容可傚。伊昔孟氏賢。尙賴芳鄰效。郡庠城市易迷人。服食競華侈。昔賢貴身敎。曷不愼所以。城市聖代謹烽火。生民安鑿耕。逸居無所事。將何報昇平。烽火山體本厚重。猶將訥以名。樞機寧敢忽。是惟金緘銘。訥山誰把石鏡明。照此幽居室。顔貌少不正。神監炯一一。鏡巖問山曰茂何。四時靑松在。夫惟素養成。歲寒能不改。茂山幷州匪故鄕。安宅奚宜曠。歸歟吾黨士。聽取杜宇響。鵑峀</text>
<title>次季鷹贈別韻</title>,<text>美質如君莫自輕。吾儒學業在明誠。但敎此志同聯榻。何用區區惜別情。遠客猶歸日。嶺海今四年。敢忘良友戒。蚤夜莅冰淵。</text>
<title>贈別姜在璣</title>,<text>敎導昧方甚愧余。少年課業莫虛徐。乃翁自有傳家寶。架上新粧小學書。</text>
<title>過延安城</title>,<text>富庶延安百里坪。譙樓猶揭景范名。今世何人胷萬甲。能使西戎心膽驚。</text>
<title>曉到碧瀾渡。待潮進始濟。</title>,<text>畏道曾稱碧瀾津。潮頭大海波粼粼。登州西望樓噓蜃。江島南通篚採蠙。秦帝百年連已死。越兵當日胥應瞋。棹謳伊戛風濤帖。自笑玆行閱歷繽。我國西海。卽齊之東海。江華通海路不遠。丙子守臣之事。可痛故云。</text>
<title>過松都</title>,<text>松京王氣自葱籠。搏鴨操雞大業隆。亦有忠賢生濟濟。將如濁世視瞢瞢。權奸夾制胡元勢。汚俗風靡竺敎中。五百年猶臣一介。長橋鮮血至今紅。</text>
<title>抵頖邸。金公穆 煕周，柳士鉉 台佐，丁孟晉 若琇 俱會。有嗟勞語。余曰。遠謫非必死。諸公勿以謫爲怕。士鉉笑曰。倔強猶故態。</title>,<text>頖廬歸對舊朋徒。四座悄然勞遠途。豈必天涯成異物。從他人笑舊狂奴。虗名愧我空吟鵩。言地憐君久噤烏。傍舍休詢恩怨事。知天焉用責人愚。</text>
<title>同樞趙公 宜陽 挽</title>,<text>乙丑夏。歷拜梧竹齋中。公衰病沈淹。人扶而坐。占四韻律俯惠。仍索拙和。以不嫺句語。未及仰酬。數月之內。人事遽變。不勝感歎。謹依前韻。略叙悲愧之忱。姚家老將入城山。精粹徒存質已還。晠代經綸花鳥晩。瘴濱光寵玉緋閒。憑誰閱武靑霜庫。爲我留書紫氣關。梧竹高齋今寂寞。飄然仙馭更安攀。</text>
<title>挽權正言 文度</title>,<text>通籍還同未達身。大家風範澹而眞。鄕隣慶吊屨常及。古意醇醲到老新。踈情恥作洛中書。郵祿曾安鼎養餘。栢府短章幾見早。十年高卧舊田廬。巖亭無主久興傷。寶樹移栽繼序光。地下相逢賢聘士。應將宗事細商量。西遷迤出鳳城東。路左相將四老同。未拜龐床驚鶴馭。酉陽翁去卯窩空。</text>
<title>迂溪活潑臺。次裴汝吉 憲邦，李景章 祥奎 韵。</title>,<text>巖自成臺水自流。年年沂上暮春遊。莫將此理看玄妙。只向吾人日用朮。汝吉詩。有透玄妙之語。故云。</text>
<title>挽鄭季文 必儉</title>,<text>白山深處掩松寮。一曲瑤琴理古調。枕下淸泉流日夜。海門千里共天遙。歲暮襟期獨也梅。暗香踈影滿園㘽。窮廬敢說和羹事。雪月淸風素絶埃。龍門文體得山川。踏遍金剛萬二千。晩界工夫加邃密。丌頭尊閣晦翁篇。險路方知古意眞。西歸一札作箱珍。逢塲不語當時事。谷口生涯孺子身。肇夏雲庠講席開。通泉百歲道人來。方嗟漳卧違佳約。共指秋生霽月臺。吾道年來日以孤。零星收拾奪斯須。明時處士涯南北。次第沉淪命也夫。</text>
<title>臨汝齋柳丈  挽</title>,<text>玉淵心學溯纓潭。門路吾家不二三。復得拙翁勘義盡。多賢魯國數河南。無書不載腹爲車。信口成章揔藹如。五総靈龜今再出。請看花嶽瑞光紆。不立標題不事華。文章經術自名家。周鄕行藝俱通六。受用元從小學多。追惟先契自西林。同館論心誼轉深。施及其孤垂眷厚。幾回親下頂門針。年來吾道付滄洲。門掩西風萬木秋。考德山南猶有地。圖書一室對前修。泮舍陪遊一夢疑。西歸趨拜又三朞。秪今吾黨將安仰。南望空吟殄瘁詩。</text>
<title>朴寢郞 漢東 挽</title>,<text>有覺南野老。文行伏一世。過庭詩禮在。姣姣芰荷製。耳擩洛閩書。神交羲葛際。啖薺訓後生。遜悌是根柢。世方以目食。大羹誰復嚌。自有舊弊廬。暫應明時幣。三宵東泮舍。猥荷論文細。伉拙迷自爲。曾與講潦霽。靜路遂分。闊焉違奉袂。仙輧去不俟。歲暮空釀涕。</text>
<title>挽金穆之 永穆</title>,<text>三松臺下舊知名。思樂雲亭世厥聲。璧沼金門將次第。花朝月夕幾逢迎。論文時吐燕南氣。供孝偏傷季路情。子弱親衰何以死。霜天哀鴈哭歸旌。</text>
<title>金戚丈 龍煥 輓</title>,<text>閭高三路揳。堂弆勿翁書。孔李通家舊。朱陳共里居。風流文酒後。氣義笑談餘。末契追先誼。百年淡水如。昔我西征日。相將碧澗湄。四年華鶴返。萬事海桑悲。濩落需時志。蒼茫乘化期。多男餘慶遠。應有白眉兒。</text>
<title>俛庵李丈 㙖 輓</title>,<text>吾道中興大小山。嗣光有煒聞三韓。同堂伯仲承徽緖。底柱東南障倒瀾。持斧危忠宮秉燭。攀弓遺慟澤吟蘭。生還有意期何促。海獠猶言匹士難。公之宥還也。逆旅人有言。匹士與時宰迭爲消長。良難云。</text>
<title>卧隱金令公 翰東 輓</title>,<text>名門簪紱世蟬聯。英邁風裁又踵前。壬子忠謨天尺五。己庚危語海三千。入參講肆心曾啓。歸拜仙陵義罔愆。生老昇平寧復憾。從來吾道苦難圓。</text>
<title>南厓成令公 彦檝 挽</title>,<text>淸白家聲善信儔。斷兮無技志休休。當年擬作明堂棟。盡日空橫野渡舟。一念闡揮追漢詔。八旬蹈舞慶周瘳。近臣樞秩曾何有。天際輕雲度外浮。</text>
<title>輓金聖爲 宗鐸</title>,<text>詩禮家聲舊。同堂有衆芳。十磨曾就器。五擧始陞庠。驥病心猶遠。鶗鳴佩彌光。將如吾道否。連歲哭三良。金友直，權幼極，金穉吉。一榜擢第。相繼傾逝。吾人又何以不第爲恨哉。幼極君之妹壻友直。又其族父。故幷致悼惜之意。</text>
<title>鄭處士 易簡 挽</title>,<text>無絃朱瑟有希音。眞率風流坦易襟。川出黃池將達海。雲橫白嶺未成霖。性耽山水詩仍富。號寓春秋義盖深。先友如今凋謝盡。古人儀範更安尋。</text>
<title>挽金都事 直</title>,<text>有美芝川老。謹勤以自珍。居鄕如處子。出世更幽人。未致窮經用。長終玩占身。沈痾違執紼。風雪暗傷神。</text>
<title>挽丁孟晉</title>,<text>羅州淸閥世無多。且道窮經致用何。留與兒孫方寸地。優游暮齒考槃阿。論文東塾那重會。呑哭西門誤一過。達見還應憐後死。年來吾道日蹉跎。</text>
<title>輓金天敍 龍範</title>,<text>四十窮經一禮郞。人間何處夢黃粱。傳家本色寒松古。徹地深誠晩桂香。吾道元來窮有鬼。旅游多歲病成障。春風斷鴈啼聲苦。欲寫挽詩涕自滂。</text>
<title>輓張正汝 中矩</title>,<text>自是名家舊禮詩。灑然談論儼然儀。弱冠已負吾林望。晩歲空懷獨學悲。剩喜豪情新斂退。還憐拙病久離違。晨星落落飄零盡。獨立寒天老淚洏。</text>
<title>龜窩金令公 㙆 輓</title>,<text>湖齋唱絶學。及門多耉造。龜厓居最近。鱣堂登頗早。拓來好田地。踏着正門路。務實不務名。俛焉日慥慥。充養旣純深。發言又渾浩。內重外自輕。出處審霽潦。杞瓜隕自天。心丹鬢已皓。再莅仙郡紱。薄試君子道。雷肆職輔導。玉署參講討。秪欲追先遇。何能展素抱。擧世事沽衒。獨也無喪寶。賦歸仍掃軌。圖史從所好。家居躡台座。憂時心慘慘。藹然仁者言。有犯無可懊。誰知古遺直。篋裏藏諫藁。長吟盡瘁詩。無從籲穹昊。</text>
<title>朴德章 章淳 榮覲日。次會中韻。</title>,<text>丙子今年是。孤松歲暮知。晬辰開喜宴。此事又堪奇。</text>
<title>己卯立春</title>,<text>童習無成鬢雪如。人間六十二居諸。雷龍志業曾何有。雲鳥行藏已遂初。甚欲讀書殘景逝。無端忤俗太陽餘。噓來夜燭明須繼。耄儆扁題怳詔余。頸聯使放翁詩語</text>
<title>挽柳燁如 晦文</title>,<text>檜老淸風奕世垂。桂薑其性玉氷姿。一生擩染宗師室。守死行持正大䂓。太學揚旛扶義理。山亭穿榻說書詩。兒郞方做身先逝。况復高堂病病時。</text>
<title>挽金友直 相溫○改葬時</title>,<text>吾鄕文獻數北峽。年來大運悲陽剝。季文不在模楷盡。英實云亡風流索。如何天又奪我良。長使斯林無矜式。乃家虛白垂徽緖。鶴老式廓蘆翁述。胚胎休光賦令姿。容端背竦心如玉。經經緯史作活計。種學績文根基篤。萬馬橫奔駐足牢。獨鶴高跱制行潔。早歲欲試桑蓬志。雙蓮一桂頷髭摘。棲遲下僚世無知。浩然南歸尋初服。由來材大用有時。臯唳終當九霄徹。下之且畀龜鶴壽。押主齊盟惠蒙學。徒然豊施嗇其報。此理茫茫未可詰。陽春下里自同調。白首那堪牙徽絶。昔年朱旐過我門。自苦埋冤未相紼。聞今玄和再出世。四月病寒違一訣。世道日下耆德零。漏船襦袽誰副急。招招楚些不成腔。死別已悲生還惻。</text>
<title>輓洪子野 樂運</title>,<text>名父有賢子。今時見古人。掉頭聲利路。托跡圃農鄰。柳惠和能介。龐公遺不貧。漑根將食實。蘭玉滿庭彬。</text>
<title>成進士 彦根 輓</title>,<text>家世傳淸白。鄕邦有耉成。貞姿看老柏。至行自童英。已失彰虞繡。猶堪主夏盟。風流誰復繼。霜月鎖雲黌。</text>
<title>南進士丈 泰鎭 挽</title>,<text>先友猶公在。云何不憗遺。霜葭經歷飽。雨牖拮据危。二字謹勤符。一生拙約䂓。績文登泮舍。砥行掩衡楣。晩景佳茹蔗。幽居樂採芝。課農輸秷秸。敎子繼裘箕。世債酬婚娶。朋情見酒詩。葭莩嗣舊好。蘭蕙共幽期。寡耦偏相契。淡交久不衰。海桑頻閱劫。風樹又纏悲。嚮德誠還薄。追先眷獨垂。春阡臨白馬。暮歲奠芳巵。筍束香猶挹。龐床拜每遲。仙輧倐遠擧。孤露轉嶔崎。故宅空文藻。何山送素輀。病跧違相紼。和淚寫荒詞。</text>
<title>挽黃貞窩 龍漢</title>,<text>小白之山深復深。磵流鳴玉松樛陰。隱居行義曾誰識。晩節著書還獨吟。太史猶悲巖穴老。文林忽報少微沈。神交幷世嗟何及。風雪凄凉此日心。</text>
<title>輓李判書 益運</title>,<text>五峯門戶昔中衰。森桂英英最白眉。北極雲回成奧契。西江浪急仗貞姿。漢庭伏節推長孺。元佑完名有器之。危廈如今難一木。吞聲不敢哭吾私。壬申西騷。擧朝波蕩。時人有此老必殉國之語。故及之。</text>
<title>丁美庸 若鏞 寄梅花帖。惠以淸詩。次呈。</title>,<text>獨鶴歸從海上槎。先春銜送一枝花。風霜百劫渠猶在。愧此相忘寂寞涯。庾嶺殘魂返舊槎。天心須見未開花。故人得句無言處。愼莫把香淺水涯。</text>
<title>壬午秋。甄叙宮僚。怵義一肅。</title>,<text>卄載重聞漏院鐘。禁林楓菊尙前容。追先欲報嗟無術。垂老冥行奈素慵。望裏喬山雲漠漠。渡頭淸漢月溶溶。秪今萬事都如夢。稻熟山畦白酒濃。</text>
<title>直廬謾吟</title>,<text>書劒無成志氣闌。名韁何事向衰顔。垂鞘謾帶將軍號。挾策時隨學士班。識薄還安迎接罕。心愚益覺進趨艱。鄕音未改人休笑。自是山翁長在山。春坊諸官。以書筵奏對。不改鄕音。有旅軒後初聞之語。</text>
<title>挽金舜叟 煕奮</title>,<text>美質兼劬學。得師又紹庭。五旬肘棐案。式日眡盤銘。幾歎珠藏櫝。堪奇劒拔硎。法門搖落甚。三嗅挹遺馨。巖居元謹疾。奪速奈蒼旻。先稿勘無盡。師門事未伸。熟仁須晩暮。悼道最朋隣。誤出違攀紼。南歸倍愴神。</text>
<title>挽權士貞 百度</title>,<text>藍田終古産珠璣。早入川沙大韛歸。貌似其心言又藹。每憑筍束挹晶輝。前春聯宿近思齋。水活方塘好鳥喈。篤厚風流今未沬。芳洲采采二三偕。</text>
<title>壺谷柳丈 範休 挽</title>,<text>碧澗泠泠響玉琴。湖山今古有遺音。欲知晝夜無停妙。看取眞源靜以深。前聖昭垂不二門。先師敬說皦如暾。直愁斷筏無人溯。接引踈愚德意溫。憂時恒似切身痾。國事都從士趣訛。周隱昌言重起感。回淳須罷卅年科。</text>
<title>輓趙幼元 始春</title>,<text>日新齋古繼箕裘。季世猶看狷士儔。雲院論文軒氣岸。梧陰把酒篤風流。曾知北徙聊翔集。那意南還是首丘。達見應安脩短化。斷行孤鴈奈霜秋。</text>
<title>次權周甫 補 重修先廬韻</title>,<text>淳眞風味稱山家。和順孚中自發華。舊貫易安還自好。儘敎心地拓來多。肯構方看譽克家。靈芝歲暮孰余華。老來自有劬書樂。淸晝明窓得味多。</text>
<title>黃度叔 志憲 落其先廬。顔以追遠。忘拙構呈。</title>,<text>一氣坱然往復廻。百年丹谷舊堂開。春光先入梓桑墅。秋意時生水竹隈。彩羽盈庭餘慶遠。韶顔當戶雅襟恢。輶毛厚德君能擧。連世宜申介壽盃。</text>
<title>斗庵金令公 若鍊 輓 改葬時</title>,<text>蓮桂同年等摘髭。風流文雅揔堪師。早投玦路心如日。晩入銀臺鬢已絲。受用一生鄒氏訣。去來重値魯叟時。玄和出世還脩夜。思古傷今不勝悲。</text>
<title>踈齋 所居後洞名踈谷。因以名齋。</title>,<text>處世疎堪笑。謀生疎不顰。學踈須反己。交踈豈尤人。</text>
<title>丙戌七月旣望。川城諸益爲石泉遊。文泉，醉竹諸公投書相速。因會巖亭扳和。</title>,<text>窈窕靑霞洞。中間小有天。諸君知樂否。玆會不期然。復得秋初月。相將地上仙。名亭浮水在。何必溯流舷。</text>
<title>是歲十月之望。復會于石泉。亦東坡故事也。其歸也。賦隱侯韻贈別。</title>,<text>水月藏無盡。小春又前期。晩景宜吾輩。幽情尙少時。袖珍新剞劂。衿佩所行持。更留通泉約。庶可慰相思。溪院新刊近思錄。約以春間講會。</text>
<title>溪西病老權公弼 象度 示短絶。走次。</title>,<text>癯然病鶴酉之陽。水月淸遊阻一堂。半夜虗明仙枕上。還應來作羽衣翔。</text>
<title>病老足前韵。更成四聯。送寄泉齋復次。</title>,<text>新秋文酒屬靑陽。其奈頹齡去堂堂。命侶賓鴻俄北戾。乘風孤鶴又東翔。都忘過劫盈虛數。閒泝空明上下光。可獨牽情吟病老。晨星三五不成行。</text>
<title>輓徐毅兼 弘胤</title>,<text>養拙林園識者稀。如何此日遽長歸。每將先稿求勘定。懶向塵寰議是非。數舍乖逢憐共病。屢書勤速愧多違。悲歡往事都休說。蘭玉盈庭可嗣徽。</text>
<title>庚寅立春</title>,<text>輥到人間七十三。梅牕消息幾回探。生今志古那無厲。在野憂時秪自惔。矻矻渾忘崦影短。悾悾常怕屋隅慙。安居一日猶淸福。粥飯殘年分所甘。</text>
<title>挽柳疇瑞 洛休</title>,<text>歧岡終古綷毛多。瓢巷窮居所事何。三載色憂衣不解。卄條純誨佩彌姱。誠通神授添籌訣。正進人悲抱璞歌。最是旃蒙回榜歲。聖心虛佇舊臣家。三棣聯翩有道門。天倫博約溯眞源。南鄕久作蓬虆地。中谷閒排菊杞園。見到精深持以晦。秉來剛直發之溫。傾危末路完人少。君子惟公口口言。亭前古澗日淙淙。淡水交情隔一江。自愧蒲零齡間九。每憑筍束眼揩雙。重憂近世悲天椓。貞疾何時喜谷跫。白馬春阡辜古誼。病懷凄切不成腔。</text>
<title>往在乙丑西歸日。季舅雲菴公。百里命駕。貺以梅花詩十六首。備述久別思念之情。聞歸喜劇之意。居然是二十五年。病中閒閱故紙。不覺感涕。謹依元韻追次。</title>,<text>雪滿山牕病榻孤。重擎梅帖再嗚呼。狂踈分定忘身纍。親愛情深費唾珠。乍幸殘魂還庾嶺。翻傷瘦影謝西湖。丁寧問我書中趣。此道如今更有無。晦庵書札做人模。退老新編次第俱。巨艦衣袽虛上手。頂門針砭足安軀。致知居敬雙關訣。繼往開來萬古謨。體認深工吾豈敢。生平羞作小人儒。芝蕙難榮棘日蕪。正人無祿奈天乎。陶翁豈樂迷邦魯。溫祖謾傷堲讒虞。早合窮居相博約。若爲彙進再兪都。秪今門戶衰零甚。墜緖茫茫愧莫摸。明時才俊競爲需。豈數沙汀短脛鳧。行苦遲遲違介石。考宜下下拙催租。人能解事媒榮進。天却無言送縶拘。世路羊膓眞可怕。搏扶元自遜槍楡。桑蓬初志滯偏隅。八域風烟處處殊。勝賞差堪酬碧痞。窮愁久已謝玄夫。詩爭巴峽才非杜。夢入仇池跡異蘇。日向塵編成活計。四年依舊拙儒吾。冥行非係寵榮紆。久客能忘澤畔枯。戾積厥躬猶不死。禍延阿仲失相扶。蘭摧却後良朋歎。棣韡烏存急難須。叵耐三春翔北鴈。失羣哀唳返南梧。榮塗多是奉妻孥。擧世煕煕爲利徂。小黠大癡憐俗態。虗名實禍笑狂圖。韜蹤還愧家傭夏。遠害那追市卒吳。從古好脩元莫害。試看蘭蕙日遷渝。海西爭似關東區。歷路看贏枉路輸。衡嶽開雲還外事。虞淵沈景不須鋪。二連碑下虔雙跽。孤竹祠前起一吁。况復碧瀾潮後渡。棹歌交唱曾焉娛。旅牎終日守朱愚。習坎心亨二字符。大海無津猶恃楫。他山有石可磨瑜。涪翁信命蹈安地。賈傅矯情證化爐。三復淸詞增惕厲。金緘嘉誨不吾誣。昔我西來路蓬壺。三浦神交永述徒。人世爛柯纔一局。征駒踡跼豈殘芻。故園黃菊金風逈。異域寒梅玉雪癯。獨有思君心未化。夢魂長繞九門途。阿季前年賦載驅。客中添緖送驪駒。渭陽每恨詒罹久。巢谷何須見色腴。衰境俱宜調匙席。安居無異在庭衢。十年珍島猶歸日。只恐還無勝昔鬚。文敎箕封五極敷。竚看新化少須臾。宗祊四百冲齡御。壽域三千郅澤濡。觀德殷家貽哲命。施仁歧下首無辜。巖棷幾處歌芝曲。善價明時櫝玉沽。新春藥院奏功膚。臚唱宮晨賀弁趨。燕翼三宗垂篤祜。龍樓十日喜昭穌。亶聦實作千神主。聖壽方看萬化樞。跛躄窮徼猶鼓舞。革音寧獨泮林烏。烏亦惡聲之鳥。故借飛鴞革音事。四被昭光上下于。東民慶幸莫斯逾。仁聲已共三陽動。景運初隨一氣煦。那得良臣勤啓沃。從來治法愼吁兪。陰厓此日還回照。怵惕恩私乍躇躕。遠人初返話翁姑。三舍躬臨一色愉。吊死勞生疑夢寐。論詩勸酒倍攣孚。却歎無路挽歸轄。爲說治田聽老奴。至誨諄勤猶在耳。爾言宜遜志休迂。西鴂同時又北鴣。後先歸駕趁春蒲。人呼以馬休嫌牝。我欲亦魚豈必鱸。赫赫雙行還自笑。區區初計復何盱。居然卄五年前事。追和遺詩淚袂揄。</text>
<title>衢隱族叔 獻淳 病中惠韻和呈</title>,<text>若士窮且老。常有好襟期。芝圃霜遒後。梅窓歲暮時。高情幸不較。結貽瓊琚詞。病眸忽驚開。起唱古別離。昔我登蘭室。幾醉醇酎巵。激昂論今古。敷腴見睫眉。居然十載餘。漠若初不知。西歸向幽居。墜馬基川涯。蒲柳苦早零。宛轉成尫羸。頗聞善調養。靈龜床下支。跛猶不忘履。恒思命一騎。苟能遂玆願。寧復歎別爲。瞻望付神交。爾室非遠而。</text>
<title>柳耳仲 鼎文 來訪。吟示二絶。輒次。</title>,<text>暮氣殆同舟下灘。三冬牢卧怯風寒。幸逢益友聯宵話。病裏身心暫得安。我異衛酕謾積違。君先蘧化已知非。四箴親切垂明訓。言動誠時聖與歸。</text>
<title>辛卯立春</title>,<text>平生謾說古之人。故紙堆中老此身。達施窮修無可道。若爲圖報聖明辰。</text>
<title>挽金景心 永傳</title>,<text>古巷春深抱雅琴。素菴詩禮有遺音。沈痾久廢生人用。忠養偏傷孝子心。載背蹣跚時拜廟。代身澡頮日端襟。遂敎一室成純行。餘慶將看鶴在陰。難必惟天必亦天。殲人能子有賢孫。一心洞屬安衾褥。餘力勤劬業槧鉛。錫類從知思不匱。興仁須驗性同然。薤歌不作悼亡語。三復韓公肥水篇。</text>
