<title>興庵卽事 庚申</title>,<text>頑雲收遠嶂。紅日度前川。寒山鳴夕磬。餘韻上靑天。</text>
<title>挽金忠擧 華埴 二絶</title>,<text>百世宗師敬祖謨。二邦民命佩君符。林間有翮歸來早。無復天津聽亂胡。少日相知老不渝。雲泥休道所求殊。西門自此何心向。直友無人砭我愚。</text>
<title>挽沈贊益 相麟</title>,<text>貧窮安素地。忠厚保眞天。共此桑楡景。相期蚷蟩憐。齊海吾將返。緱山子已仙。此去知何恨。賢郞幹舊氈。</text>
<title>雲陶齋。校印春秋集傳。贈同苦諸君。</title>,<text>天相斯文有素臣。雲齋梨潔古經新。魯麟不返悲時事。齊鳥高飛憶遠人。萬世無窮夫子土。六洲那共一王春。諸君莫歎生丁晩。此座如聞聖誨諄。</text>
<title>挽徐德一 鴻烈 二絶 癸丑</title>,<text>平生土炭在詩文。左國書中晩益勤。欲向古人窺閫閾。世間啁哳不堪聞。碧海桑田淚不收。萬生冥默睡齁齁。遼陽舊約君今負。白帽吾行孰與儔。</text>
<title>挽凝窩李定憲公 源祚 三絶 改葬時</title>,<text>孺齊戚戚士林嗟。毫宇先生出地和。安得先生枯骨肉。更留人世鎭頹波。賤子當年未及門。至今悽悵讀遺文。正憶百年南服士。天人理氣自公聞。丹旌猶帶故王春。曾是明時老宰臣。擧目山河非舊日。尊靈何處泣尻輪。</text>
<title>挽李應賢 鉉汶</title>,<text>衎衎慈良志。休休老宿儀。藹藹推人望。孶孶謹己持。興國談經夜。先天少壯時。世事今如此。那堪後死悲。</text>
<title>挽三從兄丕兼 錫贇</title>,<text>詩禮家傳舊。孝友已行推。古朴天衷保。勤儉古寮持。款款賓朋接。孶孶族戚施。矢心無大過。未翁有肖兒。記昔同堂裏。全盛問何時。我作離鄕客。簪盍每歎遲。世界桑田改。年光隙駒馳。先齡零落盡。我輩年皆耆。故山靈光在。遙遙慰所思。一嶺牟𡇼近。餘生共蚿夔。送公遊岱去。怊悵更與誰。古宅今寥落。身後正堪悲。里巷無人管。後生孰提撕。丹旌挽不得。回首獨凄其。</text>
<title>挽李景猷 相翼○甲寅</title>,<text>業文良冶繼。治己軌塗求。記昔分氈日。悠悠四十秋。先公遺我惠。此意與君酬。晨星嗟不俟。皓首獨夷猶。</text>
<title>紫陽齋講會日。次朱子鵝湖韻。勉進諸生。</title>,<text>偕偕人士禮容欽。尊俎衣冠見道心。碧海狂瀾何世界。紫陽遺韻此溪岑。中天日出千魔伏。大地雷藏萬象沉。莫把時糚違素志。爲顔爲舜古猶今。</text>
<title>挽韓通政舜若</title>,<text>離離原上草。鬱鬱隴頭松。而我獨何人。怊悵憶松翁。松翁是長者。傑氣動熊熊。土炭在文墨。至老易經窮。款款盈戶屨。鄕里挹高風。隻手持門戶。誰知積累功。昔我泉上居。翩𦒘日與從。有詩必欲訂。無酒不共供。我飢公如惄。公病我若恫。悠悠四十載。甘苦必與同。世事初無定。歡娛鮮永終。革君嗟短折。視天何夢夢。我作江州客。流離似轉蓬。晨星忽落落。歲月又悤悤。宗祊嗟已壑。吾行誓蹈東。有身公不翮。病枕泣靑矇。有懷不相及。公遽向岱宗。三品官非卑。九耋壽踰中。此行奚所憾。歸歟伴太空。獨有鴻爪印。遺文棟且充。敢忘梳洗託。聊以盡吾忠。</text>
<title>和贈文士憲 鏞</title>,<text>灧澦舟方共。淤泥玉自明。莫愁西日暮。努力向前程。</text>
<title>挽張懿文 奎澤 二絶</title>,<text>記昔分氈日。迢迢我轉蓬。有狐邱欲首。此別又悤悤。素履吾生畢。全形此世歸。有兒方績學。君去莫須悲。</text>
<title>挽三從兄希兼 錫賢 二絶</title>,<text>昔我少年日。緦親十九房。謂是魚共隊。於公最相將。老宿今皆落。門寮誰復持。止君能述事。先業庶無隳。</text>
<title>次李氏內谷亭韻 乙卯</title>,<text>當年儒望在評林。星斗新亭景慕深。萬國兵戈沉白日。四時絃誦集靑襟。庭花留帶田園色。江月遙懸道學心。勉與諸君努力做。吾家路子古猶今。</text>
<title>挽甘昔友 在奎</title>,<text>我愛龍山老。仁門福澤綿。家風承祖烈。儒學敎兒賢。鮑管終無面。參辰忽異天。平生相好意。留在後人傳。</text>
<title>挽張武仲 柱翊 三絶</title>,<text>苟完荊室善。無恙石君行。衖陌春長在。風流足一生。懇懇追先孝。孶孶濟衆情。有不吾言信。且須輿誦聽。人間能事畢。天上巫陽招。最憐江左右。吾族更蕭條。</text>
<title>挽辛士衡 奎燮○二首</title>,<text>穢植西園漢德嗟。夫夫自靖未嘗差。杭湖鷗𪆽悠悠老。笁嶺煙雲淡淡斜。縱橫史學論千古。點檢儒謨鎭一家。晨星落落猶相望。此別人間柰爾何。交情不啻託姻親。追憶前遊感慨新。拱北樓前同灑淚。龍華江上共尋眞。歲暮將期鰕待母。時違忍見獸混人。芳草年年司馬墓。靑山猶記舊王春。</text>
<title>海印寺</title>,<text>五洲風雨一靑山。點得叢林歲月閒。煩誰有力敺仙佛。同我歸仁學孔顔。孤雲不見川聲裏。落日行吟岳色間。烏絲布刊今如許。歎息皓天不欲還。</text>
<title>挽琴景涵 海圭</title>,<text>江東有一士。窮約好修能。衣冠三古反。庠序四方來。蚿夔方欲賴。龍蛇遽興哀。有兒賢且述。遺恨可恢台。</text>
<title>挽崔叔度 憲植 三絶</title>,<text>嶷嶷西山叟。英材樂有歸。侃侃息軒子。明囱早蔽衣。千邪斬利劒。百度鍊精金。窮陰九野閉。陽德在吾林。經說終歸爛。禮書共勘疑。獿人嗟已沒。斤撤復何爲。</text>
<title>挽金文擧 龍淳</title>,<text>提學邨前有古家。南來門閥世承華。當年翰墨交神馬。晩契江湖待水鰕。黃瀑山深盟自主。靑雲歲暮夢猶遐。同來一歲君先去。絃絶人間柰爾何。</text>
<title>挽鄭君彥 邦鉉</title>,<text>皎皎江頭月。悠悠隴上雲。月明還爲虧。雲來遽相分。人生有如此。歡娛不可住。嗟我同心子。江州晩相遇。名山聯杖舃。黌堂共文酒。自我狐邱返。夢中猶識路。寒天遠相訪。兩鬢氷礌礌。衰顔長在目。一別今三歲。噫彼靑山裏。埋却豈弟人。重泉一以隔。千載更無晨。江月虧還滿。山雲散復來。凄凄送君去。君去何時回。但念平生事。那堪後死悲。願君無相忘。來生復與期。</text>
<title>挽李啓道五絶 丙辰</title>,<text>東人主氣百年餘。理學家中讀父書。幹父治家經國志。平生事業有如如。箕聖東來子向西。明夷行色正凄凄。時人不識經綸志。但見齊溟鳥去迷。關山漠漠草離離。九死孤臣天一涯。中國士林尊正學。燕雲遊轍坐臯比。紅河萬里我行遲。白帽遼陽與子期。早晩移家家曲阜。送君今日我安之。君去靑山不復還。獨留心法在人間。誰敎後世傳心法。天下皆令學孔顔。</text>
<title>挽李伯汝 驥埈 三絶</title>,<text>巖花春已返。巖月夜還圓。歎息東隣友。何時共此筵。嶷嶷徂徠叟。來升我祖堂。後人寧敢遠。寅夕與君蘉。送君泉下去。里巷嗟無人。友生吾豈乏。無復子淳眞。</text>
<title>次李氏三斯齋韻</title>,<text>月城喬木老宜陽。畫裏溪山倩顧康。案上儒珍嗟已遠。庭前書帶獨留香。新亭不染紅塵色。恩誥猶霑紫籞光。來裔無窮良冶勉。柏川春水驗流長。</text>
<title>挽都河應 淸一 三絶</title>,<text>漢節曾聞海窖幽。秦金又見阜亭投。巫陽夕降招招去。人世淆淆不可留。少日文名梁楚重。老年經笈孔顔尋。尙有犴錄傳人口。鼓起三韓已死心。殘花衰柳白川湄。追憶年年送別時。渭北江東文酒會。此生何處更相期。</text>
<title>挽李舜伯 益煕 三絶</title>,<text>子志淸明常杜德。不將表襮似人看。紇干山雀飛無地。與子同期此歲寒。少日榮名如拾芥。晩來閒淡世無求。十年自靖無人識。歸與剛公地下遊。家有神駒蹄欲展。不成千里不敎休。渠爺至意渠應念。莫向冥途戚戚愁。</text>
<title>挽沈泰源</title>,<text>十載伊陽見玉人。儒家古色照鄕鄰。文華肯效時賢態。謹拙常持處女身。我似高生長有夢。君如平仲久相親。江州山水今無主。南渡何心向泗濱。</text>
<title>次南聖行 健 述懷韻 丁巳</title>,<text>魯叟棲棲轍。夕陽問河津。齊溟渺渺鳥。飛去不帝秦。吾儕早懷寶。魚目不是眞。楚囚相對泣。空懷志士元。記昔少壯日。雲齋有道尊。與子羶香逐。游揚共雪門。山河今古異。歲月奔波同。晨星遙相望。白首耿丹衷。聊將歲寒志。寄與紫海東。</text>
<title>挽安舜仲 孝濟</title>,<text>霄壤蒼蒼直氣橫。張輪孔笏古今鳴。楸雲渺渺孤臣去。遼日晶晶大義明。千載史家應有筆。中州士女亦知名。鴨江春草年年綠。華鶴何時返古城。</text>
<title>挽巖下宋公 祺善</title>,<text>巋然忠肅宅。震鬯有賢孫。隱德人誰識。良姿玉自溫。門外嗟何世。鄕間哭達尊。郞君方善述。天報諒流根。</text>
<title>次張處洪 志玉 風詠臺韻</title>,<text>一出狐邱未記年。如今寄在武山邊。閭閻淡泊似僧舍。原野蕭條生暮煙。富貴在天飢不怨。琴書滿架樂相宣。雩風沂詠君知否。緬仰千秋聖喟然。</text>
<title>朴君而貞 正善 有詩求和。次其韻以贈。</title>,<text>年老始相見。慙愧負先人。爲君何以贈。萬實是吾眞。</text>
<title>浩然亭講席。拈韻示諸生。</title>,<text>一片江頭月。曾是三五天。萬朶園中花。芳馨坐蕭然。吾人寧不勉。功業在盛年。千聖爲我憂。心法至今傳。耄言如不信。歸讀遠遊篇。</text>
<title>挽尹謙汝 坪夏 二絶</title>,<text>大陸今何世。峨冠鎭一鄕。休道膠翁死。翁家有季方。噫彼瀯湖水。無情日夜流。回首蘇亭路。遙遙憶舊遊。</text>
<title>挽鄭孔厚 載善 二絶</title>,<text>茶老常吟病。膠翁已土中。巢公猶且健。殘歲所懷同。工夫存實地。儀像出風埃。晨星胡不待。此別諒堪哀。</text>
<title>挽金聲大 駿遠○戊午</title>,<text>漢師風雨裏。席帽始相憐。女笲親幸忝。父契世猶傳。朋徒嗟不祿。長德遽升仙。先文謬有託。慚負正烏焉。</text>
<title>次贈文季章 定漢 壽其王大人韻</title>,<text>爲君歌白華。花枝筭歲年。君家酒且旨。佳客滿高筵。仁人自有報。福履何其全。及此同衰暮。風目共相憐。爲作祈耉頌。遙博一囅然。</text>
<title>挽鄭應烈 鉉</title>,<text>梅花山下我棲遲。翰墨當年與子知。古史今文時捭闔。東阡北陌日徵隨。風塵滚滚離家遠。雲樹迢迢入夢思。最是去年臨別語。哀詞一幅豈攸期。</text>
<title>挽張公裕 承遠</title>,<text>家聲鄕國赫。福祿古今稀。胷懷文藻美。身著聖明時。雲泥雖異趣。囟角已深知。王章天下絶。此別使人悲。</text>
<title>挽張姬伯 永奭</title>,<text>燁燁花山樹。門楣耀鄕陌。鶴山何崔崔。中有一樵客。爾雅蟲魚博。詩家執牛耳。窺室無餘粟。幽興獨未已。靑春始相見。寒歲更爲期。如何千古別。又是亂離時。</text>
<title>挽張景烈 啓承 三絶</title>,<text>南川橋下水悠悠。一別居然四十秋。城郭樓臺無恙否。夢中猶記舊時遊。玉貌氷姿迥出塵。天涯萬里隔參辰。可憐明月靑州夜。頭白何人憶此身。笙鶴飄飄去莫追。此生相見更無期。關河春草年年綠。正是懷人腸斷時。</text>
<title>過軍威冠洞。見張義士 士珍 戰亡碑感吟。幷小序</title>,<text>張士珍以十九歲童子。當壬辰亂。倡鄕兵百餘人。大殺倭兵。爲小卒朱孫誤偵。賊大至。義士在圍中斷一臂。尙格殺數十人。竟死之。事聞特贈水使。至今隣里春秋享祭不愆。不祭則必有大風爲灾云。宣尼不許汪踦殤。百世猶傳古戰場。憤血不銷春草碧。英靈應駐曉雲蒼。朝廷有道官猶薄。里社崇功祭不忘。吾輩胡爲生此世。行人羞殺古碑傍。</text>
<title>高山講會時。用大山先生集中韻。示諸生。</title>,<text>一夢長時繞土坡。尋源直欲泝洙波。晩生敢擬臯比席。異氣猶欽道學家。是日日官吏一人來請聽講。甚有欽慕之色。故及之。 海內風埃迷正路。山中煙月動絃歌。湖翁格訓垂方冊。莫向佗歧做飯沙。</text>
<title>謁陶山書院四絶</title>,<text>壇高古址傳崇典。山對澄江見道心。至今一草一花石。海內含生誰不欽。平生敬讀先生文。爲拜先生始及門。賤子進前疑欲質。先生巾几寂無言。東方理學賴誰明。爲有先生集大成。歎息後人謾出入。山河全陸氣機橫。同堂何事久操戈。公眼看來堪一嗟。打得如何成一片。斯文永使大羹和。</text>
<title>高山歸路。與花山諸友遊孤雲寺。</title>,<text>生老東南此會今。六洲風雨一山深。歎息斯文何世界。還敎樂事在䕺林。巖巒盡帶如來氣。草木猶存太古心。最是王朝千諫議。禪門寂寞淚相尋。</text>
<title>鄭純可 敏錫 送一絶詩。謂行書贄。步其韻以寄。</title>,<text>子襟靑似染。慚愧我非藍。說與吾家敬。要須不北南。</text>
<title>次呈黃襄仲 贊周 寄示韻</title>,<text>憶昔三輔同遊時。先天風光夢裏疑。萬業蹉跎漢門策。西暉荏苒虞淵湄。此世焉知戶外事。平生只有卷中師。白華山色雲端碧。膏秣何年與子歸。</text>
<title>挽李大衡四絶</title>,<text>往年溪翁哭。今日又哭君。茫茫寰宇裏。踽踽此何人。經綸絲有理。操履玉無玷。吾黨推輿望。靈山可擧拈。一生生樂國。殘日忽凄凉。昔我送女日。尊門擇佳郞。家人方哭擗。有子乃談笑。嗟君胷裏錯。百鐵應難造。</text>
<title>崔景蘇 鉉軾 庄上。與崔羲吉 鉉弼，孫孔煕 默永 諸友共賦。</title>,<text>東南形勝攬吾行。鐵步猶傳八恠名。秋草萋萋三姓去。天風獵獵一樓晴。落日相逢員外宅。三宵寄宿始林城。紫極多年消息絶。星臺瞻望感人情。</text>
<title>延烏望洋</title>,<text>記昔歐毬轍若飛。望洋駭矚似今稀。嵩邙玉牒俱無地。秦漢樓船久不歸。鶐婦相思何處嶺。烏郞虛送此江磯。一身堪愧混蹄跡。幾日乘桴振我衣。</text>
<title>敬次孫襄敏公御賜三寶韻</title>,<text>直北歸來爵土分。煌煌玉硯降蓬雲。宸心不啻推恩典。爲與良臣共右文。右玉硯滴。華纓若若鬢毛斑。咨汝憂勤矢石間。聖渥如天臣莫報。餘生秪有寸心丹。右珊瑚纓。文章寶匣鬼刓如。宣賜當年契水魚。歎息今辰何世界。先王舊物此猶餘。右文章劒。</text>
<title>挽趙景善 鏞應</title>,<text>南方卬有友。十年此心傾。其人孝且悌。其人溫且明。愧我愚陋甚。煩君一事生。但期寒歲後。磋切有所成。子年今未艾。云胡遽此行。九原難可作。何日更逢迎。</text>
<title>鄭國卿 鎭韶 爲我題遼左記行後。和其時字韻以勉。</title>,<text>萬業嗟違少壯時。吾人囊括此何時。斯文大事爲君託。勉勉終看水到時。</text>
<title>挽崔子順 旹敎</title>,<text>弗翁謨訓正。儒拂世其門。藹藹天眞色。峨峨士望尊。百看猶不斁。一別若相諼。鷄黍當年約。嗟今哭九原。</text>
<title>挽李致幹 根煕</title>,<text>古貌心尤古。今人亦古人。山澤追先韻。林亭款衆賓。白首同衰暮。靈衿久許親。今君先脫屣。誰與共鄕鄰。</text>
<title>次竹塢李公 覲吾 在川亭韻</title>,<text>聖代名臣著小坡。宋時諫官謂之小坡。 石川漁釣一竿斜。臨軒灑落長江月。對岸玲瓏萬樹霞。北闕風雲辭衮職。南州山斗振儒家。綿綿峻葛垂餘蔭。夢質黃神坦道遐。</text>
<title>哀金方叔 榘</title>,<text>慽慽秋風起。顔生不茂蘭。佳苗未易秀。今古所共歎。爾胡受命薄。虛生此世間。茶門士如雲。相吊不成懽。最是君家老。無辭可與寬。</text>
<title>獄中吟五絶 己未</title>,<text>妄擬江南明社復。徒然海北漢旄呑。室家妻子都忘却。阿鼻舂磨亦自安。三載文山柴市住。十年洪佛冷山遲。吾今老矣生無益。苟活牢中愧望之。匹夫爲諒本非當。父母遺體况可傷。追憶古聖求仁地。獨有夷齊餓首陽。吾人大義不曾隳。生與同生死與歸。佗年我有東門目。會見韓人自立時。斯道平生我自任。禮書勘覈尙餘今。直卿不見身先死。後輩何人述此心。</text>
<title>挽黃性五 壽基 四絶</title>,<text>南方多豪士。卬友問是誰。曼卿隱於酒。惟有永叔知。我本寡諧人。惟君奚所取。音容阻一方。念念欲相厚。捺却牢騷氣。包藏耿介心。韓窮雖有命。敖餒諒難堪。黑山吾不死。歸見故人書。凶音書共至。此恨更何如。</text>
<title>挽張其玉 琪遠 三絶</title>,<text>天心好往復。公生戀美家。事業生無忝。貧窮命柰何。一命官雖卑。門楣聖渥新。此心深與契。知仲我其人。鬼關吾不死。公不待吾歸。公去應無憾。難爲後死悲。</text>
<title>挽張達卿 志求</title>,<text>赫赫先吏部。嶺外耀門楣。孤鑑藐承緖。靑紫可摘髭。靑春如昨日。皓首世事非。仁人遽乘化。門祚又何衰。念我先契厚。此別益堪悲。</text>
<title>挽周益初 東會</title>,<text>休休長者儀。斷斷古人心。我作江陽客。殘年託契深。年年多士會。何處不相尋。我有名理說。君獨不厭聞。阿咸負笈來。愧乏金鍼紋。有生胡不辰。靈均願度世。今君不相待。翩翩先自逝。此身與時違。阿鼻九死歸。友生皆可見。嗟君獨何之。臨風寄楚些。人間我獨悲。</text>
<title>挽郭鳴遠 鍾錫</title>,<text>洲翁承道衰。理學光南服。徵君早受鉢。五祖明夜燭。文章跨兩漢。心法祖雲谷。祥禽一出世。神光耀耳目。齊孺皆識名。襟紳共湊轂。天王下旌招。九重宣對獨。萬生憔悴甚。雲天望霡霂。巨渾孰能救。歸臥窮山屋。王綱遂隕地。老臣哀哀哭。大義何處伸。歐西送尺牘。精誠動天地。不死阿鼻獄。晨歌忽悽悵。斯文竟不祿。人間能事畢。歸去不自恧。我生寧不悲。𨂙𨂙輿脫輻。靑春交以道。白首心彌篤。剛君不復返。此行又何促。我身如可百。君死寧不贖。混沌久已死。何人斡地軸。後生無所歸。何人可亭毒。我自黑山歸。窮廬病久伏。緘辭違執紼。慚負知仲叔。來生如復見。此懷猶可續。</text>
<title>挽安吉叟</title>,<text>巖廊早揚名。林壑又劬經。休道雲泥遠。皓首篤舊情。音容阻一方。戚戚共餘齡。老臣陪仙仗。招招帝遣巫。淵亭春又返。猿鶴謾相呼。</text>
<title>挽安致行 鍾彰</title>,<text>氣貌良如玉。言笑藹然春。吾林日蕭索。憑君作望洋。天胡生美質。大命及中身。同志俱零落。踽踽此何人。最是東門淚。君家有耋親。</text>
<title>挽河殷巨 龍濟○庚申</title>,<text>赫赫晉陽世。軒裳耀高門。在家張仲孝。需世吉甫文。王鍾馳名譽。鐵門人似雲。靑春早相識。雙鬢已白紛。茶翁去不返。今日又送君。嗟嗟後死者。踽踽無與羣。</text>
<title>遊雞龍山</title>,<text>掌蹠神成地闢初。千秋傳說帝王居。周家寶鼎年占郟。周武王定都郟鄏。卜年八百。俗傳雞龍八百年王都。 漢代眞人錄有書。漢光武稱白水眞人。見錄圖書。 南蠻桀傲蒼鷹奮。鷹峰應對馬島。雉形。 舊國蒼凉弊寺餘。東鶴寺。奉端宗神位。 假使當年仍駐蹕。太祖大王爲定都。駐蹕於此。 不知邦籙更何如。</text>
<title>過論山江景</title>,<text>記昔遼陽此眼過。老來重見大山河。雞龍北踞天王拱。錦水南流地軸賖。納納乾坤開鉅野。悠悠原隰足生涯。名區倍切滄桑恨。耕鑿何時帝力歌。</text>
<title>從曾孫炳驥承宗告廟日。次伯氏志喜韻。</title>,<text>天上抱送麒麟兒。祖宗餘慶今在斯。旁流合爲大幹水。寸木竟作干雲枝。傳家縱喜列峙鵠。有德方可稱良騏。誡爾從玆勉子職。生祥下瑞胡亶時。</text>
<title>挽甘致律 在元</title>,<text>燁燁三烈宅。肖孫大其楣。斷斷一介心。揭揭丈夫儀。擧此幹家術。治平亦可爲。我友賢郞輩。夤緣晩暮知。冄冄桑楡界。相期共餘曦。鬼關吾不死。歸對故人面。上馬生腰坐。大耋何其健。此行今遽促。老淚如泉濺。</text>
<title>至月一日夜夢。見賊臣等正刑。快成一絶。覺而記其詩。</title>,<text>喜看武穆斬檜擧。更願神州復漢都。寄語吾東千萬族。太平同我共歡呼。</text>
<title>次郭鳴遠獄中韻四絶</title>,<text>報國初心死與期。死安猶勝苟生非。我死君生猶補世。今君先死正堪唏。雲天拜先帝。應斷舊臣腸。下界餘殘命。瞻望涕淋浪。歲去人不返。重回去年天。忍見鞦韆索。翩翩過眼前。海上天來響。招招擧國魂。度世知應見。無由共楚原。</text>
<title>挽李公 昌淵 二絶</title>,<text>自我泣風樹。先齡次第零。先君有祝弟。瞻仰倍關情。蓮龜健千歲。篇蠧寓一生。良玉溫其美。身兼好德寧。</text>
<title>挽辛懋馨 泳學 三絶</title>,<text>大東天子朝元日。翰閣淸班宣詔麻。碧海桑田嗟忽變。王春猶在老臣家。七旬人世能事畢。帝遣巫陽遽招招。金玉精光銷不盡。知應陟降在雲霄。我忝姻親三十載。雲泥雖異寸心通。相思病枕違相訣。泉下人間此恨同。</text>
<title>挽孫禮卿 昌鉉</title>,<text>南遊耳灌澹山翁。傾蓋當年氣類同。歲晩嗟遲雞黍約。各天今日恨無窮。</text>
<title>挽李見九 尙厚</title>,<text>浣石先生百世尊。古家傳鬯有賢孫。鄕隣世契平生意。此日那堪送九原。</text>
<title>和呈家伯九日憶弟韻</title>,<text>兄弟今爲百五旬。山茱采采首回頻。旅鴈橫天愁歲暮。老龍潛壑俟時伸。音書久斷先危懼。魂夢相交訝假眞。故里靑春如昨日。梅花更憶各天人。仲兄梅宇公不幸短命。故尾及之。</text>
<title>過冬於獨修齋。將還送張尼叔 麟相 歸湖陽。</title>,<text>今人窄窄井中天。副手誰敎利涉川。浮思斷送塵埃外。至樂常存苦淡邊。猿禽送客山中雪。鴻鴈懷人塞上煙。歸去更須尊所聞。明招佗日續玆筵。</text>
<title>挽李舜則 晩煃○幷小序○辛酉</title>,<text>頃年余在黑山獄中。從穴壁中望見公句贅徒跣過。竊悲之。後從李能學丈聞公不屈而歸。且以不見我。歎息未已也。嗚呼。竟不得一覰。遂成千古之別耶。作一絶詞道所懷。乃若公志節行誼。無愧爲響山翁難弟。其必有尙論者之述之也。葉責曾多愧。楚囚所共嗟。河山何世界。此哭又非蛇。</text>
<title>挽裵子益 相禹</title>,<text>鴈陣秋天迥。雞聲曉月懸。何人失其侶。耿耿獨無眠。記昔逢君日。居然六十年。論心自通犀。同學幾分氈。愛君良玉質。身心不餙邊。從今誰與適。鄕井更蕭然。送子靑山裏。餘生正可憐。</text>
<title>挽金子卿 在序 二絶</title>,<text>聖代君恩重。名家祖訓傳。前行千里遠。何事遽升仙。兒學勤相托。父書再掃塵。平生無一面。謬愛我何人。</text>
<title>挽李慶五 大馨</title>,<text>源泉亭上山蒼蒼。源泉亭下水涓涓。亭中主人李上舍。一生安樂淸如仙。昔我騎驢南渡日。與子相期共晩年。西暉冄冄不相待。嗟君此行奄各天。文郁弟兄遺型在。老夫餘生共勉旃。</text>
<title>挽李學魯</title>,<text>有鳥在彼阜。翩翩比其翼。有魚在彼梁。油油隊相逐。天遙鳥失侶。水去魚無迹。人生有如此。踽踽何所適。娟娟松下月。依舊返初魄。幽幽漆燈國。去作何處客。談笑渾如昨。儀容不可覿。賓朋失益友。鄕隣無長德。十年膠漆意。千古幽明隔。</text>
<title>鵝湖同泛 幷小序</title>,<text>是歲暮春。余游南方。周時敏，甘濟鉉，安鍾斗，金鍾澈諸君。聞余行跟到。自朴津乘舟至朝陽齋。會者凡十八人。訪安上舍父子故躅。因回舟下鵝湖亭。江山之勝。盃酒之歡。蓋盛會也。咫尺龍華。曠感二先生故事。遂錄十八人姓名。名曰鵝湖同泛錄。用板上韻各賦一律。安家三世遠追先。人去亭空一悵然。龍嶽同舟牆慕切。鵝湖講席地名傳。心與浮雲遊物外。身隨白𪆽下江邊。吾行不是耽遊賞。願得諸君勖暮年。</text>
<title>挽李廣初 中業</title>,<text>九野羣陰閉。君家一雷鳴。九天風雨晦。君家一星明。忠家有孝子。一天那與同。寧爲烏鳶飽。不餉妻兒供。蜀中棧初絶。隴山耟誰撤。宜陽喬木淚。何人不相恤。義理通金石。文華燦奎璧。殘年卬有友。遙遙輸悃愊。斯文日以喪。歎息復何爲。人間何世界。後死諒堪悲。</text>
<title>李明可 能學 贈以生挽二首曰。吾年八十一。幾年後將無吾。吾於兄不可無挽語云云。步其韻戲呈。二首</title>,<text>早年枉讀三墳籍。妄擬明時聘席珍。回看天下無佳事。更向山中作隱倫。塵沉大陸難經濟。雲盡何天見本眞。歎息吾人歸去後。斯文一脈有誰伸。吉子山前有一老。牀書瓢飮不求知。三韓風雨人皆夢。十載江湖我有思。蠻貊猶欽幽犴日。身家獨善蟄龍時。來生願脫泡花界。與子雲遊不暫離。</text>
<title>挽李輔兼 鍾祿 二絶</title>,<text>風儀燁燁志庚庚。晩脫名韁做學生。嶺月湖雲千里遠。年年一度喜相迎。世事如花不可期。嗟君此別此胡爲。賢郞若識阿翁意。相愛還同父在時。</text>
<title>冬夜偶唫</title>,<text>夜永頻拈爐。爐中火復發。那將世人心。拈得此火活。</text>
<title>挽李聲若 鐸遠</title>,<text>娖娖常持操。休休不餙儀。芝蘭同此志。松柏晩相期。世事今搖落。人生又別離。天山多士席。尊酒更何時。</text>
<title>挽柳世卿 喬榮</title>,<text>堂堂忠孝宅。賢鬯重吾林。蹶里前遊遠。河梁舊約尋。追惟十世契。輸寫一腔心。此別云何遽。秋風淚不禁。</text>
<title>挽金文若 昌鉉</title>,<text>金華蘭溪不出疆。故人何事死殊方。紇干凍雀生無樂。羨爾當年色擧翔。</text>
<title>次李明可余湖八景韻</title>,<text>大陸沉沉萬象寥。仙筳迢遰響雲霄。宣尼玉振無人聞。吾道如今一斷橋。右桃庵曉磬。河上重重萬疊峰。瑤臺擎出一輪紅。那將喚起羣生夢。九宇文明淸晝同。右河峰朝旭。月色湖光兩合宜。胷襟方是洞開時。人心本自明如許。唉爾禪家甁子璃。右余湖明月。瞿塘十二眼前流。歎息吾人不繫舟。却羨江南商販客。民憂國計不關愁。右龍津歸帆。勉勉眞工莫暫休。辰光曾不爲人留。千乘富貴知何物。齊淚牛山謾自流。右鶴山落照。西塞山前細雨時。誰家白髮弄風絲。文王不作終漁釣。肯向東華怨數奇。右汶浦疎雨。落落金烏吉子山。薇歌如聞白雲間。三韓天地今何世。山上白雲猶自閒。右烏山宿雲。湘瑟凄凄湘岸苔。蒼梧象迹不曾回。湘靈有恨無相伴。淸夜應須待爾來。右平沙落鴈。</text>
<title>挽李準可 相標 二絶</title>,<text>燁燁廣陵樹。佳花一朶紅。花老無成實。春風亦不公。謹拙如寒士。淸貧慕古人。衰年相與意。從此隔參辰。</text>
<title>挽李明夫 啓煥○壬戌</title>,<text>溫溫良玉質。坦坦古家儀。念昔追魚隊。靑春復幾時。吾林胡不淑。橋折梓隨萎。病枕不相送。江雲爲我悲。</text>
<title>挽徐叔信 廷玉</title>,<text>一面飜電掣。高名灌䨓聞。禮經勘盡未。人世撤吾斤。</text>
<title>挽李宗武 萬成 二絶</title>,<text>心情良玉色。翰墨擲金聲。海函不怕死。胷中寸鐵明。吾林日蕭索。何處更得君。我今狐邱返。回首淚沾巾。</text>
<title>立巖亭講會</title>,<text>千古空江數笏椽。何人不肅此巖前。眉端欲補媧天石。腳底如登架壑船。郡國蒼蒼芳草外。人生漠漠夕陽邊。尼門卓立君知否。吾道須看彼逝川。</text>
<title>盤龜臺</title>,<text>朱塘一夢尙依然。此地登臨瘴海邊。林壑龍唫秋九日。圖書龜伏石千年。摳衣如侍函間席。回首行吟花落天。南國士林扶氣數。至今持護好風煙。</text>
