<title>秋夜雨中</title>,<text>秋風惟苦吟。擧世少知音。囱外三更雨。燈前萬古心。</text>
<title>讀唐賢花詩</title>,<text>花心是春色。春色是花心。造物自無語。令人空若吟。</text>
<title>題孤舟禪老卷</title>,<text>我本孤舟客。江天雪滿蓑。上人那會此。甁錫寄嵯峨。</text>
<title>題李生詩卷</title>,<text>雞林出三傑。東國文章宗。勉勉守家業。他年當襲封。</text>
<title>金沙八詠 廉東亭謫居川寧縣金沙莊。隨事立名。題其目凡八。因以舒憂娛悲。旣還不能忘也。請予同賦云。 西山採薇</title>,<text>春雨隨風細。春山到處深。何人能採蕨。惹起伯夷心。</text>
<title>金沙八詠 廉東亭謫居川寧縣金沙莊。隨事立名。題其目凡八。因以舒憂娛悲。旣還不能忘也。請予同賦云。 東江釣魚</title>,<text>早聞鮮味儁。摠說細鱗肥。不待秋風起。願從張翰歸。</text>
<title>金沙八詠 廉東亭謫居川寧縣金沙莊。隨事立名。題其目凡八。因以舒憂娛悲。旣還不能忘也。請予同賦云。 龍門斲藥</title>,<text>地靈多藥物。山密少塵埃。更問如爪棗。安期安在哉。</text>
<title>金沙八詠 廉東亭謫居川寧縣金沙莊。隨事立名。題其目凡八。因以舒憂娛悲。旣還不能忘也。請予同賦云。 虎谷耕田</title>,<text>平野牢籠盡。荒畬片段餘。躬耕度朝夕。還似孔明廬。</text>
<title>金沙八詠 廉東亭謫居川寧縣金沙莊。隨事立名。題其目凡八。因以舒憂娛悲。旣還不能忘也。請予同賦云。 漢浦弄月</title>,<text>日落沙逾白。雲移水更淸。高人弄明月。只欠紫鸞笙。</text>
<title>金沙八詠 廉東亭謫居川寧縣金沙莊。隨事立名。題其目凡八。因以舒憂娛悲。旣還不能忘也。請予同賦云。 婆城望雨</title>,<text>天意應生物。農功在及時。碧潭龍臥久。一起竟何遲。</text>
<title>金沙八詠 廉東亭謫居川寧縣金沙莊。隨事立名。題其目凡八。因以舒憂娛悲。旣還不能忘也。請予同賦云。 長興拾栗</title>,<text>秋風初瑟瑟。栗樹漸纍纍。獨往吾曾記。金丸落地時。</text>
<title>金沙八詠 廉東亭謫居川寧縣金沙莊。隨事立名。題其目凡八。因以舒憂娛悲。旣還不能忘也。請予同賦云。 注邑尋梅</title>,<text>賦詠逼眞少。栽培離俗多。最憐荒僻處。寂寞伴姮娥。</text>
<title>謝全羅按部送洗鱗</title>,<text>洗鱗今罕有。病齒最相宜。漫擬瓊瑤報。聊憑一首詩。</text>
<title>花園養花員求薦。因呈知印承制。</title>,<text>蚤晚雖然異。榮枯亦不同。願天均雨露。表出養花功。</text>
<title>奉寄金三司兄諸族中</title>,<text>洛下衰遲甚。鄕中往返頻。一樽相對處。應說病餘人。</text>
<title>奉寄普光兄</title>,<text>烽火連江海。風塵暗市朝。何當共燈話。我鬢白蕭蕭。</text>
<title>奉謝河按部寄茶鮑</title>,<text>茶香吹病齒。海味補衰腸。南望靑天闊。營中歲月長。</text>
<title>偶吟 三首</title>,<text>溪聲僧立處。山色鳥啼時。野興悠悠甚。丹靑定是詩。</text>
<title>偶吟 三首 其二</title>,<text>芳草榮枯日。浮雲起滅時。操心似金石。寄向數篇詩。</text>
<title>偶吟 三首 其三</title>,<text>有意傾千古。無心蓋一時。抽毫書晉字。鍊句學唐詩。</text>
<title>奉答崔安東</title>,<text>風雨西窓燭。江山數首詩。白頭多病客。千里苦相思</text>
<title>雜錄 七首</title>,<text>海西沙接塞。江左月明波。天地何寥闊。悲哉壯士歌。</text>
<title>雜錄 七首 其二</title>,<text>玉署生芳草。玄陵掛落暉。九年憂病裡。情況苦依依。</text>
<title>雜錄 七首 其三</title>,<text>具眼浮屠少。燒身舍利多。至今江有月。誰信海無波。</text>
<title>雜錄 七首 其四</title>,<text>榮寵非他及。流離無處藏。年高顏更澤。語妙字生香。</text>
<title>雜錄 七首 其五</title>,<text>習矣至成性。敎之從正身。愼無輕小學。最要在明倫。</text>
<title>雜錄 七首 其六</title>,<text>寡語師樵叟。多聞祖櫟翁。文章與政事。中國可爭雄。</text>
<title>雜錄 七首 其七</title>,<text>少狂殊孟浪。老病亦風流。牧隱空遺臭。蕭蕭白髮秋。</text>
<title>寄金剛山維那</title>,<text>八十九蘭若。奔馳指顧中。若爲新潤筆。漏網似冥鴻。</text>
<title>代書答全羅鄭按部</title>,<text>氣沈方暑雨。身健欲新秋。渺渺全羅境。悠悠搔白頭。</text>
<title>代書答開天行齋禪師寄茶。走筆。</title>,<text>同甲老彌親。靈芽味自眞。淸風生兩腋。直欲訪高人。</text>
<title>題雪谷卷</title>,<text>一朶玉芙蓉。瑩徹何洒落。衲子所深藏。樵夫亦踏著。</text>
<title>爲鋒禪者。題刃菴。</title>,<text>一條秋水寒。凜然摧老姦。太平無用處。掛在白雲端。</text>
<title>奉謝東界黃令公送年魚。走筆。</title>,<text>一雙海中魚。東界相公書。老牧偏驚倒。隨風落草廬。</text>
<title>廉東亭坐上。趙文昌極談先王眷憐之厚。有感而記之。重九日也。</title>,<text>吾髮近來白。菊花今又黃。玄陵數行淚。不獨趙文昌。</text>
<title>從李三宰索曲貼紙</title>,<text>年年門下省。曲貼白如霜。欲寫中和頌。抽毫發興忙。</text>
<title>詠盆松</title>,<text>雪嶺迷煙日。胡然在瓦盆。微塵含國土。宛爾一乾坤。</text>
<title>詠盆菊</title>,<text>秋澗自幽絶。東籬已趨俗。可憐靑盆中。區區對老牧。</text>
<title>古風</title>,<text>有風必從虎。有雲必于東。理勢所自然。粲爛今古同。</text>
<title>得西海金按廉蓴魚。代書致謝。</title>,<text>膾涼飛雪縷。羹熱凍銀絲。老境饞猶甚。欣然又賦詩。</text>
<title>寄龍頭大師</title>,<text>衒童歆艶處。呵喝綴行時。放榜當初九。歸期請勿遲。</text>
<title>謝西海廉使送山藥崖蜜燈油</title>,<text>崖蜂和衆味。山藥補三焦。更待新涼入。挑燈守寂寥。</text>
<title>寄呈金司空 續命</title>,<text>藏經如海大。江月照人明。過客光陰疾。何妨共結盟。</text>
<title>𪚥僮</title>,<text>𪚥僮嗔櫛髮。叫怒問何心。似爲惡年少。𪚥𪚥𪚥𪚥𪚥。</text>
<title>謝李先生惠靴材</title>,<text>墨漆熊皮厚。書云上下粧。他時朝紫闥。可踏五更霜。</text>
<title>奉答裵安東到界狀。戲之也。</title>,<text>回首同遊處。燕山儘渺茫。小詩聊敍舊。莫道𪚥沈香。</text>
<title>謝西京張相送脯</title>,<text>病中秋又至。吟處雨方來。坐想紅蓮幕。肥甘案上堆。</text>
<title>寄普光兄</title>,<text>山光橫碧處。野色半黃時。出定無餘事。吟來卽好詩。</text>
<title>原州釋敬田。中天台選。歸其鄕。求詩。</title>,<text>雉岳山中出。天台山下游。隨風又歸去。渺渺白雲秋。</text>
<title>謝任同年送新米</title>,<text>西風吹野外。玉粒照窮廬。更想尙州北。淸池釣出魚。</text>
<title>告風伯一章</title>,<text>徐而勿馳兮。無撼我稌秔。庶幾歲大熟。吾民延其生。</text>
<title>絶句</title>,<text>苔痕連砌上。樹影入窓中。靜坐忘機事。𪚥𪚥日又紅。</text>
<title>寄呈閔兄</title>,<text>我臥經年久。人來尺字無。卜隣何日是。風月滿江湖。</text>
<title>奉謝慶尙廉使送銀魚</title>,<text>素鯉傳心密。銀魚照眼明。嶺南風日好。何似鳳凰城。</text>
<title>寄甫城李子修判事大藏。緣化比丘請也。</title>,<text>公鬢應垂白。吾顏亦減紅。相逢何處是。祗在藏經中。</text>
<title>謝慶尙按廉全摠郞生鮑，紅杮之惠。</title>,<text>赤爛山中杮。銀團海底魚。南窓朝日照。坐閱案廉書。</text>
<title>代書奉謝張西京。餽歲。二首</title>,<text>鎬京何杳邈。餽歲及窮廬。炎熱應相惠。朝天石下魚。</text>
<title>代書奉謝張西京。餽歲。二首 其二</title>,<text>有客棲苽地。無人顧草廬。病餘饞更甚。熊掌欲兼魚。</text>
<title>寄甫城李判事，金左尹兄弟。因省珠大選南去也。</title>,<text>詩酒相從處。海山無事時。珠師馳馹去。握手惜分離。</text>
<title>寄金按廉 二首</title>,<text>自笑迷儒術。人𪚥𪚥𪚥經。伽耶山色秀。千里眼中靑。</text>
<title>寄金按廉 二首 其二</title>,<text>子幸方持斧。吾思不失機。𪚥𪚥群野𪚥。勿使忍朝飢。</text>
<title>獨吟 三首</title>,<text>綠密風生座。紅鮮露滴階。筆端含造化。病客坐山齋。</text>
<title>獨吟 三首 其二</title>,<text>旣以茅爲屋。何妨土作階。身衰動成病。心定輒如齋。</text>
<title>獨吟 三首 其三</title>,<text>山色靑當戶。苔痕綠上階。新詩渾漫𪚥。評點付迂齋。</text>
<title>絶句</title>,<text>久矣欲甘霔。胡然徒苦心。濃雲垂四野。群鳥噪高林。</text>
<title>絶句</title>,<text>天高凝碧水。菊靜散黃金。獨立江山晚。悠悠方寸間。</text>
<title>謝和寧尹朴令公送年魚</title>,<text>嶺外威風遠。天涯信字稀。牧翁多感激。異味謝黃扉。</text>
<title>代送僧</title>,<text>浮雲本無蔕。流水更何根。相別人情耳。悠悠誰記存。</text>
<title>絶句</title>,<text>野趣詩中起。鄕愁酒後生。江山招隱遁。風月寫昇平。</text>
<title>題璧菴卷</title>,<text>完歸非有益。懷罪亦堪憐。道者超塵垢。光浮月滿天。</text>
<title>寄中道廉使安大諫</title>,<text>殘生尙糊口。聖澤政渾身。田稅前規在。公無擾我民。</text>
<title>答伽倻聰公寄紅杮</title>,<text>靑山臨海上。紅杮得霜餘。千里如相見。晴窓閱尺書。</text>
<title>寄交州廉使索肉</title>,<text>養老須滋味。交神在腯肥。兩端俱不細。一騎望來歸。</text>
<title>數日身不寧。不得吟哦。冬至日。南窓靜坐。有作三首。</title>,<text>閉關思易卦。啜粥順鄕風。忽起吟詩興。全忘入道功。</text>
<title>數日身不寧。不得吟哦。冬至日。南窓靜坐。有作三首。 其二</title>,<text>造化生生妙。虛靈箇箇同。湛然方自守。一敬徹初終。</text>
<title>數日身不寧。不得吟哦。冬至日。南窓靜坐。有作三首。 其三</title>,<text>貞固爲吾本。絪縕達我中。乾坤用不竭。何日致時雍。</text>
<title>寄靈岩寺堂頭</title>,<text>白足歆風久。蒼頭托蔭深。愛人儒釋共。何日更論心。</text>
<title>寄全義韓同年</title>,<text>歲暮江山遠。天寒樹木疏。論文更何日。只有雁傳書。</text>
<title>奉答夫目大禪師</title>,<text>久矣離松廣。飄然在水原。牧翁方渴仰。何日過宗門。</text>
<title>謝江陵廉使送海衣</title>,<text>軟炊盈椀白。新擷滿盤靑。和合午牕下。齒牙微有馨</text>
<title>謝南京尹送蓴菜走筆</title>,<text>鶴頂微相映。龍涎滑有餘。江東歸興動。只是欠鱸魚。</text>
<title>謝鄭月城送甜苽</title>,<text>別墅秋初入。新苽蜜不如。心憐故人子。封裹送幽居。</text>
<title>後番祿受麥一石</title>,<text>養賢充國脈。頒祿亦君恩。歲嫌兵荒際。心欣法制存。</text>
<title>草屨 三首</title>,<text>山屨山中物。肌膚滑且香。欲知新拭處。溪女罷朝粧。</text>
<title>草屨 三首 其二</title>,<text>憶昔少年日。讀書山寺中。褰衣仍赤足。馳走踏松風。</text>
<title>草屨 三首 其三</title>,<text>我脫朝靴久。山亭野步輕。紅塵汚不得。謝汝爲吾生。</text>
<title>偶題</title>,<text>明銷兩粳飯。暗爍一場眠。了了是何物。悠悠呼彼天。</text>
<title>又題</title>,<text>日出東窓明。日入西牕昏。白髮颯飄領。嚴寒長閉門。</text>
<title>謝慶尙廉使呂公送脯</title>,<text>山海縈麾下。風塵卷筆端。修書問耆舊。乾肉照朝盤。</text>
<title>謝西京李少尹送平桂</title>,<text>平桂眞如板。素書還似霜。西京風俗變。少尹用心長。</text>
<title>絶句。寄權緩親從。</title>,<text>白日近亭午。靑天無片雲。安心歌聖化。爲我謝斯文。</text>
<title>琇峯見訪而歸</title>,<text>遠天看鳥沒。落日送僧歸。知有檀家近。月明初掩扉。</text>
<title>中和堂洞權密直。送酒一甁，牛肉，白米廿斗。走筆謝之。</title>,<text>肥肉今難得。芳醪昔所嘗。侑緘加白粲。茅屋頓生光。</text>
<title>幻菴送書。惠以小詩上答。</title>,<text>軒冕眞身外。山林亦世間。何當一相會。冷笑對氷顏。</text>
<title>寄京山府金判書同年 隨</title>,<text>咫尺同千里。乾坤一老身。相逢是何日。坐數榜中人。</text>
<title>寄呈黜陟令公</title>,<text>聖恩垂紫闥。嘉惠賁文茵。踊躍朝天去。唯慊別主人。</text>
<title>戲題</title>,<text>名酒秋多熟。禪窓夜可參。耽眠每達旦。兩頰尙紅酣。</text>
<title>寄柳晉川君</title>,<text>事事由前定。時時憶舊知。城東踏靑處。倘得更吟詩。</text>
<title>寄李詹承旨 其二</title>,<text>杳杳天無語。悠悠命已窮。朝中難再會。地下倘相逢。</text>
<title>寄李詹承旨 其三</title>,<text>自是事多變。非由謀不忠。異時靑史上。我獨面長紅。</text>
<title>寄驪興權知郡 二首</title>,<text>遠謫經過數。浮生老病餘。如逢南計點。爲我謝勤渠。</text>
<title>寄驪興權知郡 二首 其二</title>,<text>甓寺鎭流水。經函棲素塵。更宜深照覷。曾此祝先人。</text>
<title>監郡公。送麥二石脂麻五斗。</title>,<text>老牧今游食。眞如雀鼠僧。遨頭作檀越。經卷可長蒸。</text>
<title>寄南京尹</title>,<text>江山風景好。天地聖恩深。只怪廚煙冷。應知一寸心。</text>
<title>寄呈松軒</title>,<text>出京迷道路。到處少資糧。儻賜山中郡。安心送夕陽。</text>
<title>寄權大老，李克明尙書。</title>,<text>澗碧我曾涉。杮紅吾欲歸。野人多熟識。谷烏不驚飛。</text>
<title>知郡朴公之母。實吾座主松堂先生之女。知郡迎養盡孝道。予幸得素食數味以饗。主人携予登舟避暑。及晚而歸。</title>,<text>頗恨門生少。方看宅相成。淡飧恩義厚。白日照江明。</text>
<title>門生權簽書來。其甥朴某之父在川寧。携酒相勞。方在鳳巖。顧舊山河。思擧一杯。而朴公至。欣然戲酬。及還。郡守求又飮大醉。</title>,<text>舟上甁連臥。樓中斝更飛。欲成千日醉。灑面暑風淸。</text>
<title>七夕</title>,<text>天上頻遭値。人間慣別離。呂興白頭客。獨坐只吟詩。</text>
<title>寄示種善</title>,<text>命也夫何恨。吾今得自由。南游欲相見。況此季鷹秋。</text>
